BV号：BV14gdbBeEUV
标题：BV14gdbBeEUV
链接：https://www.bilibili.com/video/BV14gdbBeEUV
识别语言：zh
语言置信度：1
分段数：193
生成时间：2026-08-29 07:51:17

[00:00:00 - 00:00:02] 大家好 我是为什么叫QQ
[00:00:02 - 00:00:05] 现在大模型的上下文窗口越来越长
[00:01:10 - 00:01:14] 而真正的持续学习要求模型像人一样
[00:01:14 - 00:01:17] 在部署后通过更新权重参数来内化新知识
[00:01:17 - 00:01:20] 但这里隐藏着深度学习领域
[00:01:20 - 00:01:22] 几十年来的终极幽灵灾难性遗忘
[00:01:22 - 00:01:25] 只要你用新数据去微调更新参数
[00:01:25 - 00:01:29] 模型原本在预讯链中建立的知识表征就会遭到破坏
[00:01:29 - 00:01:31] 旧知识会被迅速覆盖
[00:01:31 - 00:01:36] 达利奥的乐观本质上是用长上下文逃避了参数更新的技术难点
[00:01:36 - 00:01:38] 为了解决灾难性遗忘
[00:01:38 - 00:01:40] 雪数界提出了非常多优美的算法
[00:01:40 - 00:01:44] 比如回放机制、政责化约束、动态架构等
[00:01:44 - 00:01:45] 今年也涌现了舒尔
[00:01:45 - 00:01:49] ProNC、ModeCL以及Google的Hope等新架构
[00:01:49 - 00:01:52] 但在工业界一线工程时面对复杂业务时
[00:01:52 - 00:01:55] 往往还是会被迫选择大力出奇迹
[00:01:55 - 00:01:57] 也就是堆上下文和上reg
[00:01:57 - 00:01:59] 既然大家都在用长上下文
[00:01:59 - 00:02:01] 那为什么我说它救不了AI
[00:02:01 - 00:02:04] 接下来我们从三个硬核维度进行拆解
[00:02:04 - 00:02:07] 第一点不可逾越的物理计算瓶颈
[00:02:07 - 00:02:08] 与kvcash内存强
[00:02:08 - 00:02:10] 很多人觉得100万token很多
[00:02:10 - 00:02:14] 但如果要把AI作为一个长期运转的agent
[00:02:14 - 00:02:16] 记录它每天与用户的交互环境的反馈
[00:02:16 - 00:02:19] 100万token可能几个月就消耗殆金了
[00:02:19 - 00:02:22] 更致命的是工程实现上的物理代价
[00:02:22 - 00:02:24] 随着上下文长度的增加
[00:02:24 - 00:02:26] Transformer架构的计算
[00:02:26 - 00:02:29] 复杂度是乘二四方递增的更关键的是KVcash
[00:02:29 - 00:02:32] 在100万token下哪怕你只生成一个字的恢复
[00:02:32 - 00:02:35] 显存里也要常驻几十GB的KVcash
[00:02:35 - 00:02:38] 这会导致GPU的显存带宽被彻底榨干
[00:02:38 - 00:02:39] 推理延迟飙升
[00:02:39 - 00:02:42] 成本在商业上根本无法承受
[00:02:42 - 00:02:45] 你想用庞大的上下文来维持AI的记忆
[00:02:45 - 00:02:47] 相当于每次思考前
[00:02:47 - 00:02:50] 都要把一辈子的日记从头到尾读一遍
[00:02:50 - 00:02:53] 这在物理算力和内存墙面前是一条死胡同
[00:02:53 - 00:02:55] 这里大家可以思考一下
[00:02:55 - 00:02:57] 你现在日常高频使用的AI工具
[00:02:57 - 00:02:59] 上下文一旦超过几万
[00:02:59 - 00:03:02] 响应速度和精准度是不是已经开始明显下降了
[00:03:02 - 00:03:04] 把你的真实体验打在公屏上
[00:03:04 - 00:03:05] 第二点
[00:03:05 - 00:03:07] 非结构化动态环境下的检索示效
[00:03:07 - 00:03:09] 达利奥之所以乐观
[00:03:09 - 00:03:12] 是因为他拿AI写代码作为了成功案例
[00:03:12 - 00:03:13] 在编程任务中
[00:03:13 - 00:03:15] 常上下文和RAG确实好用
[00:03:15 - 00:03:16] 为什么
[00:03:16 - 00:03:18] 因为代码库ゲ的提交记录
[00:03:18 - 00:03:22] 这些都是高度结构化的文本,极度依赖明确的逻辑引用
[00:03:22 - 00:03:26] 但工业界的真实应用,比如巨身智能动态推荐复杂克服
[00:03:26 - 00:03:30] 他们的环境反馈是连续的非结构化的隐性知识
[00:03:30 - 00:03:32] 你无法把机械币抓取失败的
[00:03:32 - 00:03:35] 每次微小物理摩擦系数变化
[00:03:35 - 00:03:38] 或者用户极其微妙的情绪转折
[00:03:38 - 00:03:40] 全部token化塞进上下文里
[00:03:40 - 00:03:43] 对于这些任务知识必须被内化到模型的权重里
[00:03:43 - 00:03:45] 形成直觉反馈
[00:03:45 - 00:03:48] 而不是每次都去翻閱長達百萬的上下文記錄本
[00:03:48 - 00:03:49] 第三點
[00:03:49 - 00:03:51] 表征空間的凍結與泛化上限
[00:03:51 - 00:03:55] 只靠常上下文意味著模型的參數是被凍結的
[00:03:55 - 00:03:58] 預訓鏈建立的知識表征空間就那麼大
[00:03:58 - 00:03:59] 無論你的prompt怎麼寫
[00:03:59 - 00:04:03] 模型都只是在這個已有的空間裡做差距計算
[00:04:03 - 00:04:05] 如果世界發生了根本性的邏輯變化
[00:04:05 - 00:04:09] 或者出現了預訓鏈階段完全沒見過的新領域
[00:04:09 - 00:04:12] 模型無法通過拉長上下文來完成範式轉移
[00:04:12 - 00:04:14] 它必须进行持续学习
[00:04:14 - 00:04:16] 必须更新参数
[00:04:16 - 00:04:17] 而一旦更新参数
[00:04:17 - 00:04:20] 灾难性遗忘的达默克利斯之间
[00:04:20 - 00:04:20] 就会落下
[00:04:20 - 00:04:22] 既然摆完Token走不通
[00:04:22 - 00:04:24] 那真正的持续学习
[00:04:24 - 00:04:25] 现在推进到哪一步了
[00:04:25 - 00:04:28] 我们来看近两年的几个核心技术突破
[00:04:28 - 00:04:30] 看看他们是怎么在参数更新
[00:04:30 - 00:04:32] 和灾难性遗忘之间走纲思的
[00:04:32 - 00:04:33] 首先是舒尔算法
[00:04:33 - 00:04:36] 传统的历史数据回放效率极低
[00:04:36 - 00:04:38] 舒尔引入了信息论的思想
[00:04:38 - 00:04:41] 用付对数自然来衡量新样本的惊喜度
[00:04:41 - 00:04:43] 模型指挑那些信息上最大
[00:04:43 - 00:04:45] 最难预测的样本进行回放
[00:04:45 - 00:04:47] 在工程实现上
[00:04:47 - 00:04:48] 它通过双重裸裸机制
[00:04:48 - 00:04:50] 节隔了快慢权重的更新
[00:04:50 - 00:04:52] 这大幅降低了算力开销
[00:04:52 - 00:04:54] 是一次很漂亮的工程优化
[00:04:54 - 00:04:56] 其次是ProNC算法
[00:04:56 - 00:04:59] 它巧妙利用了深度网络中的神经坍塌现象
[00:04:59 - 00:05:01] 在数学层面上
[00:05:01 - 00:05:03] ProNC强制新任务的特征表征
[00:05:03 - 00:05:05] 在与旧任务特征空间
[00:05:05 - 00:05:07] 正交的方向上进行扩展
[00:05:07 - 00:05:09] 这就好比在多维空间里
[00:05:09 - 00:05:12] 给新知识开辟了独立的正交做标系
[00:05:12 - 00:05:15] 从几何原理上隔离了对旧参数的干扰
[00:05:15 - 00:05:17] 极大缓解了遗忘现象
[00:05:17 - 00:05:18] 工业级架构方面
[00:05:18 - 00:05:21] 腾讯AI Lab的MOECL是一个典型代表
[00:05:21 - 00:05:25] 基于专家混合模型每当有新任务输入
[00:05:25 - 00:05:28] 系统会动态分配专属的Laura专家模块
[00:05:28 - 00:05:30] 学完极动节并通过任务
[00:05:30 - 00:05:32] 感知判别器进行路由分发
[00:05:32 - 00:05:34] 这种架构将持续学习的问题
[00:05:34 - 00:05:37] 部分转化为了专家路由的问题
[00:05:37 - 00:05:40] 非常适合多魔态大模型的再建部署
[00:05:40 - 00:05:42] 最后是代表未来范氏的Google Hub模型
[00:05:42 - 00:05:45] 它并期了单层面的参数更新
[00:05:45 - 00:05:47] 构建了多层次的学习拓布
[00:05:47 - 00:05:50] 底层的局部网络负责快速拟合环境的动态变化
[00:05:50 - 00:05:54] 高层的全局网络则以极低的单部学习率
[00:05:54 - 00:05:56] 缓慢沉淀通用的泛化知识
[00:05:56 - 00:05:59] 这在一定程度上模拟了人类大脑海马体
[00:05:59 - 00:06:01] 与大脑皮层的协同机制
[00:06:01 - 00:06:03] 但是技术突破不等于工程可用
[00:06:03 - 00:06:06] 这些前沿算法在落地生产系统时
[00:06:06 - 00:06:08] 依然面临着灾难性的挑战
[00:06:08 - 00:06:10] 数据隐私导致回放机制受限
[00:06:10 - 00:06:12] 在线计算集群的显存开销巨大
[00:06:12 - 00:06:16] 以及缺乏统一且严谨的知识转移度量指标
[00:06:16 - 00:06:18] 工程师在部署这些算法时
[00:06:18 - 00:06:21] 光是条优超参数就能耗费数月的时间
[00:06:21 - 00:06:22] 回到达撩的预测
[00:06:22 - 00:06:25] 他之所以认为持续学习很快会被解决
[00:06:25 - 00:06:29] 是因为他把记住更多等同于了学会更多
[00:06:29 - 00:06:31] 百万token甚至千万token
[00:06:31 - 00:06:33] 解决的是信息检索的广度问题
[00:06:33 - 00:06:37] 而持续学习解决的是模型内在认知的深度演进问题
[00:06:37 - 00:06:42] 试图用算力强推上下文窗口来掩盖参数更新的困境
[00:06:42 - 00:06:45] 这在工程逻辑上是偷懒的也是不可持续的
[00:06:45 - 00:06:49] 短期内工业界依然会依赖百万token加高级reg
[00:06:49 - 00:06:52] 因为这是目前工程确定性最高的方案
[00:06:52 - 00:06:53] 但进入中期
[00:06:53 - 00:06:56] 随着算力成本和推理延迟到达物理极限
[00:06:56 - 00:06:59] 纯粹的上下文堆气会被抛弃
[00:06:59 - 00:07:02] 我们会看到MOE-CL这种参数高效的
[00:07:02 - 00:07:05] 持續學習架構成為基座模型的標配
[00:07:05 - 00:07:09] 長遠來看,真正的突破必然依賴於底層網絡架構的重構
[00:07:09 - 00:07:13] 模型需要擁有自適應的記憶生命週期管理
[00:07:13 - 00:07:14] 不僅要知道該學什麼
[00:07:14 - 00:07:17] 還要知道該主動遺忘什麼無用信息
[00:07:17 - 00:07:19] 從而保持表征空間的活力
[00:07:19 - 00:07:21] 最後用一句話總結今天的內容
[00:07:21 - 00:07:24] 100萬token的上下文窗口只是外掛的存儲
[00:07:24 - 00:07:27] 跨越災難性遺忘的參數更新
[00:07:27 - 00:07:29] 才是AI真正的腦皮層進化
[00:07:29 - 00:07:32] 在技术发展中,我们要警惕一切试图用功成暴力
[00:07:32 - 00:07:35] 掩盖技术算法缺陷的乐观预测
[00:07:35 - 00:07:38] 持续学习依然是大模型走向AGI路上
[00:07:38 - 00:07:40] 最硬的一块骨头
[00:07:40 - 00:07:43] 如果你觉得这期视频对你理解大模型底层逻辑有帮助
[00:07:43 - 00:07:46] 希望你能给为什么叫QQ一键三连支持一下
[00:07:46 - 00:07:49] 你平时在开发或使用大模型时
[00:07:49 - 00:07:51] 最让你头疼的是遗忘问题
[00:07:51 - 00:07:53] 还是上下文不够长的问题
[00:07:53 - 00:07:56] 欢迎在评论区留下你的功成痛点
[00:07:56 - 00:07:57] 我们一起讨论
[00:07:57 - 00:07:58] 下期见
