BV号：BV1F5GG6vEc4
标题：BV1F5GG6vEc4
链接：https://www.bilibili.com/video/BV1F5GG6vEc4
识别语言：zh
语言置信度：1
分段数：417
生成时间：2026-08-29 11:13:04

[00:00:00 - 00:00:02] 大家好 我是为什么叫QQ
[00:00:02 - 00:00:03] 今天先给你出一道题
[00:08:24 - 00:08:25] 你注意一个被忽略的事实
[00:08:25 - 00:08:27] 两个人的前提一模一样
[00:08:27 - 00:08:30] 都承认审查带宽是稀缺自圆
[00:08:30 - 00:08:32] 都承认主行阅读撑不住产量
[00:08:32 - 00:08:35] 分歧只在怎么应对这个上限
[00:08:35 - 00:08:37] LamblerWeber的答案是收缩
[00:08:37 - 00:08:40] 自空靠不住就別高估自己能不用的地方就不用
[00:08:40 - 00:08:44] 审查預算留給要命的代碼Bob的答案是改造
[00:08:44 - 00:08:47] 人審撐不住就把信任搬家搬進驗證體系裡
[00:08:47 - 00:08:50] 人只守最高槓桿的幾個點
[00:08:50 - 00:08:51] 再拋一個爭議觀點
[00:08:51 - 00:08:53] 我覺得LamblerWeber會贏道理
[00:08:53 - 00:08:54] 但Bob會贏歷史
[00:08:54 - 00:08:56] 你呀哪邊打在公平上
[00:08:56 - 00:08:58] 那落到你身上該怎麼辦
[00:08:58 - 00:09:00] 我給你一個能直接用的框架
[00:09:00 - 00:09:02] 別再問這段代碼我要不要讀
[00:09:02 - 00:09:03] 這個問題太粗了
[00:09:03 - 00:09:05] 他默认所有代码仪式同仁
[00:09:05 - 00:09:07] 也默认你只有读和不读两个选项
[00:09:07 - 00:09:09] 两个默认都该扔了
[00:09:09 - 00:09:11] 换成三个问题向走决策述
[00:09:11 - 00:09:13] 第一 问他出错的时候谁会第一个发现
[00:09:13 - 00:09:15] 如果是测试当场报警
[00:09:15 - 00:09:17] 审查压力就小一档
[00:09:17 - 00:09:20] 如果要等到用户投诉压力直接拉满
[00:09:20 - 00:09:23] 第二 问从出错到发现要隔多久
[00:09:23 - 00:09:26] 十分钟能定位的问题和三个月后爆雷的问题
[00:09:26 - 00:09:29] 完全是两种生物第三问发现之后代价有多大
[00:09:29 - 00:09:33] 改一行就修好的和数据污染资损合归事故
[00:09:33 - 00:09:34] 也完全是两种生物
[00:09:34 - 00:09:36] 三文走完答案自己分层
[00:09:36 - 00:09:39] 发现快代价小的代码交给测试体系取守
[00:09:39 - 00:09:42] 发现慢代价大的代码
[00:09:42 - 00:09:44] 你的主行审查就杂在这里
[00:09:44 - 00:09:46] 这就是审查预算的分配逻辑
[00:09:46 - 00:09:49] 三个问题的本质是定价给发现速度辜价
[00:09:49 - 00:09:51] 给事故代价辜价
[00:09:51 - 00:09:54] 综合起来定出这段代码的审查等级
[00:09:54 - 00:09:56] 你的认真阅读是有限自愿
[00:09:56 - 00:09:58] 花在检测慢代价大的地方
[00:09:58 - 00:10:00] 剩下的地方用关卡围起来
[00:10:00 - 00:10:01] 举个具体的例子
[00:10:01 - 00:10:03] 走一遍你写了一个临时脚本
[00:10:04 - 00:10:07] 每周跑一次整理报表第一问出错谁发现
[00:10:07 - 00:10:10] 第二天看报表就知道第二问隔多久一天
[00:10:10 - 00:10:11] 第三问代价多大
[00:10:12 - 00:10:14] 重跑一次三问走完这种代码
[00:10:14 - 00:10:15] 扫一眼都嫌多
[00:10:15 - 00:10:16] 再看另一个极端
[00:10:17 - 00:10:20] 支付回调的验签逻辑出错谁发现可能没人发现
[00:10:20 - 00:10:23] 隔多久可能几个月代价多大
[00:10:23 - 00:10:24] 自损家合归
[00:10:24 - 00:10:26] 这种代码主行毒反复毒
[00:10:26 - 00:10:27] 再找两个人交叉毒
[00:10:27 - 00:10:28] 还是这位Carry
[00:10:28 - 00:10:30] 她在Mercadon attack遇到过
[00:10:30 - 00:10:32] 一个更能说明问题的案例
[00:10:32 - 00:10:34] 四个AI辅助完成的PR
[00:10:34 - 00:10:36] 功能正确测试权率
[00:10:36 - 00:10:38] 却把同一条商品家族业务规则
[00:10:38 - 00:10:39] 复制了四遍
[00:10:39 - 00:10:40] 测试没有报警
[00:10:40 - 00:10:42] 使人工阅读发现了结构性重复
[00:10:42 - 00:10:45] 这个案例值得停下来想一秒测试
[00:10:45 - 00:10:46] 能验证当前行为
[00:10:46 - 00:10:49] 但一条业务规则该存在几分测试
[00:10:49 - 00:10:50] 替你拿不了主意
[00:10:50 - 00:10:51] 这种结构性判断
[00:10:51 - 00:10:54] 恰恰是人神最该花钱的地方
[00:10:54 - 00:10:55] 落地动作说
[00:10:55 - 00:10:57] 四个第一盘点你的项目
[00:10:57 - 00:10:58] 拿刚才那三个问题
[00:10:58 - 00:10:59] 把核心模块过一遍
[00:10:59 - 00:11:03] 你很可能会发现审查时间一直花错了地方
[00:11:03 - 00:11:04] 第二跑一次便衣测试
[00:11:04 - 00:11:06] 先挑一个核心模块
[00:11:06 - 00:11:08] 让便衣测试工具自动生成便衣
[00:11:08 - 00:11:11] 看关键便衣能不能被测试杀死
[00:11:11 - 00:11:13] 如果大量关键便衣存活
[00:11:13 - 00:11:14] 说明测试还需要补强
[00:11:14 - 00:11:17] 第三把约束写进CI别写进promptly
[00:11:17 - 00:11:19] prompt是口头约定
[00:11:19 - 00:11:20] agent转头就忘
[00:11:20 - 00:11:23] 再把检查射程合并B过向不过关
[00:11:23 - 00:11:24] 就不允许合入
[00:11:24 - 00:11:27] 函数长度圈复杂度覆盖率预指
[00:11:27 - 00:11:29] 全部做成自动关卡
[00:11:29 - 00:11:31] 第四季著Murran那條規則
[00:11:31 - 00:11:34] 不讀的權利要逐類贏得同一類變更
[00:11:34 - 00:11:37] 連續於30個乾淨的PR這一類才能進免讀車道
[00:11:37 - 00:11:39] 翻一次車重新技術
[00:11:39 - 00:11:41] 想超作業的有現成輪子
[00:11:41 - 00:11:43] github上有個old coder開源skill
[00:11:43 - 00:11:47] 理念直接取字Bob Club Code Code CodexClad都能用
[00:11:47 - 00:11:48] 最後潑一盆冷水
[00:11:48 - 00:11:49] 我認為Bob那套能賺
[00:11:49 - 00:11:51] 離不開超過55年的底子
[00:11:51 - 00:11:54] 他設計得出關卡也看得出洞
[00:11:54 - 00:11:56] 新手直接超不讀兩個字
[00:11:56 - 00:11:58] 大概率是災難
[00:11:58 - 00:11:59] 先赢资格再谈
[00:11:59 - 00:12:01] 放手回到开头那道题
[00:12:01 - 00:12:03] 几位熟悉安全威胁的资深审查者
[00:12:03 - 00:12:04] 一百行已知
[00:12:04 - 00:12:06] 有bug的代码找不全
[00:12:06 - 00:12:06] 不丢人
[00:12:06 - 00:12:08] 丢人的是假装自己找得到
[00:12:08 - 00:12:09] 这场七月的大争论
[00:12:09 - 00:12:11] 表面再吵毒不毒
[00:12:11 - 00:12:13] 但真正值得带走的
[00:12:13 - 00:12:14] 是两边各自的盲区
[00:12:14 - 00:12:16] 先看Lamorabba这一侧
[00:12:16 - 00:12:18] 他诊端出了并没开
[00:12:18 - 00:12:19] 出药收缩
[00:12:19 - 00:12:20] 管住的是自己
[00:12:20 - 00:12:22] 管不住同事甩来的PR
[00:12:22 - 00:12:23] 管不住整个行业的惯性
[00:12:23 - 00:12:25] 他自己都承认你躲不开
[00:12:25 - 00:12:27] 那躲不开的人明天上班怎么办
[00:12:27 - 00:12:28] 他没有回答
[00:12:28 - 00:12:29] 再看Bob
[00:12:29 - 00:12:32] 这一侧关卡也有关卡的天花板
[00:12:32 - 00:12:34] 测试能暴露缺陷
[00:12:34 - 00:12:35] 不能证明缺陷不存在
[00:12:35 - 00:12:37] 模糊测试和属性测试
[00:12:37 - 00:12:39] 能扩大搜索范围
[00:12:39 - 00:12:41] 规格之外的盲区依然存在
[00:12:41 - 00:12:43] 那个Hardbug漏过了人眼
[00:12:43 - 00:12:45] 也可能漏过一套想当然的测试
[00:12:45 - 00:12:48] 他的关卡能拦住不少代码层面的错误
[00:12:48 - 00:12:50] 却防不住规格本身就想错了
[00:12:50 - 00:12:52] 地规之位问到头
[00:12:52 - 00:12:55] 真正兜底的很可能还是他55年的判断力
[00:12:55 - 00:12:57] 这套要要隐则是他自己流程
[00:12:57 - 00:12:58] 别人抄得走
[00:12:58 - 00:12:59] 要隐子抄不走
[00:12:59 - 00:13:01] 你看两个人的终点
[00:13:01 - 00:13:03] 只像同一个缺口生成能力长得再快
[00:13:03 - 00:13:05] 理解能力的增长
[00:13:05 - 00:13:07] 远远落在后面过去的软件工程
[00:13:07 - 00:13:09] 建立在一个默认假设上写的人懂
[00:13:09 - 00:13:10] 审的人懂
[00:13:10 - 00:13:12] 责任跟着理解走
[00:13:12 - 00:13:14] 现在理解跟不上产量了
[00:13:14 - 00:13:15] 这个假设开始松动
[00:13:15 - 00:13:18] 真正值得每个程序员想的问题是
[00:13:18 - 00:13:19] 责任还要不要
[00:13:19 - 00:13:19] 跟着理解走
[00:13:19 - 00:13:21] 如果还要
[00:13:21 - 00:13:22] 那你点击合并的那一刻
[00:13:22 - 00:13:25] 你懂得到底是代码还是流程
[00:13:25 - 00:13:26] 如果不要
[00:13:26 - 00:13:28] 初事故那天郭佑该跟着什么走
[00:13:28 - 00:13:30] 跟着签字跟着流程
[00:13:30 - 00:13:31] 还是跟着那个写代码的AI
[00:13:32 - 00:13:33] 责任到底该跟着理解走
[00:13:33 - 00:13:34] 还是跟着流程走
[00:13:35 - 00:13:36] 行业还没有形成共识
[00:13:36 - 00:13:38] 但他迟早会摆到每个团队面前
[00:13:39 - 00:13:40] 可能是下一次线上事故
[00:13:40 - 00:13:42] 也可能是下一份责任协议
[00:13:42 - 00:13:43] 在那一天到来之前
[00:13:43 - 00:13:45] 你至少能做一件事
[00:13:45 - 00:13:47] 看好自己那点审查预算
[00:13:47 - 00:13:48] 花在真会出事的地方
[00:13:48 - 00:13:49] 我自己其实挺矛盾
[00:13:49 - 00:13:51] 承认惯性是真的
[00:13:51 - 00:13:53] 也见过关卡拦住蠢代码
[00:13:53 - 00:13:54] 拦住那一刻是真相
[00:13:54 - 00:13:56] 评论区留两道题第一道小的
[00:13:56 - 00:13:58] 每天只有一小时
[00:13:58 - 00:14:00] 认真审查你花在哪个文件上
[00:14:00 - 00:14:02] 第二道大的责任该跟着理解走
[00:14:02 - 00:14:03] 还是跟着流程走
[00:14:03 - 00:14:05] 敢不敢说出你的真实想法
[00:14:05 - 00:14:06] 绝对有收获
[00:14:06 - 00:14:07] 一键三连
[00:14:07 - 00:14:08] 点个关注
[00:14:08 - 00:14:09] 我是为什么叫QQ
[00:14:09 - 00:14:11] 我们下期记得聊
