BV号：BV1vjRdBHEc6
标题：BV1vjRdBHEc6
链接：https://www.bilibili.com/video/BV1vjRdBHEc6
识别语言：zh
语言置信度：1
分段数：259
生成时间：2026-08-29 08:28:48

[00:00:00 - 00:00:01] 大家好 我是为什么叫QQ
[00:00:01 - 00:00:04] 你有没有对大模型的token定价产生过疑问
[00:01:24 - 00:01:28] 这个过程就像是在玩一个无限循环的接龙游戏
[00:01:28 - 00:01:29] 你给它一个开头
[00:01:29 - 00:01:30] 它吐出一个词
[00:01:30 - 00:01:32] 然后把这个词拼到开头后面
[00:01:32 - 00:01:33] 再预测下一个词
[00:01:33 - 00:01:36] 这个吐词的过程就是我们常说的推理
[00:01:36 - 00:01:37] 而在这个过程中
[00:01:37 - 00:01:39] 有一个东西至关重要
[00:01:39 - 00:01:40] 那就是token
[00:01:40 - 00:01:43] 你可以把它理解为AI世界里的单词碎片
[00:01:43 - 00:01:44] 每一个token的产生
[00:01:44 - 00:01:47] 背后都涉及到天文数字般的矩阵运算
[00:01:47 - 00:01:50] 而这些运算正是我们要拆解的重点
[00:01:50 - 00:01:52] 首先我们要解决第一个硬核问题
[00:01:52 - 00:01:53] 什么是KVcash
[00:01:53 - 00:01:55] 在Transformer架构里
[00:01:55 - 00:01:57] AI处理信息靠的是注意力机制
[00:01:57 - 00:01:58] 简单来说
[00:01:58 - 00:02:00] 当AI要预测下一个词时
[00:02:00 - 00:02:02] 它必须回头看一眼之前所有的词
[00:02:02 - 00:02:05] 它会给每个词分配三个角色
[00:02:05 - 00:02:06] Q查询
[00:02:06 - 00:02:06] K键
[00:02:06 - 00:02:07] V值
[00:02:07 - 00:02:10] 你可以把Q理解为我要找什么
[00:02:10 - 00:02:12] K理解为我有这些标签
[00:02:12 - 00:02:15] V理解为我包含的具体信息
[00:02:15 - 00:02:18] AI会用当前的Q去匹配之前所有词的K
[00:02:18 - 00:02:19] 算出权重
[00:02:19 - 00:02:21] 最后把对应的V加全球合
[00:02:21 - 00:02:24] 如果没有缓存 ai 每生成一个新词
[00:02:24 - 00:02:26] 都要把之前所有的词重新算一遍
[00:02:26 - 00:02:28] qkv 在预填充阶段
[00:02:28 - 00:02:31] 也就是你刚把提示词发给 ai 时
[00:02:31 - 00:02:33] 它的计算复杂度是平方级别的
[00:02:33 - 00:02:35] 但到了解码阶段
[00:02:35 - 00:02:37] 也就是它一个词一个词往外蹦的时候
[00:02:37 - 00:02:38] 如果没有缓存
[00:02:38 - 00:02:41] 每蹦一个词都要重新算一遍前面的所有词
[00:02:41 - 00:02:44] 这种重复计算简直是算力的巨大浪费
[00:02:44 - 00:02:46] 于是工程师们想了个办法
[00:02:46 - 00:02:48] 把算过的 k 和 v 存起来
[00:02:48 - 00:02:50] 这就是 kvcash
[00:02:50 - 00:02:52] 有了它AI生成新词时
[00:02:52 - 00:02:54] 只需要计算当前这个词的QKV
[00:02:54 - 00:02:57] 然后直接去缓存里拿之前的K和V就行了
[00:02:57 - 00:03:00] 这直接把D-code阶段的计算复杂度
[00:03:00 - 00:03:02] 从平方级降到了限性级
[00:03:02 - 00:03:05] 这就是为什么缓存命中的价格更便宜
[00:03:05 - 00:03:08] 因为你省去了对历史文本进行重复计算的昂贵过程
[00:03:08 - 00:03:09] 但这里有个代价
[00:03:09 - 00:03:12] KVCash是非常吃显存的
[00:03:12 - 00:03:13] 以Lamar 213B为例
[00:03:13 - 00:03:17] 4000个Token的缓存大约需要占用2.6GB的显存
[00:03:17 - 00:03:21] 所以AI的记性其实是非常昂贵的物理存在
[00:03:21 - 00:03:22] 既然KVK是这么贵
[00:03:22 - 00:03:24] 那怎么管理它就成了关键
[00:03:24 - 00:03:27] 早期的LLM推理框架非常浪费显存
[00:03:27 - 00:03:29] 他们会为每个请求预先
[00:03:29 - 00:03:32] 分配一大块连续的显存空间
[00:03:32 - 00:03:34] 就像酒店定房你还没住进来
[00:03:34 - 00:03:37] 我就先把你可能要住的100间房全锁死了
[00:03:37 - 00:03:39] 结果就是很多显存被控制
[00:03:39 - 00:03:42] 别人也用不了这叫显存碎片
[00:03:42 - 00:03:44] 这时候伯克利大学的研究者们
[00:03:44 - 00:03:46] 提出了page的attention
[00:03:46 - 00:03:48] 也就是VLLM框架的核心
[00:03:48 - 00:03:51] 他们借鉴了操作系统里虚拟内存的思想
[00:03:51 - 00:03:54] 不再分配连续的大块显存
[00:03:54 - 00:03:56] 而是把显存切成一个个小的页面
[00:03:56 - 00:03:57] Pages
[00:03:57 - 00:04:00] 这些页面可以散落在显存的任何地方
[00:04:00 - 00:04:01] 通过一个页表来管理
[00:04:01 - 00:04:03] AI需要存新词的KV时
[00:04:03 - 00:04:06] 系统就随便找个空闲的页面塞进去
[00:04:06 - 00:04:09] 这就像酒店不再给你预留整层楼
[00:04:09 - 00:04:11] 而是哪有空房就让你住哪
[00:04:11 - 00:04:13] 只要前台手里有一张清单记着就行
[00:04:13 - 00:04:16] 这种技术让显存利用率提升了近一倍
[00:04:16 - 00:04:19] 同样的显存现在能同时服务两倍的用户
[00:04:19 - 00:04:22] 这就是为什么现在的AI响应越来越快
[00:04:22 - 00:04:23] 价格也越来越低
[00:04:23 - 00:04:24] 明白了
[00:04:24 - 00:04:26] KVcash和Page Detention
[00:04:26 - 00:04:28] 你就能理解为什么输入和输出价格不同了
[00:04:28 - 00:04:30] 在LLM推理中
[00:04:30 - 00:04:32] Prefial是算力受限
[00:04:32 - 00:04:33] GPU核心全满在
[00:04:33 - 00:04:35] 并行处理所有输入Token
[00:04:35 - 00:04:37] 吞吐量极高
[00:04:37 - 00:04:38] 就像是批发
[00:04:38 - 00:04:40] 所以输入Token相对便宜
[00:04:40 - 00:04:42] 但Decode的阶段是仿存受限
[00:04:42 - 00:04:45] GPU核心在等显存贷宽把KVCash传过来
[00:04:45 - 00:04:48] 利用率极低 通常不到5%
[00:04:48 - 00:04:51] 这叫零售 效率极低 成本极高
[00:04:51 - 00:04:54] 你付的高价输出费其实是在为GPU的空转买单
[00:04:54 - 00:04:57] 接下来我们要聊聊那个最让人困惑的现象
[00:04:57 - 00:04:59] 居始装置能
[00:04:59 - 00:05:02] 虽然AI大神Andre Carpese经常提到这个词
[00:05:02 - 00:05:05] 但他的科学根源其实来自2023年
[00:05:05 - 00:05:07] 哈佛和沃顿商学院的一份研究报告
[00:05:07 - 00:05:10] 你会发现AI的能力并不是一个平滑的圆
[00:05:10 - 00:05:13] 而是像句齒一样称资不齐
[00:05:13 - 00:05:15] 它能帮你写出极其复杂的拍摄脚本
[00:05:15 - 00:05:20] 却可能在算19.11和19.9哪个大时反彻
[00:05:20 - 00:05:22] AI的智能取决于它训练数据的分布
[00:05:22 - 00:05:24] 在代码逻辑推理等领域
[00:05:24 - 00:05:26] 数据量大且逻辑严密
[00:05:26 - 00:05:28] AI的表现就像天才
[00:05:28 - 00:05:30] 但在一些看似常识
[00:05:30 - 00:05:34] 实则在训练数据中存在奇异或分布西输的地方
[00:05:34 - 00:05:35] 它就会表现得像个智障
[00:05:35 - 00:05:39] 比如1911在软件版本号里经常出现
[00:05:39 - 00:05:40] 它比19.9大
[00:05:40 - 00:05:43] 但在纯数学里它比19.9小
[00:05:43 - 00:05:45] AI并没有真正的自知之明
[00:05:45 - 00:05:48] 它只是在概率的海洋里随波逐流
[00:05:48 - 00:05:50] 这种能力的剧齿状分布
[00:05:50 - 00:05:52] 正是目前大模型最大的局限性
[00:05:52 - 00:05:56] 看到这里你可能会想起那个小马过河的语言
[00:05:56 - 00:05:59] 老牛说水浅 松鼠说水深
[00:05:59 - 00:06:01] 很多人觉得大模型的能力就像那条河
[00:06:01 - 00:06:02] 深度是固定的
[00:06:02 - 00:06:04] 只是不同的人不同
[00:06:04 - 00:06:05] 所以得到的体验不同
[00:06:05 - 00:06:07] 但我想告诉你的是
[00:06:07 - 00:06:09] 这个认知其实只对了一半
[00:06:09 - 00:06:10] 真相是小马是固定的
[00:06:10 - 00:06:12] 河水深度也是固定的
[00:06:12 - 00:06:14] 真正诡异的是河底
[00:06:14 - 00:06:15] 想象一下
[00:06:15 - 00:06:18] 小马射河时河底并不是平整的
[00:06:18 - 00:06:20] 有的地方平坦如沙滩
[00:06:20 - 00:06:22] 有的地方却是岩石重重深水沟
[00:06:22 - 00:06:25] 当它一脚踏到平坦的沙滩时
[00:06:25 - 00:06:26] 水深仅上足踏
[00:06:26 - 00:06:28] 步履轻松的很
[00:06:28 - 00:06:30] 但当它不幸踏中了深水沟时
[00:06:30 - 00:06:32] 即使体含水平不变
[00:06:32 - 00:06:33] 也会突然深不可测
[00:06:33 - 00:06:36] 这就是LLM的剧齿状智能
[00:06:36 - 00:06:37] 模型本身是固定的
[00:06:37 - 00:06:39] 你提出的任务也是固定的
[00:06:39 - 00:06:42] 真正变化的是你与模型之间的一致性
[00:06:42 - 00:06:45] 你的任务是否正好塌在了模型的能力高低
[00:06:45 - 00:06:48] 所以不要试图寻找一个通用的AI智力指标
[00:06:48 - 00:06:51] 在AI的世界里没有绝对的深浅
[00:06:51 - 00:06:54] 只有任务空间中极其不均匀的地形
[00:06:54 - 00:06:56] 我们要建立一个新的认知框架
[00:06:56 - 00:06:58] AI不是在思考而是在联想
[00:06:58 - 00:07:01] 所谓的智能其实是高为空间里的概率你和
[00:07:01 - 00:07:02] 当你理解了这一点
[00:07:03 - 00:07:05] 你就能明白为什么KVCache那么重要
[00:07:05 - 00:07:08] 因为它保存了AI联想的上下文毛点
[00:07:08 - 00:07:09] 没有了这些毛点
[00:07:09 - 00:07:12] AI就会彻底迷失在概率的荒原里
[00:07:12 - 00:07:13] 那么未来会怎样
[00:07:13 - 00:07:15] 为了解决KVcash这个显存杀手
[00:07:15 - 00:07:17] 工程师们正在疯狂内卷
[00:07:17 - 00:07:20] 比如DipC-KV3提出的MLA技术
[00:07:20 - 00:07:23] 它不再死板地存储所有的K和V
[00:07:23 - 00:07:25] 而是通过低质压缩
[00:07:25 - 00:07:27] 把它们压成一个极小的像量
[00:07:27 - 00:07:30] 在推理时再动态地把他们解压出来
[00:07:30 - 00:07:32] 这让KVcash的体积缩小了数倍
[00:07:32 - 00:07:35] 甚至让100万Token的长文本推理成为了可能
[00:07:35 - 00:07:38] 还有谷歌最新的TurboQuant技术
[00:07:38 - 00:07:40] 它通过极端的量化压缩
[00:07:40 - 00:07:42] 在几乎不损失精度的情况下
[00:07:42 - 00:07:44] 把KVcash的体积进一步压缩
[00:07:44 - 00:07:46] 但这里有个很离谱的地方
[00:07:46 - 00:07:48] 软件优化有个天花板
[00:07:48 - 00:07:51] 每当你用KVcash优化技术来改善推理效率
[00:07:51 - 00:07:54] 你其实是在用软件来弥补硬件的不足
[00:07:54 - 00:07:57] 真正的突破来自硬件架构本身的改造
[00:07:57 - 00:07:59] 比如Serebrus的经援级集成方案
[00:07:59 - 00:08:01] 整个芯片是一个巨大的经援
[00:08:01 - 00:08:04] 计算内存互联全部集成在一起
[00:08:04 - 00:08:07] 片上Sham带宽达到21Pb每秒
[00:08:07 - 00:08:10] 相比GPU的3Tb每秒快了7000倍
[00:08:10 - 00:08:13] 这意味着KV开始的访问几乎没有瓶颈
[00:08:13 - 00:08:16] 你不需要Page Detention来管理显存碎片
[00:08:16 - 00:08:18] 也不需要复杂的数据留优化
[00:08:18 - 00:08:21] 你可以直接把百万级Token的KV存在片上一次访问
[00:08:21 - 00:08:23] Cerebrus声称Lama Smavric
[00:08:23 - 00:08:26] 可以达到2500Token每秒的推理速度
[00:08:26 - 00:08:28] 这已经是GPU的50倍
[00:08:28 - 00:08:30] 然后是Grogg的另一种思路
[00:08:30 - 00:08:32] Grogg不走晶圓级集成的路线
[00:08:32 - 00:08:35] 而是设计了一种叫张量流处理的架构
[00:08:35 - 00:08:38] 数据在芯片内部像工业流水线一样流动
[00:08:38 - 00:08:40] 不需要回到主存
[00:08:40 - 00:08:43] Grogg的SRAM带宽是150TB每秒
[00:08:43 - 00:08:45] 相比GPU快50倍
[00:08:45 - 00:08:47] 虽然片上只有500MB的SRAM
[00:08:47 - 00:08:49] 但通过静态调度的高效率
[00:08:49 - 00:08:51] 它的推理延迟极低
[00:08:51 - 00:08:53] 这适合对实时性要求高的场景
[00:08:53 - 00:08:55] 这就是为什么我说
[00:08:55 - 00:08:58] LLM推理的未来不是单纯的软件优化
[00:08:58 - 00:09:02] 未来的数据中心会是一个多芯片混合的生态
[00:09:02 - 00:09:03] GPU用于训练
[00:09:03 - 00:09:04] LPU用于推理
[00:09:04 - 00:09:07] Sribus追求极致吞吐
[00:09:07 - 00:09:08] Grogg追求极致延迟
[00:09:08 - 00:09:12] 他们用完全不同的硬件设计都突破了内存墙
[00:09:12 - 00:09:14] 未来的AI一定会变得更便宜
[00:09:14 - 00:09:17] 因为我们正在学会如何从硬件到软件
[00:09:17 - 00:09:19] 全方位的优化进行
[00:09:19 - 00:09:20] 它也会变得更聪明
[00:09:20 - 00:09:23] 因为我们正在尝试给概率套赏逻辑的江省
[00:09:23 - 00:09:25] 最后送给大家一句话
[00:09:25 - 00:09:27] AI的上线取决于算力
[00:09:27 - 00:09:30] 但他的下限取决于我们对他偏科的容忍度
[00:09:30 - 00:09:33] 不要因为他的某个低级错误就否定他
[00:09:33 - 00:09:36] 也不要因为他的一段经验代码就神话他
[00:09:36 - 00:09:39] 理解他的原理才能真正驾驭他
[00:09:39 - 00:09:42] 你在使用AI的过程中遇到过哪些让你觉得他
[00:09:42 - 00:09:44] 智障或者神了的时刻
[00:09:44 - 00:09:46] 欢迎在评论区分享你的故事
[00:09:46 - 00:09:47] 我们一起拆解
[00:09:47 - 00:09:50] 如果你觉得这一期内容对你有帮助
[00:09:50 - 00:09:52] 别忘了长按点赞一键三连
[00:09:52 - 00:09:54] 你的支持就是我更新的最大动力
[00:09:54 - 00:09:56] 我是为什么叫QQ我们下期见
