BV号：BV1HeXjBUE8L
标题：BV1HeXjBUE8L
链接：https://www.bilibili.com/video/BV1HeXjBUE8L
识别语言：zh
语言置信度：1
分段数：422
生成时间：2026-08-29 07:16:36

[00:00:00 - 00:00:02] 大家好 我是为什么叫QQ
[00:00:02 - 00:00:05] 你可能觉得AI编程就是给大模型发一句指令
[00:07:15 - 00:07:16] G-Stack
[00:07:16 - 00:07:20] 这是Y-Confinite现任CEO Gary Tend的预用工作流
[00:07:20 - 00:07:21] 他的核心理念是
[00:07:21 - 00:07:23] 把单个的AI大模型
[00:07:23 - 00:07:26] 硬生生拆分成一个完整的虚拟工程团队
[00:07:26 - 00:07:27] Gary Tend认为
[00:07:27 - 00:07:30] 高效的软件开发不是靠单个聪明人
[00:07:30 - 00:07:33] 而是靠系统化的流程和多角色写作
[00:07:33 - 00:07:36] 因此他通过G-Stack将这种团队写作模式
[00:07:36 - 00:07:38] 引入到了AI编程中
[00:07:38 - 00:07:41] 在GSTAC中定義了15個極其精細的技能指令
[00:07:41 - 00:07:45] 比如輸入Office Hours AI就會化身CEO
[00:07:45 - 00:07:48] 跟你討論產品的商業戰略和高層架構
[00:07:48 - 00:07:52] 輸入PlanCEO Review AI就會對當前的開發計畫
[00:07:52 - 00:07:54] 進行嚴苛的商業價值審查
[00:07:54 - 00:07:56] 這種角色扮演的模式
[00:07:56 - 00:07:59] 讓AI在不同的階段專注於不同的目標
[00:07:59 - 00:08:01] 避免了角色混淆帶來的混亂
[00:08:01 - 00:08:04] 進入開發階段Review負責代碼審查
[00:08:04 - 00:08:06] 斜槓KI負責質量保證
[00:08:06 - 00:08:08] SHIP負責發布流程
[00:08:08 - 00:08:11] 它甚至支持10-15个平行冲刺
[00:08:11 - 00:08:13] 让不同的AI角色同时处理不同的任务
[00:08:13 - 00:08:17] 这种高度并行的工作流极大地提升了开发效率
[00:08:17 - 00:08:19] 你不再是一个人在战斗
[00:08:19 - 00:08:22] 而是拥有了一个不知疲倦的虚拟工程团队
[00:08:22 - 00:08:23] 但这里有个很离谱的地方
[00:08:23 - 00:08:26] G-Stack引入了多模型协作机制
[00:08:26 - 00:08:28] 它不仅用Cloud来做设计和规划
[00:08:28 - 00:08:33] 还会调用OpenAI的Codex来进行代码审查和安全挑战
[00:08:33 - 00:08:37] 这种多模型协作的设计打破了单一模型的局限性
[00:08:37 - 00:08:39] 不同的模型有不同的优势和盲驱
[00:08:39 - 00:08:43] 通过交叉验证可以发现更多隐藏的问题
[00:08:43 - 00:08:44] 为什么不用同一个模型
[00:08:44 - 00:08:47] 因为大模型存在过度自新的盲驱
[00:08:47 - 00:08:50] 它很难发现自己生成的代码中的逻辑漏洞
[00:08:50 - 00:08:53] 用不同的模型互相博弈互相审查
[00:08:53 - 00:08:55] 就像真实团队里的交叉code review
[00:08:55 - 00:08:58] 能极大降低致命bug的发声率
[00:08:58 - 00:09:01] 这种机制让AI生成的代码更加健壮和安全
[00:09:01 - 00:09:03] 为了保证绝对的安全
[00:09:03 - 00:09:05] G-Stack还设置了多层防护机制
[00:09:05 - 00:09:08] Careful指令会进行深度的安全检查
[00:09:08 - 00:09:10] Freeze会在关键时刻冻结功能变更
[00:09:10 - 00:09:12] Gard则是最后的守卫机制
[00:09:12 - 00:09:15] 这完全是把企业级的安全生产标准
[00:09:15 - 00:09:17] 塞进了一个个人的AI工具里
[00:09:17 - 00:09:21] 通过这些机制GStack不仅提升了开发效率
[00:09:21 - 00:09:23] 更保证了代码的质量和安全性
[00:09:23 - 00:09:25] 最后我们来看OpenSpec
[00:09:25 - 00:09:27] 如果说前两个项目是在控制开发过程
[00:09:27 - 00:09:30] 那么OpenSpec则是从源头抓起
[00:09:30 - 00:09:33] 它的核心理念是SDD 规范驱动开发
[00:09:33 - 00:09:36] OpenSpec认为AI编程的不可预测性
[00:09:36 - 00:09:39] 根源在于需求只存在于聊天历史中
[00:09:39 - 00:09:41] 缺乏明确的规范约束
[00:09:41 - 00:09:44] 因此它提出在写代码前
[00:09:44 - 00:09:46] 先用AI和人类达成一致的规范
[00:09:46 - 00:09:48] 在OpenSpec的工作流中
[00:09:48 - 00:09:51] 你输入邪纲Upsex 冒号Propose提出一个想法
[00:09:51 - 00:09:52] AI不会马上写代码
[00:09:52 - 00:09:55] 而是会为你生成一个完整的规范文件家
[00:09:55 - 00:09:58] 这个文件家是整个开发过程的基石
[00:09:58 - 00:10:01] 所有的代码实现都必须以此为依据
[00:10:01 - 00:10:03] 这种做法将隐性的需求显性化
[00:10:03 - 00:10:06] 极大的减少了沟通成本和理解偏差
[00:10:06 - 00:10:08] 这个文件家里包含了什么
[00:10:08 - 00:10:10] Proposal.md解释为什么要做这个变更
[00:10:10 - 00:10:14] SpecsMulu定义了详细的需求和业务场景
[00:10:14 - 00:10:16] Design.md敲定了底层技术方案
[00:10:16 - 00:10:19] Tasks.md则是精确到布的实现清单
[00:10:19 - 00:10:21] 这些文档不仅是给人类看的
[00:10:21 - 00:10:23] 更是给AI看的
[00:10:23 - 00:10:26] 它们构成了AI执行任务的上下文和约束条件
[00:10:26 - 00:10:28] 这又不就是传统大厂里
[00:10:28 - 00:10:30] 最让人头疼的写文档环节吗
[00:10:30 - 00:10:33] 沒錯 但現在寫文檔的痛苦交給了AI
[00:10:33 - 00:10:35] 而人類只負責審查和對齊
[00:10:35 - 00:10:38] AI強大的文本生成能力在這裡得到了完美的體現
[00:10:38 - 00:10:42] 它能夠快速地將模糊的想法轉化為結構化的文檔
[00:10:42 - 00:10:45] 而人類只需要在關鍵節點進行把關
[00:10:45 - 00:10:49] 只有當人類和AI在這些Markdown文檔上達成100%的共識後
[00:10:49 - 00:10:51] 才會執行斜槓
[00:10:51 - 00:10:53] Opsex Apply開始寫代碼
[00:10:53 - 00:10:56] AI必須嚴格按照Taskas.md里的清單
[00:10:56 - 00:10:59] 一步一步實現 並在完成後進行歸檔
[00:10:59 - 00:11:01] 这种基于规范的开发模式
[00:11:01 - 00:11:04] 确保了代码的实现与最初的需求高度一致
[00:11:04 - 00:11:06] 避免了开发过程中的需求飘移
[00:11:06 - 00:11:08] 在长周期的开发中
[00:11:08 - 00:11:10] AI很容易忘记最初的目标
[00:11:10 - 00:11:11] 但有了OpenSpec
[00:11:11 - 00:11:15] 规范文档就是AI的外挂记忆体和绝对真理
[00:11:15 - 00:11:17] 确保它永远不会偏离航向
[00:11:17 - 00:11:20] 这就是规范驱动开发的魅力所在
[00:11:20 - 00:11:23] 很多人会觉得AI编程的终极形态
[00:11:23 - 00:11:24] 就是我们什么都不用管
[00:11:24 - 00:11:25] 只要给个大方向
[00:11:25 - 00:11:29] 一个极其聪明的全能AI就能帮我们搞定一切
[00:11:29 - 00:11:31] 我们总是期待模型参数在大一点
[00:11:31 - 00:11:33] 上下文窗口在长一点
[00:11:33 - 00:11:36] 我们幻想有一天AI能够完全替代程序员
[00:11:36 - 00:11:38] 自动完成所有的软件开发工作
[00:11:38 - 00:11:41] 但这种幻想往往会让我们在现实中碰壁
[00:11:41 - 00:11:44] 但真相是在真正的工程实践中
[00:11:44 - 00:11:47] 单靠模型的聪明是远远不够的
[00:11:47 - 00:11:50] 软件工程的本质是对抗复杂性和不确定性
[00:11:50 - 00:11:54] 而大模型本身恰恰是一个充满不确定性的黑盒
[00:11:54 - 00:11:57] 你永远不知道它下一次会生成什么样的代码
[00:11:57 - 00:12:01] 因此,我们需要用确定性的流程和规范来约束AI的不确定性
[00:12:01 - 00:12:04] 我们从第一性原理来拆解一下大语言模型
[00:12:04 - 00:12:06] 在编程场景下的五个致命短板
[00:12:06 - 00:12:10] 只有深刻理解了这些短板,我们才能更好地利用AI
[00:12:10 - 00:12:14] 这五个短板是目前所有大模型都无法完全克服的固有缺陷
[00:12:14 - 00:12:15] 第一,幻觉
[00:12:15 - 00:12:18] 它会一本征经地调用根本不存在的API
[00:12:18 - 00:12:21] 或者编造出看似合理的逻辑
[00:12:21 - 00:12:23] 第二,上下文丧失
[00:12:23 - 00:12:24] 在幾萬tokens的對話後
[00:12:24 - 00:12:27] 它會悄悄忘記你最初定下的架構原則
[00:12:27 - 00:12:32] 這兩個問題導致了AI生成的代碼往往缺乏可靠性和一致性
[00:12:32 - 00:12:34] 第三 缺乏全局仕途
[00:12:34 - 00:12:35] 它能寫好一個函數
[00:12:35 - 00:12:39] 但很難理解遷移法而動全身的系統基因影響
[00:12:39 - 00:12:40] 第四 過度自信
[00:12:40 - 00:12:43] 它對不確定的代碼表現得極其確定
[00:12:43 - 00:12:44] 誤導開發者
[00:12:44 - 00:12:45] 第五 一致性極差
[00:12:45 - 00:12:46] 同樣的需求
[00:12:46 - 00:12:49] 今天和明天生成的代碼可能完全不同
[00:12:49 - 00:12:52] 這些短板決定了我們不能完全信任AI
[00:12:52 - 00:12:56] 所以这三个开源项目给我们上了生动的一刻
[00:12:56 - 00:12:59] 最顶级的AI编程不是放任AI的自由
[00:12:59 - 00:13:02] 而是用人类积累了半个世纪的软件工程智慧
[00:13:02 - 00:13:05] 去约束AI 规范AI 验证AI
[00:13:05 - 00:13:08] 通过引入流程角色和规范
[00:13:08 - 00:13:10] 我们可以最大程度的规避AI的短板
[00:13:10 - 00:13:11] 发挥它的优势
[00:13:11 - 00:13:13] 看到这里你可能会想
[00:13:13 - 00:13:17] 那我到底该怎么在自己的项目里应用这些理念
[00:13:17 - 00:13:19] 难道我也要搞这么复杂的流程吗
[00:13:19 - 00:13:22] 其实你不需要照办这些项目的全部流程
[00:13:22 - 00:13:24] 关键在于理解他们背后的底层逻辑
[00:13:24 - 00:13:27] 并根据自己的实际情况进行裁检和应用
[00:13:27 - 00:13:28] 我的答案是
[00:13:28 - 00:13:32] 我们需要建立一个AI编程的四层金字塔认知框架
[00:13:32 - 00:13:34] 无论你用什么工具
[00:13:34 - 00:13:35] 这四层逻辑是通用的
[00:13:35 - 00:13:40] 这个框架可以帮助你系统的思考如何更好地利用AI进行编程
[00:13:40 - 00:13:43] 金字塔的最底层是第一层 规范化
[00:13:43 - 00:13:47] 在写任何代码前必须先用markdown写清楚需求和设计
[00:13:47 - 00:13:49] 这是消除AI想当然的唯一方法
[00:13:49 - 00:13:51] 就像OpenSpec做的那样
[00:13:51 - 00:13:53] 把隐性知识变成显性文档
[00:13:53 - 00:13:55] 规范化是整个金字塔的基础
[00:13:55 - 00:13:57] 没有规范一切都无从弹起
[00:13:57 - 00:13:59] 网上一层是第二层
[00:13:59 - 00:14:00] 流程化
[00:14:00 - 00:14:01] 把大任务拆碎
[00:14:01 - 00:14:02] 强制执行TDD
[00:14:02 - 00:14:04] 强制进行代码审查
[00:14:04 - 00:14:06] 不要让AI一次性写几百行代码
[00:14:06 - 00:14:09] 而是让它在严密的流水线上
[00:14:09 - 00:14:10] 一次只做一件事
[00:14:10 - 00:14:13] 流程化可以确保代码的质量和可谓互性
[00:14:13 - 00:14:15] 避免AI在复杂的逻辑中迷失
[00:14:15 - 00:14:17] 在网上是第三层
[00:14:17 - 00:14:19] 可验证性AI写的每一行代码
[00:14:19 - 00:14:21] 都必须有对应的自动化测试
[00:14:21 - 00:14:24] 或者经过另一个独立AI模型的交叉审查
[00:14:24 - 00:14:27] 没有验证的代码就是埋在系统里的定时炸弹
[00:14:27 - 00:14:30] 可验证性是保证系统稳定运行的关键
[00:14:30 - 00:14:32] 也是我们信任AI的前提
[00:14:32 - 00:14:33] 金斯塔的顶端是第四层
[00:14:33 - 00:14:34] 可追踪性
[00:14:34 - 00:14:38] 每一次代码变更都要能追溯到对应的设计文档和决策背景
[00:14:38 - 00:14:40] 当系统出问题时
[00:14:40 - 00:14:42] 你不仅要知道代码错在哪
[00:14:42 - 00:14:44] 还要知道当时AI为什么这么设计
[00:14:44 - 00:14:47] 可追踪性让我们能够更好的理解和维护
[00:14:47 - 00:14:49] 系统避免技术债务的积累
[00:14:49 - 00:14:50] 换一个角度来看
[00:14:50 - 00:14:52] 我们不是在用 AI 替代程序员
[00:14:52 - 00:14:55] 我们是在用 AI 重构整个软件工程的流水线
[00:14:55 - 00:14:58] 在这个流水线里 AI 是干活的机器
[00:14:58 - 00:15:02] 而你是制定规则把控质量的超级包工头
[00:15:02 - 00:15:04] 你的核心价值不再是携带码
[00:15:04 - 00:15:07] 而是设计系统制定规范和把控质量
[00:15:07 - 00:15:08] 接下来会发生什么
[00:15:08 - 00:15:10] 基于这三个项目的眼睛
[00:15:10 - 00:15:13] 我大胆预测 AI 编程未来的几个核心趋势
[00:15:13 - 00:15:18] 这些趋势将深刻的改变我们的工作方式和软件工程的面貌
[00:15:18 - 00:15:20] 第一规范优先将成为绝对主流
[00:15:20 - 00:15:24] 未来的AI IDE不会一上来就给你一个写代码的输入框
[00:15:24 - 00:15:28] 而是会强制要求你先完成架构设计和需求对齐
[00:15:28 - 00:15:29] 无规范不编码
[00:15:29 - 00:15:32] 这将极大的提高软件开发的效率和质量
[00:15:32 - 00:15:35] 第二多模型编排会取代单体大模型
[00:15:35 - 00:15:37] 你会看到Cloud的负责写文档
[00:15:37 - 00:15:39] GPT负责写核心逻辑
[00:15:39 - 00:15:41] Gemini负责写测试用力
[00:15:41 - 00:15:44] 本地的小模型负责实施与法检查
[00:15:44 - 00:15:48] 他们会像一个真实的跨国团队一样无缝协作
[00:15:48 - 00:15:52] 这种多模型协作的模式将成为未来AI编程的标配
[00:15:52 - 00:15:55] 第三 自动化审查将达到企业级标准
[00:15:55 - 00:15:58] AI互相审查 AI的代码会成为常态
[00:15:58 - 00:16:01] 不仅查bug 还会查架构合理性 查商业逻辑漏洞
[00:16:01 - 00:16:04] 人类只需要在最后的高风险节点进行确认
[00:16:04 - 00:16:08] 这将极大的减轻人类开发者的负担提高代码的安全性
[00:16:08 - 00:16:11] 这对我们普通开发者意味着会写代码这项
[00:16:11 - 00:16:14] 技能的价值正在被迅速稀释
[00:16:14 - 00:16:17] 未来真正之前的是你拆解复杂业务的能力
[00:16:17 - 00:16:19] 是你制定工程规范的能力
[00:16:19 - 00:16:21] 是你系统性思考的底层逻辑
[00:16:21 - 00:16:25] 我们需要从马农向系统架构师和工程管理者转型
[00:16:25 - 00:16:27] 最后我想说一句话
[00:16:27 - 00:16:28] AI编程的未来
[00:16:28 - 00:16:32] 是规范和流程的胜利而非模型的胜利
[00:16:32 - 00:16:34] 这不是在否定AI的价值
[00:16:34 - 00:16:37] 而是在强调人类工程智慧的不可替代性
[00:16:37 - 00:16:39] 当我们学会用规范和流程去驾驭AI
[00:16:39 - 00:16:42] 我们才能真正发挥出AI的最大潜力
[00:16:42 - 00:16:45] 你觉得在日常使用AI写代码时最大的痛点是什么
[00:16:45 - 00:16:49] 是AI听不懂人话还是生成的代码bug太多
[00:16:49 - 00:16:50] 或者你有其他的困扰
[00:16:50 - 00:16:55] 欢迎在评论区告诉我你的想法或者分享你独家的AI编程工作流
[00:16:55 - 00:16:59] 让我们一起探讨如何在AI时代成为更优秀的开发者
[00:16:59 - 00:17:02] 如果这期视频对你有帮助 记得点赞投币收藏
[00:17:02 - 00:17:04] 这是对我最大的支持
[00:17:04 - 00:17:06] 我是为什么叫QQ 我们下期见
[00:17:06 - 00:17:10] 别忘了一键三连,你的支持是我继续做硬核内容的动力。
