BV号：BV19hKWehEbu
标题：BV19hKWehEbu
链接：https://www.bilibili.com/video/BV19hKWehEbu
识别语言：zh
语言置信度：1
分段数：311
生成时间：2026-08-30 13:43:30

[00:00:00 - 00:00:03] 大家好 这里是最佳拍档 我是大飞
[00:00:03 - 00:00:04] 在当下的科技圈
[00:02:05 - 00:02:07] AZ1虽然取得了成功
[00:02:07 - 00:02:08] 但是它并非是完美无缺的
[00:02:09 - 00:02:10] 就像任何一项新技术
[00:02:10 - 00:02:13] 在发展的初期总会存在着一些局限性
[00:02:13 - 00:02:16] AZ1的性能受到几个关键因素的制约
[00:02:16 - 00:02:18] 首先它所使用的特定领域语言
[00:02:18 - 00:02:19] 范围有限
[00:02:19 - 00:02:21] 这就好比是一个人知识储备不够丰富
[00:02:21 - 00:02:24] 遇到一些超出他认知范围的知识点
[00:02:24 - 00:02:25] 就会感到力不从心
[00:02:25 - 00:02:26] 其次
[00:02:26 - 00:02:28] 符号引擎的效率也有待提高
[00:02:28 - 00:02:30] 就像一辆汽车发动机不够强劲
[00:02:30 - 00:02:32] 形式起来就不够顺畅
[00:02:32 - 00:02:33] 最后
[00:02:33 - 00:02:34] 初始语言模型的容量
[00:02:34 - 00:02:36] 也限制了它的发挥
[00:02:36 - 00:02:37] 就像一个小仓库
[00:02:37 - 00:02:38] 装不下太多的东西
[00:02:38 - 00:02:39] 由于这些限制
[00:02:39 - 00:02:42] 当在考虑2000年至今的所有IMO
[00:02:42 - 00:02:43] 几何题的时候
[00:02:43 - 00:02:46] AG1的解体率只能停留在54%
[00:02:46 - 00:02:48] 但是也正是这些不足
[00:02:48 - 00:02:50] 为后续的改进指明了方向
[00:02:50 - 00:02:52] 也促使谷歌DMI的团队不断的探索
[00:02:52 - 00:02:57] 最終打造出了更強大的α-Δ2-Az2
[00:02:57 - 00:02:58] 為了克服Az1的局限
[00:02:58 - 00:03:01] 谷歌丁邁的研究人員付出了大量的努力
[00:03:01 - 00:03:03] 對系統進行了全面的升級
[00:03:03 - 00:03:05] α-Δ2由此應運而升
[00:03:05 - 00:03:08] 並且在多個方面都有了智的飛躍
[00:03:08 - 00:03:10] 先來說一說領域語言的擴展
[00:03:10 - 00:03:13] Az2不再局限於Az1那樣相對狹窄的語言範圍
[00:03:13 - 00:03:16] 而是將觸角伸向了更加廣泛的幾何概念
[00:03:16 - 00:03:19] 它涵蓋了軌跡定理和線性方程等等重要的內容
[00:03:19 - 00:03:22] 還能夠處理非構造型問題陳述
[00:03:22 - 00:03:24] 这意味着AJ2对于几何知识的理解
[00:03:24 - 00:03:25] 更加全面和深入
[00:03:25 - 00:03:28] 能够应对更加复杂多样的几何问题
[00:03:28 - 00:03:29] 打个比方
[00:03:29 - 00:03:32] AJ1就像是一个只能在小吃糖里游泳的人
[00:03:32 - 00:03:35] 而AJ2则像是学会了在大海里畅游的高手
[00:03:35 - 00:03:37] 面对各种复杂的水域环境
[00:03:37 - 00:03:38] 都能够应对自如
[00:03:38 - 00:03:41] 符号隐形作为Alpha-Giometry的核心组件
[00:03:41 - 00:03:44] 在AJ2中也得到了全方位的升级
[00:03:44 - 00:03:47] 谷歌将它称为演绎数据库算数推理
[00:03:47 - 00:03:48] 也就是DDAR
[00:03:48 - 00:03:49] 在AJ2里
[00:03:49 - 00:03:51] DDAR有了三项关键的改进
[00:03:51 - 00:03:54] 第一个改进是处理二重点的问题
[00:03:54 - 00:03:57] 在一些几何问题中会出现两个名称不同
[00:03:57 - 00:03:59] 但是坐标相同的点也就是二重点
[00:03:59 - 00:04:03] 以前的DDAR在处理这类问题的时候存在困难
[00:04:03 - 00:04:04] 举个例子
[00:04:04 - 00:04:05] 假设有这样一个几何问题
[00:04:05 - 00:04:08] 在点x处两条线AB相交
[00:04:08 - 00:04:11] 需要证明点x位于某个圆Omega上
[00:04:11 - 00:04:12] 按照传统的思路
[00:04:12 - 00:04:16] 直接证明AB的焦点在Omega上可能会比较困难
[00:04:16 - 00:04:18] 但是如果换个角度重构问题
[00:04:18 - 00:04:20] 先构造一个新的点Xp
[00:04:20 - 00:04:21] 作为A与Omega的焦点
[00:04:22 - 00:04:23] 然后证明X位于B上
[00:04:23 - 00:04:26] 在利用X和XP都在AB上
[00:04:26 - 00:04:27] 得出X等于XP
[00:04:28 - 00:04:30] 最后就能证明X位于Omega上
[00:04:30 - 00:04:31] 这个过程看似复杂
[00:04:32 - 00:04:34] 但是在实际的解体中却很有效
[00:04:34 - 00:04:36] 而AZ2的DDAR通过重新实现
[00:04:36 - 00:04:39] 具备了处理这种二重点推力重高的能力
[00:04:39 - 00:04:42] 这大大增强了它解决复杂几何问题的实力
[00:04:42 - 00:04:43] 第二个改进点
[00:04:43 - 00:04:45] 是算法速度的提升
[00:04:45 - 00:04:46] 在处理几何问题的时候
[00:04:46 - 00:04:49] DDAR算法需要处理一系列的规则
[00:04:49 - 00:04:52] 并且尝试将每条规则运用于所有点的组合
[00:04:52 - 00:04:54] 这个过程中有两个是比较耗时的部分
[00:04:54 - 00:04:56] 一个是后选搜索步骤
[00:04:56 - 00:04:58] 另一个是紫矩匹配步骤
[00:04:58 - 00:04:59] 在AZ万中
[00:04:59 - 00:05:02] 搜索相似三角形后选的最坏情况
[00:05:02 - 00:05:04] 时间复达度可以高达O N的Buds房
[00:05:04 - 00:05:07] 指数级的紫矩匹配也是成本高昂
[00:05:07 - 00:05:08] 为了提高速度
[00:05:08 - 00:05:11] 谷歌的研究人员涉及了改进的DDAR2算法
[00:05:11 - 00:05:12] 对于相似三角形的搜索
[00:05:12 - 00:05:14] 他们会便利所有的点三元组
[00:05:14 - 00:05:16] 对他们的形状进行哈希处理
[00:05:16 - 00:05:18] 如果两次识别出相同的形状
[00:05:18 - 00:05:21] 就可以检测出相似的三角形对
[00:05:21 - 00:05:23] 对于原内阶四边形的搜索
[00:05:23 - 00:05:26] 他们会便利所有的点X和线段AB对
[00:05:26 - 00:05:29] 并且对AB脚AB的值进行哈西处理
[00:05:29 - 00:05:31] 一旦这样的三元组重复出现
[00:05:31 - 00:05:33] 就能够确定一个原内阶四边形
[00:05:33 - 00:05:36] 通过这种方式大大提高了搜索的效率
[00:05:36 - 00:05:38] 第三个改进点是实现方式的优化
[00:05:38 - 00:05:40] 为了进一步提升速度
[00:05:40 - 00:05:44] 谷歌使用C++来实现地理AR核心计算中的高刺效原法
[00:05:44 - 00:05:47] 新的C家库通过拍Bind11导出到拍摄
[00:05:47 - 00:05:50] 速度比DDAR1快了300多倍
[00:05:50 - 00:05:52] 研究人员还进行了基准测试
[00:05:52 - 00:05:56] 选择了一组25-DDAR1无法解决的IMO问题
[00:05:56 - 00:06:00] 在配备AMD,EP-BC,7B13,64核CPU的机器上
[00:06:00 - 00:06:01] 运行测试50次
[00:06:01 - 00:06:07] 结果显示DDAR1平均需要1179.57正负8.055秒
[00:06:07 - 00:06:08] 才能够完成计算
[00:06:08 - 00:06:11] 而DDAR2仅需要3.4471
[00:06:11 - 00:06:13] 正负0.05476秒
[00:06:13 - 00:06:14] 速度提升的效果显著
[00:06:14 - 00:06:16] 在训练数据方面
[00:06:16 - 00:06:17] AJ2也进行了优化
[00:06:17 - 00:06:18] 和Az1一样
[00:06:18 - 00:06:20] 谷歌采用合成数据生成方法
[00:06:20 - 00:06:22] 从随机图采样开始
[00:06:22 - 00:06:25] 采用符号引擎推展出所有可能的事实
[00:06:25 - 00:06:26] 并且通过回速算法
[00:06:26 - 00:06:28] 提取证明事实所需要的前提
[00:06:28 - 00:06:30] 辅助点和推理步骤
[00:06:30 - 00:06:33] 但是AJ2在数据生成上有了更大的突破
[00:06:33 - 00:06:36] 一方面它扩大了数据生成的来源
[00:06:36 - 00:06:37] 探索两倍大小的随机图
[00:06:37 - 00:06:39] 使得生成的问题更加复杂
[00:06:39 - 00:06:41] 生成的定理复杂程度提升了两倍
[00:06:41 - 00:06:43] 证明步骤更是多了10倍
[00:06:43 - 00:06:46] 同时在数据分布上也更加均衡
[00:06:46 - 00:06:48] 无论是不同类型的问题之间
[00:06:48 - 00:06:50] 还是有无辅助点的问题之间
[00:06:50 - 00:06:52] 都实现了更为合理的分布
[00:06:52 - 00:06:52] 另一方面
[00:06:52 - 00:06:54] 谷歌还改进了数据生成算法
[00:06:54 - 00:06:57] 在AZ万中获取最小问题的搜索
[00:06:57 - 00:06:58] 是指数级的
[00:06:58 - 00:07:00] 对大量的点而言不太可行
[00:07:00 - 00:07:01] 而在AZ兔中
[00:07:01 - 00:07:04] 谷歌切换到了贪婪丢气算法
[00:07:04 - 00:07:06] 这种算法就像是一个聪明的筛选器
[00:07:06 - 00:07:08] 仅仅使用现行数量的检查
[00:07:08 - 00:07:10] 就能够判断一组点是否足以证明目标
[00:07:10 - 00:07:12] 大大提高了數據生成的效率
[00:07:12 - 00:07:15] 搜索算法作為解決問題中的關鍵一環
[00:07:15 - 00:07:17] 在AZ2中也有了全新的設計
[00:07:17 - 00:07:20] 在AZ1中使用的是簡單的數搜索
[00:07:20 - 00:07:22] 而AZ2則設計了一種名為
[00:07:22 - 00:07:24] 搜索數的共享知識集合
[00:07:24 - 00:07:26] 簡稱SK1ST的新算法
[00:07:26 - 00:07:30] 這種算法可以並行執行多個不同配置的數搜索
[00:07:30 - 00:07:32] 並且通過知識共享機制
[00:07:32 - 00:07:34] 讓這些搜索數相互的幫助
[00:07:34 - 00:07:36] 具體來說在每個搜索數中
[00:07:36 - 00:07:38] 一個節點代表一次輔助構造嘗試
[00:07:38 - 00:07:40] 和一次符号引擎运行尝试
[00:07:41 - 00:07:42] 如果尝试成功
[00:07:42 - 00:07:43] 所有搜索数就会终止
[00:07:43 - 00:07:45] 如果尝试失败
[00:07:45 - 00:07:47] 节点就会把符号引擎证明的事实
[00:07:47 - 00:07:48] 写入共享事实数据库
[00:07:49 - 00:07:50] 这些共享事实经过过率
[00:07:50 - 00:07:53] 只保留与原始问题相关的内容
[00:07:53 - 00:07:55] 这样就能为同意搜索数中的其他节点
[00:07:55 - 00:07:58] 以及不同搜索数中的节点提供帮助
[00:07:58 - 00:07:59] 在系统设计上
[00:07:59 - 00:08:00] 谷歌使用了TPU V4
[00:08:00 - 00:08:02] 为每个模型提供了多个副本
[00:08:02 - 00:08:04] 让同意模型内的不同搜索数
[00:08:04 - 00:08:07] 根据自身的策略查询同意副记
[00:08:07 - 00:08:11] 并且对DDAR工作器与LM工作器进行一步运算
[00:08:11 - 00:08:14] DDAR工作器之间也能够相互协调
[00:08:14 - 00:08:15] 从而确保工作分配合理
[00:08:15 - 00:08:17] 还能够共享计算资源
[00:08:17 - 00:08:19] AZ2的语言模型也有了很大的改进
[00:08:19 - 00:08:21] 在训练设置上
[00:08:21 - 00:08:23] AZ1是一种定制版的Transformer
[00:08:23 - 00:08:25] 分两个阶段进行无监督训练
[00:08:25 - 00:08:27] 而AZ2则利用Gimmini的训练流程
[00:08:27 - 00:08:29] 将训练讲化为一个阶段
[00:08:29 - 00:08:31] 对所有数据进行无监督学习
[00:08:31 - 00:08:35] 它使用了基于西叔混合专家MoeTransformer的新模型
[00:08:35 - 00:08:37] 以金奶1.5a基础
[00:08:37 - 00:08:39] 并且使用Aj2数据进行训练
[00:08:39 - 00:08:41] 谷歌通过三种不同的设置
[00:08:41 - 00:08:43] 来训练多个不同大小的模型
[00:08:43 - 00:08:45] 包括使用领域特定语言中的
[00:08:45 - 00:08:47] 自定义分辍器从头开始训练
[00:08:47 - 00:08:48] 使用自然语言来微调
[00:08:48 - 00:08:50] 已经预训练的自定义
[00:08:50 - 00:08:51] 专业数学金奶模型
[00:08:51 - 00:08:53] 以及使用额外的图像书
[00:08:53 - 00:08:55] 从头开始进行多摸它的训练
[00:08:55 - 00:08:56] 在推理设置上
[00:08:56 - 00:08:59] Aj2让语言模型在提出辅助构造之前
[00:08:59 - 00:09:01] 了解DDAR所做的推论
[00:09:01 - 00:09:03] 将更多的信息输入到语言模型中
[00:09:03 - 00:09:05] 比如给定原始问题前提
[00:09:05 - 00:09:07] DDAR可推倒出的事实级
[00:09:07 - 00:09:09] 以及假设目标为此为真的时候
[00:09:09 - 00:09:11] DDAR可推倒出的事实级等等
[00:09:11 - 00:09:14] 这样就大大丰富了神经佛号的接口
[00:09:14 - 00:09:15] 经过这一系列的改进
[00:09:15 - 00:09:17] AZ2的实力究竟如何呢
[00:09:17 - 00:09:19] 咱们来看看实际的竞赛结果
[00:09:19 - 00:09:23] 2000到2024年MO一共有45到几个题
[00:09:23 - 00:09:26] 谷歌将他们转换为了50到alpha-j-almetry问题
[00:09:26 - 00:09:28] 也就是MO-AZ50
[00:09:28 - 00:09:29] 在这些问题上
[00:09:29 - 00:09:31] AZ2成功解决了其中的42道题
[00:09:31 - 00:09:35] 这个成绩首次超越了MO金奖得主的平均水平
[00:09:35 - 00:09:36] 从具体的数据对比来看
[00:09:36 - 00:09:40] 其他系统比如说OpenM-O1和Gemini Sync
[00:09:40 - 00:09:43] 在MO AG50上的解体数目都是0
[00:09:43 - 00:09:45] Age1的解体数目也相对较少
[00:09:45 - 00:09:47] 而Age2无论是在MO AG50
[00:09:47 - 00:09:49] 还是在MO AG30上
[00:09:49 - 00:09:51] 解体数量都远超其他的AM模型
[00:09:51 - 00:09:55] 这充分证明了Age2在解决MO几何问题上的强大能力
[00:09:55 - 00:09:58] 谷歌还对推理设置进行了骁龙实验
[00:09:58 - 00:09:59] 研究发现
[00:09:59 - 00:10:00] 对于单个搜索数
[00:10:00 - 00:10:03] 最优的配置是数大小128
[00:10:03 - 00:10:05] 数深度4以及样本32
[00:10:05 - 00:10:06] 通过这些实验
[00:10:06 - 00:10:07] 也让我们更加了解到了
[00:10:07 - 00:10:10] 不同推理设置对于AZ2性能的影响
[00:10:10 - 00:10:13] 应该说这次Alpha Geometry II的推出
[00:10:13 - 00:10:14] 具有重要的意义
[00:10:14 - 00:10:16] 它不仅仅是在MO几何问题上
[00:10:16 - 00:10:17] 取得了优异的成绩
[00:10:17 - 00:10:18] 更重要的是
[00:10:18 - 00:10:19] 它标志着人工智能
[00:10:19 - 00:10:21] 在处理复杂数学推理任务方面
[00:10:21 - 00:10:23] 实现了重大的飞跃
[00:10:23 - 00:10:24] 对于推动人工智能
[00:10:24 - 00:10:25] 在数学领域的研究和应用
[00:10:25 - 00:10:27] 有着深远的影响
[00:10:27 - 00:10:27] 在未来
[00:10:27 - 00:10:31] 或许人工智能可以帮助数学家们解决更多长期以来
[00:10:31 - 00:10:32] 学而未决的难题
[00:10:32 - 00:10:34] 为数学研究开辟新的思路和方法
[00:10:34 - 00:10:36] 同时在教育领域
[00:10:36 - 00:10:38] 它也有可能成为一种辅助教学的工具
[00:10:38 - 00:10:41] 帮助学生们更好的理解和掌握几何知识
[00:10:41 - 00:10:43] 提升数学学习的效率
[00:10:43 - 00:10:44] AJ2也让我们看到
[00:10:44 - 00:10:46] 随着技术的不断进步
[00:10:46 - 00:10:48] AI在各个领域的应用将会越来越广泛
[00:10:48 - 00:10:51] 也倒逼着我们必须要尽快去思考
[00:10:51 - 00:10:54] 如何更好利用AI来为人类创造更多的福祉
[00:10:54 - 00:10:56] 好了 以上就是本期视频的内容
[00:10:56 - 00:10:58] 感謝大家觀看,我們下期再見
