BV号：BV1BdC3YjE6k
标题：BV1BdC3YjE6k
链接：https://www.bilibili.com/video/BV1BdC3YjE6k
识别语言：zh
语言置信度：1
分段数：569
生成时间：2026-08-31 00:03:18

[00:00:00 - 00:00:03] 大家好 這裡是最佳拍檔 我是大飛
[00:00:03 - 00:00:05] 前兩天 微軟的CEO薩提亞.納德拉
[00:00:05 - 00:00:08] 與著名的投資人比爾格里和布拉德.格斯特納
[00:09:01 - 00:09:02] 尽管曾经在浏览器竞争中
[00:09:02 - 00:09:04] 输给了谷歌的Crown
[00:09:04 - 00:09:08] 微軟正在試圖通過Edge或者Copay的整產品重新找回優勢
[00:09:09 - 00:09:13] 同時微軟也在利用Windows系統來推廣自己的搜索和AI應用
[00:09:14 - 00:09:16] 另一方面微軟在Mustafa Sulayman的領導下
[00:09:17 - 00:09:20] 對Bin,MSN和Copay的進行了整合
[00:09:20 - 00:09:25] 構建了一個涵蓋信息流傳統搜索和新的Agent介面的生態系統
[00:09:25 - 00:09:28] 同時他們正在與內容提供者建立緊密的合作
[00:09:29 - 00:09:31] 通過驅動流量設置付費牆
[00:09:31 - 00:09:33] 支持廣告等等多種的模式
[00:09:33 - 00:09:35] 努力推众的生态系统的发展
[00:09:36 - 00:09:38] 在Asian的应用与数据交互方面
[00:09:38 - 00:09:40] 微软也面临着一系列复杂的问题
[00:09:40 - 00:09:43] 特别是在服务条款和合作伙伴关系上
[00:09:43 - 00:09:47] 比如说苹果是否会允许微软控制IOS上的其他应用
[00:09:47 - 00:09:51] 微软是否会让ChadGBT在Windows操作系统上实力化应用
[00:09:51 - 00:09:53] 并且获取数据
[00:09:53 - 00:09:55] 这些都是急需解决的问题
[00:09:55 - 00:09:57] 另外在商业应用场景中
[00:09:57 - 00:09:59] 比如说Book in their account等等平台
[00:09:59 - 00:10:02] 数据交互的许可问题也变得至关重要
[00:10:02 - 00:10:04] 納德拉認為在企業方面
[00:10:04 - 00:10:06] 可能會通過授權接口的形式
[00:10:06 - 00:10:08] 來解決數據交互的問題
[00:10:08 - 00:10:09] 以微軟口拍了的為例
[00:10:09 - 00:10:13] 它能夠連接Adobe、SAP和Dynamics等企業應用
[00:10:13 - 00:10:14] 在AI時代
[00:10:14 - 00:10:17] 這種連接讓用戶能夠更加方便的查詢
[00:10:17 - 00:10:18] 和整合各種數據
[00:10:18 - 00:10:20] 在企業AI的業務方面
[00:10:20 - 00:10:23] 納德拉有著自己獨特的看法和展望
[00:10:23 - 00:10:24] 從收入構成來看
[00:10:24 - 00:10:27] 微軟與OPI的訓練合作事項
[00:10:27 - 00:10:29] 大多都是基於投資的邏輯
[00:10:29 - 00:10:30] 因此這部分成本
[00:10:30 - 00:10:33] 并没有直接体现在微软的嫉妒业绩中
[00:10:33 - 00:10:36] 而是反映在基于投资的其他收入或者损失项目中
[00:10:37 - 00:10:40] 目前微软AI业务的主要收入来源是API的业务
[00:10:40 - 00:10:43] 像chatgbt,copilot,github,copilot
[00:10:43 - 00:10:45] 以及arrow,openI的API等应用
[00:10:46 - 00:10:49] 是推动微软AI业务收入增长的关键驱动力
[00:10:49 - 00:10:51] 其中一些非常受欢迎的应用
[00:10:51 - 00:10:55] 比如说chatgbt,copilot,github,copilot等等
[00:10:55 - 00:10:57] 在全球范围内拥有大量的用户
[00:10:57 - 00:11:01] 他们在微软的AI业务收入中占据了相当大的比重
[00:11:01 - 00:11:02] 通过这些应用
[00:11:02 - 00:11:04] 微软成功吸引了许多Aero的新客户
[00:11:04 - 00:11:07] 比如说Shopify、Strap或者是Sportify
[00:11:07 - 00:11:12] 这些公司开始使用Aero平台来部署和运行他们的AI应用
[00:11:12 - 00:11:16] 为微软在云计算市场拓展了新的客户群体和业务领域
[00:11:16 - 00:11:17] 在传统的企业中
[00:11:17 - 00:11:20] 微软的AI应用也在逐渐的普及
[00:11:20 - 00:11:22] 人们开始广泛地使用Copilot
[00:11:22 - 00:11:24] 并且通过Fundry来构建Agent的应用
[00:11:24 - 00:11:27] 算这个过程进展相对缓慢
[00:11:27 - 00:11:29] 但是已经呈现出了良好的扩展趋势
[00:11:29 - 00:11:31] 在商业应用领域
[00:11:31 - 00:11:32] 纳德拉认为
[00:11:32 - 00:11:34] 随着Agent时代的到来
[00:11:34 - 00:11:35] 传统商业应用程序的概念
[00:11:35 - 00:11:37] 可能会发生根本性的变革
[00:11:37 - 00:11:39] 以往的商业应用程序
[00:11:39 - 00:11:41] 本质上都是带有大量业务逻辑的
[00:11:41 - 00:11:42] CRUD数据库
[00:11:42 - 00:11:44] 而在Agent时代
[00:11:44 - 00:11:47] 这个业务逻辑将逐一键转移到Agent上
[00:11:47 - 00:11:48] 他们将不再局限于
[00:11:48 - 00:11:50] 对单个后端数据库的操作
[00:11:50 - 00:11:52] 而是将所有的业务逻辑
[00:11:52 - 00:11:54] 集中在AI层进行处理和编排
[00:11:54 - 00:11:56] 在这种新的架构下
[00:11:56 - 00:11:58] 从Copilot到Agent
[00:11:58 - 00:12:00] 再到业务应用的整个流程
[00:12:00 - 00:12:01] 将实现无缝的显接
[00:12:01 - 00:12:04] 极大的提高企业业务流程的效率
[00:12:04 - 00:12:05] 和智能化水平
[00:12:05 - 00:12:06] 以Excel为例
[00:12:06 - 00:12:08] Excel与Python的结合
[00:12:08 - 00:12:10] 类似于Gaithub与Copilot的结合
[00:12:10 - 00:12:12] 为用户带来了全新的实用体验
[00:12:12 - 00:12:15] Copilot利用Excel作为工具
[00:12:15 - 00:12:18] 在借助其强大的操作空间和Python解释器
[00:12:18 - 00:12:20] 不仅能够生成数据报表
[00:12:20 - 00:12:22] 还能够制定复杂的计划
[00:12:22 - 00:12:23] 甚至可以说
[00:12:23 - 00:12:25] 口拍子有能力生成所有EXCEL的内容
[00:12:25 - 00:12:28] 这彻底重够了EXCEL的传统使用方式
[00:12:28 - 00:12:31] 同时微软365通过口拍子的
[00:12:31 - 00:12:32] 整合了包括EXCEL
[00:12:32 - 00:12:34] 沃特等在内的所有的Agent的应用
[00:12:34 - 00:12:38] 形成了一种全新的工作和工作流程思考方式
[00:12:38 - 00:12:41] 例如当用户在处理法律文件的时候
[00:12:41 - 00:12:44] 可以先在Pagets中进行初步的处理
[00:12:44 - 00:12:46] 然后无缝切换到Word中继续编辑
[00:12:46 - 00:12:50] 而口拍子能够全程跟随并且提供向语法检查
[00:12:50 - 00:12:52] 内容推荐等等智能的辅助
[00:12:52 - 00:12:54] 用户者在进入Excel之后
[00:12:54 - 00:12:57] 口派的同样可以根据用户的需求
[00:12:57 - 00:12:58] 进行数据处理和分析
[00:12:58 - 00:13:01] 帮助用户更好地理解和利用数据
[00:13:01 - 00:13:03] 这种一体化的工作流程
[00:13:03 - 00:13:05] 使得用户能够更加高效地完成
[00:13:05 - 00:13:06] 各种复杂的任务
[00:13:06 - 00:13:08] 提高了工作的效率和质量
[00:13:08 - 00:13:11] 从人力成本与资源配置的角度来看
[00:13:11 - 00:13:12] 纳德拉认为
[00:13:12 - 00:13:14] 通过AI的深入应用
[00:13:14 - 00:13:17] 微软的总人力成本会呈现下降的趋势
[00:13:17 - 00:13:20] 而每个人的生产效率将显著地提升
[00:13:20 - 00:13:20] 同时呢
[00:13:20 - 00:13:24] 每位研究人员所配备的GPU数量也会相当增加
[00:13:24 - 00:13:28] 它将人工智能看作是知识工作中的一种精益方法
[00:13:28 - 00:13:31] 如同制造业所推行的精益管理理念一样
[00:13:31 - 00:13:33] 通过重新审视和优化业务流程
[00:13:34 - 00:13:36] 业务流程的重组会一种全新的
[00:13:36 - 00:13:38] 由人工智能驱动的方式回归
[00:13:38 - 00:13:41] 而在资本支出与模型扩展方面
[00:13:41 - 00:13:43] 这几年微软的资本支出
[00:13:43 - 00:13:44] 重现出了显著的增长态势
[00:13:45 - 00:13:47] 从2020年的大约200亿美元
[00:13:47 - 00:13:50] 预计将增长到2025年的700亿美元
[00:13:50 - 00:13:52] 而作为超大规模的云腹商
[00:13:52 - 00:13:55] 微软在数据中心的建设和运营上
[00:13:55 - 00:13:57] 也有着自己独特的模式和策略
[00:13:57 - 00:13:59] 数据中心的生命周期通常都比较长
[00:13:59 - 00:14:00] 大约为20年
[00:14:00 - 00:14:04] 而且电费的支出是按照实际使用量进行支付的
[00:14:04 - 00:14:07] 设备的使用寿命大约为6年
[00:14:07 - 00:14:09] 这种模式使得微软在资本支出上
[00:14:09 - 00:14:10] 虽然较为密集
[00:14:10 - 00:14:13] 但是同时也高度依赖于软件技术
[00:14:13 - 00:14:15] 来提高资本的投资回报率
[00:14:15 - 00:14:18] 比如说通过先进的软件管理系统
[00:14:18 - 00:14:21] 微軟能夠精確地調控數據中心的資源分配
[00:14:21 - 00:14:22] 提升設備利用率
[00:14:22 - 00:14:25] 從而在一定程度上平衡資本投入與產出
[00:14:25 - 00:14:27] 在人工智能時代
[00:14:27 - 00:14:28] 新的應用需求湧現
[00:14:28 - 00:14:32] 每個應用程序除了需要數據庫和K8S集群以外
[00:14:32 - 00:14:34] 還需要在GPU上運行模型
[00:14:34 - 00:14:37] 所以微軟也在積極地投入建設GPU
[00:14:37 - 00:14:39] 只不過在這個建設過程中
[00:14:39 - 00:14:42] 微軟非常注重於對於投資回報率的管理
[00:14:42 - 00:14:44] 避免陷入不良選擇的困境
[00:14:44 - 00:14:46] 它們不僅關注供應端的建設
[00:14:46 - 00:14:48] 確保有足夠的資源來支持業務發展
[00:14:48 - 00:14:51] 還會密切的留意全球各領域的需求變化
[00:14:51 - 00:14:55] 力求實現供應與需求的平衡與多樣化
[00:14:55 - 00:14:56] 在模型擴展方面
[00:14:56 - 00:14:58] 納德拉堅定的信奉Skelling-Loss
[00:14:58 - 00:15:01] 他認為儘管隨著集群變得更加複雜
[00:15:01 - 00:15:04] 大規模訓練的分布式計算問題日益嚴峻
[00:15:04 - 00:15:07] 導致指數增長的難度加大
[00:15:07 - 00:15:09] 但是仍然不應該輕易地違背Skelling-Loss
[00:15:09 - 00:15:13] OpenI在這個方面一直保持著積極的探索和實踐
[00:15:13 - 00:15:15] 他們持續進行著預訓練工作
[00:15:15 - 00:15:18] 并且在测试时计算方面取得了重要突破
[00:15:18 - 00:15:19] 比如说O1模型
[00:15:19 - 00:15:22] 这种创新不仅提升了模型的能力
[00:15:22 - 00:15:24] 还为人工智能的经济模型带来了新的思路
[00:15:24 - 00:15:27] 因为在客户使用O1模型的时候
[00:15:27 - 00:15:30] 由于采样过程会产生更多的计算责任消耗
[00:15:30 - 00:15:32] 而客户需要为此支付费用
[00:15:32 - 00:15:34] 从而形成了一种新的盈利模式
[00:15:34 - 00:15:35] 不过呢
[00:15:35 - 00:15:36] 纳德拉也清醒地认识的
[00:15:36 - 00:15:39] 经济现实对于模型扩展的限制
[00:15:39 - 00:15:41] 即使模型的能力能够实现翻倍的增长
[00:15:41 - 00:15:44] 但是如果无法将这些新增的能力
[00:15:44 - 00:15:46] 有效的转化为市场销售
[00:15:46 - 00:15:48] 那么这种扩张也将失去意义
[00:15:48 - 00:15:50] 此外还存在着一个所谓
[00:15:50 - 00:15:51] 赢家詛咒的现象
[00:15:51 - 00:15:53] 就是一旦某个企业展示出了
[00:15:53 - 00:15:54] 强大的模型能力
[00:15:54 - 00:15:56] 其他竞争对手可能就会通过
[00:15:56 - 00:15:58] 提取、逆向工程等方式
[00:15:58 - 00:16:00] 以计算效率更高的方式
[00:16:00 - 00:16:01] 来实现类似的功能
[00:16:01 - 00:16:04] 而无需进行大规模的原始研发投入
[00:16:04 - 00:16:07] 这种情况就类似于软件的倒板问题
[00:16:07 - 00:16:10] 尽管企业可以去设定各种的使用条款
[00:16:10 - 00:16:11] 但是很难完全控制
[00:16:11 - 00:16:13] 他人对于模型能力的提取和利用
[00:16:13 - 00:16:15] 因此他認為在未來
[00:16:15 - 00:16:17] 人們對於模型擴展的追求
[00:16:17 - 00:16:19] 將會受到一定程度的限制
[00:16:19 - 00:16:21] 企業需要更加理性的權衡
[00:16:21 - 00:16:24] 在模型能力提升上的投入與產出
[00:16:24 - 00:16:26] 尤其是當網絡效應更多的開始集中
[00:16:26 - 00:16:28] 在應用層的時候
[00:16:28 - 00:16:29] 更要謹慎地考慮
[00:16:29 - 00:16:31] 在模型層面的大規模投資決策
[00:16:31 - 00:16:34] 應該說與OPI的合作關係
[00:16:34 - 00:16:36] 是微軟在人工智能戰略中的
[00:16:36 - 00:16:37] 一個重要組成部分
[00:16:37 - 00:16:39] 從投資者關係的角度來看
[00:16:39 - 00:16:42] 微軟將OPI視為一家規模龐大
[00:16:42 - 00:16:43] 而且急剧成功潜力的公司
[00:16:44 - 00:16:45] 微软对于OPI的投资
[00:16:45 - 00:16:47] 不仅仅是简单的资金注入
[00:16:47 - 00:16:49] 更是一种战略层面的布局
[00:16:49 - 00:16:51] 双方在知识产权方面
[00:16:51 - 00:16:52] 有着紧密的合作
[00:16:52 - 00:16:54] 微软为OPI提供系统
[00:16:54 - 00:16:55] 知识产权方面的支持
[00:16:55 - 00:16:57] 而OPI则向微软分享他们
[00:16:57 - 00:16:59] 在模型知识产权领域的成果
[00:17:00 - 00:17:01] 这种相互依存的关系
[00:17:01 - 00:17:03] 使得微软高度关注OPI的利益
