BV号：BV1gBgw6HEkY
标题：BV1gBgw6HEkY
链接：https://www.bilibili.com/video/BV1gBgw6HEkY
识别语言：zh
语言置信度：1
分段数：330
生成时间：2026-08-29 11:32:12

[00:00:00 - 00:00:02] 大家好 我是为什么叫QQ
[00:00:02 - 00:00:03] 先给你看一组数字
[00:02:46 - 00:02:48] 才能开始真正的综合推理
[00:02:48 - 00:02:51] 而前面的每一个字都在按token击废
[00:02:51 - 00:02:52] 这里有个很关键的地方
[00:02:52 - 00:02:54] GIP自己的原话是
[00:02:54 - 00:02:56] 我以为我建了一条研究管道
[00:02:56 - 00:02:59] 实际上我发给最贵模型的是一份数据清洗的工作
[00:02:59 - 00:03:01] 只是穿着研究管道的外衣
[00:03:01 - 00:03:04] 这句话值得每个做AZEN开发的人琢磨一下
[00:03:04 - 00:03:07] 我们条模型的时候默认它会理解输入
[00:03:07 - 00:03:09] 输入脏一点乱一点没关系
[00:03:09 - 00:03:10] 模型聪明它能搞定
[00:03:10 - 00:03:12] 它确实能搞定
[00:03:12 - 00:03:13] 但搞定是有价格的
[00:03:13 - 00:03:15] 而且是按最贵的单价收费
[00:03:15 - 00:03:17] 数据清洗格式对齐
[00:03:17 - 00:03:18] 去重复
[00:03:18 - 00:03:20] 这些活在传统工程里
[00:03:20 - 00:03:22] 是脚本杆的成本约等于零
[00:03:22 - 00:03:25] 现在我们把他们悄悄转移给了
[00:03:25 - 00:03:27] 一个按token收费的高端模型
[00:03:27 - 00:03:30] 看到这里做过后端的朋友应该已经有感觉了
[00:03:30 - 00:03:32] 把你的第一反应打在公屏上
[00:03:32 - 00:03:33] 我们记着往下说
[00:03:33 - 00:03:35] 这个问题还不只是钱的事
[00:03:35 - 00:03:38] 斯坦福大学6和几位合作者做过一项研究
[00:03:38 - 00:03:42] 2023年公开后来发表在TACL 2024
[00:03:42 - 00:03:45] 他们测了模型在长上下文里找信息的能力
[00:03:45 - 00:03:47] 结果是一条邮行曲线
[00:03:47 - 00:03:50] 答案出现在输入的开头或结尾模型找得准
[00:03:50 - 00:03:53] 答案埋在中间 准确率明显往下掉
[00:03:53 - 00:03:57] 连专门为常上下文设计的模型也逃不掉这条曲线
[00:03:57 - 00:04:00] 现在你回头看那41200个token
[00:04:00 - 00:04:02] 40份无序堆叠的材料
[00:04:02 - 00:04:04] 大部分正好落在输入的中间地带
[00:04:04 - 00:04:07] 也就是模型阅读表现最差的位置
[00:04:07 - 00:04:09] 你为多副的token花了钱
[00:04:09 - 00:04:11] 买到的却是更差的阅读质量
[00:04:11 - 00:04:15] 钱花了两次一次在账单上一次在准确率上
[00:04:15 - 00:04:18] jib的解法是在worker和sonnet之间
[00:04:18 - 00:04:19] 插一个reducer
[00:04:19 - 00:04:21] 这个名字来自mapreduce
[00:04:21 - 00:04:23] 做过分布式计算的朋友会很亲切
[00:04:23 - 00:04:24] mapre不开干活
[00:04:24 - 00:04:26] reducer负责归约
[00:04:26 - 00:04:28] 它的reducer是一个纯代码函数
[00:04:28 - 00:04:30] 一次模型调用都没有逻辑
[00:04:30 - 00:04:31] 就三步第一步过滤
[00:04:31 - 00:04:33] 任何一条输出缺结论
[00:04:33 - 00:04:36] 缺证据缺来源直接丢弃
[00:04:36 - 00:04:37] 丢进运行日制标为
[00:04:37 - 00:04:39] 机型数据绝不静默吞掉
[00:04:39 - 00:04:40] 第二步分组
[00:04:40 - 00:04:43] 把每条结论的文本做归一化
[00:04:43 - 00:04:46] 说法不同但含义相同的归道同一组
[00:04:46 - 00:04:47] 第三步选拔
[00:04:47 - 00:04:49] 每组里只保留知情度最高的那一条
[00:04:50 - 00:04:51] 代表整组进入最终结果
[00:04:51 - 00:04:54] 三步全是确定性操作
[00:04:54 - 00:04:56] 同样的输入永远得到同样的输出
[00:04:56 - 00:04:58] 这个函数里有个细节
[00:04:58 - 00:05:00] 我个人觉得是全篇最漂亮的一笔
[00:05:00 - 00:05:03] 如果某一组里不只一条发现
[00:05:03 - 00:05:05] 说明多个worker独立得出了同一个结论
[00:05:05 - 00:05:08] Reducer会在保留的那条证据后面
[00:05:08 - 00:05:09] 追加一句标注
[00:05:09 - 00:05:11] 另有N个worker独立确认
[00:05:11 - 00:05:12] 这句话有什么用
[00:05:12 - 00:05:14] 我可之间的一致性本身就是信号
[00:05:14 - 00:05:17] 三条独立的Worker都只想同一个结论
[00:05:17 - 00:05:19] 这个结论的可信度就该上条
[00:05:19 - 00:05:20] 如果没有Reducer
[00:05:20 - 00:05:24] Sonnet的自己把40份文档来回读完
[00:05:24 - 00:05:26] 才能重新发现这种一致性
[00:05:26 - 00:05:27] 它不一定发现得了
[00:05:27 - 00:05:29] 现在Reducer把这个信号算好
[00:05:29 - 00:05:31] 直接摆在Sonnet面前
[00:05:31 - 00:05:32] 确定性的统计代码做掉
[00:05:32 - 00:05:35] 模型只做它真正擅长的事
[00:05:35 - 00:05:36] 基于整理好的材料做推理
[00:05:36 - 00:05:37] 再来看一遍
[00:05:37 - 00:05:40] 结果这次把每个数字的出处讲清楚
[00:05:40 - 00:05:43] 输入token从41200降到5300
[00:05:43 - 00:05:47] 40条原始输出6条机型被丢弃
[00:05:47 - 00:05:50] 去重复后34条独立发现存活下来
[00:05:50 - 00:05:52] 每一条的去留日日里都查得到
[00:05:52 - 00:05:57] 单次综合成本从1.38美元降到0.19美元
[00:05:57 - 00:05:59] Sonnet按独入量计费
[00:05:59 - 00:06:01] 独入量少了87%
[00:06:01 - 00:06:02] 账单的大头自然没了
[00:06:02 - 00:06:05] 延迟从51秒降到11秒
[00:06:05 - 00:06:08] 输入越长模型在吐出第一个字之前
[00:06:08 - 00:06:09] 要处理的内容越多
[00:06:09 - 00:06:14] 砍掉输入等于砍掉了推理开始前的整段等待
[00:06:14 - 00:06:16] 三个数字没有一个来自更聪明的模型
[00:06:16 - 00:06:18] 也没有一个来自更便宜的worker
[00:06:18 - 00:06:20] 全部来自同一件事
[00:06:20 - 00:06:23] 让sonate少读了87%的垃圾输入
[00:06:23 - 00:06:24] 如果故事到这里结束
[00:06:24 - 00:06:27] 这就是一个普通的降本案例
[00:06:27 - 00:06:29] 但jib发现了一个他没预料到的东西
[00:06:29 - 00:06:33] 分组这个动作顺带暴露了worker之间的分歧
[00:06:33 - 00:06:36] 两条发现归到同一组知情度却差很多
[00:06:36 - 00:06:39] 更麻烦的情况是两条发现针对同一个事实
[00:06:39 - 00:06:40] 结论直接打架
[00:06:40 - 00:06:43] 拼接模式下一个矛盾躺在第一页
[00:06:43 - 00:06:44] 另一个躺在第三十页
[00:06:44 - 00:06:46] 模型顺着往下毒
[00:06:46 - 00:06:48] 很难稳定的发现他们互相冲突
[00:06:48 - 00:06:51] 分组之后矛盾被归到一起一言可见
[00:06:51 - 00:06:56] 样本运行里Reducer一共挖出了23组这样的直接矛盾
[00:06:56 - 00:06:59] 之前的原始拼接遗组都没有暴露过
[00:06:59 - 00:07:01] 结构化规约顺带成了一个检查点
[00:07:01 - 00:07:04] 这是拼接在原理上给不了的东西
[00:07:04 - 00:07:06] 这把还给Reducer配了四道互拦
[00:07:06 - 00:07:09] 風格非常像寫防禦型代碼式的GAR CLOS
[00:07:09 - 00:07:10] 第一道發現
[00:07:10 - 00:07:13] 缺結論缺證據缺來源
[00:07:13 - 00:07:15] 丟棄機日制不進分組
[00:07:15 - 00:07:18] 第二道同一組裡兩條發現對同一事實結論衝突
[00:07:18 - 00:07:19] 標記為矛盾
[00:07:19 - 00:07:21] 顯示交給Sonnet處理
[00:07:21 - 00:07:22] 不擅自重財
[00:07:22 - 00:07:26] 第三道一個組只有一條發現原樣放行
[00:07:26 - 00:07:28] 不為辜政添加虛假的信心
[00:07:28 - 00:07:31] 第四道輸入是空列表Reducer返回空
[00:07:31 - 00:07:33] 綜合環節直接跳過
[00:07:33 - 00:07:35] 沒有材料就不讓模型憑空生成報告
[00:07:35 - 00:07:38] 四道忽兰没有一道调用模型
[00:07:38 - 00:07:41] 每一道拦住的都是过去要靠Sonic的自己察觉
[00:07:41 - 00:07:43] 而他未必察觉得到的问题
[00:07:43 - 00:07:45] 人工介入的次数也跟着变了
[00:07:45 - 00:07:46] 之前50次运行里
[00:07:46 - 00:07:49] 6次因为结论函户要人工兜底
[00:07:49 - 00:07:50] 之后只剩一次
[00:07:50 - 00:07:51] 这篇帖子有个地方
[00:07:51 - 00:07:53] 让我对作者的印象加了不少分
[00:07:53 - 00:07:56] 他专门写了一节讲自己没测过的东西
[00:07:56 - 00:07:59] 分组靠的是一个归一化函数
[00:07:59 - 00:08:01] 对结论文本做相似度匹配
[00:08:01 - 00:08:05] 这个函数有一个他没压力测试过的风险物合并
[00:08:05 - 00:08:07] 两条本来不同的结论
[00:08:07 - 00:08:09] 只是错词接近被合并成了一条
[00:08:09 - 00:08:10] 结论就这么丢了
[00:08:10 - 00:08:12] 而且丢的无声无息
[00:08:12 - 00:08:14] 用它的话讲这是一个躲在
[00:08:14 - 00:08:16] 成本胜利背后的正确性bug
[00:08:16 - 00:08:18] 它需要更多的运行数据
[00:08:18 - 00:08:20] 才敢把这个函数用在
[00:08:20 - 00:08:21] 美法人工抽查的场景上
[00:08:21 - 00:08:23] 评论区也有董行的人指出
[00:08:23 - 00:08:27] 物合并才是这套方案真正的终极考验
[00:08:27 - 00:08:28] 其余的部分等于白检
[00:08:28 - 00:08:30] 做工程的人应该知道
[00:08:30 - 00:08:32] 能把风险写进副盘里的方案
[00:08:32 - 00:08:33] 才值得你抄
[00:08:33 - 00:08:35] 说到这该聊聊那个更大的误解了
[00:08:35 - 00:08:39] 很多人会觉得优化AI管道就是三件事
[00:08:39 - 00:08:41] 还更便宜的模型写更好的Prompt
[00:08:41 - 00:08:43] 加更多的Worker模型降价了赶紧换
[00:08:43 - 00:08:47] 效果不好了改Prompt覆盖不够了加Worker
[00:08:47 - 00:08:49] 这条思路有个共同的盲区
[00:08:49 - 00:08:51] 眼睛只盯着模型调用本身
[00:08:51 - 00:08:54] 从来不看调用和调用之间流的是什么
[00:08:54 - 00:08:56] 真相是这条管道最贵的部分
[00:08:56 - 00:08:59] 从头到尾都是Sanit再读垃圾输入
[00:08:59 - 00:09:02] 模型一直很强Prompt也没问题Worker也便宜
[00:09:02 - 00:09:05] 给他喂的东西才是一切的并根
[00:09:05 - 00:09:07] 看到这里你可能想反驳我
[00:09:07 - 00:09:09] 你的管道也许就是模型选行的问题
[00:09:09 - 00:09:12] 没关系把你的场景打在公屏上
[00:09:12 - 00:09:13] 评论区我们接着聊
[00:09:13 - 00:09:15] 看到这里你可能会想
[00:09:15 - 00:09:17] 这个案例能给我们的工作留下什么
[00:09:17 - 00:09:19] 我自己的提链是一个视角
[00:09:19 - 00:09:22] 把每次模型调用当成一笔有预算的交易
[00:09:22 - 00:09:24] 预算的计量单位就是输入token
[00:09:24 - 00:09:28] 你未进去的每一个字都在画这笔预算
[00:09:28 - 00:09:29] 同时占用模型的注意力
[00:09:29 - 00:09:30] 注意力是有限的
[00:09:30 - 00:09:32] 邮行曲线摆在那
[00:09:32 - 00:09:35] 预算当然也是有限的 账单摆在那儿
[00:09:35 - 00:09:38] 所以每次调用模型之前 先问一个问题
[00:09:38 - 00:09:39] 这份输入礼
[00:09:39 - 00:09:41] 哪些内容是代码就能处理的
[00:09:41 - 00:09:43] 去重复是代码的活
[00:09:43 - 00:09:45] 格式教宴是代码的活
[00:09:45 - 00:09:47] 统计一致性和分歧也是代码的活
[00:09:47 - 00:09:49] 把这部分从输入礼拿掉
[00:09:49 - 00:09:51] 预算省下来了 注意力也省下来了
[00:09:51 - 00:09:53] 剩下的推理判断写作
[00:09:53 - 00:09:56] 才真正值得按高端模型的单价付费
[00:09:56 - 00:09:58] 这套思路落到工程实践上
[00:09:58 - 00:10:00] JAP给了一份行动清单
[00:10:00 - 00:10:02] 我给翻译成熟悉的说法
[00:10:02 - 00:10:04] 第一条 先测量再优化
[00:10:04 - 00:10:06] 跟性能优化先跑Profile一个道理
[00:10:06 - 00:10:08] 优化任何东西之前
[00:10:08 - 00:10:11] 先量一下流进综合环节的原始token数
[00:10:11 - 00:10:12] 多数时候
[00:10:12 - 00:10:14] 这个数字本身就是成本故事的全部
[00:10:14 - 00:10:18] 第二条 多个Worker为一个中模型先放Reducer
[00:10:18 - 00:10:19] 再动Prompt
[00:10:19 - 00:10:21] 第三条 去重复T残缺分组
[00:10:21 - 00:10:23] 这些是代码问题
[00:10:23 - 00:10:24] 对剩下的材料做推理
[00:10:24 - 00:10:25] 才是模型的活
[00:10:25 - 00:10:27] 两边别越界
[00:10:27 - 00:10:29] 第四条 Worker之间的一致和分歧
[00:10:29 - 00:10:32] 是应该被Reducer算出来的数据
[00:10:32 - 00:10:34] 而不该留给模型自己重新发现
[00:10:34 - 00:10:36] 4条没有1条设计悬学
[00:10:36 - 00:10:39] 全是20年前的分布式系统常识
[00:10:39 - 00:10:41] 换了个场景重新上岗
[00:10:41 - 00:10:44] 接下来的走向其实已经能看出轮廓了
[00:10:44 - 00:10:48] 多智能体系统正在从拼模型能力走向拼工程结构
[00:10:48 - 00:10:51] Worker层、规约层、综合层
[00:10:51 - 00:10:53] 这条分层会越来越清晰
[00:10:53 - 00:10:55] 规约层今天还是一个手写脚本
[00:10:55 - 00:10:58] 明天大概率会变成框架的标准组建
[00:10:58 - 00:11:01] 就像当年每个后端团队都手写健全中间件
[00:11:01 - 00:11:04] 后来它变成了框架自带的东西
[00:11:04 - 00:11:06] 判断哪些中间层值得存在
[00:11:06 - 00:11:08] 标准也很朴素
[00:11:08 - 00:11:09] 这层逻辑是确定性的
[00:11:09 - 00:11:13] 就该用代码实现并且可测试可观测可复线
[00:11:13 - 00:11:16] 模型你退回到它真正不可替代的位置
[00:11:16 - 00:11:18] 处理模糊做出判断生成内容
[00:11:18 - 00:11:22] 管道里每多一个这样的确定性中间层
[00:11:22 - 00:11:25] 就少一些把概率性模型当锤子用的浪费
[00:11:25 - 00:11:29] 等于这件事对做agent的开发的人还有个更实际的提醒
[00:11:29 - 00:11:32] 你的竞争力正在从汇条模型往汇设计管道迁移
[00:11:32 - 00:11:36] 汇条模型的人研究prompt怎么写参数怎么调
[00:11:36 - 00:11:38] 这个能力在贬值模型一代比一代聪明
[00:11:38 - 00:11:41] 很多prompt的技巧过两个版本就失效了
[00:11:41 - 00:11:45] 汇设计管道的人研究数据在调用之间怎么流动
[00:11:45 - 00:11:47] 在哪一层该规约在哪一层该社会栏
[00:11:47 - 00:11:49] 哪个环节该量什么指标
[00:11:49 - 00:11:51] jip这个案例里创造全部价值的
[00:11:51 - 00:11:54] 恰恰是这些看起来毫无AI含量的东西
[00:11:54 - 00:11:56] 一个Dat class 一个defaulted
[00:11:56 - 00:11:58] 一个归一化函数
[00:11:58 - 00:12:01] AI含量最低的那层代码省下了86%的钱
[00:12:01 - 00:12:03] 这个比例值得你截图记下来好了
[00:12:03 - 00:12:04] 收个位
[00:12:04 - 00:12:07] 40个hackle worker从来不是成本大头
[00:12:07 - 00:12:10] 让sonet生吞40份原始输出才是
[00:12:10 - 00:12:12] 一段不碰任何推理的代码
[00:12:12 - 00:12:15] 砍掉了86%的账单和78%的等待
[00:12:15 - 00:12:18] 送给所有在大一阵的管道的人一句话
[00:12:18 - 00:12:20] 最贵的模型别让他干最便宜的活
[00:12:20 - 00:12:22] 你现在维护的系统里
[00:12:22 - 00:12:25] 有没有一个正在被迫洗数据的高端模型
[00:12:25 - 00:12:27] 输入Token量过没有
[00:12:27 - 00:12:29] 欢迎在评论区聊聊你的管道结构
[00:12:29 - 00:12:31] 说不定你的坑正好能帮到别人
[00:12:31 - 00:12:33] 觉得有用就一键三连
[00:12:33 - 00:12:36] 收藏起来下次打管道的时候翻出来对照
[00:12:36 - 00:12:37] 我是为什么叫QQ
[00:12:37 - 00:12:38] 我们下期见
