BV号：BV1MFPReTECW
标题：BV1MFPReTECW
链接：https://www.bilibili.com/video/BV1MFPReTECW
识别语言：zh
语言置信度：1
分段数：359
生成时间：2026-08-30 17:15:43

[00:00:00 - 00:00:02] 大家好 这里是最佳拍档 我是大飞
[00:00:02 - 00:00:05] 如今大原模型的参数规模是越来越大了
[00:05:18 - 00:05:20] 大幅减少模型的参数数量
[00:05:20 - 00:05:22] 简直方法主要可以分为
[00:05:22 - 00:05:24] 非结构化简直和结构化简直
[00:05:24 - 00:05:26] 非结构化简直指的是
[00:05:26 - 00:05:29] 随机移除单个权重或者连接
[00:05:29 - 00:05:31] 就像是在一片果林里
[00:05:31 - 00:05:32] 随机摘掉一些果子
[00:05:32 - 00:05:35] 它的好处是能够实现很高的压缩笔
[00:05:35 - 00:05:38] 可以精准去除对模型输出影响最小的权重
[00:05:38 - 00:05:40] 但是问题也很明显
[00:05:40 - 00:05:42] 那就是产生的稀疏结构
[00:05:42 - 00:05:44] 在硬件上很难高效的实现
[00:05:44 - 00:05:47] 因为硬件其实更喜欢归整的矩阵操作
[00:05:47 - 00:05:49] 在一些实验中
[00:05:49 - 00:05:52] 非结构化简直能够把模型的参数减少50%以上
[00:05:52 - 00:05:55] 但是推理速度提升并不明显
[00:05:55 - 00:05:58] 而结构化简直则是按照一定的规则
[00:05:58 - 00:06:01] 比如说移除整个神经员绿波器或者是层
[00:06:01 - 00:06:03] 就像把果林里的一整排果树都砍掉
[00:06:04 - 00:06:05] 这种方法产生的吸收结构
[00:06:05 - 00:06:07] 更加适合硬件加速
[00:06:07 - 00:06:09] 像绿波器级的简直
[00:06:09 - 00:06:11] 就可以去掉卷机中不重要的绿波器
[00:06:11 - 00:06:13] 降低卷基操作的计算量
[00:06:13 - 00:06:15] 虽然结构化简直的压缩比
[00:06:15 - 00:06:17] 可能比不上非结构化的简直
[00:06:17 - 00:06:20] 但是在提升推理速度方面表现更好
[00:06:20 - 00:06:21] 在某些卷基实验网络中
[00:06:21 - 00:06:24] 能够把推理速度提高2-3倍
[00:06:24 - 00:06:26] 而简直技术的优点也不少
[00:06:26 - 00:06:28] 它不仅能够减少模型的大小
[00:06:28 - 00:06:29] 比如说在一些实验里
[00:06:29 - 00:06:32] 模型参数能够减少50%-80%
[00:06:32 - 00:06:33] 像结构化简直
[00:06:33 - 00:06:35] 还能够提高推理的速度降低能耗
[00:06:35 - 00:06:38] 这对于移动和嵌入式设备来说非常的友好
[00:06:38 - 00:06:41] 而且由于简直去掉了荣誉的信息
[00:06:41 - 00:06:43] 所以能够降低模型的过你和风险
[00:06:43 - 00:06:44] 提高泛化能力
[00:06:44 - 00:06:46] 让模型在没见过的数据上
[00:06:46 - 00:06:47] 也能够表现得更好
[00:06:48 - 00:06:49] 简直的缺点能在于
[00:06:49 - 00:06:52] 首先还是绕不开的精度损失问题
[00:06:52 - 00:06:54] 尤其是简直比例比较高的时候
[00:06:54 - 00:06:56] 另外的一些简直方法
[00:06:56 - 00:06:57] 还需要修改训练的过程
[00:06:57 - 00:07:00] 增加训练的复杂性和计算资源的需求
[00:07:00 - 00:07:02] 虽然结构化简直更加适合硬件加速
[00:07:02 - 00:07:04] 但是不同硬件平台
[00:07:04 - 00:07:06] 对于简直后的模型的支持程度还是不一样的
[00:07:06 - 00:07:08] 可能还需要额外的优化
[00:07:08 - 00:07:12] 同样不同模型对于简直的敏感度也不一样
[00:07:12 - 00:07:14] 有些模型简直后性能依然很稳定
[00:07:14 - 00:07:16] 但是有些则会出现较大的波动
[00:07:16 - 00:07:18] 我们再来看看蒸流技术
[00:07:18 - 00:07:21] 这也是最近引起DeepSake风波的主要原因
[00:07:21 - 00:07:24] 蒸流其实严谨来说应该叫知识蒸流
[00:07:24 - 00:07:25] 简单来说
[00:07:25 - 00:07:27] 知识蒸流就是把大型的复杂模型
[00:07:27 - 00:07:29] 也就是教师模型的知识
[00:07:29 - 00:07:31] 签一道小型的简单模型
[00:07:31 - 00:07:32] 也就是学生模型
[00:07:32 - 00:07:35] 教师模型的参数多结构复杂
[00:07:35 - 00:07:38] 能够学习到非常丰富的特征和模式
[00:07:38 - 00:07:40] 但是难以部署在资源受限的设备上
[00:07:40 - 00:07:43] 而学生模型通过学习教师模型的输出
[00:07:43 - 00:07:45] 比如说软标签中间特征等等
[00:07:45 - 00:07:48] 就能够在保持小巧身材的同时
[00:07:48 - 00:07:50] 尽可能接近教师模型的性能
[00:07:51 - 00:07:52] 我们举个例子
[00:07:52 - 00:07:53] 在图像分类的任务中
[00:07:53 - 00:07:56] 教师模型可能是一个深度为50层的Restnet
[00:07:57 - 00:07:58] 它输出的软标签
[00:07:58 - 00:08:01] 包含了对于每个类别的致信度信息
[00:08:01 - 00:08:03] 学生模型可以是一个较浅的网络
[00:08:03 - 00:08:05] 通过学习这些软标签
[00:08:05 - 00:08:08] 就能夠學到更加豐富的類別區分信息
[00:08:08 - 00:08:10] 從而在分類任務中表現的更好
[00:08:10 - 00:08:12] 而知識徵流的流程
[00:08:12 - 00:08:14] 一般會包含幾個步驟
[00:08:14 - 00:08:16] 首先要訓練一個大型複雜
[00:08:16 - 00:08:18] 而且性能優異的教師模型
[00:08:18 - 00:08:20] 讓他在大規模的數據級上學習
[00:08:20 - 00:08:22] 積累豐富的知識
[00:08:22 - 00:08:24] 然後選擇一個較小的模型
[00:08:24 - 00:08:25] 作為學生模型
[00:08:25 - 00:08:26] 並且進行初始化
[00:08:26 - 00:08:29] 不過這個學生模型雖然結構簡單
[00:08:29 - 00:08:31] 但是要有一定的學習能力
[00:08:31 - 00:08:33] 接著進入徵流訓練階段
[00:08:33 - 00:08:36] 把教师模型的输出当做额外的监督信息
[00:08:36 - 00:08:38] 和学生模型的输出进行对比
[00:08:38 - 00:08:41] 通过优化损失函数来训练学生模型
[00:08:41 - 00:08:43] 损失函数通常会包含两个部分
[00:08:43 - 00:08:46] 一部分是学生模型的原始损失
[00:08:46 - 00:08:48] 比如说交叉张损失
[00:08:48 - 00:08:52] 另一部分是学生模型输出和教师模型输出之间的差异
[00:08:52 - 00:08:54] 经常会用kl散度来衡量
[00:08:54 - 00:08:56] 最后在模型训练结束后
[00:08:56 - 00:08:58] 可以对学生模型进行微调
[00:08:58 - 00:08:59] 进一步的提升它的性能
[00:08:59 - 00:09:01] 其中温度参数相当于
[00:09:01 - 00:09:03] 知识争留的难度调节选举
[00:09:03 - 00:09:04] 在高温模式下
[00:09:04 - 00:09:06] 可以学习到复达的关联关系
[00:09:06 - 00:09:08] 而在低温模式下
[00:09:08 - 00:09:09] 答案会接近于原始的分布
[00:09:09 - 00:09:11] 适合简单的任务
[00:09:11 - 00:09:11] 当然
[00:09:11 - 00:09:13] 也可以考虑动态的策略
[00:09:13 - 00:09:16] 也就是初期用高温来广泛的吸收知识
[00:09:16 - 00:09:19] 而后期降温在聚焦关键的特征
[00:09:19 - 00:09:20] 像是在自然语言处理领域
[00:09:21 - 00:09:22] 研究人员经常会把
[00:09:22 - 00:09:24] 预训链的BOT模型当做教师模型
[00:09:24 - 00:09:27] 把清亮级的LSTM模型作为学生模型
[00:09:27 - 00:09:28] 经过争留训练
[00:09:28 - 00:09:31] 学生模型能够学到教师模型的语言表示能力
[00:09:31 - 00:09:35] 在文本分类 情感分析这些任务中取得不错的成绩
[00:09:35 - 00:09:37] 争留技术的优势很突出
[00:09:37 - 00:09:39] 它的模型压缩效果十分显著
[00:09:39 - 00:09:44] 学生模型的参数量能够减少到教师模型的十分之一甚至更多
[00:09:44 - 00:09:46] 推理速度还能提高好几倍
[00:09:46 - 00:09:49] 因为教师模型的软标签中包含丰富的类别区分信息
[00:09:49 - 00:09:51] 所以学生模型在学习之后
[00:09:51 - 00:09:53] 泛化能力也更强了
[00:09:53 - 00:09:55] 能够更好地应对新的数据
[00:09:55 - 00:09:57] 而且知识争留的应范为横广
[00:09:57 - 00:10:00] 不管是图像分类、目标检测
[00:10:00 - 00:10:01] 还是自然语言处理任务
[00:10:01 - 00:10:04] 都能够通过它来实现模型的压缩
[00:10:04 - 00:10:06] 但是征流技术也有一些不足
[00:10:06 - 00:10:08] 那就是学生模型的性能
[00:10:08 - 00:10:10] 很大程度上依赖于教师模型的质量
[00:10:10 - 00:10:12] 如果教师模型表现不好
[00:10:12 - 00:10:14] 学生模型也很难出彩
[00:10:14 - 00:10:16] 征流训练还要同时考虑
[00:10:16 - 00:10:18] 教师模型和学生模型的训练过程
[00:10:18 - 00:10:20] 此外虽然征流能够在一定程度上
[00:10:20 - 00:10:21] 保持模型的性能
[00:10:21 - 00:10:23] 但是在一些复杂的任务中
[00:10:23 - 00:10:26] 学生模型的精度还是会略低于教师模型
[00:10:26 - 00:10:30] 更何况选择合适的教室模型和学生模型也是一个挑战
[00:10:30 - 00:10:32] 不同的模型组合
[00:10:32 - 00:10:34] 争留效果可能相差会非常大
[00:10:34 - 00:10:37] 最后我们再来了解一下二直化技术
[00:10:37 - 00:10:39] 二直化是一种极端的练化技术
[00:10:39 - 00:10:41] 它把神经网络中的权重和激活值
[00:10:41 - 00:10:43] 限制在了两个值上
[00:10:43 - 00:10:45] 通常就是正一和负一
[00:10:45 - 00:10:48] 这就好比把所有的选择都简化成了是和否
[00:10:48 - 00:10:51] 极大地减少了模型的存储空间和计算复达度
[00:10:51 - 00:10:53] 因为二直化的权重和激活值
[00:10:53 - 00:10:55] 用一个比特就能够表示
[00:10:55 - 00:10:57] 而不是传统的32位辅典数
[00:10:57 - 00:11:00] 所以存储空间一下就减少了32位
[00:11:00 - 00:11:02] 二直化网络的计算过程相对也简单很多
[00:11:03 - 00:11:05] 由于权重和激活值只有两个可能的值
[00:11:05 - 00:11:09] 所以惩罚运算可以用简单的加法和位移操作来代替
[00:11:09 - 00:11:11] 大幅的提升计算效率
[00:11:11 - 00:11:13] 二直化网络的卷急运算可以通过
[00:11:13 - 00:11:15] 同货XNOW和位操作来实现
[00:11:16 - 00:11:19] 而这些操作在硬件上的执行效率非常的高效
[00:11:19 - 00:11:22] 二直化的方法非常适合用在资源受限的设备上
[00:11:22 - 00:11:26] 像Qualbalio等人提出的Bandware Connect的方法
[00:11:26 - 00:11:29] 不仅能够大幅减少模型的存储空间和计算复杂度
[00:11:29 - 00:11:31] 在一些简单的图像分类任务上
[00:11:31 - 00:11:33] 还能够保持较高的精度
[00:11:33 - 00:11:36] 而Lasthai家里等人进一步提出的XNNite
[00:11:36 - 00:11:38] 不仅能够将全中二直化
[00:11:38 - 00:11:40] 还把输入激活值也二直化了
[00:11:40 - 00:11:42] 这样计算效率就更高了
[00:11:42 - 00:11:43] 在实际应用中
[00:11:43 - 00:11:46] 二直化网络能在一些低功耗的物联网设备里
[00:11:46 - 00:11:49] 实现高效的图像识别和语音识别功能
[00:11:49 - 00:11:51] 而且不需要复杂的硬件支持
[00:11:51 - 00:11:53] 在自然语言处理任务中
[00:11:53 - 00:11:55] 研究人员也能通过二直化技术
[00:11:55 - 00:11:57] 来压缩预训链的Transformer模型
[00:11:57 - 00:12:01] 显著的减少模型的存储空间和推理延迟
[00:12:01 - 00:12:03] 二直化技术的优点很明显
[00:12:03 - 00:12:05] 首先是它的压缩率极高
[00:12:05 - 00:12:07] 同时也带来了推理速度的提升
[00:12:07 - 00:12:08] 在一些实验中
[00:12:08 - 00:12:11] 二直化网络的推理速度往往能提高10倍以上
[00:12:11 - 00:12:14] 而且二直化网络很适合硬件去优化
[00:12:14 - 00:12:17] 比如说是用专用的二直化硬件加速器
[00:12:17 - 00:12:19] 当然了二直化的缺点也比较明显
[00:12:19 - 00:12:21] 那就是精度损失比较严重
[00:12:21 - 00:12:23] 尤其是在复杂的任务中
[00:12:23 - 00:12:26] 此外 二直化的训练需要特殊的技巧和方法
[00:12:26 - 00:12:30] 比如说用直通估计器来处理不可倒的二直化操作
[00:12:30 - 00:12:33] 不同模型对于二直化的敏感度也不同
[00:12:33 - 00:12:35] 有些模型二直化之后性能还不错
[00:12:35 - 00:12:37] 有些则会大幅的下降
[00:12:37 - 00:12:40] 好了 以上就是对这四种技术的基本介绍了
[00:12:40 - 00:12:41] 各有各的优缺点
[00:12:41 - 00:12:42] 在实际用中
[00:12:42 - 00:12:44] 我们需要根据不同的场景需求
[00:12:44 - 00:12:46] 来选择合适的模型压缩技术
[00:12:46 - 00:12:49] 比方说 如果是在资源受限的场景
[00:12:49 - 00:12:51] 二直化和量化是優先考慮的對象
[00:12:52 - 00:12:54] 二直化更適合精度要求不高的任務
[00:12:54 - 00:12:56] 而量化則可以通過調整量化精度
[00:12:56 - 00:12:59] 在壓縮效果和模型性能之間找到平衡
[00:12:59 - 00:13:01] 如果更加注重計算效率
[00:13:01 - 00:13:03] 希望顯著的提高模型的推理速度
[00:13:03 - 00:13:06] 同時對模型的精度還有一定的要求
[00:13:06 - 00:13:09] 那麼量化和結構化簡直是不錯的選擇
[00:13:09 - 00:13:13] 如果目標是在保持較高模型性能的前提下進行壓縮
[00:13:13 - 00:13:15] 那麼知識徵流就是理想之選
[00:13:15 - 00:13:16] 展望未來
[00:13:16 - 00:13:18] 模型壓縮技術還有很大的發展空間
[00:13:18 - 00:13:22] 一方面 综合使用多种模型压缩技术可能会成为主流的方向
[00:13:22 - 00:13:25] 比如说把量化和减肢结合起来
[00:13:25 - 00:13:28] 或者在争留过程中引入量化感知训练
[00:13:28 - 00:13:30] 另一方面 随着硬件技术的进步
[00:13:30 - 00:13:34] 模型压缩技术和硬件的设计会结合得更为紧密
[00:13:34 - 00:13:36] 另外 现在的模型压缩过程
[00:13:36 - 00:13:39] 还需要研究人员就较高的专业知识和丰富的经验
[00:13:39 - 00:13:42] 手动来选择压缩策略和参数配置
[00:13:42 - 00:13:46] 但是在未来 如果有更加智能和自动化的模型压缩工具
[00:13:46 - 00:13:48] 能够根据用户的需求和硬件环境
[00:13:48 - 00:13:50] 自动的选择最优的方案
[00:13:50 - 00:13:53] 这也将大大的降低模型压缩的门槛
[00:13:53 - 00:13:56] 希望今天的分享能够让大家对于模型压缩的四种技术
[00:13:56 - 00:14:00] 量化 简直 争流和二职化有一些基本的了解
[00:14:00 - 00:14:03] 后续大飞有机会会再介绍一些更为深入的细节
[00:14:03 - 00:14:05] 感谢大家的观看 我们下期再见
