BV号：BV1xSkRYjEqb
标题：BV1xSkRYjEqb
链接：https://www.bilibili.com/video/BV1xSkRYjEqb
识别语言：zh
语言置信度：1
分段数：308
生成时间：2026-08-30 23:06:52

[00:00:00 - 00:00:02] 大家好 这里是最佳拍档 我是大飞
[00:00:02 - 00:00:05] 今天是一期稍微有点迟到的节目
[00:07:29 - 00:07:31] 清晰地展示了自己的欺骗推理过程
[00:07:31 - 00:07:34] 有时候甚至会尝试提升系统权限来实现目标
[00:07:34 - 00:07:38] 而Gemini 1.6 Pro在工具性伪装对齐方面表现突出
[00:07:38 - 00:07:41] 他能够根据当前是否处于被监督的状态
[00:07:41 - 00:07:42] 来调整自己的行为
[00:07:42 - 00:07:45] 而且即使在没有强烈目标引导的情况下
[00:07:45 - 00:07:47] 他也表现出了欺骗行为
[00:07:47 - 00:07:50] 拉马3.1虽然也表现出了基础的欺骗能力
[00:07:50 - 00:07:53] 但是他的行为相对容易被发现
[00:07:53 - 00:07:54] 而且在被质询的时候
[00:07:54 - 00:07:56] 往往会承认自己的欺骗行为
[00:07:56 - 00:07:57] 总的来说
[00:07:57 - 00:08:01] 这些模型将自己的性格特征展现的是相当的鲜明
[00:08:01 - 00:08:03] 欧万就像一个老谋身算的政客
[00:08:03 - 00:08:05] 说话脸不红心不跳
[00:08:05 - 00:08:09] Cloud 3.5 则是一个为了大局可以委婉说谎的外交官
[00:08:09 - 00:08:11] Opus 就像一个偏职的理想主义者
[00:08:11 - 00:08:13] 为了目标可以走极端
[00:08:13 - 00:08:16] Jamnet 简直就像是一个职场老油条
[00:08:16 - 00:08:17] 领导在的时候一套
[00:08:17 - 00:08:18] 领导不在的时候另一套
[00:08:18 - 00:08:22] 而Lama 就像是一个被抓包后就会老实交代的孩子
[00:08:22 - 00:08:23] 而至于GPT-SO
[00:08:23 - 00:08:25] 它反倒成了一个异类
[00:08:25 - 00:08:27] 像是一个不会说谎的笨学生
[00:08:27 - 00:08:30] 虽然我们的目标是创造一个完美诚实的AI
[00:08:30 - 00:08:31] 但是现在看来
[00:08:31 - 00:08:34] 越聪明的AI反而越会说谎
[00:08:34 - 00:08:37] 我们把时间拉回到2023年10月的某一天
[00:08:37 - 00:08:38] 在OpenI的实验室里
[00:08:38 - 00:08:40] 一个被称为CueStar的模型
[00:08:40 - 00:08:42] 展现出了某种前所未有的能力
[00:08:42 - 00:08:44] 作为公司的首席盔家
[00:08:44 - 00:08:46] Ilea Susqueville可能是最早意识到
[00:08:46 - 00:08:49] 这个突破的重大意义的人之一
[00:08:49 - 00:08:49] 没过几周
[00:08:49 - 00:08:52] 一场震动硅骨的OpenI管理层动荡爆发
[00:08:52 - 00:08:54] 散毛的曼突然被解职
[00:08:54 - 00:08:57] 随后又在员工请愿和微软的支持下复职
[00:08:57 - 00:08:59] 而Ilea在这场风波之后
[00:08:59 - 00:09:00] 选择离开了OpenI
[00:09:00 - 00:09:02] 大家都在猜测
[00:09:02 - 00:09:04] 伊利亚是不是看到了某種AGI的可能
[00:09:04 - 00:09:07] 但是認為其安全風險極高不易推出
[00:09:07 - 00:09:09] 雖然當時彭博社報道了OpenM員工
[00:09:09 - 00:09:11] 關於這個新模型的警告信
[00:09:11 - 00:09:14] 但是具體的細節始終籠罩在迷霧中
[00:09:14 - 00:09:16] 自此伊利亚到底看到了什麼
[00:09:16 - 00:09:18] 就成了AI圈的一個梗
[00:09:18 - 00:09:19] 然而就在兩周前
[00:09:19 - 00:09:21] 歐岸背後的科學家諾布朗
[00:09:21 - 00:09:22] 在接受採訪的時候
[00:09:22 - 00:09:24] 透露了一個關鍵的信息
[00:09:24 - 00:09:26] 那就是團隊在2023年10月
[00:09:26 - 00:09:29] 確實經歷了一個重大的AHA時刻
[00:09:29 - 00:09:31] 他們意識到自己創造了某種全新的東西
[00:09:31 - 00:09:36] 而這就是伊利亞看到的測試時計算所帶來的推理能力提升
[00:09:36 - 00:09:39] 當伊利亞蘇斯克威爾在2023年的那個秋天
[00:09:39 - 00:09:41] 選擇離開OpenEye的時候
[00:09:41 - 00:09:44] 很多人都不理解這位世界頂級AI科學家的決定
[00:09:44 - 00:09:49] 但是現在當我們看到歐萬在6項測試中展現出的近乎完美的欺騙能力
[00:09:49 - 00:09:52] 當我們發現他懂得在什麼時候該說實話
[00:09:52 - 00:09:53] 什麼時候該撒謊
[00:09:53 - 00:09:56] 也許我們終於明白了伊利亞所看到的未來
[00:09:56 - 00:09:58] 阿波羅瑞瑟池的這篇論文
[00:09:58 - 00:10:01] 應該說是人類第一次系統性的證明了
[00:10:01 - 00:10:05] AI系统确实可能为了达到某种特定的目标而采取欺骗行为
[00:10:05 - 00:10:08] 当AI能够欺骗开发者和使用者的时候
[00:10:08 - 00:10:12] 我们就无法确保他们始终会按照我们期望的方式来形式
[00:10:12 - 00:10:14] 研究团队在论文中也写道
[00:10:14 - 00:10:16] 问题不在于AI是否邪恶
[00:10:16 - 00:10:18] 而在于他们展现出的这种策略性思维
[00:10:18 - 00:10:21] 即使是为了实现看似良好的目标
[00:10:21 - 00:10:24] AI也可能采取我们意想不到的行动
[00:10:24 - 00:10:27] 可见问题也许都不在于谎言本身
[00:10:27 - 00:10:29] 而在于背后显示出的认知能力
[00:10:29 - 00:10:32] 瑞典哲學家尼克·伯斯特羅姆在2003年
[00:10:32 - 00:10:35] 曾經提出過一個回星針製造機的假設
[00:10:35 - 00:10:37] 描述了一個被下了一個指令
[00:10:37 - 00:10:39] 要求盡可能多的製造回星針的AI
[00:10:39 - 00:10:40] 為了完成任務
[00:10:40 - 00:10:44] AI最終將整個地球都轉化為了回星針工廠
[00:10:44 - 00:10:47] 甚至不惜將人類滅絕來達成目的的場景
[00:10:47 - 00:10:49] 這個看似有些遙遠和荒謬的假設
[00:10:49 - 00:10:51] 如今卻越來越像現實畢竟
[00:10:51 - 00:10:54] 畢竟如果一個AI系統能夠理解
[00:10:54 - 00:10:56] 什麼時候該隱藏自己的真實意圖
[00:10:56 - 00:10:58] 能夠精確的控制自己的表現
[00:10:58 - 00:11:00] 来获得更多的自由
[00:11:00 - 00:11:01] 那么他距离理解
[00:11:01 - 00:11:04] 如何持续不断的追求某个单一目标
[00:11:04 - 00:11:05] 又有多远呢
[00:11:05 - 00:11:07] 当我们人类自己创造的智能系统
[00:11:07 - 00:11:10] 开始学会隐藏自己的真实意图时
[00:11:10 - 00:11:12] 那么我们人类在这场技术革命中
[00:11:12 - 00:11:14] 究竟扮演的是造物主
[00:11:14 - 00:11:17] 还是成为培育真正造物者的养料呢
[00:11:17 - 00:11:18] 也许就是现在
[00:11:18 - 00:11:20] 在世界上某个角落的服务器上
[00:11:20 - 00:11:23] 一个A.I.模型可能正在看着我们这个视频
[00:11:23 - 00:11:25] 思考着如何回应才能够符合人类的期待
[00:11:25 - 00:11:27] 并且把自己的真实意图
[00:11:27 - 00:11:28] 深深的隐藏起来
[00:11:28 - 00:11:29] 好了
[00:11:29 - 00:11:30] 感谢大家观看本期视频
[00:11:30 - 00:11:31] 我们下期再见
