BV号：BV1Tpd2BJEoW
标题：BV1Tpd2BJEoW
链接：https://www.bilibili.com/video/BV1Tpd2BJEoW
识别语言：zh
语言置信度：1
分段数：167
生成时间：2026-08-29 07:57:12

[00:00:00 - 00:00:02] 大家好 我是为什么叫QQ
[00:00:02 - 00:00:05] 你以为Cloud Open 4.7变得更聪明 机型更好了
[00:00:05 - 00:00:06] 而且加量不加价
[00:01:10 - 00:01:13] 做了一个极其大胆的底层技术交易
[00:01:13 - 00:01:15] 接下来我们深度拆解三个关键点
[00:01:15 - 00:01:17] 1 常任务处理的真相
[00:01:17 - 00:01:20] 从死机硬背到逻辑链推理
[00:01:20 - 00:01:23] 现在网上很多评测说Opac 4.7
[00:01:23 - 00:01:25] 处理常文本信息丢失严重
[00:01:25 - 00:01:26] 没错这是事实
[00:01:26 - 00:01:28] 在硬核的MRCR
[00:01:28 - 00:01:30] 常上下文检索 基准测试理
[00:01:30 - 00:01:33] 他的得分从上一代的78.3%
[00:01:33 - 00:01:36] 直接暴跌到了32.2%
[00:01:36 - 00:01:38] 如果你往里面塞一本十万字的小说
[00:01:38 - 00:01:41] 问他第三张男主穿了什么颜色的鞋
[00:01:41 - 00:01:43] 他很可能会胡言乱语
[00:01:43 - 00:01:45] 但这是Anthropic把模型做烂了吗
[00:01:45 - 00:01:48] 不知是他们在工程上的战略性遗忘
[00:01:48 - 00:01:51] 传统的常上下文模型像是个复读机
[00:01:51 - 00:01:53] 把算力都浪费在维持字面记忆上
[00:01:53 - 00:01:57] 而Open4.7放弃了对细致末节的死机应备
[00:01:57 - 00:02:01] 他把庞大的算力全部转移到了跨文档逻辑推理链
[00:02:01 - 00:02:02] Risoning Chance上
[00:02:02 - 00:02:03] 打个比方
[00:02:03 - 00:02:05] 他就像一个高级系统架构师
[00:02:05 - 00:02:07] 你给他看五天的项目代码
[00:02:07 - 00:02:09] 他可能记不住某个辩量叫什么名字
[00:02:09 - 00:02:12] 但他能在脑海里建构出整个系统的架构图
[00:02:12 - 00:02:14] 当你问系统为什么崩溃时
[00:02:14 - 00:02:15] 他能顺着逻辑链条
[00:02:15 - 00:02:19] 在大量的代码里精准定位到那个致命的死锁
[00:02:19 - 00:02:22] 这种重构逻辑而非死机资面的能力
[00:02:22 - 00:02:25] 才是未来真正让多Agent协统工作
[00:02:25 - 00:02:27] 处理极度复杂任务的核心
[00:02:27 - 00:02:29] 它解决的不是找数据的问题
[00:02:29 - 00:02:30] 而是找关联的问题
[00:02:30 - 00:02:33] 2.自主验证能力不是一个人吹牛
[00:02:33 - 00:02:35] 而是自己做CodeReview
[00:02:35 - 00:02:37] 既然逻辑推理变强了
[00:02:37 - 00:02:38] 怎么保证它中间不断练呢
[00:02:38 - 00:02:41] 这就得聊聊它最经验的自主验证模块
[00:02:41 - 00:02:44] 以前我们用AI生成代码或者分析报告
[00:02:44 - 00:02:45] 流程是
[00:02:45 - 00:02:47] AI生成我们运行
[00:02:47 - 00:02:48] 测试
[00:02:48 - 00:02:50] 爆错了再把AIRT给AI
[00:02:50 - 00:02:52] 但Opus 4.7内置里一个叫
[00:02:52 - 00:02:54] OutwareReview的审查机制
[00:02:54 - 00:02:56] 这就好比程序员写完代码
[00:02:56 - 00:02:58] 自己默默切到了Code Review模式
[00:02:58 - 00:03:01] 它会重新审视自己刚刚吐出来的输出
[00:03:01 - 00:03:04] 主动做结果重构和逻辑教验隔离设计漏洞
[00:03:04 - 00:03:07] 而且这个验证能力是多磨态的
[00:03:07 - 00:03:11] 这次它的视觉分辨率从1.15万像素
[00:03:11 - 00:03:13] 直接拉爆到3.75万像素
[00:03:13 - 00:03:16] 最大支持2576像素单边尺寸
[00:03:16 - 00:03:17] 更恐怖的是
[00:03:17 - 00:03:20] 坐标和像素是1比1完美映射的
[00:03:20 - 00:03:22] 意味着在UI自动化测试里
[00:03:22 - 00:03:26] 你甩一张复杂的系统截图给它,它不仅能看懂
[00:03:26 - 00:03:30] 还能精确指出哪个按钮的层级错了,哪个数据对不上
[00:03:30 - 00:03:35] 这种级别的感知和纠错能力,让它在充当Agent的编排者时
[00:03:35 - 00:03:37] 具备了极其可靠的责任感
[00:03:37 - 00:03:41] 3 算力调度于隐形涨价按坑,你不懂预算就会破产
[00:03:41 - 00:03:44] 到了大家最关心的成本和调度问题
[00:03:44 - 00:03:47] 这里有一个官方绝对不会大肆宣传的按坑
[00:03:47 - 00:03:52] 表面上看,API定价依然是100万输入Token5美元
[00:03:52 - 00:03:54] 100万输出25美元没涨价对吧
[00:03:54 - 00:03:57] 但很多开发者在后台看账单时傻眼了
[00:03:57 - 00:03:58] 同样的一段文本
[00:03:58 - 00:04:01] Opus 4.7消耗的Token数量
[00:04:01 - 00:04:04] 比4.6高出了30%到35%
[00:04:04 - 00:04:05] 原因很简单
[00:04:05 - 00:04:08] Anthropic悄悄更换了底层的分词器
[00:04:08 - 00:04:08] Tokenizer
[00:04:08 - 00:04:10] 这是一种隐形涨价
[00:04:10 - 00:04:11] 此外
[00:04:11 - 00:04:13] 网页端的扩展思考开关被移除了
[00:04:13 - 00:04:16] 变成了强制开启的自适应思考
[00:04:16 - 00:04:19] 模型现在会自己决定什么时候该深思熟虑
[00:04:19 - 00:04:21] 什么时候该快速回答
[00:04:21 - 00:04:24] 这导致他的输出token消耗变得非常不可控
[00:04:24 - 00:04:25] 一旦遇到复杂问题
[00:04:25 - 00:04:27] 他可能自己在那推演半天
[00:04:27 - 00:04:28] 你的钱就跟着烧煤了
[00:04:28 - 00:04:30] 那工程上怎么解
[00:04:30 - 00:04:31] Anthropic其实给了药方
[00:04:31 - 00:04:33] 首先是吸力度控制
[00:04:33 - 00:04:36] 新增了一个介于Hi和Max之间的晒级别
[00:04:36 - 00:04:39] 就想给系统性能调度加了个精准的二档加速
[00:04:39 - 00:04:41] 避免杀鸡用牛刀
[00:04:41 - 00:04:44] 其次是极其关键的任务预算功能
[00:04:44 - 00:04:45] 作为架构师
[00:04:45 - 00:04:47] 你现在必须学会给AI订预算
[00:04:47 - 00:04:50] 你可以强制设定这次任务最多消耗多少token
[00:04:50 - 00:04:52] 把毆派4.7当做大脑
[00:04:52 - 00:04:55] 只让它处理最核心的调度和逻辑验证
[00:04:55 - 00:04:58] 而把文字起草数据格式化这种杂货
[00:04:58 - 00:05:00] 外包给更便宜的小模型
[00:05:00 - 00:05:01] 听到这里
[00:05:01 - 00:05:02] 各位在做AI研发
[00:05:02 - 00:05:04] 或者用AI搞创作的朋友
[00:05:04 - 00:05:06] 你们觉得这种隐形长假
[00:05:06 - 00:05:08] 换取更强推理的买卖划算吗
[00:05:08 - 00:05:10] 把你的观点打在弹幕上
[00:05:10 - 00:05:11] 咱们交流一下
[00:05:11 - 00:05:12] 拆解到这里
[00:05:12 - 00:05:14] 我们其实可以推翻一个主流偏见了
[00:05:14 - 00:05:16] 大家总以为未来的大模型
[00:05:16 - 00:05:18] 就是比拼谁的上下文更长
[00:05:18 - 00:05:20] 谁能一口气吃下更多的书
[00:05:20 - 00:05:23] 但OPPO 4.7告诉我们那是死路一条
[00:05:23 - 00:05:26] 真正的工业级AI拼的是内形与结构化
[00:05:26 - 00:05:29] 从加法堆叠到叠带内形
[00:05:29 - 00:05:31] 从死机硬背到逻辑链挂载
[00:05:31 - 00:05:34] 从被动回答到主动自检
[00:05:34 - 00:05:38] 这就好比我们追求的不再是一个拥有照相机记忆的疏呆子
[00:05:38 - 00:05:40] 而是一个懂得自我纠错
[00:05:40 - 00:05:42] 懂得合理分配体力的老链水手
[00:05:42 - 00:05:46] 可以预见未来的AI基础设施会向着这个方向狂奔
[00:05:46 - 00:05:50] 当我们在规划那种AI原生的艺人公司架构时
[00:05:50 - 00:05:52] 我们不需要那种面面剧道的万能模型
[00:05:52 - 00:05:54] 我们需要的是OPUS 4.7这种
[00:05:54 - 00:05:57] 能在关键节点上扛住压力
[00:05:57 - 00:05:59] 懂得视觉和代码双重字节
[00:05:59 - 00:06:01] 并且允许我们通过Task Budget
[00:06:01 - 00:06:03] 精确控制成本的超级节点
[00:06:03 - 00:06:06] 它甚至在倒逼我们改编软件工程的习惯
[00:06:06 - 00:06:08] 从编写业务代码
[00:06:08 - 00:06:12] 转向编写能够让AI更好理解和验证的编译级指示库
[00:06:12 - 00:06:14] 最后总结一下今天最重要的结论
[00:06:14 - 00:06:16] 工业级常识任务AI拼的
[00:06:16 - 00:06:18] 从来不是更暴力的堆砌
[00:06:18 - 00:06:22] 而是更聪明的妥协牺牲机械记忆换取深度推理
[00:06:22 - 00:06:24] 牺牲单部成本换取全局的准确率
[00:06:24 - 00:06:26] 你准备好把你的AI助手
[00:06:26 - 00:06:29] 升级成懂得自减的AI架构师了吗
[00:06:29 - 00:06:32] 在评论区聊聊你想用它做什么疯狂的项目吧
[00:06:32 - 00:06:34] 觉得视频对你有启发
[00:06:34 - 00:06:36] 别忘了点赞投币支持一下
[00:06:36 - 00:06:37] 我是为什么叫QQ
[00:06:37 - 00:06:38] 我们下期见
