BV号：BV1Cqnjz9EnB
标题：BV1Cqnjz9EnB
链接：https://www.bilibili.com/video/BV1Cqnjz9EnB
识别语言：zh
语言置信度：1
分段数：466
生成时间：2026-08-29 22:42:35

[00:00:00 - 00:00:02] 大家好,我是为什么叫QQ。
[00:02:10 - 00:02:11] 也就是唯一阶段
[00:02:11 - 00:02:14] 2025年2月到3月的V2阶段
[00:02:14 - 00:02:17] 还有2025年8月的V3阶段
[00:02:17 - 00:02:20] 前后总过跨度长达8个月的时间
[00:02:20 - 00:02:25] 在这八个月里,模型能力不仅在提升,用户群体也在扩大。
[00:02:25 - 00:02:27] 使用习惯也在逐渐成熟。
[00:02:27 - 00:02:31] 所以数据变化能够反映很多深层次的趋势。
[00:02:31 - 00:02:36] 第一个明显的变化是,知识密集型任务的占比一直在涨,
[00:02:36 - 00:02:38] 尤其是教育和科研相关的。
[00:02:38 - 00:02:44] 我们先看大类,计算机与数学类任务依然是占比最高的,达到36%。
[00:02:44 - 00:02:48] 毕竟编程,数据分析这些是AI的强项,
[00:02:48 - 00:02:50] 但是其他类别的变化就很有意思了
[00:02:50 - 00:02:53] 比如教育指导与图书馆相关任务
[00:02:53 - 00:02:56] 从唯一阶段的9%
[00:02:56 - 00:02:58] 长到了v3阶段的12%
[00:02:58 - 00:03:01] 生命、物理与社会科学相关任务
[00:03:01 - 00:03:03] 从6%长到了7%
[00:03:03 - 00:03:04] 反过来
[00:03:04 - 00:03:06] 商业与金融运营任务
[00:03:06 - 00:03:08] 从6%降到3%
[00:03:08 - 00:03:11] 管理类任务从5%降到3%
[00:03:11 - 00:03:13] 为什么会有这种一生一将呢
[00:03:13 - 00:03:14] 核心的原因可能是
[00:03:14 - 00:03:16] 教育、科研这些任务
[00:03:16 - 00:03:19] 更需要知识的综合与解释能力
[00:03:19 - 00:03:22] 而Cloud的推理能力正好能够满足这个需求
[00:03:22 - 00:03:25] 而传统的商业运营、管理任务
[00:03:25 - 00:03:28] 很多还要依赖内部数据或者线下流程
[00:03:28 - 00:03:31] AI暂时还没法深度的介入
[00:03:31 - 00:03:33] 而且这种变化也不是偶然的
[00:03:33 - 00:03:37] 其实和Cloud新增的功能也有很大关系
[00:03:37 - 00:03:41] 比如2025年3月上线了网页搜索的功能
[00:03:41 - 00:03:44] 结果电子来源与数据库减所类的任务占比
[00:03:44 - 00:03:48] 从0.03%,一下子长到了0.49%。
[00:03:48 - 00:03:52] 4月发布了研究模式,于是,基于互联网的研究任务,
[00:03:52 - 00:03:56] 就从0.003%,长到了0.27%。
[00:03:56 - 00:03:59] 这说明新的功能不是在加速就的任务,
[00:03:59 - 00:04:01] 而是在开启新的工作形态。
[00:04:01 - 00:04:06] 这一点很重要,因为它意味着AI不是在替代现有的工作,
[00:04:06 - 00:04:08] 而是在创造新的工作方式。
[00:04:08 - 00:04:13] 还有两个细节特别值得关注,一个是开发教学材料的任务。
[00:04:13 - 00:04:16] 战笔从0.2%涨到了1.5%
[00:04:16 - 00:04:17] 增幅超过6倍
[00:04:17 - 00:04:21] 这说明教育领域的人群在加速用AI
[00:04:21 - 00:04:24] 这可能会直接改变教育行业的效率
[00:04:24 - 00:04:26] 另一个是代码相关任务的变化
[00:04:26 - 00:04:30] 创建新代码的战笔从4.1%涨到8.6%
[00:04:30 - 00:04:32] 而调试与纠错的任务
[00:04:32 - 00:04:35] 则从16.1%降到了13.3%
[00:04:35 - 00:04:36] 算下来
[00:04:36 - 00:04:39] 相当于创造型、任务比修复型
[00:04:39 - 00:04:41] 任务竞增加了7.4个百分点
[00:04:41 - 00:04:43] 这背后的逻辑很简单
[00:04:43 - 00:04:45] 那就是模型的可靠性提高了
[00:04:45 - 00:04:48] 用户不用花那么多时间去改bug了
[00:04:48 - 00:04:50] 就会直接选择用AI来生成新的代码
[00:04:50 - 00:04:52] 这对于开发者来说
[00:04:52 - 00:04:54] 意味着AI从辅助修复
[00:04:54 - 00:04:56] 正在走向主动创造
[00:04:56 - 00:04:58] 除了做什么任务以外
[00:04:58 - 00:05:00] 另一个关键的问题是
[00:05:00 - 00:05:01] 用户怎么用AI的呢
[00:05:01 - 00:05:02] 适合AI协作
[00:05:02 - 00:05:05] 还是直接让AI自动完成任务呢
[00:05:05 - 00:05:07] Anthropic把使用模式
[00:05:07 - 00:05:09] 分成了自动化和增强两大类
[00:05:09 - 00:05:11] 自动化是为了直接完成任务
[00:05:11 - 00:05:12] 包括两种
[00:05:12 - 00:05:14] 一种是指令式Directive的
[00:05:14 - 00:05:15] 用户直接下达任务
[00:05:15 - 00:05:17] Cloud尽量一次完成
[00:05:17 - 00:05:19] 另一种是反馈循环式的
[00:05:19 - 00:05:21] 用户把任务自动化
[00:05:21 - 00:05:22] 偶尔给点反馈
[00:05:22 - 00:05:25] 增强则是为了协作
[00:05:25 - 00:05:26] 也包括三种
[00:05:26 - 00:05:27] 分别是学习型
[00:05:27 - 00:05:29] 用户找AI要信息
[00:05:29 - 00:05:30] 要解释
[00:05:30 - 00:05:31] 任务迭代型
[00:05:31 - 00:05:33] 用户和AI一起来改方案
[00:05:33 - 00:05:35] 以及验证型Validation
[00:05:35 - 00:05:37] 用户让AI给现有的工作提议件
[00:05:37 - 00:05:40] 从数据变化中可以很明显的看出
[00:05:40 - 00:05:42] 指令是对话的占比
[00:05:42 - 00:05:46] 从2024年末的27%长到了V3阶段的39%
[00:05:46 - 00:05:50] 而且主要挤占的是任务迭代型和学习型的份额
[00:05:50 - 00:05:52] 这是8个月的时间里
[00:05:52 - 00:05:55] 第一次出现自动化模式整体高于增强模式的情况
[00:05:56 - 00:05:58] 这背后有两个可能的原因
[00:05:58 - 00:05:59] 第一
[00:05:59 - 00:06:00] 模型能力真的提升了
[00:06:00 - 00:06:02] 能够预判用户的需求
[00:06:02 - 00:06:04] 第一次输出的质量就很高
[00:06:04 - 00:06:06] 用户不用再反复修改了
[00:06:06 - 00:06:07] 第二
[00:06:07 - 00:06:11] 用户对AI的信任度增加了,愿意把完整的任务委派给AI了。
[00:06:11 - 00:06:14] 这是一种在用中学习的过程。
[00:06:14 - 00:06:18] 但是这两个原因对劳动力市场的影响是不一样的。
[00:06:18 - 00:06:27] 如果是模型能力提升所导致的,那么意味着可以自动化的任务边界再扩大,相关岗位的被替代风险就会上升。
[00:06:27 - 00:06:32] 如果是用户的信任提升所导致的,那么能够快速适应AI工作流的人,
[00:06:32 - 00:06:34] 比如知道怎么给AI写清洗指令的人
[00:06:34 - 00:06:38] 就会更吃香,心愁也可能更高
[00:06:38 - 00:06:40] 不管是哪种原因,有一点是肯定的
[00:06:40 - 00:06:44] AI带来的收益,在劳动者之间会很不均衡
[00:06:44 - 00:06:46] 能适应的人会受益更多
[00:06:46 - 00:06:50] 而适应慢的人更容易遭遇岗位上的波动
[00:06:50 - 00:06:54] 这是我们看AI趋势时,必须要警惕的一种分化风险
[00:06:54 - 00:06:57] 聊完时间为渡,我们再把视角拉到地里为渡
[00:06:57 - 00:07:01] AI到底在哪些国家,哪些地区用的更多呢?
[00:07:01 - 00:07:03] 这些地区用的都一不一样呢
[00:07:03 - 00:07:05] 这不仅关系到数字红沟的问题
[00:07:06 - 00:07:08] 更可以帮助我们看懂不同的经济结构下
[00:07:08 - 00:07:10] AI的落地逻辑有什么差异
[00:07:11 - 00:07:11] 于是
[00:07:12 - 00:07:16] Anthropic分析了150多个国家和美国所有周的Cloud使用数据
[00:07:16 - 00:07:17] 得出了一些很清晰
[00:07:18 - 00:07:20] 但是也有些反直觉的结论
[00:07:20 - 00:07:22] 先看全球总量
[00:07:22 - 00:07:23] 美国占比最高
[00:07:23 - 00:07:25] 达到21.6%
[00:07:25 - 00:07:27] 之后是印度7.2%
[00:07:27 - 00:07:28] 巴西3.7%
[00:07:28 - 00:07:31] 但是后面这些国家和美国的差距很大
[00:07:31 - 00:07:34] 不过总量占比会受人口规模的影响
[00:07:34 - 00:07:38] 比如中国,印度人口多,总量自然可能就高
[00:07:38 - 00:07:41] 所以更科学的是看人均使用
[00:07:41 - 00:07:44] Anthropic专门做了一个Anthropic人工智能使用指数
[00:07:44 - 00:07:46] AUI Anthropic AI Usage Index
[00:07:46 - 00:07:49] 计算的方式是一个地区的Cloud使用占比
[00:07:49 - 00:07:53] 除以这个地区15-64岁的劳动年龄人口
[00:07:53 - 00:07:55] 占全球劳动年龄人口的比例
[00:07:55 - 00:08:02] 这个指数大于1,说明该地区的AI使用强度高于人口占比对应的预期,小于一则相反。
[00:08:02 - 00:08:06] 结果很有意思,体谅小儿技术先进的经济体。
[00:08:06 - 00:08:15] AOI特别高,比如以色列的AOI17,意味着它的劳动年龄人口中使用AI的频率是全球平均预期的7倍。
[00:08:15 - 00:08:36] 新加坡是4.57,澳大利亚4.10,新西兰4.05,韓國3.73,而很多中低收入國家的AOI就很低,比如玻璃為亞0.48,印度尼西亞0.36,印度0.27,尼日利亚0.2,而且數據顯示,AOI和人均GDP是高度正相關的。
[00:08:36 - 00:08:42] 人均GDP每增加1%,人均Cloud的使用就增加大約0.7%。
[00:08:42 - 00:08:46] 这说明经济的发展水平直接决定了AI的普及强度
[00:08:46 - 00:08:48] 为什么会这样呢?
[00:08:48 - 00:08:49] 有几个关键的因素
[00:08:49 - 00:08:51] 第一是数字基础设施
[00:08:51 - 00:08:53] 比如网络覆盖
[00:08:53 - 00:08:54] 云资源的可得性
[00:08:54 - 00:08:57] 高收入国家在这些方面更加完善
[00:08:57 - 00:08:59] 第二是经济结构
[00:08:59 - 00:09:02] 高收入国家的知识型工作占比更高
[00:09:02 - 00:09:05] 而AI目前最擅长的就是知识型任务
[00:09:05 - 00:09:06] 第三是监管环境
[00:09:06 - 00:09:09] 高收入国家对AI的鼓励政策更多
[00:09:09 - 00:09:11] 约束也更清晰
[00:09:11 - 00:09:13] 第四是认知可达性
[00:09:13 - 00:09:14] 比如和硅谷
[00:09:14 - 00:09:17] 全球研究社群的连接程度
[00:09:17 - 00:09:18] 高收入国家的从业者
[00:09:18 - 00:09:21] 更容易接触到AI工具和使用方法
[00:09:21 - 00:09:23] 再看美国内部的情况
[00:09:23 - 00:09:24] 总量上
[00:09:24 - 00:09:27] 加利福尼亚洲占比为25.3%
[00:09:27 - 00:09:28] 遥遥领先
[00:09:28 - 00:09:30] 之后是纽约州9.3%
[00:09:30 - 00:09:32] 德克萨斯州6.7%
[00:09:32 - 00:09:34] 福基尼亚州4.0%
[00:09:34 - 00:09:36] 这些都是传统的科技或经济中心
[00:09:36 - 00:09:38] 符合我们的预期
[00:09:38 - 00:09:39] 但是按照人口调整后
[00:09:39 - 00:09:41] 结果则完全反转
[00:09:41 - 00:09:44] 华盛顿特区的AOI是3.82
[00:09:44 - 00:09:47] 由它周是3.78,都远超加州的2.13
[00:09:47 - 00:09:51] 纽约州的1.58,弗吉尼亚州的1.57
[00:09:51 - 00:09:54] 而且美国各州的AOI和收入的相关性
[00:09:54 - 00:09:56] 比全球层面要弱很多
[00:09:56 - 00:09:59] 收入差异只能解释不到一半的采用差异
[00:09:59 - 00:10:02] 但是收入的敏感度相关性更高
[00:10:02 - 00:10:04] 周人均GDP每增加1%
[00:10:04 - 00:10:07] AOI就会增加大约1.8%
[00:10:07 - 00:10:08] 这说明在美国内部
[00:10:08 - 00:10:12] 除了收入,还有其他的因素在影响AI的使用
[00:10:12 - 00:10:15] 比如当地的职业结构,地方的政策等等
[00:10:16 - 00:10:20] 除了用的多不多以外,更重要的是要看AI用来干什么
[00:10:20 - 00:10:23] 不同地区的任务结构差异会很大
[00:10:23 - 00:10:27] 整体的趋势是,人均采用越低的国家,任务就越集中
[00:10:27 - 00:10:30] 人均采用越高的国家,任务就越多元
[00:10:30 - 00:10:35] 比如印度,超过一半的Cloud的使用,集中在编程任务上
[00:10:35 - 00:10:38] 而全球平均的编程任务占比,大约仅有三分之一
[00:10:38 - 00:10:40] 到了新加坡、以色列
[00:10:40 - 00:10:44] AI已经扩散到了科研、教育、行政等多个领域
[00:10:44 - 00:10:48] 这说明数字鸿钩不只是用不用AI的问题
[00:10:48 - 00:10:50] 更是一个怎么用AI的问题
[00:10:50 - 00:10:53] 低收入国家可能只能用AI来解决单一痛点
[00:10:53 - 00:10:56] 而高收入国家已经在用AI提升全领域的效率了
[00:10:56 - 00:10:58] 具体到不同国家
[00:10:58 - 00:11:01] 任务结构还带有一定的本地特色
[00:11:01 - 00:11:04] 比如美国用户更经常用AI做家庭管理
[00:11:04 - 00:11:07] 找工作、获取医疗指导
[00:11:07 - 00:11:10] 巴西用户偏好,用AI做翻译和法律服务
[00:11:10 - 00:11:14] 这和巴西的司法系统较早尝试AI有关
[00:11:14 - 00:11:16] 越南主要集中在软件开发和教育
[00:11:16 - 00:11:19] 印度则几乎专注于软件开发
[00:11:19 - 00:11:22] 这也和印度IT产业规模大的特点吻合
[00:11:22 - 00:11:26] 那么,为什么编程任务在各个国家都最常见了?
[00:11:26 - 00:11:27] 有三个原因
[00:11:27 - 00:11:31] 第一,AI在代码生成,调试上的能力确实强
[00:11:31 - 00:11:32] 匹配度高
[00:11:32 - 00:11:36] 第二,开发者群体对新的工具更加敏感
[00:11:36 - 00:11:39] 而且会通过社交,职场网络进行扩散
[00:11:39 - 00:11:42] 比如一个程序员用了觉得好,就会推荐给同事
[00:11:42 - 00:11:45] 第三,编程的组织采用门坎低
[00:11:45 - 00:11:48] 个体开发者不用经过复杂审批就能用
[00:11:48 - 00:11:52] 不像医疗、金融这些领域,有严格的监管限制
[00:11:52 - 00:11:55] 此外,美国各州的任务结构也很有特色
[00:11:55 - 00:12:00] 比如加州作为科技中心,更偏向IT、数字营销、翻译
[00:12:00 - 00:12:04] 这和当地大量的科技公司多语言环境有关
[00:12:04 - 00:12:07] 而且加州关于基础数值任务的请求也多
[00:12:07 - 00:12:10] 可能是因为很多人在做模型测评
[00:12:10 - 00:12:12] 或者有一些基础的数据处理需求
[00:12:13 - 00:12:16] 佛罗里达州则偏向商业建议与建身
[00:12:16 - 00:12:19] 因为佛州有像麦阿密这样的金融中心
[00:12:19 - 00:12:22] 而且气候宜人居民更关注建身
[00:12:22 - 00:12:24] 这也反映在了AI的使用上
[00:12:24 - 00:12:28] 华盛顿特区则在求职申请帮助上特别突出
[00:12:28 - 00:12:30] 战笔是全美的1.84倍
[00:12:30 - 00:12:33] 因为特区有大量年轻人在找政府
[00:12:33 - 00:12:38] 智库、企业的工作需要修改减力、写求执信、AI正好能够帮得上忙
[00:12:38 - 00:12:40] 还有一个反直觉的发现是
[00:12:40 - 00:12:43] 人机协作模式也存在地理上的差异
[00:12:43 - 00:12:45] 在控制了任务结构之后
[00:12:45 - 00:12:49] 人均采用越高的国家越偏向增强式的使用
[00:12:49 - 00:12:52] 人均采用越低的国家越偏向自动化的使用
[00:12:52 - 00:12:54] 这和我们的直觉相反
[00:12:54 - 00:12:58] 我们可能会觉得低收入国家的用户对AI不熟悉
[00:12:58 - 00:12:59] 应该更需要协作
[00:12:59 - 00:13:01] 但是数据显示不是这样的
[00:13:01 - 00:13:03] Anthropic推测
[00:13:03 - 00:13:08] 这可能和当地的文化、经济需求或者早期采用者的特征有关
[00:13:08 - 00:13:10] 具体原因还需要进一步地研究
[00:13:10 - 00:13:11] 聊完个人用户
[00:13:11 - 00:13:13] 我们再转向企业端
[00:13:13 - 00:13:15] 毕竟企业是经济的核心
[00:13:15 - 00:13:18] AI能不能真正提升整体的生产效率
[00:13:18 - 00:13:20] 关键还要看企业怎么用
[00:13:20 - 00:13:24] 这部分Anthropic用的是自己的一手API客户数据
[00:13:24 - 00:13:26] 更能反映企业的真实部署情况
[00:13:26 - 00:13:29] 因为API使用是程序化介入
[00:13:29 - 00:13:31] 需要企业投入资源来进行集成
[00:13:31 - 00:13:33] 不是员工个人就能随便使用的
[00:13:34 - 00:13:36] 首先我们必须得有个共识
[00:13:36 - 00:13:38] 那就是企业采用AI
[00:13:38 - 00:13:39] 还处于早期的阶段
[00:13:39 - 00:13:41] 但是增长很快
[00:13:41 - 00:13:43] 根据美国人口普查局的商业趋势
[00:13:43 - 00:13:45] 与展望调查报告
[00:13:45 - 00:13:46] 2023年秋天
[00:13:46 - 00:13:50] 美国只有3.7%的企业在使用AI
[00:13:50 - 00:13:51] 到了2025年8月初
[00:13:51 - 00:13:54] 这个比例涨到了9.7%
[00:13:54 - 00:13:56] 两年多涨了将近三倍
[00:13:56 - 00:13:57] 不过
[00:13:57 - 00:13:58] 行业的差异也极大
[00:13:58 - 00:14:01] 信息行业比如软件、互联网
[00:14:01 - 00:14:03] 有1⁄的企业在使用AI
[00:14:03 - 00:14:05] 是注诉和参与业的十倍
[00:14:05 - 00:14:07] 这说明企业使用AI
[00:14:07 - 00:14:10] 还是集中在能够快速看到收益的行业
[00:14:10 - 00:14:13] 和我们前面看到的任务集中化的趋势是一致的
[00:14:13 - 00:14:16] 那么企业用API到底来做什么呢?
[00:14:16 - 00:14:18] 答案是高度集中在容易自动化
[00:14:18 - 00:14:20] 高价值的专门任务上
[00:14:20 - 00:14:23] 我们先看Top15的使用集群
[00:14:23 - 00:14:25] 大部分都和编码、开发相关
[00:14:25 - 00:14:28] 比如,调室Web应用,占6%
[00:14:28 - 00:14:30] 解决技术问题,占6%
[00:14:30 - 00:14:33] 构建专业业务软件占比也很高
[00:14:33 - 00:14:35] 还有约5%的API流量
[00:14:35 - 00:14:38] 是用来开发和评估AI系统本身的
[00:14:38 - 00:14:42] 也就是说,很多企业在用Cloud来做AI开发
[00:14:42 - 00:14:44] 这是一种用AI来负能AI的趋势
[00:14:44 - 00:14:47] 当然,API也有非编码的用途
[00:14:47 - 00:14:50] 比如创建营销材料占4.7%
[00:14:50 - 00:14:53] 处理商业与招聘数据占1.9%
[00:14:53 - 00:14:56] 这说明 AI不只是用来做生产
[00:14:56 - 00:14:59] 也用来作为对外沟通和人才获取的要求
[00:14:59 - 00:15:02] 而这些都是企业的核心运营环节
[00:15:02 - 00:15:04] 如果按照 O-Net 的职业分类来看
[00:15:04 - 00:15:08] 企业 API 的任务结构和个人用户虽然有差异
[00:15:08 - 00:15:09] 但是核心一致
[00:15:09 - 00:15:12] 比如 计算机与数学类任务
[00:15:12 - 00:15:14] 在 API 中占比接近 50%
[00:15:14 - 00:15:16] 比 Cloud 高八个百分点
[00:15:16 - 00:15:19] 办公事与行政类任务占百分之十
[00:15:19 - 00:15:22] 因为这类任务规则明确 容易自动化
[00:15:22 - 00:15:38] 反过来,Cloud上占比12.3%的教育与图书馆类任务,在API中只占3.6%,8.2%的艺术与娱乐类任务,在API中只占5.2%,因为这些任务更需要个人的创意和互动,企业端的需求比较少。
[00:15:38 - 00:15:45] 但是有一点很关键,那就是不管是API还是Cloud,任务的分布都会呈现出秘律特征。
[00:15:45 - 00:15:48] 也就是少数任务占了绝大多数的使用
[00:15:48 - 00:15:53] 比如在Cloud中,底部80%的任务只占12.7%的使用
[00:15:53 - 00:15:58] API更为极端,底部80%的任务只占10.5%
[00:15:58 - 00:16:01] 这说明,AI与任务的匹配度差异极大
[00:16:01 - 00:16:05] 只有那些能力匹配,部署容易,价值很高的任务
[00:16:05 - 00:16:06] 才会被大量的使用
[00:16:06 - 00:16:08] 比如代码生成能成为主流
[00:16:08 - 00:16:10] 就是因为它正好采中了这个点
[00:16:10 - 00:16:14] 而那些常委任务,要么是本身的需求太少
[00:16:14 - 00:16:16] 要么是需要更强的推理能力
[00:16:16 - 00:16:18] 要么是缺少内部数据的支持
[00:16:18 - 00:16:20] 或者需要监管审批
[00:16:20 - 00:16:22] 只要有一个环节卡壳
[00:16:22 - 00:16:23] 就很难被采用
[00:16:23 - 00:16:25] 还有一点
[00:16:25 - 00:16:27] 企业用API和个人用Cloud
[00:16:27 - 00:16:29] 最大的区别其实是人机协作的方式
[00:16:29 - 00:16:31] 企业几乎全是自动化
[00:16:31 - 00:16:36] 数据显示API转路中77%是自动化模式
[00:16:36 - 00:16:38] 增强模式只占12%
[00:16:38 - 00:16:41] 而Cloud中自动化和增强模式几乎是均衡的
[00:16:41 - 00:16:43] 如果按照经济任务来分
[00:16:43 - 00:16:46] 97%的任务在 API 中是自动化主导
[00:16:46 - 00:16:49] 而在 Cloud 中只有 47%
[00:16:49 - 00:16:50] 为什么会这样呢?
[00:16:50 - 00:16:52] 因为 API 是程序化介入
[00:16:52 - 00:16:55] 企业集成它的目的就是嵌入系统
[00:16:55 - 00:16:56] 自动完成任务
[00:16:56 - 00:16:59] 比如用户在企业的 APP 上提交一个需求
[00:16:59 - 00:17:02] 后台直接调用 Cloud API 生成结果
[00:17:02 - 00:17:03] 再返回给用户
[00:17:03 - 00:17:05] 中间不需要人工干预
[00:17:05 - 00:17:07] 这种系统化自动化
[00:17:07 - 00:17:11] 才是 AI 能给企业带来大规模生产率提升的关键
[00:17:11 - 00:17:14] 因为它能让非专业人员也享受到AI的好处
[00:17:14 - 00:17:18] 但是反过来,这也意味着企业端的AI使用
[00:17:18 - 00:17:21] 对需要人工协作的岗位,替代风险就会更高
[00:17:21 - 00:17:23] 毕竟系统直接自动化了
[00:17:23 - 00:17:25] 就不需要人在中间闲接了
[00:17:25 - 00:17:28] 还有一个影响企业AI部署的关键因素
[00:17:28 - 00:17:29] 那就是上下文
[00:17:29 - 00:17:33] 上下文指的就是AI完成任务需要的背景信息
[00:17:33 - 00:17:36] 比如要让AI重构一个复杂的代码模块
[00:17:36 - 00:17:39] 需要加载整个代码库的信息
[00:17:39 - 00:17:41] 或者要讓AI制定客戶銷售策略
[00:17:41 - 00:17:43] 需要知道這個客戶的歷史訂單
[00:17:43 - 00:17:45] 溝通記錄
[00:17:45 - 00:17:47] 甚至銷售人員的私下反饋
[00:17:47 - 00:17:49] 這些都是上下文
[00:17:49 - 00:17:50] entropic發現
[00:17:50 - 00:17:51] 任務越複雜
[00:17:51 - 00:17:55] 企業給API提供的上下文長度也就越長
[00:17:55 - 00:17:56] 但是這裡有個問題
[00:17:56 - 00:17:59] 輸入和輸出不是成比例增長的
[00:17:59 - 00:18:01] 輸入每增加1%
[00:18:01 - 00:18:04] 輸出只增加大約0.38%
[00:18:04 - 00:18:06] 呈現出了遞減收益的情況
[00:18:06 - 00:18:07] 這說明
[00:18:07 - 00:18:08] 在複雜任務上
[00:18:08 - 00:18:10] 限制AI发挥的不是模型能力
[00:18:10 - 00:18:12] 而是信息的可得性
[00:18:12 - 00:18:15] 如果企业不能把分散的上下文集中起来
[00:18:15 - 00:18:16] 进行数字化
[00:18:16 - 00:18:18] 就算AI再强
[00:18:18 - 00:18:20] 也没法做好复杂的任务
[00:18:20 - 00:18:21] 这对企业来说
[00:18:21 - 00:18:23] 应该是一个重要的提醒
[00:18:23 - 00:18:24] 要想用AI来做复杂任务
[00:18:24 - 00:18:26] 首先得整理自己的信息
[00:18:26 - 00:18:29] 比如把分散的数据整合到一个平台
[00:18:29 - 00:18:32] 把默认应该学会的知识转化为文档
[00:18:32 - 00:18:35] 这就是数据治理和组织调整的过程
[00:18:35 - 00:18:36] 如果做不到这一点
[00:18:36 - 00:18:42] 企业只能用AI做简单的,上下文明确的任务,没法用AI提升核心业务的效率。
[00:18:42 - 00:18:47] 最后,我们再聊一个很实际的问题,成本会不会影响企业使用AI呢?
[00:18:48 - 00:18:53] 毕竟API是按token 计费的,复杂任务的输入输出厂,成本就高,
[00:18:53 - 00:18:58] 但是数据显示,企业对成本的敏感度远低于我们的预期。
[00:18:58 - 00:19:02] 甚至出现成本越高的任务,使用越频繁的情况。
[00:19:02 - 00:19:07] 比如计算机与数学类任务的成本比销售类任务高50%以上
[00:19:07 - 00:19:10] 但是企业还是更愿意用AI做前者
[00:19:10 - 00:19:13] 因为前者能带来更高的经济回报
[00:19:13 - 00:19:16] 当然,在同类任务中,成本还是有一定影响
[00:19:16 - 00:19:20] 比如同样是编程任务,成本每增加1%
[00:19:20 - 00:19:23] 使用频率会下降大约0.29%
[00:19:23 - 00:19:26] 但是这个弹性很小,成本每降10%
[00:19:26 - 00:19:29] 使用也只增加大约3%
[00:19:29 - 00:19:32] 这说明对企业来说,决定用不用AI的关键
[00:19:32 - 00:19:35] 是模型能力和任务价值,不是成本
[00:19:35 - 00:19:39] 只要AI能把任务做好,能带来足够的收益
[00:19:39 - 00:19:41] 企业就愿意为更高的成本买单
[00:19:41 - 00:19:44] 到这里,我们已经把报告的核心数据都过了一遍
[00:19:44 - 00:19:46] 最后我们来总结一下
[00:19:46 - 00:19:50] 这份报告到底告诉我们什么以及未来我们该关注什么
[00:19:50 - 00:19:52] 第一,AI的采用速度很快
[00:19:52 - 00:19:55] 但是极不均衡,不管是在地域上
[00:19:55 - 00:19:57] 还是在任务和人群上都存在
[00:19:57 - 00:20:00] 这种不均衡可能会放大现有的不平等
[00:20:00 - 00:20:03] 比如高收入国家和低收入国家的差距
[00:20:03 - 00:20:06] 高技能劳动者和低技能劳动者的差距
