BV号：BV1hYbJzYEqG
标题：BV1hYbJzYEqG
链接：https://www.bilibili.com/video/BV1hYbJzYEqG
识别语言：zh
语言置信度：1
分段数：347
生成时间：2026-08-30 00:21:30

[00:00:00 - 00:00:02] 大家好,我是为什么叫QQ
[00:02:36 - 00:02:39] 以便让大语言模型能够合理地解决任务
[00:02:39 - 00:02:41] 安德烈卡帕西则补充到
[00:02:41 - 00:02:44] 在所有的工业级的大模型应用中
[00:02:44 - 00:02:47] 上下文工程是一门微妙的艺术与科学
[00:02:47 - 00:02:50] 目的是在上下文窗口中填入恰到好处的信息
[00:02:50 - 00:02:52] 为下一步的推理做准备
[00:02:52 - 00:02:54] 结合两人的观点
[00:02:54 - 00:02:55] 我们可以这样理解
[00:02:55 - 00:02:58] 上下文工程是一门系统性的学科
[00:02:58 - 00:02:59] 专注于设计
[00:02:59 - 00:03:01] 构建并且维护一个动态系统
[00:03:01 - 00:03:03] 负责为A阵执行任务的每一步
[00:03:03 - 00:03:06] 智能地组装出最优的上下文组合
[00:03:06 - 00:03:08] 从而确保任务能够被可靠
[00:03:08 - 00:03:09] 高效地完成
[00:03:09 - 00:03:12] 安德烈卡帕西在他的一次演讲中
[00:03:12 - 00:03:14] 用了一个很形象的类比
[00:03:14 - 00:03:17] 如果把Agent视为一种新型的操作系统
[00:03:17 - 00:03:19] 那么模型就像是中央处理器CPU
[00:03:19 - 00:03:22] 而上下文窗口就像是内存
[00:03:22 - 00:03:25] 上下文工程则是这个操作系统中的内存管理器
[00:03:25 - 00:03:28] 它的职责不是简单的把数据塞满内存
[00:03:28 - 00:03:30] 而是通过复杂的调度算法
[00:03:30 - 00:03:33] 决定在每一个时钟周期
[00:03:33 - 00:03:34] 哪些数据应该被加在
[00:03:34 - 00:03:36] 哪些应该被换出
[00:03:36 - 00:03:38] 哪些应该被优先处理
[00:03:38 - 00:03:40] 从而保证整个系统的流畅运行
[00:03:40 - 00:03:43] 以及最终结果的准确性
[00:03:43 - 00:03:45] 从这个类比中我们可以看到
[00:03:45 - 00:03:49] 上下文工程标志着我们和大语言模型交互模式的一种升级
[00:03:49 - 00:03:53] 也就是从原来的用提示词工程来优化指导性上下文
[00:03:53 - 00:03:57] 转向为构建一个最高效的信息攻击系统
[00:03:57 - 00:03:59] 可能说到这里你可能还是会有点迷糊
[00:03:59 - 00:04:03] 上下文工程和提示词工程RAG到底有什么区别呢?
[00:04:03 - 00:04:06] 简单来说他们并不是互相排斥的关系
[00:04:06 - 00:04:09] 而是处于不同层级互相协作的关系
[00:04:09 - 00:04:14] 具体来说,提示词工程主要任务是优化单次交互的指令部分。
[00:04:14 - 00:04:17] 比如在系统提示词中定义角色,
[00:04:17 - 00:04:21] 添加少样本势力和输出模式,来引导模型的行文。
[00:04:21 - 00:04:25] 因此,它是一种更细利度的,面向具体问题的。
[00:04:25 - 00:04:27] 单轮交互的工程实践。
[00:04:27 - 00:04:31] RRAG的作用则是从外部的知识库中检索相关信息,
[00:04:31 - 00:04:35] 将它作为信息性上下文的一部分,填充到上下文窗口中,
[00:04:35 - 00:04:38] 显然,上下文工程的范畴远大于RRAG,
[00:04:38 - 00:04:40] 它不仅要负责检索什么
[00:04:40 - 00:04:43] 还需要考虑如何将得到的信息性上下文
[00:04:43 - 00:04:46] 与另外两类上下文进行动态组合
[00:04:46 - 00:04:49] 甚至在RIG失败之后考虑使用其他工具
[00:04:49 - 00:04:51] 那搞清楚了什么是上下文工程
[00:04:51 - 00:04:53] 接下来我们就要探讨
[00:04:53 - 00:04:56] 为什么我们需要这样一个新的概念呢
[00:04:56 - 00:04:58] 在没有这个概念之前
[00:04:58 - 00:05:01] 当我们发现Agent的输出不及预期的时候
[00:05:01 - 00:05:04] 问题的根源往往可以归结为两个方面
[00:05:04 - 00:05:06] 一是模型本身的能力局限
[00:05:06 - 00:05:08] 需要对模型进行优化
[00:05:08 - 00:05:12] 二是上下文信息的缺失,也就是模型没有接收到,
[00:05:12 - 00:05:15] 生成高质量回复所需要的恰当的上下文。
[00:05:15 - 00:05:20] 通常的情况下,尤其是在现在基础模型的智能水平显著提升之后,
[00:05:20 - 00:05:24] 输出不及预期的原因更多的已经指向了后者。
[00:05:24 - 00:05:27] 也就是说,我们没有实现有效的上下文工程,
[00:05:27 - 00:05:30] 导致模型缺失了一些解决问题的关键信息。
[00:05:30 - 00:05:34] 在这种情况下,模型只能进行不确定的假设,
[00:05:34 - 00:05:36] 甚至陷入不必要的幻觉。
[00:05:36 - 00:05:38] 让我们通过两个具体的例子
[00:05:38 - 00:05:41] 来更直观地理解上下文工程的必要性
[00:05:41 - 00:05:44] 第一个例子来自菲利普施密德菲利普施密的观察
[00:05:44 - 00:05:47] 想象你的AI助手收到了一封简单的邮件
[00:05:47 - 00:05:48] 嗨
[00:05:48 - 00:05:50] 明天有空聚一下吗?
[00:05:50 - 00:05:52] 一个上下文评罚的agent
[00:05:52 - 00:05:54] 他看到的只有这句请求
[00:05:54 - 00:05:55] 没有其他的上下文
[00:05:55 - 00:05:57] 他的回应可能是机械的
[00:05:57 - 00:05:58] 比如说感谢你的消息
[00:05:58 - 00:05:59] 我明天有空
[00:05:59 - 00:06:01] 请问你希望约在什么时间
[00:06:01 - 00:06:04] 这种回应其实无法真正的推进任务
[00:06:04 - 00:06:08] 因为他缺乏做出下一步决策所需要的信息性上下文
[00:06:08 - 00:06:10] 而一个上下文充足的agent
[00:06:10 - 00:06:12] 他在调用模型之前
[00:06:12 - 00:06:16] 首要任务是动态的组装一个包含多维信息的上下文
[00:06:16 - 00:06:18] 在信息性上下文方面
[00:06:18 - 00:06:21] 他会减锁你的日历,发现明天日程已满
[00:06:21 - 00:06:24] 然后识别到发现人吉姆·金姆是重要的合作伙伴
[00:06:24 - 00:06:26] 在通过分析过往邮件
[00:06:26 - 00:06:29] 确定沟通应该采用非正式的语气
[00:06:29 - 00:06:31] 在行动性上下文方面
[00:06:31 - 00:06:33] 他会提供发送日历邀请工具的描述
[00:06:33 - 00:06:35] 基于这个完整的上下文
[00:06:35 - 00:06:38] 这回他就能生成一个真正高效的回应了
[00:06:38 - 00:06:39] 比如
[00:06:39 - 00:06:41] Hi-JIM 我明天日程完全满了
[00:06:41 - 00:06:43] 周四上午有空
[00:06:43 - 00:06:44] 你看方便吗
[00:06:44 - 00:06:46] 我发了一个暂定的邀请链接
[00:06:46 - 00:06:48] 如果你时间合适 请确认一下
[00:06:48 - 00:06:51] 这里的魔力并非来自于更智能的模型
[00:06:51 - 00:06:55] 而是一个能够为特定任务动态组装合适上下文的系统
[00:06:55 - 00:06:57] 这个例子也清晰地展示了
[00:06:57 - 00:07:00] 缺乏上下文将造成显著的性能红钩
[00:07:00 - 00:07:05] 不过,是不是直接把所有可能的上下文,都提供给模型就行了呢?
[00:07:05 - 00:07:10] 我们暂且不考虑大部分模型,并没有较长的上下文容量和经济成本。
[00:07:10 - 00:07:17] 实际上,当任务变得复杂和长时间的时候,这种简单的累加策略不仅会失效,甚至会降低模型的表现。
[00:07:17 - 00:07:23] 所以,第二个例子是,假设一个agent,被赋予了一项长期任务,比如在一个大型代码库中,
[00:07:23 - 00:07:27] 用几天的时间来实现一个涉及多个文件和依赖项的新功能。
[00:07:27 - 00:07:31] 为了简单起见,我们假设采用的是线性的Agent
[00:07:31 - 00:07:34] 不考虑病情架构下的决策复杂性
[00:07:34 - 00:07:36] 一种朴素的策略是
[00:07:36 - 00:07:40] 为了保证模型无所不知,系统将每一次的交互都记录下来
[00:07:40 - 00:07:46] 包括每一条用户指令、文件读取、编译错误、成功的工具调用等等
[00:07:46 - 00:07:48] 并将这整段历史作为上下文
[00:07:48 - 00:07:51] 在每次调用Agent的时候,都完整地传递给模型
[00:07:51 - 00:07:54] 但是这必然会带来几个后果
[00:07:54 - 00:07:56] 首先,性能会侥然下降
[00:07:56 - 00:07:58] 早期任务中各种无关紧要的细节
[00:07:58 - 00:08:01] 会不断稀释当前步骤所需要的核心信息
[00:08:01 - 00:08:03] 造成上下文干扰
[00:08:03 - 00:08:04] 其次
[00:08:04 - 00:08:05] 成本与延迟激增
[00:08:05 - 00:08:07] 随着上下文限性增长
[00:08:07 - 00:08:10] 每次API调用的token数量会急剧膨胀
[00:08:10 - 00:08:13] 导致成本失控和更高的延迟
[00:08:13 - 00:08:15] 最终系统将撞上架构限制
[00:08:15 - 00:08:17] 也就是所谓的上下文一出
[00:08:17 - 00:08:21] 当累计的信息总量超过模型的上下文窗口上限后
[00:08:21 - 00:08:23] API调用将直接失败
[00:08:23 - 00:08:25] 这也许会导致任务中断
[00:08:25 - 00:08:27] 或者因为信息阶段而引发错误的结果
[00:08:28 - 00:08:29] 而上下文工程的目的
[00:08:29 - 00:08:31] 就是要解决这类问题
[00:08:31 - 00:08:32] 例如
[00:08:32 - 00:08:35] 它可以通过对上下文进行智能的管理与压缩
[00:08:35 - 00:08:38] 只将高价值的结论与信息注入上下文
[00:08:38 - 00:08:40] 从而规避上述风险
[00:08:40 - 00:08:41] 所以说
[00:08:41 - 00:08:44] 随着基础模型的能力普遍越过一个关键预知以后
[00:08:44 - 00:08:47] 上下文工程不仅成为了提升系统表现的
[00:08:47 - 00:08:49] 更高优先级的选项
[00:08:49 - 00:08:50] 在许多场景下
[00:08:50 - 00:08:52] 它甚至是唯一可行的路径
[00:08:52 - 00:08:57] 上下文的缺失固然会导致Agent系统的性能下降,幻觉频发,
[00:08:57 - 00:09:01] 但是无差别的把所有历史信息都注入上下文,
[00:09:01 - 00:09:04] 同样会引发各种上下文退化的问题。
[00:09:04 - 00:09:06] 为了应对上述的挑战,
[00:09:06 - 00:09:09] 业界已经逐步收敛出了一套系统性的应对框架。
[00:09:09 - 00:09:11] 如果我们参考蓝丝兰斯的博客,
[00:09:11 - 00:09:13] 我们可以将上下文工程分为四个部分,
[00:09:13 - 00:09:17] 分别是写入、选取、压缩和隔离。
[00:09:17 - 00:09:18] 我们逐一来看,
[00:09:18 - 00:09:19] 首先是写入Write,
[00:09:19 - 00:09:23] 他主要是将上下文持续久化超越上下文窗口的限制
[00:09:23 - 00:09:25] 在未来按需取用
[00:09:25 - 00:09:28] 通常情况下分为绘画内写入和持久化写入
[00:09:28 - 00:09:33] 绘画内写入市值agent将中间的思考、计划或者临时数据
[00:09:33 - 00:09:35] 写入一个绘画内的草稿纸
[00:09:35 - 00:09:38] 这是一种清亮级的非持久化的写入
[00:09:38 - 00:09:40] 用来管理当前任务的复杂性
[00:09:40 - 00:09:41] 持久化写入
[00:09:41 - 00:09:44] 市值系统将具有长期价值的信息
[00:09:44 - 00:09:47] 比如用户偏号的总结、关键事实等等
[00:09:47 - 00:09:48] 写入外部的记忆系统
[00:09:48 - 00:09:51] 例如相量数据库或知识图谱
[00:09:51 - 00:09:53] 从而实现跨绘画的知识积累
[00:09:53 - 00:09:57] 像chat GPT和curseR等应用就是通过这种方式
[00:09:57 - 00:10:00] 让Agent在与用户的持续交互中学习和成长
[00:10:00 - 00:10:03] 使得用户在解决某些问题的时候
[00:10:03 - 00:10:05] 无需再手动引入上下文
[00:10:05 - 00:10:07] anthropic也曾经在博客中建议
[00:10:07 - 00:10:11] 可以通过将子Agent的输出写入文件系统
[00:10:11 - 00:10:15] 来避免无意义的上下文传递和上下文窗口占用
[00:10:15 - 00:10:16] 其次是选取select
[00:10:16 - 00:10:18] 它的目的是在每次模型调用前
[00:10:19 - 00:10:20] 从所有可用的信息源中
[00:10:21 - 00:10:23] 动态的拉取与当前子任务最相关的信息
[00:10:24 - 00:10:26] 这是保证上下文性造比的关键
[00:10:26 - 00:10:29] 上下文工程中的选举包括三类
[00:10:29 - 00:10:31] 首先是确定性选举
[00:10:31 - 00:10:34] 指的是根据预设的规则来加在上下文
[00:10:34 - 00:10:35] 例如
[00:10:35 - 00:10:37] Cloud Code在启动的时候
[00:10:37 - 00:10:40] 会固定加在项目跟目录下的Cloud MD文件
[00:10:40 - 00:10:42] 这是一种简单高效的鲜艳知识注入
[00:10:43 - 00:10:44] 其次是模型驱动选取
[00:10:44 - 00:10:47] 指的是当可用的信息源过多的时候
[00:10:47 - 00:10:50] 可以利用模型自身的能力进行筛选
[00:10:50 - 00:10:52] 第三个是检索式的选取
[00:10:52 - 00:10:54] 也是最主流的方式
[00:10:54 - 00:10:56] 它的核心犯式是通过相似度检索
[00:10:56 - 00:11:00] 从记忆 槽高纸或者外部支援库中选取信息
[00:11:00 - 00:11:02] 因此 选取操作的成败
[00:11:02 - 00:11:05] 在很大程度上依赖于底层检索系统的质量
[00:11:05 - 00:11:07] 第三个部分是压缩
[00:11:07 - 00:11:10] 它的目的是在信息进入上下文窗口之前
[00:11:10 - 00:11:13] 对信息进行有损或无损的压缩
[00:11:13 - 00:11:16] 用更少的token来承载最核心的信号
[00:11:16 - 00:11:19] 这是在上下文窗口容量有限的情况下
[00:11:19 - 00:11:22] 容纳更多有效信息的直接手段
[00:11:22 - 00:11:24] 像Cloud Code等agent系统
[00:11:24 - 00:11:26] 由于需要大量的token开销
[00:11:26 - 00:11:29] 因此他们在上下文窗口接近一出的时候
[00:11:29 - 00:11:31] 通常会采取所谓的自动压缩
[00:11:31 - 00:11:35] 自动总结上下文保留它认为最重要的部分
[00:11:35 - 00:11:37] 因此自动压缩的策略及性能
[00:11:37 - 00:11:40] 对后续任务的处理影响非常大
[00:11:40 - 00:11:42] 根据实际使用情况
[00:11:42 - 00:11:45] Cloud Code 的自动压缩功能目前还不完善
[00:11:45 - 00:11:48] 所以直接用最小上下文来重启会更加稳妥
[00:11:49 - 00:11:51] 另外还有一个是修减策略
[00:11:51 - 00:11:53] 比如硬截断超过限度的历史
[00:11:53 - 00:11:57] 但是它的代价是可能会失去部分的语境
[00:11:57 - 00:11:58] 最后是格黎
[00:11:58 - 00:12:02] 相较于前三个在信息流内部进行优化的原则
[00:12:02 - 00:12:04] 格黎是一种在系统架构层面进行的
[00:12:04 - 00:12:06] 更根本的上下文管理策略
[00:12:06 - 00:12:10] 格黎的目的是在多信息流之间设置边界
[00:12:10 - 00:12:13] 由紫流城先行消化, 仅上交要点信息
[00:12:13 - 00:12:16] 所以可以视为跨流层面的一种压缩
[00:12:16 - 00:12:19] Anthropic提到过一个很有意思的观点
[00:12:19 - 00:12:21] 那就是搜索集压缩
[00:12:21 - 00:12:23] 从庞大的语料库中提取动荐
[00:12:23 - 00:12:27] 这不仅会让人想到AOIA压缩及智能的观点
[00:12:27 - 00:12:31] 在多Agent系统中, 紫Agent扮演了一种智能过滤器的角色
[00:12:31 - 00:12:35] 他们在各自的领域内隔离, 且并行工作
[00:12:35 - 00:12:36] 消化大量的原始信息
[00:12:36 - 00:12:40] 然后再将最关键的压缩后的动静提交给主agent
[00:12:40 - 00:12:43] 这种机制极大的减轻了主agent的认知负担
[00:12:44 - 00:12:46] 他无需亲自阅读每一份原始文档
[00:12:46 - 00:12:49] 只需要处理由各个专家团队提交上来的
[00:12:49 - 00:12:51] 经过预处理和提恋的摘要报告
[00:12:52 - 00:12:54] 因此上下文工程中的隔离
[00:12:54 - 00:12:57] 最经典的表现就是多agent的架构
[00:12:57 - 00:13:00] 由于主agent只接收隔离上下文中最有价值的部分
[00:13:01 - 00:13:04] 可以很大程度地避免涨上下文带来的潜在问题
[00:13:04 - 00:13:06] 比如上下文的干扰和冲突
[00:13:06 - 00:13:09] 也侧面提高了上下文中的信息密度
[00:13:09 - 00:13:12] 实际上,工具调用以及类似的杀核环境
[00:13:12 - 00:13:14] 也都体现了同等的隔离思想
[00:13:14 - 00:13:18] 这里,我们可以思考一下压缩与隔离的区别
[00:13:18 - 00:13:21] 压缩主要作用于单一信息流的内容
[00:13:21 - 00:13:23] 目的是为了提升其内在的信息密度
[00:13:23 - 00:13:26] 而隔离则作用在多条信息流上
[00:13:26 - 00:13:28] 目的在于管理系统的复杂性
[00:13:28 - 00:13:30] 同时也能起到广义的压缩作用
[00:13:30 - 00:13:33] 可以说,他们的目的殊途同归
[00:13:33 - 00:13:36] 最终都是为了提升上下文中的信息密度
[00:13:36 - 00:13:40] 所以一个成熟的系统往往会同时运用这两种策略
[00:13:40 - 00:13:42] 到这里我们已经完整解构了上下文工程
[00:13:42 - 00:13:45] 是什么,为什么,以及如何做
[00:13:45 - 00:13:48] 可以看到它并非是一个简单的概念炒作
[00:13:48 - 00:13:52] 而是AI应用开发从演示阶段走向工业及应用阶段
[00:13:52 - 00:13:55] 所自然产生的开发哲学与准则
[00:13:55 - 00:13:58] 我们的工作重心也将不可逆转的
[00:13:58 - 00:14:00] 从如何找到那句完美的提示词
[00:14:00 - 00:14:04] 转向如何设计出一个能够为模型在每一步
[00:14:04 - 00:14:06] 都动态组装出完美上下文的
[00:14:06 - 00:14:07] 建状可靠的系统
[00:14:07 - 00:14:13] 而理解并且熟练运用写入、选取、压缩、隔离这四大最佳实践
[00:14:13 - 00:14:15] 将是区分一个AI系统
[00:14:15 - 00:14:17] 究竟是一个有趣的演示
[00:14:17 - 00:14:18] 还是一个可靠的
[00:14:18 - 00:14:20] 可以规模化的运用的关键要素
[00:14:20 - 00:14:25] 最后让我们再回过头来看看模型上下文协议MCP
[00:14:25 - 00:14:26] 理解了上下文工程
[00:14:26 - 00:14:28] 也许我们就能更好的体会
[00:14:28 - 00:14:29] 这个命名的用意
[00:14:29 - 00:14:32] MCP是面向工具与数据的一个标准化接口
[00:14:32 - 00:14:35] 或者说上下文交换协议
[00:14:35 - 00:14:41] 他本质上是为行动性上下文和部分信息性上下文的标准化交互所做出的努力
[00:14:41 - 00:14:46] 让Agent能够更顺畅,更安全的与外部工具和数据员进行通信
[00:14:46 - 00:14:52] 从这个角度看,MCP可以说是实现稳健的上下文工程所需要的基础设施之一
[00:14:52 - 00:14:55] 因为他为这个复杂的系统工程提供了标准化的接口
[00:14:55 - 00:15:01] 总而言之,我们要认识到多数AIAgent的失败并不是模型能力上的失败
[00:15:01 - 00:15:10] 而是上下文功成的失败,归根结底,无论是精巧的提示词,还是RAG,亦或是MCP,他们都指向的是同一个目标。
[00:15:10 - 00:15:14] 那就是在模型做出决策之前,为他准备好一份恰到好处的上下文。
[00:15:14 - 00:15:19] 好了,希望今天的视频能够帮助大家更好的理解上下文功成这个概念。
[00:15:19 - 00:15:21] 感谢收看,我们下期再见。
