BV号：BV1N7Nu6nEfF
标题：BV1N7Nu6nEfF
链接：https://www.bilibili.com/video/BV1N7Nu6nEfF
识别语言：zh
语言置信度：1
分段数：218
生成时间：2026-08-29 18:36:11

[00:00:00 - 00:00:02] 大家好 我是为什么叫QQ
[00:00:02 - 00:00:03] 大家有没有发现一个现象
[00:02:45 - 00:02:47] 和真实Track中的工作单元
[00:02:47 - 00:02:50] Spec包含问题成数解决方案
[00:02:50 - 00:02:51] 用户故事实现
[00:02:51 - 00:02:54] 决策测试决策和范围边界
[00:02:54 - 00:02:55] 然后是垂直切片
[00:02:55 - 00:02:58] 水平切片按数据库接口UI分工
[00:02:58 - 00:03:00] 垂直切片让每个ticket
[00:03:00 - 00:03:02] 贯穿本次功能涉及的相关层
[00:03:02 - 00:03:05] 形成可以独立验证的最小功能
[00:03:05 - 00:03:08] 比如先完成邮箱密码注册并返回成功状态
[00:03:08 - 00:03:10] 而不是先把所有数据库表见完
[00:03:10 - 00:03:14] 2.Ticket强制AI为每个ticket声明组色边缘
[00:03:14 - 00:03:16] 如果Tracker支持原生依赖关系
[00:03:16 - 00:03:18] 就卸成原生组色链接
[00:03:18 - 00:03:20] 否则以文本记录
[00:03:20 - 00:03:21] 只要前置任务完成
[00:03:21 - 00:03:23] Tiket就进入前线
[00:03:23 - 00:03:25] 你可以同时拉起多个AI代理
[00:03:25 - 00:03:27] 并行完成互补组色的任务
[00:03:27 - 00:03:29] 拿到Tiket进入implement的阶段
[00:03:29 - 00:03:33] 它通过TDD和持续验证约束代码质量
[00:03:33 - 00:03:36] 在预先确认的SIM上每轮写一个失败测试
[00:03:36 - 00:03:37] 再做一个最小实现
[00:03:37 - 00:03:40] 过程中定期运行TypeCheck和相关测试
[00:03:40 - 00:03:42] 最后再跑完整测试集
[00:03:42 - 00:03:45] V1.1把鞋杠TDD定义为RedGrid循环
[00:03:45 - 00:03:47] refactor不再属于这个循环
[00:03:47 - 00:03:50] 而是在CodeReview阶段被识别为重构建议
[00:03:50 - 00:03:54] MAT的目的是减少实现阶段同时承担的关注点
[00:03:54 - 00:03:57] 立即重构容易改坏刚跑通的逻辑
[00:03:57 - 00:04:00] 代码审查会启动两个并行字代理
[00:04:00 - 00:04:02] Spark手检查是否中时实现需求
[00:04:02 - 00:04:05] Standard's Joe检查项目规范和代码意味
[00:04:05 - 00:04:07] 两条审查线彼此独立
[00:04:07 - 00:04:10] 避免一个维度掩盖另一个维度的问题
[00:04:10 - 00:04:13] Standard's Joe注入了Martin Fowler的代码意味
[00:04:13 - 00:04:14] 比如重复代码
[00:04:14 - 00:04:17] 特性极度数据泥团和投机式通用性
[00:04:17 - 00:04:19] 完整清单会在屏幕上展示
[00:04:19 - 00:04:23] 大模型训练数据里已经深深烙印了这些工程概念
[00:04:23 - 00:04:27] 你只需在提示词里加实行引导就能唤醒它的记忆
[00:04:27 - 00:04:30] 代码意味是起发式判断不是硬性违规
[00:04:30 - 00:04:33] 你项目的编码规范优先级更高
[00:04:33 - 00:04:36] 所以CodeView是识别并提出重构建议
[00:04:36 - 00:04:39] 之后再有你决定是否实施
[00:04:39 - 00:04:41] 如果项目巨大且充满未知
[00:04:41 - 00:04:44] 单个AI绘画可能超出有效推理区间
[00:04:44 - 00:04:46] 甚至触及上下文上线
[00:04:46 - 00:04:47] 这是用WiFinder
[00:04:47 - 00:04:49] WiFinder是面对大而模糊
[00:04:49 - 00:04:52] 单位化妆不下的项目时的上游入口
[00:04:52 - 00:04:55] 它引入游戏里的战争迷雾概念
[00:04:55 - 00:04:57] 不要试图一次性看清全貌
[00:04:57 - 00:04:59] 指规化试剧范围内的事情
[00:04:59 - 00:05:00] 那些明确
[00:05:00 - 00:05:02] 倒可用一个agent session解决的问题
[00:05:02 - 00:05:06] WiFinder在项目配置的 issue tracker上建立共享地图
[00:05:06 - 00:05:08] 支持github,githlab,本地markdown
[00:05:08 - 00:05:10] 也可配置linearjira
[00:05:10 - 00:05:12] 未配置时默认本地markdown
[00:05:12 - 00:05:15] 这个地图只规划可见的Ticket
[00:05:15 - 00:05:18] 在这些之外是尚未明确的迷雾区
[00:05:18 - 00:05:20] 你不去硬切迷雾只粗略计较
[00:05:20 - 00:05:22] 随着解决眼前Ticket
[00:05:22 - 00:05:24] 前方迷雾散去新Ticket的生成
[00:05:24 - 00:05:27] 迷雾清除后Wayfiner介入ToSpack
[00:05:27 - 00:05:29] 项目较小时也可直接接implement
[00:05:29 - 00:05:32] Wayfiner中每个Ticket都有类型标签
[00:05:32 - 00:05:33] Research
[00:05:33 - 00:05:35] 后台Agent的研究并生成总结
[00:05:35 - 00:05:36] Prototype
[00:05:36 - 00:05:39] 创建廉价工件 提高讨论保真度
[00:05:39 - 00:05:40] Grilling
[00:05:40 - 00:05:42] 与人类对话诸个问题深化理解
[00:05:42 - 00:05:46] Task 如开通服务迁移数据配置权限
[00:05:46 - 00:05:48] vfender默认指规划不实施最终项目
[00:05:48 - 00:05:51] 地图的目标是逐步解决决策
[00:05:51 - 00:05:52] Task是唯一的例外
[00:05:52 - 00:05:56] 它执行必要操作来解除后续决策的组色
[00:05:56 - 00:05:58] 最终产出的是通往目的地的路线
[00:05:58 - 00:06:00] 而不是最终交服务
[00:06:00 - 00:06:03] Prototype 使用来回答设计问题的可丢期代码
[00:06:03 - 00:06:07] 逻辑原型测试行为UI原型可嵌入真实应用页面
[00:06:07 - 00:06:09] 使用真实指读数据
[00:06:09 - 00:06:12] 需要写操作时通常使用STUB
[00:06:12 - 00:06:14] 一旦确认方案,提取关键决策
[00:06:14 - 00:06:17] 把原型代码删除或吸收验证过的决策
[00:06:17 - 00:06:19] 逻辑原型中的Reducer
[00:06:19 - 00:06:22] 状态机或纯逻辑模块可能被提取
[00:06:22 - 00:06:24] UI获胜方案应按生产标准重写
[00:06:24 - 00:06:26] 首次在一个仓库中使用时
[00:06:26 - 00:06:30] 先运行一次setup matpokak skills
[00:06:30 - 00:06:33] 已有代码库的功能从grillwithdocs开始
[00:06:33 - 00:06:35] 没有代码库的独立规划使用grillme
[00:06:35 - 00:06:39] 小功能在达成共识后可直接进入implement
[00:06:39 - 00:06:42] 多绘画构建则先用2Spec生成规范
[00:06:42 - 00:06:44] 再用2Tickets分解任务
[00:06:44 - 00:06:47] 每个Ticket在新的Implement绘画中执行
[00:06:47 - 00:06:50] 通过斜杠TDD完成RedGreen循环
[00:06:50 - 00:06:52] 并在提交前运行斜杠CodeReview
[00:06:52 - 00:06:55] 如果项目巨大且充满未知
[00:06:55 - 00:06:57] 就先用斜杠WayFiner清除迷雾
[00:06:57 - 00:06:59] 再接入2Spec或Implement
[00:06:59 - 00:07:00] 在这个仓库里
[00:07:00 - 00:07:04] 有个叫Improve CodeBase Architecture的技能
[00:07:04 - 00:07:06] Matte说 如果你的代码库很糟糕
[00:07:06 - 00:07:09] AI也只会在其中产出糟糕的代码
[00:07:09 - 00:07:11] 当代码库到处都是紧偶和
[00:07:11 - 00:07:12] 职责不清的模块时
[00:07:12 - 00:07:15] AI根本不知道该在哪里写测试
[00:07:15 - 00:07:16] 怎么修改逻辑
[00:07:16 - 00:07:19] 只有把潜层模块重构成深层模块
[00:07:19 - 00:07:20] 画定清晰边界
[00:07:20 - 00:07:22] AI才能优雅穿梭
[00:07:22 - 00:07:23] 很多人恐慌
[00:07:23 - 00:07:25] AI时代程序员要失业了
[00:07:25 - 00:07:26] 软件工程死了
[00:07:26 - 00:07:28] MAT的实践给了最好的回答
[00:07:28 - 00:07:29] 不
[00:07:29 - 00:07:30] 软件工程没有死
[00:07:30 - 00:07:32] 比以往任何时候都更重要
[00:07:32 - 00:07:35] AI降低的是生成代码的成本
[00:07:35 - 00:07:36] 不是软件工程的价值
[00:07:36 - 00:07:40] 模块边界领域语言测试反馈和问题定义
[00:07:40 - 00:07:42] 反而决定了Agent能否稳定工作
[00:07:42 - 00:07:44] 未来更有价值的工程师
[00:07:44 - 00:07:46] 不一定是写代码最快的人
[00:07:46 - 00:07:49] 而是最会定义问题和设计系统边界的人
[00:07:49 - 00:07:52] 把AI当做没有记忆但不知疲倦的打工人
[00:07:52 - 00:07:54] 用严密流程引导他们
[00:07:54 - 00:07:55] 用清晰架构包容他们
[00:07:55 - 00:07:58] 这才是AI时代编程的终极奥意
[00:07:58 - 00:08:00] 如果仍把AI编程理解为
[00:08:00 - 00:08:02] 寻找一次性的神Prompt
[00:08:02 - 00:08:05] 那可能只用到了它最浅的一层
[00:08:05 - 00:08:09] 真正的未来属于懂得通过严格流程序服AI的工程师
[00:08:09 - 00:08:11] 到这里就是全部内容了
[00:08:11 - 00:08:12] 感谢大家的观看
[00:08:12 - 00:08:13] 我是为什么叫QQ
[00:08:13 - 00:08:15] 如果你觉得这期视频对你有启发
[00:08:15 - 00:08:18] 请务必点赞投币转发评论
[00:08:18 - 00:08:19] 也欢迎在评论区聊聊
[00:08:19 - 00:08:22] 你在用AI编程时采过哪些坑
[00:08:22 - 00:08:24] 你是否已经在尝试这套工作流
[00:08:24 - 00:08:25] 我们下期再见
