BV号：BV1R3MV6DESP
标题：BV1R3MV6DESP
链接：https://www.bilibili.com/video/BV1R3MV6DESP
识别语言：zh
语言置信度：1
分段数：416
生成时间：2026-08-29 10:41:05

[00:00:00 - 00:00:02] 大家好 我是为什么叫QQ
[00:00:02 - 00:00:07] 你有没有想过为什么有些工程师能快速把模糊的想法变成清晰的设计
[00:05:07 - 00:05:10] Brainstorming包含了一个叫Visual Companion的工具
[00:05:10 - 00:05:12] 这是一个浏览器界面
[00:05:12 - 00:05:14] 可以显示原型图表设计选项的对比
[00:05:14 - 00:05:16] 关键是它不是强制使用的
[00:05:16 - 00:05:19] 框架会根据问题的性质判断
[00:05:19 - 00:05:21] 如果某个问题确实更适合视觉化
[00:05:21 - 00:05:24] 并且用户同意启用Visual Companion
[00:05:24 - 00:05:25] 才会打开浏览器
[00:05:25 - 00:05:29] 之后每个问题仍然单独判断是否需要可视化
[00:05:29 - 00:05:31] 比如当讨论UI布局时
[00:05:31 - 00:05:33] Visual Companion会显示几个不同的布局选项
[00:05:33 - 00:05:35] 你可以点击选择
[00:05:35 - 00:05:37] 当讨论系统架构时
[00:05:37 - 00:05:39] 它可以显示一个交互式的架构图
[00:05:39 - 00:05:41] 这种按需可视化的方式很聪明
[00:05:41 - 00:05:43] 避免了过渡设计
[00:05:43 - 00:05:45] 而且它不是一个通用的可视化工具
[00:05:45 - 00:05:47] 而是在Brainstorming的9步
[00:05:47 - 00:05:49] 流程中的第二步就已经内置了
[00:05:49 - 00:05:51] OpenSpec.Explore
[00:05:51 - 00:05:53] 可视化方式听起来很原始
[00:05:53 - 00:05:54] 但实际上很有效
[00:05:54 - 00:05:55] 一个简单的Ascii图表
[00:05:55 - 00:05:57] 可以快速表达系统的结构
[00:05:57 - 00:05:59] 数据流状态转换
[00:05:59 - 00:06:01] 对工程师来说
[00:06:01 - 00:06:03] 这种极简的可视化很有实用性
[00:06:03 - 00:06:05] 公开文档只提到draw diagrams
[00:06:05 - 00:06:06] 没有指定Ascii
[00:06:06 - 00:06:08] 不用打开画图软件
[00:06:08 - 00:06:09] 不用拖拽对齐
[00:06:09 - 00:06:12] 纯文本画完直接贴近代码注释或者文档里
[00:06:12 - 00:06:13] 干净利落
[00:06:13 - 00:06:15] 第三个关键点
[00:06:15 - 00:06:16] 输出和追踪机制
[00:06:16 - 00:06:18] 最后看输出和追踪
[00:06:18 - 00:06:21] 这决定了你的规划工作是否能被长期维护
[00:06:21 - 00:06:23] grilling的输出就是一个共同理解
[00:06:23 - 00:06:26] 你和AI讨论完了 你明白了
[00:06:26 - 00:06:27] AI也明白了
[00:06:27 - 00:06:28] 然后就结束了
[00:06:28 - 00:06:29] 没有文档没有记录
[00:06:29 - 00:06:31] 只有你脑子里的理解
[00:06:31 - 00:06:33] 这对于快速决策很好
[00:06:33 - 00:06:35] 但对于需要长期维护的项目就成了问题
[00:06:35 - 00:06:38] 6个月后你还记得为什么要这样设计吗
[00:06:38 - 00:06:40] 你的团队新成员怎么理解这个设计
[00:06:40 - 00:06:41] 如果需要改动
[00:06:41 - 00:06:43] 你怎么知道会影响哪些部分
[00:06:43 - 00:06:46] brainstorming强制生成一个设计文档
[00:06:46 - 00:06:48] 保存到指定的目录并提交到git
[00:06:48 - 00:06:50] 这个文档会经过自审查
[00:06:50 - 00:06:52] 检查是否有占位服
[00:06:52 - 00:06:53] 矛盾起义
[00:06:53 - 00:06:55] 然后用户还要再审查一遍
[00:06:55 - 00:06:57] 我知道听到写文档和双重审查
[00:06:57 - 00:06:59] 很多人的第一反应是太重了
[00:06:59 - 00:07:01] 但你仔细想想
[00:07:01 - 00:07:04] 当你试着把脑子里的想法变成文字时
[00:07:04 - 00:07:05] 是不是经常掐磕
[00:07:05 - 00:07:07] 那是因为你根本没想清楚
[00:07:07 - 00:07:10] 这份文档不仅是写给未来的接盘侠看的
[00:07:10 - 00:07:12] 它更是你现在用来约束AI
[00:07:12 - 00:07:14] 在防止它乱写代码的警固咒
[00:07:14 - 00:07:16] 这种高度的灵活性听起来很爽
[00:07:16 - 00:07:18] 但说实话非常考验你的自律
[00:07:18 - 00:07:19] 没人逼着你输出
[00:07:19 - 00:07:21] 你很容易聊着聊着就跑偏了
[00:07:21 - 00:07:23] 如果你在Explorer的过程中
[00:07:23 - 00:07:25] 明确要求捕捉为弓箭
[00:07:25 - 00:07:27] 系统会帮你组织信息
[00:07:27 - 00:07:29] 比如一个提案会包含问题陈述
[00:07:29 - 00:07:32] 建议的解决方案全衡分析
[00:07:32 - 00:07:35] 一个设计会包含价购组建数据流
[00:07:35 - 00:07:38] 一个规范会包含需求约束成功标准
[00:07:38 - 00:07:39] 但这些都是可选的
[00:07:39 - 00:07:41] 不是Explorer的默认流程
[00:07:41 - 00:07:44] 很多人会觉得Brainstorming的久不流程太重了
[00:07:44 - 00:07:46] Grilling的清亮级方法更高效
[00:07:46 - 00:07:49] 但实际上这取决于你的项目规模和团队成熟度
[00:07:49 - 00:07:52] 对于初创团队或个人项目Grilling确实更高效
[00:07:53 - 00:07:54] 快速发现问题快速迭代
[00:07:54 - 00:07:58] 你一个人做决策不需要文档不需要审查就是快
[00:07:58 - 00:08:00] 但对于中等规模以上的项目
[00:08:00 - 00:08:02] 特别是有多个人参与的项目
[00:08:03 - 00:08:05] Brainstorming的严格流程反而能节省时间
[00:08:05 - 00:08:06] 为什么
[00:08:06 - 00:08:09] 因为它强制你在早期就达成共识
[00:08:09 - 00:08:10] 避免了后期的反攻
[00:08:10 - 00:08:11] 想像一个场景
[00:08:11 - 00:08:14] 你的团队有五个人要开发一个新的功能
[00:08:14 - 00:08:17] 如果用grilling可能每个人都有自己的理解
[00:08:17 - 00:08:20] 开发到一半时才发现理解不一致需要反攻
[00:08:20 - 00:08:22] 如果用brain storming
[00:08:22 - 00:08:24] 虽然前期花了更多时间讨论和文道
[00:08:24 - 00:08:28] 但实现时大家都在同一条线上反而节省了总时间
[00:08:28 - 00:08:29] 而explore呢
[00:08:29 - 00:08:32] 它最适合那些需要深度思考的场景
[00:08:32 - 00:08:34] 当你面对一个真正复杂的问题
[00:08:34 - 00:08:36] 不确定从哪里开始时
[00:08:36 - 00:08:39] explore的灵活性就变成了优势
[00:08:39 - 00:08:41] 它不会强制你走某个流程
[00:08:41 - 00:08:43] 而是陪伴你逐步理清思路
[00:08:43 - 00:08:45] 现在我要提出一个我的思维方法
[00:08:45 - 00:08:49] 我把这三个框架看作是规划阶段的三个不同维度
[00:08:49 - 00:08:50] 第一个维度是规范性
[00:08:50 - 00:08:54] Brainstorming最规范有强制的步骤和输出
[00:08:54 - 00:08:56] Greeling辞职有基本的对话结构
[00:08:56 - 00:08:58] Explorer最灵活没有固定的步骤
[00:08:58 - 00:09:00] 第二个维度是输出确定性
[00:09:00 - 00:09:03] Brainstorming有强制的文档输出
[00:09:03 - 00:09:05] 确保你一定会有一个设计文档
[00:09:05 - 00:09:08] Greeling有隐性的理解输出你明白了就行
[00:09:08 - 00:09:10] Explorer默认不生成弓箭
[00:09:10 - 00:09:12] 但在你OpenSpack里用户名缺要求时
[00:09:12 - 00:09:15] 可以捕捉为OpenSpack Artifacts
[00:09:15 - 00:09:16] 第三个维度是学习成本
[00:09:16 - 00:09:19] Grilling最容易上手就是对话没有学习成本
[00:09:19 - 00:09:21] Explorer需要一些经验
[00:09:21 - 00:09:23] 主要是判断什么时候继续探索
[00:09:23 - 00:09:24] 什么时候转入Propos
[00:09:24 - 00:09:26] 或者在OpenSpack里
[00:09:26 - 00:09:28] 什么时候名缺要求捕捉为弓箭
[00:09:28 - 00:09:30] Brainstorming的学习曲线最陡峭
[00:09:30 - 00:09:31] 九个步骤
[00:09:31 - 00:09:33] 每个步骤都有具体的要求
[00:09:33 - 00:09:36] 如果你把这三个维度化成一个坐标系
[00:09:36 - 00:09:38] 你会发现他们占据了不同的位置
[00:09:38 - 00:09:40] 没有哪一个是绝对最优的
[00:09:40 - 00:09:42] 最优的选择取决于你的具体场景
[00:09:42 - 00:09:44] 但这里有个更深层的洞察
[00:09:44 - 00:09:47] 这三个框架代表了三种不同的哲学
[00:09:47 - 00:09:49] Greeling是质量保证哲学
[00:09:49 - 00:09:53] 它的核心是通过对抗式的提问来发现问题
[00:09:53 - 00:09:56] 就像一个严格的代码审查目标是找出漏洞
[00:09:56 - 00:09:59] 这个哲学假设如果你能回答所有的问题
[00:09:59 - 00:10:01] 那你的计划就是可靠的
[00:10:01 - 00:10:03] Brainstorming是过程管理哲学
[00:10:03 - 00:10:07] 它的核心是通过结构化的流程来确保完整性
[00:10:07 - 00:10:09] 就像一个严格的质量管理体系
[00:10:09 - 00:10:10] 每一步都有检查点
[00:10:10 - 00:10:12] 这个哲学假设
[00:10:12 - 00:10:14] 如果你遵循正确的流程
[00:10:14 - 00:10:15] 就能得到正确的结果
[00:10:15 - 00:10:17] Explorer是认知支持哲学
[00:10:17 - 00:10:21] 它的核心是通过灵活的工具来支持思考
[00:10:21 - 00:10:24] 就像一个思维伙伴帮你整理思路
[00:10:24 - 00:10:25] 这个哲学假设
[00:10:25 - 00:10:27] 思考过程本身就是价值
[00:10:27 - 00:10:29] 不一定非要有最终的输出
[00:10:29 - 00:10:31] 但在现在这个AI满天飞的时代
[00:10:31 - 00:10:33] 光靠一种套路是不够的
[00:10:33 - 00:10:36] 我们需要像面试官一样揪出漏洞
[00:10:36 - 00:10:38] 需要像项目经理一样把控流程
[00:10:38 - 00:10:40] 也需要像老搭档一样碰撞灵感
[00:10:40 - 00:10:43] 如果我们要设计一个新的规划工具应该怎么做
[00:10:43 - 00:10:45] 我认为应该有以下几个特点
[00:10:45 - 00:10:47] 它得能接得住各种烂摊子
[00:10:47 - 00:10:49] 有些人有模糊的想法
[00:10:49 - 00:10:51] 有些人有初步的计划
[00:10:51 - 00:10:53] 有些人遇到了具体的问题
[00:10:53 - 00:10:55] 不同的入口应该导向不同的流程
[00:10:55 - 00:10:57] 比如如果你扔过来一句
[00:10:57 - 00:10:58] 我想建个AI助手
[00:10:58 - 00:11:00] 系统得知到这只是个脑洞
[00:11:00 - 00:11:03] 然后切到Explorer模式,陪你慢慢盘逻辑
[00:11:03 - 00:11:06] 如果你说,我想在现有的系统里加一个新的功能
[00:11:06 - 00:11:09] 系统应该识别这是一个初步的计划
[00:11:09 - 00:11:11] 然后进入Grilling模式,快速发现问题
[00:11:11 - 00:11:15] 如果你说我遇到了一个架构问题,不知道怎么解决
[00:11:15 - 00:11:17] 系统应该识别这是一个具体的问题
[00:11:17 - 00:11:21] 然后进入Brainstorming模式,帮你系统的分析问题
[00:11:21 - 00:11:23] 它得知道什么时候该伸挖,什么时候该打住
[00:11:23 - 00:11:27] 第一层是快速澄清5-10分钟内,发现主要问题
[00:11:27 - 00:11:31] 第二层是深度探索15-30分钟的详细讨论
[00:11:31 - 00:11:33] 第三层是设计文档可选的
[00:11:33 - 00:11:35] 用户可以根据需要选择层级
[00:11:35 - 00:11:38] 如果你只是想快速验证一个想法
[00:11:38 - 00:11:39] 就停在第一层
[00:11:39 - 00:11:41] 如果你需要一个完整的设计
[00:11:41 - 00:11:42] 就继续到第三层
[00:11:42 - 00:11:44] 它得懂什么时候该画图
[00:11:44 - 00:11:46] 不是所有问题都需要图表
[00:11:46 - 00:11:47] 但关键问题应该有
[00:11:47 - 00:11:50] 系统应该自动判断什么时候需要
[00:11:50 - 00:11:50] 可视化
[00:11:50 - 00:11:53] 比如当讨论系统架构时
[00:11:53 - 00:11:54] 自动生成SK图表
[00:11:54 - 00:11:56] 当讨论UI布局时
[00:11:56 - 00:11:57] 自动生成原型
[00:11:57 - 00:12:00] 当讨论权衡时,自动生成对比表格
[00:12:00 - 00:12:05] 它得自带防呆机制,检查完整性,一致性,奇异性
[00:12:05 - 00:12:07] 这样可以减少人工审查的负担
[00:12:07 - 00:12:10] 比如自动检查是否有未定义的数据
[00:12:10 - 00:12:13] 是否有矛盾的需求,是否有模糊的表述
[00:12:13 - 00:12:16] 它得能输出大家都能看懂的东西
[00:12:16 - 00:12:19] 有些人需要文档,有些人需要OpenSpec工件
[00:12:19 - 00:12:21] 有些人只需要一个理解总结
[00:12:21 - 00:12:24] 系统应该能够生成不同格式的输出
[00:12:24 - 00:12:25] 适应不同的使用场景
[00:12:25 - 00:12:27] 最重要的是它得能自我进化
[00:12:27 - 00:12:29] 记录哪些问题最有效
[00:12:29 - 00:12:32] 哪些提问方式最能引发深思
[00:12:32 - 00:12:33] 随着时间的推移
[00:12:33 - 00:12:35] 系统应该变得越来越聪明
[00:12:35 - 00:12:37] 比如如果发现对于API设计的问题
[00:12:37 - 00:12:40] 问这个API会被哪些不同的客户端使用
[00:12:40 - 00:12:43] 特别有效系统就应该在类似的场景下
[00:12:43 - 00:12:45] 优先使用这个问题
[00:12:45 - 00:12:46] 在我的实践中
[00:12:46 - 00:12:50] 我发现最有效的方法是混合使用这三个框架
[00:12:50 - 00:12:52] 对于新项目通常先用Explore
[00:12:52 - 00:12:54] 花15-20分钟
[00:12:54 - 00:12:56] 和AI一起思考这个项目的本质是什么
[00:12:56 - 00:12:57] 核心问题是什么
[00:12:57 - 00:13:00] 有哪些关键的设计决策
[00:13:00 - 00:13:01] 这个过程中我会生成一些
[00:13:01 - 00:13:03] ASCII图表和初步的想法
[00:13:03 - 00:13:06] 然后我用grilling来快速验证这些想法
[00:13:06 - 00:13:07] 问一些尖锐的问题
[00:13:07 - 00:13:08] 看看有没有明显的漏洞
[00:13:08 - 00:13:11] 这个过程通常很快5-10分钟
[00:13:11 - 00:13:13] 最后如果这是一个重要的项目
[00:13:13 - 00:13:14] 我会用brain storming来
[00:13:14 - 00:13:17] 生成一个完整的设计文道
[00:13:17 - 00:13:19] 这却保了设计的完整性和可吹踪性
[00:13:19 - 00:13:21] 这个混合方法的好处是
[00:13:21 - 00:13:23] 快速深入完整
[00:13:23 - 00:13:25] 另一个经验是不要过度设计
[00:13:25 - 00:13:27] 很多工程师的问题不是设计不足
[00:13:27 - 00:13:29] 而是设计过度
[00:13:29 - 00:13:31] 他们试图在规划阶段就解决所有的问题
[00:13:31 - 00:13:34] 结果导致规划阶段无限延长
[00:13:34 - 00:13:37] 我的建议是规划阶段的目标是
[00:13:37 - 00:13:40] 发现关键的问题和做出关键的决策
[00:13:40 - 00:13:43] 不是所有的细节都需要在规划阶段确定
[00:13:43 - 00:13:45] 有些细节可以在实现阶段决定
[00:13:45 - 00:13:47] 最后一个经验是要重视文档
[00:13:47 - 00:13:50] 即使你用的是Greling这样的轻量级方法
[00:13:50 - 00:13:52] 也应该花5分钟写下关键的决策和理由
[00:13:52 - 00:13:54] 这个文档不需要很长
[00:13:54 - 00:13:55] 但应该清晰
[00:13:55 - 00:13:57] 我写了这么多年代码
[00:13:57 - 00:13:59] 这几个框架让我明白了一件事
[00:13:59 - 00:14:01] 规划框架的本质是什么
[00:14:01 - 00:14:03] 是帮助我们在复杂性爆炸之前
[00:14:03 - 00:14:05] 仅可能的理解问题
[00:14:05 - 00:14:07] 在AI时代这变得更加重要
[00:14:07 - 00:14:09] 因为AI工具可以快速生成代码
[00:14:09 - 00:14:11] 但它们不能为我们思考
[00:14:11 - 00:14:14] 如果我们的需求本身就是模糊的
[00:14:14 - 00:14:16] AI生成的代码再完美也没用
[00:14:16 - 00:14:18] 所以规划阶段的价值在于
[00:14:18 - 00:14:20] 却把我们问的是正确的问题
[00:14:20 - 00:14:22] 而不是快速得到错误的答案
[00:14:22 - 00:14:23] 别在盲目操作业了
[00:14:23 - 00:14:26] 找准你现在的痛点才是正经是
[00:14:26 - 00:14:28] grilling适合快速验证
[00:14:28 - 00:14:30] 特别是当你已经有一个初步想法时
[00:14:30 - 00:14:32] Brainstorming适合系统化管理
[00:14:32 - 00:14:35] 特别是当你有一个团队要协作时
[00:14:35 - 00:14:37] explore适合深度思考
[00:14:37 - 00:14:39] 特别是当你面对一个复杂问题时
[00:14:39 - 00:14:41] 如果你非要我给个建议
[00:14:41 - 00:14:44] 一个人折腾的小玩具用grilling
[00:14:44 - 00:14:46] 面对一团乱麻的救系统用explore
[00:14:46 - 00:14:49] 如果是要上线的核心业务
[00:14:49 - 00:14:51] 老老实实走Brainstorming的流程
[00:14:51 - 00:14:54] 但最好的做法是把这三个框架的优点结合起来
[00:14:54 - 00:14:57] 为你的团队设计一个定制化的规划流程
[00:14:57 - 00:14:59] 好了,这就是今天的全部内容
[00:14:59 - 00:15:02] 如果你觉得有收获,欢迎点赞投币收藏
[00:15:02 - 00:15:05] 也欢迎在评论区分享你用过的规划工具
[00:15:05 - 00:15:08] 你觉得哪个框架最有用?为什么?
[00:15:08 - 00:15:11] 把你的看法打在公屏上,也别忘了长按点赞
[00:15:11 - 00:15:12] 我们下期见
