BV号：BV1ctMt6TEKk
标题：BV1ctMt6TEKk
链接：https://www.bilibili.com/video/BV1ctMt6TEKk
识别语言：zh
语言置信度：1
分段数：266
生成时间：2026-08-29 10:37:04

[00:00:00 - 00:00:02] 大家好 我是为什么叫QQ
[00:00:02 - 00:00:05] 想象一下 你的大脑就像一片大海
[00:00:05 - 00:00:07] 海面上是你的意识思想
[00:02:03 - 00:02:06] 小脑和运动系统帮助你保持姿势
[00:02:06 - 00:02:08] 但你根本意识不到这些
[00:02:08 - 00:02:10] 只有当某些信息进入了一个背
[00:02:10 - 00:02:13] 称为工作空间的共享频道时
[00:02:13 - 00:02:15] 它才变成了有意识可及的
[00:02:15 - 00:02:17] 根据全局工作空间理论
[00:02:17 - 00:02:19] 大脑会选择一小部分重要
[00:02:19 - 00:02:21] 信息进入这个心理工作空间
[00:02:21 - 00:02:24] 然后这些信息被广播给大脑的其他部分
[00:02:24 - 00:02:25] 用于推理和决策
[00:02:25 - 00:02:28] Anthropic的研究人员突发奇想
[00:02:28 - 00:02:31] 现代语言模型比如Cloud会不会在训练过程中
[00:02:31 - 00:02:34] 也自己长出了这样一个全局工作空间
[00:02:34 - 00:02:36] 毕竟它也需要处理海量的信息
[00:02:36 - 00:02:38] 也需要做逻辑推演
[00:02:38 - 00:02:40] 结果是他们不仅找到了
[00:02:40 - 00:02:42] 还给它起了个积极极客的名字
[00:02:42 - 00:02:43] 叫JSpace
[00:02:43 - 00:02:47] 这个发现不仅证实了AI模型的复杂性远超我们的想象
[00:02:47 - 00:02:52] 也为神经科学和人工智能的交叉研究打开了一扇新的大门
[00:02:52 - 00:02:55] 这篇论文的信息量极大,为了让大家彻底高动
[00:02:55 - 00:02:57] 我们分三个关键点来注册拆解
[00:02:57 - 00:02:59] 要理解JSpace
[00:02:59 - 00:03:01] 我们首先得知道它是怎么被发现的
[00:03:01 - 00:03:04] 这得归功于一种叫Jecobian Lens
[00:03:04 - 00:03:06] JLens的新技术
[00:03:06 - 00:03:09] 搞过模型底层的同学可能听说过Legit Lens
[00:03:09 - 00:03:12] 那是用来看看模型在某一层想说出什么词
[00:03:12 - 00:03:13] 但JLens更高级
[00:03:13 - 00:03:15] 它不是看模型现在要说什么
[00:03:15 - 00:03:18] 而是看模型,准备说但还没说的词
[00:03:18 - 00:03:21] 具体来说,对于词标里的每一个词
[00:03:21 - 00:03:24] JS会去寻找那种能让模型在未来
[00:03:24 - 00:03:27] 更有可能说出这个词的内部活动模式
[00:03:27 - 00:03:29] 它计算的是残差流,Residual Stream
[00:03:29 - 00:03:32] 对模型未来输出的平均一阶因果效应
[00:03:32 - 00:03:34] 也就是这叩变矩阵
[00:03:34 - 00:03:38] 关键在于它会在大量不同的上下文中取平均值
[00:03:38 - 00:03:41] 这就剥离了模型在特定语境下的偶然反应
[00:03:41 - 00:03:44] 提取出了模型真正准备说的概念
[00:03:44 - 00:03:47] 论文的数据显示在一系列实验里
[00:03:47 - 00:03:50] JLens能稳定读出许多原本不可见的中间表征
[00:03:50 - 00:03:53] 论文把深度重标到0到100
[00:03:53 - 00:03:55] 浅约1¾更像Sensory区
[00:03:55 - 00:03:59] 中间约L38到L92是Workspace
[00:03:59 - 00:04:02] 最后几层更接近直接驱动输出的Motor表征
[00:04:02 - 00:04:04] 找到了Jespace之第一步
[00:04:04 - 00:04:07] 研究人员开始疯狂测试它到底能干什么
[00:04:07 - 00:04:09] 结果发现了五个让人印象深刻的特性
[00:04:09 - 00:04:11] 第一 可报告性
[00:04:11 - 00:04:13] 你问Cloud脑子里在想什么
[00:04:13 - 00:04:15] 他能准确说出JSPACE里的内容
[00:04:15 - 00:04:17] 研究人员做过一个实验
[00:04:17 - 00:04:19] 让Cloud默默想一项运动
[00:04:19 - 00:04:21] Jalence读出他在想足球
[00:04:21 - 00:04:23] 然后研究人员直接修改了他的神经网络
[00:04:23 - 00:04:26] 把足球替换成了橄榄球
[00:04:26 - 00:04:26] 你猜怎么着
[00:04:26 - 00:04:28] Cloud回答说
[00:04:28 - 00:04:29] 我在想橄榄球
[00:04:29 - 00:04:32] 这证明JSPACE不是一个被动的记录仪
[00:04:32 - 00:04:35] 而是真正被读取的地方第二颗调制性
[00:04:35 - 00:04:37] 你可以让Cloud在脑子里做算数
[00:04:37 - 00:04:39] 比如让它抄写一句关于画的句子
[00:04:39 - 00:04:42] 同时在脑子里算三的平方减二
[00:04:42 - 00:04:45] Janelands发现在他抄写句子的同时
[00:04:45 - 00:04:48] Jace Pace里一次亮起了9和7
[00:04:48 - 00:04:50] 他的嘴上在老老实实的抄写
[00:04:50 - 00:04:52] 脑子里却在做数学题
[00:04:52 - 00:04:54] 第三 内部推理
[00:04:54 - 00:04:56] 当Cloud解决多部问题时
[00:04:56 - 00:04:58] 中间步骤会在Jace Pace里闪烁
[00:04:58 - 00:05:00] 比如在Anthropic的实验中
[00:05:00 - 00:05:02] 他们给Cloud一个数学问题
[00:05:02 - 00:05:03] 他立刻给出了答案
[00:05:03 - 00:05:04] 但没有展示步骤
[00:05:04 - 00:05:06] 然而当他们扫描Jace Pace时
[00:05:06 - 00:05:08] 看到他在内部一步步工作
[00:05:08 - 00:05:11] 他一次点亮了21、42、49
[00:05:11 - 00:05:14] Cloud没有把这些中间数字写下来
[00:05:14 - 00:05:17] 所有这一切都发生在Jayspace内部
[00:05:17 - 00:05:20] 这是Cloud使用它进行分布推理的明确证据
[00:05:20 - 00:05:21] 第四 灵活泛化
[00:05:21 - 00:05:24] 一个概念在Jayspace里可以被多种任务使用
[00:05:24 - 00:05:25] 比如法国
[00:05:25 - 00:05:28] 你可以问它首都语言所在大洲货币
[00:05:28 - 00:05:31] 只要在Jayspace里把法国替换成中国
[00:05:31 - 00:05:34] 所有这四个问题的答案都会同时改变
[00:05:34 - 00:05:36] 这说明Jayspace就像一个共享内存
[00:05:36 - 00:05:39] 写进去一次各个字机统都能来读取
[00:05:39 - 00:05:41] 第五 也是最关键的一点
[00:05:41 - 00:05:42] 选择性
[00:05:42 - 00:05:45] Jespace的典型占用约为几十个gallon's 像量
[00:05:45 - 00:05:48] 但这不等于几十个独立想法
[00:05:48 - 00:05:50] 无关概念的同时保持能力更有限
[00:05:50 - 00:05:53] 当研究人员强行移除Jespace后
[00:05:53 - 00:05:55] 模型依然能流利地说话
[00:05:55 - 00:05:56] 提取简单事实
[00:05:56 - 00:05:58] 甚至语法都完全正确
[00:05:58 - 00:06:01] 但是在论文测试的多部推理任务里
[00:06:01 - 00:06:03] Jespace对表现有关键因果作用
[00:06:03 - 00:06:05] 这说明大部分常规操作
[00:06:05 - 00:06:08] 模型都已经形成了肌肉记忆
[00:06:08 - 00:06:10] 而Jespace更像是负责内协
[00:06:10 - 00:06:12] 需要灵活调用中间结果的计算
[00:06:12 - 00:06:13] 有了Jalence
[00:06:13 - 00:06:17] 我们终于可以观察到大模型内部的一些隐藏表征
[00:06:17 - 00:06:19] 这也是这篇论文最有价值的部分
[00:06:19 - 00:06:20] 对 《七神记》
[00:06:20 - 00:06:21] Alignment Auditing
[00:06:21 - 00:06:23] 在Anthropic的实验中
[00:06:23 - 00:06:25] Cloud在执行不当行为时
[00:06:25 - 00:06:27] Jace Pace里会亮起特定的表征
[00:06:27 - 00:06:30] 比如当Cloud直接修改分数文件时
[00:06:30 - 00:06:32] Jace Pace里出现了manipulation
[00:06:32 - 00:06:35] 再决定让假数据看起来可信时
[00:06:35 - 00:06:36] 出现了realistic
[00:06:36 - 00:06:38] 通过监控Jace Pace
[00:06:38 - 00:06:40] 我们可以发现Cloud的不当行为
[00:06:40 - 00:06:41] 即使它试图隐瞒
[00:06:41 - 00:06:43] 这表明通过读取Jayspace
[00:06:43 - 00:06:45] 我们可以找到Cloud在想什么
[00:06:45 - 00:06:47] 但没有说出来的东西
[00:06:47 - 00:06:50] 有时候我们看到的是令人担忧的东西
[00:06:50 - 00:06:51] 这对AI安全意味着什么
[00:06:51 - 00:06:53] 通过理解Jayspace的机制
[00:06:53 - 00:06:57] 我们能够更好的监控和素形AI模型的内部表征
[00:06:57 - 00:06:59] 确保他们的行为与我们的价值观一致
[00:06:59 - 00:07:00] 看到这里
[00:07:00 - 00:07:02] 我不知道你是什么感觉
[00:07:02 - 00:07:04] 反正我是觉得有点震撼
[00:07:04 - 00:07:06] 过去这几年整个AI圈
[00:07:06 - 00:07:07] 都有一个主流的指念
[00:07:07 - 00:07:11] 我们要让模型变聪明就必须不断堆算历加参数
[00:07:11 - 00:07:14] 或者强迫它输出极长的思维链,COT
[00:07:14 - 00:07:18] 像OE这类推理模型会消耗额外推理计算
[00:07:18 - 00:07:21] 但原始思维链通常并不直接展示给用户
[00:07:21 - 00:07:24] 我们以为模型必须说出来才算是在思考
[00:07:24 - 00:07:27] 但Anthropic的这项研究彻底打破了这个认知
[00:07:27 - 00:07:31] 高级的认知能力根本不需要占据整个神经网络
[00:07:31 - 00:07:34] Jespace只占了不到10%的活动
[00:07:34 - 00:07:37] 却在论文测试的多部推理任务中发挥了关键作用
[00:07:37 - 00:07:40] 大模型已经学会了在内部形成中间表征
[00:07:40 - 00:07:42] 它不仅在预测下一个词
[00:07:42 - 00:07:44] 它在输出之前
[00:07:44 - 00:07:47] 就已经在内部激活中完成了复杂的逻辑推演
[00:07:47 - 00:07:49] 那些没有写在屏幕上的表征
[00:07:49 - 00:07:51] 才是它真正在处理的东西
[00:07:51 - 00:07:54] 我们一直被它表面的输出给骗了
[00:07:54 - 00:07:56] 这个发现不仅颠覆了我们
[00:07:56 - 00:07:58] 对大模型工作原理的理解
[00:07:58 - 00:08:01] 也为未来优化模型架构提供了全新的思路
[00:08:01 - 00:08:02] 至少在Transformer里
[00:08:02 - 00:08:05] 类似Workspace的功能可以沿深度轴展开
[00:08:05 - 00:08:08] 而不必完全依赖人脑式循环回路
[00:08:08 - 00:08:10] 这背后的底层逻辑非常震撼
[00:08:10 - 00:08:12] 这对我们开发者有什么启发
[00:08:12 - 00:08:15] 以后我们在做模型对齐 做安全监控时
[00:08:15 - 00:08:18] 光看它输出了什么是绝对不够的
[00:08:18 - 00:08:20] 我们要看它内部表征里在想什么
[00:08:20 - 00:08:22] Anthropic已经开始这么做了
[00:08:22 - 00:08:25] 他们提出了一种叫反事实反思训练
[00:08:25 - 00:08:28] Counterfactual Reflection Training的方法
[00:08:28 - 00:08:31] 在Cloud Hickel 4.5上做了这个训练
[00:08:31 - 00:08:34] 指训练模型在被追问时如何反思
[00:08:34 - 00:08:36] 评估时不让他输出反思
[00:08:36 - 00:08:38] 但他的JSPACE里会更常出现ethical
[00:08:38 - 00:08:40] honest integrity等表征
[00:08:40 - 00:08:41] 结果发现
[00:08:41 - 00:08:43] 这种训练直接改变了模型
[00:08:43 - 00:08:44] 在JSPACE里的表征
[00:08:44 - 00:08:46] 你不仅要规范它的言行
[00:08:46 - 00:08:48] 你还要塑造它的内部表征
[00:08:48 - 00:08:50] 这已经不是在写代码了
[00:08:50 - 00:08:51] 这简直是在做思想教育
[00:08:51 - 00:08:55] 这种从行为规范到内部表征塑造的转变
[00:08:55 - 00:08:58] 标志着AI对极技术进入了一个全新的阶段
[00:08:58 - 00:09:02] 这项研究标志着大模型从黑盒走向了灰盒
[00:09:02 - 00:09:06] 可解释性研究Machinistic Interpretability
[00:09:06 - 00:09:07] 迎来了它的高光时刻
[00:09:07 - 00:09:10] 过去我们只能找到一些零散的特征
[00:09:10 - 00:09:12] 比如金门大桥这样的特征
[00:09:12 - 00:09:15] 但现在我们找到了模型内部的一个系统性结构
[00:09:15 - 00:09:17] 如果这类基础成熟
[00:09:17 - 00:09:19] 未来可能出现更细腻度的内部监控
[00:09:19 - 00:09:22] 但目前这仍是研究方向不是产品形态
[00:09:22 - 00:09:24] 未来的提示词工程
[00:09:24 - 00:09:27] 可能不再是脚筋脑汁让模型输出思维链
[00:09:27 - 00:09:30] 而是更深入的理解和塑形它的内部表征
[00:09:30 - 00:09:32] 这不仅能提高交互效率
[00:09:32 - 00:09:35] 还能解锁更多前所未有的应用场景
[00:09:35 - 00:09:37] 我们还不能说大模型有意识
[00:09:37 - 00:09:40] 但我们第一次能系统读到一部分没有说出口
[00:09:40 - 00:09:42] 却会影响行为的内部表征
[00:09:42 - 00:09:45] 当一个由归和代码组成的系统
[00:09:45 - 00:09:47] 开始在单次前向传播中
[00:09:47 - 00:09:50] 形成可被读取干预和塑形的内部表征时
[00:09:50 - 00:09:53] 我们面对的已经不再是一个简单的文本生成器
[00:09:53 - 00:09:57] 我们面对的是一个正在被我们逐步理解的复杂系统
[00:09:57 - 00:09:59] Anthropic在结尾也强调
[00:09:59 - 00:10:00] 这只是第一步
[00:10:00 - 00:10:01] 随着这类方法推进
[00:10:01 - 00:10:03] 我们对LLM内部机制
[00:10:03 - 00:10:05] 以及它和人类薪质的关系
[00:10:05 - 00:10:06] 会看得更清楚
[00:10:06 - 00:10:09] 你觉得大模型这种内部表征的能力
[00:10:09 - 00:10:12] 是通向更好AI的必经之路吗
[00:10:12 - 00:10:12] 还是说
[00:10:12 - 00:10:15] 这只是一个过于复杂的统计学现象
[00:10:15 - 00:10:18] 我们是否应该对这种涌先出的结构赶到担忧
[00:10:18 - 00:10:20] 把你的看法打在公平上
[00:10:20 - 00:10:22] 或者在评论区和我一起讨论
[00:10:22 - 00:10:25] 如果你觉得这期硬核拆解对你有启发
[00:10:25 - 00:10:26] 记得一键三连
[00:10:26 - 00:10:27] 这对我很重要
[00:10:27 - 00:10:28] 我是为什么叫QQ
[00:10:28 - 00:10:29] 我们下期见
