BV号：BV11dd8YGE8U
标题：BV11dd8YGE8U
链接：https://www.bilibili.com/video/BV11dd8YGE8U
识别语言：zh
语言置信度：1
分段数：1226
生成时间：2026-08-30 08:29:28

[00:00:00 - 00:00:01] 我們要怎麼做
[00:01:53 - 00:01:54] 在場地上,
[00:01:54 - 00:01:57] 這就是一個非常大的進步
[00:01:59 - 00:02:01] 我覺得這就是一種
[00:02:01 - 00:02:03] 開始和合作的過程
[00:02:03 - 00:02:05] 在ML和系統上,
[00:02:05 - 00:02:08] 我們都知道
[00:02:09 - 00:02:11] 我們想要的模式,
[00:02:11 - 00:02:13] 然後開始
[00:02:14 - 00:02:15] 這個場地的過程
[00:02:15 - 00:02:19] 在我們工作中的情況下
[00:02:19 - 00:02:23] 尤其是在做一些最新的工作
[00:02:23 - 00:02:25] 讓我們有更多的資料
[00:02:25 - 00:02:29] 這就變成了很難做的事
[00:02:29 - 00:02:33] 所以我們都會去吃飯
[00:02:33 - 00:02:35] 有很多的問題
[00:02:36 - 00:02:39] 再做幾次的進步
[00:02:39 - 00:02:40] 即使有很多的挑戰
[00:02:40 - 00:02:42] 再加上更多的資料
[00:02:42 - 00:02:47] 我們應該不應該有意見
[00:02:47 - 00:02:49] 雖然我們有所有的計劃
[00:02:49 - 00:02:51] 在ML和系統上
[00:02:51 - 00:02:54] 並且要盡量關閉
[00:02:54 - 00:02:56] 我們預計的進步
[00:02:56 - 00:02:58] 是怎樣的
[00:02:58 - 00:03:03] 我想這在很高級的程度上
[00:03:03 - 00:03:06] 和整體的過程中
[00:03:06 - 00:03:09] 並且尖叫的成績
[00:03:09 - 00:03:13] 這會讓人有很多的能量和能量
[00:03:13 - 00:03:16] 在一段時間內進行訓練的程度
[00:03:17 - 00:03:20] 我們覺得我們對我們所期待的情況
[00:03:20 - 00:03:21] 其實是怎樣的
[00:03:22 - 00:03:26] 在最初的情況下
[00:03:27 - 00:03:29] 我正在說的 system side of it
[00:03:30 - 00:03:32] 我們是通常走遠的
[00:03:32 - 00:03:33] 從哪裡我們期待的
[00:03:33 - 00:03:34] 這個繳幅度是很強的
[00:03:34 - 00:03:34] 這是很重要的
[00:03:34 - 00:03:38] 我們很想要
[00:03:38 - 00:03:38] 我們有一個
[00:03:38 - 00:03:41] 我們用肺炎的交易
[00:03:41 - 00:03:42] 就是依照計劃
[00:03:42 - 00:03:44] 我們於是我們可以
[00:03:44 - 00:03:46] 透過依照計劃
[00:03:46 - 00:03:47] 這樣子
[00:03:47 - 00:03:48] 我們其實
[00:03:48 - 00:03:48] 我們應該是
[00:03:48 - 00:03:51] 就是湊成
[00:03:51 - 00:03:52] 我們是
[00:03:52 - 00:03:52] 在救援黨
[00:03:52 - 00:03:54] 我們在當局
[00:03:54 - 00:03:55] 我們都要
[00:03:55 - 00:03:56] 因為這是我們
[00:03:56 - 00:03:57] 我們可以
[00:03:57 - 00:03:58] 已經做得更好
[00:03:58 - 00:03:59] 所以我們也要
[00:03:59 - 00:04:00] 讓大家知道
[00:04:00 - 00:04:01] 讓你們知道
[00:04:01 - 00:04:03] 我們要把能量的方式
[00:04:03 - 00:04:08] 和計算到我們能夠
[00:04:08 - 00:04:10] 和計算到我們能夠
[00:04:10 - 00:04:12] 如何讓我們進行
[00:04:12 - 00:04:14] 我們要做進步的
[00:04:14 - 00:04:16] 就是要跟我們計算
[00:04:16 - 00:04:18] 這是我們要求的
[00:04:18 - 00:04:20] 如果讓我們成功
[00:04:20 - 00:04:22] 我們要多久
[00:04:22 - 00:04:24] 我們要多久
[00:04:24 - 00:04:25] 對
[00:04:25 - 00:04:27] 我們在這個項目的
[00:04:27 - 00:04:29] 我們設計了
[00:04:29 - 00:04:33] 就是10X smarter than GPD4
[00:04:33 - 00:04:35] 所以那是我們剛開始的目標
[00:04:35 - 00:04:36] 我們剛開始的目標
[00:04:36 - 00:04:38] 我們有設置了網路
[00:04:38 - 00:04:40] 然後我們有很多
[00:04:40 - 00:04:46] 我們想要做得更好或更壞
[00:04:46 - 00:04:49] 我覺得是很複雜的一種
[00:04:49 - 00:04:50] 但最後我們找到一個模式
[00:04:50 - 00:04:53] 我們覺得是10X smarter than GPD4
[00:04:53 - 00:04:57] 我們想要把這系統放進去
[00:04:57 - 00:05:02] 對 從我們想的程序開始 它是很遠離開的
[00:05:02 - 00:05:06] 從我們想的程序開始 它是很遠離開的
[00:05:06 - 00:05:10] 對 但我想它是想要改善電腦的程序
[00:05:10 - 00:05:12] 要適合我們希望的程序
[00:05:12 - 00:05:19] 兩句問題 為什麼要來從10,000GPUs 到100,000GPUs
[00:05:19 - 00:05:21] 為什麼會令這個問題更難
[00:05:21 - 00:05:31] 很多問題,我相信,如果你有很大膽的看法,你會看得到的,
[00:05:31 - 00:05:35] 並非是大膽的看法,但有些事情,
[00:05:35 - 00:05:40] 因為蕾絲的蕾絲變成了一種很大膽的看法,
[00:05:40 - 00:05:43] 尤其是你沒有想過的問題。
[00:05:43 - 00:05:46] 那些事情,你覺得是怎樣?
[00:05:46 - 00:05:50] 那些東西我認為是非常 well-known
[00:05:50 - 00:05:54] 是在地位的問題
[00:05:54 - 00:05:56] 你能看到的失敗率
[00:05:56 - 00:05:59] 你能看到的不同的失敗
[00:05:59 - 00:06:03] 在於其他類型的失敗
[00:06:03 - 00:06:07] 也有其他的失敗
[00:06:07 - 00:06:09] 所以我們能看到
[00:06:09 - 00:06:11] 我確定的賣點
[00:06:11 - 00:06:15] 因為這是大量的量量
[00:06:15 - 00:06:24] 而你 takes to observe the integrity of the statistical distribution of large pool of resources that you are executing.
[00:06:24 - 00:06:28] 而 network fabric is always part of it,
[00:06:28 - 00:06:30] individual accelerators are part of it,
[00:06:30 - 00:06:33] but at the end of the day this is the beauty of it,
[00:06:33 - 00:06:38] at the same time that almost everything needs to work as expected,
[00:06:38 - 00:06:39] for the result to hold,
[00:06:39 - 00:06:42] and the job is to basically minimize that variance.
[00:06:42 - 00:06:44] Second part of the question
[00:06:44 - 00:06:46] 這真的很難做到
[00:06:46 - 00:06:48] 做到的東西都在外面
[00:06:48 - 00:06:50] 所以我們去做
[00:06:50 - 00:06:52] 下一個訓練
[00:06:52 - 00:06:54] 更有趣
[00:06:54 - 00:06:56] 但是我還想要
[00:06:56 - 00:06:58] 做到更多的事情
[00:06:58 - 00:07:00] 所以我已經有了
[00:07:00 - 00:07:02] 幾百個人的努力
[00:07:02 - 00:07:04] 去做GPT 4.5
[00:07:04 - 00:07:06] 如果你們可以去選
[00:07:06 - 00:07:08] 誰你們想的
[00:07:08 - 00:07:10] 他們可以去
[00:07:10 - 00:07:12] GPT 4 從 scratch
[00:07:12 - 00:07:15] 我覺得去到GPD4的模式
[00:07:15 - 00:07:18] 可能是5-10人的方式
[00:07:18 - 00:07:20] 對,我們做了這個
[00:07:20 - 00:07:22] 那一種
[00:07:22 - 00:07:24] 那一種人的方式
[00:07:24 - 00:07:26] GPD4,4.5是不同的
[00:07:26 - 00:07:28] 在這個情況下,有很多工作的歷史
[00:07:28 - 00:07:31] 有很多人來一起
[00:07:31 - 00:07:33] 是一個很不同的項目
[00:07:33 - 00:07:34] GPD4,我會說
[00:07:34 - 00:07:35] 但現在我們做了這個工作
[00:07:35 - 00:07:37] 我覺得,我們有很多的工作
[00:07:37 - 00:07:39] 如果我們要再重新訓練
[00:07:39 - 00:07:41] 我們做了這個
[00:07:41 - 00:07:43] 在Gb4.5的訓練中
[00:07:43 - 00:07:44] 我們訓練Gb4O
[00:07:44 - 00:07:46] 就是Gb4的數字模式
[00:07:46 - 00:07:49] 我們重新使用了很多同樣的東西
[00:07:49 - 00:07:51] 從Gb4.5的研究程式上
[00:07:51 - 00:07:53] 我覺得做DiRUN
[00:07:53 - 00:07:55] 其實也有很多年輕人
[00:07:55 - 00:07:56] 對
[00:07:57 - 00:08:01] 您的觀點是怎樣
[00:08:01 - 00:08:04] 還是為何訓練大型模式
[00:08:04 - 00:08:06] 我認為做任何事情是很新的
[00:08:06 - 00:08:08] 我認為
[00:08:08 - 00:08:12] 只要找到別人做的事情
[00:08:12 - 00:08:14] 就變得更容易了
[00:08:14 - 00:08:15] 因為
[00:08:15 - 00:08:16] 最難的部分是
[00:08:16 - 00:08:17] 有信心去做什麼
[00:08:17 - 00:08:19] 第一場
[00:08:19 - 00:08:19] 感覺到
[00:08:19 - 00:08:21] 只要有可能的事
[00:08:21 - 00:08:23] 是很大的騎士
[00:08:23 - 00:08:25] 就是這樣
[00:08:25 - 00:08:26] 對
[00:08:26 - 00:08:27] 我們一直在計算
[00:08:27 - 00:08:29] 10x 比我們之前
[00:08:29 - 00:08:30] 這些GPT  pre-training 運動
[00:08:30 - 00:08:31] 還有
[00:08:31 - 00:08:32] 有很多新的東西
[00:08:32 - 00:08:32] 你會發現
[00:08:32 - 00:08:33] 很有趣
[00:08:33 - 00:08:35] 你可能會想像
[00:08:35 - 00:08:36] 什麼需要
[00:08:36 - 00:08:37] 10x 或 100x
[00:08:37 - 00:08:39] pre-training 技術
[00:08:39 - 00:08:40] 數據
[00:08:40 - 00:08:41] 什麼意思
[00:08:41 - 00:08:41] You see it
[00:08:41 - 00:08:43] Obviously I know, but what is it?
[00:08:43 - 00:08:51] So the transformer, the GPT, is spectacular at making productive use of data.
[00:08:51 - 00:08:57] It absorbs information, it compresses and generalizes to some degree,
[00:08:57 - 00:09:04] but it's defining character, its signature is absorbing the information very efficiently with compute.
[00:09:04 - 00:09:10] But there's somewhat of a ceiling to how deep of an insight it can gain
[00:09:10 - 00:09:12] 從資料來源
[00:09:12 - 00:09:14] 所以在某些時候
[00:09:14 - 00:09:16] 當機構繼續發展
[00:09:16 - 00:09:17] 發展和發展
[00:09:17 - 00:09:20] 資料變得更加快
[00:09:20 - 00:09:21] 資料變成了
[00:09:21 - 00:09:24] 這類的標準
[00:09:24 - 00:09:25] 它需要一些
[00:09:25 - 00:09:28] 改善的方式
[00:09:28 - 00:09:29] 能夠學習
[00:09:29 - 00:09:32] 學習更多的機構
[00:09:32 - 00:09:33] 學習更多的機構
[00:09:33 - 00:09:36] 從資料的同一程度來源
[00:09:36 - 00:09:37] 我們應該繼續學習
[00:09:37 - 00:09:38] 再加上
[00:09:38 - 00:09:40] 我想這個回答是系統的
[00:09:40 - 00:09:44] 我想在我們學習的不同的GPTs
[00:09:44 - 00:09:47] GPT 4.5是
[00:09:47 - 00:09:50] 一個很大的
[00:09:50 - 00:09:52] 工作的數量
[00:09:52 - 00:09:54] 需要的
[00:09:54 - 00:09:56] 我們需要的
[00:09:56 - 00:09:58] 改變的
[00:09:58 - 00:10:00] 是
[00:10:00 - 00:10:02] 買產品的模式
[00:10:02 - 00:10:04] 我們不可以
[00:10:04 - 00:10:08] 我們不可能能夠訓練GPT-4.5
[00:10:08 - 00:10:13] 同樣的訓練,就像我們訓練GPT-4
[00:10:13 - 00:10:16] 所以我們說的,我們的訓練程序
[00:10:16 - 00:10:18] 我們的訓練程序改變了
[00:10:18 - 00:10:21] 我們需要更多的訓練
[00:10:21 - 00:10:22] 而這個訓練不可以
[00:10:22 - 00:10:23] 只要是一個股份
[00:10:23 - 00:10:26] 我們需要去多個股份訓練
[00:10:26 - 00:10:28] 我們可以想像
[00:10:28 - 00:10:29] 很多不同的訓練
[00:10:29 - 00:10:31] 像這些訓練
[00:10:31 - 00:10:33] 需要來得及很短的時間
[00:10:33 - 00:10:34] 我們要做這個
[00:10:34 - 00:10:37] 還有另外的10x 工作
[00:10:37 - 00:10:39] 當然還有其他問題
[00:10:39 - 00:10:41] 我們之前也知道他們有的
[00:10:41 - 00:10:43] 只是選擇了
[00:10:43 - 00:10:46] 我們要將他們的拆除
[00:10:46 - 00:10:48] 我們要把他們的拆除
[00:10:48 - 00:10:49] 我們要將他們的拆除
[00:10:49 - 00:10:50] 沒有辦法去做
[00:10:50 - 00:10:52] 這些選擇
[00:10:52 - 00:10:54] 基本上是要做的
[00:10:54 - 00:10:56] 建立完美的系統
[00:10:56 - 00:10:58] 要多久
[00:10:58 - 00:11:02] 所以我們要在最快的方向
[00:11:02 - 00:11:03] 才能達到這個結果
[00:11:03 - 00:11:05] 這系統並非是一個結構
[00:11:05 - 00:11:07] 而是一個產品
[00:11:07 - 00:11:10] 它們的產品是
[00:11:10 - 00:11:12] 所以我認為
[00:11:12 - 00:11:14] 它會是
[00:11:14 - 00:11:16] 當然是適合適合的
[00:11:16 - 00:11:17] 而適合適合的
[00:11:17 - 00:11:19] 如果我們可以
[00:11:19 - 00:11:21] 用作配合
[00:11:21 - 00:11:22] 我們就不必
[00:11:22 - 00:11:23] 會受到
[00:11:23 - 00:11:25] 這種大量的
[00:11:25 - 00:11:26] 受到的受到的
[00:11:26 - 00:11:30] 不像我們的
[00:11:30 - 00:11:39] I would argue that our prior is stack 4.5 at the edge of what we could keep up with.
[00:11:39 - 00:11:44] Do you know what percent of steps failed in the 4.5 run due to some components somewhere?
[00:11:44 - 00:11:47] I actually don't have a number off the top of my head,
[00:11:47 - 00:11:50] but it is usually the way things work.
[00:11:50 - 00:11:53] This is a fascinating thing.
[00:11:53 - 00:11:58] 对于经济价值,
[00:11:58 - 00:12:01] 这些问题在辛冠很久不久的
[00:12:01 - 00:12:03] 等率和应该的伸展事实,
[00:12:03 - 00:12:06] 我们不必应该过得明了
[00:12:06 - 00:12:08] 或调查,
[00:12:08 - 00:12:10] 我们开始
[00:12:10 - 00:12:14] 拖延行动和称赛,
[00:12:14 - 00:12:16] ~!
[00:12:16 - 00:12:17] 当然,
[00:12:17 - 00:12:22] 价值并没有非常大的假期
[00:12:22 - 00:12:24] 而且,
[00:12:24 - 00:12:31] 它很可能是因為當我們找到 root cause 和分辨
[00:12:31 - 00:12:35] 整個數目的失敗都會變得更加嚴重
[00:12:35 - 00:12:36] 這就是常常的個案
[00:12:36 - 00:12:39] 我們要學習更多的資料
[00:12:39 - 00:12:42] 就是一些叫做清理資料
[00:12:42 - 00:12:45] 或者理解資料的基本問題
[00:12:45 - 00:12:49] 而這個情況很大
[00:12:49 - 00:12:51] 但是那一面的前面的行動
[00:12:51 - 00:12:54] 是一種很痛苦的情況
[00:12:54 - 00:12:56] 因為我們在學習
[00:12:56 - 00:12:58] 新的失業模式和新的
[00:12:58 - 00:13:00] 新的環境
[00:13:00 - 00:13:02] 在進行進步
[00:13:02 - 00:13:04] 當然之後
[00:13:05 - 00:13:07] 失業率會變得更加重要
[00:13:07 - 00:13:09] 時間會更加好
[00:13:09 - 00:13:11] 但這只是一件事
[00:13:11 - 00:13:13] 最難預計的
[00:13:13 - 00:13:15] 是這個前一段
[00:13:15 - 00:13:17] 生產生產的狀況
[00:13:17 - 00:13:19] 失業率會變得更好
[00:13:19 - 00:13:22] 而在於設計成為一個很好的立場
[00:13:22 - 00:13:24] 能夠令到很少的
[00:13:25 - 00:13:28] 前面的產品有利的產品
[00:13:29 - 00:13:31] 當然 理想性模式是
[00:13:31 - 00:13:32] 很大的一部分
[00:13:32 - 00:13:35] 如果我們再放棄一下
[00:13:35 - 00:13:37] 想想我們能夠在
[00:13:37 - 00:13:39] 經濟上的預算模式上
[00:13:39 - 00:13:40] 我們預計了
[00:13:40 - 00:13:42] 無限度的GPUs
[00:13:42 - 00:13:45] 無限度的網路 無限度的力量
[00:13:45 - 00:13:46] 但我們都被迫用了
[00:13:46 - 00:13:47] 所有的問題
[00:13:47 - 00:13:47] 東西仍然被迫
[00:13:47 - 00:13:49] 我們沒有想到錯誤的訓練
[00:13:49 - 00:13:51] 我們只有資料我們有
[00:13:51 - 00:13:52] 什麼 else
[00:13:52 - 00:13:54] 我們怎麼用
[00:13:54 - 00:13:56] 每個大量的GPT
[00:13:56 - 00:13:58] 是100x increment
[00:13:58 - 00:13:59] 我們怎麼去
[00:13:59 - 00:14:01] GPT 怎麼訓練
[00:14:01 - 00:14:04] 我們今天知道的
[00:14:04 - 00:14:05] 我們會得到5.5
[00:14:05 - 00:14:06] ML 和 ALGUM  side
[00:14:06 - 00:14:09] 我看不到我們找到的
[00:14:09 - 00:14:10] 很明顯的限度
[00:14:10 - 00:14:13] 我們只是在擦地上
[00:14:13 - 00:14:14] 有更多的資料
[00:14:14 - 00:14:16] 而 Promote so
[00:14:16 - 00:14:16] Mission
[00:14:16 - 00:14:20] Algorithms
[00:14:20 - 00:14:21] And think better ways to leverage the data that we have.
[00:14:21 - 00:14:25] Is very interesting because I think up until this rough point in time,
[00:14:25 - 00:14:26] If you look through GPT-4,
[00:14:26 - 00:14:30] We were largely just in a compute constrained environment.
[00:14:30 - 00:14:32] So that was kind of where all the research was going into.
[00:14:32 - 00:14:36] But now we're in a very different kind of regime.
[00:14:36 - 00:14:39] Starting with 4.5 for some aspects of the data.
[00:14:39 - 00:14:41] Where we are much more data-bound.
[00:14:41 - 00:14:44] So there's not around a lot more excitement about this research.
[00:14:44 - 00:14:47] 我真的沒有想過要選擇一個不同的方式
[00:14:47 - 00:14:48] 讓世界還沒有明白
[00:14:48 - 00:14:50] 我們沒有再有更好的研究
[00:14:50 - 00:14:52] 我們可以做出最好的模式
[00:14:52 - 00:14:55] 我們生活在世界上那麼久
[00:14:55 - 00:14:59] 我們在《4-5》中所學習的最有趣的ML
[00:14:59 - 00:15:02] 是你想要分享的
[00:15:10 - 00:15:11] 還是你
[00:15:11 - 00:15:13] 我不知道可以分享
[00:15:13 - 00:15:14] 在整個語言
[00:15:14 - 00:15:18] 我認為是在想要把想法
[00:15:18 - 00:15:20] 然後把他想出的目標
[00:15:20 - 00:15:22] 並把他預計成這樣
[00:15:22 - 00:15:24] 對 我覺得可能我們可以
[00:15:24 - 00:15:26] 對 還有一個更驚訝的事情
[00:15:26 - 00:15:28] 我們找到的
[00:15:28 - 00:15:32] 就是我們在MLSI的不同的項目中
[00:15:32 - 00:15:34] 我們將到RUN的上升
[00:15:34 - 00:15:36] 一些事情也有上升
[00:15:36 - 00:15:38] 但我們也有找到
[00:15:38 - 00:15:40] 這個模式的方式
[00:15:40 - 00:15:42] 我們也有學習過
[00:15:42 - 00:15:44] 我們有學習過很多
[00:15:44 - 00:15:46] 對我們來說
[00:15:46 - 00:15:48] 這兩種定義的特性
[00:15:48 - 00:15:50] 就是GPT的定義
[00:15:50 - 00:15:52] 是可以預計的測試率
[00:15:52 - 00:15:54] 而測試率是預計的
[00:15:54 - 00:15:56] 而測試率的增加度
[00:15:56 - 00:15:58] 也有更多的精神
[00:15:58 - 00:16:00] 並且有更多的神奇的方式
[00:16:00 - 00:16:02] 你是否有最高能量
[00:16:02 - 00:16:04] 你完全相信那種
[00:16:04 - 00:16:06] 我會說
[00:16:06 - 00:16:08] 我們找到的一個
[00:16:08 - 00:16:10] 是4.5
[00:16:10 - 00:16:12] 我們再次測試了
[00:16:12 - 00:16:15] 我們只需要把角色的動作
[00:16:15 - 00:16:17] 做成更清楚的方式
[00:16:17 - 00:16:19] 和令人感到更加平衡
[00:16:19 - 00:16:21] 我們只需要把角色的動作
[00:16:21 - 00:16:23] 做成更清楚的方式
[00:16:23 - 00:16:25] 和令人感到更清楚的方式
[00:16:25 - 00:16:27] 做成更清楚的方式
[00:16:27 - 00:16:29] 然後我們就看到
[00:16:29 - 00:16:31] 在這個項目中
[00:16:31 - 00:16:33] 我們看到
[00:16:33 - 00:16:35] 在這三個階段
[00:16:35 - 00:16:37] 我們看到
[00:16:37 - 00:16:39] 我們看到
[00:16:39 - 00:16:41] 它明白了一些暖和的內容
[00:16:42 - 00:16:44] 這就是魔法
[00:16:44 - 00:16:47] 它出來的幾個更多的測試
[00:16:47 - 00:16:49] 我覺得這部分的計劃
[00:16:49 - 00:16:51] 非常好
[00:16:51 - 00:16:52] 那是最好的一刻
[00:16:52 - 00:16:53] 整個訓練程度
[00:16:53 - 00:16:54] 是最好的一刻
[00:16:54 - 00:16:55] 這是我最喜歡的一刻
[00:16:57 - 00:16:58] 當然有很多痛苦
[00:16:58 - 00:16:59] 但是希望還可以
[00:16:59 - 00:17:00] 我還可以
[00:17:00 - 00:17:02] 對 我可以說
[00:17:02 - 00:17:04] 所以當他們來到我的心裡
[00:17:06 - 00:17:07] 我們
[00:17:07 - 00:17:09] 我們也有做過很多工作
[00:17:09 - 00:17:11] 在我們自己的工作中
[00:17:11 - 00:17:13] 我覺得我們做的一些改變
[00:17:13 - 00:17:15] 有很好的影響
[00:17:15 - 00:17:18] 我認為可能會更好
[00:17:18 - 00:17:18] 更多期待
[00:17:18 - 00:17:21] 這就是我們很興奮的一刻
[00:17:22 - 00:17:28] 我覺得這就是我最大的努力
[00:17:28 - 00:17:31] 在我看到的時間
[00:17:31 - 00:17:34] 在我們工作中
[00:17:34 - 00:17:37] 我們在建設、建設、建設
[00:17:38 - 00:17:42] 當然,我們要更快地進行
[00:17:42 - 00:17:44] 我們在努力地努力地努力地努力
[00:17:46 - 00:17:49] 我們會以這項方式來表達
[00:17:49 - 00:17:53] 我們會通過這項表演
[00:17:53 - 00:17:56] 令這項模式更加不訓練
[00:17:56 - 00:17:58] 以時間來表達
[00:17:59 - 00:18:02] 這項方式,大家都在做這個計劃
[00:18:02 - 00:18:03] 但是它在長期的時間中
[00:18:03 - 00:18:05] 是很難的
[00:18:05 - 00:18:06] 絕對是更難的
[00:18:06 - 00:18:07] 我可以想像中
[00:18:07 - 00:18:09] 我的計劃會被關掉
[00:18:10 - 00:18:11] 要多久
[00:18:11 - 00:18:14] 才能夠把這些問題解決
[00:18:14 - 00:18:17] 我看過一刻
[00:18:17 - 00:18:19] 整個團隊
[00:18:19 - 00:18:23] 曾經幾個問題解決了
[00:18:23 - 00:18:25] 他們的表現變得很大
[00:18:25 - 00:18:26] 我記得
[00:18:26 - 00:18:29] 大家可以
[00:18:29 - 00:18:31] 感覺到能力改變
[00:18:31 - 00:18:33] 就是大家感到很興奮
[00:18:33 - 00:18:36] 現在更加為用力去推動
[00:18:36 - 00:18:37] 所有東西到最後
[00:18:37 - 00:18:39] 這就是非常有趣的
[00:18:39 - 00:18:41] 你可以看到ETA在我們的數字上
[00:18:41 - 00:18:45] ETA一直在移動
[00:18:45 - 00:18:47] 兩年左右
[00:18:47 - 00:18:50] 有些東西很難看
[00:18:50 - 00:18:52] 然後有效果
[00:18:52 - 00:18:54] 在團隊的 moral
[00:18:54 - 00:18:55] 還有其他
[00:18:55 - 00:18:58] 我覺得這就是美麗的
[00:18:58 - 00:19:01] 另一個部分我會把解釋是
[00:19:01 - 00:19:04] ML的部分不停的
[00:19:04 - 00:19:07] ML的構思部分不停的
[00:19:07 - 00:19:10] 在下午的時間下午
[00:19:10 - 00:19:11] 人們在下午的時間下午
[00:19:11 - 00:19:13] 問題都會在那裡
[00:19:13 - 00:19:14] 我們會再解釋一下
[00:19:14 - 00:19:16] 人們在下午的時間下午
[00:19:16 - 00:19:18] 和在下午的時間下午的
[00:19:18 - 00:19:21] 負責的工作
[00:19:21 - 00:19:23] 我覺得這就是團隊的想法
[00:19:23 - 00:19:25] 我基本上沒有團隊的想法
[00:19:25 - 00:19:26] 我做了我的工作
[00:19:26 - 00:19:27] 我再給你一個
[00:19:27 - 00:19:30] 是非常強烈的
[00:19:31 - 00:19:33] 這次的行程是很重視
[00:19:34 - 00:19:36] 在對比賽的挑戰和預計性
[00:19:37 - 00:19:38] 但這次的行程
[00:19:38 - 00:19:40] 雖然是很大的一項
[00:19:40 - 00:19:41] 有很多的計劃
[00:19:41 - 00:19:43] 當然
[00:19:43 - 00:19:44] 你想說一點點
[00:19:44 - 00:19:45] 你還沒做過
[00:19:45 - 00:19:46] 對,我做過的
[00:19:46 - 00:19:50] 對,我開始在這個行程中
[00:19:50 - 00:19:51] 一年前
[00:19:51 - 00:19:54] 我們開始在行程中
[00:19:54 - 00:19:58] 我們有很多大量的保護品
[00:19:58 - 00:19:59] 我們用了很多的 care
[00:19:59 - 00:20:02] 來很小心地調整所有的改變
[00:20:02 - 00:20:03] 我們想把改變的改變
[00:20:03 - 00:20:06] 開始以很高的信心
[00:20:06 - 00:20:07] 無論如何都可以去拔
[00:20:07 - 00:20:08] 你可以想像GPD4
[00:20:08 - 00:20:10] 我們真的明白這個設定
[00:20:10 - 00:20:12] 從ML perspective
[00:20:12 - 00:20:14] 把這些改變的改變
[00:20:14 - 00:20:17] 很小心地去
[00:20:17 - 00:20:19] 調整整個改變的改變
[00:20:19 - 00:20:21] 所以我們沒有看到
[00:20:21 - 00:20:26] 我們也想有新的功能和技術
[00:20:26 - 00:20:28] 讓我們能夠堅持在超級級別
[00:20:28 - 00:20:30] 並不被打開
[00:20:30 - 00:20:32] 很多東西都要看在小級級別
