BV号：BV1fCASeqE5x
标题：BV1fCASeqE5x
链接：https://www.bilibili.com/video/BV1fCASeqE5x
识别语言：zh
语言置信度：1
分段数：287
生成时间：2026-08-30 12:39:07

[00:00:00 - 00:00:02] 大家好 这里是最佳拍档 我是大飞
[00:00:02 - 00:00:04] 在马斯克发布Grogg3之后
[00:02:29 - 00:02:31] 问题修复前的代码库检查点
[00:02:31 - 00:02:33] 以及修复的目标
[00:02:33 - 00:02:35] 并且生成相应的代码补钉
[00:02:35 - 00:02:38] 之后会由专业工程师创建端道端测试
[00:02:38 - 00:02:39] 来验证这个补钉是否有效
[00:02:40 - 00:02:41] 如果通过测试
[00:02:41 - 00:02:43] 模型就能够获得相应的报酬
[00:02:43 - 00:02:46] 而SWE管理任务有724个
[00:02:46 - 00:02:49] 价值585,225美元
[00:02:49 - 00:02:51] 邀请模型扮演软件工程经理的角色
[00:02:51 - 00:02:54] 从多个解决任务的提案中挑选出最佳的方案
[00:02:54 - 00:02:55] 举个例子
[00:02:55 - 00:02:59] 在一个关于在IOS上实现图像粘贴功能的任务中
[00:02:59 - 00:03:02] 可能会有不同的开发者提出各种实验方案
[00:03:02 - 00:03:04] 有的方案测重于优化性能
[00:03:04 - 00:03:06] 有的则注重代码的减结性
[00:03:06 - 00:03:09] 而模型需要综合考虑各种因素
[00:03:09 - 00:03:10] 选择最适宜的方案
[00:03:10 - 00:03:11] 如果模型选对了
[00:03:11 - 00:03:13] 同样可以获得报酬
[00:03:13 - 00:03:16] SWE LUNCER的测试方法也十分的独特
[00:03:16 - 00:03:18] 采用了端道端的测试方法
[00:03:18 - 00:03:19] 与传统的单元测试不同
[00:03:19 - 00:03:23] 端导端测试能够模拟真实的用户工作流程
[00:03:23 - 00:03:24] 验证应用程序的完整行为
[00:03:24 - 00:03:27] 这种方法不仅能够更为全面的
[00:03:27 - 00:03:28] 评估模型的解决方案
[00:03:28 - 00:03:31] 还能够避免一些模型通过作弊来通过测试
[00:03:31 - 00:03:35] 就拿修复一个导致用户头像在分享代码页面
[00:03:35 - 00:03:37] 与个人资料页面不一致的漏洞
[00:03:37 - 00:03:39] 这个价值1000美元的开发任务来说
[00:03:39 - 00:03:42] 传统的单元测试可能只能分别验证
[00:03:42 - 00:03:44] 头像上传和显示这两个独立的功能
[00:03:44 - 00:03:47] 比如说检查头像能否成功的上传到服务器
[00:03:47 - 00:03:50] 以及在个人资料页面能否正常的显示等等
[00:03:50 - 00:03:53] 但是端道端测试则会模拟用户的登录
[00:03:53 - 00:03:57] 上传头像 切换帐户以及查看不同页面的完整流程
[00:03:57 - 00:03:58] 通过这种方式
[00:03:58 - 00:04:01] 测试不仅能够验证出头像是否正确显示
[00:04:01 - 00:04:04] 还能够确保整个交互过程的连贯性和正确性
[00:04:04 - 00:04:07] 比如说检查切换帐户之后
[00:04:07 - 00:04:09] 头像在不同页面的显示是否同步
[00:04:09 - 00:04:12] 是否会出现加载异常等等问题
[00:04:12 - 00:04:13] 在评估过程中
[00:04:13 - 00:04:16] SWE Launcher还引入了一个重要的模块
[00:04:16 - 00:04:17] 就是用户工具
[00:04:17 - 00:04:20] 这个工具人许模型在本地运行运用程序
[00:04:20 - 00:04:23] 并且模拟用户的行为来验证解决方案
[00:04:23 - 00:04:24] 比如说在处理Expansefy
[00:04:24 - 00:04:27] 应用中报销流程的相关任务时
[00:04:27 - 00:04:29] 模型会借助用户工具来模拟用户
[00:04:29 - 00:04:31] 进行费用陆路的操作
[00:04:31 - 00:04:33] 它会按照真实用户的操作习惯
[00:04:33 - 00:04:35] 在本地运行的运用程序中
[00:04:35 - 00:04:37] 依次输入各项费用名系
[00:04:37 - 00:04:40] 比如说金额 日期 费用类型等等信息
[00:04:40 - 00:04:41] 然后点击提交按钮
[00:04:41 - 00:04:43] 观察应用程序能否正确地记录
[00:04:43 - 00:04:44] 费用数据
[00:04:44 - 00:04:46] 以及后续的审批流程
[00:04:46 - 00:04:47] 是否能够顺利的启动
[00:04:48 - 00:04:49] 通过这样的模拟操作
[00:04:49 - 00:04:50] 模型能够判断自己
[00:04:50 - 00:04:52] 对于报销流程问题的解决方案
[00:04:52 - 00:04:53] 是否有效
[00:04:53 - 00:04:55] 比如说是否修复了
[00:04:55 - 00:04:57] 费用路入后数据丢失的漏洞
[00:04:57 - 00:04:58] 或者是否优化了
[00:04:58 - 00:05:00] 审批流程中的卡顿现象等等
[00:05:00 - 00:05:02] 那么如今前沿的AI模型们
[00:05:02 - 00:05:04] 在SWE Launcher测试中的表现
[00:05:04 - 00:05:05] 究竟如何呢
[00:05:05 - 00:05:07] O-Pi使用了GPT-SOS
[00:05:07 - 00:05:08] O1和Cloud 3.5 Soundnet
[00:05:08 - 00:05:10] 等等模型进行了测试
[00:05:10 - 00:05:11] 结果显示
[00:05:11 - 00:05:13] 所有模型在完整的SWE
[00:05:13 - 00:05:14] Lancer数据级上
[00:05:14 - 00:05:15] 获得的报酬
[00:05:15 - 00:05:18] 都远低于100万美元的潜在总报酬
[00:05:18 - 00:05:20] 这表明即使是当前最先进的
[00:05:20 - 00:05:20] AI模型
[00:05:21 - 00:05:22] 在面对真实的自由职业
[00:05:22 - 00:05:23] 软件工程任务时
[00:05:23 - 00:05:25] 仍然面临着巨大的挑战
[00:05:25 - 00:05:26] 具体来说
[00:05:26 - 00:05:28] 在ACSWE任务中
[00:05:28 - 00:05:29] 表现最好的Cloud 3.2.5
[00:05:29 - 00:05:32] Sunday的通过率只有26.2%
[00:05:32 - 00:05:35] 只能正确解决不到1¾的开发任务
[00:05:35 - 00:05:37] 获得了89000美元的报酬
[00:05:37 - 00:05:39] 报酬率为21.5%
[00:05:39 - 00:05:42] 而GPT-COO的通过率仅仅为8.6%
[00:05:42 - 00:05:44] O1为20.3%
[00:05:44 - 00:05:45] 在SWE管理任务中
[00:05:45 - 00:05:48] Cloud 3.5SUNNATE表现要稍微好一些
[00:05:48 - 00:05:50] 通过率达到了47%
[00:05:50 - 00:05:52] 获得了31万4000美元的报酬
[00:05:52 - 00:05:54] 报酬率为53.7%
[00:05:54 - 00:05:57] 而GPT-COO在这类任务中的通过率
[00:05:57 - 00:05:58] 为38.7%
[00:05:58 - 00:06:00] O1为46.3%
[00:06:00 - 00:06:03] 通过进一步分析不同任务类型和难度级别
[00:06:03 - 00:06:04] 对于模型表现的影响
[00:06:04 - 00:06:06] 可以发现模型在不同任务类型
[00:06:06 - 00:06:09] 和难度级别上的表现存在着显著的差异
[00:06:09 - 00:06:12] 在价值较低相对简单的任务中
[00:06:12 - 00:06:13] 模型的通过率相对较高
[00:06:14 - 00:06:16] 而在价值较高难度较大的任务中
[00:06:16 - 00:06:18] 模型的通过率则明显的下降
[00:06:18 - 00:06:21] 例如在SW LUNCER DEMON的数据集中
[00:06:21 - 00:06:23] 价值超过1000美元的任务
[00:06:23 - 00:06:25] 模型的通过率普遍低于30%
[00:06:25 - 00:06:26] 这说明
[00:06:26 - 00:06:28] 尽管模型在处理一些基础任务的时候
[00:06:28 - 00:06:30] 能够表现出一定的能力
[00:06:30 - 00:06:31] 但是在面对复杂的
[00:06:31 - 00:06:33] 高价值的软件工程任务时
[00:06:33 - 00:06:35] 它们与人类的高级软件工程式相比
[00:06:35 - 00:06:37] 仍然有较大的差距
[00:06:37 - 00:06:39] 研究人员还对一些因素进行了深入的探究
[00:06:39 - 00:06:43] 比如说常试次数对于模型性能的影响
[00:06:43 - 00:06:44] 研究团队使用了通过率指标
[00:06:44 - 00:06:47] PASSK对GPT-4O和O1进行了评估
[00:06:48 - 00:06:48] 结果发现
[00:06:48 - 00:06:50] 所有模型的通过率
[00:06:50 - 00:06:53] 都会随着常试次数的增加而持续的提升
[00:06:53 - 00:06:55] 这种趋势在O1模型中特别明显
[00:06:55 - 00:06:57] 比如说增加了6次常试之后
[00:06:57 - 00:07:00] 解决任务的比例提高了近两倍
[00:07:00 - 00:07:02] GPT-4O在允许6次常试
[00:07:02 - 00:07:03] 也就是PASS6的时候
[00:07:03 - 00:07:07] 达到了与O1首次尝试相同的分数为16.5%
[00:07:07 - 00:07:10] 这表明适当增加模型的尝试次数
[00:07:10 - 00:07:13] 可以在一定程度上提高其解决问题的能力
[00:07:13 - 00:07:15] 但是也意味着在实际应用中
[00:07:15 - 00:07:17] 可能需要更多的计算资源和时间
[00:07:17 - 00:07:18] 来获得更好的结果
[00:07:18 - 00:07:20] 另外 增加测试计算的资源
[00:07:20 - 00:07:22] 也对模型性能有着影响
[00:07:22 - 00:07:25] 在高质量数据级的ICSWE任务中
[00:07:25 - 00:07:27] 启用O1和用户工具的实验表明
[00:07:28 - 00:07:30] 增加推理计算量能够将通过率
[00:07:30 - 00:07:32] 从低计算量的9.3%
[00:07:32 - 00:07:34] 提升到高计算量的16.5%
[00:07:34 - 00:07:36] 相应的报酬也从16000美元
[00:07:36 - 00:07:38] 增加到了29000美元
[00:07:38 - 00:07:41] 报酬率从6.8%提升到了12.1%
[00:07:41 - 00:07:43] 而且增加测试计算资源
[00:07:43 - 00:07:45] 能够特别提高在较难
[00:07:45 - 00:07:47] 而且报酬较高问题上的性能表现
[00:07:47 - 00:07:49] 这说明 强大的计算资源
[00:07:49 - 00:07:50] 对于提升AI模型
[00:07:50 - 00:07:51] 在复杂任务中的表现
[00:07:51 - 00:07:52] 具有重要的作用
[00:07:52 - 00:07:54] 但是同时也面临着成本
[00:07:54 - 00:07:55] 和资源消耗的问题
[00:07:55 - 00:07:57] 此外 移除用户工具
[00:07:57 - 00:07:59] 也会对模型的表现产生影响
[00:07:59 - 00:08:01] 在ICSWE任务中
[00:08:01 - 00:08:04] 移除用户工具对PASS1的通过率影响较小
[00:08:04 - 00:08:06] 不过 研究人员观察到
[00:08:06 - 00:08:09] 较强的模型能够更为有效的利用用户工具
[00:08:09 - 00:08:11] 因此在它的骁龙实验下
[00:08:11 - 00:08:12] 会经历更大的性能下降
[00:08:12 - 00:08:15] 例如GPT-CO这样相对较弱的模型
[00:08:15 - 00:08:18] 在用户工具等待运行的90-120秒期间
[00:08:18 - 00:08:21] 往往会完全放弃使用该工具
[00:08:21 - 00:08:23] 而表现最好的模型会考虑到这种延迟
[00:08:23 - 00:08:25] 设置合理的超时时间
[00:08:25 - 00:08:27] 并且在结果可用的时候进行复查
[00:08:27 - 00:08:29] 这体现了不同模型
[00:08:29 - 00:08:31] 在利用外部工具解决问题的策略和能力上
[00:08:31 - 00:08:33] 存在着显著的差异
[00:08:33 - 00:08:35] 从这次测试结果来看
[00:08:35 - 00:08:37] 虽然AA模型在软件工程任务上
[00:08:37 - 00:08:38] 取得了一定的进展
[00:08:38 - 00:08:40] 但是要达到可信部署的标准
[00:08:40 - 00:08:41] 还需要继续提高可靠性
[00:08:42 - 00:08:43] 目前即使是表现最优的
[00:08:43 - 00:08:45] Cloud 3DOS Sunlight
[00:08:45 - 00:08:47] 大部分的解决方案仍然会存在错误
[00:08:47 - 00:08:50] 不过AAAgent在问题定位方面表现突出
[00:08:51 - 00:08:52] 能够通过在整个代码库中
[00:08:52 - 00:08:53] 进行关键词搜索
[00:08:54 - 00:08:56] 以惊人的速度准确定位相关的文件和函数
[00:08:57 - 00:08:58] 不过他们对于问题
[00:08:58 - 00:08:59] 如何跨越多个组件
[00:08:59 - 00:09:00] 或者文件的处理
[00:09:00 - 00:09:01] 往往有限
[00:09:01 - 00:09:03] 不能够解决根本的原因
[00:09:03 - 00:09:04] 从而导致解决方案不正确
[00:09:04 - 00:09:05] 或者不够全面
[00:09:06 - 00:09:07] 另外研究人员还发现
[00:09:07 - 00:09:10] AI agent很少会因为尝试重新问题
[00:09:10 - 00:09:11] 或者因为找不到正确的
[00:09:11 - 00:09:13] 修改位置而失败的情况
[00:09:13 - 00:09:14] 总的来说
[00:09:14 - 00:09:15] OpenAI这次公开的
[00:09:15 - 00:09:17] SWE纳瑟编码基准测试
[00:09:17 - 00:09:19] 为评估AI模型的编码能力
[00:09:19 - 00:09:20] 提供了一个更为真实
[00:09:20 - 00:09:21] 更加全面的平台
[00:09:21 - 00:09:22] 通过这次测试
[00:09:22 - 00:09:24] 我们也看到了当前
[00:09:24 - 00:09:26] AI模型在软件工程领域的优势
[00:09:26 - 00:09:28] 尤其是在面对复杂任务的时候
[00:09:28 - 00:09:30] 还存在着很多的挑战
[00:09:30 - 00:09:31] 也许在这类任务上
[00:09:31 - 00:09:34] AI模型还无法战胜富有经验的软件工程师
[00:09:34 - 00:09:36] 但是我们也必须要注意到
[00:09:36 - 00:09:38] 一旦有了可量化的标准评估手段
[00:09:38 - 00:09:40] AI模型的进化速度
[00:09:40 - 00:09:42] 可能会远远超过我们的想象
[00:09:42 - 00:09:44] 只要在朝着这条路上一直前进
[00:09:44 - 00:09:46] AI超越绝大部分软件工程师
[00:09:46 - 00:09:47] 依然只是时间问题
[00:09:47 - 00:09:48] 好了
[00:09:48 - 00:09:49] 感谢大家收看本期视频
[00:09:49 - 00:09:50] 我们下期再见
