BV号：BV1DNdQBKEUn
标题：BV1DNdQBKEUn
链接：https://www.bilibili.com/video/BV1DNdQBKEUn
识别语言：zh
语言置信度：1
分段数：147
生成时间：2026-08-29 07:59:18

[00:00:00 - 00:00:02] 大家好 我是为什么叫QQ
[00:00:02 - 00:00:04] 你以为写出炸干GPU算力的顶尖内核
[00:03:58 - 00:04:01] 它的参数量可以比V3直接翻倍
[00:04:01 - 00:04:04] 这是对物理显存强最暴力最直接的突破
[00:04:04 - 00:04:09] 猜想2,DeepSake的算力双轨制羊毛与全球生态野心
[00:04:09 - 00:04:11] 这也是本次更新最核心的看点
[00:04:11 - 00:04:14] 很多人会问由于众所周知的地缘政治限制
[00:04:14 - 00:04:16] Blaikoyle芯片國內根本拿不到
[00:04:16 - 00:04:21] DeepGEMM為什麼還要花巨大精力去死科SM100的底層優化
[00:04:21 - 00:04:24] 這恰恰是DeepSake最恐怖的地方
[00:04:24 - 00:04:25] 在水面之下
[00:04:25 - 00:04:30] V4的主力訓練極大概率已經轉向了以生騰為代表的國產芯片集群
[00:04:30 - 00:04:33] 這是一條高度保密的案線
[00:04:33 - 00:04:36] 但在明面上DeepGEMM全面擁抱Blaikoyle
[00:04:36 - 00:04:38] 是在佈一個全球生態的局
[00:04:38 - 00:04:42] 既然海外不受限的開發者和雲廠商能拿到最新硬件
[00:04:42 - 00:04:45] 那我就把跑大模型的集施性能標準定義下來
[00:04:45 - 00:04:47] 我不一定能買到這塊卡
[00:04:47 - 00:04:50] 但全球想在這塊卡上跑滿算力的人
[00:04:50 - 00:04:51] 都得用我寫的內核
[00:04:51 - 00:04:56] 這是一種超越了單純硬件封鎖的技術標準反向輸出
[00:04:56 - 00:04:57] 猜想三
[00:04:57 - 00:04:59] 底層架構的代計革命
[00:04:59 - 00:05:00] 從V2 V3一路走來
[00:05:00 - 00:05:03] 大家習慣了傳統的MOE
[00:05:03 - 00:05:06] 但Meg MOE和MHC底層的出現
[00:05:06 - 00:05:10] 說明V4在神經園如何互聯以及集群如何調度上
[00:05:10 - 00:05:12] 做了根本性的顛覆
[00:05:12 - 00:05:15] 未来的模型推理将是一张极其庞大数据
[00:05:15 - 00:05:18] 在跨卡间无缝穿梭的活体网络
[00:05:18 - 00:05:20] 看完了这次DPC EMM的更新
[00:05:20 - 00:05:22] 我最大的感慨是
[00:05:22 - 00:05:26] 最顶级的系统工程最后拼的往往是谁更克制
[00:05:26 - 00:05:27] 谁的视野更宏大
[00:05:27 - 00:05:30] 用最少的代码最直接的内存控制
[00:05:30 - 00:05:33] 去打通最前沿的硬件和最庞大的模型
[00:05:33 - 00:05:36] 在这个算力焦虑与地缘封锁焦知的时代
[00:05:36 - 00:05:38] 依然有一群理想主义的技术人
[00:05:38 - 00:05:41] 在用大道至简的工程哲学
[00:05:41 - 00:05:43] 解构最复杂的AI计算体系
[00:05:43 - 00:05:47] 甚至试图反向定义全球的算力生态标准
[00:05:47 - 00:05:49] 如果你是AI Infra领域的开发者
[00:05:49 - 00:05:50] 别去看那些水文了
[00:05:50 - 00:05:53] 去读一读Deep去EMM的代码吧
[00:05:53 - 00:05:55] 那是非常不错的GPU内核优化教材
[00:05:55 - 00:05:57] 我是为什么叫QQ
[00:05:57 - 00:05:59] 如果你也喜欢这种工程视角拆解
[00:05:59 - 00:06:01] 请务必长按点赞投币收藏
[00:06:01 - 00:06:03] 一键三连支持一下
[00:06:03 - 00:06:05] 关于DeepSync V4的算力双轨制
[00:06:05 - 00:06:06] 你有什么看法
[00:06:06 - 00:06:07] 欢迎在评论区告诉我
[00:06:07 - 00:06:09] 我们下期视频不见不散
