BV号：BV1VAu4zBEgk
标题：BV1VAu4zBEgk
链接：https://www.bilibili.com/video/BV1VAu4zBEgk
识别语言：zh
语言置信度：1
分段数：520
生成时间：2026-08-30 00:49:13

[00:00:00 - 00:00:03] 大家好,我是为什么叫QQ。
[00:01:40 - 00:01:43] 正在快速的扩大用户群和基础设施。
[00:01:43 - 00:01:48] 这背后呢,一个可能的原因是,AI原生公司在团队构成
[00:01:48 - 00:01:53] 基础设施和融资模式上更有优势,能够更快地跳过适错的阶段。
[00:01:53 - 00:01:57] 而AI负能公司呢,往往需要把AI嫁接到现有的工作流中,
[00:01:57 - 00:01:59] 难免就会遇到更多的阻碍
[00:01:59 - 00:02:02] 而AI负能公司则分成两种
[00:02:02 - 00:02:06] 一种是在旗舰产品中嵌入AI的功能
[00:02:06 - 00:02:10] 比如说给现有的CRM系统加一个AI的推荐模块
[00:02:10 - 00:02:12] 这类公司占31%
[00:02:12 - 00:02:16] 另一种是开发独立于核心业务的AI产品
[00:02:16 - 00:02:18] 比如一个做协作工具的公司
[00:02:18 - 00:02:20] 额外再推出一个AI协作助手
[00:02:20 - 00:02:22] 这类公司占37%
[00:02:22 - 00:02:24] 对于这些公司来说
[00:02:24 - 00:02:27] AI更像是一个提升现有产品价值的工具
[00:02:27 - 00:02:28] 而不是全部
[00:02:28 - 00:02:32] 比如说Salesforce, Atlasin这些传统的SARS巨头
[00:02:32 - 00:02:35] 现在都在核心的产品里面加入了AI的功能
[00:02:36 - 00:02:40] 目的就是提升自动化,个性化和用户的生产力
[00:02:40 - 00:02:44] 但是底层的商业模式和用户体验并没有大的改变
[00:02:44 - 00:02:45] 这两种路径的差异呢
[00:02:46 - 00:02:48] 从一开始就决定了他们在产品开发
[00:02:48 - 00:02:51] 团队搭建甚至是成本结构上的不同
[00:02:52 - 00:02:55] 接下来我们就从产品开发的具体环节来看一看
[00:02:55 - 00:02:57] 这些公司都在做什么
[00:02:57 - 00:02:59] 以及他们都遇到了什么样的问题
[00:02:59 - 00:03:02] 不管是AI原生还是AI负能公司
[00:03:02 - 00:03:05] 目前最热门的产品类型基本上分成两类
[00:03:05 - 00:03:08] 代理工作流和产品曾应用
[00:03:08 - 00:03:13] 其中有79%的AI原生公司都在做代理工作流
[00:03:13 - 00:03:17] 所谓的代理工作流简单来说就是让AI像代理agent一样
[00:03:17 - 00:03:19] 去自主完成一系列的任务
[00:03:19 - 00:03:22] 比如说自动处理客户资讯的全流程
[00:03:22 - 00:03:25] 从理解问题到查找资料再到生成回复
[00:03:25 - 00:03:28] 甚至能够根据用户的反馈来调整策略
[00:03:28 - 00:03:29] 除此以外呢
[00:03:29 - 00:03:34] 垂直领域的 AI 应用和水平领域的 AI 应用也很受欢迎
[00:03:34 - 00:03:39] AI 原生公司中分别有 65% 和 56% 在开发这些应用
[00:03:39 - 00:03:41] 而 AI 负能公司则占比较低
[00:03:41 - 00:03:44] 分别为 49% 和 40%
[00:03:44 - 00:03:46] 这也反映了两类公司的不同定位
[00:03:46 - 00:03:51] AI 原生公司更专注于通过 AI 来解决具体的业务流程问题
[00:03:51 - 00:03:55] 而AI负能公司则希望通过AI来增强现有平台的通用性
[00:03:55 - 00:04:00] 在模型的使用上有80%的公司会依赖于第三方AI的API
[00:04:00 - 00:04:02] 比如说GPT和Cloud
[00:04:02 - 00:04:05] 但是高增长的公司明显更为激进
[00:04:05 - 00:04:10] 77%的高增长公司会在现有的基础模型上进行微调
[00:04:10 - 00:04:13] 54%会从头开发专有的模型
[00:04:13 - 00:04:17] 而其他公司这两个比例分别为61%和32%
[00:04:17 - 00:04:19] 为什么会有这种差异呢?
[00:04:19 - 00:04:22] 高增长公司通常资源更加充足
[00:04:22 - 00:04:25] 而且需要为企业客户提供深度的定制化服务
[00:04:25 - 00:04:28] 以及根据客户的数据和需求调整模型
[00:04:28 - 00:04:32] 这时候微调或者是字眼就成了必要的选项
[00:04:32 - 00:04:36] 而资源有限的公司则更倾向于直接用第三方的API
[00:04:36 - 00:04:39] 这样能够最快的把产品推向市场
[00:04:39 - 00:04:41] 减少前期的投入
[00:04:41 - 00:04:42] 从模型的提供商来看
[00:04:42 - 00:04:45] Opener的GPT模型依然是绝对的主流
[00:04:45 - 00:04:49] 有95%的全站AI公司都在使用
[00:04:49 - 00:04:53] 其次是Antropic的Cloud和谷歌的真男
[00:04:53 - 00:04:57] 值得注意的是平均每家公司会用2.8个模型
[00:04:57 - 00:05:00] 也就是多模型的策略越来越普遍
[00:05:00 - 00:05:03] 比如说有的公司在处理简单的文本生成时
[00:05:03 - 00:05:04] 会选择用GPD4
[00:05:04 - 00:05:06] 而处理常文档分析的时候
[00:05:06 - 00:05:08] 选择用Quote
[00:05:08 - 00:05:10] 处理多模台任务的时候则使用进的
[00:05:10 - 00:05:13] 这样既能够优化性能又能够控制成本
[00:05:13 - 00:05:17] 还能够避免过渡依赖单一的供应商
[00:05:17 - 00:05:18] 在选模型的时候
[00:05:18 - 00:05:20] 不同场景的优先级也完全不同
[00:05:20 - 00:05:22] 如果是面向客户的产品
[00:05:22 - 00:05:25] 准确性是绝对第一位的
[00:05:25 - 00:05:27] 74%的公司把它排在第一
[00:05:27 - 00:05:29] 而成本排在第二
[00:05:29 - 00:05:30] 占比为57%
[00:05:30 - 00:05:33] 这和去年的情况很不一样
[00:05:33 - 00:05:36] 去年成本在客户产品中几乎是最不重要的
[00:05:36 - 00:05:37] 而今年的排名上升
[00:05:37 - 00:05:40] 可能是因为像低费这样的低成本模型的出现
[00:05:40 - 00:05:43] 让成本成了更为关键的竞争因素
[00:05:43 - 00:05:46] 但如果是内部使用的AI工具
[00:05:46 - 00:05:48] 成本就成为了头号的考量
[00:05:48 - 00:05:49] 占比为74%
[00:05:49 - 00:05:52] 其次就是准确性和隐私
[00:05:52 - 00:05:54] 毕竟内部工具不直接产生收入
[00:05:54 - 00:05:56] 控制成本更加重要
[00:05:56 - 00:05:59] 而且内部数据往往涉及到机密的信息
[00:05:59 - 00:06:01] 隐私保护自然也就成了重点
[00:06:01 - 00:06:03] 在训练和适配技术方面
[00:06:03 - 00:06:06] 最常用的是检索增强生成RIG和微调
[00:06:06 - 00:06:10] 分别有69%和67%的公司在使用
[00:06:10 - 00:06:13] 高增长公司还特别喜欢用提示词技术
[00:06:13 - 00:06:15] 比如少样本学习和零样本学习
[00:06:15 - 00:06:19] 这可能是因为他们需要快速地去适配不同客户的需求
[00:06:19 - 00:06:23] 而提示辞技术能够在不重新训练模型的情况下调整输出
[00:06:23 - 00:06:24] 和去年相比呢
[00:06:24 - 00:06:27] 用Ryke和微条的公司明显增多了
[00:06:27 - 00:06:28] 按理说呢
[00:06:28 - 00:06:29] 基础模型越来越强
[00:06:29 - 00:06:31] 微条的需求应该是减少的
[00:06:31 - 00:06:33] 但是实际的情况是
[00:06:33 - 00:06:36] 企业客户对于定制化的要求更高了
[00:06:36 - 00:06:38] 这时候呢微条依然是必要的
[00:06:38 - 00:06:39] 在部署模型的时候
[00:06:39 - 00:06:41] 最大的三个难题分别是
[00:06:41 - 00:06:42] 幻觉现象
[00:06:42 - 00:06:44] 可解释性与信任
[00:06:44 - 00:06:46] 以及证明投资回报率RY
[00:06:46 - 00:06:49] 分别占比为39%、38%和34%
[00:06:49 - 00:06:51] 另外呢,计算成本和安全
[00:06:51 - 00:06:53] 也是比较大的两个问题
[00:06:53 - 00:06:55] 比如说,一个AI产品上限之后
[00:06:55 - 00:06:57] 用户量突然增加了
[00:06:57 - 00:06:59] API的调用费用可能就会飙升
[00:06:59 - 00:07:00] 直接吃掉利润
[00:07:00 - 00:07:02] 而如果模型被恶意的攻击
[00:07:02 - 00:07:04] 生成有害的内容
[00:07:04 - 00:07:05] 还可能面临法律风险
[00:07:05 - 00:07:07] 在基础设施方面
[00:07:07 - 00:07:10] 大多数公司都采用了亲资产的模式
[00:07:10 - 00:07:13] 68%的公司完全使用云服
[00:07:13 - 00:07:16] 64%依赖于外部的AI API提供商
[00:07:16 - 00:07:18] 这样做的好处很明显
[00:07:18 - 00:07:20] 那就是可以减少前期的投入
[00:07:20 - 00:07:21] 不用自己来维护服务器
[00:07:21 - 00:07:23] 还能够快速上线产品
[00:07:23 - 00:07:25] 但是这也带来了新的问题
[00:07:25 - 00:07:26] 供应商的选择
[00:07:26 - 00:07:27] 服务等级协议
[00:07:27 - 00:07:29] 也就是SLA的谈判
[00:07:29 - 00:07:32] 以及按调用次数计费的成本管理
[00:07:32 - 00:07:34] 这些都成为了战略级别的事情
[00:07:34 - 00:07:37] 如果API的提供商突然涨价
[00:07:37 - 00:07:38] 或者是服务突然中断
[00:07:38 - 00:07:40] 整个产品就会受到影响
[00:07:40 - 00:07:42] 所以很多公司会和供应商
[00:07:42 - 00:07:43] 签订长期的协议
[00:07:43 - 00:07:45] 甚至考虑备用的方案
[00:07:45 - 00:07:47] 只有23%的公司
[00:07:47 - 00:07:49] 采用了云加本地的混合模式
[00:07:49 - 00:07:50] 不到10%
[00:07:50 - 00:07:52] 完全用本地的计务设施
[00:07:52 - 00:07:55] 这些公司往往有着一些特殊的需求
[00:07:55 - 00:07:56] 比如说金融机构
[00:07:56 - 00:07:58] 会因为合规的要求
[00:07:58 - 00:08:00] 必须把数据放在自己的服务器里
[00:08:00 - 00:08:02] 或者对实时性的要求极高
[00:08:02 - 00:08:04] 比如说自动驾驶的AI模型
[00:08:04 - 00:08:07] 需要本地的计算来减少延迟
[00:08:07 - 00:08:08] 在市场方面呢
[00:08:08 - 00:08:10] 现在最流行的定价模式
[00:08:10 - 00:08:11] 是混合定价
[00:08:11 - 00:08:12] 占比为38%
[00:08:12 - 00:08:15] 也就是结合订阅制和按使用量
[00:08:15 - 00:08:16] 或者是按结果付费
[00:08:17 - 00:08:19] 比如说基础的功能收月费
[00:08:19 - 00:08:22] 超过一定使用量之后额外收费
[00:08:22 - 00:08:25] 或者根据AI帮客户节省的成本来抽成
[00:08:25 - 00:08:26] AI负能型的公司呢
[00:08:26 - 00:08:29] 大多数会把AI当作是一个增值项
[00:08:29 - 00:08:31] 40%放在高端套餐里
[00:08:31 - 00:08:33] 33%免费提供
[00:08:33 - 00:08:36] 这其实呢是把AI作为吸引客户升级
[00:08:36 - 00:08:38] 或者是防止客户流失的一个工具
[00:08:38 - 00:08:40] 而不是主要的收入来源
[00:08:40 - 00:08:42] 比如说很多的SARS工具会说
[00:08:42 - 00:08:45] 高级版包含AI的分析功能
[00:08:45 - 00:08:48] 以此来推动客户从基础版进行升级
[00:08:48 - 00:08:49] 但是报告也指出
[00:08:49 - 00:08:51] 这种模式可能不会长久
[00:08:51 - 00:08:53] 随着AI的成本越来越高
[00:08:53 - 00:08:56] 免费提供会压缩产品的利润空间
[00:08:56 - 00:08:58] 而用户使用上的差异也很大
[00:08:58 - 00:09:01] 重度用户用的多成本高
[00:09:01 - 00:09:03] 而轻度用户用的少收入低
[00:09:03 - 00:09:05] 这就会让定价变得很尴尬
[00:09:05 - 00:09:07] 所以百分之37%的公司
[00:09:07 - 00:09:09] 计划在未来12个月调整定价
[00:09:09 - 00:09:12] 比如说转向更为灵活的按使用量济费
[00:09:12 - 00:09:15] 或者是根据AI带来的具体价值来定价
[00:09:15 - 00:09:17] 那随着AI产品的规模化
[00:09:17 - 00:09:19] 透明度也越来越重要
[00:09:19 - 00:09:21] 在产品的规模化阶段
[00:09:21 - 00:09:25] 25%的公司会提供详细的模型透明度报告
[00:09:25 - 00:09:28] 47%会解释AI如何影响结果
[00:09:28 - 00:09:30] 而在Pre-launch阶段
[00:09:30 - 00:09:32] 只有6%会提供详细的报告
[00:09:32 - 00:09:34] 这其实也很合理
[00:09:34 - 00:09:35] 说明产品越成熟
[00:09:35 - 00:09:38] 客户越会要求知道AI的工作原理
[00:09:38 - 00:09:40] 尤其是对于企业客户来说
[00:09:40 - 00:09:41] 在合规方面
[00:09:41 - 00:09:44] 只有13%有专门的AI合规团队
[00:09:44 - 00:09:48] 29%的公司有正式的AI轮理和治理政策
[00:09:48 - 00:09:53] 47%至少遵守GDPR、CCPA这些数据隐私法
[00:09:53 - 00:09:55] 这说明很多公司还在应付合规
[00:09:55 - 00:09:58] 而不是主动去建设合规的体系
[00:09:58 - 00:10:00] 随着各国的AI监管越来越严
[00:10:00 - 00:10:03] 这可能会成为一个未来的风险点
[00:10:03 - 00:10:06] 另外有66%的公司在用Human In The Loop的方式
[00:10:06 - 00:10:08] 确保AI的公平和安全
[00:10:08 - 00:10:11] 简单来说就是在关键的决策环节上
[00:10:11 - 00:10:12] 让人类进行审核
[00:10:13 - 00:10:14] 比如说AI生成的合同
[00:10:14 - 00:10:15] 会让律师再检查一遍
[00:10:16 - 00:10:17] 在团队方面
[00:10:17 - 00:10:18] 公司的规模越大
[00:10:18 - 00:10:20] 越可能有专门的AI领导
[00:10:20 - 00:10:22] 比如说首席的AI官
[00:10:22 - 00:10:23] 积极学习负责人
[00:10:23 - 00:10:24] 这些等等
[00:10:24 - 00:10:26] 年收入1亿美元以上的公司中
[00:10:26 - 00:10:29] 至少50%都有专门的AI领导
[00:10:29 - 00:10:31] 而年收入低于1亿美元的公司
[00:10:31 - 00:10:32] 只有33%
[00:10:32 - 00:10:34] 这是因为规模大了
[00:10:34 - 00:10:35] AI业务更加复杂
[00:10:35 - 00:10:38] 就需要有人去统筹战略、技术和合规
[00:10:38 - 00:10:43] 而小公司可能会让CTO或者是产品的负责人直接就接管了
[00:10:43 - 00:10:45] 在岗位方面呢
[00:10:45 - 00:10:48] 目前最常见的AI岗位是AI和机器学习的工程师
[00:10:48 - 00:10:50] 88%的公司都有
[00:10:50 - 00:10:53] 有数据科学家的公司占比为72%
[00:10:53 - 00:10:56] 有AI产品经理的公司占比为60%
[00:10:56 - 00:10:57] 但是招人很难
[00:10:57 - 00:11:01] AI或者是机器学习工程师平均要70天才能够招到
[00:11:01 - 00:11:03] 数据科学家要68天
[00:11:03 - 00:11:05] AI产品经理要67天
[00:11:05 - 00:11:07] 这比普通的工程师难招多了
[00:11:07 - 00:11:09] 主要是因为合格的人才少
[00:11:09 - 00:11:10] 竞争激烈
[00:11:10 - 00:11:12] 还有一些新兴的岗位也在崛起
[00:11:12 - 00:11:15] 比如说提示工程师和AI设计专家
[00:11:15 - 00:11:18] 这些岗位需要既懂技术又懂业务
[00:11:18 - 00:11:20] 所以现在也成了香波波
[00:11:20 - 00:11:23] 然而46%的公司觉得招人不够快
[00:11:23 - 00:11:26] 主要原因是缺乏合格的候选人
[00:11:26 - 00:11:28] 其次是成本高和竞争激烈
[00:11:28 - 00:11:30] 有一家公司的技术负责人就说
[00:11:30 - 00:11:33] 我们想招有大模型部署经验的工程师
[00:11:33 - 00:11:36] 但是市场上这样的人太少了
[00:11:36 - 00:11:37] 稍微有点惊艳的
[00:11:37 - 00:11:40] 薪资要求比普通的工程师都要高50%以上
[00:11:40 - 00:11:42] 还经常被挖响角
[00:11:42 - 00:11:43] 因此为了应对
[00:11:43 - 00:11:45] 很多公司会自己培养人才
[00:11:45 - 00:11:48] 比如说让现有的工程师参加AI培训
[00:11:48 - 00:11:50] 或者和高效合作实习项目
[00:11:50 - 00:11:51] 评计来看
[00:11:51 - 00:11:54] 公司会计划让20%-30%的工程师
[00:11:54 - 00:11:56] 专注在AI方面
[00:11:56 - 00:11:58] 而高增长的公司则会更高
[00:11:58 - 00:12:00] 甚至能够达到37%
[00:12:00 - 00:12:02] 这说明AI已经从边缘项目
[00:12:02 - 00:12:04] 变成了核心的业务
[00:12:04 - 00:12:06] 需要足够的工程师去投入
[00:12:06 - 00:12:07] 从成本方面来看
[00:12:07 - 00:12:09] AI富能公司的研发预算中
[00:12:09 - 00:12:13] AI的开发成本大概占10%-20%
[00:12:13 - 00:12:14] 年收入越高
[00:12:14 - 00:12:15] 比例相对越低
[00:12:15 - 00:12:16] 2024年
[00:12:16 - 00:12:17] 1亿美元以上的公司
[00:12:17 - 00:12:19] 大约为10%-15%
[00:12:19 - 00:12:21] 而低于1亿美元的公司
[00:12:21 - 00:12:22] 大约为14%
[00:12:22 - 00:12:23] 这可能是因为
[00:12:23 - 00:12:25] 大公司的研发基础比较大
[00:12:25 - 00:12:27] AI只是其中的一部分
[00:12:27 - 00:12:29] 而少公司则更加聚焦
[00:12:29 - 00:12:31] 愿意把更多的预算投到AI上
[00:12:31 - 00:12:34] 不过呢,这个比例在2025年有了明显的上涨
[00:12:34 - 00:12:37] 普遍增长了5%-10%
[00:12:37 - 00:12:39] 这说明大家都在加大AI的投入
[00:12:39 - 00:12:41] 那么这些钱都花到哪里了呢?
[00:12:41 - 00:12:44] 不同阶段成本的结构也不一样
[00:12:44 - 00:12:45] 在产品发布之前
[00:12:45 - 00:12:48] 57%的AI预算花在了人才上
[00:12:48 - 00:12:51] 因为这时候主要是搭团队做研发
[00:12:51 - 00:12:52] 到了规模化阶段
[00:12:52 - 00:12:55] 人才的成本占比会降到36%
[00:12:55 - 00:12:58] 而基础设施和云成本会升到22%
[00:12:58 - 00:13:01] 模型的推理成本会升到13%
[00:13:01 - 00:13:02] 这是因为用户多了
[00:13:02 - 00:13:05] 服务器、API调用这些可变的成本也就上来了
[00:13:06 - 00:13:09] 其中API的使用费用是最难以控制的
[00:13:09 - 00:13:11] 70%的公司都把它排在第一
[00:13:11 - 00:13:15] 其次是推理成本、模型再训练和更新等等
[00:13:15 - 00:13:20] API的使用费用难控制是因为它和用户的使用量是直接挂钩的
[00:13:20 - 00:13:22] 而用户的行为是很难预测的
[00:13:22 - 00:13:25] 比如说突然有个活动用户量就会暴涨
[00:13:25 - 00:13:27] API的费用可能就会翻倍
[00:13:27 - 00:13:28] 为了省钱呢
[00:13:28 - 00:13:29] 41%的公司
[00:13:29 - 00:13:32] 在用像拉马三这样的开源模型
[00:13:32 - 00:13:34] 37%在尝试优化推理效率
[00:13:34 - 00:13:36] 比如说压缩模型的大小
[00:13:36 - 00:13:39] 32%在用模型争流或者是量化技术
[00:13:39 - 00:13:40] 举个例子
[00:13:40 - 00:13:43] 有的公司把大模型从700亿参数
[00:13:43 - 00:13:44] 压缩到71%
[00:13:44 - 00:13:46] 推理成本降了70%
[00:13:46 - 00:13:47] 性能只降了5%
[00:13:47 - 00:13:49] 对很多场景来说
[00:13:49 - 00:13:50] 完全能够接受
[00:13:50 - 00:13:52] 模型训练的月成本
[00:13:52 - 00:13:54] 也会随着产品的成熟度上升
[00:13:54 - 00:13:57] 发布前平均为16.3万美元
[00:13:57 - 00:13:59] 规模化阶段为150万美元
[00:13:59 - 00:14:00] 推理成本涨得更猛
[00:14:00 - 00:14:02] 规模化阶段
[00:14:02 - 00:14:05] 高增长的公司每月要花230万美元
[00:14:05 - 00:14:07] 普通公司也要110万美元
[00:14:07 - 00:14:09] 数据存储和处理也不便宜
[00:14:09 - 00:14:11] 规模化阶段的高增长公司
[00:14:11 - 00:14:14] 每个月要花260万和200万美元
[00:14:14 - 00:14:17] 普通公司也要花190万和180万美元
[00:14:17 - 00:14:19] 从这些数字我们就能够看出
[00:14:19 - 00:14:22] AI产品的规模化成本很高
[00:14:22 - 00:14:24] 不是光把模型开发出来就行的
[00:14:24 - 00:14:27] 还得有足够的资金来支撑后期的运营
[00:14:27 - 00:14:30] 这也是很多初创公司需要大笔融资的原因
[00:14:30 - 00:14:32] 除了开发对外的AI产品以外
[00:14:32 - 00:14:35] 公司也在用AI来提升内部的效率
[00:14:35 - 00:14:38] 这部分的预算在2025年几乎翻倍
[00:14:38 - 00:14:41] 对于年收入10亿美元以上的公司来说
[00:14:41 - 00:14:45] 内部AI生产力的预算从2024年的平均342万美元
[00:14:45 - 00:14:48] 涨到了2025年的604万美元
[00:14:48 - 00:14:52] 在公司内部有70%左右的员工能够接触到AI工具
[00:14:52 - 00:14:55] 但是只有50%会持续的使用
[00:14:55 - 00:14:57] 大公司则更加难以推动
[00:14:57 - 00:14:59] 年收入11美元以上的公司
[00:14:59 - 00:15:02] 只有44%的员工会持续使用AI
[00:15:02 - 00:15:04] 而小公司则有57%
[00:15:04 - 00:15:06] 这可能是因为大公司的流程复杂
[00:15:06 - 00:15:07] 员工习惯难改
[00:15:07 - 00:15:09] 而且数据安全顾虑更多
[00:15:09 - 00:15:13] 纽约人寿的首席数据和分析官唐武就说
[00:15:13 - 00:15:15] 只部署工具肯定不行
[00:15:15 - 00:15:16] 尤其是大企业
[00:15:16 - 00:15:18] 要想让员工真的用起来
[00:15:18 - 00:15:19] 不仅得培训
[00:15:19 - 00:15:21] 还得找最积极使用AI的员工来带头
[00:15:21 - 00:15:23] 最重要的是高管的持续支持
[00:15:23 - 00:15:25] 不然很容易不了了之
[00:15:25 - 00:15:27] 在企业的研发部门内部
[00:15:27 - 00:15:29] 最常用的AI场景是编码辅助
[00:15:29 - 00:15:31] 内容生成和编写助理
[00:15:31 - 00:15:33] 以及文档和知识检索
[00:15:33 - 00:15:35] 效果最好的也是编程辅助
[00:15:35 - 00:15:37] 65%的公司
[00:15:37 - 00:15:39] 认为它对生产力的提升最大
[00:15:39 - 00:15:41] 高增长公司甚至有33%的代码
[00:15:41 - 00:15:43] 已经是AI编写的了
[00:15:43 - 00:15:45] 普通的公司是27%
[00:15:45 - 00:15:47] 但是挑战也是明显的
[00:15:47 - 00:15:50] 46%的公司说找不到合适的使用场景
[00:15:50 - 00:15:53] 不过呢,42%认为很难证明2Y
[00:15:53 - 00:15:56] 那么,究竟应该如何衡量内部AI的效果呢?
[00:15:56 - 00:15:59] 75%的公司会跟踪生产力的提升
[00:15:59 - 00:16:02] 51%会跟踪成本节省
[00:16:02 - 00:16:05] 但是只有20%会跟踪收入的提升
[00:16:05 - 00:16:09] 毕竟内部工具通常都不会直接创造收入
[00:16:09 - 00:16:12] 具体方法上呢,14%只会跟踪定量的指标
[00:16:12 - 00:16:15] 16%只跟踪定性的指标
[00:16:15 - 00:16:18] 30%既跟踪定量,又跟踪定性指标
[00:16:18 - 00:16:21] 不过呢,还有17%的公司完全没有开始衡量
[00:16:21 - 00:16:23] 这其实是很危险的
[00:16:23 - 00:16:26] 因为如果不知道效果,就不知道该去优化还是放弃
[00:16:26 - 00:16:28] 在AI的工具站方面
[00:16:28 - 00:16:32] Pytocz和TensorFlow这两个深度学习框架最为流行
[00:16:32 - 00:16:34] 加起来占了一半以上的使用量
[00:16:34 - 00:16:36] 但是拖挽平台也不甘示弱
[00:16:36 - 00:16:41] 业代品S的SageMaker和Open的微调服务用的人也很多
[00:16:41 - 00:16:43] 说明团队分成了两派
[00:16:43 - 00:16:46] 一派喜欢用框架自己掌控整个过程
[00:16:46 - 00:16:48] 一派则喜欢用拖管服务、省事
[00:16:49 - 00:16:53] Hoggingface的生态和DataBreaks的Masco AI Training也在崛起
[00:16:53 - 00:16:55] 他们提供了一些更高层的工具
[00:16:55 - 00:16:57] 让训练更加简单
[00:16:57 - 00:17:00] 比如说不用你自己去写复杂的分布式训练代码
[00:17:00 - 00:17:01] 直接调用API就行了
[00:17:02 - 00:17:03] 在开发方面呢
[00:17:03 - 00:17:05] Lunchin和Hoggingface的工具级最火
[00:17:05 - 00:17:07] 因为他们能够减化提示词链
[00:17:07 - 00:17:09] 批处理和模型接口这些工作
[00:17:09 - 00:17:13] 70%的公司还会用私有或者是自定义的API
[00:17:13 - 00:17:16] 说明很多公司会基于公开模型做二次的开发
[00:17:16 - 00:17:19] 然后封装成自己的API供内部使用
[00:17:19 - 00:17:22] 安全工具也越来越受到重视
[00:17:22 - 00:17:25] 30%的公司会用Gardress来做安全检查
[00:17:25 - 00:17:27] 防止AI生成有害的内容
[00:17:27 - 00:17:31] 23%会用Waterer的AISDK进行快速的部署
[00:17:31 - 00:17:35] 这些工具能够让应用更加的稳定、更加的合规
[00:17:35 - 00:17:37] 在监控和观测方面
[00:17:37 - 00:17:40] 近一半的公司还在用传统的API工具
[00:17:40 - 00:17:42] 比如说DatDog、New Relic
[00:17:42 - 00:17:44] 而不是专门的AI监控工具
[00:17:44 - 00:17:47] 这可能是因为这些工具已经融入了现有的流程
[00:17:47 - 00:17:49] 团队不想再去学习新的工具
[00:17:49 - 00:17:52] 但是专门的AI监控工具也在增长
[00:17:52 - 00:17:54] LonenessMaze和WisthandBus'
[00:17:54 - 00:17:56] 各有17%的使用率
[00:17:56 - 00:17:58] 他们能够跟踪提示词的效果
[00:17:58 - 00:18:00] 检测模型的飘移
[00:18:00 - 00:18:02] 这些是传统工具所做不到的
[00:18:02 - 00:18:03] 在推理优化方面
[00:18:03 - 00:18:06] 英伟达的Tanz RT和Traton推理服务器
[00:18:06 - 00:18:08] 加起来占了60%以上
[00:18:08 - 00:18:11] 说明英伟达在推理优化领域几乎是垄断
[00:18:11 - 00:18:14] 毕竟他们的GPU可以说是行业的标杆
[00:18:14 - 00:18:15] 软件和硬件也配合的好
[00:18:15 - 00:18:18] 能够把速度和效率做到极致
[00:18:18 - 00:18:19] 在非音伟达的方案里
[00:18:19 - 00:18:21] Uncance占了18%
[00:18:21 - 00:18:23] 它的优势是可以跨硬件
[00:18:23 - 00:18:26] 在CPU、GPU和其他的加速器上都能够跑
[00:18:26 - 00:18:28] 适合那些不想被音伟达绑定的公司
[00:18:28 - 00:18:31] 在数据处理和特征工程方面
[00:18:31 - 00:18:33] Apache Spark和卡福卡是绝对的主力
[00:18:33 - 00:18:36] 分别有44%和42%的公司在用
