BV号：BV1p68b6YEtE
标题：BV1p68b6YEtE
链接：https://www.bilibili.com/video/BV1p68b6YEtE
识别语言：zh
语言置信度：1
分段数：207
生成时间：2026-08-29 12:04:16

[00:00:00 - 00:00:02] 大家好 我是为什么叫QQ
[00:00:02 - 00:00:04] 一个支付agent明明只发起了一次付款
[00:03:36 - 00:03:38] 第二启动记录已写入
[00:03:38 - 00:03:40] 但系统刚好在拿到结果前断电了
[00:03:40 - 00:03:42] 结果条目缺失
[00:03:42 - 00:03:44] 这是最危险的确定额窗口
[00:03:44 - 00:03:46] 外部效果发生没发生
[00:03:46 - 00:03:46] 不知道
[00:03:46 - 00:03:49] 此时恢复器绝对不能盲目重新发请求
[00:03:49 - 00:03:51] 只能依据历史策略来决定
[00:03:51 - 00:03:53] 第三结果条目已经写入存储
[00:03:54 - 00:03:56] 但就在准备推进下一步前进城挂了
[00:03:56 - 00:03:58] 此时恢复器扫描日制
[00:03:58 - 00:03:59] 发现守卫避缓
[00:03:59 - 00:04:01] 它必须跳过该工具
[00:04:01 - 00:04:02] 绝不能再执行一次
[00:04:02 - 00:04:04] 把含糊的好像成功了
[00:04:04 - 00:04:05] 变成这三种精准状态
[00:04:06 - 00:04:07] 这就是设计的精髓
[00:04:07 - 00:04:09] 遇到刚才说的第二种
[00:04:09 - 00:04:11] 意图存在但结果缺失的情况
[00:04:11 - 00:04:12] 该不该重视
[00:04:12 - 00:04:15] 规范规定只有历史记录和当前工具声明
[00:04:15 - 00:04:17] 都明确标为安全时
[00:04:17 - 00:04:19] 系统才会自动重放
[00:04:19 - 00:04:21] 如果这是付款工具状态位置时
[00:04:21 - 00:04:23] 框架不会自动重放
[00:04:23 - 00:04:25] 业务层应根据外部服务的契约
[00:04:25 - 00:04:28] 选择用同一个密等件安全重视
[00:04:28 - 00:04:31] 或通过订单号资源ID查询最终状态
[00:04:31 - 00:04:34] 只有无法自动核实时才进入人工附合
[00:04:34 - 00:04:36] 我们可以对照 AWS Lambda
[00:04:36 - 00:04:38] Jerbal Execution 的语意来看看
[00:04:38 - 00:04:40] AWS 默认是 Atlas 的
[00:04:40 - 00:04:42] Once 至少执行一次
[00:04:42 - 00:04:45] 未完成的步骤在恢复时可能重跑
[00:04:45 - 00:04:47] 因此 如果副作用在本地数据库
[00:04:47 - 00:04:51] 去重复标记和业务写入必须在同意ACID事务
[00:04:51 - 00:04:54] 若是发布消息可用事务outbox
[00:04:54 - 00:04:55] 但下游仍需去重
[00:04:55 - 00:04:59] 调第三方API则必须依赖对方的密等协议
[00:04:59 - 00:05:01] 另外events提供实施观察
[00:05:01 - 00:05:04] hooks负责可改变执行的扩展点
[00:05:04 - 00:05:07] 而日志与追踪走独立的tlematrix通道
[00:05:07 - 00:05:09] 三者职责严格分开
[00:05:09 - 00:05:12] agent执行长程任务时用户突然补发一条消息
[00:05:12 - 00:05:16] 如果直接插进历史记录中间会发生什么
[00:05:16 - 00:05:19] 首先,公共潜坠会在插入点提前结束
[00:05:19 - 00:05:22] 从该位置开始的模型缓存无法复用
[00:05:22 - 00:05:24] 可能明显增加延迟和输入成本
[00:05:24 - 00:05:28] 更关键的是,转路会错误的暗示场一条模型回复
[00:05:28 - 00:05:31] 已经看见了这条后来才到达的消息
[00:05:31 - 00:05:32] 这破坏了时序逻辑
[00:05:32 - 00:05:34] 因此目标设计不会把后来
[00:05:34 - 00:05:37] 到达的内容直接插进历史中间
[00:05:37 - 00:05:40] SteerFollowUp和Nxtron先持久化为对列项
[00:05:40 - 00:05:42] 运行中的消息或配置写入
[00:05:42 - 00:05:44] 则记录为DeferredRight
[00:05:44 - 00:05:48] 他们在各自的消费时机或checkpoint被追加到上下文尾部
[00:05:48 - 00:05:51] 从而同时保住因果顺序和缓存前坠
[00:05:51 - 00:05:53] 某些模型provider
[00:05:53 - 00:05:56] 例如Response's API的background模式
[00:05:56 - 00:05:59] 支持后台执行可能需要几十分钟产出结果
[00:05:59 - 00:06:01] Harness VR为JLA Provider Response
[00:06:01 - 00:06:04] 设计了持久化Deferred Handle
[00:06:04 - 00:06:06] 遇到这种情况系统会让当前Lane挂起
[00:06:06 - 00:06:10] 之后无论谁来接管都能按持久化句柄查进度
[00:06:10 - 00:06:13] 设计规定每次Resume扩号只Fetch一次
[00:06:13 - 00:06:16] 失败也不会自动发起新的请求替代原任务
[00:06:16 - 00:06:19] 注意这针对的是Provider API
[00:06:19 - 00:06:21] 如果是普通的后台业务工具
[00:06:21 - 00:06:24] 业务层还得自己设计类似的查询协议
[00:06:24 - 00:06:27] 模型请求失败应易出重视被丢弃的回复
[00:06:27 - 00:06:29] 都会产生token费用
[00:06:29 - 00:06:31] 规范计划把使用量账本
[00:06:31 - 00:06:34] Usage Ledger与对话条目分离
[00:06:34 - 00:06:36] 独立账本能完整保留Harness
[00:06:36 - 00:06:39] 实际收到并成功持久化的用量
[00:06:39 - 00:06:42] 这样失败请求的消耗也能被单独统计
[00:06:42 - 00:06:43] 不过也要客观承认
[00:06:43 - 00:06:46] 它仍不能覆盖Provider微报告用量
[00:06:46 - 00:06:49] 或返回后立即荡机等不可消除的窗口
[00:06:49 - 00:06:52] 最终核算仍要与提供商的账单对齐
[00:06:52 - 00:06:54] 在这个版本中Reducer已经实现为确定性
[00:06:54 - 00:06:56] 无写入的纯规约函数
[00:06:56 - 00:06:59] 它读取有介操作日制数条目和配置
[00:06:59 - 00:07:03] 规约出当前执行到了哪一步哪个工具没结果
[00:07:03 - 00:07:06] 在目标实现中当Resume扩号完成
[00:07:06 - 00:07:08] 再次挂起或关闭该operations时
[00:07:08 - 00:07:10] 系统将重新执行reduction
[00:07:10 - 00:07:13] 并与Livestate做fixedpoint的字件
[00:07:13 - 00:07:15] 在未来的工作包中计划引入Manual Drive
[00:07:15 - 00:07:19] 让测试在每一个受控的持久化写入Provider请求
[00:07:19 - 00:07:22] 工具执行或可获定时期编辑前暂停
[00:07:22 - 00:07:25] 重启A阵的不再是靠Felves猜历史
[00:07:25 - 00:07:28] 而是靠纯函数算出确定性的固定点
[00:07:28 - 00:07:31] 如果你的任务是单轮问答、纯毒、无复作用
[00:07:31 - 00:07:34] 完整的持久化运行时绝对是过度设计
[00:07:34 - 00:07:36] 但如果你的业务是跨回和审批
[00:07:36 - 00:07:40] 代码库修改或云资源运为你可以分三步眼尽
[00:07:40 - 00:07:42] 第一步读漏洞
[00:07:42 - 00:07:45] 在底层数据结构上给副作用工具的 payload
[00:07:45 - 00:07:47] 明确加上 operation ID 字段
[00:07:47 - 00:07:50] 利用查询接口合适状态第二步拆状态
[00:07:50 - 00:07:53] 把中途用户插画改用对列追加
[00:07:53 - 00:07:56] 分离独立的成本账本第三步上引擎
[00:07:56 - 00:07:58] 引入 reducer 还原状态
[00:07:58 - 00:08:02] 并在 CICD 中加入确定性的崩溃重开恢复测试
[00:08:02 - 00:08:07] 对高风险业务再补充进程强杀或基础设施故障演练
[00:08:07 - 00:08:09] Harness VR 最值得借鉴的
[00:08:09 - 00:08:11] 是它对外部世界不确定性的敬畏
[00:08:11 - 00:08:16] 模型必然会抽风,工具必然会超时,容器随时会销毁。
[00:08:16 - 00:08:21] 卓越系统的使命是在灾难发生前,就把接受了什么?
[00:08:21 - 00:08:23] 允许虫是什么写进不可辨的事实里,
[00:08:23 - 00:08:26] 如果只能给现有的AZEN系统打一个补定,
[00:08:26 - 00:08:31] 你会优先补上业务密等件,拆分独立账本,还是建立故障演练机制?
[00:08:31 - 00:08:36] 欢迎在评论区聊聊,如果觉得本期内容对你有帮助,记得一键三连。
[00:08:36 - 00:08:38] 我是为什么叫QQ,我们下期见!
