BV号：BV1uT7Q63EKg
标题：BV1uT7Q63EKg
链接：https://www.bilibili.com/video/BV1uT7Q63EKg
识别语言：zh
语言置信度：1
分段数：252
生成时间：2026-08-29 17:53:18

[00:00:00 - 00:00:02] 大家好 我是为什么叫QQ
[00:00:02 - 00:00:05] 所有人都告诉你学好AI才能不被淘汰
[00:01:25 - 00:01:27] 如果开发者缺乏基本功
[00:01:27 - 00:01:31] 却把AI生成的代码未经充分审查推入生产环境
[00:01:31 - 00:01:32] 风险会被放大
[00:01:32 - 00:01:34] 这就导致了一个致命问题
[00:01:34 - 00:01:36] 认知债务的累积
[00:01:36 - 00:01:39] 我们正在见证一场由工具驱动的虚假繁荣
[00:01:39 - 00:01:41] 看似每个人都能写代码
[00:01:41 - 00:01:44] 但真正能掌控系统的人却越来越少
[00:01:44 - 00:01:48] Ronnie引用了一篇MIT Media Lab的相关研究
[00:01:48 - 00:01:50] 这项研究在LLM辅助写作任务中
[00:01:50 - 00:01:51] 观察到一个现象
[00:01:51 - 00:01:54] 过渡依赖大模型可能带来认知成本
[00:01:54 - 00:01:57] 虽然这项研究的对象是写作
[00:01:57 - 00:01:58] 不是编程
[00:01:58 - 00:01:59] 但它给软件工程
[00:01:59 - 00:02:01] 提供了一个很好的风险隐喻
[00:02:01 - 00:02:03] 写代码不仅仅是敲击键盘
[00:02:03 - 00:02:05] 更是建立系统模型的过程
[00:02:05 - 00:02:07] 当你把写代码的过程外包给AI
[00:02:07 - 00:02:10] 你失去的是对系统底层架构的理解
[00:02:10 - 00:02:11] 当系统崩溃时
[00:02:11 - 00:02:14] 你连从哪里开始排查都不知道
[00:02:14 - 00:02:16] 因为那些代码根本不是你想出来的
[00:02:16 - 00:02:18] 我们来深入拆解一下这个认知债务
[00:02:18 - 00:02:20] 在传统的开发流程中
[00:02:20 - 00:02:23] 每一个bug的修复,每次架构的重构
[00:02:23 - 00:02:26] 都是工程师在脑海中完善系统认知模型的过程
[00:02:26 - 00:02:28] 这个过程是痛苦的
[00:02:28 - 00:02:29] 但也正是这种痛苦
[00:02:29 - 00:02:32] 塑造了资深工程师不可替代的价值
[00:02:33 - 00:02:35] 现在当你遇到一个复杂的逻辑问题
[00:02:35 - 00:02:37] 你习惯性的丢给AI
[00:02:37 - 00:02:39] AI给你吐出一段看似完美的代码
[00:02:39 - 00:02:42] 你跑了一下没抱错就直接提交了
[00:02:42 - 00:02:44] 表面上看你节省了几个小时
[00:02:44 - 00:02:46] 但实际上呢
[00:02:46 - 00:02:48] 你失去了一次深入理解业务逻辑的机会
[00:02:48 - 00:02:50] 你放弃了对边界条件的思考
[00:02:50 - 00:02:52] 你忽略了潜在的性能平仅
[00:02:52 - 00:02:55] 这些被你挑过的思考就像是技术债务一样
[00:02:55 - 00:02:57] 在系统的某个角落悄悄累积
[00:02:57 - 00:03:00] 直到有一天生产环境出现了一个诡异的bug
[00:03:00 - 00:03:03] 你看着满屏不是自己写的代码大脑一片空白
[00:03:03 - 00:03:05] 这就是认知债务爆发的时刻
[00:03:05 - 00:03:07] 你以为你用AI提高了效率
[00:03:07 - 00:03:10] 其实你只是把现在该动脑子的时间
[00:03:10 - 00:03:12] 脸本带力地推迟到了未来
[00:03:12 - 00:03:15] 演讲中有一句话特别捉到我
[00:03:15 - 00:03:17] 创造才是最有趣的部分
[00:03:17 - 00:03:19] 写代码最爽的瞬间
[00:03:19 - 00:03:21] 不是代码跑通的那一刻
[00:03:21 - 00:03:23] 而是你在脑海中把复杂的
[00:03:23 - 00:03:25] 逻辑像拼图一样拼凑起来
[00:03:25 - 00:03:27] 然后解决掉那个困扰你三天的bug
[00:03:27 - 00:03:28] AI直接给你答案
[00:03:29 - 00:03:30] 就像是打游戏
[00:03:30 - 00:03:31] 开了修改器通关了
[00:03:31 - 00:03:32] 但毫无成就感
[00:03:32 - 00:03:34] AI剥夺了我们作为工程师
[00:03:34 - 00:03:37] 最核心的乐趣解题的快感
[00:03:37 - 00:03:38] Ronny举了个例子
[00:03:38 - 00:03:40] 说有人用AI去读
[00:03:40 - 00:03:41] 让佛教变简单这本书
[00:03:42 - 00:03:43] 十秒钟就总结完了
[00:03:43 - 00:03:45] 但这人并没有因此顿悟
[00:03:45 - 00:03:46] 为什么?
[00:03:46 - 00:03:48] 因为有些东西它的价值就在于过程
[00:03:48 - 00:03:50] 编程也是一样
[00:03:50 - 00:03:51] 很多飞机数人员觉得
[00:03:51 - 00:03:54] 程序员就是一群苦哈哈的马农
[00:03:54 - 00:03:55] 每天对着电脑敲键盘
[00:03:55 - 00:03:59] 但他们不懂编程本质上是一项急剧创造力的工作
[00:03:59 - 00:04:01] 当你面对一个空白的ID
[00:04:01 - 00:04:05] 从零开始构思一个架构设计数据结构编写算法
[00:04:05 - 00:04:08] 最后看着整个系统像精密的中表一样运转起来
[00:04:08 - 00:04:10] 那种成就感是无语伦比的
[00:04:10 - 00:04:13] 而现在AI试图把这个过程变成
[00:04:13 - 00:04:15] 输入需求 输出代码
[00:04:15 - 00:04:18] 它把创造的过程压缩成了一个黑盒
[00:04:18 - 00:04:19] 是的 结果可能一样
[00:04:19 - 00:04:21] 但你不再是那个创造者
[00:04:21 - 00:04:22] 你变成了一个审核员
[00:04:22 - 00:04:24] 这就好比你喜欢拼图
[00:04:24 - 00:04:26] AI直接给你拼好了一幅画
[00:04:26 - 00:04:27] 然后问你 好看吗
[00:04:27 - 00:04:29] 好看是好看
[00:04:29 - 00:04:30] 但这有什么意思呢
[00:04:30 - 00:04:31] Ronny吐槽说
[00:04:31 - 00:04:35] 希望AI能解决把一切都变得像一坨屎的问题
[00:04:35 - 00:04:38] 现在的互联网充满了AI生成的垃圾内容
[00:04:38 - 00:04:42] 千篇一律的套路文章和充满隐患的样板代码
[00:04:42 - 00:04:46] AI没有品位,它只是在概率上预测下一个词
[00:04:46 - 00:04:49] 在代码生成工具普及后,社区已经开始担心
[00:04:49 - 00:04:52] 代码审查压力,增加重复代码增多
[00:04:52 - 00:04:56] 安全弱点增加,这些都是真实的工程挑战
[00:04:56 - 00:04:57] 而不是起人忧天
[00:04:57 - 00:05:00] 大家不再去深入探讨一个算法的忧烈
[00:05:00 - 00:05:03] 不再去死磕一个底层的原理
[00:05:03 - 00:05:05] 而是比拼谁能写出更好的prompt
[00:05:05 - 00:05:07] 谁能让AI生成更多的代码
[00:05:07 - 00:05:10] 我们正在陷入一种快餐式开发的陷阱
[00:05:10 - 00:05:12] 这就好比快餐店里的汉堡
[00:05:12 - 00:05:14] 吃起来味道都差不多,能添饱肚子
[00:05:14 - 00:05:18] 但毫无营养和品味科研,真正的工程艺术
[00:05:18 - 00:05:19] 那些精妙的架构设计
[00:05:19 - 00:05:22] 那些对性能极致压榨的底层优化
[00:05:22 - 00:05:25] 正在被AI生成的平庸代码所淹没
[00:05:25 - 00:05:28] 长此以往我们的软件世界将变得雍重脆弱
[00:05:28 - 00:05:31] 充满各种难以察觉的隐患
[00:05:31 - 00:05:34] 所以主流观点说,不用AI就会被淘汰
[00:05:34 - 00:05:35] 完全是贩卖焦虑
[00:05:35 - 00:05:38] 真正危险的不是你不懂怎么写prompt
[00:05:38 - 00:05:41] 而是你失去了不依赖AI也能解决复杂问题的能力
[00:05:41 - 00:05:44] 我们都被那些铺天盖地的AI宣传洗脑了
[00:05:44 - 00:05:46] 资本和媒体不断地告诉我们
[00:05:46 - 00:05:48] AI是未来的唯一
[00:05:48 - 00:05:50] 解不拥抱AI就会被时代抛弃
[00:05:50 - 00:05:52] 但作为身处一线的工程师
[00:05:52 - 00:05:54] 我们必须保持清醒
[00:05:54 - 00:05:56] AI只是一个工具
[00:05:56 - 00:05:57] 一个概率模型
[00:05:57 - 00:05:58] 它没有真正的理解能力
[00:05:58 - 00:05:59] 更没有创造力
[00:05:59 - 00:06:01] 它所做的一切
[00:06:01 - 00:06:04] 都是基于人类过去产生的数据进行模式匹配
[00:06:04 - 00:06:06] 当你过渡依赖AI时
[00:06:06 - 00:06:09] 你实际上是在向过去的平庸妥协
[00:06:09 - 00:06:10] 你放弃了挑战位置
[00:06:10 - 00:06:12] 是放弃了突破极限
[00:06:12 - 00:06:14] 你满足于AI给出的那个
[00:06:14 - 00:06:15] 极格限以上的答案
[00:06:15 - 00:06:17] 但这在真正的工程挑战面前
[00:06:17 - 00:06:18] 是远远不够的
[00:06:18 - 00:06:21] 那些真正能够改变世界的创新
[00:06:21 - 00:06:23] 那些能够解决极端复杂问题的方案
[00:06:23 - 00:06:26] 从来都不是靠模式匹配得出来的
[00:06:26 - 00:06:28] 而是需要人类工程师
[00:06:28 - 00:06:30] 深刻的动差直觉和创造力
[00:06:30 - 00:06:32] 未来的竞争根本不是人与AI的竞争
[00:06:32 - 00:06:34] 而是掌握基本功的内行于
[00:06:34 - 00:06:37] 依赖AI的假把式之间的竞争
[00:06:37 - 00:06:38] AI只是燃料
[00:06:38 - 00:06:40] 但如果你的脑子里没有活种
[00:06:40 - 00:06:42] 燃料再多也燒不起来
[00:06:42 - 00:06:45] 真正的工程师是把AI当成加速器
[00:06:45 - 00:06:46] 而不是替代品
[00:06:46 - 00:06:48] 这就是我想提出的核心认知框架
[00:06:48 - 00:06:50] 区分燃料与火种
[00:06:50 - 00:06:51] AI是极好的燃料
[00:06:51 - 00:06:54] 它可以帮你快速生成样板代码
[00:06:54 - 00:06:56] 可以帮你快速查找API文档
[00:06:56 - 00:06:59] 可以帮你自动化那些枯燥重复的工作
[00:06:59 - 00:07:01] 但你的技术品位你的架构思维
[00:07:01 - 00:07:03] 你对业务的深刻理解
[00:07:03 - 00:07:05] 这些才是真正的火种
[00:07:05 - 00:07:07] 很多开发者会有这种体感
[00:07:07 - 00:07:09] 用了AI写代码后
[00:07:09 - 00:07:13] 反而要花更多时间去审核和修复那些极其生成的垃圾代码
[00:07:13 - 00:07:17] 这本来是工作中最讨厌的部分 现在却成了日常
[00:07:17 - 00:07:20] 这就是问题所在 AI不是帮你减轻负担
[00:07:20 - 00:07:24] 而是把你从创意工作者变成了代码审核员
[00:07:24 - 00:07:27] 如果没有活种再多的燃料 也只是一堆没用的数据
[00:07:27 - 00:07:30] 那些只懂得依赖AI生成代码的人
[00:07:30 - 00:07:32] 最终会沦为AI的附庸
[00:07:32 - 00:07:33] 而那些真正掌握了基本功
[00:07:33 - 00:07:36] 能够深入理解底层逻辑的工程师
[00:07:36 - 00:07:39] 他们会利用AI这个强大的燃料
[00:07:39 - 00:07:41] 让自己的创造力爆发出前所未有的能量
[00:07:41 - 00:07:44] 他们知道什么时候该用AI什么时候必须自己动手
[00:07:44 - 00:07:47] 他们能够一眼看出AI生成代码的缺陷
[00:07:47 - 00:07:49] 并进行精准的优化
[00:07:49 - 00:07:52] 这才是AI时代工程师真正的核心竞争力
[00:07:52 - 00:07:55] 接下来几年软件工程会发生分化
[00:07:55 - 00:07:57] 一波人会沦为AI操作员
[00:07:57 - 00:08:00] 只会复制粘贴最终被更高级的AI取代
[00:08:00 - 00:08:03] 另一波人会成为真正的架构师
[00:08:03 - 00:08:05] 他们懂底层逻辑有技术品位
[00:08:05 - 00:08:06] 用AI来验证想法
[00:08:06 - 00:08:08] 而不是代替思考
[00:08:08 - 00:08:10] 后者才是真正不可替代的
[00:08:10 - 00:08:13] 我们可以预见未来的软件开发门槛会进一步降低
[00:08:13 - 00:08:16] 任何人都可以通过自然语言写出简单的应用
[00:08:16 - 00:08:19] 但这并不意味着软件工程师这个职业会消失
[00:08:19 - 00:08:22] 相反它会经历一次深刻的洗牌
[00:08:22 - 00:08:25] 那些只会写增山改茶只会搬砖的马农
[00:08:25 - 00:08:27] 确实会被淘汰
[00:08:27 - 00:08:29] 因为AI做这些事情比他们更快更便宜
[00:08:29 - 00:08:32] 但是对于那些真正优秀的工程师来说
[00:08:32 - 00:08:34] 这是一个前所未有的黄金时代
[00:08:34 - 00:08:37] 当AI接管了底层的体力劳动
[00:08:37 - 00:08:40] 他们可以把更多的精力投入到更高维度的思考中
[00:08:40 - 00:08:42] 他们将专注于系统架构设计
[00:08:42 - 00:08:46] 复杂业务逻辑建模性能优化以及安全性保障
[00:08:46 - 00:08:48] 他们将不再是代码的编写者
[00:08:48 - 00:08:50] 而是系统的设计者和AI的指挥官
[00:08:50 - 00:08:52] 在这个过程中
[00:08:52 - 00:08:54] 人类的直觉品位和创造力
[00:08:54 - 00:08:56] 将变得比以往任何时候都更加重要
[00:08:56 - 00:08:58] 记住AI可以帮你写代码
[00:08:58 - 00:09:00] 但不能帮你懂代码
[00:09:00 - 00:09:02] 别让AI透走你思考的能力
[00:09:02 - 00:09:04] 很多工程师都有这样的认识
[00:09:04 - 00:09:05] 这个演讲的核心是
[00:09:05 - 00:09:07] 旅程本身就是目的
[00:09:07 - 00:09:09] Running用Speed Running Buddhism这个比喻
[00:09:09 - 00:09:11] 完美全是了为什么快速获得
[00:09:11 - 00:09:13] 答案反而会失去最重要的东西
[00:09:13 - 00:09:14] 编程也是一样
[00:09:14 - 00:09:16] 那些通过痛苦的调试
[00:09:16 - 00:09:20] 反复的思考一次次的失败而获得的经验
[00:09:20 - 00:09:21] 才是真正的财富
[00:09:21 - 00:09:23] Rony没有单纯的否定AI
[00:09:23 - 00:09:24] 他在警示我们
[00:09:24 - 00:09:27] 不要让工具奴役我们的思想
[00:09:27 - 00:09:29] 这个平衡的态度正是我们需要学习的
[00:09:29 - 00:09:31] 所以你觉得在日常开发中
[00:09:31 - 00:09:33] AI到底是帮了你
[00:09:33 - 00:09:34] 还是害了你
[00:09:34 - 00:09:36] 把你的真实经历打在评论区
[00:09:36 - 00:09:38] 如果你觉得这期视频对你有启发
[00:09:38 - 00:09:40] 别忘了点赞投币收藏
[00:09:40 - 00:09:41] 我们下期见
