BV号：BV1nV6SYUE1x
标题：BV1nV6SYUE1x
链接：https://www.bilibili.com/video/BV1nV6SYUE1x
识别语言：zh
语言置信度：1
分段数：260
生成时间：2026-08-30 21:10:47

[00:00:00 - 00:00:02] 大家好 这里是最佳拍档 我是大飞
[00:00:02 - 00:00:05] 前几天看了一个Anstropic发布的视频
[00:05:39 - 00:05:41] 通過對於大量真實用戶交互數據的分析
[00:05:41 - 00:05:45] Clean用也幫助我們挖掘出了一些AI的位置潛力
[00:05:45 - 00:05:47] Asrp's分析顯示
[00:05:47 - 00:05:48] 在Cloud上
[00:05:48 - 00:05:51] 網絡和移動應用程序開發是最常見的對話類別
[00:05:51 - 00:05:53] 占比達到10.4%
[00:05:53 - 00:05:56] 這充分反映了AI在邊城領域的廣泛應用
[00:05:56 - 00:05:59] 接下來是內容創作和交流
[00:05:59 - 00:06:00] 占比為9.2%
[00:06:00 - 00:06:02] 以及學術研究和撰寫
[00:06:02 - 00:06:04] 占比為7.2%
[00:06:04 - 00:06:06] 教育用途的對話也佔據了相當的比例
[00:06:06 - 00:06:08] 達到了7.1%
[00:06:08 - 00:06:10] 比如說學生會利用AI助手
[00:06:10 - 00:06:12] 来解答学习中的疑问
[00:06:12 - 00:06:13] 获取知识
[00:06:13 - 00:06:15] 教师也会用它来辅助教学备课等等
[00:06:16 - 00:06:19] 业务策略和运营方面的对话达到了5.7%
[00:06:19 - 00:06:22] 企业管理者可能会咨询AI关于市场分析
[00:06:22 - 00:06:23] 战略规划
[00:06:23 - 00:06:25] 运营流程优化等等方面的建议
[00:06:25 - 00:06:26] 同时
[00:06:26 - 00:06:29] CLEO还揭示出了一些出人意料的使用场景
[00:06:29 - 00:06:32] 像是有用户会利用AI来解释梦境
[00:06:32 - 00:06:33] 分析足球比赛
[00:06:33 - 00:06:35] 进行角色扮演游戏等等
[00:06:35 - 00:06:38] 而不同语言的对话场景也有很大的不同
[00:06:38 - 00:06:40] 比如说西班牙语的话题中
[00:06:40 - 00:06:44] 出現頻率最多的是解釋和分析經濟理論及其實際應用
[00:06:44 - 00:06:49] 中文話題最多的是創作犯罪、精索和懸疑小說
[00:06:49 - 00:06:50] 情節複雜、人物豐滿
[00:06:50 - 00:06:52] 而日語中話題最多的是
[00:06:52 - 00:06:56] 創作和分析動畫與漫畫內容及相關項目
[00:06:56 - 00:06:57] 根據埃斯拉伯格的統計
[00:06:57 - 00:06:59] 在識別趨勢和用力方面
[00:06:59 - 00:07:02] CLEO更是達到了94%的準確率
[00:07:02 - 00:07:04] 應該說這是一個非常了不起的成果
[00:07:04 - 00:07:07] 不過CLEO的真正價值或許更加在於
[00:07:07 - 00:07:10] 它帮助我们识别了AI的局限性和风险点
[00:07:10 - 00:07:13] 通过分析用户与AI的互动
[00:07:13 - 00:07:15] 我们能够发现哪些类型的问题
[00:07:15 - 00:07:17] AI还无法很好的回答
[00:07:17 - 00:07:18] 或者在哪些情况下
[00:07:18 - 00:07:20] AI更容易给出不恰当的回应
[00:07:20 - 00:07:23] 比如说在一些涉及情感理解
[00:07:23 - 00:07:24] 文化背景深厚的问题上
[00:07:24 - 00:07:26] AI可能会表现的不进入人意
[00:07:26 - 00:07:29] 这些信息对于增强AI系统的安全性
[00:07:29 - 00:07:31] 和可靠性至关重要
[00:07:31 - 00:07:33] CLEO所带来的另一个重要转变
[00:07:33 - 00:07:35] 就是从传统的预设场景测试
[00:07:35 - 00:07:37] 向真实使用分析的转变
[00:07:37 - 00:07:39] 以往的預部署測試
[00:07:39 - 00:07:40] 雖然在一定程度上
[00:07:40 - 00:07:42] 能夠保證AI系統的安全性
[00:07:42 - 00:07:44] 但是往往難以預見
[00:07:44 - 00:07:46] AI在複雜多變的現實世界中
[00:07:46 - 00:07:47] 可能會遭遇的所有情況
[00:07:47 - 00:07:50] 而CLEO這樣的後部署監控系統
[00:07:50 - 00:07:52] 則能夠在AI系統實際投入使用之後
[00:07:52 - 00:07:54] 持續對它的行為進行監測
[00:07:54 - 00:07:57] 及時發現和應對新出現的風險
[00:07:57 - 00:08:00] 不過這種轉變也帶來了一些新的挑戰
[00:08:00 - 00:08:03] 首先如何在保護用戶隱私的前提下
[00:08:03 - 00:08:05] 收集足夠詳細的使用數據呢
[00:08:05 - 00:08:07] 如果過於強調隱私保護
[00:08:07 - 00:08:10] 可能會導致收集到的數據不夠全面
[00:08:10 - 00:08:12] 而如果放鬆隱私保護標準
[00:08:12 - 00:08:14] 又會引發用戶的擔憂和不滿
[00:08:14 - 00:08:17] 其次如何保證AI公司
[00:08:17 - 00:08:19] 監控用戶行為的正當性呢?
[00:08:19 - 00:08:20] 支持者會認為
[00:08:20 - 00:08:22] 這種監控行為的目的
[00:08:22 - 00:08:24] 是為了提升AI系統的安全性和性能
[00:08:24 - 00:08:26] 最終的受益者還是用戶
[00:08:26 - 00:08:28] 而反對者會認為
[00:08:28 - 00:08:30] 這種做法侵犯了用戶的隱私
[00:08:30 - 00:08:32] 並且存在被用於不當目的的風險
[00:08:32 - 00:08:33] 此外
[00:08:33 - 00:08:34] 還有一個更大的問題
[00:08:34 - 00:08:35] 值得我们去关注
[00:08:35 - 00:08:39] 那就是AI监控可能会带来的长期社会影响
[00:08:39 - 00:08:42] 如果AI系统不断根据用户的行为来调整自身
[00:08:42 - 00:08:44] 那是否会形成一套自我强化的循环
[00:08:44 - 00:08:47] 最终限制了思想的多样性呢
[00:08:47 - 00:08:49] 福吉尼亚理工大学的一项研究报告就警告说
[00:08:49 - 00:08:53] AI系统可能会放大社会的偏见和不平等
[00:08:53 - 00:08:54] 在CLEO这样的系统中
[00:08:54 - 00:08:57] 我们可能更加需要警惕这种情况的发生
[00:08:57 - 00:08:59] 大飞我觉得从某种角度上来看
[00:08:59 - 00:09:01] 其实CLEO是在提醒我们
[00:09:01 - 00:09:03] AI安全不仅仅是一个技术问题
[00:09:03 - 00:09:05] 更是一個社會問題
[00:09:05 - 00:09:08] 隨著AI系統越來越深入的融入到我們的生活中
[00:09:08 - 00:09:10] 我們需要更加廣泛的社會參與
[00:09:10 - 00:09:12] 來制定AI治理的框架和標準
[00:09:12 - 00:09:13] 展望未來
[00:09:13 - 00:09:15] AI安全領域的研究
[00:09:15 - 00:09:17] 除了使用像CLEO這樣的數據驅動方法
[00:09:17 - 00:09:20] 可能還需要加強跨學科領域的合作
[00:09:20 - 00:09:24] 將技術 倫理 法律和社會學等多個領域的專業制止
[00:09:24 - 00:09:24] 集合起來
[00:09:25 - 00:09:26] 在AI快速發展的今天
[00:09:26 - 00:09:29] 我們需要像CLEO這樣的創新項目
[00:09:29 - 00:09:30] 來激發我們的思維
[00:09:30 - 00:09:32] 推動我們不斷的反思和改進
[00:09:32 - 00:09:35] 但是同時我們也必須保持警惕
[00:09:35 - 00:09:36] 在追求技術進步的同時
[00:09:36 - 00:09:39] 確保不會喪失我們最寶貴的人性價值
[00:09:39 - 00:09:42] 只有這樣我們才能夠真正的實現AI的潛力
[00:09:42 - 00:09:44] 同時最大限度的控制風險
[00:09:44 - 00:09:46] 創造一個更加安全
[00:09:46 - 00:09:48] 更加公平的AI驅動的未來
[00:09:48 - 00:09:50] 好了感謝大家收看本期視頻
[00:09:50 - 00:09:51] 我們下期再見
