BV号：BV1S8pYznEmi
标题：BV1S8pYznEmi
链接：https://www.bilibili.com/video/BV1S8pYznEmi
识别语言：zh
语言置信度：1
分段数：457
生成时间：2026-08-29 22:57:24

[00:00:00 - 00:00:02] 大家好,我是為什麼叫QQ
[00:04:45 - 00:04:47] 一个是用于车辆推理的中端芯片
[00:04:47 - 00:04:49] 但是马斯克在访谈中透露
[00:04:49 - 00:04:52] 前不久已经停止了Dojo芯片的开发
[00:04:52 - 00:04:55] 将所有的资源转向中端芯片
[00:04:55 - 00:04:59] 虽然目前所有Tesla车辆搭载的仍然是AI4芯片
[00:04:59 - 00:05:01] 但是即将完成设计的AI5芯片
[00:05:01 - 00:05:03] 将是一次代季级的飞跃
[00:05:03 - 00:05:05] 马斯克特别强调
[00:05:05 - 00:05:08] AI5在某些指标上比AI4好40倍
[00:05:08 - 00:05:11] 这个40倍并不是指的原始算力
[00:05:11 - 00:05:14] 而指的是软硬件协同优化后的效率提升
[00:05:14 - 00:05:16] 它举了个具体的例子
[00:05:16 - 00:05:19] AI4芯片处理Sulfmax的时候效率很低
[00:05:19 - 00:05:22] 需要打约40个步骤的模拟模式
[00:05:22 - 00:05:23] 才能完成
[00:05:23 - 00:05:26] 而AI5芯片通过硬件架构的重构
[00:05:26 - 00:05:27] 能让这些运算
[00:05:27 - 00:05:28] 原生
[00:05:28 - 00:05:30] 高效的在几个步骤内完成
[00:05:30 - 00:05:31] 具体来看
[00:05:31 - 00:05:33] AI5的提升主要体现在4个维度
[00:05:33 - 00:05:35] 原始算力提升8倍
[00:05:35 - 00:05:37] 内存提升大约9倍
[00:05:37 - 00:05:39] 内存带宽提升大约5倍
[00:05:39 - 00:05:42] 再加上针对关键运算的五倍效率优化
[00:05:42 - 00:05:44] 最终在Sulfmax这类核心任务上
[00:05:44 - 00:05:47] 实现了40倍的性能飞跃
[00:05:47 - 00:05:49] 不过马斯克也明确地表示
[00:05:49 - 00:05:51] 当前的AI4芯片
[00:05:51 - 00:05:53] 已经足够实现比人类安全2-3倍
[00:05:53 - 00:05:56] 甚至10倍的完全自动驾驶
[00:05:56 - 00:05:58] 关键在于FSD软件的升级
[00:05:58 - 00:05:59] 因此
[00:05:59 - 00:06:01] 即将推出的FSDV14版本
[00:06:01 - 00:06:04] 将是自V12以来最大规模的一次更新
[00:06:04 - 00:06:07] 这次更新有三个核心的改进
[00:06:07 - 00:06:10] 一是模型参数量会增加一个数量级
[00:06:10 - 00:06:14] 更多的参数意味着模型能够学习到更复杂的路况规律
[00:06:14 - 00:06:18] 比如在暴雨天气下识别被击水覆盖的车道线
[00:06:18 - 00:06:20] 二是大规模应用强化学习技术
[00:06:20 - 00:06:23] 简单来说就是让AI通过试措
[00:06:23 - 00:06:24] 不断优化决策
[00:06:24 - 00:06:27] 比如在遇到突发横穿马路的行人时
[00:06:27 - 00:06:30] AI会通过模拟不同刹车力度的后果
[00:06:30 - 00:06:32] 找到既不追尾前车
[00:06:32 - 00:06:34] 又能避开行人的最优方案
[00:06:34 - 00:06:37] 三是解决了数据压缩的有损问题
[00:06:37 - 00:06:39] 过去FSD在压缩路况数据时
[00:06:40 - 00:06:41] 会丢失部分细节
[00:06:41 - 00:06:43] 比如远处交通灯的颜色变化
[00:06:44 - 00:06:46] 而V14通过新的压缩算法
[00:06:46 - 00:06:49] 能让AI无损的理解和压缩现实世界信息
[00:06:49 - 00:06:52] 减少因为数据丢失导致的判断失误
[00:06:52 - 00:06:54] 对于星链Starlink的发展
[00:06:54 - 00:06:55] 马斯克在访谈中认为
[00:06:55 - 00:06:57] 星链最终的效果
[00:06:57 - 00:06:59] 应该是让用户能够在任何地方
[00:06:59 - 00:07:01] 用手机来观看视频
[00:07:01 - 00:07:02] 为了实现这个目标
[00:07:02 - 00:07:05] SpaceX前不久完成了一笔关键的收购
[00:07:05 - 00:07:07] 以大约170亿美元的价格
[00:07:07 - 00:07:13] 从iCosTA公司EcoStar手中买下了AWS4频段和Hblock平谱的许可证
[00:07:13 - 00:07:15] 这两个许可的作用至关重要
[00:07:15 - 00:07:18] 他们能让星链卫星直接与普通的智能手机通信
[00:07:18 - 00:07:21] 而无需用户在额外的购买专用设备
[00:07:21 - 00:07:23] 但是要实现星链直连手机
[00:07:23 - 00:07:25] 还需要解决两个并行问题
[00:07:25 - 00:07:28] 第一个是手机硬件的升级
[00:07:28 - 00:07:30] 目前市面上的手机芯片组
[00:07:30 - 00:07:31] 比如高通骁龙
[00:07:31 - 00:07:34] 连发科天机并不支持这两个新的频段
[00:07:34 - 00:07:37] 所以SpaceX正在与手机制造商合作
[00:07:37 - 00:07:39] 将对新频段的支持
[00:07:39 - 00:07:41] 集成到下一代的手机芯片中
[00:07:41 - 00:07:42] 马斯克预计
[00:07:42 - 00:07:45] 支持星链功能的手机将在两年后开始出货
[00:07:45 - 00:07:46] 也就是说
[00:07:46 - 00:07:48] 最快2027年
[00:07:48 - 00:07:51] 我们可能买到能直接连接星链卫星的手机
[00:07:52 - 00:07:54] 第二个是卫星硬件升级
[00:07:54 - 00:07:56] 现有星链卫星的通信模块
[00:07:56 - 00:07:57] 无法适配新的频段
[00:07:57 - 00:08:01] SpaceX需要研发并且发射新一代的星链卫星
[00:08:01 - 00:08:04] 这类卫星除了要支持新的频段以外
[00:08:04 - 00:08:06] 还需要提升信号覆盖范围与带宽
[00:08:06 - 00:08:10] 毕竟要满足全球数十亿手机用户的通信需求
[00:08:10 - 00:08:13] 单颗卫星的容量必须大幅提升
[00:08:13 - 00:08:14] 马斯克透露
[00:08:14 - 00:08:17] 新一代卫星的研发已经进入了关键阶段
[00:08:17 - 00:08:20] 未来会与手机硬件升级同步推进
[00:08:20 - 00:08:23] 确保卫星与手机同时具备通信能力
[00:08:23 - 00:08:24] 当这两个问题解决后
[00:08:24 - 00:08:27] 星链将提供覆盖全球的统一通信服务
[00:08:27 - 00:08:30] 用户可以直接与星链签订套餐
[00:08:30 - 00:08:33] 同时享受家庭高速宽带与手机全球慢游
[00:08:33 - 00:08:35] 这样,无论你是在南极科考战
[00:08:35 - 00:08:38] 沙漠游田,还是远洋货轮上
[00:08:38 - 00:08:41] 只要能看到天空,就能用手机上网
[00:08:41 - 00:08:42] 打电话,看视频
[00:08:42 - 00:08:46] 彻底摆脱对ATT, Verizon等地区性运营商的依赖
[00:08:46 - 00:08:48] 但是马斯克也强调
[00:08:48 - 00:08:50] 星链的目标不是让传统运营商破产
[00:08:50 - 00:08:54] 因为传统运营商仍然拥有大量的平补资源
[00:08:54 - 00:08:56] 而星链更像是一名补充者
[00:08:56 - 00:08:59] 为用户提供传统运营商覆盖不到的服务
[00:08:59 - 00:09:02] 当被问到是否会收购像Virgin这样的运营商
[00:09:02 - 00:09:04] 来获取更多平补的时候
[00:09:04 - 00:09:06] 马斯克笑着说,并非不可能
[00:09:06 - 00:09:10] 这也为新链未来的发展留下了想象空间
[00:09:10 - 00:09:12] 我们再来说说新建Sarship
[00:09:12 - 00:09:14] 马斯克在访谈中给出了一个承诺
[00:09:14 - 00:09:18] 那就是SpaceX明年将展示完全的可复用性
[00:09:18 - 00:09:21] 并且将超过100吨的载赫送入有效轨道
[00:09:21 - 00:09:24] 应该说,完全可复用火箭
[00:09:24 - 00:09:26] 是航天领域追求了半个多世纪的目标
[00:09:26 - 00:09:31] 而星舰一旦实现,将彻底改变人类进入太空的成本与方式
[00:09:31 - 00:09:35] 目前,星舰项目正从V2版本过渡到大规模升级的V3版本
[00:09:35 - 00:09:38] V3的核心改进有两个
[00:09:38 - 00:09:42] 一是采用全新的猛擎3号发动机,相比前代,推力更大
[00:09:42 - 00:09:46] 燃料效率更高,二是对火箭整体结构进行重构
[00:09:46 - 00:09:48] 优化箭体的重量与气动布局
[00:09:48 - 00:09:53] 目前商业航天领域的运力王者,是SpaceX的列英重型Falcon Heavy火箭
[00:09:53 - 00:09:55] 在部分附用的情况下
[00:09:55 - 00:09:57] 它的进地轨道运力大约为40吨
[00:09:57 - 00:10:00] 而完全可附用的新建V3
[00:10:00 - 00:10:02] 进地轨道运力将超过100吨
[00:10:02 - 00:10:04] 是列印重型的2.5倍以上
[00:10:04 - 00:10:06] 但是要实现完全可附用
[00:10:06 - 00:10:09] 最大的技术障碍是轨道及隔热罩
[00:10:09 - 00:10:10] 马斯克直言
[00:10:10 - 00:10:12] 从来没有人制造过完全可附用的
[00:10:12 - 00:10:14] 轨道及隔热罩
[00:10:14 - 00:10:17] 之前航天飞机的隔热就是反例
[00:10:17 - 00:10:20] 每次飞行后需要9个月的人工减修
[00:10:20 - 00:10:21] 更换损坏的瓦片
[00:10:21 - 00:10:23] 成本极高而且效率低下
[00:10:23 - 00:10:26] 根本无法满足快速附用的需求
[00:10:26 - 00:10:29] 因此,星间的隔热罩需要满足五个严苛条件
[00:10:29 - 00:10:32] 第一,能够承受在入大气层时的高温
[00:10:32 - 00:10:35] 当航天气从太空返回地球的时候
[00:10:35 - 00:10:38] 与大气摩擦会产生超过两千摄氏度的高温
[00:10:38 - 00:10:40] 相当于火山喷发的温度
[00:10:40 - 00:10:42] 第二,质量极清
[00:10:42 - 00:10:44] 火箭的运力有限
[00:10:44 - 00:10:47] 隔热罩太重会挤占有效在和的空间
[00:10:47 - 00:10:49] 第三,隔热性能强
[00:10:49 - 00:10:51] 不能让高温传导到箭体内部
[00:10:51 - 00:10:53] 否则会烧毁燃料箱与设备
[00:10:53 - 00:10:55] 第四 兼顾耐用
[00:10:55 - 00:10:57] 要能抵御发射时的雨水侵蚀
[00:10:57 - 00:10:59] 太空的微影石撞击
[00:10:59 - 00:11:01] 第五 无需单片检查
[00:11:01 - 00:11:04] 星箭表面有上万片隔肉啊
[00:11:04 - 00:11:06] 如果每片都需要人工检查
[00:11:06 - 00:11:08] 复用效率就会极低
[00:11:08 - 00:11:09] 所以需要通过技术手段
[00:11:09 - 00:11:11] 来实施监测瓦片的状态
[00:11:11 - 00:11:12] 马斯克形容
[00:11:12 - 00:11:14] 制造完全可复用的轨道及火箭
[00:11:14 - 00:11:17] 是有史以来最难的工程问题之一
[00:11:17 - 00:11:21] 但是这也是SpaceX自2002年成立以来的终极目标
[00:11:21 - 00:11:23] 因为一旦星舰实现完全可负用
[00:11:23 - 00:11:26] 太空旅行的成本将降低两个数量级
[00:11:26 - 00:11:30] 目前发射一公斤再合到晋地轨道的成本大约为一万美元
[00:11:30 - 00:11:33] 而星舰能将它降到一百美元以下
[00:11:33 - 00:11:35] 这种成本的下降
[00:11:35 - 00:11:37] 不仅能让卫星发射
[00:11:37 - 00:11:38] 太空旅游更为普及
[00:11:38 - 00:11:42] 也能为火星移民的梦想奠定更坚实的基础
[00:11:42 - 00:11:44] 毕竟要想在火星舰里城市
[00:11:44 - 00:11:47] 就需要向火星运送大量设备与人员
[00:11:47 - 00:11:49] 只有低成本的火舰
[00:11:49 - 00:11:51] 才能够实现,谈到AI的发展
[00:11:51 - 00:11:53] 马斯科预测,我们可能最快在明年
[00:11:53 - 00:11:57] 就会拥有,在任何方面,都比任何单个人类
[00:11:57 - 00:11:58] 都更聪明的AI
[00:11:58 - 00:12:02] 而到了2030年,AI会比全人类的总和还要聪明
[00:12:02 - 00:12:04] 而它旗下的XAI公司
[00:12:04 - 00:12:07] 正在通过Groc模型的研发,推动这一进程
[00:12:07 - 00:12:11] Groc的核心创新,在于用AI来优化AI训练数据
[00:12:11 - 00:12:14] 传统像Chat GPT这样的大模型
[00:12:14 - 00:12:17] 主要依赖爬虫抓取的网络数据进行训练
[00:12:17 - 00:12:19] 但是这些数据存在着大量的错误
[00:12:19 - 00:12:21] 偏见与重复内容
[00:12:21 - 00:12:23] 导致模型的输出不准确
[00:12:23 - 00:12:26] 而Grug主要采用了合成数据生成的方式
[00:12:26 - 00:12:29] 首先,Grug会审查每一条原始数据
[00:12:29 - 00:12:31] 然后判断数据的真实性、完整性
[00:12:31 - 00:12:33] 接着,重写这些数据
[00:12:33 - 00:12:35] 纠正其中的错误内容
[00:12:35 - 00:12:36] 补充遗漏信息
[00:12:36 - 00:12:38] 去除偏见表述等待
[00:12:38 - 00:12:41] 最后,用这些高质量的合成数据
[00:12:41 - 00:12:42] 来训练自己
[00:12:42 - 00:12:44] 对于AI能力的发展规律
[00:12:44 - 00:12:47] 马斯克认为会遵循对数的关系
[00:12:47 - 00:12:48] 也就是需要10倍的算力
[00:12:48 - 00:12:50] 才能让AI的智能水平翻倍
[00:12:50 - 00:12:52] 但是即便如此
[00:12:52 - 00:12:54] 这种飞跃仍然是巨大的
[00:12:54 - 00:12:55] 马斯克还预测
[00:12:55 - 00:12:57] AI的进化没有终点
[00:12:57 - 00:12:59] 未来人类可能会利用整个星系的能源
[00:12:59 - 00:13:01] 来进行AI计算
[00:13:01 - 00:13:03] 也就是进入到卡尔达肖夫提出的
[00:13:03 - 00:13:05] 突击文明和综集文明
[00:13:05 - 00:13:05] 最后
[00:13:05 - 00:13:08] 马斯克在访谈中对西方文明提出了批评
[00:13:08 - 00:13:11] 认为如今西方的行为正与自杀无异
[00:13:11 - 00:13:15] 他认为西方社会正面临三个相互关联的危机
[00:13:15 - 00:13:18] 如果不解决,将会导致文明衰退
[00:13:18 - 00:13:20] 第一个危机是低声预律
[00:13:20 - 00:13:23] 马斯克直言,低声预律是最明显的自杀症状
[00:13:23 - 00:13:26] 一个文明如果无法反映后代
[00:13:26 - 00:13:27] 最终会走向消亡
[00:13:27 - 00:13:30] 他解释到,生孩子这件事情本身
[00:13:30 - 00:13:32] 就是对未来的乐观投票
[00:13:32 - 00:13:35] 当一个社会的人们普遍不愿意生孩子的时候
[00:13:35 - 00:13:37] 说明他们对未来缺乏信心
[00:13:37 - 00:13:40] 以欧洲为例,多个国家的生育率已经低于1.5
[00:13:40 - 00:13:44] 有些国家甚至出现了人口负增长不可逆的趋势
[00:13:44 - 00:13:45] 马斯克认为
[00:13:45 - 00:13:48] 这种现象背后是对未来的悲观预期
[00:13:48 - 00:13:50] 年轻人担心房价过高
[00:13:50 - 00:13:51] 工作不稳定
[00:13:51 - 00:13:52] 社会福利缩水
[00:13:52 - 00:13:53] 所以不愿生育
[00:13:53 - 00:13:55] 但是他也指出
[00:13:55 - 00:13:57] 生育率是文明的情语表
[00:13:57 - 00:14:00] 如果一个文明连反眼后代的信心都没有
[00:14:00 - 00:14:02] 何谈长远的发展呢
[00:14:02 - 00:14:05] 第二个危机是开放边境带来的文化冲突
[00:14:05 - 00:14:07] 马斯克特别提到欧洲的情况
[00:14:07 - 00:14:09] 大规模移民涌入后
[00:14:09 - 00:14:13] 由于缺乏有效的童话政策,不同文化之间的矛盾逐渐凸显
[00:14:13 - 00:14:18] 比如,部分移民群体保留着自己的宗教习俗和生活方式
[00:14:18 - 00:14:21] 与欧洲本土的世俗文化、价值观产生碰撞
[00:14:21 - 00:14:24] 甚至引发了严重的社会秩序问题
[00:14:24 - 00:14:28] 他认为,文明的核心是共同的价值观和文化认同
[00:14:28 - 00:14:32] 当本土文化被不断稀释,社会的凝聚力就会下降
[00:14:32 - 00:14:34] 最终导致文明的根基动摇
[00:14:34 - 00:14:37] 第三个危机是普遍的悲观情绪
[00:14:37 - 00:14:39] 马斯克在访谈中反问主持人
[00:14:39 - 00:14:42] 你上一次遇到一个生活在欧洲
[00:14:42 - 00:14:44] 并且对未来感到乐观的人是什么时候?
[00:14:44 - 00:14:46] 答案往往是几十年前
[00:14:46 - 00:14:47] 他解释说
[00:14:47 - 00:14:50] 这种悲观情绪并不是凭空产生的
[00:14:50 - 00:14:52] 随着经济增长的放缓
[00:14:52 - 00:14:53] 社会福利削减
[00:14:53 - 00:14:55] 地缘政治冲突不断
[00:14:55 - 00:14:57] 让人们对未来失去了期待
[00:14:57 - 00:14:58] 而当人们陷入悲观的时候
[00:14:58 - 00:15:01] 就会失去创新的动力和奋斗的热情
[00:15:01 - 00:15:04] 整个社会就会陷入躺平的恶性循环
[00:15:04 - 00:15:06] 文明的进步自然会停滞
[00:15:06 - 00:15:11] 在马斯克看来,这三个危机的根源都是信仰的缺失
[00:15:11 - 00:15:12] 他引用了一句经典的话
[00:15:12 - 00:15:14] 自然厌恶真空
[00:15:14 - 00:15:17] 当传统宗教所提供的精神寄托逐渐消失
[00:15:17 - 00:15:21] 而新的、积极的哲学体系又没有建立起来的时候
[00:15:21 - 00:15:24] 一些具有破坏性的违信仰,就会趁虚而入
[00:15:24 - 00:15:26] 比如觉醒思想病毒
[00:15:26 - 00:15:30] 这种思想会强调身份政治和历史虚无主义
[00:15:30 - 00:15:33] 将社会矛盾简单归因于压迫与被压迫
[00:15:33 - 00:15:35] 这不仅无法解决问题
[00:15:35 - 00:15:37] 反而会加剧社会的分裂
[00:15:37 - 00:15:39] 让人们陷入无休止的内耗
[00:15:39 - 00:15:40] 面对这样的困局
[00:15:40 - 00:15:42] 马斯克提出的解决方案是
[00:15:42 - 00:15:44] 从根本上重塑哲学认知
[00:15:44 - 00:15:47] 他将这种新的哲学称为好奇心哲学
[00:15:47 - 00:15:49] 核心理念是
[00:15:49 - 00:15:52] 让人类重新找回对宇宙的好奇与探索欲
[00:15:52 - 00:15:53] 马斯克认为
[00:15:53 - 00:15:56] 人类之所以能够从原始部落发展到现代文明
[00:15:56 - 00:15:59] 本质上是因为对未知的渴望
[00:15:59 - 00:16:01] 我们好奇心性为什么会发光
[00:16:01 - 00:16:03] 所以发明了天文望远境
[00:16:03 - 00:16:05] 我们好奇大海的另一边是什么
[00:16:05 - 00:16:07] 所以开启了大航海时代
[00:16:07 - 00:16:08] 我们好奇生命的奥秘
[00:16:08 - 00:16:11] 所以推动了医学和生物学的进步
[00:16:11 - 00:16:11] 而现在
[00:16:11 - 00:16:13] 这种探索精神
[00:16:13 - 00:16:15] 正在被悲观情绪和内耗所取代
[00:16:15 - 00:16:17] 所以需要被重新点燃
[00:16:17 - 00:16:19] 好奇心哲学的终极目标
[00:16:19 - 00:16:22] 是扩展意识的范围和规模
[00:16:22 - 00:16:24] 这个概念听起来有些抽象
[00:16:24 - 00:16:27] 马斯克在访谈中也做了具体的解释
[00:16:27 - 00:16:27] 比如
[00:16:27 - 00:16:30] 当人类成功在火星建立基地后
[00:16:30 - 00:16:33] 我們的意識範圍就從地球擴展到了火星
[00:16:33 - 00:16:36] 當我們通過AI理解了更複雜的宇宙規律
[00:16:36 - 00:16:39] 我們的意識規模就從人類個體的認知
[00:16:39 - 00:16:41] 提升到了超越個體的集體智能
[00:16:41 - 00:16:44] 簡單來說就是讓人類的存在
[00:16:44 - 00:16:46] 不再局限於地球這顆小小的星球
[00:16:46 - 00:16:49] 而是成為能夠影響整個宇宙的智慧生命
[00:16:49 - 00:16:51] 而實現這個目標的具體路徑
[00:16:51 - 00:16:54] 就是讓人類成為多行星物種
[00:16:54 - 00:16:56] 在火星上建立自我維持的城市
[00:16:56 - 00:16:58] 馬斯克強調
[00:16:58 - 00:17:00] 這不僅僅是為了規避地球災難
[00:17:00 - 00:17:04] 虽然地球确实面临着战争、病毒、小行星撞击等潜在风险
[00:17:05 - 00:17:06] 但是更重要的
[00:17:06 - 00:17:08] 是要确保意识在宇宙中延续
[00:17:08 - 00:17:09] 它认为
[00:17:09 - 00:17:12] 意识是宇宙中最珍贵的东西之一
[00:17:12 - 00:17:14] 我们目前还没有发现任何外星文明的存在
[00:17:15 - 00:17:16] 这意味着人类的意识
[00:17:16 - 00:17:19] 可能是宇宙中独一无二的智慧活种
[00:17:19 - 00:17:20] 所以
[00:17:20 - 00:17:21] 我们有责任保护这个活种
[00:17:21 - 00:17:23] 让它不仅能在地球上生存
[00:17:24 - 00:17:26] 更能在更广阔的宇宙中生根发芽
[00:17:27 - 00:17:29] 关于火星城市的建设时间表
[00:17:29 - 00:17:31] 马斯克给出了一个肯定的判断
[00:17:31 - 00:17:34] 那就是在地球45亿年的历史中
[00:17:34 - 00:17:37] 让人类生命多行星化的机会之窗
[00:17:37 - 00:17:38] 现在第一次打开了
[00:17:38 - 00:17:39] 他解释说
[00:17:39 - 00:17:41] 这个机会之窗的出现
[00:17:41 - 00:17:42] 得益于科技的进步
[00:17:42 - 00:17:44] 比如星间的可附用技术
[00:17:44 - 00:17:46] 生命支持系统的突破
[00:17:46 - 00:17:48] 以及火星资源利用技术的发展
[00:17:48 - 00:17:51] 如果星间项目能够按计划推进
[00:17:51 - 00:17:52] 它预计30年内
[00:17:52 - 00:17:55] 也就是10-15个火星转移窗口
[00:17:55 - 00:17:56] 26个月之后
[00:17:56 - 00:17:58] 就能实现火星城市的自我维持
[00:17:58 - 00:18:00] 马斯克在访谈的最后强调
[00:18:00 - 00:18:04] 人类文明现在正站在生死攸关的岔路口
[00:18:04 - 00:18:06] 一条路是继续沉溺于内耗和悲观
[00:18:06 - 00:18:08] 最终走向文明的衰退
[00:18:08 - 00:18:11] 另一条路是从事探索精神
[00:18:11 - 00:18:12] 通过成为星际物种
[00:18:12 - 00:18:14] 开启文明的新篇章
[00:18:14 - 00:18:15] 而它所做的一切
