BV号：BV1epdgYPEha
标题：BV1epdgYPEha
链接：https://www.bilibili.com/video/BV1epdgYPEha
识别语言：zh
语言置信度：1
分段数：523
生成时间：2026-08-30 09:14:04

[00:00:00 - 00:00:02] 大家好 这里是最佳拍档 我是大飞
[00:00:02 - 00:00:05] 前几天 有观众在评论中留言
[00:00:05 - 00:00:07] 想了解GPU租赁市场的情况
[00:02:00 - 00:02:03] 从而有效防范了容器逃避漏洞所带来的风险
[00:02:03 - 00:02:05] 在集群的生命周期管理方面
[00:02:05 - 00:02:07] 它的操作也非常的严格
[00:02:07 - 00:02:08] 在部署阶段
[00:02:08 - 00:02:12] 所有节点都要经过高温环境下的NCCL测试
[00:02:12 - 00:02:15] 和IBRIGHT BW带宽验证等烧机测试
[00:02:15 - 00:02:18] 不符合标准的节点会被自动隔离检修
[00:02:18 - 00:02:19] 在运行期间
[00:02:19 - 00:02:22] 会同步进行全面的被动健康检查
[00:02:22 - 00:02:24] 和每周自行执行的主动健康检查
[00:02:25 - 00:02:26] 这些检查的结果
[00:02:26 - 00:02:28] 会实时反映在可实化的仪表盘上
[00:02:28 - 00:02:31] 客户能够清楚的看到极点的健康状态
[00:02:31 - 00:02:32] 在调度系统上
[00:02:32 - 00:02:34] 它提供了开箱机用的拖管
[00:02:34 - 00:02:36] Slam和Couplness解决方案
[00:02:36 - 00:02:38] 尤其是Sunk架构
[00:02:38 - 00:02:40] 能够让客户在统一的环境中
[00:02:40 - 00:02:41] 调度训练和推理任务
[00:02:41 - 00:02:43] 还可以自动生成拓布配置
[00:02:43 - 00:02:45] 优化NCCR的集体通信性能
[00:02:45 - 00:02:47] 在网络性能方面
[00:02:47 - 00:02:49] 它是全球少数几家正确配置了
[00:02:49 - 00:02:51] InfinipandSharp协议的服务商
[00:02:51 - 00:02:53] 能够实现网络内聚合计算
[00:02:53 - 00:02:56] 目前只有少数客户能够充分利用这个功能
[00:02:56 - 00:02:59] 像Mata,Jane Street等技术密集型的企业
[00:02:59 - 00:03:01] 都把CoV-AV作为首选
[00:03:01 - 00:03:04] 这是因为它能够让企业专注于模型的开发
[00:03:04 - 00:03:06] 而不用操心底层基础设施的问题
[00:03:06 - 00:03:09] 不过CoV-AV主要面向长期租赁的
[00:03:09 - 00:03:10] 大规模集群客户
[00:03:10 - 00:03:12] 如果是短期的租赁需求
[00:03:12 - 00:03:14] 可能需要考虑其他灵活性更高的服务商
[00:03:14 - 00:03:17] 金牌服务的服务商也各有优势
[00:03:17 - 00:03:20] 比如说Crucil在过去7个月的表现十分亮眼
[00:03:20 - 00:03:22] 它的控制台UI简洁易用
[00:03:22 - 00:03:25] 让资源管理和部署都变得更加简单
[00:03:25 - 00:03:27] 当遇到GPU总线错误的时候
[00:03:27 - 00:03:28] 它能够自动检测问题
[00:03:28 - 00:03:30] 预留备用节点
[00:03:30 - 00:03:31] 还会指导用户完成迁移
[00:03:31 - 00:03:33] 极大地提升了用户体验
[00:03:33 - 00:03:36] 之前Crucil由于缺乏完全托管的Slam解决方案
[00:03:36 - 00:03:38] 用户需要通过Tirefarm脚本
[00:03:38 - 00:03:40] 手动设置Slam机群
[00:03:40 - 00:03:42] 但是它的白手套服弥补了这个部族
[00:03:42 - 00:03:45] 工程师会亲自处理Slam部署
[00:03:45 - 00:03:46] 最近在GTC上
[00:03:46 - 00:03:49] Cruzo还宣布了全新的托管Slam产品
[00:03:49 - 00:03:50] AutoClusters
[00:03:50 - 00:03:53] 承诺将进一步减化用户的工作流
[00:03:53 - 00:03:55] 还会自动生成SlamTOP配置
[00:03:55 - 00:03:56] 优化NCCL性能
[00:03:56 - 00:03:58] 检测到不健康节点的时候
[00:03:58 - 00:03:59] 也能够自动替换
[00:03:59 - 00:04:02] 同时Cruzo已经提供了完全托管的
[00:04:02 - 00:04:02] Cruzness服务
[00:04:02 - 00:04:05] 方便用户部署和扩展容器化的工作负载
[00:04:05 - 00:04:08] 不过在监控和可靠性方面
[00:04:08 - 00:04:11] 它目前只实施了基本的被动健康检查
[00:04:11 - 00:04:12] 还没有引入自动化的
[00:04:12 - 00:04:13] 每周主动健康检查
[00:04:13 - 00:04:16] 不过他们表示正在积极的开发
[00:04:16 - 00:04:17] 很快就会集成到产品中
[00:04:17 - 00:04:20] 目标是达到Covaip的健康水平
[00:04:20 - 00:04:22] 在定价和合同条款方面
[00:04:22 - 00:04:25] Hoso提供的中短期合同很有竞争力
[00:04:25 - 00:04:27] 比较适合出创企业和部分企业客户
[00:04:27 - 00:04:30] 虽然价格和条款不如Nabuse优惠
[00:04:30 - 00:04:33] 但是对于那些追求减化UI和良好用户体验的
[00:04:33 - 00:04:35] 快速发展的出创公司来说
[00:04:35 - 00:04:36] Hoso还是很有吸引力的
[00:04:36 - 00:04:39] Nabuse则以市场最低的价格注称
[00:04:39 - 00:04:40] 它之所以能做到这一点
[00:04:40 - 00:04:42] 得以其强大的财务优势
[00:04:42 - 00:04:44] 不仅拥有数十亿美元的资产负债表
[00:04:44 - 00:04:46] 而且没有债务负担
[00:04:46 - 00:04:48] Nabios采用定制化的ODM机箱
[00:04:48 - 00:04:50] 选择直接与ODM合作
[00:04:50 - 00:04:52] 绕过了传统的OEM供应商
[00:04:52 - 00:04:55] 将毛利率从行业主流的10%-15%
[00:04:55 - 00:04:57] 降低到了大约2%
[00:04:57 - 00:05:00] 大大降低了初始的硬件投资和持续的运营成本
[00:05:00 - 00:05:03] 他还创新性地提供了将H100
[00:05:03 - 00:05:05] 无缝过度到B200部署的服务
[00:05:05 - 00:05:07] 不过Nabios也有自己的短板
[00:05:07 - 00:05:10] 他的前身是俄罗斯的云服务商
[00:05:10 - 00:05:11] 虽然技术团队实力很强
[00:05:11 - 00:05:14] 但是在用户体验方面有所欠缺
[00:05:14 - 00:05:17] 它的按需H100SXM GPU的价格
[00:05:17 - 00:05:19] 虽然低至每小时1.5美元
[00:05:19 - 00:05:22] 但是很多用户还是更倾向于Lambda Labs
[00:05:22 - 00:05:25] 就是因为Nebius的UI和用户体验过于复杂
[00:05:25 - 00:05:26] 不够直观
[00:05:26 - 00:05:29] 目前 Nebius提供完全托管的Coubenace解决方案
[00:05:29 - 00:05:33] 但是还没有推出完全自动化的托管Slam产品
[00:05:33 - 00:05:36] 他们也正在开发名为Soperator的Slam解决方案
[00:05:36 - 00:05:39] 里面包含基础的被动和主动健康检查
[00:05:39 - 00:05:41] 但是还没有达到行业领先标准的水平
[00:05:41 - 00:05:43] 为了提升竞争力
[00:05:43 - 00:05:45] Nebius还需要进一步的投资
[00:05:45 - 00:05:46] 完善每周计划健康检查
[00:05:46 - 00:05:49] 推出更高级的Granfana仪表函
[00:05:49 - 00:05:51] OrcoCloud Infrastructure
[00:05:51 - 00:05:52] 简称OCI
[00:05:52 - 00:05:54] 在测试中的GPU体验也很不错
[00:05:54 - 00:05:57] 被广泛认为是4大hyperscaler中
[00:05:57 - 00:05:58] 性价比最高的选择
[00:05:58 - 00:06:00] 它的GPU服务通过OCI市场
[00:06:00 - 00:06:03] 提供一键部署的OCI HPC stack
[00:06:03 - 00:06:05] 涵盖Slam和监控功能
[00:06:05 - 00:06:07] 不过OCI的Slam解决方
[00:06:07 - 00:06:09] 目前还不是完全拖拐的
[00:06:09 - 00:06:12] 需要1-2名OCI解决方案价购师提供支持
[00:06:12 - 00:06:14] 在监控和可高性方面
[00:06:14 - 00:06:15] OCI表现良好
[00:06:15 - 00:06:17] 它的Slam HPC Stack市场产品
[00:06:17 - 00:06:21] 包含DCGM、Graphon的监控和被动健康检查
[00:06:21 - 00:06:23] 但是缺乏高级的主动健康检查
[00:06:23 - 00:06:25] 和自动化节点的生命周期管理功能
[00:06:25 - 00:06:28] 不过OCI已经确认这些功能正在开发中
[00:06:28 - 00:06:30] 预计在今年的第二季都完成
[00:06:30 - 00:06:32] OCI的自动化拓扑配置
[00:06:32 - 00:06:34] 支持拓扑感知调度
[00:06:34 - 00:06:35] 能够提升网络的性能
[00:06:35 - 00:06:39] 这是很多新型的云服务提供商都没有重视的功能
[00:06:39 - 00:06:41] 它的ROC网络性能经过调油之后
[00:06:41 - 00:06:44] 可以与Spectrum X以太网竞争
[00:06:44 - 00:06:48] 但是在某些NCCL版本上仍然存在性能回归的问题
[00:06:48 - 00:06:50] 另外OCI的支持和服务团队
[00:06:50 - 00:06:53] 以技术专业性和以客户为中心的态度注称
[00:06:53 - 00:06:54] 作为Hyper Scaler
[00:06:54 - 00:06:59] 他们还提供数据库、对象存储和CPU虚拟机等全套的服务
[00:06:59 - 00:07:01] 用户不用在不同的云平台间签一数据
[00:07:01 - 00:07:04] 而且长期租立OCI的计算资源
[00:07:04 - 00:07:06] 通常还会附带市场合作机会
[00:07:06 - 00:07:08] 帮助客户拓展业务
[00:07:08 - 00:07:09] 在安全性方面
[00:07:09 - 00:07:10] OCI也表现出色
[00:07:10 - 00:07:12] 提供企业级标准的安全措施
[00:07:12 - 00:07:14] 包括强大的租户网络隔离
[00:07:14 - 00:07:16] 基于ROCE VR结构的VLAN隔离
[00:07:16 - 00:07:19] 以及基于Infinite版的结构的PK隔离
[00:07:19 - 00:07:22] Togad AI在GPU云市场中也表现突出
[00:07:22 - 00:07:25] 它的集群服务本身达到了ClusterMax银牌的水平
[00:07:25 - 00:07:28] 但是凭借卓业的支持和技术专场
[00:07:28 - 00:07:29] 最终被评为金牌级
[00:07:29 - 00:07:33] Togad AI的团队由Flash Attention的发明者特里道领导
[00:07:33 - 00:07:36] 他们的Togad Colono Collection TKC
[00:07:36 - 00:07:38] 可以显著地提升客户的性能
[00:07:38 - 00:07:41] 此外它还提供直观的托管Slam和Crubrinace解决方案
[00:07:41 - 00:07:44] 用户通过一表盘就能够轻松地部署
[00:07:44 - 00:07:46] 作为英伟达的合作伙伴
[00:07:46 - 00:07:48] Togad AI能在早期获取到新的硬件
[00:07:48 - 00:07:51] 还与英伟达在合作开发优化内核
[00:07:51 - 00:07:53] 不过Togad AI目前缺少Slam环境中
[00:07:53 - 00:07:56] 进行容器管理的Pixis插件
[00:07:56 - 00:07:58] 也缺乏全面的备通健康检查
[00:07:58 - 00:08:00] 和每周计划的主动健康检查
[00:08:00 - 00:08:02] 默认的Graphon的一表盘也比较基础
[00:08:02 - 00:08:05] 目前Techad AI由于依赖于其他GPU
[00:08:05 - 00:08:06] 云提供商的基础设施
[00:08:06 - 00:08:09] 导致问题解决可能会略有延迟
[00:08:09 - 00:08:11] 但是他们计划在今年内部署
[00:08:11 - 00:08:12] 自由的硬件
[00:08:12 - 00:08:13] 摆脱对外部供应商的依赖
[00:08:14 - 00:08:16] Lapton AI由Pytouch的联合创始人创建
[00:08:16 - 00:08:18] 他并不直接拥有GPU
[00:08:18 - 00:08:20] 而是提供机器学习平台的软件层
[00:08:20 - 00:08:23] 来管理GPU和进行健康检查
[00:08:23 - 00:08:26] 用户可以选择通过Lapton AI租赁GPU
[00:08:26 - 00:08:28] 也可以直接从Nebbers等服务商租用GPU
[00:08:28 - 00:08:30] 再购买Laptin AI的平台支持
[00:08:31 - 00:08:32] Laptin AI为训练任务
[00:08:32 - 00:08:35] 提供了类似于Slam的作业提交方式
[00:08:35 - 00:08:37] 用户稍作调整就能够适配
[00:08:37 - 00:08:38] 它的控制台仪表盘
[00:08:38 - 00:08:40] 能够可视化节点的生命周期
[00:08:40 - 00:08:42] 功能仅次于Covil的仪表盘
[00:08:42 - 00:08:44] 在被动健康检查方面
[00:08:44 - 00:08:46] Laptin AI会运用自身的开源解决方案
[00:08:46 - 00:08:47] GPUD
[00:08:47 - 00:08:49] 覆盖了大多数的被动检查项目
[00:08:49 - 00:08:51] 还支持手动主动健康检查
[00:08:51 - 00:08:54] 但是没有提供每周自动计划检查
[00:08:54 - 00:08:55] 和参考性能数据
[00:08:55 - 00:08:57] Laptin AI的Beta功能
[00:08:57 - 00:08:59] 包含零影响NCCL分析器
[00:08:59 - 00:09:01] 用户只需要勾选附近框就能够启用
[00:09:01 - 00:09:04] 从而帮助可实化集群的操作平静
[00:09:04 - 00:09:05] 优化网络性能
[00:09:05 - 00:09:06] 接下来我们来看看
[00:09:06 - 00:09:08] 银牌级别的GPU云提供商
[00:09:08 - 00:09:11] 这些服务商在性能安全和价值方面
[00:09:11 - 00:09:12] 表现上课
[00:09:12 - 00:09:14] 但是和金牌级、博精级比起来
[00:09:14 - 00:09:15] 还是有明显的差距
[00:09:15 - 00:09:18] AWS的GPU云基础设施的可靠性不错
[00:09:18 - 00:09:21] 但是网络性能长期落后于Infinite Band
[00:09:21 - 00:09:23] 和Spatrum X以太往
[00:09:23 - 00:09:26] 今晚AWS通过EFAV3网络的改进缩小了差距
[00:09:26 - 00:09:28] 但是在实际的NCCL测试中
[00:09:28 - 00:09:30] 还是比不上顶级的方案
[00:09:30 - 00:09:32] AWS提供了名为HyperPOD的
[00:09:32 - 00:09:34] 脱管slurve和Crubrance解决方案
[00:09:34 - 00:09:36] 减化了集群的部署
[00:09:36 - 00:09:38] 但是缺乏自动化的主动健康检查
[00:09:38 - 00:09:40] 比如说NCCL测试
[00:09:40 - 00:09:41] TinyMag2检测等等
[00:09:41 - 00:09:44] 监控以保盘的功能也比较基础
[00:09:44 - 00:09:46] LambdaLabs也按需GPU实力
[00:09:46 - 00:09:47] 受到开发者的欢迎
[00:09:47 - 00:09:49] 但是用户体验存在着不少的问题
[00:09:49 - 00:09:52] 比如说实力的启动时间长达10分钟
[00:09:52 - 00:09:54] 而Crucil只需要30秒
[00:09:54 - 00:09:57] 而且它的默认枯大工具路径设置是错误的
[00:09:57 - 00:09:59] Lama提供托管Crublance服务
[00:09:59 - 00:10:01] 但是Slim解决方案还不完善
[00:10:01 - 00:10:03] 缺乏PixxXX件等关键的功能
[00:10:03 - 00:10:05] 虽然它的技术团队承诺改进
[00:10:05 - 00:10:08] 但是目前仍然缺少自动化的健康检查
[00:10:08 - 00:10:09] 和高级的监控仪表盘
[00:10:09 - 00:10:12] Firmers Sustainable Metal Cloud SMC
[00:10:12 - 00:10:14] 专注于可持续的AI创新
[00:10:14 - 00:10:16] 采用了寂寞式冷却技术
[00:10:16 - 00:10:19] 宣称H100的功耗低于风冷方案
[00:10:19 - 00:10:21] 在MLPROVE訓練中表現優異
[00:10:21 - 00:10:23] 但是在實際測試中發現
[00:10:23 - 00:10:26] 其GPU的溫度比標準風冷高了10攝氏度
[00:10:26 - 00:10:28] 導致性能降低了1%-2%
[00:10:28 - 00:10:32] SMC是少數支持InfinibandSharp的提供商之一
[00:10:32 - 00:10:34] 但是由於技術門檻較高
[00:10:34 - 00:10:35] 客戶沒有充分利用這項功能
[00:10:35 - 00:10:38] 它的主要問題包括缺少自助部署選項
[00:10:38 - 00:10:40] 和自動化的健康檢查
[00:10:40 - 00:10:42] 也沒有提供基礎的Graphana儀表盤
[00:10:42 - 00:10:44] Skewerade Slurm和Cruelness解決方案
[00:10:44 - 00:10:47] 結合了WASTA Data高性能文件系統
[00:10:47 - 00:10:49] 适合AI和HPC工作负载
[00:10:49 - 00:10:53] 它的技术团队对英伟达Pixx等插件支持良好
[00:10:53 - 00:10:55] 但是由于采用了杜金DJX Hopper机箱
[00:10:55 - 00:10:58] 导致送悠悠成本TCO较高
[00:10:58 - 00:10:59] ScreenWay需要改进的地方
[00:10:59 - 00:11:03] 也包括缺少自助部署工具和自动化健康检查
[00:11:03 - 00:11:05] 以及基础的监控功能不足
[00:11:05 - 00:11:06] 还有一些银牌提供商
[00:11:06 - 00:11:07] 像Datcrunch
[00:11:07 - 00:11:10] 它的单截点按需实力适合开发
[00:11:10 - 00:11:12] 但是生产集群不适合训练和推理
[00:11:12 - 00:11:15] 探测位物的托管Slam和Cruelance
[00:11:15 - 00:11:16] 还处于测试阶段
[00:11:16 - 00:11:18] 正在开发健康检查功能
[00:11:18 - 00:11:20] 未来有可能升级到银牌
[00:11:20 - 00:11:22] 同排级别的GPU云服务提供商
[00:11:22 - 00:11:23] 满足了基本的要求
[00:11:23 - 00:11:25] 但是在多个关键评估领域中
[00:11:25 - 00:11:26] 存在着明显的不足
[00:11:26 - 00:11:28] Google Cloud就是一个典型的例子
[00:11:28 - 00:11:29] 长期以来
[00:11:29 - 00:11:31] 它提供的GPU服务
[00:11:31 - 00:11:32] 在网络性能和开箱
[00:11:32 - 00:11:34] 集用功能方面表现不佳
[00:11:34 - 00:11:35] 2023年4月起
[00:11:35 - 00:11:37] Google Cloud就一直在努力追赶
[00:11:37 - 00:11:40] 2023年8月推出的H100产品A3Hi
[00:11:40 - 00:11:41] 每节点网络带宽
[00:11:41 - 00:11:43] 只有每秒800级币
[00:11:43 - 00:11:44] 而当时其他的竞争对手
[00:11:44 - 00:11:47] 大多数都能够提供每秒3.2TB的网络速度
[00:11:47 - 00:11:50] 这样很多使用A3Hide客户非常不满
[00:11:50 - 00:11:52] 这个阶段可以称为完全不合格阶段
[00:11:52 - 00:11:54] 意识到问题之后
[00:11:54 - 00:11:56] Google Cloud推出了A3Mega
[00:11:56 - 00:11:59] 将每节点网络带宽提升到了每秒1.6TB
[00:11:59 - 00:12:01] 但是还是比经侦对手慢50%
[00:12:01 - 00:12:03] 根据NCCL的测试结果
[00:12:03 - 00:12:05] 在实际消息大脚上
[00:12:05 - 00:12:08] Google Cloud的性能比经侦对手慢两倍
[00:12:08 - 00:12:10] 在端道端训练性能上也受到影响
[00:12:10 - 00:12:12] 比如说在拉马70B训练中
[00:12:12 - 00:12:14] MFU降低了10%
[00:12:14 - 00:12:17] 在8成17B混合专家稀术模型中
[00:12:17 - 00:12:19] MFU降低了15%-20%
[00:12:19 - 00:12:23] 而且这个产品长期不支持LL128协议
[00:12:23 - 00:12:25] 导致实际NCCL网络的性能更差
[00:12:25 - 00:12:27] 用户需要设置复杂的环境辨量
[00:12:27 - 00:12:30] 才能让NCCL网络和插件正常工作
[00:12:30 - 00:12:33] 而且它的死论方案也存在着漏洞
[00:12:33 - 00:12:34] 难以设置
[00:12:34 - 00:12:36] 这个时期可以称为追赶阶段
[00:12:36 - 00:12:37] 2025年1月
[00:12:37 - 00:12:40] Google Cloud推出了A3 Outer实力
[00:12:40 - 00:12:42] 每个节点提供了每秒3.2TB的
[00:12:42 - 00:12:45] RDMA以太網網絡與ConnectX7網卡
[00:12:45 - 00:12:47] 終於讓網絡貸款接近了金融對手
[00:12:48 - 00:12:50] 不過在實際NCCL的集體網絡性能上
[00:12:50 - 00:12:51] 還是略遜一籌
[00:12:52 - 00:12:54] 而且A3 Outro的每個real組大小
[00:12:54 - 00:12:55] 僅為4個節點
[00:12:55 - 00:12:57] 而且很多提供商為32個節點
[00:12:58 - 00:12:59] 這導致進行集體操作的時候
[00:12:59 - 00:13:01] 需要更多的跳數
[00:13:01 - 00:13:02] 產生更多的優色
[00:13:02 - 00:13:03] 性能下降
[00:13:03 - 00:13:06] 目前大多數的JCP客戶和GPU資源
[00:13:06 - 00:13:07] 仍然在使用A3Mega
[00:13:08 - 00:13:11] 意味著大多數客戶仍然面臨著網絡性能不佳的問題
[00:13:11 - 00:13:14] 使用A3Mega的时候性能会降低10%-20%
[00:13:14 - 00:13:16] 到2025年中期
[00:13:16 - 00:13:20] JCP将推出最新的A4B200和A4XGB200实力
[00:13:20 - 00:13:23] 纸面规模将与其他竞争对手持平
[00:13:23 - 00:13:26] 还会继续改进并且推出新的软件功能
[00:13:26 - 00:13:29] 三面Analysis预计到2025年中期
[00:13:29 - 00:13:31] JCP将完成追赶阶段
[00:13:31 - 00:13:32] 有望为行业树立标杆
[00:13:32 - 00:13:34] 重新赢得客户信任
[00:13:34 - 00:13:36] 达到Class的Max 金牌或者是博金的级别
[00:13:36 - 00:13:39] 虽然Google Cloud目前还存在了一些问题
[00:13:39 - 00:13:41] 但是它的安全性是一流的
[00:13:41 - 00:13:44] 包括正确实施了租户网络隔离和传输中加密
[00:13:44 - 00:13:46] 而且它作为完整的云服
[00:13:46 - 00:13:50] 还具有Bigtable、数据库、对象存储和并行文件系统等产品
[00:13:50 - 00:13:52] 方便进行数据处理
[00:13:52 - 00:13:54] 其他同排级别的提供商
[00:13:54 - 00:13:57] 有的没有非测试版本的Slam或者是Coopnet产品
[00:13:57 - 00:14:00] 有的提供的产品存在着漏洞或者没有正确的设置
[00:14:00 - 00:14:04] 一些提供商直到上个月才获得了SLC2的合规认证
[00:14:04 - 00:14:08] 经过测试DataCrunch的按需单接点产品很适合开发工作
[00:14:08 - 00:14:11] Tansel Wave的测试版拖管Slug和拖管Cubanis产品
[00:14:11 - 00:14:14] 正在开发被动和主动健康检查
[00:14:14 - 00:14:16] 未来有可能达到银牌的级别
[00:14:16 - 00:14:19] 最后是不合格级别的GPU云服务提供商
[00:14:19 - 00:14:22] 这部分的服务商主要是没有能够满足
[00:14:22 - 00:14:24] 基本的行业标准和关键的评估指标
[00:14:24 - 00:14:26] 普遍存在着严重的问题
[00:14:26 - 00:14:28] 包括安全措施不足 可高性差
[00:14:28 - 00:14:31] 技术支持有限 以及误导性营销
[00:14:31 - 00:14:34] 很多这一级别的提供商甚至缺乏基本的安全认证
[00:14:34 - 00:14:37] 比如SoC2或者So27001
[00:14:37 - 00:14:40] 一些不合规的服务商在数据存储和传输过程中
[00:14:40 - 00:14:43] 甚至没有采取有效的加密措施
[00:14:43 - 00:14:45] 租户的敏感数据如同在裸奔
[00:14:45 - 00:14:48] 急受到黑客的攻击和恶意窃取
[00:14:48 - 00:14:49] 在可靠性方面
[00:14:49 - 00:14:52] 这些不合格的服务商也表现糟糕
[00:14:52 - 00:14:53] 服务器频繁出现故障
[00:14:53 - 00:14:56] 缺乏有效的故障预警和快速修复机制
[00:14:56 - 00:14:59] 客户提交的作业常常无故的中断
[00:14:59 - 00:15:01] 却没有得到及时的通知和妥善的处理
[00:15:01 - 00:15:03] 有客户反馈
[00:15:03 - 00:15:05] 在使用某个不合格服务商的GPU
[00:15:05 - 00:15:06] 进行重要模型的训练时
[00:15:06 - 00:15:08] 训练到一半突然中断
[00:15:08 - 00:15:09] 而且无法恢复
[00:15:09 - 00:15:11] 之前投入的大量时间和计算资源
[00:15:11 - 00:15:14] 附着东流严重影响了项目进度
[00:15:14 - 00:15:17] 在技术支持方面几乎处于缺失状态
[00:15:17 - 00:15:18] 客户遇到问题的时候
[00:15:18 - 00:15:21] 很难找到专业人员进行咨询和解决
[00:15:21 - 00:15:22] 邮件恢复不及时
[00:15:22 - 00:15:24] 在线客服要么无人响应
[00:15:24 - 00:15:26] 要么对技术问题一问三不知
[00:15:26 - 00:15:27] 此外呢
[00:15:27 - 00:15:29] 还有些服务商存在着物导性营销行为
[00:15:29 - 00:15:32] 宣传时声称拥有高性能的GPU集群
[00:15:32 - 00:15:34] 但是实际提供的设备性能
[00:15:34 - 00:15:35] 远远低于成都的标准
[00:15:35 - 00:15:37] 网络贷款也严重缩水
[00:15:37 - 00:15:39] 用户满怀期待的租用
[00:15:39 - 00:15:40] 却发现根本无法满足
[00:15:40 - 00:15:41] 自己的业务需求
[00:15:41 - 00:15:43] 造成了经济损失
[00:15:43 - 00:15:44] 了解完这些不同等级的
[00:15:44 - 00:15:46] GPU云服提供商
[00:15:46 - 00:15:46] 我们再把目光
[00:15:46 - 00:15:48] 转回到市场价格趋势上来
[00:15:48 - 00:15:50] 自从2024年10月份以来
[00:15:50 - 00:15:52] H100的租赁价持续的下降
[00:15:52 - 00:15:55] 目前已经从每小时3.5美元
[00:15:55 - 00:15:56] 降到了1.5美元左右
[00:15:56 - 00:15:58] 这背后有多方面的原因
[00:15:58 - 00:16:01] 一方面因为大家产能不断的提升
[00:16:01 - 00:16:03] 市场上的GPU供应越来越充足
[00:16:03 - 00:16:04] 另一方面
[00:16:04 - 00:16:06] 很多大型买家的战略发生了转移
[00:16:06 - 00:16:08] 像META之前大规模采购GPU
[00:16:08 - 00:16:10] 现在更倾向于将资金
[00:16:10 - 00:16:12] 投入到软件和模型的研发上
[00:16:12 - 00:16:14] 对租赁市场的需求减少
[00:16:14 - 00:16:16] 这就使得租赁市场的竞争更加的激烈
[00:16:16 - 00:16:20] 同时大量新进入者带着新的硬件进入市场
