BV号：BV1HBfVYhE8X
标题：BV1HBfVYhE8X
链接：https://www.bilibili.com/video/BV1HBfVYhE8X
识别语言：zh
语言置信度：1
分段数：273
生成时间：2026-08-30 18:45:54

[00:00:00 - 00:00:02] 大家好 这里是最佳拍档 我是大飞
[00:00:02 - 00:00:04] 在2024年年底
[00:01:49 - 00:01:51] 一是在处理常温本的时候
[00:01:51 - 00:01:54] 模型的计算速度会变得非常缓慢
[00:01:54 - 00:01:58] 2.是模型在訓練的時候需要消耗大量的計算資源和電力
[00:01:58 - 00:01:59] 為了解決這些問題
[00:01:59 - 00:02:02] 研究人員提出了許多種優化的方案
[00:02:02 - 00:02:05] 包括吸輸注意力、低質分解和線性注意力等等
[00:02:06 - 00:02:09] 而這次MiniMax在他們的模型中引入了一種名為
[00:02:09 - 00:02:12] Lightning Attention的線性注意力機制
[00:02:12 - 00:02:14] 線性注意力機制是一種改進的注意力機制
[00:02:14 - 00:02:17] 它通過將計算降低到線性複達度
[00:02:17 - 00:02:20] 使得模型能夠更加高效的處理長序列數據
[00:02:20 - 00:02:23] 線性注意力機制其實並不是MiniMax提出的
[00:02:23 - 00:02:28] 但是之前限性注意力机制的主要是用在学术研究以及小规模的实验
[00:02:28 - 00:02:33] 而minimax这次算是首次实现了限性注意力模型的大规模训练
[00:02:33 - 00:02:37] 而Lightning Attention是一种基于Transnormal架构的改进版本
[00:02:37 - 00:02:40] Transnormal最早出现在2022年的一篇论文中
[00:02:40 - 00:02:45] 它的核心思想是将传统的自注意力机制转换为一种限性辨体
[00:02:45 - 00:02:50] 通过使用右侧矩阵惩惩法将计算复达度从On方降低到On
[00:02:50 - 00:02:54] 而Lightning Attention是minimax在Transnormal的技術上
[00:02:54 - 00:02:56] 进行了Io感知优化的实现
[00:02:56 - 00:02:59] 在实验中Lightning Attention在处理长序列的时候
[00:02:59 - 00:03:01] 可以表现出稳定的训练速度
[00:03:01 - 00:03:03] 并且在大多数下游任务中
[00:03:03 - 00:03:05] 与Softmax注意力机制性能相当
[00:03:05 - 00:03:08] 甚至在检索任务上表现更好
[00:03:08 - 00:03:11] 为了在保持效率的同时提升模型的性能
[00:03:11 - 00:03:13] minimax还提出了Habrit Lightning策略
[00:03:13 - 00:03:14] 具体来说
[00:03:14 - 00:03:18] 就是在每7个使用Lightning Attention的Transformal Quart之后
[00:03:18 - 00:03:20] 会跟随一个使用Softmax注意力的
[00:03:20 - 00:03:21] 传辍方部块
[00:03:21 - 00:03:23] 这种混合错列的优势在于
[00:03:23 - 00:03:25] 1是通过Lightning Attention
[00:03:25 - 00:03:27] 模型的计算速度得到了显著的提升
[00:03:27 - 00:03:30] 2是利用传统的Softmax注意力机制
[00:03:30 - 00:03:32] 能够捕捉到更为复杂的语以关系
[00:03:32 - 00:03:34] 从而保证了模型的整体性能
[00:03:34 - 00:03:36] 除了Lightning Attention以外
[00:03:36 - 00:03:39] minimax还采用了混合专家MoE架构
[00:03:39 - 00:03:43] 而这个架构是minimax从2023年夏天就开始研发
[00:03:43 - 00:03:45] 投入了80%的算力与研发资源
[00:03:45 - 00:03:47] 经历了两次失败才成功的作品
[00:03:47 - 00:03:49] MOE架构的核心思想是
[00:03:49 - 00:03:51] 将模型化分为多个专家
[00:03:51 - 00:03:54] 每个专家擅长处理特定类型的任务
[00:03:54 - 00:03:55] 同时在推理过程中
[00:03:55 - 00:03:57] 根据输入数据的不同
[00:03:57 - 00:03:59] 动态的选择最合适的专家来处理
[00:03:59 - 00:04:01] 与传统的密集模型相比
[00:04:01 - 00:04:03] MOE架构不仅效率更高
[00:04:03 - 00:04:05] 性能也更加优秀
[00:04:05 - 00:04:07] minimax还进行了一系列比较实验
[00:04:07 - 00:04:10] 结果表明在相同的计算负载下
[00:04:10 - 00:04:13] MOE模型的表现要大幅优于密集模型
[00:04:13 - 00:04:14] 为了训练这次的模型
[00:04:14 - 00:04:17] minimax先是通过小规模的实验
[00:04:17 - 00:04:20] 验证了上面这些技术改进的有效性以及Skillin'Lost
[00:04:20 - 00:04:23] 然后再开始着手大规模的训练
[00:04:23 - 00:04:27] 为此minimax采用了1500-2500台H800GPU
[00:04:27 - 00:04:31] 并且在训练过程中动态的去调整GPU的数量
[00:04:31 - 00:04:34] 在训练中minimax也面临了许多的挑战
[00:04:34 - 00:04:37] 其中最大的挑战就是长上下纹的训练
[00:04:37 - 00:04:39] 首先对于MOE架构
[00:04:39 - 00:04:42] 最主要的优化目标是降低通信的负载
[00:04:42 - 00:04:43] 尤其是对于采用AutoAu
[00:04:43 - 00:04:45] 也就是AtoA通信的MOE架构
[00:04:45 - 00:04:50] minimax的解决方案是采用一种基于token分组的重叠方案
[00:04:50 - 00:04:53] 通过对于专家权重和数据并行的精细划分
[00:04:53 - 00:04:58] 设计了专家张量并行ETP和专家数据并行EDP
[00:04:58 - 00:04:59] 两个进程组
[00:04:59 - 00:05:01] 从而实现了存储和计算的最佳平衡
[00:05:01 - 00:05:03] 其次对于常上下文训练
[00:05:03 - 00:05:05] 一个很大的挑战是
[00:05:05 - 00:05:08] 难以将真实的训练样本标准化到统一的长度
[00:05:08 - 00:05:10] 传统的方式是进行填充
[00:05:10 - 00:05:13] 但是这种方法非常浪费计算资源
[00:05:13 - 00:05:16] minimax的解決思路是進行數據的格式化
[00:05:16 - 00:05:19] 其中不同的樣本會沿著序列的維度首位相連
[00:05:19 - 00:05:22] 它們將這種技術命名為DataPacking
[00:05:22 - 00:05:26] 這種格式可以盡量的降低計算過程中的計算浪費
[00:05:26 - 00:05:27] 為了提高訓練效率
[00:05:27 - 00:05:29] minimax還採用了Token Drop的策略
[00:05:29 - 00:05:32] 給每個專家分配一個容量限制
[00:05:32 - 00:05:34] 指定它最多可以處理的Token數量
[00:05:34 - 00:05:36] 一旦達到了這個容量
[00:05:36 - 00:05:39] 任何額外路由到這個專家的Token都將被丟棄
[00:05:39 - 00:05:42] 最後為了實現大規模的LightingAltansion訓練
[00:05:42 - 00:05:45] minimax还采用了四项优化策略
[00:05:45 - 00:05:47] 包括分批内核融合
[00:05:47 - 00:05:49] 分离式的预填充与解码之行
[00:05:49 - 00:05:50] 多级填充
[00:05:50 - 00:05:52] 跨步分批举证惩法扩展
[00:05:52 - 00:05:54] 其中的分批内核融合
[00:05:54 - 00:05:57] 指的是将多个内存密集型的内核融合起来
[00:05:57 - 00:05:59] 并且扩展支持所有的批量输入
[00:05:59 - 00:06:02] 减少中间结果的存储和内存访问操作
[00:06:02 - 00:06:04] 分离式的预填充和解码之行
[00:06:04 - 00:06:06] 指的是将长度为1的token
[00:06:06 - 00:06:08] 与长度大于1的token分开处理
[00:06:08 - 00:06:11] 并且使用不同的枯大流进行调度
[00:06:11 - 00:06:13] 從而提高計算的效率
[00:06:13 - 00:06:14] 多級填充
[00:06:14 - 00:06:16] 指的是根據輸入序列的長度
[00:06:16 - 00:06:17] 動態的選擇計算規模
[00:06:17 - 00:06:19] 最小化填充開銷
[00:06:19 - 00:06:21] 跨步分批矩陣懲法擴展
[00:06:21 - 00:06:22] 指的是利用英偉達
[00:06:22 - 00:06:24] Couple-Las庫中的優化含數
[00:06:24 - 00:06:26] 並且集成張亮內存加速器
[00:06:26 - 00:06:27] TMA的一部操作
[00:06:27 - 00:06:29] 來提高計算效率
[00:06:29 - 00:06:31] 這些優化策略使得模型
[00:06:31 - 00:06:33] 能夠在GPU集群上高效的運行
[00:06:33 - 00:06:34] 在英偉達H20上
[00:06:34 - 00:06:36] 達到超過75%的MFU
[00:06:36 - 00:06:39] 同時保持模型的性能和推理效率
[00:06:39 - 00:06:45] 最终minimax打造出了拥有4560亿参数的minimax-tex01模型
[00:06:45 - 00:06:46] 总共有32个专家
[00:06:46 - 00:06:50] 每个token都会激活其中459亿个参数
[00:06:50 - 00:06:52] 通过三阶段的训练方法
[00:06:52 - 00:06:55] 模型的训练上下文窗口可以达到100万token
[00:06:55 - 00:06:56] 而在执行推理的时候
[00:06:56 - 00:06:59] 上下文长度最高可以外推到400万token
[00:06:59 - 00:07:02] 是其他模型的20-32倍
[00:07:02 - 00:07:04] 我们再来看看minimax的性能测试结果
[00:07:04 - 00:07:06] 在常见的学术测试集上
[00:07:06 - 00:07:08] minimax-tex01的表现
[00:07:08 - 00:07:12] 可以與GPD4O,Cloud 3.5 Sonic等等頂尖的必圓模型
[00:07:12 - 00:07:17] 以及12005,Deepseq V3,Lama 3.1等等頂尖的開源模型相媲美
[00:07:17 - 00:07:20] 甚至在某些方面更生意仇
[00:07:20 - 00:07:22] 比如說在GPQA Diamond的數據集上
[00:07:22 - 00:07:25] minimax-Tax01取得了54.4的成績
[00:07:25 - 00:07:28] 超過了大多數開源指令微調的大模型
[00:07:28 - 00:07:30] 以及最新版本的GPD4O
[00:07:30 - 00:07:34] 而在MMREO,IFEWO和Arena Hard這些測試中
[00:07:34 - 00:07:37] minimax-Tax01也取得了前三名的成績
[00:07:37 - 00:07:41] 展示了强大的知识应用能力和对人类偏好的理解能力
[00:07:41 - 00:07:43] 此外,在常上下文理解任务上
[00:07:43 - 00:07:46] minimax-Tax01的表现更为突出
[00:07:46 - 00:07:49] 在Ruler和Lambanch-Veyer这两个常见基准上
[00:07:49 - 00:07:52] 当上下文长度在64k或者更短的时候
[00:07:52 - 00:07:55] minimax-Tax01与其他SATA模型表现相当
[00:07:55 - 00:07:58] 而当上下文长度超过128k的时候
[00:07:58 - 00:08:01] minimax-Tax01的优势就明显体现出来了
[00:08:01 - 00:08:03] 在常文本学习能力方面
[00:08:03 - 00:08:06] minimax-Tax01也达到了SATA的水平
[00:08:06 - 00:08:07] 在MTUB基准上
[00:08:07 - 00:08:10] minimax-Tex01的表现也同样出色
[00:08:10 - 00:08:11] 在实际的应用案例中
[00:08:11 - 00:08:14] 比方说在翻译一门新紧内亚的小众语言
[00:08:14 - 00:08:15] Kalaman的时候
[00:08:15 - 00:08:18] minimax-Tex01能够根据提供的指令
[00:08:18 - 00:08:20] 语法书 单词表和对照例句
[00:08:20 - 00:08:23] 给出与标准达基本一致的翻译结果
[00:08:23 - 00:08:25] 而在常对话记忆任务中
[00:08:25 - 00:08:28] minimax-Tex01能够准确的记住对话中的细节
[00:08:28 - 00:08:30] 并且做出相应的回应
[00:08:30 - 00:08:32] 这次基于minimax-Tex01
[00:08:32 - 00:08:34] minimax还开发了一个多模特的版本
[00:08:34 - 00:08:36] 也就是minimax VR01
[00:08:37 - 00:08:38] 这个模型的思路很简单
[00:08:38 - 00:08:40] 就是在文本模型的记录上
[00:08:40 - 00:08:42] 整合一个图像编码器
[00:08:42 - 00:08:43] 和一个图像适配器
[00:08:43 - 00:08:46] 简单来说就是将图像转换为大圆模型
[00:08:46 - 00:08:47] 能够理解的token形式
[00:08:48 - 00:08:49] minimax VR01的整体架构
[00:08:50 - 00:08:53] 符合VIT、MLP、LRM的范氏
[00:08:53 - 00:08:56] 其中minimax VR01作为基础模型
[00:08:56 - 00:08:59] 使用了一个303M参数的VIT模型
[00:08:59 - 00:09:02] 以及一个随机触碩化的两层MLP projector
[00:09:02 - 00:09:06] 为了确保minimax VR01的视觉理解能力足够的好
[00:09:06 - 00:09:09] minimax还设计了一个专有的数据级
[00:09:09 - 00:09:11] 并且实现了一个多阶段的训练策略
[00:09:11 - 00:09:15] 最终minimax VR01在各个基准上的表现
[00:09:15 - 00:09:16] 可以与其他骚托模型相媲美
[00:09:16 - 00:09:19] 并且在某些指标上达到了最佳
[00:09:19 - 00:09:22] 不过minimax也提出了01模型的局限性
[00:09:22 - 00:09:24] 1是常上下文评估
[00:09:24 - 00:09:27] 当前常上下文检索任务的评估数据级
[00:09:27 - 00:09:30] 主要还是为了人工或者是检化的场景设计
[00:09:30 - 00:09:31] 实际应用中
[00:09:31 - 00:09:32] 比如说对于文档分析的
[00:09:32 - 00:09:34] 长文本推理能力的评估
[00:09:34 - 00:09:34] 仍然有限
[00:09:35 - 00:09:37] minimax计划在更现实的场景中
[00:09:37 - 00:09:39] 增加长上下文检索
[00:09:39 - 00:09:40] 并且在更广泛的任务中
[00:09:40 - 00:09:42] 扩展长上下文推理的评估
[00:09:42 - 00:09:44] 2是模型架构
[00:09:44 - 00:09:46] 模型目前仍然保留了1%的组件
[00:09:46 - 00:09:48] 使用传统的softmax注意力
[00:09:48 - 00:09:49] 对此
[00:09:49 - 00:09:52] minimax表示正在研究更加高效的架构
[00:09:52 - 00:09:54] 可以完全消除softmax注意力
[00:09:54 - 00:09:56] 有可能实现无限的上下文窗口
[00:09:56 - 00:09:58] 而且无需额外的计算开销
[00:09:58 - 00:10:00] 3是复杂的编程任务
[00:10:00 - 00:10:04] 当前模型在高级编程任务上的性能仍然需要改进
[00:10:04 - 00:10:07] 因为预训练阶段的编码数据级仍然有限
[00:10:07 - 00:10:08] 除了这些以外
[00:10:08 - 00:10:11] MiniMax还在探索如何将常上下门能力
[00:10:11 - 00:10:12] 应到多摩泰任务中
[00:10:12 - 00:10:14] 毕竟在现实生活中
[00:10:14 - 00:10:17] 多摩泰的任务远比纯文本的任务更为常见
[00:10:17 - 00:10:19] 随着多摩泰Token的加入
[00:10:19 - 00:10:21] AIAgent也将逐步进入物理世界
[00:10:21 - 00:10:24] MiniMax创始严峻杰曾经表示
[00:10:24 - 00:10:27] 下一代人工智能将是无限接近于图灵测试的Agent
[00:10:27 - 00:10:30] 交互自然 触手可及 无处不在
[00:10:30 - 00:10:33] 总的来说 这次MiniMax01系列的两个模型
[00:10:33 - 00:10:36] 展示了处理长上下文方面的卓越性能
[00:10:36 - 00:10:38] 以及处理更长上下文上的潜力
[00:10:38 - 00:10:40] 相信很多观众会很想了解一下
[00:10:40 - 00:10:43] MiniMax01和DeepSync V3的对比情况
[00:10:43 - 00:10:45] 我也替大家整理了一个对比表格
[00:10:45 - 00:10:47] 大家可以暂停观看一下
[00:10:47 - 00:10:49] 不过在推理模型方面
[00:10:49 - 00:10:51] MiniMax还没有发布相关的模型
[00:10:51 - 00:10:53] 不知道接下来是否会有相关的动作
[00:10:53 - 00:10:55] 好了 本期视频内容就到这里
[00:10:55 - 00:10:57] 希望能够帮助大家更好的理解
[00:10:57 - 00:10:58] minimax的開源模型
[00:10:58 - 00:11:01] 以及AI agent的未來發展方向
[00:11:01 - 00:11:02] 感謝大家的觀看
[00:11:02 - 00:11:03] 我們下期再見
