BV号：BV1ufKM64EWd
标题：BV1ufKM64EWd
链接：https://www.bilibili.com/video/BV1ufKM64EWd
识别语言：zh
语言置信度：1
分段数：239
生成时间：2026-08-29 18:45:18

[00:00:00 - 00:00:02] 大家好 我是为什么叫QQ
[00:00:02 - 00:00:05] 你有没有发现现在打开很多AI生成的网站
[00:04:21 - 00:04:22] 分层深度
[00:04:22 - 00:04:25] 利用前景、中景、背景至少三个层级
[00:04:25 - 00:04:28] 通过重叠设计打破屏幕的二维平面感
[00:04:28 - 00:04:30] 定制化标题字体
[00:04:30 - 00:04:32] 具用常见的默认无衬线体
[00:04:32 - 00:04:35] 选用具有强烈性格的字体
[00:04:35 - 00:04:36] 字号要大、要有张力
[00:04:36 - 00:04:38] 飞标形状
[00:04:38 - 00:04:40] 抛弃千篇一律的圆角卡片
[00:04:40 - 00:04:43] 引入撕裂边缘、异形切口等
[00:04:43 - 00:04:44] 专门定制的几颗形状
[00:04:44 - 00:04:46] 精心设计的导航蓝
[00:04:46 - 00:04:48] 抛弃默认的居中链接排板
[00:04:48 - 00:04:52] 做成悬浮的异形的让它成为品牌视觉的一部分
[00:04:52 - 00:04:53] 真实的细节
[00:04:53 - 00:04:56] 用真实的数据、真实的logo和具体的文案
[00:04:56 - 00:04:58] 替换掉所有的站位浮
[00:04:58 - 00:05:01] 这个框架的精妙之处在于它把形而上的设计感
[00:05:01 - 00:05:03] 变成了可以逐向自测的清单
[00:05:03 - 00:05:05] 你完全可以拿着它一步步合对
[00:05:05 - 00:05:07] 标志元素有了吗?
[00:05:07 - 00:05:08] 视觉曾经做出来了吗?
[00:05:08 - 00:05:10] 假数据替换了吗?
[00:05:10 - 00:05:12] 这份法则最聪明的地方
[00:05:12 - 00:05:14] 是它暗含了一套严谨的工作流
[00:05:14 - 00:05:16] 我把原文提炼成了五步
[00:05:16 - 00:05:19] 第一步 明确核心的唯一性是什么
[00:05:19 - 00:05:21] 找到属于你的标志性元素
[00:05:21 - 00:05:25] 第二步 围绕这个元素设定整个页面的视觉氛围
[00:05:25 - 00:05:29] 第三步 对人的近百个负面模式做一遍排查
[00:05:29 - 00:05:31] 确保没有掉进常见的坑里
[00:05:31 - 00:05:34] 第四步 应用四十多条正向实践
[00:05:34 - 00:05:36] 确保每一个设计动作都有明确的目的
[00:05:36 - 00:05:40] 第五步 最后审视一遍 问自己
[00:05:40 - 00:05:44] 这个方案里 有没有只属于这个产品的独特创意
[00:05:44 - 00:05:46] 执行的顺序非常重要
[00:05:46 - 00:05:49] 很多人的习惯是先疯狂的去规避错误
[00:05:49 - 00:05:51] 把所有的负面特征都去掉
[00:05:51 - 00:05:53] 然后再去想怎么加点创意
[00:05:53 - 00:05:55] 最后搞出来的东西往往挑不出毛病
[00:05:55 - 00:05:56] 但也极其无聊
[00:05:56 - 00:05:58] 这套法则的逻辑是反过来的
[00:05:58 - 00:06:01] 先确立核心的创意基调
[00:06:01 - 00:06:03] 然后在落地的过程中去规避平庸
[00:06:03 - 00:06:07] 这个流程强制你先做最高优先级的决策
[00:06:07 - 00:06:09] 从一开始就不能模糊处理
[00:06:09 - 00:06:11] 在这里很多人容易产生一个认知偏差
[00:06:11 - 00:06:14] 他们以为这份法则是在教人怎么防守
[00:06:14 - 00:06:17] 设计就是要努力避免这近百个烂大街的模式
[00:06:17 - 00:06:20] 但其实它真正的核心是进攻
[00:06:20 - 00:06:23] 设计的过程就是做出一系列清晰的决策
[00:06:23 - 00:06:25] 前者是消极的躲避
[00:06:25 - 00:06:26] 后者是积极的创造
[00:06:26 - 00:06:30] 法则里说不要用蓝紫色渐变并不是一条死命令
[00:06:30 - 00:06:33] 而是说如果你要用蓝紫渐变
[00:06:33 - 00:06:35] 必须有充分且合理的业务理由
[00:06:35 - 00:06:38] 而不能仅仅因为它存在于AI的默认选项里
[00:06:38 - 00:06:40] 这就像是严格的代码规范
[00:06:40 - 00:06:42] 限制你使用全局变量
[00:06:42 - 00:06:44] 他的目的不是为了束缚你
[00:06:44 - 00:06:46] 而是强迫你思考为什么必须用
[00:06:46 - 00:06:49] 从而把你从无意识的套用拉回到
[00:06:49 - 00:06:50] 有意识的控制
[00:06:50 - 00:06:53] 本质上这是在给AI施加一种创造性约束
[00:06:53 - 00:06:56] 约束本身不会凭空产生创意
[00:06:56 - 00:07:00] 但它能有效阻止AI划向那些最凭拥的默认答案
[00:07:00 - 00:07:02] 真正决定最终交付质量的
[00:07:02 - 00:07:04] 依然是你有没有米睿的判断力
[00:07:04 - 00:07:08] 以及能不能把这种判断转化为明确的约束条件
[00:07:08 - 00:07:11] 提示存的质量确实会显著改变结果
[00:07:11 - 00:07:14] 但大模型的能力上限上下文的廉慣性
[00:07:14 - 00:07:17] 以及不斷的迭代过程同样起自决定性作用
[00:07:17 - 00:07:20] 这一点在现在的AI讨论中很容易被忽视
[00:07:20 - 00:07:23] 大家都以为只要提示词写得好就万事大吉了
[00:07:23 - 00:07:26] 其实一个聪明的模型配上严密的提示词
[00:07:26 - 00:07:28] 才能跑出好结果
[00:07:28 - 00:07:31] 如果模型本身能力有限或者上下文断裂了
[00:07:31 - 00:07:33] 提示词写的再花烧也没用
[00:07:33 - 00:07:36] 这意味着未来把审美和诉求转化为
[00:07:36 - 00:07:38] 清晰约束的能力会越来越重要
[00:07:38 - 00:07:42] 但要注意提示词永远只是一个沟通接口
[00:07:42 - 00:07:44] 它替代不了底层的身为
[00:07:44 - 00:07:46] 用户调研和严密的逻辑思考能力
[00:07:46 - 00:07:47] 第一点启示
[00:07:47 - 00:07:50] 把模糊需求翻译成确定性约束的能力
[00:07:50 - 00:07:52] 会成为一项基础技能
[00:07:52 - 00:07:53] 就像以前写代码
[00:07:53 - 00:07:55] 现在用AI生成代码
[00:07:55 - 00:07:58] 给出清晰明确的指令本身就需要刻意练习
[00:07:58 - 00:07:59] 第二点启示
[00:07:59 - 00:08:02] 明确的约束会拉大生成结果的差异化
[00:08:02 - 00:08:05] 加了约束的设计更容易跳出模板感
[00:08:05 - 00:08:08] 但这并不保证必定能产出顶级的创新
[00:08:08 - 00:08:11] 它保住的是下限而非上限
[00:08:11 - 00:08:12] 第三点歧视
[00:08:12 - 00:08:14] 未来的AI工具一定会越来越有观点
[00:08:14 - 00:08:17] 工具的输入矿不再是
[00:08:17 - 00:08:19] 请输入你想生成的任何东西
[00:08:19 - 00:08:22] 而是要求你在特定的约束框架下输入指令
[00:08:22 - 00:08:25] 但最清醒的认知其实来源于法则本身
[00:08:25 - 00:08:28] 所有的检查清单和规则只能帮你减少错误
[00:08:28 - 00:08:32] 他们永远无法替你生成读属于你自己的观点
[00:08:32 - 00:08:34] 好的设计就是做出清晰的决策
[00:08:34 - 00:08:37] 这句话对训练AI试用对日常的开发试用
[00:08:37 - 00:08:39] 对于任何创意工作都是用
[00:08:39 - 00:08:42] 如果你现在正在用AI生成
[00:08:42 - 00:08:45] 任何东西不管是写代码画图还是写文案
[00:08:45 - 00:08:46] 问自己一个问题
[00:08:46 - 00:08:49] 我给AI的指令足够清晰吗
[00:08:49 - 00:08:50] 约束足够严谨吗
[00:08:50 - 00:08:52] 观点足够明确吗
[00:08:52 - 00:08:53] 如果答案是否定的
[00:08:53 - 00:08:56] 那你得到的很大概率是一个平庸的结果
[00:08:56 - 00:08:57] 如果答案是肯定的
[00:08:57 - 00:09:00] 那你就有机会拿到超预期的产出
[00:09:00 - 00:09:01] 这个逻辑反过来完全成立
[00:09:01 - 00:09:04] 我们在做技术评审或者设计审查的时候
[00:09:04 - 00:09:07] 不要只看表面有没有bug或者好不好看
[00:09:07 - 00:09:10] 更要看背后的决策逻辑是不是经得起推桥
[00:09:11 - 00:09:12] 好了 这就是今天的内容
[00:09:12 - 00:09:14] 如果你觉得这些思考对你有帮助
[00:09:14 - 00:09:16] 欢迎一键三连
[00:09:16 - 00:09:18] 最后留个问题大家在弹幕里交流
[00:09:18 - 00:09:21] 你觉得在未来最稀缺的底层技能是什么
[00:09:21 - 00:09:22] 是纯粹的审美
[00:09:22 - 00:09:26] 还是这种把抽象概念转化为清晰约束的能力
[00:09:26 - 00:09:27] 感谢观看
[00:09:27 - 00:09:28] 我是为什么叫QQ
[00:09:28 - 00:09:29] 我们下期见
