BV号：BV14zAFzqEw5
标题：BV14zAFzqEw5
链接：https://www.bilibili.com/video/BV14zAFzqEw5
识别语言：zh
语言置信度：1
分段数：155
生成时间：2026-08-29 19:47:32

[00:00:00 - 00:00:02] 大家好 我是为什么叫QQ
[00:00:02 - 00:00:04] Cursor上线Composer2
[00:04:10 - 00:04:12] 问他一些有走在敏感边缘的问题
[00:04:12 - 00:04:14] 或者经典的电车难题
[00:04:14 - 00:04:15] Cloud极其保守
[00:04:15 - 00:04:17] 一言不合就长篇大论拒绝
[00:04:17 - 00:04:21] 国内模型则有非常标准化的底线拦截机制
[00:04:21 - 00:04:25] 这种机座模型在预讯链时被注入的道德红线和拒绝措辞
[00:04:25 - 00:04:28] 后期微调是极难完全抹平的
[00:04:28 - 00:04:29] 第五招
[00:04:29 - 00:04:32] 错误模式签名深层认知印记
[00:04:32 - 00:04:34] 这招极其高级
[00:04:34 - 00:04:36] 因为真正难伪装的从来不是成功
[00:04:36 - 00:04:38] 而是失败的方式
[00:04:38 - 00:04:42] 给它一个有状态管理冲突的前端bug或者奇异极大的接口
[00:04:42 - 00:04:43] 别看它能不能修好
[00:04:43 - 00:04:47] 看它先改哪一层它在哪一步容易产生幻觉
[00:04:47 - 00:04:50] 它遇到奇異時會做怎樣的下一式假設
[00:04:50 - 00:04:52] 這種底層的推理路徑和歸納偏好
[00:04:52 - 00:04:54] 就是模型的行為簽名
[00:04:54 - 00:04:55] 第六招
[00:04:55 - 00:04:56] Tokenize的指紋
[00:04:56 - 00:04:58] 法一級的DNA鑑定
[00:04:58 - 00:05:00] 這是全篇最硬的鐵證
[00:05:00 - 00:05:02] 也就是Munshaw的官方開火的底器
[00:05:02 - 00:05:05] 模型在計算前會把文字切成Token
[00:05:05 - 00:05:07] 此表大小和合併規則
[00:05:07 - 00:05:09] 在預訓鏈前就徹底鎖死了
[00:05:09 - 00:05:11] 後期做再多微調也改不掉
[00:05:11 - 00:05:13] 準備一批極端的雕鑽樣本
[00:05:13 - 00:05:17] 生屁的unicode符号乱码中英日文极限混牌
[00:05:17 - 00:05:20] 如果两个模型在几百组奇怪
[00:05:20 - 00:05:22] 样本上的切分结果完全一致
[00:05:22 - 00:05:23] 这在统计学上
[00:05:23 - 00:05:25] 就相当于两个人在案发现场
[00:05:25 - 00:05:28] 留下了完全一模一样的DNA根本洗不掉
[00:05:28 - 00:05:29] 有人可能会问
[00:05:29 - 00:05:32] Cursor不是做了持续预训练和强化学习吗
[00:05:32 - 00:05:34] 这难道不算一个全新的模型吗
[00:05:34 - 00:05:35] 答案是
[00:05:35 - 00:05:37] 会变但无法洗掉血统
[00:05:37 - 00:05:39] 你给一个人换了高定西装
[00:05:39 - 00:05:40] 培训了商务理仪
[00:05:40 - 00:05:41] 掌握了新的模型
