BV号：BV1VU6PBqESG
标题：BV1VU6PBqESG
链接：https://www.bilibili.com/video/BV1VU6PBqESG
识别语言：zh
语言置信度：1
分段数：306
生成时间：2026-08-29 21:42:23

[00:00:00 - 00:00:02] 大家好 我是为什么叫QQ
[00:00:02 - 00:00:04] 今天我们不谈论某个具体的框架或语言
[00:11:34 - 00:11:36] 随之而来的是多样的商业模式
[00:11:37 - 00:11:39] 从免费开源到付费高级功能
[00:11:39 - 00:11:41] 再到企业级的技术支持
[00:11:41 - 00:11:44] 当然生态的繁荣也离不开有效的治理
[00:11:44 - 00:11:48] 包括严格的代码审查、全线管理和审计机制
[00:11:48 - 00:11:50] 以确保整个生态的安全和健康
[00:11:50 - 00:11:52] 最终Skills生态的眼镜
[00:11:52 - 00:11:56] 将与LLM自身能力的升级形成一个正向的飞轮
[00:11:56 - 00:11:59] 共同推动AI编程进入一个全新的
[00:11:59 - 00:12:01] 高度模块化和智能化的时代
[00:12:01 - 00:12:02] 在本次分享的最后
[00:12:02 - 00:12:05] 让我们提炼出AI编程工程化
[00:12:05 - 00:12:08] 眼睛过程中的五个关键架构原则
[00:12:08 - 00:12:09] 第一分层设计
[00:12:09 - 00:12:12] 将不同性质、不同生命周期的信息
[00:12:12 - 00:12:14] 如静态规则
[00:12:14 - 00:12:18] 动态技能 绘画状态 明确地分离到不同的逻辑层级
[00:12:18 - 00:12:23] 第二 按虚夹载 这是应对上下文窗口限制的最有效务器
[00:12:23 - 00:12:26] 确保系统只为当前任务支付必要的成本
[00:12:26 - 00:12:29] 第三 确定性优先 在所有可能的地方
[00:12:29 - 00:12:34] 用确定性的工程机制 如 hooks 来约束和引导LLM的概率性行为
[00:12:34 - 00:12:37] 第四 标准化接口 无论是mcp还是skills
[00:12:37 - 00:12:41] 标准化的接口都是实现集成扩展和协作的前提
[00:12:41 - 00:12:43] 第五 可观测性
[00:12:43 - 00:12:45] 构建一个成功的AI Agent
[00:12:45 - 00:12:47] 离不开完整的日子指标和追踪能力
[00:12:47 - 00:12:50] 他们是我们理解调试和优化系统的眼睛
[00:12:50 - 00:12:53] 这五个原则不仅是对我们
[00:12:53 - 00:12:55] 今天所讨论的内容的高度概括
[00:12:55 - 00:12:58] 更是我们在未来构建任何复杂AI应用时
[00:12:58 - 00:13:00] 都应该遵循的核心指导方针
[00:13:00 - 00:13:02] 今天我们从工程化的视角
[00:13:02 - 00:13:06] 完整地剖析了AI编程中上下文管理的眼睛脉络
[00:13:06 - 00:13:09] 我们看到整个过程是一个不断通过架构设计
[00:13:09 - 00:13:12] 来解决核心矛盾的螺旋式上升
[00:13:12 - 00:13:16] 核心的收获是我们必须超越简单的提示字技巧
[00:13:16 - 00:13:19] 从系统设计的角度来思考如何与AI协作
[00:13:19 - 00:13:22] 我给大家的行动建议是立刻开始在你的项目中
[00:13:22 - 00:13:25] 有意识地应用Rules和Skills的分层思想
[00:13:25 - 00:13:27] 哪怕只是从一个简单的规则
[00:13:27 - 00:13:30] 文件和一个可付用的脚本开始
[00:13:30 - 00:13:33] 未来以来AI编程的工程化浪潮才刚刚开始
[00:13:33 - 00:13:35] 欢迎大家在评论区分享你们
[00:13:35 - 00:13:38] 在实践中遇到的问题和思考
[00:13:38 - 00:13:39] 我是为什么叫QQ
[00:13:39 - 00:13:40] 我們下期再見!
