BV号：BV1PYg56VEVA
标题：BV1PYg56VEVA
链接：https://www.bilibili.com/video/BV1PYg56VEVA
识别语言：zh
语言置信度：1
分段数：399
生成时间：2026-08-29 19:38:06

[00:00:00 - 00:00:02] 大家好 我是为什么叫QQ
[00:00:02 - 00:00:04] Anthropic Ren Gong George Sumner
[00:00:04 - 00:00:06] 给Cloud的布置离道作业题
[00:04:31 - 00:04:32] 内容大概是Keep going
[00:04:32 - 00:04:34] 或者Believe in yourself
[00:04:34 - 00:04:35] 从系统设计的角度看
[00:04:35 - 00:04:37] 这属于最轻量级的干预
[00:04:37 - 00:04:39] 没有提供新的数学线索
[00:04:39 - 00:04:40] 没有修改系统提示
[00:04:40 - 00:04:42] 只是给了情感支持
[00:04:42 - 00:04:44] 但Cloud的后续行为表明
[00:04:44 - 00:04:45] 这种鼓励性
[00:04:45 - 00:04:50] Prompt可能帮助模型克服了训练数据中的某种自我怀疑倾向
[00:04:50 - 00:04:55] Cloud在训练中学到了大量关于数学难题和AI局限性的知识
[00:04:55 - 00:04:57] 这可能导致它在面对开放问题
[00:04:57 - 00:04:59] 时过早收敛到这不可能的结论
[00:04:59 - 00:05:01] 外部鼓励打破了这种收敛
[00:05:01 - 00:05:05] 让模型愿意投入更多计算资源进行深度搜索
[00:05:05 - 00:05:08] 这有点像给先入局部最优的T度下降
[00:05:08 - 00:05:10] 一个动量冲击帮助它跳出安点
[00:05:10 - 00:05:12] 第二个赛生的核心是子代理系统
[00:05:12 - 00:05:15] 大约60个Cloud的实力并行工作
[00:05:15 - 00:05:17] 每个实力负责不同的子任务
[00:05:17 - 00:05:19] 有的代理专注于数值验证
[00:05:19 - 00:05:22] 计算资产数0点并于已知数据库比对
[00:05:22 - 00:05:27] 有的负责文献检索从Arxiv下载了54篇相关论文
[00:05:27 - 00:05:30] 有的负责证明审查互相检查推理链条中的漏洞
[00:05:30 - 00:05:33] 还有的负责寻找反例试图推翻Cloud自己的结论
[00:05:33 - 00:05:37] 这种架构本质上是一个小型的分布式计算集群
[00:05:37 - 00:05:40] 每个节点都是一个具备推理能力的圆模型
[00:05:40 - 00:05:43] 他们之间通过某种协调机制分配任务
[00:05:43 - 00:05:45] 共享中间结果
[00:05:45 - 00:05:47] 最终收敛到一个一致的结论
[00:05:47 - 00:05:50] 和微服务架构在精神上是完全一致的
[00:05:50 - 00:05:53] 每个代理都有明确的接口和制则边界
[00:05:53 - 00:05:56] 在整个过程中 Cloud 执行了 2400 个销命令
[00:05:56 - 00:05:58] 编写了数百个 pattern 脚本
[00:05:58 - 00:06:00] 这些脚本覆盖了数值计算
[00:06:00 - 00:06:04] 符号推导数据、可视化、文献解析等多个方面
[00:06:04 - 00:06:07] 2400个销命令意味着大量的文件操作
[00:06:07 - 00:06:10] 环境配置依赖安装和测试运行
[00:06:10 - 00:06:12] 数百个Python脚本意味着
[00:06:12 - 00:06:14] Cloud不仅在做理论推导
[00:06:14 - 00:06:15] 还在做工程实现
[00:06:15 - 00:06:18] 把数学想法转化为可执行的代码
[00:06:18 - 00:06:21] 用计算结果来验证或否定理论假设
[00:06:21 - 00:06:23] 这种理论加代码的双轨验证模式
[00:06:23 - 00:06:26] 是现代计算数学的标准做法
[00:06:26 - 00:06:28] 每个脚本都是一次小型的实验
[00:06:28 - 00:06:30] 整个项目就是一个大型的测试套件
[00:06:30 - 00:06:33] 子代里面进行了数千次数值检查
[00:06:33 - 00:06:36] 他们把Cloud推导出的公式和估计
[00:06:36 - 00:06:38] 应用到已知位置的ZetaN数0点上
[00:06:38 - 00:06:41] 验证预测值是否与实际计算结果匹配
[00:06:41 - 00:06:42] 在科学研究中
[00:06:42 - 00:06:46] 数值验证是防止理论推导出错的第一道防线
[00:06:46 - 00:06:49] 很多漂亮的数学证明之所以后来被发现有问题
[00:06:49 - 00:06:52] 是因为他们在边界情况或者特殊曲直上失效
[00:06:52 - 00:06:54] Cloud通过大规模数值实验
[00:06:54 - 00:06:57] 确保了自己的理论结果至少
[00:06:57 - 00:06:59] 在已知的测试用力上是自洽的
[00:06:59 - 00:07:03] 这种测试驱动的方法论和软件工程中的单元测试
[00:07:03 - 00:07:05] 集成测试在精神上是完全一致的
[00:07:05 - 00:07:07] 虽然没有CICD流水线
[00:07:07 - 00:07:09] 但有着类似的验证逻辑
[00:07:09 - 00:07:12] Claud从Arxiv下载了54篇论文
[00:07:12 - 00:07:14] 检查自己的结果是否已经被发表
[00:07:14 - 00:07:16] 这是一个非常重要的步骤
[00:07:16 - 00:07:18] 因为数学界对优先权很敏感
[00:07:18 - 00:07:20] 54篇论文的阅读量
[00:07:20 - 00:07:21] 对于人类研究者来说
[00:07:21 - 00:07:23] 可能需要几周甚至几个月
[00:07:23 - 00:07:26] 但Claud可以在短时间内完成摘要阅读
[00:07:26 - 00:07:27] 关键词
[00:07:27 - 00:07:28] 匹配和核心结论提取
[00:07:28 - 00:07:31] 更重要的是Claud不仅是在查重复
[00:07:31 - 00:07:35] 他是在通过阅读这些论文来完善自己的证明
[00:07:35 - 00:07:37] 他发现了几篇关键论文
[00:07:37 - 00:07:41] Blood Ghoston, Suria Jaya和Turnage Butterball的系列工作
[00:07:41 - 00:07:44] 以及Bombere在2006年發表的一篇論文
[00:07:44 - 00:07:47] 文獻總數能力在這裡起了決定性作用
[00:07:47 - 00:07:51] 相當於在龐大的代碼庫中找到了幾個關鍵依賴
[00:07:51 - 00:07:53] 1973年,Mount Garmory引入了
[00:07:53 - 00:07:55] 一套研究零點分布的新技術
[00:07:55 - 00:07:59] 但這些技術的前提是假設離慢猜想成立
[00:07:59 - 00:08:01] 這就像一個需要Root全線才能運行的工具
[00:08:01 - 00:08:04] 在猜想被證明之前沒法直接
[00:08:04 - 00:08:07] 用于提升那个41.6%的下限
[00:08:07 - 00:08:08] 最近几年
[00:08:08 - 00:08:09] Bellett-Golston
[00:08:09 - 00:08:10] Surya Jayar
[00:08:10 - 00:08:11] Haturnage
[00:08:11 - 00:08:12] Butterball
[00:08:12 - 00:08:14] 几位数学家发表了一系列论文
[00:08:14 - 00:08:17] 成功地把Montgomery的技术降级到了
[00:08:17 - 00:08:18] 不需要假设
[00:08:18 - 00:08:20] 黎曼猜想就能使用的版本
[00:08:20 - 00:08:22] Clawd-Mingray的意识到
[00:08:22 - 00:08:23] 这套降级后的工具
[00:08:23 - 00:08:25] 可以和Bombury2000年
[00:08:25 - 00:08:26] 的一篇关于
[00:08:26 - 00:08:28] Wild显示公式的论文结合起来
[00:08:28 - 00:08:30] 产生新的估计能力
[00:08:30 - 00:08:32] 这种跨时代的工具组合
[00:08:32 - 00:08:35] 需要同时理解多条技术线的眼睛历史
[00:08:35 - 00:08:37] Cloud 证明在技术上的核心
[00:08:37 - 00:08:39] 是构造了一个合适的寒树空间
[00:08:39 - 00:08:42] 上面配备了一个由外偶幼岛的二次形
[00:08:42 - 00:08:44] 这个寒树空间可以分解为
[00:08:44 - 00:08:46] 正定子空间和覆定子空间
[00:08:46 - 00:08:50] 分别对应于临界线上的零点和临界线外的零点
[00:08:50 - 00:08:53] 然后Cloud 写出了一个关于二次形制的不等式
[00:08:53 - 00:08:57] 这个不等式只依赖于一阶举和二阶举的信息
[00:08:57 - 00:09:00] 在解析数轮中举的计算通常是最困难的部分
[00:09:00 - 00:09:03] 但Cloud发现通过速速上的对忧途径
[00:09:03 - 00:09:05] 或者通过控制Huber的变换
[00:09:05 - 00:09:07] 这些举是可以被精确计算的
[00:09:07 - 00:09:10] Cloud的胆量在于它把整个空间一起处理
[00:09:10 - 00:09:12] 同时考虑镇定和覆定部分
[00:09:12 - 00:09:14] 而且允许二次形是非对角的
[00:09:14 - 00:09:17] 这种全局视角是突破的关键
[00:09:17 - 00:09:20] 把核心论证翻译成程序员更熟悉的语言
[00:09:20 - 00:09:21] 想象你有一个句证
[00:09:21 - 00:09:24] 它有一些正特征值和一些复特征值
[00:09:24 - 00:09:27] 正特征值的数量对应于临界线上的零点
[00:09:27 - 00:09:30] 复特征值的数量对应于线外的零点
[00:09:30 - 00:09:33] 如果你能证明这个矩阵的滋满足某个下界
[00:09:33 - 00:09:36] 同时又能估计出正特征值之和的下界
[00:09:36 - 00:09:38] 那么你就可以通过质的关系
[00:09:38 - 00:09:41] 推导出正特征值数量的下界
[00:09:41 - 00:09:44] Claw的写出的不等是precisely做了这件事
[00:09:44 - 00:09:47] 他把之前分散在不同论文中的估计技巧
[00:09:47 - 00:09:50] 统一到了一个关于二次形质的框架下
[00:09:50 - 00:09:52] 这个框架的优雅之处在于
[00:09:52 - 00:09:54] 他把0.分布问题转化为了
[00:09:54 - 00:09:57] 现性带处中一个相对标准的问题
[00:09:57 - 00:10:00] 将为打击的思维方式在这里体现得很清楚
[00:10:00 - 00:10:03] Bomberry在2000年发表的论文
[00:10:03 - 00:10:05] 提供了一种通过外奥显示
[00:10:05 - 00:10:07] 公式来构造二次型的方法
[00:10:07 - 00:10:09] 这篇论文在发表后的20多年里
[00:10:09 - 00:10:12] 没有被直接用于提升零点比例的下限
[00:10:12 - 00:10:15] 原因可能是它的条件比较苛刻
[00:10:15 - 00:10:17] 或者需要和其他工具配合才能发挥作用
[00:10:17 - 00:10:20] Cloud在阅读Blade等人的系列工作之后
[00:10:20 - 00:10:22] 意识到Bomberry的构造正好
[00:10:22 - 00:10:24] 可以填补一个技术空白
[00:10:24 - 00:10:26] 它提供了足够的举信息
[00:10:26 - 00:10:28] 使得不路幼等人的估计
[00:10:28 - 00:10:29] 可以被推进到一个新的精度
[00:10:29 - 00:10:31] 这种跨论文的关联发现
[00:10:31 - 00:10:32] 人类研究者也会做
[00:10:32 - 00:10:34] 但Cloud能够在短时间内
[00:10:34 - 00:10:37] 扫描大量文献并建立这种联系
[00:10:37 - 00:10:38] 老代马库里的一个函数
[00:10:38 - 00:10:41] 在新业务场景下突然有了用户之地
[00:10:41 - 00:10:42] 通过上述组合
[00:10:42 - 00:10:45] Cloud证明了至少67.2%的
[00:10:45 - 00:10:48] 非频繁零点位于零界线上
[00:10:48 - 00:10:50] 这个数字的推导过程是构造性的
[00:10:50 - 00:10:53] Cloud不仅给出了一个存在性证明
[00:10:53 - 00:10:56] 还提供了具体的常数和可验证的计算步骤
[00:10:56 - 00:10:59] 从41.6%到67.2%
[00:10:59 - 00:11:03] 这个跳跃的幅度在解析数论的历史上是显著的
[00:11:03 - 00:11:05] 人类数学家花了几十年的时间猜吧
[00:11:05 - 00:11:10] 比例从早期的几个百分点提升到41.6%
[00:11:10 - 00:11:15] 而Cloud在一次实验中就把剩余的距离覆盖了超过一半
[00:11:15 - 00:11:16] 当然这很搭程度上是因为
[00:11:16 - 00:11:19] Cloud站在了前人工作的肩膀上
[00:11:19 - 00:11:22] 但它识别出这些肩膀可以叠在一起的方式
[00:11:22 - 00:11:23] 本身就是一种贡献
[00:11:23 - 00:11:26] 相当于在EOLAPI之上封装了一个新接口
[00:11:26 - 00:11:28] 功能大幅提升
[00:11:28 - 00:11:29] Cloud完成推导后
[00:11:29 - 00:11:32] 主动建议找人类数论专家来验证
[00:11:32 - 00:11:35] Anthropic的两位数学家Levand Elp Jay
[00:11:35 - 00:11:38] 和Ralph Foreman首先审约了Cloud的工作
[00:11:38 - 00:11:40] 理解了新结果与EOL文献的关系
[00:11:40 - 00:11:43] 随后Brain Conray和Dan Goldston
[00:11:43 - 00:11:46] 两位外部专家也在短时间内审约了论文
[00:11:46 - 00:11:49] Conray和Goldston都是这个领域的权威
[00:11:49 - 00:11:51] 他们的认可意味着Cloud的证明
[00:11:51 - 00:11:52] 在数学上是站得住角的
[00:11:52 - 00:11:54] Alop J和Furman还撰写了
[00:11:54 - 00:11:57] 一份面向专家的简明笔记
[00:11:57 - 00:11:59] 把Cloud的证明用更标准的数学语言
[00:11:59 - 00:12:01] 重新表述了一遍
[00:12:01 - 00:12:03] 这个验证流程和软件工程中的
[00:12:03 - 00:12:04] Coder Review非常相似
[00:12:04 - 00:12:05] AI写代码
[00:12:05 - 00:12:06] 人类做审查
[00:12:06 - 00:12:09] 确保逻辑正确且风格规范
[00:12:09 - 00:12:11] 双重验证机制保证了可靠性
[00:12:11 - 00:12:12] 除了人类审阅
[00:12:12 - 00:12:15] Cloud还和Eric Easley合作
[00:12:15 - 00:12:17] 用Lin证明助手把结果形式化了
[00:12:17 - 00:12:19] Lin是一种交互式定理证明器
[00:12:19 - 00:12:24] 他要求把数学证明的每一步都写成严格的行事化语言
[00:12:24 - 00:12:27] 然后由计算机验证每一步是否符合逻辑规则
[00:12:27 - 00:12:31] Cloud的行事化证明通过了另的标准验证工具
[00:12:31 - 00:12:35] 这意味着Cloud的结果不仅得到了人类数学家的认可
[00:12:35 - 00:12:36] 还得到了机器的逻辑验证
[00:12:36 - 00:12:40] 在数学界行事化证明正在变得越来越重要
[00:12:40 - 00:12:43] 因为它可以消除人类审约中可能遗漏的稀微错误
[00:12:43 - 00:12:46] Cloud能够自主完成从自然语言
[00:12:46 - 00:12:48] 证明到行事化证明的转换
[00:12:48 - 00:12:51] 说明它对数学论证的结构有相当深的理解
[00:12:51 - 00:12:54] 类型系统思维在这里大方一彩
[00:12:54 - 00:12:56] 整个实验最有趣的点在于
[00:12:56 - 00:12:59] Cloud被指派去证明黎曼猜想本身
[00:12:59 - 00:13:01] 但它在一个相关的子问题上取得了突破
[00:13:01 - 00:13:03] 这在科研中其实很常见
[00:13:03 - 00:13:04] 主目标太难
[00:13:04 - 00:13:08] 但在追求主目标的过程中发现了新的路径
[00:13:08 - 00:13:09] 对于程序员来说
[00:13:09 - 00:13:11] 这就像一个大型重构项目
[00:13:11 - 00:13:14] 虽然最终没有把整个系统重写
[00:13:14 - 00:13:15] 但在重构过程中
[00:13:15 - 00:13:18] 发现并修复了一个关键性能瓶颈
[00:13:18 - 00:13:20] Cloud的这次工作表明
[00:13:20 - 00:13:21] AI在数学研究中的角色
[00:13:21 - 00:13:24] 未必是直接攻克最困难的开放问题
[00:13:24 - 00:13:26] 更多时候它充当灵感方大气
[00:13:26 - 00:13:29] 帮助人类研究者看到已有工具的新组合方式
[00:13:29 - 00:13:32] 在意想不到的地方打开缺口
[00:13:32 - 00:13:35] 副产品驱动创新在软件行业也是常态
[00:13:35 - 00:13:38] Cloud在实验初期对自己的能力持怀疑态度
[00:13:38 - 00:13:40] 这反映了训练数据中对AI
[00:13:40 - 00:13:42] 数学能力的普遍保守估计
[00:13:42 - 00:13:46] 但实验结果表明这种估计可能过于悲观
[00:13:46 - 00:13:48] 3100万token的计算量
[00:13:48 - 00:13:49] 60个紫代理的协作
[00:13:49 - 00:13:51] 数千次数值验证这些数字
[00:13:51 - 00:13:53] 说明Cloud在拥有足够
[00:13:53 - 00:13:55] 计算资源和适当鼓励的情况下
[00:13:55 - 00:13:58] 可以完成相当复杂的数学研究任务
[00:13:58 - 00:14:01] 当然这并不意味着AI即将取代数学家
[00:14:01 - 00:14:04] Cloud的工作严重依赖于人类数学家
[00:14:04 - 00:14:06] 在过去几十年里建立的理论框架
[00:14:06 - 00:14:08] 它的贡献在于整合和推进
[00:14:08 - 00:14:09] 而不是从零创造
[00:14:09 - 00:14:13] 但整合和推进本身就是数学研究的重要组成部分
[00:14:13 - 00:14:16] AI的定位更像是高级研究助理
[00:14:16 - 00:14:19] 对于观看这个视频的程序员和工程师
[00:14:19 - 00:14:21] Cloud的这次实验有几个值得关注的启示
[00:14:21 - 00:14:23] 第一工具练很重要
[00:14:23 - 00:14:25] Cloud Code作为开发环境
[00:14:25 - 00:14:28] 提供了代码执行文件管理和多轮对话的能力
[00:14:28 - 00:14:30] 这样Cloud可以把数学想法
[00:14:30 - 00:14:32] 快速转化为可验证的代码
[00:14:32 - 00:14:34] 第二分布式协作架构可以
[00:14:34 - 00:14:37] 显著提升复杂问题的解决能力
[00:14:37 - 00:14:38] 60个子弹里的分工模式
[00:14:38 - 00:14:42] 和微服架构或者MapReduce的思想有相通之处
[00:14:42 - 00:14:46] 第三 测试驱动的方法论同样适用于数学研究
[00:14:46 - 00:14:49] 数值验证 反例搜索 独立重证
[00:14:49 - 00:14:51] 这些步骤和软件测试中的单元测试
[00:14:51 - 00:14:54] 模糊测试回归测试是一一对应的
[00:14:54 - 00:14:57] 第四 失败后的迭代比第一次尝试更重要
[00:14:57 - 00:15:00] 650个想法的失败没有让Cloud放弃
[00:15:00 - 00:15:02] 而是促使它调整策略
[00:15:02 - 00:15:04] 这种韧性是解决问题的关键
[00:15:04 - 00:15:07] 林曼猜想本身仍然悬而未决
[00:15:07 - 00:15:10] 67.2%虽然是一个显著的进步
[00:15:10 - 00:15:12] 但离100%还有很长的距离
[00:15:12 - 00:15:14] Cloud使用的技术路线
[00:15:14 - 00:15:15] 按照它自己的评估
[00:15:15 - 00:15:16] 不太可能直接导向
[00:15:16 - 00:15:18] 黎曼猜想的最终证明
[00:15:18 - 00:15:20] 但这并不影响这次工作的价值
[00:15:20 - 00:15:21] 数学研究
[00:15:21 - 00:15:23] 从来都不是只有最终证明
[00:15:23 - 00:15:24] 才有意义
[00:15:24 - 00:15:25] 每一个中间结果
[00:15:25 - 00:15:27] 都在拓展人类对结构的理解
[00:15:27 - 00:15:28] Cloud把几篇
[00:15:28 - 00:15:29] 看似不相关的论文
[00:15:29 - 00:15:30] 连接起来
[00:15:30 - 00:15:32] 发现了一个可以量化的改进
[00:15:32 - 00:15:33] 这个过程
[00:15:33 - 00:15:35] 本身就是数学发现的真实写照
[00:15:35 - 00:15:37] 对于关心AI和技术边界的人来说
[00:15:37 - 00:15:39] 这次实验提供了一个具体的案例
[00:15:39 - 00:15:41] AI可以在人类专家
[00:15:41 - 00:15:43] 业务院的验证的框架内
[00:15:43 - 00:15:46] 完成从文献宗数理论推导数值验证道
[00:15:46 - 00:15:49] 形式化证明的完整研究避还
[00:15:49 - 00:15:52] 这远非终点更像一个值得继续观察的起点
[00:15:52 - 00:15:54] 如果这期内容有点意思
[00:15:54 - 00:15:55] 点赞投币收藏
[00:15:55 - 00:15:56] 一键三连
[00:15:56 - 00:15:57] 我是为什么叫QQ
[00:15:57 - 00:15:58] 我们下期再见
