BV号：BV1CmjN6YEfd
标题：BV1CmjN6YEfd
链接：https://www.bilibili.com/video/BV1CmjN6YEfd
识别语言：zh
语言置信度：1
分段数：258
生成时间：2026-08-29 17:59:51

[00:00:00 - 00:00:02] 大家好 我是为什么叫QQ
[00:00:02 - 00:00:03] 你有没有这样的感受
[00:02:26 - 00:02:28] 反向传播
[00:02:28 - 00:02:30] 在1986年那篇Nature论文后
[00:02:30 - 00:02:33] 真正进入了神经网络研究者的中心视野
[00:02:33 - 00:02:35] 很多人以为AI是这几年才爆发的
[00:02:35 - 00:02:38] 其实底层的伙种几十年前就埋下了
[00:02:38 - 00:02:41] Rich Sutton 2019年写了The Better Lesson
[00:02:41 - 00:02:45] 1000多字它比10倍长的纵述更能预测行业走向
[00:02:45 - 00:02:47] 但我要说的不只是读老论文
[00:02:47 - 00:02:50] 我要说的是你的信息来源要足够宽
[00:02:50 - 00:02:53] 1940年代有个好莱坞女演员叫海蒂拉马
[00:02:53 - 00:02:56] 她早年与军火制造商Fris Mano的婚姻
[00:02:56 - 00:02:59] 让她接触到武器系统和鱼雷控制问题
[00:02:59 - 00:03:02] 这个问题卡住了所有的军事工程师
[00:03:02 - 00:03:04] 但海蒂拉马没有放过她
[00:03:04 - 00:03:06] 她和一个作曲家George Anteil合作
[00:03:06 - 00:03:08] 这个作曲家的专长是什么
[00:03:08 - 00:03:10] 自动演奏钢琴的机械原理
[00:03:10 - 00:03:12] 一个女演员加一个音乐家
[00:03:12 - 00:03:14] 两个看起来毫不相关的领域
[00:03:14 - 00:03:15] 他们想到了什么
[00:03:15 - 00:03:17] 跳平
[00:03:17 - 00:03:19] 发射端和接收端按照同步规律
[00:03:19 - 00:03:21] 不断切换频率
[00:03:21 - 00:03:22] 敌方无法预测下一个频率
[00:03:22 - 00:03:24] 所以无法干扰
[00:03:24 - 00:03:25] 他们1941年提交申请
[00:03:25 - 00:03:27] 1942年获得了美国专利
[00:03:27 - 00:03:30] USR-292387A
[00:03:30 - 00:03:33] 提为Secret Communication System
[00:03:33 - 00:03:34] 这项调评思想
[00:03:34 - 00:03:36] 后来被视为扩平通信的
[00:03:36 - 00:03:37] 重要早期成果
[00:03:37 - 00:03:38] 也帮助奠定了WiFi
[00:03:38 - 00:03:41] 蓝牙GPS等无线通信技术的
[00:03:41 - 00:03:42] 一部分基础
[00:03:42 - 00:03:44] 为什么海滴拉马能想到这个
[00:03:44 - 00:03:45] 他不是工程师
[00:03:45 - 00:03:46] 他是演员
[00:03:46 - 00:03:48] 但他的信息输入很宽
[00:03:48 - 00:03:50] 他接触过军事知识
[00:03:50 - 00:03:51] 他认识音乐家
[00:03:51 - 00:03:53] 他知道自动钢琴怎么工作
[00:03:53 - 00:03:55] 这些看似无关的输入
[00:03:55 - 00:03:57] 在某个时刻碰撞出了火花
[00:03:57 - 00:03:58] 这就是广度的力量
[00:03:58 - 00:04:01] 跨界打劫往往能降为打击
[00:04:01 - 00:04:03] 第三个紧缩反馈循环
[00:04:03 - 00:04:04] 这个最直接
[00:04:04 - 00:04:06] 也是最容易被忽视的
[00:04:06 - 00:04:09] Alic Radford是原始GPT和GPT
[00:04:09 - 00:04:10] 二论文的第一作者之一
[00:04:10 - 00:04:12] 他在OpenAI的成功
[00:04:12 - 00:04:14] 不是因为他有什么天才想法
[00:04:14 - 00:04:15] 他的方法很简单
[00:04:15 - 00:04:17] 连续是 连续失败
[00:04:17 - 00:04:18] 连续换数据和设定
[00:04:18 - 00:04:20] 它不是在想它在做
[00:04:20 - 00:04:23] 它的现实模型更新的比任何人都快
[00:04:23 - 00:04:24] 它的反馈循环最短
[00:04:24 - 00:04:25] 你想象一下
[00:04:25 - 00:04:28] 普通研究者可能一个月跑一个大实验
[00:04:28 - 00:04:31] 而它的路径是一个月跑数十个实验
[00:04:31 - 00:04:34] 一个月下来它试错的次数是别人的数十倍
[00:04:34 - 00:04:37] 研究速度就是你发现自己搞错了的速度
[00:04:37 - 00:04:38] 发现的快改的快
[00:04:38 - 00:04:41] 下一次就不会再犯同样的错
[00:04:41 - 00:04:44] Andrey Carpety写过一个神经网络训练配方
[00:04:44 - 00:04:45] 里面有个步骤
[00:04:45 - 00:04:46] 改变了我对训练的理解
[00:04:46 - 00:04:51] 他说,在用真实数据训练前先在一个p次上过你和
[00:04:51 - 00:04:53] 就一个p次可能只有两三个样本
[00:04:53 - 00:04:57] 你的目标是让模型在这个小p次上达到完美
[00:04:57 - 00:04:58] 这听起来很傻对吧
[00:04:58 - 00:05:02] 但这一步能快速暴露大量管线问题
[00:05:02 - 00:05:02] 为什么?
[00:05:02 - 00:05:06] 因为如果模型连这么小的数据都过你和不了
[00:05:06 - 00:05:10] 说明你的代码、你的数据处理、你的模型结构肯定有问题
[00:05:10 - 00:05:11] 30秒钟你就知道了
[00:05:11 - 00:05:12] 对比一下
[00:05:12 - 00:05:15] 如果你直接在整个数据级上训练
[00:05:15 - 00:05:16] 跑三天
[00:05:16 - 00:05:17] 损失函数不下降
[00:05:17 - 00:05:19] 你得花一周去调试
[00:05:19 - 00:05:20] 那一周你什么都没学到
[00:05:20 - 00:05:22] 所以卡普特特建议是
[00:05:22 - 00:05:23] 把东西搜到最便宜
[00:05:23 - 00:05:25] 先在一个样本上搞对
[00:05:25 - 00:05:27] 再在一个p字上搞对
[00:05:27 - 00:05:29] 再在一个小数据级上搞对了
[00:05:29 - 00:05:31] 最后才在全数据上烧算理
[00:05:31 - 00:05:32] 这就是为什么工程能力
[00:05:32 - 00:05:34] 对研究者这么重要
[00:05:34 - 00:05:35] 很多人以为工程师辅助
[00:05:35 - 00:05:36] 其实不然
[00:05:36 - 00:05:39] 在前沿工程和研究早就融合了
[00:05:39 - 00:05:41] 能快速搭实验框架
[00:05:41 - 00:05:42] 能写清楚的配置文件
[00:05:42 - 00:05:44] 能一个命令启动实验
[00:05:44 - 00:05:47] 能快速对比两次运行结果的研究者
[00:05:47 - 00:05:49] 他们的假设才会真的被测试
[00:05:49 - 00:05:52] 其他人都在排队等着调试环境
[00:05:52 - 00:05:54] 很多人觉得做研究就是憋大招
[00:05:54 - 00:05:55] 想到一个聪明的想法
[00:05:55 - 00:05:56] 然后执行
[00:05:56 - 00:05:58] 大错特错
[00:05:58 - 00:05:59] 研究在数据里
[00:05:59 - 00:06:01] Carpety写训练代码前
[00:06:01 - 00:06:03] 先花几个小时手工看原始数据
[00:06:03 - 00:06:06] 机器学习的bug大多在数据里无声无息
[00:06:06 - 00:06:08] 你只会得到一个平庸的模型
[00:06:08 - 00:06:10] 然后编造一个错误的理论
[00:06:10 - 00:06:12] Andrew Ng在Machine Learning yearning里
[00:06:12 - 00:06:14] 也讲过类似方法
[00:06:14 - 00:06:16] 手工看大约100个失败案例
[00:06:16 - 00:06:17] 分类
[00:06:17 - 00:06:19] 然后优先攻击最大的一类错误
[00:06:19 - 00:06:20] 这是最笨的办法
[00:06:20 - 00:06:22] 也是最有效的办法
[00:06:22 - 00:06:24] 一条奇怪行为的日质
[00:06:24 - 00:06:26] 能交给你的东西比小数点
[00:06:26 - 00:06:28] 后两位的精度提升多得多
[00:06:28 - 00:06:29] 魔鬼都在细节里
[00:06:29 - 00:06:32] 所以做好研究的底层逻辑就三个词
[00:06:32 - 00:06:33] 自主叠带开放
[00:06:33 - 00:06:34] 自主选问题
[00:06:34 - 00:06:35] 你想解决什么
[00:06:35 - 00:06:37] 什么问题让你凌晨三点睡不着
[00:06:38 - 00:06:40] 这种主动性会把你带到无人区加快叠带
[00:06:40 - 00:06:43] 通过工具记录预测和修正
[00:06:43 - 00:06:44] 加快你发现错误的速度
[00:06:44 - 00:06:46] 你试错越多学得越快
[00:06:46 - 00:06:49] 保持开放分享、复线解释讨论
[00:06:49 - 00:06:52] 那些做出顶尖工作的人往往敞开大门
[00:06:52 - 00:06:55] 他们被打断是因为他们需要外界的信息
[00:06:55 - 00:06:56] 这三个东西加起来
[00:06:56 - 00:06:59] 就是为什么有些人的速度比别人快10倍
[00:06:59 - 00:07:02] 他们有更好的系统广度是你的保险
[00:07:02 - 00:07:03] 每个子领域都会饱和
[00:07:03 - 00:07:06] 通常在他上推特热搜之后
[00:07:06 - 00:07:08] 那些在朝起朝落中一直有产出的人
[00:07:08 - 00:07:10] 早就摸清了隔壁的底细
[00:07:10 - 00:07:12] 你的第一个子领域纯属偶然
[00:07:12 - 00:07:17] 在可解释性评估强化学习系统里都花点时间这个领域的某个角落
[00:07:17 - 00:07:20] 你那些奇怪的特质会变成不公平的优势
[00:07:20 - 00:07:22] 现在回到我们一开始说的问题
[00:07:22 - 00:07:25] 你花三个月做研究论文投志去没反应
[00:07:25 - 00:07:27] 为什么?因为你只做了一次
[00:07:27 - 00:07:31] Alex Rettford他一个月做数十次,你一个月做一次
[00:07:31 - 00:07:34] 他发现问题的速度是你的数十倍
[00:07:34 - 00:07:36] 他改进的速度也是你的数十倍
[00:07:36 - 00:07:39] 一年下来他已经在你前面跑了数十倍的距离
[00:07:39 - 00:07:41] 这就是系统的力量
[00:07:41 - 00:07:44] 自主选择问题快速迭代发现错误
[00:07:44 - 00:07:45] 保持开放吸收反馈
[00:07:45 - 00:07:48] 这三个东西一旦启动就像一个复利机制
[00:07:48 - 00:07:51] 每一次小的改进都是基于上一次的教选
[00:07:51 - 00:07:53] 你不是在重复犯错
[00:07:53 - 00:07:54] 你是在螺旋式上升
[00:07:54 - 00:07:56] 一个月后你的品位变了
[00:07:56 - 00:07:58] 三个月后你的信息输入变了
[00:07:58 - 00:08:01] 一年后你成了一个完全不同的研究者
[00:08:01 - 00:08:03] 而那些还在用老办法的人
[00:08:03 - 00:08:04] 他们一年后还是那样
[00:08:04 - 00:08:07] 这就是为什么海地拉马能想到跳平
[00:08:07 - 00:08:09] 他不是一个人在思考
[00:08:09 - 00:08:12] 他在和作曲家对话在讨论中听军事问题
[00:08:12 - 00:08:14] 在自动钢琴前思考
[00:08:14 - 00:08:16] 他在做的就是这个系统
[00:08:16 - 00:08:19] 自主选择问题快速迭代思考保持开放交流
[00:08:19 - 00:08:22] 他的专利在战争期间没被采纳
[00:08:22 - 00:08:23] 他也没有获得任何回报
[00:08:23 - 00:08:25] 但他改变了无限通信的历史
[00:08:25 - 00:08:27] 因为他建立了一个系统
[00:08:27 - 00:08:29] 这个系统在时间中复立
[00:08:29 - 00:08:30] 这就是做研究的真相
[00:08:30 - 00:08:32] 不是一个聪明的想法
[00:08:32 - 00:08:34] 是一个能让你快速发现错误
[00:08:34 - 00:08:36] 快速学习快速进化的系统
[00:08:36 - 00:08:39] 你现在的工作里反馈循环有多长
[00:08:39 - 00:08:40] 一天
[00:08:40 - 00:08:41] 一周
[00:08:41 - 00:08:42] 一个月
[00:08:42 - 00:08:44] 如果你能把它加快10倍会发生什么
[00:08:44 - 00:08:47] 这是本集全部内容感谢观看
[00:08:47 - 00:08:48] 我是为什么叫QQ
[00:08:48 - 00:08:50] 记得点赞投币收藏关注
[00:08:50 - 00:08:52] 我们下期见
