BV号：BV1yZLTzDEFP
标题：BV1yZLTzDEFP
链接：https://www.bilibili.com/video/BV1yZLTzDEFP
识别语言：zh
语言置信度：1
分段数：296
生成时间：2026-08-30 06:41:23

[00:00:00 - 00:00:01] 这里是为什么叫QQ
[00:04:22 - 00:04:24] 它开始查询文献
[00:04:24 - 00:04:27] 结合2024年自然生物学杂志的相关内容
[00:04:27 - 00:04:30] 解释生波吸引右体珊瑚附着的原理
[00:04:30 - 00:04:31] 接着呢
[00:04:31 - 00:04:35] 它用可视化工具Canvas生成了珊瑚覆盖率增长的曲线图
[00:04:35 - 00:04:38] 时间跨度从2010年到2025年
[00:04:38 - 00:04:41] 还添加了水下生波设备的SVG实量示意图
[00:04:41 - 00:04:42] 在这个过程中
[00:04:42 - 00:04:44] O3也用到了很多的工具
[00:04:44 - 00:04:48] 它通过新闻爬虫爬取了BBC Science Daily近期的相关报道
[00:04:48 - 00:04:51] 调用MATLAB的列表库生成数据图
[00:04:51 - 00:04:55] 并且导出为交互式的HTML切入到博客中
[00:04:55 - 00:04:57] 还自动生成了APA格式的参考文献
[00:04:57 - 00:05:00] 包括三篇论文和两篇技术报告
[00:05:00 - 00:05:02] 从这个案例中可以看出
[00:05:02 - 00:05:04] O3模型能够跨领域的关联用户兴趣
[00:05:04 - 00:05:06] 生成专业级的科普内容
[00:05:06 - 00:05:07] 而且呢
[00:05:07 - 00:05:10] 工具链的自动化大大降低了内容创作的门槛
[00:05:10 - 00:05:12] 从检索资料到排版
[00:05:12 - 00:05:13] 整个流程呢
[00:05:13 - 00:05:15] 都可以高效的完成
[00:05:15 - 00:05:17] 除了这些实际应用的案例以外
[00:05:17 - 00:05:22] OpenAI在发布会上还展示了O3和O4迷你模型在多个权威基准上的表现
[00:05:22 - 00:05:27] 涵盖了数学编程、科学推理、多模态理解等多个维度
[00:05:27 - 00:05:30] 我们先来看看数学与科学推理基准
[00:05:30 - 00:05:33] 在AME 2024和2025数学竞赛中
[00:05:33 - 00:05:36] O3和O4迷你在引入Python工具之后
[00:05:36 - 00:05:37] 准确率都大幅提升
[00:05:37 - 00:05:39] 尤其是O4迷你
[00:05:39 - 00:05:41] 在AME 2024中几乎封顶
[00:05:41 - 00:05:43] 在AME 2025上
[00:05:43 - 00:05:45] 准确率更是高达99.5%
[00:05:45 - 00:05:47] 几乎达到了人类的极限水平
[00:05:47 - 00:05:52] 这表明工具的使用对于解决复杂数学题有着极大的帮助
[00:05:52 - 00:05:55] 在 GPQA Demo 的博士及科学问题测试中
[00:05:55 - 00:05:59] O3 和 O4 Mini 在高难度科学推理上都有着显著的提升
[00:05:59 - 00:06:03] 其中 O3 在无工具的使用下表现最佳
[00:06:03 - 00:06:05] 推理能力已经接近于博士的水平
[00:06:05 - 00:06:07] 再看看编程与代码能力几准
[00:06:07 - 00:06:11] 在国际知名的算法竞赛平台 CodeForces 上
[00:06:11 - 00:06:14] O3 和 O4 Mini 引入中端工具之后
[00:06:14 - 00:06:16] L分数大幅提升
[00:06:16 - 00:06:19] 成功积身了全球前200名选手的水平
[00:06:19 - 00:06:21] 远超上一代的模型
[00:06:21 - 00:06:24] 在SW-E Lancer自由职业编程任务测试中
[00:06:24 - 00:06:28] O3Hi和O4MiniHi在基准下的收益
[00:06:28 - 00:06:32] 分别达到了65250和56375
[00:06:32 - 00:06:35] 也远超O1Hi和O3MiniHi
[00:06:35 - 00:06:39] 这意味着O3和O4Mini在真实世界复杂编程任务中
[00:06:39 - 00:06:41] 能够完成更多高价值的项目
[00:06:41 - 00:06:43] 商业能力显著的提升
[00:06:43 - 00:06:47] 也说明AI已经具备在实际工程项目中创造巨大经济价值的能力
[00:06:47 - 00:06:51] 在S,W,E,Bench软件工程验证测试里
[00:06:51 - 00:06:55] O3和O4 Mini High的准确率都超过了68%
[00:06:55 - 00:06:56] 大幅领先,O1
[00:06:56 - 00:07:00] 在AderPolegraph多语言代码编辑测试中
[00:07:00 - 00:07:03] O3 High在整体和差异编辑任务中都表现突出
[00:07:03 - 00:07:06] O4 Mini High呢,也有着不错的表现
[00:07:06 - 00:07:08] 这些结果都证明
[00:07:08 - 00:07:12] O3系列在真实世界代码任务和多语言编辑场景下
[00:07:12 - 00:07:13] 有着极强的实用性
[00:07:13 - 00:07:14] 接着呢
[00:07:14 - 00:07:16] 试多摩泰理解与推理基准
[00:07:16 - 00:07:19] 在MMM U大学及视觉问题解决测试中
[00:07:19 - 00:07:23] O3和O4 mini的准确率都超过了81%
[00:07:23 - 00:07:24] 大幅领先O1
[00:07:24 - 00:07:26] 在MaxVista视觉数学推理测试中
[00:07:26 - 00:07:30] O4 mini的准确率达到了84.4%
[00:07:30 - 00:07:31] O3呢
[00:07:31 - 00:07:32] 为87.5%
[00:07:32 - 00:07:34] 同样远超O1
[00:07:34 - 00:07:37] 在XE5 Reasoning科学图表推理测试中
[00:07:37 - 00:07:39] O3的准确率是75.4%
[00:07:39 - 00:07:40] O4 mini
[00:07:40 - 00:07:42] 为72%
[00:07:42 - 00:07:43] 而O1呢
[00:07:43 - 00:07:44] 仅为55.1%
[00:07:44 - 00:07:46] 在视觉搜索测试中
[00:07:46 - 00:07:48] O3和O4 mini的准确率
[00:07:48 - 00:07:50] 都超过了94%
[00:07:50 - 00:07:52] 大幅领先O1和J
[00:07:52 - 00:07:53] PT4
[00:07:53 - 00:07:53] 哦
[00:07:54 - 00:07:56] 这一系列的数据都表明
[00:07:56 - 00:07:57] O3和O4 mini
[00:07:57 - 00:07:59] 在多摩泊任务上
[00:07:59 - 00:08:00] 可以说是全面超越了O1
[00:08:00 - 00:08:02] 尤其是在视觉推理
[00:08:02 - 00:08:04] 和科学图表理解方面表现卓越
[00:08:04 - 00:08:06] 达到了业界的领先水平
[00:08:06 - 00:08:09] 是综合推理与多轮指令跟随测试
[00:08:09 - 00:08:12] 在Humanities LastXM跨學科專家級問題測試中
[00:08:12 - 00:08:15] O3結合Python瀏覽和其他工具之後
[00:08:15 - 00:08:17] 綜合推理能力大幅提升
[00:08:17 - 00:08:20] 接近於深度研究Deba Research的水平
[00:08:20 - 00:08:23] 在Scale Multi-Challenge多輪指令跟隨測試中
[00:08:23 - 00:08:27] O3在多輪複雜指令跟隨任務中表現最優
[00:08:27 - 00:08:30] 這顯示出它在長烈路推理和任務分解方面
[00:08:30 - 00:08:31] 具有很強的能力
[00:08:31 - 00:08:33] 還有成本效率推理測試
[00:08:33 - 00:08:36] O4 Mini不僅推理能力更強
[00:08:36 - 00:08:37] 而且呢
[00:08:37 - 00:08:38] 推理的成本更低
[00:08:38 - 00:08:41] 非常适合大规模部署和实际的应用场景
[00:08:41 - 00:08:43] 从测试数据来看
[00:08:43 - 00:08:45] 在低中高三个推理成本之下
[00:08:45 - 00:08:48] O4 mini的准确率都显著高于O3 mini
[00:08:48 - 00:08:50] 在所有的成本到位中
[00:08:50 - 00:08:53] O4 mini的通过率也都优于O3 mini
[00:08:53 - 00:08:55] 尤其是在低成本下优势明显
[00:08:55 - 00:08:59] 这使得AI的普及性和实用性得到了极大提升
[00:08:59 - 00:08:59] 对比O1
[00:08:59 - 00:09:02] O3模型实现了跨越式的进步
[00:09:02 - 00:09:04] 在同等甚至更低的成本下
[00:09:04 - 00:09:07] O3的推理能力大幅超越O1
[00:09:07 - 00:09:17] 以AIM-125为例,O3在低中高成本下的准确率都远超O1,O3Hide的准确率超过了0.85,而OEI仅为0.75。
[00:09:17 - 00:09:26] 在GBQAPass1科学推理任务上,O3同时大幅领先O1,O3Hide的通过率超过0.82,OEII仅为0.77。
[00:09:26 - 00:09:31] 这充分体现了O3在数学推理和高难度科学问题处理上的巨大优势。
[00:09:31 - 00:09:34] 从训练过程中的性能提升来看
[00:09:34 - 00:09:35] 随着训练算力的增加
[00:09:35 - 00:09:37] O3的表现呢
[00:09:37 - 00:09:38] 也会持续的提升
[00:09:38 - 00:09:40] 最终远超O1
[00:09:40 - 00:09:42] O1在算力提升后的表现
[00:09:42 - 00:09:43] 会趋于平稳
[00:09:43 - 00:09:45] 而O3则会继续的大幅提升
[00:09:45 - 00:09:46] 最终接近90分
[00:09:46 - 00:09:49] 这说明O3模型在大规模算力的投入下
[00:09:49 - 00:09:51] 性能提升曲线更陡峭
[00:09:51 - 00:09:53] 具有更强的可扩展性
[00:09:53 - 00:09:55] 从而可以为未来更大规模
[00:09:55 - 00:09:57] 更高能力的AI系统电定基础
[00:09:57 - 00:09:59] 发布会还有一个亮点
[00:09:59 - 00:10:01] 就是开原版的清亮级编码Agent CodeX
[00:10:01 - 00:10:06] 它可以说是直接对标的Cloud Code,并且这次选择了开源,
[00:10:06 - 00:10:09] 它能够安全地将AI模型与用户本地环境连接,
[00:10:09 - 00:10:13] 实现自动化的编码生成文件、编辑命令执行等等功能。
[00:10:13 - 00:10:15] CodeX
[00:10:15 - 00:10:20] I支持建议模式和全自动模式,既保证了安全性,
[00:10:20 - 00:10:21] 又提升了效率。
[00:10:21 - 00:10:27] 在现场演示中,OpenAI的团队成员使用CodeX-CRI和O4-mini模型,
[00:10:27 - 00:10:29] 快速复现了社区中的一个图片生成项目。
[00:10:29 - 00:10:42] 整个过程中,AI不仅可以自动分析图片,生成HTML代码,还可以通过Web Camera API来扩展功能,展示出了AI与本地工具深度结合的巨大潜力。
[00:10:42 - 00:10:59] 在价格方面,OpenAI O3的输入为每100万个Token10美元,缓存输入为每100万个Token2.5美元,输出为每100万个Token40美元,而O3 mini的输入为每100万个Token1.1美元,缓存输入为每100万个Token
[00:10:59 - 00:11:04] 0.275美元,输出为每100万个tokens,4.4美元。
[00:11:04 - 00:11:10] 在安全方面,对于O3和O4 mini,OpenAI呢,这次全新重构了安全训练数据级,
[00:11:10 - 00:11:15] 新增了针对于生物威胁恶意软件生成粤域提示等领域的拒绝势力,
[00:11:15 - 00:11:19] 使得两个模型在内部的安全拒绝测试基准中表现优异。
[00:11:19 - 00:11:24] 比如说,在指令级理解和粤域防护上展现出了强大的防护能力。
[00:11:24 - 00:11:29] 除了模型自身的表现之外,Opener还开发了系统层面的风险缓解机制,
[00:11:29 - 00:11:33] 用来识别和标记涉及到前沿风险领域的危险提示。
[00:11:33 - 00:11:37] 比如说,他们训练了一个基于推理的语言模型监控器,
[00:11:37 - 00:11:41] 能够根据人类编写的可解释的安全规范进行判断。
[00:11:41 - 00:11:47] 在生物风险的红队测试中,这个监控器成功识别并且标记了大约99的高风险对话。
[00:11:47 - 00:11:50] OPPO呢,还按照最新的准备度框架标准
[00:11:50 - 00:11:54] 对这两个模型进行了迄今为止最为严格的安全测试
[00:11:54 - 00:11:58] 包括生物与化学风险网络安全,AI自我改进能力等三个方面
[00:11:58 - 00:12:05] 根据评估的结果显示,O3与O4 Mini在这三个领域中都处于低风险的级别
[00:12:05 - 00:12:10] 在开放进度方面,OPPOAI宣布O3-O4 Mini将逐步替代旧版的模型
[00:12:10 - 00:12:13] 并且已经向ProPlus Team等订阅用户开放
[00:12:13 - 00:12:19] JetBrains, GPT,企业和教育用户将在一周后获得访问的权限
[00:12:19 - 00:12:22] 免费用户呢,现在可以在查询前点击Sync按钮
[00:12:22 - 00:12:24] 尝试OC迷你的推理能力
[00:12:24 - 00:12:29] API端呢,也将在未来几周内支持工具的调用能力
[00:12:29 - 00:12:34] 与此同时,开源项目Codex还启动了100万美元的开源机力计划
[00:12:34 - 00:12:37] 鼓励开发者基于最新的模型和工具进行创新
[00:12:37 - 00:12:39] OpenAI的团队还强调
[00:12:39 - 00:12:42] O3的训练计算量是O1的十倍
[00:12:42 - 00:12:44] 凝聚了大量科学与工程的心血
[00:12:44 - 00:12:45] 未来呢
[00:12:45 - 00:12:48] 他们将继续推动AI系统的实用性效率和安全性
[00:12:48 - 00:12:50] 致力于让AI真正服务每一个人
[00:12:50 - 00:12:51] 好了
[00:12:51 - 00:12:56] 以上就是这次OpenAI O3和O4 Mini发布会的全部内容了
[00:12:56 - 00:12:58] 感谢大家观看本期视频
[00:12:58 - 00:12:59] 我们下期再见
