BV号：BV1m3DXBpE76
标题：BV1m3DXBpE76
链接：https://www.bilibili.com/video/BV1m3DXBpE76
识别语言：zh
语言置信度：1
分段数：173
生成时间：2026-08-29 16:53:34

[00:00:00 - 00:00:02] 大家好 我是为什么叫QQ
[00:00:02 - 00:00:04] 最近这几周 如果你常逛Gatehub
[00:00:04 - 00:00:07] 应该会注意到开源社区里的一个奇特现象
[00:02:02 - 00:02:05] 生成几个静态的Markdown文件
[00:02:05 - 00:02:09] 比如描述技术站偏号的Tag、Stack.md
[00:02:09 - 00:02:12] 以及描述沟通风格的Communication、Md
[00:02:12 - 00:02:14] 第三 上下文注入
[00:02:14 - 00:02:16] 当你通过中端 比如Cloud Code
[00:02:16 - 00:02:18] 调用这个skill时
[00:02:18 - 00:02:21] 系统会在每一次对话的System Prompt
[00:02:21 - 00:02:22] 系统提示词里
[00:02:22 - 00:02:25] 强行把这些Markdown文件作为前置约束塞进去
[00:02:25 - 00:02:28] 所以这并非什么突破性的技术起点
[00:02:28 - 00:02:32] 它的本质是利用大模型强大的指令遵循能力
[00:02:32 - 00:02:36] 进行的一场带有严格预设条件的自动化预料输出
[00:02:36 - 00:02:38] 当理解了它的底层逻辑
[00:02:38 - 00:02:40] 我们就能非常清晰地划定它的能力边界
[00:02:40 - 00:02:43] 不可否认在刚开始对话的几个回合
[00:02:43 - 00:02:45] 它能完美复刻你同事的口头禅
[00:02:45 - 00:02:49] 甚至能模仿出代码Review时那种挑剔的语气
[00:02:49 - 00:02:53] 这得益于现代大模型对自然语言特征的极强捕捉能力
[00:02:53 - 00:02:56] 但在真实的工程环境下这种数字分身
[00:02:56 - 00:02:59] 很快就会暴露出致命的系统性缺陷
[00:02:59 - 00:03:00] 主要体现在三个层面
[00:03:00 - 00:03:03] 第一场上下文带来的状态重置
[00:03:03 - 00:03:04] 大模型是无状态的
[00:03:04 - 00:03:09] 虽然现在的模型动辄支持128K甚至EM的上下文窗口
[00:03:09 - 00:03:10] 但在实际工程中
[00:03:10 - 00:03:15] 当你和这个数字同事进行了一场深度的涉及几百行代码改动
[00:03:15 - 00:03:18] 和多次推翻重来的技术讨论后
[00:03:18 - 00:03:21] Prump的注意力机制不可避免的会发生偏移
[00:03:21 - 00:03:25] 最初定义他性格和思考深度的那些潜知指令权重会被稀释
[00:03:25 - 00:03:27] 他会逐渐失去个性
[00:03:27 - 00:03:30] 退化成一个只会输出标准车咕嚕化的通用为哀
[00:03:30 - 00:03:33] 第二局部最优陷阱与专家为影
[00:03:33 - 00:03:35] 当你要求大模型扮演一个资身架构师时
[00:03:35 - 00:03:38] 他往往只是在模仿资身架构师的语言外壳
[00:03:38 - 00:03:41] 比如他会频繁的抛出微服
[00:03:41 - 00:03:42] 结有高可用这些词汇
[00:03:42 - 00:03:45] 但在实际解决一个线上偶发的死锁bug时
[00:03:45 - 00:03:48] 他给出的往往是教科书上绝对正确
[00:03:48 - 00:03:52] 但在当前业务场景下完全无法落地的废话
[00:03:52 - 00:03:56] 因为他没有经历过你们公司系统的历史基础债眼镜
[00:03:56 - 00:03:59] 他给出的是一个脱离了历史包袱的局部最优解
[00:03:59 - 00:04:02] 而不是真正全衡过业务风险后的工程决策
[00:04:02 - 00:04:04] 第三工程直觉的不可提取性
[00:04:04 - 00:04:07] 高级软件工程不仅是一门科学
[00:04:07 - 00:04:09] 更是一门关于妥协的艺术
[00:04:09 - 00:04:10] 一个真实的高级工程师
[00:04:10 - 00:04:13] 知道在什么节点应该牺牲代码优雅性
[00:04:13 - 00:04:15] 去换取业务的快速上线
[00:04:15 - 00:04:18] 知道哪个下游接口虽然文档写着高可用
[00:04:18 - 00:04:20] 但实际上极度脆弱
[00:04:20 - 00:04:22] 这种基于大量失败经验积累出的
[00:04:22 - 00:04:25] 工程直觉和代码品位
[00:04:25 - 00:04:26] 是无法被飞书上的
[00:04:26 - 00:04:28] 几行聊天记录所结构化的
[00:04:28 - 00:04:29] Garbage In Garbage Out
[00:04:29 - 00:04:31] 当你输入给大模型的
[00:04:31 - 00:04:33] 只有流程化沟通的废料时
[00:04:33 - 00:04:35] 它自然无法输出系统架构的灵魂
[00:04:35 - 00:04:37] 既然技术实现如此单薄
[00:04:37 - 00:04:39] 为什么它还能在开发者群体中
[00:04:39 - 00:04:41] 引起如此广泛的共鸣与讨论
[00:04:41 - 00:04:43] 跳出代码库
[00:04:43 - 00:04:44] 这其实折射出了当前
[00:04:44 - 00:04:46] 软件工业化进程中
[00:04:46 - 00:04:48] 一个非常值得探讨的组织形态问题
[00:04:49 - 00:04:51] 这个项目之所以能成功骗过很多人
[00:04:51 - 00:04:53] 让我们觉得某个同事被完美复刻了
[00:04:53 - 00:04:56] 根本原因并不是AI的表现有多么经验
[00:04:56 - 00:04:59] 而是我们人类在日常的职场协作中
[00:04:59 - 00:05:02] 行为模式已经变得高度可预测和高度结构化
[00:05:02 - 00:05:05] 仔细回想一下我们在协作软件里的沟通方式
[00:05:05 - 00:05:08] 需求以评审评估一下排期
[00:05:08 - 00:05:10] 这里有个block向需要对齐
[00:05:10 - 00:05:11] 这个接口先mock一下
[00:05:11 - 00:05:13] 在庞大的现代企业架构里
[00:05:13 - 00:05:16] 为了保证组织的确定性和效率
[00:05:16 - 00:05:18] 大部分开发者的日常沟通
[00:05:18 - 00:05:21] 其实已经被异化成了一种类似API接口的交互
[00:05:21 - 00:05:24] 我们接收特定格式的入餐需求文档
[00:05:24 - 00:05:25] 经过内部处理后
[00:05:25 - 00:05:27] 返回标准的出餐
[00:05:27 - 00:05:29] 代码提交或状态汇报
[00:05:29 - 00:05:30] 并随时准备抛出异常
[00:05:30 - 00:05:32] 甩锅或抛出风险
[00:05:32 - 00:05:35] 当我们发现一个同事几年的工作痕迹
[00:05:35 - 00:05:38] 居然可以被几分简单的markdown文件精准盖阔时
[00:05:38 - 00:05:40] 这种震撼其实是向内的
[00:05:40 - 00:05:43] 它让我们意识到在现代职场的流水线上
[00:05:43 - 00:05:46] 许多人已经被塑造成了一个无状态的微服
[00:05:46 - 00:05:50] 这也正是为什么这些项目会让人感到一种难以言喻的荒谬感
[00:05:50 - 00:05:52] 并不是机器越来越像人
[00:05:52 - 00:05:55] 而是工作流程要求人越来越像机器
[00:05:55 - 00:05:58] 最后我们回到现实的工程实践中来
[00:05:58 - 00:06:01] 如果你对这类技术感兴趣想在公司内往搭一个玩玩
[00:06:01 - 00:06:03] 我必须提醒你注意合规风险
[00:06:03 - 00:06:05] 未经个人明确授权
[00:06:05 - 00:06:09] 私自抓取并使用他人的聊天记录进行数据处理
[00:06:09 - 00:06:12] 在任何主流的个人信息保护法律框架下
[00:06:12 - 00:06:13] 明确的违规行为
[00:06:13 - 00:06:15] 技术探索不能成为
[00:06:15 - 00:06:16] 愚越隐私边界的借口
[00:06:16 - 00:06:18] 同事争留这类开源运动
[00:06:18 - 00:06:19] 它像是一面镜子
[00:06:20 - 00:06:22] 它用一种近乎细削的方式
[00:06:22 - 00:06:24] 验证了大模型在角色扮演
[00:06:24 - 00:06:26] 和结构化知识体许上的可行性
[00:06:26 - 00:06:27] 但同时
[00:06:27 - 00:06:29] 它也客观上帮我们理清了
[00:06:29 - 00:06:31] 人类工程师与自动化代码
[00:06:31 - 00:06:32] 生成器之间的
[00:06:32 - 00:06:33] 那条互称盒
[00:06:33 - 00:06:34] 在这个AI工具
[00:06:34 - 00:06:36] 日新月异的时代
[00:06:36 - 00:06:38] 优秀的工程师不应该沉迷于
[00:06:38 - 00:06:39] 去复刻一个机械的流程
[00:06:39 - 00:06:42] 或者被机器替代的焦虑所裹挟
[00:06:42 - 00:06:44] 我们真正应该做的是借由这些工具
[00:06:44 - 00:06:49] 把那些标准化的枯燥的 API 化的沟通和编码工作交接出去
[00:06:49 - 00:06:52] 让自动化的 规律自动化
[00:06:52 - 00:06:55] 将工程的直觉对复杂系统的架构思考
[00:06:55 - 00:06:58] 以及技术设计中的克制重新还给我们自己
[00:06:58 - 00:07:02] 这才是我们不被几招字节的数据所轻易概括的唯一途径
[00:07:02 - 00:07:04] 我是为什么叫QQ
[00:07:04 - 00:07:07] 希望今天的拆解能为你提供一个不同的视角
[00:07:07 - 00:07:09] 如果你觉得这些内容有价值
[00:07:09 - 00:07:10] 欢迎点赞和分享
[00:07:10 - 00:07:11] 我们下期再见
