BV号：BV1Lg7N6XEpF
标题：BV1Lg7N6XEpF
链接：https://www.bilibili.com/video/BV1Lg7N6XEpF
识别语言：zh
语言置信度：1
分段数：284
生成时间：2026-08-29 09:59:14

[00:00:00 - 00:00:02] 大家好 我是为什么叫QQ
[00:00:02 - 00:00:04] 你以为DeepSig的成功只是靠模仿啊
[00:03:57 - 00:04:01] 而且这80人平均论文和引用指标最高
[00:04:01 - 00:04:03] 是报告中最受关注的美国关联群体
[00:04:03 - 00:04:06] 他们平均发表过131项学术作品
[00:04:06 - 00:04:08] 被引用超过4000次
[00:04:08 - 00:04:10] 更关键的是新数据让美国
[00:04:10 - 00:04:12] 经历的时间长度变得更清楚
[00:04:12 - 00:04:14] 上一版报告里
[00:04:14 - 00:04:17] 很多人看起来只是去交流个一年半载
[00:04:17 - 00:04:19] 但在2026年的更新数据中
[00:04:19 - 00:04:22] 很多人在美国的机构经历达到2到4年
[00:04:22 - 00:04:23] 甚至5年以上
[00:04:23 - 00:04:26] 比如卡内基梅隆大学德州西南医学中心
[00:04:26 - 00:04:28] 都留下了他们的身影
[00:04:28 - 00:04:29] 但结果呢
[00:04:29 - 00:04:32] 许多人最终回到或留在中国
[00:04:32 - 00:04:35] 报告认为这类知识和方法一旦随人流动
[00:04:35 - 00:04:38] 就很难靠后续签证收紧或出口管制追回
[00:04:38 - 00:04:40] 这些有过美国机构经历的研究者
[00:04:40 - 00:04:43] 最终很多都出现在中国前沿AI团队里
[00:04:43 - 00:04:45] 这80人的流动轨迹
[00:04:45 - 00:04:49] 确实引发了对美国现行科技流采政策的深刻反思
[00:04:49 - 00:04:52] 他们的美国经历覆盖大学医疗产业和研究机构
[00:04:52 - 00:04:55] 说明美国科研体系曾在
[00:04:55 - 00:04:57] 这些履历中扮演过重要节点
[00:04:57 - 00:05:00] 但当这些人后来进入中国AI产业
[00:05:00 - 00:05:04] 美国政策制定者面对的就不是简单的卡住未来访问问题
[00:05:04 - 00:05:08] 而是如何留住已经在美国体系中成长过的人
[00:05:08 - 00:05:09] 第三点
[00:05:09 - 00:05:12] 美国面临的双重危机事情开始变得不对劲了
[00:05:12 - 00:05:14] 报告里有一句非常直白的话
[00:05:14 - 00:05:17] 美国现在面临两个问题同时爆发
[00:05:17 - 00:05:19] 一方面是留财困难
[00:05:19 - 00:05:21] 报告认为绿卡排期
[00:05:21 - 00:05:24] 签证不确定性等因素削弱了美国留财能力
[00:05:24 - 00:05:28] 单靠签证和出口管制解决不了已经形成的人才流动
[00:05:28 - 00:05:30] 另一方面是人才管道的挑战
[00:05:30 - 00:05:33] 美国不能再假设自己拥有永久人才优势
[00:05:33 - 00:05:37] 必须重新审视本土STEM教育和全球人才流用
[00:05:37 - 00:05:40] 这就像是一个水池进水口被堵住了
[00:05:40 - 00:05:42] 出水口还在花花漏水
[00:05:42 - 00:05:44] 而反观中国本土的人才管道
[00:05:44 - 00:05:47] 正在源源不断地输送新鲜血液
[00:05:47 - 00:05:50] 而且对美国或国际经历的依赖
[00:05:50 - 00:05:52] 程度没有外界想象中那么高
[00:05:52 - 00:05:54] 我看到这组数据对比时
[00:05:54 - 00:05:55] 真的惊了
[00:05:55 - 00:05:57] 在80名有美国关联的研究者中
[00:05:57 - 00:05:59] 有28人呆了一年
[00:05:59 - 00:06:01] 39人呆了两到四年
[00:06:01 - 00:06:03] 还有13人呆了五年以上
[00:06:03 - 00:06:04] 这意味着什么
[00:06:04 - 00:06:06] 意味着这批有美国关联的
[00:06:06 - 00:06:17] 关联的,研究者并不只是短期交流访问者,不少人是在美国研究环境中有较长时间机构经历的人,报告指出更长的美国经历,并没有带来更高的流美率。
[00:06:17 - 00:06:27] 美国政府现在的难题在于,如果一边想保持科技领先,一边又让签证,绿卡和安全审查变得高度不确定,那么顶尖国际人才就可能转向其他机会。
[00:06:27 - 00:06:29] 当国内的创新环境越来越好
[00:06:29 - 00:06:31] 当像Deep Seek这样的企业
[00:06:31 - 00:06:34] 能提供足够大的研发舞台时
[00:06:34 - 00:06:36] 这些人才回到或留在中国
[00:06:36 - 00:06:38] 就会变成一个持续存在的现实选择
[00:06:38 - 00:06:40] 但这里有个很离谱的地方
[00:06:40 - 00:06:43] 主流媒体一直在炒作说中国AI能成
[00:06:43 - 00:06:45] 是因为疯狂挖硅骨的墙角
[00:06:45 - 00:06:47] 高薪挖角Open AI的人
[00:06:47 - 00:06:49] 但斯坦福的报告用人才履历
[00:06:49 - 00:06:51] 反驳了这种简单叙事
[00:06:51 - 00:06:53] 这些核心研究人员中
[00:06:53 - 00:06:56] 真正有美国大厂背景的并不占多数
[00:06:56 - 00:06:59] 他们中的绝大多数是十大时的工程师研究员
[00:06:59 - 00:07:03] 是在实验室里一行行敲带马跑模型熬出来的
[00:07:03 - 00:07:06] 他们没有那种动辄几百万美元年薪的光环
[00:07:06 - 00:07:10] 但他们解决实际工程问题的能力却非常值得重视
[00:07:10 - 00:07:12] 这也是我认为DeepSig最值得拆解的地方
[00:07:12 - 00:07:15] 在算力收陷的背景下它必须在算法
[00:07:15 - 00:07:18] 架构和工程实现上做更细的优化
[00:07:18 - 00:07:21] 我们总是习惯性的神话硅谷的创新能力
[00:07:21 - 00:07:24] 觉得只有坐在苹果飞船总部或者
[00:07:24 - 00:07:27] 谷歌山警城园区里喝着免费咖啡的人
[00:07:27 - 00:07:29] 才能写出改变世界的代码
[00:07:29 - 00:07:31] 但DeepSync的案例提醒我们
[00:07:31 - 00:07:34] 前沿AI并不只属于资源最充裕的团队
[00:07:34 - 00:07:36] 工程效率本身也可以成为竞争力
[00:07:36 - 00:07:40] 当很多团队还在追逐更多H100显卡时
[00:07:40 - 00:07:43] DeepSync这类团队已经把注意力放在
[00:07:43 - 00:07:45] 如何提升每一份算力的利用效率上
[00:07:45 - 00:07:49] 从V3论文披露的训练成本和架构设计看
[00:07:49 - 00:07:51] 这种资源约束下的工程优化
[00:07:51 - 00:07:54] 确实是他获得外界关注的重要原因之一
[00:07:54 - 00:07:56] 报告没有把它写成神话
[00:07:56 - 00:07:57] 但他明确指出
[00:07:57 - 00:07:58] 中国本土人才管道
[00:07:58 - 00:08:01] 已经可以铲出前沿模型贡献者
[00:08:01 - 00:08:03] 这才是真正值得美国重视的信号
[00:08:03 - 00:08:06] 所以这背后的底层逻辑到底是什么
[00:08:06 - 00:08:08] 这就是我今天要讲的核心动差
[00:08:08 - 00:08:09] AI竞争的本质
[00:08:09 - 00:08:11] 已经从算力霸权转向了
[00:08:11 - 00:08:13] 功成效率与人才密度的对抗
[00:08:13 - 00:08:15] 算力固然重要
[00:08:15 - 00:08:18] 但在出口管制和硬件约束存在的情况下
[00:08:18 - 00:08:20] 拼的就不只是显卡数量
[00:08:20 - 00:08:23] 也是谁能用更少的算力跑出更好的结果
[00:08:23 - 00:08:25] 这就需要极高的人才密度
[00:08:25 - 00:08:27] 和非常强的工程优化能力
[00:08:27 - 00:08:29] 我的判断是DeepSig的成功
[00:08:29 - 00:08:31] 至少体现了中国工程师群体
[00:08:31 - 00:08:34] 在AI时代的一次集中发挥
[00:08:34 - 00:08:36] 它不是单个天才的故事
[00:08:36 - 00:08:37] 而是人才密度
[00:08:37 - 00:08:40] 工程组织和模型系统优化叠加出来的结果
[00:08:40 - 00:08:43] 我们来看一个更深层次的逻辑
[00:08:43 - 00:08:44] 在过去的几十年里
[00:08:44 - 00:08:46] 软件工程的很多核心范氏
[00:08:46 - 00:08:48] 都有美国公司和研究机构主导
[00:08:48 - 00:08:50] 到了大模型时代
[00:08:50 - 00:08:53] 训练和推理变成了极其复杂的系统工程
[00:08:53 - 00:08:56] 它不仅需要算法创新,也需要底层硬件
[00:08:56 - 00:09:00] 分布式计算、网络通信、数据工程等环节的配合
[00:09:00 - 00:09:03] 这些环节正是中国大规模
[00:09:03 - 00:09:05] 工程团队长期积累经验的地方
[00:09:05 - 00:09:08] 中国有庞大的计算机和工程人才攻击
[00:09:08 - 00:09:10] 也有在互联网时代训练
[00:09:10 - 00:09:12] 出来的大规模系统加购能力
[00:09:12 - 00:09:14] DeepSake之所以能用较低的
[00:09:14 - 00:09:17] 官方训练成本作出高性能模型
[00:09:17 - 00:09:19] 靠的正是这种全链路工程优化能力
[00:09:19 - 00:09:23] 从数据构建、架构设计、训练框架
[00:09:23 - 00:09:24] 到推理效率
[00:09:24 - 00:09:27] 每一个环节都需要高密度人才持续迭代
[00:09:27 - 00:09:30] 这就是我认为中国AI真正值得重视的底牌
[00:09:30 - 00:09:32] 不是只有少数明星研究员
[00:09:32 - 00:09:35] 而是有一整套正在成熟的人才和工程体系
[00:09:35 - 00:09:37] 那么未来会怎样
[00:09:37 - 00:09:40] 这份报告其实给美国决策层敲响了警钟
[00:09:40 - 00:09:43] 如果美国继续让国际人才感到不确定
[00:09:43 - 00:09:47] 确实可能削弱自己吸引和留住顶尖研究者的能力
[00:09:47 - 00:09:49] 在我看来,中国本土的AI生态
[00:09:49 - 00:09:53] 正逐步走向更加独立和完整的阶段
[00:09:53 - 00:09:55] 从底层算法框架设计
[00:09:55 - 00:09:58] 到上层应用越来越多能力正在本土体系内沉淀
[00:09:58 - 00:10:01] 未来几年我们可能会看到更多
[00:10:01 - 00:10:03] 像Deep Seek这样的本土团队
[00:10:03 - 00:10:06] 在不同垂直领域挑战现有的技术格局
[00:10:06 - 00:10:08] 它未必会在每个方向都复制成功
[00:10:08 - 00:10:09] 但它已经说明
[00:10:09 - 00:10:12] 资源受限并不等于没有前沿创新空间
[00:10:12 - 00:10:13] 我大胆预测一下
[00:10:13 - 00:10:15] 随着这一批顶尖人才的持续流动
[00:10:15 - 00:10:18] 以及本土人才培养体系的不断成熟
[00:10:18 - 00:10:20] 中美的AI竞争将进入一个全新的阶段
[00:10:20 - 00:10:22] 过去中国更多是跟跑者
[00:10:22 - 00:10:25] 是在别人开辟的赛道上苦苦追赶
[00:10:25 - 00:10:28] 但现在在一些模型工程和应用落地方向上
[00:10:28 - 00:10:32] 中国已经具备了并跑甚至局部领跑的机会
[00:10:32 - 00:10:33] 斯坦福的这份报告
[00:10:33 - 00:10:36] 表面上是在分析Deep SIG的人才构成
[00:10:36 - 00:10:38] 实际上是在提醒美国
[00:10:38 - 00:10:42] 不能再默认中国缺少独立产出前沿AI成果的人才基础
[00:10:42 - 00:10:43] 因为知识会随着人流动
[00:10:43 - 00:10:47] 任何只靠柱高墙设壁垒来维持领先的做法
[00:10:47 - 00:10:49] 都可能留下长期后遗症
[00:10:49 - 00:10:51] 美国的出口管制和签证限制
[00:10:51 - 00:10:54] 在某种程度上可能反而加速了
[00:10:54 - 00:10:56] 中国本土研发体系的独立化进程
[00:10:56 - 00:11:00] 这或许是美国在科技战略上一次值得伤雀的决策
[00:11:00 - 00:11:03] 而对于普通技术从业者来说
[00:11:03 - 00:11:04] 这也是一个很现实的信号
[00:11:04 - 00:11:06] 不要只看算力和头部公司
[00:11:06 - 00:11:09] 也要看人才管道工程组织和长期积累
[00:11:09 - 00:11:12] 只要这些基础能力持续增强
[00:11:12 - 00:11:14] 中国AI仍然会有新的突破空间
[00:11:14 - 00:11:16] 所以这份报告最值得记住的
[00:11:16 - 00:11:17] 不是某一个数字
[00:11:17 - 00:11:18] 而是一个判断
[00:11:18 - 00:11:21] AI竞争不止拼显卡
[00:11:21 - 00:11:23] 也拼谁能持续培养人才组织工程
[00:11:23 - 00:11:24] 提高效率
[00:11:24 - 00:11:25] 最后总结一句
[00:11:25 - 00:11:28] 封锁很难单独决定技术竞争的结果
[00:11:28 - 00:11:30] 真正决定长期胜负的
[00:11:30 - 00:11:32] 还是人才密度工程效率
[00:11:32 - 00:11:33] 和持续创新能力
[00:11:33 - 00:11:35] 你觉得Deep Seek的下一步
[00:11:35 - 00:11:36] 最可能挑战哪个领域
[00:11:36 - 00:11:38] 欢迎在评论区留下你的判断
[00:11:38 - 00:11:40] 如果你觉得这期视频说清楚了
[00:11:40 - 00:11:42] 别忘了点赞投币收藏
[00:11:42 - 00:11:43] 一键三连
[00:11:43 - 00:11:44] 我们下期再见
