BV号：BV1UA9vB1EJ1
标题：BV1UA9vB1EJ1
链接：https://www.bilibili.com/video/BV1UA9vB1EJ1
识别语言：zh
语言置信度：1
分段数：323
生成时间：2026-08-29 20:04:55

[00:00:00 - 00:00:02] 大家好 我是为什么叫QQ
[00:00:02 - 00:00:03] 现在最牛的开发者
[00:01:42 - 00:01:45] 一个协调器分配任务给多个Agent的并行处理
[00:01:45 - 00:01:47] 对比一下最终的数据
[00:01:47 - 00:01:49] 周成本从700降到了100
[00:01:49 - 00:01:50] 产出反而增加了
[00:01:50 - 00:01:52] 因为它不再需要Rashening
[00:01:52 - 00:01:54] 以前它会想这个任务太贵了
[00:01:54 - 00:01:55] 我自己写吧
[00:01:55 - 00:01:56] 现在它就直接让Agent的干
[00:01:56 - 00:01:57] 这就是成本路由
[00:01:57 - 00:02:00] 不是找最便宜的,也不是找最强的
[00:02:00 - 00:02:03] 而是根据任务的特性选择最合适的
[00:02:03 - 00:02:04] 我自己也在用这个思路
[00:02:04 - 00:02:08] 我发现如果我把所有任务都用最强的模型
[00:02:08 - 00:02:09] 成本会很高
[00:02:09 - 00:02:13] 但如果我能准确地识别哪些任务真正需要强模型
[00:02:13 - 00:02:15] 哪些任务用轻量级模型就够了
[00:02:15 - 00:02:16] 成本就能大幅下降
[00:02:16 - 00:02:18] 同时产出质量反而更好
[00:02:18 - 00:02:19] 第二点
[00:02:19 - 00:02:21] 为什么干净的上下文能抓出更多bug
[00:02:21 - 00:02:24] 现在讲一个很反直觉的现象
[00:02:24 - 00:02:26] 让一个agent自己审查自己的代码
[00:02:26 - 00:02:28] 反而能发现更多问题
[00:02:28 - 00:02:31] Cognition公司在开发一个叫Devon的AI编程助手
[00:02:31 - 00:02:33] 他们做了个实验,让Devon写代码
[00:02:33 - 00:02:35] 然后让DevonReview去审查
[00:02:35 - 00:02:39] 结果平均每个PR发现两个bug58%是严重问题
[00:02:39 - 00:02:42] 逻辑错误、编界情况、安全漏洞
[00:02:42 - 00:02:43] 这听起来不合理
[00:02:43 - 00:02:45] 但他们发现了一个致命的技术细节
[00:02:45 - 00:02:47] 最有效的做法
[00:02:47 - 00:02:50] 是让ReviewAgent有一个完全干净的上下文
[00:02:50 - 00:02:53] 不给它看原始需求,不给它看Devon的思考过程
[00:02:53 - 00:02:55] 就给它看最终的代码DIF
[00:02:55 - 00:02:59] 这背后其实暴露了长上下文模型的一个致命弱点
[00:02:59 - 00:03:01] 当丹文写代码时
[00:03:01 - 00:03:03] 他已经在这个任务里投入了几个小时
[00:03:03 - 00:03:05] 读了代码库运行了命令
[00:03:05 - 00:03:07] 试过各种方案修复了错误
[00:03:07 - 00:03:09] 他的上下文窗口已经很长了
[00:03:09 - 00:03:11] 长上下文有个问题
[00:03:11 - 00:03:13] 模型的注意力机制会变弱
[00:03:13 - 00:03:14] 这叫context rod
[00:03:14 - 00:03:18] 模型在处理长上下文时会在某些细节上施交
[00:03:18 - 00:03:20] 但review agent是干净的
[00:03:20 - 00:03:21] 他只看deep
[00:03:21 - 00:03:23] 然后从零开始推理
[00:03:23 - 00:03:25] 短上下文意味着更强的注意力
[00:03:25 - 00:03:28] 所以它能发现Devon一漏的稀微问题
[00:03:28 - 00:03:29] 还有第二个原因
[00:03:29 - 00:03:32] Review Agent被迫从实现反向推理
[00:03:32 - 00:03:33] 不知道原始需求
[00:03:33 - 00:03:36] 这让它能质疑一些Devon可能一漏的东西
[00:03:36 - 00:03:38] 比如用户指令里的不安全模式
[00:03:38 - 00:03:40] 或者一些边界情况的处理
[00:03:40 - 00:03:42] 这个发现对我来说很有启发
[00:03:42 - 00:03:46] 我之前以为给Agent更多的上下文总是更好
[00:03:46 - 00:03:49] 但其实不是有时候有意的隐藏某些信息
[00:03:49 - 00:03:51] 反而能让Agent做出更好的决策
[00:03:51 - 00:03:53] 这种极其严苛的隔离
[00:03:53 - 00:03:56] 换来的是绝对的可预测性和质量提升
[00:03:56 - 00:03:58] 现在讲第三个关键点
[00:03:58 - 00:04:00] Agent Swarm 这是一个能力突破
[00:04:00 - 00:04:03] 但这里需要澄清一个很容易被误解的地方
[00:04:03 - 00:04:06] 脚本中提到100个Agent的病性工作
[00:04:06 - 00:04:08] 在硬核工程师眼里
[00:04:08 - 00:04:10] 这不是让他们同时修改同一个文件
[00:04:10 - 00:04:12] 而是典型的MapReduce架构
[00:04:12 - 00:04:14] 分发处理散乱节点
[00:04:14 - 00:04:17] 最后由协调器统一规约成一篇报告
[00:04:17 - 00:04:20] 有个例子 一个人未给Agent Swarm40个学术PDF
[00:04:20 - 00:04:22] 要求生成一份宗数
[00:04:22 - 00:04:24] 拆解一下它的底层逻辑
[00:04:24 - 00:04:26] 协调器其实是把40个PDF
[00:04:26 - 00:04:28] 分发给了40个Agent
[00:04:28 - 00:04:30] 每个Agent的独立处理一个PDF
[00:04:30 - 00:04:32] 提取关键信息总结观点
[00:04:32 - 00:04:35] 然后协调器把这40份摘要统一归约
[00:04:35 - 00:04:38] 整合成一份10万字的文献宗数
[00:04:38 - 00:04:39] 完整的引用数据集
[00:04:39 - 00:04:41] 一次生成
[00:04:41 - 00:04:43] 放在以前你肯定得写一堆脚本
[00:04:43 - 00:04:45] 手工协调多次迭代
[00:04:45 - 00:04:46] 现在就是一个Prompt
[00:04:46 - 00:04:48] 这个能力的应用场景非常广泛
[00:04:48 - 00:04:50] 任何涉及大量文件
[00:04:50 - 00:04:53] 大量数据大量重复工作的场景
[00:04:53 - 00:04:56] 内容创作数据处理报告生成批量转换
[00:04:56 - 00:04:58] 很多人听到多Agent的系统
[00:04:58 - 00:05:00] 想到的是一堆Agent的病情工作
[00:05:00 - 00:05:03] 互相协调自动写代码听起来很酷
[00:05:03 - 00:05:05] 但这个方向基本不可行
[00:05:05 - 00:05:06] 原因很直白
[00:05:06 - 00:05:08] 当多个Agent的病情写入时
[00:05:08 - 00:05:09] 他们会做出隐士的决策
[00:05:09 - 00:05:12] 代码风格边界处理设计模式
[00:05:12 - 00:05:14] 这些决策会互相冲突最后系统就崩了
[00:05:14 - 00:05:18] 所以真正能跑通的多Agent系统其实长这样
[00:05:18 - 00:05:21] 一个agent负责写入其他agent提供智能
[00:05:21 - 00:05:23] 比如代码审查循环
[00:05:23 - 00:05:25] devin写代码,devinreview审查
[00:05:25 - 00:05:28] 只有devin在写文件,review只是提供反馈
[00:05:28 - 00:05:31] 比如smartfriend模式,一个小模型做主要工作
[00:05:31 - 00:05:34] 遇到复杂问题时,他问一个大模型
[00:05:34 - 00:05:37] 但决策权还是在小模型,在比如agentswarm
[00:05:37 - 00:05:40] 一个协调器分配任务给多个agent
[00:05:40 - 00:05:43] 但最后的合并整理输出还是由协调器负责
[00:05:43 - 00:05:47] 关键是写入保持单线程,但智能来自多个角度
[00:05:47 - 00:05:49] 接下来我们讲下三层架构模型
[00:05:49 - 00:05:51] 当你在设计一个多Agent的系统时
[00:05:51 - 00:05:53] 问自己三个问题
[00:05:53 - 00:05:54] 第一层 任务分解
[00:05:54 - 00:05:56] 这个任务的上下文边界在哪里
[00:05:56 - 00:05:59] 什么信息必须共享 什么信息可以隔离
[00:05:59 - 00:06:01] 不要按角色分解
[00:06:01 - 00:06:03] 规划者 开发者 测试者这样分不对
[00:06:03 - 00:06:05] 要按上下文分解
[00:06:05 - 00:06:07] 如果两个任务共享深层上下文
[00:06:07 - 00:06:09] 就放在一个Agent里
[00:06:09 - 00:06:11] 只在上下文能清晰分离时
[00:06:11 - 00:06:12] 才分出新Agent
[00:06:12 - 00:06:14] 这个时候你需要用到一个模式
[00:06:14 - 00:06:15] SubGents
[00:06:15 - 00:06:17] 一些专门的隔离的agent
[00:06:17 - 00:06:20] 他们各自有独立的上下文无法相互通信
[00:06:20 - 00:06:22] 每个spagent只负责一个明确的任务
[00:06:22 - 00:06:25] 完成后他返回一个干净的结果
[00:06:25 - 00:06:27] 比如我需要分析一个代码库
[00:06:27 - 00:06:28] 我可以用三个spagent
[00:06:28 - 00:06:30] 第一个负责找性能问题
[00:06:30 - 00:06:32] 第二个负责找安全问题
[00:06:32 - 00:06:34] 第三个负责找代码风格问题
[00:06:34 - 00:06:36] 三个agent的各自独立工作
[00:06:36 - 00:06:38] 最后我得到三个清晰的报告
[00:06:38 - 00:06:41] 而面对高度相互依赖的任务
[00:06:41 - 00:06:43] 比如前端改动需要后端捅步
[00:06:43 - 00:06:45] 就需要切换到另一个模式
[00:06:45 - 00:06:47] Agent Teams
[00:06:47 - 00:06:50] 一些协作的Agent他们共享上下文可以试试通信
[00:06:50 - 00:06:53] 一个Agent的决策会影响其他Agent
[00:06:53 - 00:06:55] 第二层 协调模式
[00:06:55 - 00:06:56] 在具体的协调机制上
[00:06:56 - 00:06:59] 目前业内跑通的主要有五种模式
[00:06:59 - 00:07:02] 第一种我刚才讲的Subagents用于独立任务
[00:07:02 - 00:07:05] 第二种Agent Teams用于相互依赖的任务
[00:07:05 - 00:07:08] 第三种 Generator Verifier循环
[00:07:08 - 00:07:10] 这是一个特殊的Agent的协作模式
[00:07:10 - 00:07:13] 一个Agent的生成内容另一个Agent的验证内容
[00:07:13 - 00:07:16] 然后反馈给生成者,生成者根据反馈改进
[00:07:16 - 00:07:18] 就是Devon和DevonReview的关系
[00:07:18 - 00:07:20] 第四种smartfriend模式
[00:07:20 - 00:07:22] 这是一个能力补充模式
[00:07:22 - 00:07:24] 一个弱一点的agent做主要工作
[00:07:24 - 00:07:25] 当他遇到困难时
[00:07:25 - 00:07:27] 他可以咨询一个更强的agent
[00:07:27 - 00:07:29] 但决策权还是在RooAgent
[00:07:29 - 00:07:31] 第五种agent swarm
[00:07:31 - 00:07:33] 这是一个大规模病情处理的模式
[00:07:33 - 00:07:36] 一个协调器分配任务给多个agent
[00:07:36 - 00:07:40] 这些agent病情工作协调器收集结果会总输出
[00:07:40 - 00:07:42] 第三层,成本路由
[00:07:42 - 00:07:43] 每个agent应该用什么模型
[00:07:43 - 00:07:45] 简单任务用便宜模型
[00:07:45 - 00:07:47] 复杂任务用强模型
[00:07:47 - 00:07:49] 需要并行用swamp架构
[00:07:49 - 00:07:51] 需要实施反馈用轻量级agent
[00:07:51 - 00:07:54] 这三层决定了你的整个系统
[00:07:54 - 00:07:56] 还有一个关键的设计原则
[00:07:56 - 00:07:58] context engineering上下文工程
[00:07:58 - 00:08:00] 很多人还在做prompt engineering
[00:08:00 - 00:08:03] 你是一个高级工程师这种提示词没用了
[00:08:03 - 00:08:05] 真正重要的是给agent的正确的上下文
[00:08:05 - 00:08:08] 这意味着共享仅可能多的信息
[00:08:08 - 00:08:10] 代码库文档 历史决策
[00:08:10 - 00:08:13] 主动提供Agent的需要的规范不要让他猜
[00:08:13 - 00:08:15] 清晰的声明上下文边界
[00:08:15 - 00:08:18] 这个Agent能看什么不能看什么建立反馈循环
[00:08:18 - 00:08:20] Agent的卡住时能告诉你为什么
[00:08:20 - 00:08:23] 我自己在做context engineering时
[00:08:23 - 00:08:24] 发现了一个很重要的点
[00:08:24 - 00:08:26] 不是给Agent更多信息就更好
[00:08:26 - 00:08:28] 而是给Agent的正确的信息
[00:08:28 - 00:08:30] 有时候有意的隐藏某些信息
[00:08:30 - 00:08:33] 反而能让Agent做出更好的决策
[00:08:33 - 00:08:35] 现在我想聊聊这个趋势会怎么发展
[00:08:35 - 00:08:36] 趋势一
[00:08:36 - 00:08:39] 从单一工具到工具站
[00:08:39 - 00:08:42] 年初大家还在争论Cloud对GPT对Cursor
[00:08:42 - 00:08:44] 现在这个争论已经过时了
[00:08:44 - 00:08:47] 最高效的开发者不再选编站队
[00:08:47 - 00:08:48] 而是在勾件站
[00:08:48 - 00:08:50] 这传递出一个极其明确的信号
[00:08:50 - 00:08:52] 工具的竞争力变了
[00:08:52 - 00:08:54] 从我有最强的模型转向
[00:08:54 - 00:08:56] 我怎么和其他工具协作
[00:08:56 - 00:08:58] Timmie能成功不是因为它比Cloud强
[00:08:58 - 00:08:59] 其实性能接近
[00:08:59 - 00:09:01] 而是因为它便宜开源
[00:09:01 - 00:09:02] 支持MCP
[00:09:02 - 00:09:04] 它找到了自己在站里的位置
[00:09:04 - 00:09:06] DeepSick V4的出现
[00:09:06 - 00:09:07] 又提供了更便宜的选择
[00:09:07 - 00:09:09] OpenCloud把它作为默认模型
[00:09:09 - 00:09:10] 这说明一个趋势
[00:09:10 - 00:09:13] 成本路由的选择越来越多
[00:09:13 - 00:09:15] 未来的赢家不是最强的单一工具
[00:09:15 - 00:09:18] 而是最容易集成最好用的工具
[00:09:18 - 00:09:19] 趋势2
[00:09:19 - 00:09:22] Agent to agent的交互成为新竞争力
[00:09:22 - 00:09:23] 现在UI还很重要
[00:09:23 - 00:09:26] 但Salesforce的Headless360告诉我们
[00:09:26 - 00:09:29] 未来的主要交互会是Agent to agent
[00:09:29 - 00:09:31] 这改变了产品设计的整个思路
[00:09:31 - 00:09:33] 以前你为人类设计UI
[00:09:33 - 00:09:36] 现在你要为Agent的设计API和MCP工具
[00:09:36 - 00:09:39] 具体来说你的API要能被AZEN的理解
[00:09:39 - 00:09:42] 你的工具要能和其他工具协作
[00:09:42 - 00:09:45] 你要提供反馈机制让AZEN告诉你什么不对劲
[00:09:45 - 00:09:48] RAMP的产品经理Teddy Riker分享过他们的经验
[00:09:48 - 00:09:50] 他们从AZEN的日志中发现
[00:09:50 - 00:09:52] 很多AZEN的在说构建事件报告
[00:09:52 - 00:09:54] 这变成了一个新产品功能
[00:09:54 - 00:09:56] 所以从AZEN的失败模式中
[00:09:56 - 00:09:58] 能发现用户真正需要什么
[00:09:58 - 00:09:59] 趋势三
[00:09:59 - 00:10:02] 成本和能力的权衡成为核心决策
[00:10:02 - 00:10:04] 顶级大模型越来越贵
[00:10:04 - 00:10:06] 新的强大模型不断出现
[00:10:06 - 00:10:07] 但成本也在上升
[00:10:07 - 00:10:09] 这推动了一个必然的趋势
[00:10:09 - 00:10:11] 混合模型战
[00:10:11 - 00:10:13] 不是所有任务都需要最强的模型
[00:10:13 - 00:10:16] 一个聪明的系统会用轻量级模型做简单任务
[00:10:16 - 00:10:18] 在关键时刻升级到强模型
[00:10:18 - 00:10:20] 用并行处理处理大规模任务
[00:10:20 - 00:10:22] 这不是妥协这是优化
[00:10:22 - 00:10:23] 趋势4
[00:10:23 - 00:10:26] 多Agent的系统从理论到实践
[00:10:26 - 00:10:29] 10个月前多Agent的系统还是个理论问题
[00:10:29 - 00:10:31] 现在他已经在生产环境里跑了
[00:10:31 - 00:10:33] Devon的代码审查循环
[00:10:33 - 00:10:35] Windsurf the smart friend
[00:10:35 - 00:10:38] RAMP的mcp反馈系统这些都不是demo
[00:10:38 - 00:10:40] 都是在真实场景里工作的系统
[00:10:40 - 00:10:44] 这意味着多Agent的系统的最佳实践已经开始形成
[00:10:44 - 00:10:47] 下一步就是大规模应用我预测到年底
[00:10:47 - 00:10:49] 大多数认真的开发者都会
[00:10:49 - 00:10:52] 在用某种形式的多Agent的系统不是因为它很酷
[00:10:52 - 00:10:55] 而是因为它能省钱提高质量
[00:10:55 - 00:10:56] 总结一下
[00:10:56 - 00:10:59] 多Agent系统的真正价值不在于有多少个Agent
[00:10:59 - 00:11:03] 而在于你能不能用最合适的Agent做最合适的事
[00:11:03 - 00:11:07] 成本降低85% 质量提升58%
[00:11:07 - 00:11:10] 这不是理论 这是现在就能做到的
[00:11:10 - 00:11:12] 但这所有优化的基石
[00:11:12 - 00:11:15] 是你必须真正吃透这套架构原则
[00:11:15 - 00:11:17] 这五种模式覆盖了大多数场景
[00:11:17 - 00:11:19] 然后你需要做好上下文工程
[00:11:19 - 00:11:21] 不是给Agent的更多信息
[00:11:21 - 00:11:23] 而是给Agent的正确的信息
[00:11:23 - 00:11:25] 最后你需要建立反亏循环
[00:11:25 - 00:11:27] 从Agent的失败中学习
[00:11:27 - 00:11:29] 不断优化你的系统 最后我想问你
[00:11:29 - 00:11:32] 你现在用的是单一Agent还是多Agent站
[00:11:32 - 00:11:34] 如果是单一agent
[00:11:34 - 00:11:36] 你有没有想过成本可能被浪费了
[00:11:36 - 00:11:38] 把你的想法打在公屏上
[00:11:38 - 00:11:39] 我很想听听你的实践
[00:11:39 - 00:11:41] 如果这个视频对你有帮助
[00:11:41 - 00:11:43] 别忘了点赞投币收藏
[00:11:43 - 00:11:45] 这些互动能帮我继续做更多
[00:11:45 - 00:11:46] 硬核的技术内容
[00:11:46 - 00:11:47] 感谢观看
[00:11:47 - 00:11:48] 我是为什么叫qq
[00:11:48 - 00:11:49] 下期见
