BV号：BV1XxdgYwEWu
标题：BV1XxdgYwEWu
链接：https://www.bilibili.com/video/BV1XxdgYwEWu
识别语言：zh
语言置信度：1
分段数：310
生成时间：2026-08-30 08:59:19

[00:00:00 - 00:00:03] 大家好 这里是最佳拍档 我是大飞
[00:00:03 - 00:00:06] 之前有消息称DeepSake或许将提前推出
[00:07:24 - 00:07:26] 通常的做法是将每个回答
[00:07:26 - 00:07:28] 在K次采样中获得的分数
[00:07:28 - 00:07:30] 相加或者取平均数
[00:07:30 - 00:07:31] 来得到最终的综合评分
[00:07:32 - 00:07:33] 这种方法的好处在于
[00:07:33 - 00:07:35] 它不仅可以通过聚合多个评价视角
[00:07:35 - 00:07:37] 来提高结果的稳定性
[00:07:37 - 00:07:39] 而且通过求和等等方式
[00:07:39 - 00:07:42] 实际上增加了最终奖励值的范围和力度
[00:07:42 - 00:07:44] 使得模型能够更好的区分
[00:07:44 - 00:07:45] 质量相近的回答
[00:07:45 - 00:07:48] 同时为了减少潜在的顺序影响
[00:07:48 - 00:07:49] 每次采样前
[00:07:49 - 00:07:52] 还会对输入回答的顺序进行随机排列
[00:07:52 - 00:07:53] 第二种是更进一步的
[00:07:53 - 00:07:56] 基于原奖励模型引导的投票
[00:07:56 - 00:07:57] 简单投票会假设
[00:07:57 - 00:07:59] 每次采样的结果质量是相当的
[00:07:59 - 00:08:01] 但是在实际中
[00:08:01 - 00:08:03] 部分采样可能会由于随机性
[00:08:03 - 00:08:04] 或者是模型的局限
[00:08:04 - 00:08:05] 而产生较低的质量
[00:08:05 - 00:08:07] 或者是带有偏见的评价
[00:08:07 - 00:08:09] 为了解决这个问题
[00:08:09 - 00:08:12] 研究团队提出了训练一个原奖励模型
[00:08:12 - 00:08:13] Metal RM的方法
[00:08:13 - 00:08:14] 这个Metal RM的作用
[00:08:14 - 00:08:17] 就是评估DeepSake GMM生成的
[00:08:17 - 00:08:19] 每一次原则加评价输出的质量
[00:08:19 - 00:08:20] 或者是可靠性
[00:08:20 - 00:08:22] Metal RM本身
[00:08:22 - 00:08:24] 通常也是一个简单的奖励模型
[00:08:24 - 00:08:25] 它会通过学习判断
[00:08:25 - 00:08:27] GMM的输出是否与急诊一致
[00:08:27 - 00:08:28] 来进行训练
[00:08:28 - 00:08:29] 在推理的时候
[00:08:29 - 00:08:31] 首先会让DeepSake GMM
[00:08:31 - 00:08:32] 生成K分的评价结果
[00:08:32 - 00:08:34] 然后使用Metal RM
[00:08:34 - 00:08:36] 对这K分结果进行评分
[00:08:36 - 00:08:38] 筛选出评分最高的KMetafin结果
[00:08:39 - 00:08:42] 最后只基于这些被认为是高质量的评价结果
[00:08:42 - 00:08:43] 来进行投票聚合
[00:08:44 - 00:08:46] 这种方法通过引入了一个质量过力器
[00:08:46 - 00:08:48] 可以有效的剔除造成采样
[00:08:48 - 00:08:50] 使得最终的聚合结果更加的准确
[00:08:50 - 00:08:52] 从而更为充分的发挥
[00:08:52 - 00:08:53] 推理时死给你的优势
[00:08:54 - 00:08:55] 研究团队在多个主流的
[00:08:55 - 00:08:57] 奖励模型评估基准
[00:08:57 - 00:08:58] 包括Revolution Bunch
[00:08:58 - 00:08:59] PPE
[00:08:59 - 00:09:00] RMB
[00:09:00 - 00:09:01] Real Mistakes上
[00:09:01 - 00:09:03] 对于基于不同尺寸的DeepSig
[00:09:03 - 00:09:04] GN模型
[00:09:04 - 00:09:05] 以及推理时死亡率策略
[00:09:05 - 00:09:07] 进行了全面的实验评估
[00:09:07 - 00:09:10] 并且与多种公开的机线方法进行了对比
[00:09:10 - 00:09:13] 实验结果清晰的展示了这项研究方法的有效性
[00:09:14 - 00:09:17] 首先即使在不进行推理时死亡率的基础设置下
[00:09:17 - 00:09:20] 通过SPCT训练的DeepSake-GRM模型
[00:09:20 - 00:09:24] 在整体性能上已经优于了同等规模的多种机线奖励模型
[00:09:24 - 00:09:27] 并且展示出了与一些大型必然模型
[00:09:27 - 00:09:32] 比如说Nimchos 340B Revolve和GBT-CO相竞争的实力
[00:09:32 - 00:09:36] 其次 SPCT 训练方法的有效性也得到了证实
[00:09:36 - 00:09:38] 相比于只进行RT冷启动
[00:09:38 - 00:09:41] 完整的 SPCT 流程带来了显著的性能提升
[00:09:41 - 00:09:44] 效用实验也证明了其中关键步骤的贡献
[00:09:44 - 00:09:49] 除此以外 DeepSig Gm 还展现出了优越的推力时思计令特性
[00:09:49 - 00:09:51] 随着采样次数K的增加
[00:09:51 - 00:09:53] 模型性能持续稳定的提高
[00:09:53 - 00:09:55] 尤其是在原讲力模型的引导下
[00:09:55 - 00:09:57] 提升的效果更为明显
[00:09:57 - 00:09:58] 更加惊人的是
[00:09:58 - 00:09:59] 实验数据表明
[00:09:59 - 00:10:04] 通过推理石Skeling在DeepSigGM27B模型上进行32次采样
[00:10:04 - 00:10:06] 并且使用原奖励模型引导
[00:10:06 - 00:10:08] 性能提升的幅度有时可以达到
[00:10:08 - 00:10:12] 甚至超过把模型参数提升几倍所带来的提升
[00:10:12 - 00:10:16] 这充分显示出了推理石Skeling在提升奖励模型质量方面
[00:10:16 - 00:10:18] 可能具有更高的计算效率
[00:10:18 - 00:10:22] 最后相比于一些偏科严重的Skella或者是Semi-Skella模型
[00:10:22 - 00:10:26] DeepSigGM在不同类型的任务和评价维度上的表现更为均衡
[00:10:26 - 00:10:30] 展现出了更好的通用性和更少的领域偏见
[00:10:30 - 00:10:34] 不过 虽然SPCT在提升GMM的性能和推理式Skeleton方面
[00:10:34 - 00:10:36] 取得了显著的成功
[00:10:36 - 00:10:38] 但是目前也存在着一些局限性
[00:10:38 - 00:10:42] 首先 GMM的效率本质上落后于同等规模的Skeleton AM
[00:10:42 - 00:10:45] 这限制了它在强化学习管道中的大规模使用
[00:10:45 - 00:10:49] 不过 由于采用了病形采样来进行推理式Skeleton
[00:10:49 - 00:10:50] 使用合理的数量
[00:10:50 - 00:10:53] 比如说8个样本来进行奖励生成
[00:10:53 - 00:10:54] 延迟不会有显著的增加
[00:10:54 - 00:10:58] 其次在一些可验证任务的特定领域上
[00:10:58 - 00:11:01] Deepseq GM仍然落后于Skeleton IM
[00:11:01 - 00:11:05] 这可能是因为Skeleton IM补货了推理查询和回答的隐藏特征
[00:11:05 - 00:11:09] 而GM需要更强的推理能力来全面的检查回答
[00:11:09 - 00:11:13] 不过Skeleton IM也存在着严重的偏差和可扩展性的问题
[00:11:13 - 00:11:15] 而GM则没有这些问题
[00:11:15 - 00:11:18] 最后研究团队在论文中还指出
[00:11:18 - 00:11:20] 未来的研究方向包括工具集成
[00:11:20 - 00:11:22] 原则和评价生成范氏的分解
[00:11:22 - 00:11:27] 以及在大模型離線評估中的應用和嘗試業推理的探索
[00:11:27 - 00:11:30] 他們相信具有更強可擴展性和效率的GM
[00:11:30 - 00:11:33] 可以作為通用獎勵系統的多功能接口
[00:11:33 - 00:11:36] 推動大圓模型後訓練和推理的前驗發展
[00:11:36 - 00:11:38] 好了 以上就是對這篇論文的解讀了
[00:11:38 - 00:11:41] 如果DeepSake R2真的能夠整合這項技術
[00:11:41 - 00:11:43] 把推理師Sigling做到極致
[00:11:43 - 00:11:46] 那麼他或許能夠進一步以更低的訓練成本
[00:11:46 - 00:11:48] 挑戰OpenEye的O系列模型
[00:11:48 - 00:11:50] 繼續實現以小博大的驚人逆襲
[00:11:50 - 00:11:52] 期待早日看到R2的發布
[00:11:52 - 00:11:54] 感謝大家觀看本期視頻
[00:11:54 - 00:11:55] 我們下期再見
