BV号：BV1r5Md6SEom
标题：BV1r5Md6SEom
链接：https://www.bilibili.com/video/BV1r5Md6SEom
识别语言：zh
语言置信度：1
分段数：266
生成时间：2026-08-29 19:44:38

[00:00:00 - 00:00:02] 大家好 我是为什么叫QQ
[00:00:02 - 00:00:03] 同一批Agent的输出
[00:01:48 - 00:01:53] 给自己家族的胜率压到10.6%-41.2%
[00:01:53 - 00:01:58] 开头那个93.3%对39.5%也出自这组实验
[00:01:58 - 00:02:01] 模型存在自我偏号已经有独立研究支持
[00:02:01 - 00:02:05] 2024年的一项研究证实模型能认出自己的输出
[00:02:05 - 00:02:07] 并且会系统性的偏爱它
[00:02:07 - 00:02:09] 戎长偏差也被反复量化过
[00:02:09 - 00:02:11] 回答越长得分越高
[00:02:11 - 00:02:13] 跟多出来的字数有没有信息量无关
[00:02:13 - 00:02:15] 怎么用才安全
[00:02:15 - 00:02:16] 三条规则
[00:02:16 - 00:02:19] 1 优先用不同模型家族的裁判
[00:02:19 - 00:02:21] 降低自偏号和相关错误的风险
[00:02:21 - 00:02:24] 2.高风险判断组评审团
[00:02:24 - 00:02:26] 让多家厂商的裁判一起评
[00:02:26 - 00:02:27] 另一项研究算过账
[00:02:27 - 00:02:30] 跨厂商评审团比单个强裁判更准
[00:02:30 - 00:02:32] 成本还低好几倍
[00:02:32 - 00:02:34] 3.凡是能客观验证地交给代码
[00:02:34 - 00:02:35] 别交给裁判
[00:02:35 - 00:02:37] 测试过没过文件在不在
[00:02:37 - 00:02:39] 状态改没改都有确定答案
[00:02:39 - 00:02:42] 一个被污染的裁判比没有裁判更糟
[00:02:42 - 00:02:44] 他把猜测洗成数字系统
[00:02:44 - 00:02:46] 再照着数字自动行动
[00:02:46 - 00:02:47] 你的评估管道里
[00:02:47 - 00:02:50] 裁判和考生来自同一个模型家族吗
[00:02:50 - 00:02:52] 第二道门,分数能不能改变行为
[00:02:52 - 00:02:55] 很多团队的评估停在一表板上
[00:02:55 - 00:03:00] 分数长了跌了开个会,发个周报,然后什么都不变
[00:03:00 - 00:03:01] Hanaco管着叫温度计
[00:03:01 - 00:03:05] 温度计指报数,横温器会根据温度去开关空调
[00:03:05 - 00:03:09] 评估工程要做的是把评估搬进Agent的运行室
[00:03:09 - 00:03:11] 让每个裁决都对应一个结构性动作
[00:03:11 - 00:03:14] 证据落地不够的输出,拒绝这次交接
[00:03:14 - 00:03:17] 结构教验失败,堵住这条流程
[00:03:17 - 00:03:20] 疑似编造的分支隔离起来,不许合进主线。
[00:03:20 - 00:03:24] 只有被外部验证过的完成才有资格结束一次运行。
[00:03:24 - 00:03:27] Agent的停止调用工具,只是回合结束了。
[00:03:27 - 00:03:32] 回合结束和任务完成,是两回事,差别只有外部检查之道。
[00:03:32 - 00:03:34] 现实里经常出现这种情况。
[00:03:34 - 00:03:35] Agent在报告里写着,
[00:03:35 - 00:03:39] 签仪完成,状态检查一看,脚本中途就超时了。
[00:03:39 - 00:03:42] 所以别问他做完,没有去看系统状态到底变没变。
[00:03:42 - 00:03:46] Anthropic今年的工程博客也给出了相近原则。
[00:03:46 - 00:03:47] 能用确定性检查的
[00:03:47 - 00:03:49] 优先用确定性检查
[00:03:49 - 00:03:50] 无法客观验证的部分
[00:03:50 - 00:03:52] 再考虑模型评分
[00:03:52 - 00:03:54] Towbench这类基准也是同一个思路
[00:03:54 - 00:03:56] 直接查数据库的最终状态
[00:03:56 - 00:03:58] 第三道门
[00:03:58 - 00:03:59] 为什么要评路径
[00:03:59 - 00:04:00] 只看最终答案打分
[00:04:00 - 00:04:01] 会出这种事故
[00:04:01 - 00:04:04] Agent用一条完全错误的路径
[00:04:04 - 00:04:05] 撞出了正确答案
[00:04:05 - 00:04:06] 没人发现
[00:04:06 - 00:04:08] 直到一个月后路径塌了
[00:04:08 - 00:04:09] 评估要分三层
[00:04:09 - 00:04:11] 端道端这一层看任务成没成
[00:04:11 - 00:04:14] 轨迹这一层看路径干不干净
[00:04:14 - 00:04:17] 循环戎于调用白走的步骤都藏在这
[00:04:17 - 00:04:19] 组建这一层看具体哪个检索器
[00:04:19 - 00:04:21] 哪个工具哪个字Agent的坏了
[00:04:21 - 00:04:23] 指标不用多三个就够
[00:04:23 - 00:04:25] 事实中十度答案里的每个说法
[00:04:25 - 00:04:28] 能不能在工具真实返回的内容里找到出处
[00:04:28 - 00:04:30] 工具参数准确率
[00:04:30 - 00:04:31] 条媒调对工具
[00:04:31 - 00:04:32] 参数甜媒甜对
[00:04:32 - 00:04:35] 任务完成率对着真实信号平
[00:04:35 - 00:04:37] 对Agent自己的声明打个折
[00:04:37 - 00:04:39] 三个里面事实中十度最会藏
[00:04:39 - 00:04:41] Agent写得干干净净
[00:04:41 - 00:04:42] 顺手编了一个汇率
[00:04:42 - 00:04:45] 你一表板上所有质量指标都是绿的
[00:04:45 - 00:04:48] 直到有个客户按这个汇率真的下了单
[00:04:48 - 00:04:49] 对那道合并的门来说
[00:04:49 - 00:04:51] 轨迹比答案更能预测风险
[00:04:51 - 00:04:54] 同一份代码差异三不干净走完呢
[00:04:54 - 00:04:57] 和40部虾状撞出来的风险完全不同
[00:04:57 - 00:05:00] 哪怕代码差异看起来一模一样
[00:05:00 - 00:05:02] 第四道门测试从哪来
[00:05:02 - 00:05:04] 坐在公位上想出来的测试
[00:05:04 - 00:05:06] 只能防你想象得到的失败
[00:05:06 - 00:05:10] 真正贵的失败都带着时间戳躺在你的日治里
[00:05:10 - 00:05:12] 捞四种运行记录出来
[00:05:12 - 00:05:14] 顺利跑完的当作正常机线
[00:05:14 - 00:05:17] 用户改了说法或者纠正了Agent的
[00:05:17 - 00:05:19] 这次纠正就是一份免费的标注
[00:05:19 - 00:05:20] 工具返回了空
[00:05:20 - 00:05:23] 或者同一个查询用同样的参数调了两次的
[00:05:23 - 00:05:24] 外部依赖超时的
[00:05:24 - 00:05:27] 专门看Agent在世界收布的时候怎么办
[00:05:27 - 00:05:29] 每条记录写四行
[00:05:29 - 00:05:30] Agent做了什么
[00:05:30 - 00:05:31] 哪里好哪里坏
[00:05:31 - 00:05:33] 过在Agent还是在依赖
[00:05:33 - 00:05:35] 这个测试要保护什么能力
[00:05:35 - 00:05:36] 这里有个坑要提前说
[00:05:36 - 00:05:38] 日之指告诉你Agent做了什么
[00:05:38 - 00:05:40] 从来不告诉你他该做什么
[00:05:40 - 00:05:44] 标准答案来自测试记录、规则或者人
[00:05:44 - 00:05:47] 你的测试级里有多少条是从线上日志捞出来的?
[00:05:47 - 00:05:48] 打在公屏上
[00:05:48 - 00:05:51] 第五道门,裁判和评分标准怎么管
[00:05:51 - 00:05:53] 裁判是软件,软件就有版本
[00:05:53 - 00:05:55] 裁判悄悄生一次级
[00:05:55 - 00:05:58] 你前后两个月的分数就没法比了
[00:05:58 - 00:06:01] 瑣斯版本号每个分数都带着版本一起存
[00:06:01 - 00:06:03] 评分标准压成一句话
[00:06:03 - 00:06:06] 某个可以独立观察的结果发生了才算过
[00:06:06 - 00:06:07] 别奖励答案的形状
[00:06:07 - 00:06:11] 长度关键词引用数量和参考答案的相似度
[00:06:11 - 00:06:12] 一概不给分
[00:06:12 - 00:06:14] 你把裁判当优化目标往死里掉
[00:06:14 - 00:06:16] Agent会学会一件事
[00:06:16 - 00:06:18] 让自己看起来对
[00:06:18 - 00:06:19] 这就是古德哈特定律
[00:06:19 - 00:06:21] 只不过循环里多了个模型
[00:06:21 - 00:06:23] 用裁判之前先测裁判
[00:06:23 - 00:06:25] 为他一个明显正确的结果
[00:06:25 - 00:06:28] 再为一个貌似合理的错误结果
[00:06:28 - 00:06:30] 任何一个判反了坏的是评分标准
[00:06:30 - 00:06:31] 先别急之怪
[00:06:31 - 00:06:33] Agent这里还有个坑
[00:06:33 - 00:06:34] 很多人觉得
[00:06:34 - 00:06:37] 让模型自己检查一遍总比不检查强
[00:06:37 - 00:06:40] DeepMind在ICR 2024的一項研究里發現
[00:06:40 - 00:06:42] 至少在他們測試的推理任務中
[00:06:42 - 00:06:45] 沒有外部反饋的自我糾偏並不可靠
[00:06:45 - 00:06:47] 有時還會把正確答案改錯
[00:06:47 - 00:06:49] 注意是沒有外部反饋
[00:06:49 - 00:06:51] 有測試結果有工具返回
[00:06:51 - 00:06:52] 有真實狀態是另一回事
[00:06:52 - 00:06:56] 評估級規模上原作者給了一個偏保守的經驗數
[00:06:56 - 00:06:59] 至少500條在認真看聚合分數
[00:06:59 - 00:07:01] 別把500當成行業標準
[00:07:01 - 00:07:04] 真正關鍵的是用力有沒有覆蓋真實失敗
[00:07:04 - 00:07:06] 以及分數沒穩定
[00:07:06 - 00:07:08] 跑一轮的时间要短到没人需要
[00:07:08 - 00:07:09] 为他安排日程
[00:07:09 - 00:07:11] 比一杯咖啡还慢的测试
[00:07:11 - 00:07:12] 迟早会变成嫉妒仪式
[00:07:12 - 00:07:13] 第六道门
[00:07:13 - 00:07:15] 按什么标准开门
[00:07:15 - 00:07:16] 很多方案的思路是
[00:07:16 - 00:07:18] 建一个知心度分数
[00:07:18 - 00:07:19] 设个预值过了就放行
[00:07:19 - 00:07:21] 知心度是整个决策里
[00:07:21 - 00:07:22] 最弱的一个变量
[00:07:22 - 00:07:24] 真正强的变量是
[00:07:24 - 00:07:26] 这次改动要是错了
[00:07:26 - 00:07:27] 就错要花多大代价
[00:07:27 - 00:07:29] 也就是爆炸半径
[00:07:29 - 00:07:30] 按它分三条车道
[00:07:30 - 00:07:32] 可逆又局部的改动
[00:07:32 - 00:07:33] 一条文案
[00:07:33 - 00:07:35] 一个测试有覆盖的独立函数
[00:07:35 - 00:07:37] 错了,大不了回滚
[00:07:37 - 00:07:39] 这条道先开可逆但影响面广的
[00:07:39 - 00:07:42] 共享工具含数数据库结构的新增
[00:07:42 - 00:07:44] 一堆调用方依赖的东西
[00:07:44 - 00:07:46] 这条道要确定性检查
[00:07:46 - 00:07:48] 全过加上轨迹干净才开
[00:07:48 - 00:07:49] 难以逆转的改动
[00:07:49 - 00:07:51] 比如数据库迁移
[00:07:51 - 00:07:53] 删除操作生产写入和资金操作
[00:07:53 - 00:07:55] 默认不允许自动合并
[00:07:55 - 00:07:56] 必须保留人工确认
[00:07:56 - 00:07:57] 门打开之后
[00:07:57 - 00:07:59] 读证据的顺序也有讲究
[00:07:59 - 00:08:01] 确定性结果排第一
[00:08:01 - 00:08:04] 测试类型结构定义杀箱执行
[00:08:04 - 00:08:05] 这里面没有模型参与
[00:08:05 - 00:08:07] 然后是这版agent的评估轨迹
[00:08:07 - 00:08:09] 再然后是历史记录
[00:08:09 - 00:08:11] 这个agent在这块代码上的改动
[00:08:11 - 00:08:15] 以前被回滚过多少次模型自评放到最低
[00:08:15 - 00:08:16] 因为它缺乏独立性
[00:08:16 - 00:08:18] 也最容易被输出方式影响
[00:08:18 - 00:08:19] 开门动作要慢
[00:08:19 - 00:08:21] 先跑影子模式
[00:08:21 - 00:08:24] 门给每个改动打分一个都不合并
[00:08:24 - 00:08:26] 统计它和人类评审的分歧率
[00:08:26 - 00:08:28] 压不下去门就一直关着
[00:08:28 - 00:08:29] 那我自己敢不敢开这道门
[00:08:29 - 00:08:31] 低风险可回滚
[00:08:31 - 00:08:32] 测试完整的改动
[00:08:32 - 00:08:33] 我敢
[00:08:33 - 00:08:36] 数据库迁移,删除操作生产写入我不敢
[00:08:36 - 00:08:38] 判断标准只有一条
[00:08:38 - 00:08:41] 他错了以后,我能不能安全撤回来?
[00:08:41 - 00:08:43] 6步走完压缩成一条证据链
[00:08:43 - 00:08:47] 4层优先级从高到低确定性检查
[00:08:47 - 00:08:50] 能跑代码验证的永远先跑代码执行轨迹
[00:08:50 - 00:08:54] 路径干净的改动,风险天然第一档历史记录
[00:08:54 - 00:08:57] Agent在这片区域的回滚率,就是他的信用分
[00:08:57 - 00:09:00] 模型自平可以参考永远别采信再补两句提醒
[00:09:00 - 00:09:03] 测试套件权利产品照样可能垮
[00:09:03 - 00:09:06] 因为测试会收敛到测试自己
[00:09:06 - 00:09:07] 慢慢偏离真是需求
[00:09:07 - 00:09:09] 评估未必都变成一个叫
[00:09:09 - 00:09:10] 评估工程师的岗位
[00:09:10 - 00:09:12] 但会成为一个独立职责
[00:09:12 - 00:09:13] 模型是租的
[00:09:13 - 00:09:15] 按约付费 随时调价
[00:09:15 - 00:09:17] 你攒下的测试级和裁判配置
[00:09:17 - 00:09:18] 才是自己的
[00:09:18 - 00:09:19] 总结下
[00:09:19 - 00:09:21] 评路径 别只评答案
[00:09:21 - 00:09:23] 不改变下一步动作的分数
[00:09:23 - 00:09:24] 只是一份报告
[00:09:24 - 00:09:27] 真正让agent获得和平权限的是证据
[00:09:27 - 00:09:28] 你的团队现在在哪一步
[00:09:28 - 00:09:31] 全人工半自动还是已经赶自动合兵
[00:09:31 - 00:09:34] 评论区只留这三个词里的一个
[00:09:34 - 00:09:36] 我想看看大多数团队到底走到哪了
[00:09:36 - 00:09:39] 觉得有用点赞投币收藏一键三连
[00:09:39 - 00:09:40] 我是为什么叫QQ
[00:09:40 - 00:09:41] 感谢观看
[00:09:41 - 00:09:42] 我们下期见
