BV号：BV1nq5z6HEia
标题：BV1nq5z6HEia
链接：https://www.bilibili.com/video/BV1nq5z6HEia
识别语言：zh
语言置信度：1
分段数：240
生成时间：2026-08-29 17:27:34

[00:00:00 - 00:00:02] 大家好 我是为什么叫QQ
[00:00:02 - 00:00:04] 姚顺宇最近说了个有意思的观点
[00:04:34 - 00:04:40] 在AI领域征流就是利用训练成本和推理成本之间的巨大差异来获取能力
[00:04:40 - 00:04:43] 前沿模型训练通常需要极高的资金
[00:04:43 - 00:04:44] 数据和算力投入
[00:04:44 - 00:04:48] 而通过API征流获取部分能力的编辑成本
[00:04:48 - 00:04:50] 可能低一个到数个数量级
[00:04:50 - 00:04:53] 但具体能省多少钱取决于token量
[00:04:53 - 00:04:55] 模型价格输出长度和后续训练成本
[00:04:55 - 00:04:57] 征流技术本身是中立的
[00:04:57 - 00:04:59] 但使用方式决定了道德性
[00:04:59 - 00:05:02] 印征说明公司缺乏创新能力只会抄别人
[00:05:02 - 00:05:04] 这在商业上是不道德的
[00:05:04 - 00:05:06] 在技术上也缺乏创造性
[00:05:06 - 00:05:10] 聪明的征说明公司有能力融会多个模型的优势
[00:05:10 - 00:05:12] 构建真正的multi-agent的系统
[00:05:12 - 00:05:13] 这在技术上是有意思的
[00:05:13 - 00:05:16] 虽然在商业上处于灰色地带
[00:05:16 - 00:05:18] 这两种争流方式的区别
[00:05:18 - 00:05:21] 反映了不同公司的技术水平和创新能力
[00:05:21 - 00:05:23] 困难1 定义的模糊性
[00:05:23 - 00:05:25] 什么时候争流变成了攻击
[00:05:25 - 00:05:29] Anthropic的定义是大规模系统性通过虚假账户
[00:05:29 - 00:05:31] 但大规模的预值是多少
[00:05:31 - 00:05:32] 1000次交货
[00:05:32 - 00:05:33] 100万次
[00:05:33 - 00:05:37] 许多出创公司可能已经进行了类似规模的争流
[00:05:37 - 00:05:38] 但他们没有被指控
[00:05:38 - 00:05:39] 因为他们没有被抓住
[00:05:39 - 00:05:41] 困难2 监管的语言差异
[00:05:41 - 00:05:44] 当类似技术发生在不同主体之间时
[00:05:44 - 00:05:46] 外界使用的语言并不一样
[00:05:46 - 00:05:49] 有的被叫做研究争流模型附用
[00:05:49 - 00:05:52] 有的被叫做攻击规避管制国家安全风险
[00:05:52 - 00:05:54] XAI的案例说明
[00:05:54 - 00:05:58] 美国公司之间也存在用一个模型训练另一个模型的灰色实践
[00:05:58 - 00:05:59] 问题是
[00:05:59 - 00:06:03] 为什么某些案例被描述为行业惯例或商业纠纷
[00:06:03 - 00:06:05] 而另一些案例被描述为
[00:06:05 - 00:06:07] 安全攻击和地缘政治风险
[00:06:07 - 00:06:08] 这个差异本身值得讨论
[00:06:08 - 00:06:09] 困难三
[00:06:09 - 00:06:11] 开源社区的尴尬地位
[00:06:11 - 00:06:13] 开源社区里确实存在大量
[00:06:13 - 00:06:16] 基于必原模型输出的数据级和真流模型
[00:06:16 - 00:06:19] Hackingface上也能找到Cloud GPT风格数据
[00:06:19 - 00:06:20] 备用于训练的案例
[00:06:20 - 00:06:22] 支持者常把这解释为
[00:06:22 - 00:06:25] AI民主化和对抗商业垄断
[00:06:25 - 00:06:26] 但从服务条款角度看
[00:06:26 - 00:06:28] 这仍然可能存在风险
[00:06:28 - 00:06:29] 困难4
[00:06:29 - 00:06:32] 应征VS聪明的征的道德判断
[00:06:32 - 00:06:34] 应征和聪明的征应该被同样对待吗
[00:06:34 - 00:06:36] 从技术角度看
[00:06:36 - 00:06:39] 应征反映的是公司的无能和缺乏创新
[00:06:39 - 00:06:41] 而聪明的帧虽然商业上灰色
[00:06:41 - 00:06:42] 但技术上有意思
[00:06:42 - 00:06:45] 这是否意味着聪明的帧有一定的正当性
[00:06:45 - 00:06:46] 或者说
[00:06:46 - 00:06:49] 它至少反映了公司的技术能力和创新精神
[00:06:49 - 00:06:51] 这是一个很难回答的问题
[00:06:51 - 00:06:53] 防守方肯定会生机武器
[00:06:53 - 00:06:56] Anthropic已经在做行为指纹识别
[00:06:56 - 00:06:59] 试图在API层面精准拦截帧流流量
[00:06:59 - 00:07:01] 但攻击方也会用更复杂的代理网络
[00:07:01 - 00:07:04] 和更隐蔽的提示词来规避检测
[00:07:04 - 00:07:06] 这会深刻改变开源生态
[00:07:06 - 00:07:08] 如果避源模型总是被帧流
[00:07:08 - 00:07:11] 那开源模型可能会成为更直接的蒸流目标
[00:07:11 - 00:07:15] 未来的竞争可能不再是谁的模型参数更大
[00:07:15 - 00:07:17] 而是谁的数据飞轮转的更快
[00:07:17 - 00:07:19] 谁的防蒸流机制更完善
[00:07:19 - 00:07:20] 更有意思的是
[00:07:20 - 00:07:22] 如果聪明的蒸
[00:07:22 - 00:07:25] 确实代表了Multi-Agent训练的未来方向
[00:07:25 - 00:07:28] 那我们可能会看到一个新的技术范式的出现
[00:07:28 - 00:07:29] 这不是简单的蒸流
[00:07:29 - 00:07:32] 而是真正的模型融合和协作
[00:07:32 - 00:07:33] 这也是一个地缘政治问题
[00:07:33 - 00:07:37] 美国试图通过芯片出口管制来掐脖子
[00:07:37 - 00:07:39] 但 API 征流在一定程度上
[00:07:39 - 00:07:42] 降低了獲取前沿能力的門檻
[00:07:42 - 00:07:45] 也削弱了單純依靠芯片出口管制形成的壁壘
[00:07:45 - 00:07:47] 但它並不能完全替代算力
[00:07:47 - 00:07:51] 因為要把採集到的輸出轉化成穩定模型能力
[00:07:51 - 00:07:55] 仍然需要數據工程訓練基礎設施和後續評估體系
[00:07:55 - 00:07:55] 總結一下
[00:07:55 - 00:07:58] 模型征流不是簡單的抄襲
[00:07:58 - 00:08:00] 而是涉及到技術創新
[00:08:00 - 00:08:02] 商業倫理和工程能力的複雜問題
[00:08:02 - 00:08:03] 應徵說明什麼
[00:08:03 - 00:08:05] 說明公司缺乏創新能力
[00:08:05 - 00:08:07] 聪明的征说明什么
[00:08:07 - 00:08:10] 说明公司有能力进行真正的Multi-Agent的训练
[00:08:10 - 00:08:11] 技术本身是中立的
[00:08:11 - 00:08:13] 但使用方式决定了道德性
[00:08:13 - 00:08:15] 当技术可以被轻易复制时
[00:08:15 - 00:08:17] 真正的互称和到底在哪里
[00:08:17 - 00:08:19] 我们需要反思
[00:08:19 - 00:08:21] 为什么不同的征流行为会
[00:08:21 - 00:08:23] 被用不同的语言来描述
[00:08:23 - 00:08:25] 为什么某些技术实践被称为研究
[00:08:25 - 00:08:27] 而另一些被称为攻击
[00:08:27 - 00:08:29] 这些问题没有简单的答案
[00:08:29 - 00:08:31] 但我认为我们需要建立一致的
[00:08:31 - 00:08:34] 基于技术而非政治的标准
[00:08:34 - 00:08:36] 我们需要区分应征和聪明的征
[00:08:36 - 00:08:38] 我们需要避免因为害怕征流
[00:08:38 - 00:08:41] 而扼杀开源生态和技术创新
[00:08:41 - 00:08:44] 你觉得应征和聪明的征应该被同样对待吗?
[00:08:44 - 00:08:48] 如果聪明的征确实代表了Multi-Agent的训练的未来
[00:08:48 - 00:08:50] 我们应该如何看待这种技术创新
[00:08:50 - 00:08:52] 如果你是Anthropic的CEO
[00:08:52 - 00:08:55] 你会怎么应对这种工业级的征流活动
[00:08:55 - 00:08:57] 把你的看法打在公屏上 我们一起讨论
[00:08:57 - 00:09:00] 我是为什么叫QQ 我们下期节再见
[00:09:00 - 00:09:02] 别忘了点赞投币收藏
[00:09:02 - 00:09:03] 一键三连支持一下
