BV号：BV1PiXaBYEfj
标题：BV1PiXaBYEfj
链接：https://www.bilibili.com/video/BV1PiXaBYEfj
识别语言：zh
语言置信度：1
分段数：227
生成时间：2026-08-29 20:20:21

[00:00:00 - 00:00:02] 大家好 我是为什么叫QQ
[00:00:02 - 00:00:04] 这两年只要讨论到AI编程
[00:04:29 - 00:04:33] 你是在设计一条让人机交替开车的流水线
[00:04:33 - 00:04:36] 在这条回路上 AI负责采用门提供动力
[00:04:36 - 00:04:40] 而人类负责在每一个关键的十字路口把控方向盘
[00:04:40 - 00:04:43] 设计回录就是把失控的黑盒变成可控的齿轮
[00:04:43 - 00:04:46] 玻利亚的第三步叫执行计划
[00:04:46 - 00:04:49] 它说实现你的计划 检查每一步
[00:04:49 - 00:04:51] 你能清楚的看到这一步是正确的吗
[00:04:51 - 00:04:53] 你能证明这一步是正确的吗
[00:04:53 - 00:04:57] 在AI时代这对应的是第三章底牌 灰度验证
[00:04:57 - 00:05:01] 过去程序员执行计划意味着自己下场敲键盘
[00:05:01 - 00:05:04] 今天AI数分钟能生成你一天的工作量
[00:05:04 - 00:05:06] 但Stack Overflow的调查显示
[00:05:06 - 00:05:09] 近一半的开发者觉得调试AI生成的代码
[00:05:09 - 00:05:10] 更耗时
[00:05:10 - 00:05:13] 因为AI生成的代码经常是看起来全对
[00:05:13 - 00:05:14] 实际上有暗坑
[00:05:14 - 00:05:17] 这就引出了一个极其反直觉的结论
[00:05:17 - 00:05:19] 当代码生成的成本大幅下降之后
[00:05:19 - 00:05:22] 真正昂贵的变成了判断成本
[00:05:22 - 00:05:24] 你必须具备极强的代码审查能力
[00:05:24 - 00:05:27] 测试驱动思维和监控意识
[00:05:27 - 00:05:29] AI写完代码你不能直接推上线
[00:05:29 - 00:05:31] 你要用单元测试去跑它
[00:05:31 - 00:05:33] 用边界条件去压它
[00:05:33 - 00:05:34] 用日日去监控它
[00:05:34 - 00:05:37] 你要能一眼识别出表面可运行
[00:05:37 - 00:05:39] 和真正可上限之間的致命差距
[00:05:39 - 00:05:41] 以前你是氣磚的工人
[00:05:41 - 00:05:43] 現在你是驗收大樓的監理
[00:05:43 - 00:05:44] 朱安不是你氣的
[00:05:44 - 00:05:47] 但摟他了責任全是你的
[00:05:47 - 00:05:50] 灰度驗證就是用人類的嚴謹
[00:05:50 - 00:05:51] 去對沖AI的隨機性
[00:05:51 - 00:05:54] 玻利亞的第四步叫回顧檢查
[00:05:54 - 00:05:56] 他說你能檢驗這個結果嗎
[00:05:56 - 00:05:58] 你能把這個結果或方法
[00:05:58 - 00:05:59] 用於其他問題嗎
[00:05:59 - 00:06:01] 在AI時代這對應的是第四章底牌
[00:06:01 - 00:06:03] 也是拉開人與人差距
[00:06:03 - 00:06:04] 最核心的一步
[00:06:04 - 00:06:05] 系統折疊
[00:06:05 - 00:06:07] 很多人用AI就像流水线上的工人
[00:06:07 - 00:06:08] 今天调一个模型
[00:06:08 - 00:06:10] 明天换一个ID
[00:06:10 - 00:06:11] 后天抄一个Prompt
[00:06:11 - 00:06:12] 每次遇到新问题
[00:06:12 - 00:06:14] 都从零开始问AI
[00:06:14 - 00:06:15] 你很忙
[00:06:15 - 00:06:16] 但你没有沉淀
[00:06:16 - 00:06:18] 真正的顶级程序
[00:06:18 - 00:06:20] 在每次用AI解决完一个复杂问题后
[00:06:20 - 00:06:21] 都会做一个动作
[00:06:21 - 00:06:23] 折叠这次为什么成了
[00:06:23 - 00:06:25] 是上瞎文给的好
[00:06:25 - 00:06:26] 还是任务差的戏
[00:06:26 - 00:06:29] 能不能把这次成功的对话过程
[00:06:29 - 00:06:31] 体验成一个标准的Prompt模板
[00:06:31 - 00:06:33] 能不能把这段验证逻辑
[00:06:33 - 00:06:35] 封装成一个自动画的脚本
[00:06:35 - 00:06:38] 能不能把这个架构思路沉淀到团队的知识库里
[00:06:38 - 00:06:42] 他们把一次性的经验折叠成了可附用的系统资产
[00:06:42 - 00:06:44] 下一次遇到类似问题
[00:06:44 - 00:06:45] 他们不需要再从头思考
[00:06:45 - 00:06:48] 直接调用这个折叠好的系统模块
[00:06:48 - 00:06:51] 系统折叠就是把个人的灵光一线
[00:06:51 - 00:06:53] 变成机器的肌肉基因
[00:06:53 - 00:06:54] 好 四张底牌讲完了
[00:06:54 - 00:06:56] 我们回过头来看
[00:06:56 - 00:06:59] 玻利亚在1945年写下的这四个步骤
[00:06:59 - 00:07:01] 为什么在今天依然如此致命
[00:07:01 - 00:07:04] 因为它揭示了解决复杂问题的底层逻辑
[00:07:04 - 00:07:08] 在AI时代,程序员的身份正在发生一场剧烈的整体迁移
[00:07:08 - 00:07:10] 从写代码的人变成了定义问题的人
[00:07:10 - 00:07:12] 矛盾边界
[00:07:12 - 00:07:13] 从单点执行者
[00:07:13 - 00:07:16] 变成了人机协作系统的组织者
[00:07:16 - 00:07:17] 设计回路
[00:07:17 - 00:07:18] 从产出函数的人
[00:07:18 - 00:07:20] 变成了为结果负责的人
[00:07:20 - 00:07:21] 恢度验证
[00:07:21 - 00:07:23] 从解决单次问题的人
[00:07:23 - 00:07:26] 变成了打造可附用系统的人
[00:07:26 - 00:07:26] 系统折叠
[00:07:26 - 00:07:29] 你会发现这四张底牌背后
[00:07:29 - 00:07:32] 其实是两种截然不同的程序员生存哲学
[00:07:32 - 00:07:34] 第一种 流水线工人哲学
[00:07:34 - 00:07:38] 跟着工具走 今天用这个AI明天换那个框架
[00:07:38 - 00:07:40] 永远在追赶 永远在焦虑
[00:07:40 - 00:07:42] 第二种 系统建造着哲学
[00:07:42 - 00:07:44] 把每一次工具的使用
[00:07:44 - 00:07:47] 都变成自己认知系统的一块砖
[00:07:47 - 00:07:50] 工具再变 但你的判断力 你的架构思维
[00:07:50 - 00:07:52] 你的系统沉淀在不断增厚
[00:07:52 - 00:07:54] 玻利亚的四张底牌
[00:07:54 - 00:07:56] 就是第二种哲学的操作手册
[00:07:56 - 00:07:59] 最后我想用一句话来总结今天的视频
[00:07:59 - 00:08:02] 很多人问未来什么样的程序员最值钱
[00:08:02 - 00:08:03] 我的答案是
[00:08:03 - 00:08:05] 当生成代码的成本去进于零
[00:08:05 - 00:08:07] 真正昂贵的就不再是产出速度
[00:08:07 - 00:08:09] 而是判断对错的能力
[00:08:09 - 00:08:12] 不要去当那个只会催促AI写代码的监工
[00:08:12 - 00:08:14] 去掌握玻利亚的四张底牌
[00:08:14 - 00:08:16] 去毛定边界去设计回录
[00:08:16 - 00:08:18] 去挥度验证去系统折叠
[00:08:18 - 00:08:20] 未来最值钱的程序员
[00:08:20 - 00:08:21] 不是写代码最快的人
[00:08:21 - 00:08:23] 而是最能驾驭复杂性的人
[00:08:24 - 00:08:25] 好 今天的内容就到这里
[00:08:25 - 00:08:27] 如果你觉得有收获
[00:08:27 - 00:08:28] 欢迎一键三连
[00:08:28 - 00:08:30] 你的支持是我持续更新的动力
[00:08:30 - 00:08:31] 评论区告诉我
[00:08:31 - 00:08:34] 这四张底牌里你目前最欠缺的是哪一张
[00:08:34 - 00:08:35] 我们下期见
