BV号：BV152G16QEAG
标题：BV152G16QEAG
链接：https://www.bilibili.com/video/BV152G16QEAG
识别语言：zh
语言置信度：1
分段数：404
生成时间：2026-08-29 09:04:29

[00:00:00 - 00:00:02] 大家好 我是为什么叫QQ
[00:00:02 - 00:00:07] 就在最近 华为在Easecasts 2026上发表了一套新的芯片眼睛框架
[00:00:07 - 00:00:08] 整个科技圈都在讨论
[00:02:02 - 00:02:03] 而是一个分层的概念
[00:02:03 - 00:02:05] 它包含四个层级
[00:02:05 - 00:02:06] 从下往上递进
[00:02:06 - 00:02:07] 第一层
[00:02:07 - 00:02:09] 气渐层的套
[00:02:09 - 00:02:11] 这是经体馆本身的开关延迟
[00:02:11 - 00:02:13] 通过千亿率增强硬变工程
[00:02:13 - 00:02:16] 高开门金属炸机和GA架构
[00:02:16 - 00:02:18] 我们可以让经体馆切换得更快
[00:02:18 - 00:02:20] 但这里有个关键的发现
[00:02:20 - 00:02:23] 当前局部互联的继生电阻和电容已经超过了
[00:02:23 - 00:02:25] 经体馆本征传输时间好几倍
[00:02:25 - 00:02:28] 换句话说,经体馆本身已经不是瓶颈了
[00:02:28 - 00:02:29] 连线才是瓶颈
[00:02:29 - 00:02:31] 这就像一个跑步运动员
[00:02:31 - 00:02:32] 肌肉再强也没用
[00:02:32 - 00:02:34] 如果跑到本身摩擦力太大
[00:02:34 - 00:02:37] 所以单纯在气溅层优化
[00:02:37 - 00:02:38] 已经到了天花板
[00:02:38 - 00:02:40] 我们必须往上一层
[00:02:40 - 00:02:43] 第二层,电路层的Tao
[00:02:43 - 00:02:45] 这是信号在电路中传播的延迟
[00:02:45 - 00:02:47] 传统的做法是什么
[00:02:47 - 00:02:49] 把所有电路铺在一个平面上
[00:02:49 - 00:02:51] 然后用上面的金属层进行布线
[00:02:51 - 00:02:53] 线越长,机身2C就越大
[00:02:53 - 00:02:55] 关键路径就越慢
[00:02:55 - 00:02:57] 华为提出了一个激进的想法
[00:02:57 - 00:02:59] 为什么不把电路折成立体的呢
[00:02:59 - 00:03:00] 这就是逻辑折叠
[00:03:00 - 00:03:01] 想象一下
[00:03:01 - 00:03:04] 以前你在一张纸上写字字越来越密
[00:03:04 - 00:03:06] 现在你把这张纸折成一本立体书
[00:03:06 - 00:03:09] 原本需要在平面上绕远路的信号
[00:03:09 - 00:03:11] 现在可以直接做电梯上下穿梭
[00:03:11 - 00:03:13] 具体怎么做呢
[00:03:13 - 00:03:14] 关键路径上的逻辑们
[00:03:14 - 00:03:18] 被分布到两个或多个垂直堆叠的有缘层上
[00:03:18 - 00:03:21] 通过超细间距的混合建合连接
[00:03:21 - 00:03:22] 从设计师的角度看
[00:03:22 - 00:03:24] 这两层就像一个连续的之物
[00:03:24 - 00:03:26] 单元可以跨经援边界分布
[00:03:26 - 00:03:28] 仿佛那是额外的金属层
[00:03:28 - 00:03:29] 结果是什么
[00:03:29 - 00:03:31] 信号线变短了
[00:03:31 - 00:03:32] 寄生RC大幅下降
[00:03:32 - 00:03:34] 时钟偏斜收紧芯片
[00:03:34 - 00:03:36] 可以在相同的气渐节点上
[00:03:36 - 00:03:37] 以更高的时钟频率运行
[00:03:37 - 00:03:39] 暗华为论文披露的数据
[00:03:39 - 00:03:42] 在KIRIN 2026测试中测得
[00:03:42 - 00:03:45] 经体管密度从155MT2每平方毫米
[00:03:45 - 00:03:48] 提升到238MT2每平方毫米
[00:03:48 - 00:03:50] 这是一个55%的接月式提升
[00:03:50 - 00:03:52] 能效提升了41%
[00:03:52 - 00:03:55] 最大始终频率提升了13%
[00:03:55 - 00:03:56] 这些收益是怎么来的
[00:03:56 - 00:03:58] 不是通过新的光刻工艺
[00:03:58 - 00:04:01] 而是通过三维空间上逻辑分布的重组
[00:04:01 - 00:04:03] 这就是掏定率的精妙之处
[00:04:03 - 00:04:06] 第三层 芯片层的Tile
[00:04:06 - 00:04:08] 这是计算和存储访问的延迟
[00:04:08 - 00:04:10] 这涉及到架构选择
[00:04:10 - 00:04:13] 流水线深度存储层次和片上网络的设计
[00:04:13 - 00:04:15] 主意这和电路层不一样
[00:04:15 - 00:04:18] 电路层讲的是单个逻辑门之间的连线有多长
[00:04:18 - 00:04:23] 芯片层讲的是当你有成千上万个逻辑们组成的计算单元时
[00:04:23 - 00:04:26] 这个单元怎么和内存通信怎么和其他单元通信
[00:04:26 - 00:04:29] 在移动搜资上芯片层的优化体现在什么地方呢
[00:04:29 - 00:04:33] 就是通过优化偏上网络的拓扑让CPU核心
[00:04:33 - 00:04:37] GPU核心SRAAM缓存之间的数据通路更高效
[00:04:37 - 00:04:40] 以前这些功能快可能分散在芯片的各个角落
[00:04:40 - 00:04:43] 数据要走很长的路才能到达
[00:04:43 - 00:04:45] 现在通过系统级的架构设计
[00:04:45 - 00:04:47] 它们被更紧密的组织在一起
[00:04:47 - 00:04:48] 按华为论文的分析
[00:04:48 - 00:04:51] 通过优化片上网络提升内存带宽
[00:04:51 - 00:04:53] 减少数据访问延迟
[00:04:53 - 00:04:56] 可以显著提升整个SoC的吞吐量
[00:04:56 - 00:04:59] 这就是为什么KIRIN-2026在相同公益节点下
[00:04:59 - 00:05:03] S3AM的工作频率能提升40%以上
[00:05:03 - 00:05:05] 不仅仅是因为电路层的Logic Folding
[00:05:05 - 00:05:06] 缩短了连线
[00:05:06 - 00:05:08] 更是因为芯片层的架构
[00:05:08 - 00:05:10] 优化让内存访问变得更高效
[00:05:10 - 00:05:13] 在AI系统上芯片层的T1优化更加关键
[00:05:13 - 00:05:15] 因为AI芯片的计算密度极高
[00:05:15 - 00:05:18] 内存访问成为了性能的决定因素
[00:05:18 - 00:05:20] 优化片上网络提升内存贷宽
[00:05:20 - 00:05:22] 减少数据访问延迟
[00:05:22 - 00:05:25] 直接决定了AI加速器的实际吞吐量
[00:05:25 - 00:05:26] 第四层
[00:05:26 - 00:05:27] 系统层的Tao
[00:05:27 - 00:05:30] 这才是真正的大头
[00:05:30 - 00:05:32] 这是多个芯片之间的通信延迟
[00:05:32 - 00:05:36] 以及整个数据中心级别的端道端消息和同步时间
[00:05:36 - 00:05:38] 有个残酷的数据摆在那里
[00:05:38 - 00:05:42] 大型AI集群超过80%的能耗消耗在数据班以上
[00:05:42 - 00:05:44] 而不是计算上
[00:05:44 - 00:05:47] 超过70%的系统成本分配在数据存储上
[00:05:47 - 00:05:50] 换句话说 减少数据在传书中的时间
[00:05:50 - 00:05:53] 至少与减少计算花费的时间同样重要
[00:05:53 - 00:05:55] 传统的AI集群是怎么做的
[00:05:55 - 00:05:57] 数据需要经过多层协议站
[00:05:57 - 00:06:01] PCIE Unvlink 或专有互联以太网或Infinite Band
[00:06:01 - 00:06:03] 而DMA软件消息传递
[00:06:03 - 00:06:06] 每一层都意味着协议转换
[00:06:06 - 00:06:09] 序列化DMA缓冲 握手和延迟
[00:06:09 - 00:06:11] 就像一个快递包裹要经过十几个中转站
[00:06:11 - 00:06:14] 每个站点都要拆开重新打包再送出去
[00:06:14 - 00:06:16] 华为提出了一个激进的解决方案
[00:06:16 - 00:06:18] 统一总线Unified Bus
[00:06:18 - 00:06:21] 用一个单一的协议替代着整个协议站
[00:06:21 - 00:06:24] 在机箱内部和跨机箱之间都运行
[00:06:24 - 00:06:27] 这是一个完全对等的互联架构
[00:06:27 - 00:06:30] 在整个系统内以本机方式暴露内存语意
[00:06:30 - 00:06:31] 按华为论文口径
[00:06:31 - 00:06:34] Unified Bus将端道端的远程访问延迟
[00:06:34 - 00:06:38] 从传统协议站的几十微秒降到了约100那秒
[00:06:38 - 00:06:40] 这意味着系统Tel降低了约500倍
[00:06:40 - 00:06:42] 更关键的是在机架规模上
[00:06:42 - 00:06:46] 系统趋于单台互联架构一致性的机器
[00:06:46 - 00:06:49] 华为内部把这叫做SystemS One Chip
[00:06:49 - 00:06:50] 即系统即芯片
[00:06:50 - 00:06:54] 意味着一个数据中心可以被当做一个巨大的芯片来优化
[00:06:54 - 00:06:56] 但这里有个新的瓶颈出现了
[00:06:56 - 00:06:58] 一旦通信延迟被降低
[00:06:58 - 00:06:59] 下一个问题就来了
[00:06:59 - 00:07:01] 功率密度和可靠性
[00:07:01 - 00:07:04] 当你把越来越多的AI芯片堆在一起
[00:07:04 - 00:07:07] 每颗芯片的带宽进入TB每秒级别时
[00:07:07 - 00:07:09] 同览开始遇到物理瓶颈
[00:07:09 - 00:07:11] Cirde的可达距离收缩了
[00:07:11 - 00:07:12] 线缆变得太粗
[00:07:12 - 00:07:14] 面板安装不可行
[00:07:14 - 00:07:16] 散热和供电都吃不消
[00:07:16 - 00:07:17] 华为的解决方案是什么
[00:07:17 - 00:07:20] Hi-One 即进风庄光引擎
[00:07:20 - 00:07:22] 这是一种新的光芾连技术
[00:07:22 - 00:07:23] 按华为论文披露
[00:07:23 - 00:07:25] 每个Hi-One模块可以提供
[00:07:25 - 00:07:26] 8TB每秒的带宽
[00:07:26 - 00:07:27] 以单条光链路
[00:07:27 - 00:07:30] 匹配AI芯片的Unified Bus带宽
[00:07:30 - 00:07:31] 效果呢
[00:07:31 - 00:07:33] Cirde的可达距离从约100厘米
[00:07:33 - 00:07:35] 缩短到了约5厘米
[00:07:35 - 00:07:37] 消除了笨重的铜缆
[00:07:37 - 00:07:40] 可它距离从1米以内扩展到了100米
[00:07:40 - 00:07:43] 这使得分布是千兆瓦及数据中心
[00:07:43 - 00:07:45] 的高密度互联在物理上变得可行
[00:07:45 - 00:07:47] 你看这就是系统级思维
[00:07:47 - 00:07:48] 不是单点突破
[00:07:48 - 00:07:50] 而是从旗舰层
[00:07:50 - 00:07:53] 电路层 芯片层 系统层 全面协同
[00:07:53 - 00:07:55] 但还有一个更深层的几何问题需要解决
[00:07:55 - 00:07:58] 传统的2.5D芯片存在一个矛盾
[00:07:58 - 00:08:00] 逻辑芯片的面积按N平方增长
[00:08:00 - 00:08:02] 但HBMZerDay
[00:08:02 - 00:08:05] 供电等资源主要沿风庄边缘进入
[00:08:05 - 00:08:07] 带宽和电源能力只按周长N增长
[00:08:07 - 00:08:10] 计算能力按N2扩 边缘资源按N扩
[00:08:10 - 00:08:13] 二者的差距会越来越大
[00:08:13 - 00:08:15] 这叫N平方对N的困境
[00:08:15 - 00:08:16] 解决方案是什么
[00:08:16 - 00:08:18] 3D folding及三维折叠
[00:08:18 - 00:08:20] 把原来位于边缘的资源
[00:08:20 - 00:08:22] 转移到表面或垂直方向
[00:08:22 - 00:08:25] 电源通过背面供电和集成电压调节器
[00:08:25 - 00:08:28] 高速存储通过与逻辑混合建合
[00:08:28 - 00:08:30] 光IO通过进风桩High1
[00:08:30 - 00:08:33] 这样内存互联电源和逻辑就可以同步扩展
[00:08:33 - 00:08:38] 华为把3D折叠视为AI加速器在2030年后继续扩展的核心部分
[00:08:38 - 00:08:41] 按论文预测到2035年
[00:08:41 - 00:08:44] 硬件集成度预济将增长100倍以上
[00:08:44 - 00:08:46] 现在我要指出一个很多人的误解
[00:08:46 - 00:08:48] 很多人看到华为发布淘定率
[00:08:48 - 00:08:50] 就以为这是华为的独家秘技
[00:08:50 - 00:08:52] 只有华为在做
[00:08:52 - 00:08:53] 其实不对
[00:08:53 - 00:08:56] 如果你仔细看英伟达台积电都在做类似的事情
[00:08:56 - 00:08:58] 只是他们用的词不一样
[00:08:58 - 00:09:01] 英伟达现在的AI算力系统比如Blacko加高
[00:09:01 - 00:09:04] 其優勢不僅在於單顆GPU核心的製程
[00:09:04 - 00:09:07] 更在於它通過NVLink高速互聯技術
[00:09:07 - 00:09:11] 英偉達的GP200NVL72重點是通過NVLink
[00:09:11 - 00:09:15] 把72顆GPU和36顆CPU組成機架機計算域
[00:09:15 - 00:09:17] 在跨機架網絡上
[00:09:17 - 00:09:20] 英偉達也在推進歸光和供風裝光學
[00:09:20 - 00:09:23] 這和掏定率的系統級思路有什麼區別嗎
[00:09:23 - 00:09:25] 本質上是一致的
[00:09:25 - 00:09:26] 都是在解決同一個問題
[00:09:26 - 00:09:29] 不要只看單顆晶片的峰值算力
[00:09:29 - 00:09:31] 而要看GPU與GPU
[00:09:31 - 00:09:33] GPO与CPO
[00:09:33 - 00:09:35] GPO与内存
[00:09:35 - 00:09:37] 机柜与机柜之间的数据移动效率
[00:09:37 - 00:09:38] 台积电呢
[00:09:38 - 00:09:40] 按台积电官方说法
[00:09:40 - 00:09:42] 他们在继续扩展Colors
[00:09:42 - 00:09:44] SoICCOOP等先进封装技术
[00:09:44 - 00:09:46] 像搭机幕一样
[00:09:46 - 00:09:47] 把多个小芯片拼在一起
[00:09:47 - 00:09:50] 这其实是全球半导体巨头
[00:09:50 - 00:09:52] 共同面对了后摩尔时代的挑战
[00:09:52 - 00:09:54] 大家都在解决同一个问题
[00:09:54 - 00:09:56] 数据移动太慢太贵太耗电
[00:09:56 - 00:09:58] 但华为的特殊之数在于什么
[00:09:58 - 00:10:01] 华为在缺乏最尖端制造设备的情况下
[00:10:01 - 00:10:03] 依靠先进封装
[00:10:03 - 00:10:06] 新材料光电 供封装和极极强大的系统工程能力
[00:10:06 - 00:10:09] 试图在成熟制成基础上实现高性能
[00:10:09 - 00:10:11] 这不是一个芯片工程的问题
[00:10:11 - 00:10:13] 而是一个系统工程的问题
[00:10:13 - 00:10:15] 所以套定率到底是什么
[00:10:15 - 00:10:17] 它是华为试图提出的一套
[00:10:17 - 00:10:19] 后摩尔时代的眼镜框架
[00:10:19 - 00:10:20] 它的核心思想是什么
[00:10:20 - 00:10:23] 以时间常数为统一指标
[00:10:23 - 00:10:27] 通过旗舰层 电路层 芯片层 系统层的递进优化
[00:10:27 - 00:10:29] 把性能提升从单点制成竞争
[00:10:29 - 00:10:31] 转向全占系统工程
[00:10:31 - 00:10:33] 游戏规则在发生变化
[00:10:33 - 00:10:37] 以前芯片性能的竞争是谁的制成节点更先进
[00:10:37 - 00:10:40] 现在竞争变成了谁能让数据走得更快
[00:10:40 - 00:10:42] 更远更省电谁的系统协同能力更强
[00:10:42 - 00:10:44] 这个转变的产业影响是什么
[00:10:44 - 00:10:48] 首先 先进风桩从配角变成了关键环解
[00:10:48 - 00:10:52] 以前先进风桩只是芯片制造的最后一步
[00:10:52 - 00:10:53] 把裸片包起来保护一下
[00:10:53 - 00:10:57] 现在风桩决定了芯片怎么叠怎么连怎么散热
[00:10:57 - 00:10:59] 直接决定了系统性能
[00:10:59 - 00:11:01] 谁能提供3D封装Chiblate互联方案
[00:11:01 - 00:11:03] 谁就掌握了新的定价权
[00:11:03 - 00:11:06] 其次国产EDA迎来了换道超车的机会
[00:11:06 - 00:11:09] 设计三维芯片的难度是指数级上升的
[00:11:09 - 00:11:12] 传统EDA工具是为二维平面设计的
[00:11:12 - 00:11:14] 面对立体堆叠的新需求
[00:11:14 - 00:11:17] 老牌巨头的优势反而成了包袱
[00:11:17 - 00:11:20] 这给了国产EDA一个打破国外垄端的窗口
[00:11:20 - 00:11:22] 第三成熟制成的价值被重新发现
[00:11:22 - 00:11:25] 既然不追求三纳米也能做出高性能芯片
[00:11:25 - 00:11:29] 那28nm 14nm这些不需要添加光刻机
[00:11:29 - 00:11:31] 产能充足的成熟制成
[00:11:31 - 00:11:35] 在AI推理、物联网、汽车电子等场景下
[00:11:35 - 00:11:36] 就成了性价比之选
[00:11:36 - 00:11:38] 现在让我们看看未来会怎样
[00:11:38 - 00:11:41] 华为称过去6年已有381款量产
[00:11:41 - 00:11:44] 芯片被纳入这套方法论的时间样本
[00:11:44 - 00:11:46] 这不是停留在实验室里的理论
[00:11:46 - 00:11:48] 而是已经跑通的商业避缓
[00:11:48 - 00:11:51] 暗核停播预印本披露KIRIN-2026
[00:11:51 - 00:11:54] 以作为Logic Folding的移动SOC验证对象
[00:11:54 - 00:11:56] 但它计划2026年秋季面试
[00:11:56 - 00:11:59] 最终表现仍要等上市后第三方验证
[00:11:59 - 00:12:01] 到2029年
[00:12:01 - 00:12:05] Qrin CPU的性能和频率有望达到4000MHz以上
[00:12:05 - 00:12:06] 到2031年
[00:12:06 - 00:12:09] 华为预计高端芯片晶体管密度
[00:12:09 - 00:12:12] 达到14 1.4nm 至成同等水平
[00:12:12 - 00:12:13] 到2035年
[00:12:13 - 00:12:16] AI硬件集成度预计增长100倍以上
[00:12:16 - 00:12:18] 在AI系统方面路线图是这样的
[00:12:18 - 00:12:21] 2025年Ascend910C
[00:12:21 - 00:12:23] 采用2.5D散出加3D堆叠
[00:12:23 - 00:12:26] 2026年的SN的950保持这个架构
[00:12:26 - 00:12:29] 到2030年左右的SN的990
[00:12:29 - 00:12:31] 才会引入Logic Folding
[00:12:31 - 00:12:33] 2030到2035年间
[00:12:33 - 00:12:35] 3D折叠将成为主要载体
[00:12:36 - 00:12:39] 到2035年硬件集成度预计增长100倍以上
[00:12:39 - 00:12:41] 但我必须泼几盆冷水
[00:12:41 - 00:12:44] 任何新技术从诞生到成熟
[00:12:44 - 00:12:45] 都要跨越死亡股
[00:12:45 - 00:12:47] 第一个挑战是良率问题
[00:12:47 - 00:12:48] 立体结构层数越多
[00:12:48 - 00:12:50] 制造难度越大
[00:12:50 - 00:12:51] 只要有一层出问题
[00:12:51 - 00:12:52] 整颗芯片就报废
[00:12:52 - 00:12:56] 如何保证多层堆叠的良率是目前最大的工程挑战
[00:12:56 - 00:12:58] 第二个挑战是成本问题
[00:12:58 - 00:13:00] 前期研发投入巨大
[00:13:00 - 00:13:03] 新的封装设备测试方法都需要重建
[00:13:03 - 00:13:05] 这些成本谁来谈 多久能贪平
[00:13:05 - 00:13:08] 决定了商业化的速度第三个挑战是生态模合
[00:13:08 - 00:13:10] 新架构需要软件适配
[00:13:10 - 00:13:13] 操作系统编译器应用层都需要重新优化
[00:13:13 - 00:13:17] 这个生态建设周期保守估计要三到五年
[00:13:17 - 00:13:19] 第四个挑战是国际博弈
[00:13:19 - 00:13:20] 未来在标准制定
[00:13:20 - 00:13:23] 专利壁垒供应链限制上的博弈只会更激烈
[00:13:23 - 00:13:25] 但从更深层的角度看
[00:13:25 - 00:13:27] 掏定率的发布意味着什么
[00:13:27 - 00:13:29] 它标志着中国半导体在试图
[00:13:29 - 00:13:32] 从被动应对转向主动提出
[00:13:32 - 00:13:35] 过去10年我们的目标是不被卡脖子
[00:13:35 - 00:13:38] 能造出7nm芯片就欢呼雀跃
[00:13:38 - 00:13:39] 现在华为说
[00:13:39 - 00:13:42] 我们试图提出一套自己的后母耳识代方案
[00:13:42 - 00:13:44] 这不是盲目自信
[00:13:44 - 00:13:47] 从北斗族网到5G引领
[00:13:47 - 00:13:49] 从芯片突围到AI领先
[00:13:49 - 00:13:51] 中国科技创新的路径已经证明
[00:13:51 - 00:13:53] 所有的封锁和打压
[00:13:53 - 00:13:56] 最终都会转化为自主创新的道比例
[00:13:56 - 00:13:59] 当然从提出新框架到行业广泛采纳
[00:13:59 - 00:14:01] 还有很长的路要走
[00:14:01 - 00:14:02] 摩尔定律统治了60年
[00:14:02 - 00:14:04] 套定律才刚刚诞生
[00:14:04 - 00:14:07] 但至少全球半导体的发展路径上
[00:14:07 - 00:14:09] 这是一次来自中国企业
[00:14:09 - 00:14:11] 面向后摩尔时代的系统级方案表达
[00:14:11 - 00:14:14] 对于普通人来说 这意味着什么
[00:14:14 - 00:14:16] 如果你是投资者 你应该关注什么
[00:14:16 - 00:14:20] 不是单一的经援厂而是整个产业链
[00:14:20 - 00:14:22] 因为一旦目标从经体馆做小
[00:14:22 - 00:14:23] 变成路径做短
[00:14:23 - 00:14:24] 系统更快
[00:14:24 - 00:14:28] 产业链价值就会从单点经援制造扩散到
[00:14:28 - 00:14:30] 先进风庄探整卡和测试设备
[00:14:30 - 00:14:33] 风庄基板和PCB光模块和归光
[00:14:33 - 00:14:34] EDA和IP
[00:14:34 - 00:14:37] 散热和夜冷系统软件和互联协议
[00:14:37 - 00:14:40] 资金为什么会重新定价先进风庄
[00:14:40 - 00:14:42] 光互联和国产EDA
[00:14:42 - 00:14:44] 因为在这套新的眼睛框架下
[00:14:44 - 00:14:46] 这些环节从配角变成了核心
[00:14:46 - 00:14:48] 最后我想说一个很重要的观点
[00:14:48 - 00:14:50] 当游戏规则改变时
[00:14:50 - 00:14:51] 最先看懂规则的人
[00:14:51 - 00:14:53] 才能抓住下一波机会
[00:14:53 - 00:14:55] 摩尔定律统治了60年
[00:14:55 - 00:14:56] 它的核心是做小
[00:14:56 - 00:14:58] 现在我们进入了一个新的时代
[00:14:58 - 00:15:00] 核心是做快
[00:15:00 - 00:15:01] 这不仅仅是一个技术问题
[00:15:01 - 00:15:03] 更是一个思维方式的转变
[00:15:03 - 00:15:06] 从单点突破到系统协同
[00:15:06 - 00:15:07] 从追求极限公益
[00:15:07 - 00:15:09] 到追求极限效率
[00:15:09 - 00:15:11] 这种转变将深刻影响
[00:15:11 - 00:15:13] 未来10年的芯片产业
[00:15:13 - 00:15:15] 对于我们这些关注科技的人来说
[00:15:15 - 00:15:18] 理解这个转变的意义就是理解未来的机会在哪里
[00:15:18 - 00:15:20] 好今天的内容就到这里
[00:15:20 - 00:15:22] 如果你觉得这个话题有意思
[00:15:22 - 00:15:24] 欢迎在评论区分享你的看法
[00:15:24 - 00:15:26] 你觉得华为提出的掏定率
[00:15:26 - 00:15:28] 会成为下一个行业共识吗
[00:15:28 - 00:15:30] 还是说这只是一个过度方案
[00:15:30 - 00:15:32] 把你的想法打在公平上
[00:15:32 - 00:15:33] 我们一起讨论
[00:15:33 - 00:15:33] 感谢观看
[00:15:33 - 00:15:35] 别忘了一键三连
[00:15:35 - 00:15:36] 我们下期再见
