BV号：BV1pXq9YoEe6
标题：BV1pXq9YoEe6
链接：https://www.bilibili.com/video/BV1pXq9YoEe6
识别语言：zh
语言置信度：1
分段数：297
生成时间：2026-08-31 02:25:38

[00:00:00 - 00:00:02] 大家好 这里是最佳拍档 我是大飞
[00:00:02 - 00:00:04] 十亿亿亿年
[00:01:33 - 00:01:37] 这就是量子计算并行处理能力的强大之处
[00:01:37 - 00:01:39] 它能在短时间内处理海量的信息
[00:01:39 - 00:01:41] 而这对于传统的计算机来说
[00:01:41 - 00:01:44] 可能需要花费难以想象的长时间
[00:01:44 - 00:01:46] 不过量子比特非常的脆弱
[00:01:46 - 00:01:48] 它们很容易受到外界环境的干扰
[00:01:48 - 00:01:50] 从而导致计算错误
[00:01:50 - 00:01:52] 而且随着量子比特数量的增加
[00:01:52 - 00:01:56] 控制和纠错的难度也会成指数级的增长
[00:01:56 - 00:01:59] 所以如何有效的保护量子比特降低错误率
[00:01:59 - 00:02:02] 一直是量子计算领域面临的巨大挑战
[00:02:02 - 00:02:05] 这次谷歌的VELO芯片之所以能够引起大家的关注
[00:02:05 - 00:02:08] 主要就是在量子纠错方面取得了令人矚目的成就
[00:02:08 - 00:02:11] 随着量子比特数量的增加
[00:02:11 - 00:02:14] VELO的错误率却能够成指数级的下降
[00:02:14 - 00:02:17] 具体来说为了验证VELO的量子纠错能力
[00:02:17 - 00:02:21] 谷歌的研究团队测试了不同规模的物理量子比特阵列
[00:02:21 - 00:02:24] 每个阵列会形成一个地乘一地的量子比特网格
[00:02:24 - 00:02:25] 成为表面码
[00:02:25 - 00:02:27] 每个表面码代表一个编码的
[00:02:27 - 00:02:29] 或逻辑量子比特
[00:02:29 - 00:02:30] 在VLO中
[00:02:30 - 00:02:33] 研究人员将表面码的码距从3×3
[00:02:33 - 00:02:34] 扩展到5×5
[00:02:34 - 00:02:35] 再到7×1 7
[00:02:35 - 00:02:36] 每次扩展
[00:02:36 - 00:02:38] 编码错误率都能减少2.14倍
[00:02:38 - 00:02:40] 这种错误率的指数级下降
[00:02:40 - 00:02:42] 在量子计算领域被称为
[00:02:42 - 00:02:43] 低于预值
[00:02:43 - 00:02:44] Below Stretch Hold
[00:02:44 - 00:02:46] 这是一个具有里程背意的成就
[00:02:46 - 00:02:49] 而且VLO中逻辑量子比特的寿命
[00:02:49 - 00:02:52] 比组成他们的量子比特寿命要长得多
[00:02:52 - 00:02:55] 能够达到2.4正负0.3倍
[00:02:55 - 00:02:58] 自从1995年比特奖隐入量子纠错的概念以来
[00:02:58 - 00:03:00] 这一直就是科学家们追求的目标
[00:03:00 - 00:03:02] 而如今的这一突破表明
[00:03:02 - 00:03:04] 谷歌在构建大规模
[00:03:04 - 00:03:06] 使用的量子计算机的道路上
[00:03:06 - 00:03:07] 卖出了关键的一步
[00:03:07 - 00:03:09] 除了量子纠错方面的突破
[00:03:09 - 00:03:11] 在基准测试中
[00:03:11 - 00:03:14] 维鲁芯片也展现出了令人难以置信的计算能力
[00:03:14 - 00:03:16] 它能够在不到5分钟的时间内
[00:03:16 - 00:03:17] 完成一项标准计算
[00:03:17 - 00:03:21] 而如果让当今世界上最快的超级计算机Frontier
[00:03:21 - 00:03:24] 在资源冲凿的条件下来完成同样的计算
[00:03:24 - 00:03:27] 既然需要花费超过10的25次方年的时间
[00:03:27 - 00:03:31] 如果把这个数字写出来就是10亿亿亿年
[00:03:31 - 00:03:33] 这是一个如此巨大的时间跨度
[00:03:33 - 00:03:36] 以至于我们很难用常规的思维去理解它
[00:03:36 - 00:03:40] 毕竟它甚至远远超过了宇宙大约138亿年的年龄
[00:03:40 - 00:03:42] 为了测试velo芯片的性能
[00:03:42 - 00:03:46] 谷歌使用了随机电路采样RCS的基准测试
[00:03:46 - 00:03:49] 这个测试是目前量子计算机上可以完成的
[00:03:49 - 00:03:51] 最难的经典基准测试之一
[00:03:51 - 00:03:52] 它可以看作是
[00:03:52 - 00:03:55] 检验量子计算机能力的一个重要标准
[00:03:55 - 00:03:57] 任何构建量子计算机的团队
[00:03:57 - 00:04:00] 都希望能够在这个测试中击败传统计算机
[00:04:00 - 00:04:01] 因为只有这样
[00:04:01 - 00:04:04] 才能证明量子计算机在处理复杂任务时后
[00:04:04 - 00:04:05] 具有真正的优势
[00:04:05 - 00:04:08] 而补哥一直使用这个基准
[00:04:08 - 00:04:10] 来评估他们量子芯片的发展进程
[00:04:10 - 00:04:12] 也让我们从之前的Sikmo芯片
[00:04:12 - 00:04:14] 到现在的Veloc芯片
[00:04:14 - 00:04:16] 可以清晰的看到量子计算能力的不断提升
[00:04:17 - 00:04:20] 这次的Velo芯片拥有了105个量子比特
[00:04:20 - 00:04:22] 这使得它在处理复杂计算任务的时候
[00:04:22 - 00:04:24] 具有更强的能力
[00:04:24 - 00:04:26] 与谷歌之前的Sycamore芯片相比
[00:04:26 - 00:04:29] Velo芯片在多个方面都有了显著的改进
[00:04:29 - 00:04:31] 比方说它的替换时间
[00:04:31 - 00:04:34] 也就是量子比特保持激发状态的时间
[00:04:34 - 00:04:35] 现在接近100微秒
[00:04:36 - 00:04:38] 相比于上阶的芯片提高了大约5倍
[00:04:38 - 00:04:40] 芯片的所有组件
[00:04:40 - 00:04:41] 比如说单量子比特门
[00:04:41 - 00:04:42] 双量子比特门
[00:04:42 - 00:04:47] 量子比特富位和读出的都经过了精心的设计和高度集成
[00:04:47 - 00:04:49] 从制造工艺来看
[00:04:49 - 00:04:54] Velo芯片是在谷歌位于美国圣巴巴拉的最先进的制造工厂中生产的
[00:04:54 - 00:04:56] 这个工厂是世界上为数不多的
[00:04:56 - 00:05:00] 专门为量子芯片制造而从头开始建造的工厂之一
[00:05:00 - 00:05:04] 它拥有先进的设备和技术能够确保芯片的高质量生产
[00:05:04 - 00:05:06] 在这次Velo芯片的制造过程中
[00:05:06 - 00:05:08] 谷歌也注重了每一个细节
[00:05:08 - 00:05:11] 从芯片的设计到制造工艺的优化
[00:05:11 - 00:05:14] 都尽力去实现最高的性能和可靠性
[00:05:14 - 00:05:17] Verro芯片在RCS基准测试中的表现
[00:05:17 - 00:05:20] 不仅证明了它在计算速度上的巨大优势
[00:05:20 - 00:05:23] 还引发了人们对量子计算本质的深入思考
[00:05:23 - 00:05:25] 它的计算速度如此之快
[00:05:25 - 00:05:27] 甚至让一些科学家开始推测
[00:05:27 - 00:05:29] 量子计算是否可能会涉及到
[00:05:29 - 00:05:31] 多个平行宇宙的协同计算
[00:05:32 - 00:05:34] 谷歌官方博客介绍中提到
[00:05:34 - 00:05:36] Verro芯片的计算能力如此强大
[00:05:36 - 00:05:38] 它的计算过程可能涉及到
[00:05:38 - 00:05:40] 量子计算发生在许多平行宇宙中的观点
[00:05:40 - 00:05:43] 这与大卫多一期所预测的
[00:05:43 - 00:05:45] 我们生活在多元宇宙的观点相契合
[00:05:45 - 00:05:48] 我们曾经也做过一期跟他有关的视频
[00:05:48 - 00:05:50] 其实在量子计算机的发展史上
[00:05:50 - 00:05:53] 有两个人可能是最重要或者是分水领事的人物
[00:05:53 - 00:05:55] 一个是李查德·费曼
[00:05:55 - 00:05:57] 另一个就是大卫多一期
[00:05:57 - 00:06:01] 1981年在一场关于模拟物理学的未来的著名讲座中
[00:06:01 - 00:06:02] 费曼提出了一个重要的观点
[00:06:02 - 00:06:05] 那就是如果你想要去模拟自然
[00:06:05 - 00:06:07] 那你最好用自然的法则来做模拟
[00:06:07 - 00:06:08] 费曼发现
[00:06:08 - 00:06:11] 经典计算机很难模拟量子系统的行为
[00:06:11 - 00:06:15] 因为量子系统中存在着大量的叠加态和量子纠缠
[00:06:15 - 00:06:17] 经典计算机在模拟这些叠加态的时候
[00:06:17 - 00:06:21] 计算量会随着粒子数量的增加成指数增长
[00:06:21 - 00:06:23] 所以要模拟量子系统
[00:06:23 - 00:06:24] 必须用量子系统来做计算
[00:06:24 - 00:06:27] 虽然费曼提出了量子计算的思想
[00:06:27 - 00:06:28] 但是他并没有提出
[00:06:28 - 00:06:31] 如何去构造一台真正的量子计算机
[00:06:31 - 00:06:34] 1985年大卫多一期发表了一篇著名的论文
[00:06:34 - 00:06:38] 《量子理论》《秋期图灵原理》和《通用量子计算机》
[00:06:38 - 00:06:40] 第一次提出了通用量子计算机模型
[00:06:40 - 00:06:43] 多一期的目标是构建一台通用的量子计算机
[00:06:43 - 00:06:46] 就像经典计算机的基础是图灵机
[00:06:46 - 00:06:49] 它希望为量子计算机定一个类似的数学模型
[00:06:49 - 00:06:52] 它还引入了量子比特、量子门等等重要的概念
[00:06:52 - 00:06:56] 关键的是大为多一期不仅构造了量子计算机的理论模型
[00:06:56 - 00:06:59] 还认为量子计算机的工作原理
[00:06:59 - 00:07:01] 与平行世界的解释密切相关
[00:07:01 - 00:07:02] 在它看来
[00:07:02 - 00:07:04] 量子计算机的并行计算能力
[00:07:04 - 00:07:07] 是源于多个平行世界的协同计算
[00:07:07 - 00:07:09] 不过 根据多一期本人的陈述
[00:07:09 - 00:07:11] 量子计算机只是它为了证明
[00:07:11 - 00:07:14] 平行世界或者多元宇宙存在的一个负产品
[00:07:14 - 00:07:16] 当然了 平行宇宙的说法
[00:07:16 - 00:07:18] 在科学界还存在着广泛的争论
[00:07:18 - 00:07:19] 一些网友认为
[00:07:19 - 00:07:21] 官方博客中的说法存在着炒作的先移
[00:07:21 - 00:07:23] 但是也有科学家指出
[00:07:23 - 00:07:25] 量子计算的复杂性和神奇性
[00:07:25 - 00:07:27] 使得我们不能排除这种可能性
[00:07:27 - 00:07:29] 还需要进一步的研究和探索
[00:07:29 - 00:07:31] 我们再来回顾一下
[00:07:31 - 00:07:33] 谷歌在量子计算领域的研究历史
[00:07:33 - 00:07:34] 早在2012年
[00:07:34 - 00:07:36] 谷歌在哈特木特内文博士的领导下
[00:07:36 - 00:07:38] 创立了量子人工智能团队
[00:07:38 - 00:07:42] 开始致力于构建实用的大规模量子计算机
[00:07:42 - 00:07:44] 内文曾经提出过一个内文定律
[00:07:44 - 00:07:47] 他认为量子计算机解决某些特定问题的速度
[00:07:47 - 00:07:49] 将以双指数的速度提升
[00:07:49 - 00:07:52] 这个速度将远远超过传统计算机
[00:07:52 - 00:07:55] 在相同问题上通过摩尔定律提升的速度
[00:07:55 - 00:07:57] 当时在量子计算的研究上
[00:07:57 - 00:07:59] 谷歌可谓是从另一开始
[00:07:59 - 00:08:01] 2014年美国物理学会院士
[00:08:01 - 00:08:03] 约翰·马提尼加入了谷歌
[00:08:03 - 00:08:05] 担任量子硬件首席科学家
[00:08:05 - 00:08:07] 他的加入为谷歌的量子硬件研究
[00:08:07 - 00:08:09] 带来了强大的技术支持
[00:08:09 - 00:08:12] 2019年谷歌首次实现了量子优越性
[00:08:12 - 00:08:14] 研发的Sikomo量子处理器
[00:08:14 - 00:08:16] 在处理特定问题的时候
[00:08:16 - 00:08:19] 展现出了远超传统超级计算机的计算能力
[00:08:19 - 00:08:22] 虽然Sikomo芯片只有53个量子比特
[00:08:22 - 00:08:23] 但是在200秒内
[00:08:23 - 00:08:26] 完成了超级计算机需要1万年才能够算完的任务
[00:08:26 - 00:08:29] 在当时已经是一项非常了不起的成就
[00:08:29 - 00:08:31] 从2019年到2024年
[00:08:31 - 00:08:33] 谷歌的量子计算团队继续努力
[00:08:33 - 00:08:35] 不断的改进量子芯片的性能
[00:08:35 - 00:08:37] 通过在量子纠错
[00:08:37 - 00:08:38] 量子比特稳定性
[00:08:38 - 00:08:40] 计算速度等方面的持续研发
[00:08:40 - 00:08:41] 经过多年的努力
[00:08:41 - 00:08:43] 终于推出了velo芯片
[00:08:43 - 00:08:45] 在多个方面超越了sigmo芯片
[00:08:45 - 00:08:47] 成为了谷歌量子计算研究的
[00:08:47 - 00:08:48] 又一重要里程碑
[00:08:48 - 00:08:51] 对于谷歌velo量子计算芯片的突破
[00:08:51 - 00:08:54] 首先下坏的是一种比特币等加密货币的投资者
[00:08:54 - 00:08:56] 目前加密货币的安全性
[00:08:56 - 00:08:59] 主要依赖于密码学中的数学难题
[00:08:59 - 00:09:02] 例如妥言曲線加密ECC和RSA加密
[00:09:02 - 00:09:04] 這些算法基於一個假設
[00:09:04 - 00:09:06] 那就是依靠當前的計算能力
[00:09:06 - 00:09:08] 無法在合理的時間內破解算法
[00:09:08 - 00:09:11] 但是量子計算機的出現顛覆了這種假設
[00:09:11 - 00:09:13] 量子計算機能夠運行一種
[00:09:13 - 00:09:15] 成為上網算法的量子算法
[00:09:15 - 00:09:18] 專門用來破解基於大數分解的加密技術
[00:09:18 - 00:09:19] 換句話說
[00:09:19 - 00:09:22] 廣泛應用在加密貨幣領域的ECC和RSA技術
[00:09:22 - 00:09:25] 在量子計算機面前會變得脆弱不堪
[00:09:25 - 00:09:27] 一旦量子計算機達到了足夠的計算能力
[00:09:27 - 00:09:30] 他们就能够快速地破解现有的加密货币系统
[00:09:30 - 00:09:31] 获取用户的私要
[00:09:31 - 00:09:33] 控制他们的资产
[00:09:33 - 00:09:35] 现有的加密货币网络也将面临崩溃
[00:09:35 - 00:09:37] 在VLOG的消息发布当日
[00:09:37 - 00:09:41] 比特币从10万美元一度跌到9万4千150美元
[00:09:41 - 00:09:43] 最大跌幅6.25%
[00:09:43 - 00:09:44] 在过去24小时内
[00:09:44 - 00:09:47] 造成了58.3万人暴倉
[00:09:47 - 00:09:48] 除了比特币以外
[00:09:48 - 00:09:50] 其他多个加密货币也出现了大跌
[00:09:50 - 00:09:52] 其中多支跌幅超过10%
[00:09:52 - 00:09:53] 不过实际上
[00:09:53 - 00:09:56] 破解比特币的加密也并非一件容易的事情
[00:09:56 - 00:09:57] 根据严肃的估计
[00:09:57 - 00:10:00] 量子计算机需要多达1500个量子比特
[00:10:00 - 00:10:02] 连续工作15到20年
[00:10:02 - 00:10:04] 才能破解加密货币的加密算法
[00:10:04 - 00:10:08] 而目前谷歌vlog芯片仅有105个量子比特
[00:10:08 - 00:10:09] 当然了
[00:10:09 - 00:10:12] 如果谷歌可以进一步的扩展量子比特的数量
[00:10:12 - 00:10:15] 并且使得量子纠错的能力能够保持现有的水平
[00:10:15 - 00:10:18] 那么破解加密货币可能只是一个时间问题
[00:10:18 - 00:10:19] 以太网的联合创始人V.Shen
[00:10:19 - 00:10:21] 维塔利克·布特林表示
[00:10:21 - 00:10:23] 即使量子计算获得了突破
[00:10:23 - 00:10:25] 加密货币通过硬分差
[00:10:25 - 00:10:27] 就可以在一定程度上解决这个问题
[00:10:27 - 00:10:29] 但是对于那些休眠钱包来说
[00:10:29 - 00:10:31] 将会面临巨大的威胁
[00:10:31 - 00:10:33] 当然了需要说明的是
[00:10:33 - 00:10:35] 虽然Velo在基准测试中表现突出
[00:10:35 - 00:10:37] 但是依然没有在实际应用测试中
[00:10:37 - 00:10:39] 展现出超越经典计算机的能力
[00:10:39 - 00:10:40] 从长期来看
[00:10:40 - 00:10:43] 量子计算可能会引发一场科技革命
[00:10:43 - 00:10:45] 对我们的生活产生深远的影响
[00:10:45 - 00:10:46] 但是短期来看
[00:10:46 - 00:10:49] 量子计算的发展仍然面临着许多的挑战
[00:10:49 - 00:10:52] 比如说量子比特的数量仍然相对较少
[00:10:52 - 00:10:54] 要实现大规模的量子计算
[00:10:54 - 00:10:55] 还需要进一步提高
[00:10:55 - 00:10:58] 量子比特的稳定性和可宽然性等等
[00:10:58 - 00:11:01] 这次虽然在量子纠错纪录上取得了一定的进展
[00:11:01 - 00:11:03] 但是仍然需要不断的完善
[00:11:03 - 00:11:05] 来确保量子计算的准确性
[00:11:05 - 00:11:08] 此外量子计算的成本也非常高昂
[00:11:08 - 00:11:11] 要实现商业化的应用还需要降低成本
[00:11:11 - 00:11:12] 提高性价比
[00:11:12 - 00:11:14] 尽管如此谷歌vlog芯片的成功
[00:11:14 - 00:11:17] 依然为我们展示了量子计算的巨大潜力
[00:11:17 - 00:11:20] 随着科技的不断进步和各国政府企业的持续投入
[00:11:20 - 00:11:22] 相信在不久的将来
[00:11:22 - 00:11:24] 量子计算将逐渐走进我们的生活
[00:11:24 - 00:11:27] 为解决各种复杂的问题提供全新的解决方案
[00:11:27 - 00:11:28] 感谢大家观看
[00:11:28 - 00:11:29] 我们下期再见
