BV号：BV1g86VYwECp
标题：BV1g86VYwECp
链接：https://www.bilibili.com/video/BV1g86VYwECp
识别语言：zh
语言置信度：1
分段数：288
生成时间：2026-08-30 21:55:17

[00:00:00 - 00:00:02] 大家好 这里是最佳拍到 我是大飞
[00:00:03 - 00:00:05] 在科技行业蓬勃发展的当下
[00:03:00 - 00:03:03] 真实的奖项应该是中国青年五四奖章
[00:03:03 - 00:03:06] 而所谓的中国国际经济技术促进会
[00:03:06 - 00:03:09] 中国管理科学研究院行业发展研究所
[00:03:09 - 00:03:13] 在全国的组织机构代码管理中心中查询的时候
[00:03:13 - 00:03:14] 也都提示不存在
[00:03:14 - 00:03:17] 陳區的真實身份其實是浙江台州人
[00:03:17 - 00:03:20] 最初只是江蘇一家裝修公司的小老闆
[00:03:20 - 00:03:21] 在過去十年間
[00:03:21 - 00:03:25] 他通過銀行貸款P2P區塊鏈等業務逐步的鏈材
[00:03:25 - 00:03:27] 獲得了第一桶金
[00:03:27 - 00:03:28] 為了進一步包裝自己
[00:03:28 - 00:03:30] 他還拉來了政府背書
[00:03:30 - 00:03:31] 2023年
[00:03:31 - 00:03:33] 吉木產業員在上海某個郊區建成
[00:03:33 - 00:03:35] 原內有兩棟樓
[00:03:35 - 00:03:37] 中間用一層健身房連接
[00:03:37 - 00:03:39] 裝修規格極高
[00:03:39 - 00:03:41] 據說光裝修就花費了4000萬
[00:03:41 - 00:03:43] 陳區在與投資人的演講錄音中誇口
[00:03:43 - 00:03:47] 在2023年下半年到2024年年中
[00:03:47 - 00:03:48] 暴雷的期間
[00:03:48 - 00:03:51] 公司内部经常会悬挂着有副市长啊
[00:03:51 - 00:03:52] 区委常委啊
[00:03:52 - 00:03:53] 文立局局长啊
[00:03:53 - 00:03:56] 这些官员头衔的红色欢迎同服
[00:03:56 - 00:03:58] 给人一种正气关系紧密的假象
[00:03:58 - 00:03:59] 骗说二
[00:03:59 - 00:04:01] 架构荣誉表演是工作
[00:04:01 - 00:04:04] 员工在被公司的华丽包装吸引入职之后
[00:04:04 - 00:04:06] 却不断地返回来
[00:04:06 - 00:04:07] 在2024年中
[00:04:07 - 00:04:08] 在2024年中
[00:04:08 - 00:04:09] 在2024年中
[00:04:09 - 00:04:10] 表演是工作
[00:04:10 - 00:04:13] 員工在被公司的華麗包裝吸引入職之後
[00:04:13 - 00:04:16] 發現吉姆銀河營造的職場氛圍十分的虛幻
[00:04:16 - 00:04:19] 公司於2023年2月成立
[00:04:19 - 00:04:21] 在創業的一年半時間裡
[00:04:21 - 00:04:22] 對外宣稱的十幾個項目中
[00:04:22 - 00:04:25] 有三分之二處於沒有營收
[00:04:25 - 00:04:27] 或者是難以覆蓋人力成本的狀態
[00:04:27 - 00:04:29] 令人匪夷所思的是
[00:04:29 - 00:04:30] 在業務還沒有起色的時候
[00:04:30 - 00:04:34] 公司就組建了一個龐大而且榮譽的銷售團隊
[00:04:34 - 00:04:35] 人數超過150人
[00:04:35 - 00:04:37] 佔公司總人數的四分之一
[00:04:37 - 00:04:42] 吉姆銀河將銷售體系分為了東西南北中五個大區
[00:04:42 - 00:04:45] 每個大區除了大區總監、大客戶經理以外
[00:04:45 - 00:04:46] 還有各種助理
[00:04:46 - 00:04:49] 甚至每個大區還設有CMO助理
[00:04:49 - 00:04:52] 負責以CMO的分身身份在全國簽合同做業務
[00:04:52 - 00:04:54] 然而這個龐大的銷售隊伍
[00:04:54 - 00:04:57] 日常的工作卻像是在表演一樣
[00:04:57 - 00:04:58] 他們頻繁的出差
[00:04:58 - 00:04:59] 在各地做公關
[00:04:59 - 00:05:01] 看似忙碌的拿項目
[00:05:01 - 00:05:02] 但是毫無成本意識
[00:05:02 - 00:05:04] 飛機隨便的來回
[00:05:04 - 00:05:06] 在一個地方酒店一住就是三五天
[00:05:06 - 00:05:09] 以公司人数最多的元宇宙业务为例
[00:05:09 - 00:05:11] 它的业务模式是与警区合作
[00:05:11 - 00:05:15] 让游客扫描景点的ARM来体验AR元宇宙
[00:05:15 - 00:05:17] 每次收费10块钱
[00:05:17 - 00:05:19] 但是经过记者实地调查发现
[00:05:19 - 00:05:21] 交付的设计和交互的效果极差
[00:05:21 - 00:05:23] 用户根本就没有付费的意愿
[00:05:23 - 00:05:25] 而且这种模式
[00:05:25 - 00:05:27] 腾讯这些公司早就已经尝试过了
[00:05:27 - 00:05:30] 然而在陈群向投资人演讲的时候
[00:05:30 - 00:05:32] 却声称与全国几千家头部的警区
[00:05:32 - 00:05:34] 达成了深度的合作
[00:05:34 - 00:05:37] 员工在查看公司与警区的签约合同后发现
[00:05:37 - 00:05:40] 合作的其实大多都是一些不知名的乡村警区
[00:05:40 - 00:05:45] 此外公司对于销售团队的管理采用千军令状的方式
[00:05:45 - 00:05:48] 要求每个事业部的销售承诺在2024年内
[00:05:48 - 00:05:51] 完成几十到几百万不等的营收或者是回款
[00:05:51 - 00:05:54] 并且签署身份证的后两位
[00:05:54 - 00:05:57] 但是实际上并没有任何的惩罚阅数机制
[00:05:57 - 00:05:59] 完全就是一场闹剧
[00:05:59 - 00:06:01] 片树三 千疮百孔的业务
[00:06:01 - 00:06:02] 除了吹牛 啥都没干成
[00:06:02 - 00:06:06] 在完成創始人、企業背景和團隊架構的部署之後
[00:06:06 - 00:06:09] 吉姆銀河開始通過無限的擴張業務版圖來吸引融資
[00:06:09 - 00:06:12] 陳群對於公司的規劃極為誇張
[00:06:12 - 00:06:15] 聲稱2023年要投資12個項目
[00:06:15 - 00:06:17] 2024年還要再投50個項目
[00:06:17 - 00:06:18] 並且跨下海口
[00:06:18 - 00:06:20] 2023年營收9個多億
[00:06:20 - 00:06:23] 未來要上市成就千億萬億市值
[00:06:23 - 00:06:26] 但是公司的業務邏輯卻十分的簡單粗暴
[00:06:26 - 00:06:28] 完全是什麼火做什麼
[00:06:28 - 00:06:30] 或者高層拍腦袋決定
[00:06:30 - 00:06:32] 集目银河的业务范围涵盖了
[00:06:32 - 00:06:35] 闖物电商 元宇宙 数据中心 AI应用
[00:06:35 - 00:06:38] 拥持卫视 招聘软件 带后管理等多个领域
[00:06:38 - 00:06:41] 各业务之间还毫无关联
[00:06:41 - 00:06:43] 曾经有中层看到公司的项目立项书
[00:06:43 - 00:06:48] 里面连基本的商业目的 市场分析 竞品调研都没有
[00:06:48 - 00:06:50] 只有几张简单的Excel表格
[00:06:50 - 00:06:54] 通过一些商业公式计算得出能够盈利的结论
[00:06:54 - 00:06:56] 简直就像小学生在做算数提议一样
[00:06:56 - 00:07:00] 比方说公司旗下的蓝领灵活用工SARS项目
[00:07:00 - 00:07:04] 这个项目的起源竟然是项目负责人在打牌的时候向成群保证
[00:07:04 - 00:07:07] 只要投钱 创业一年就能完成5个亿的收入
[00:07:07 - 00:07:11] 2025年完成25亿的收入 就能够养获整个集团了
[00:07:11 - 00:07:16] 但这些项目实际落地后 绝大多数都没有独立存活的能力
[00:07:16 - 00:07:19] 比如说2024年 公司还在做传统的人力资源外包
[00:07:19 - 00:07:23] 而且在价格 资源 系统等等方面都毫无优势
[00:07:23 - 00:07:27] 骗数次 骗子的穷通末路就是向员工伸手要钱
[00:07:27 - 00:07:31] 2023年 国内的创业环境早已经不像过去那样一壶摆印了
[00:07:31 - 00:07:33] 吉木银河这种粗糙的复发方式
[00:07:33 - 00:07:36] 实际上也很难获得项目融资
[00:07:36 - 00:07:39] 于是 陈群就把目光转向了员工的口袋
[00:07:39 - 00:07:40] 有多名前员工表示
[00:07:40 - 00:07:43] 吉木银河及其旗下的理财公司
[00:07:43 - 00:07:46] 存在着一条隐秘的适用期转正途径
[00:07:46 - 00:07:47] 员工想要适用期转正
[00:07:47 - 00:07:50] 就要购买陈群金融公司开发的理财产品
[00:07:50 - 00:07:52] 年化率6%
[00:07:52 - 00:07:54] 为了能够转正和获取收益
[00:07:54 - 00:07:57] 部分员工购买了20万元到200万元不等的份额
[00:07:57 - 00:07:59] 不仅如此
[00:07:59 - 00:08:00] 陈群还向管理层下手
[00:08:00 - 00:08:02] 有多名中层透露
[00:08:02 - 00:08:03] 2024年年初
[00:08:03 - 00:08:05] 陈群与投资新型理财
[00:08:05 - 00:08:06] 公司资金紧翘
[00:08:06 - 00:08:09] 个人项目需要周转资金等等借口
[00:08:09 - 00:08:12] 借走了管理层70万到500万不等的高额资金
[00:08:12 - 00:08:15] 甚至有跟陈群相处多年的二把手
[00:08:15 - 00:08:17] 把自己的房产抵押套现借钱给他
[00:08:17 - 00:08:21] 还有患病需要钱治疗的管理层员工也未能性灭
[00:08:21 - 00:08:22] 在此期间
[00:08:22 - 00:08:24] 陈群还不断的释放烟雾弹
[00:08:24 - 00:08:27] 声称公司即将有3500万元的股权融资要兑现
[00:08:27 - 00:08:30] 同时它的行踪也开始变得神秘起来
[00:08:30 - 00:08:33] 经常以废言为由、推词、年会等等集体活动
[00:08:33 - 00:08:36] 在公司露面的次数也越来越少
[00:08:36 - 00:08:38] 还传出他与妻子秘密离婚的消息
[00:08:38 - 00:08:41] 最终员工购买的礼财和高管借出的钱
[00:08:41 - 00:08:44] 都随着他的消失而打了水漂
[00:08:44 - 00:08:46] 此外还有一些细节值得注意
[00:08:46 - 00:08:48] 陈君旗下的所有公司
[00:08:48 - 00:08:50] 法人和最终受益人都不是他本人
[00:08:50 - 00:08:53] 而他指定的高管或者亲信
[00:08:53 - 00:08:56] 這可能是他為了逃避風險而設計的法人結構
[00:08:56 - 00:09:00] 而且這些公司的認角資本雖然高達幾百萬、幾千萬
[00:09:00 - 00:09:04] 但是實角資本要麼為零,要麼就遠低於認角資本
[00:09:04 - 00:09:06] 針對於極目銀河的這些騙術
[00:09:06 - 00:09:09] 大飛我也幫大家總結了一些應對的策略
[00:09:09 - 00:09:12] 首先不要傾信所謂背景硬的創始人或者是CEO
[00:09:12 - 00:09:15] 判斷一位企業的領導者是否有實力
[00:09:15 - 00:09:17] 要看他的實際行動和成就
[00:09:17 - 00:09:20] 而不是那些花裡胡哨的獎項和頭銜
[00:09:20 - 00:09:22] 對於一些供動旋序的說法
[00:09:22 - 00:09:23] 都利用像小红书啊
[00:09:23 - 00:09:24] 卖卖啊
[00:09:24 - 00:09:25] 以及各类企业查询工具
[00:09:25 - 00:09:26] 进行多方的求证
[00:09:27 - 00:09:28] 如果一个创始人或者企业
[00:09:28 - 00:09:30] 除了这些虚名以外
[00:09:30 - 00:09:31] 没有任何实事的内容
[00:09:31 - 00:09:32] 那就要提高警惕
[00:09:33 - 00:09:33] 其次呢
[00:09:33 - 00:09:35] 要多和其他部门的同事交流
[00:09:35 - 00:09:37] 尤其是销售团队
[00:09:37 - 00:09:38] 如果你不擅长社交
[00:09:38 - 00:09:39] 也可以关注一下
[00:09:39 - 00:09:40] 公司大群人数的变化
[00:09:41 - 00:09:42] 如果一家企业
[00:09:42 - 00:09:43] 在业务还没有成型的时候
[00:09:43 - 00:09:45] 就盲目的扩张团队
[00:09:45 - 00:09:46] 这通常是一个危险的信号
[00:09:47 - 00:09:48] 而销售团队呢
[00:09:48 - 00:09:49] 作为企业的业务先锋
[00:09:49 - 00:09:50] 最能够直接的了解
[00:09:50 - 00:09:53] 产品的销售情况和市场反馈
[00:09:53 - 00:09:54] 与他们进行交流
[00:09:54 - 00:09:55] 可以快速的了解
[00:09:55 - 00:09:56] 公司的经营健康度
[00:09:56 - 00:09:59] 再者当公司开展新业务的时候
[00:09:59 - 00:10:02] 要关注一下这个赛道第一名的生存情况
[00:10:02 - 00:10:04] 像吉默银河这样一口气
[00:10:04 - 00:10:05] 涉足十几个行业的做法
[00:10:05 - 00:10:07] 显然是极其不正常的
[00:10:07 - 00:10:10] 通过了解行业已有玩家的发展瓶颈
[00:10:10 - 00:10:11] 我们大致可以判断出
[00:10:11 - 00:10:13] 公司新业务的可行性
[00:10:13 - 00:10:14] 在当前这种经济环境下
[00:10:14 - 00:10:17] 收缩和维稳是主流的趋势
[00:10:18 - 00:10:20] 公司突然开始大肆的扩张
[00:10:20 - 00:10:22] 那么你心里一定要多问几个为什么
[00:10:22 - 00:10:25] 另外要流行公司的一些反常的现象
[00:10:25 - 00:10:28] 比如说创始人或者CEO长时间的消失
[00:10:28 - 00:10:29] 重要场合不露面
[00:10:29 - 00:10:31] 突然传出离婚传闻等等
[00:10:31 - 00:10:33] 这些可能都是转移资产的迹象
[00:10:33 - 00:10:36] 同时如果公司开始拖欠员工工资
[00:10:36 - 00:10:38] 报销款难以报销等等
[00:10:38 - 00:10:39] 也要立刻的引起警觉
[00:10:39 - 00:10:42] 最后如果公司要求购买自家的理财产品
[00:10:42 - 00:10:43] 才能够转正
[00:10:43 - 00:10:45] 那么一定要果断的离开
[00:10:45 - 00:10:47] 这很可能是一个巨大的陷阱
[00:10:47 - 00:10:50] 希望今天的分享能够帮助大家提高职场的防诈意识
[00:10:50 - 00:10:52] 避免陷入类似的骗局
[00:10:52 - 00:10:54] 大家在科技领域求职的时候
[00:10:54 - 00:10:56] 也一定要保持清醒的头脑
[00:10:56 - 00:10:57] 谨慎的选择公司
[00:10:57 - 00:10:59] 好了 感谢大家观看本期视频
[00:10:59 - 00:11:00] 我们下期再见
