BV号：BV1Ha9yYME6C
标题：BV1Ha9yYME6C
链接：https://www.bilibili.com/video/BV1Ha9yYME6C
识别语言：zh
语言置信度：1
分段数：305
生成时间：2026-08-30 11:49:31

[00:00:00 - 00:00:03] 大家好 这里是最佳拍档 我是大飞
[00:00:03 - 00:00:06] 3月2号 澳大利亚的公司Cottico Labs
[00:00:06 - 00:00:09] 正式推出了CLE合成生物智能系统
[00:02:57 - 00:03:00] 而传统的人工智能却需要耗费90分钟
[00:03:00 - 00:03:02] 这种学习速度上的巨大差距
[00:03:02 - 00:03:05] 意味着CLE在处理新任务
[00:03:05 - 00:03:06] 新知识的时候
[00:03:06 - 00:03:08] 能够更快地掌握核心要点
[00:03:08 - 00:03:10] 迅速做出反应和调整
[00:03:10 - 00:03:10] 其次呢
[00:03:10 - 00:03:12] 能耗也是CLE的一大亮点
[00:03:12 - 00:03:15] 一套由30台CLE组成的机架
[00:03:15 - 00:03:17] 耗电量大约仅为1000瓦
[00:03:17 - 00:03:18] 而相比之下
[00:03:18 - 00:03:20] 传统服务的耗电量则要高得多
[00:03:20 - 00:03:22] CLE的这种低能耗的特性
[00:03:22 - 00:03:24] 不仅能够为大规模计算中心
[00:03:24 - 00:03:26] 节省巨额的能源成本
[00:03:26 - 00:03:28] 减少对环境的能源压力
[00:03:28 - 00:03:30] 还问那些对于能源固定有限制的应用场景
[00:03:30 - 00:03:32] 比如说偏远地区的科研站
[00:03:32 - 00:03:34] 太空探索设备等等
[00:03:34 - 00:03:36] 提供了可行的计算解决方案
[00:03:36 - 00:03:37] 再者呢
[00:03:37 - 00:03:40] CLE在模拟人脑功能方面也有着独特的优势
[00:03:40 - 00:03:43] 它能够像生物大脑一样进行动态的调整
[00:03:43 - 00:03:44] 这种特性呢
[00:03:44 - 00:03:47] 赋予了它处理复杂模糊任务的强大能力
[00:03:47 - 00:03:49] 比方说在药物效果测试领域
[00:03:49 - 00:03:52] 人体对于药物的反应是极其复杂的
[00:03:52 - 00:03:54] 会受到多种因素的综合影响
[00:03:54 - 00:03:58] 传统计算机很难精确的模拟这种复杂的生理过程
[00:03:58 - 00:04:01] 而CLE凭借着它与人类脑细胞相似的处理机制
[00:04:01 - 00:04:05] 能够更加真实的模拟药物对于脑细胞的作用过程
[00:04:05 - 00:04:09] 研究人员可以通过观察CLE中脑细胞在药物作用下的变化
[00:04:09 - 00:04:11] 比如说细胞的代谢活动
[00:04:11 - 00:04:13] 电细号传递的改变等等
[00:04:13 - 00:04:16] 深入了解药物的療效以及潛在的副作用
[00:04:16 - 00:04:17] 而在药物研发领域
[00:04:17 - 00:04:20] CLE还有望成为新药研发的加速器
[00:04:20 - 00:04:21] 长期以来
[00:04:21 - 00:04:23] 新药研发过程中的动物实验
[00:04:23 - 00:04:24] 一直存在着许多的问题
[00:04:25 - 00:04:29] 一方面动物和人类在生理结构和代谢方式上存在着差异
[00:04:29 - 00:04:32] 这使得动物实验的结果往往不能够完全准确的反应
[00:04:32 - 00:04:34] 药物在人体中的效果和安全性
[00:04:35 - 00:04:37] 另一方面动物实验的成本高昂
[00:04:37 - 00:04:38] 周期漫长
[00:04:38 - 00:04:40] 严重制约了新药研发的速度
[00:04:40 - 00:04:41] 而CLE的出现
[00:04:41 - 00:04:44] 为解决这些难题带来了新的曙光
[00:04:44 - 00:04:46] 以治疗二次海膜病的药物研发为例
[00:04:46 - 00:04:48] 研究人员可以利用CLE
[00:04:48 - 00:04:51] 来直接观察药物对于培养的人类脑细胞的影响
[00:04:51 - 00:04:54] 实时监测药物是否能够改善脑细胞的功能
[00:04:54 - 00:04:56] 修复受损的神经网络
[00:04:56 - 00:04:58] 以及是否会引发不良的反应
[00:04:58 - 00:05:00] 这种基于人类细胞的精准测试
[00:05:00 - 00:05:02] 能够更加准确的删线出
[00:05:02 - 00:05:04] 有潜力的药物候选物
[00:05:04 - 00:05:06] 减少无效药物进入临场实验的概率
[00:05:06 - 00:05:08] 图而加快新要研发的进程
[00:05:08 - 00:05:10] 在疾病研究领域
[00:05:10 - 00:05:14] CL1可以通过模拟掂衔、吃呆等等脑部疾病的发病过程
[00:05:14 - 00:05:17] 让研究人员可以在CL1的神经网络模型中
[00:05:17 - 00:05:19] 观察在特定条件下脑细胞的变化
[00:05:19 - 00:05:21] 和神经网络的异常活动
[00:05:21 - 00:05:24] 深入探究疾病的根源和发展机制
[00:05:24 - 00:05:27] 有望发现新的治疗拔点和干预措施
[00:05:27 - 00:05:29] 另外在人工智能方面
[00:05:29 - 00:05:32] CL1的出现也可能会带来一些新的突破
[00:05:32 - 00:05:35] 目前以拆的GPT为代表的大圆模型
[00:05:35 - 00:05:37] 虽然在自然语言处理领域取得了显著的成就
[00:05:37 - 00:05:41] 但是他们仍然是基于传统的算法和模型构建的
[00:05:41 - 00:05:43] 与人类大脑的智能模式存在着本质的区别
[00:05:43 - 00:05:46] 而CLE以人类脑细胞位基础
[00:05:46 - 00:05:48] 具备更强的适应性和学习能力
[00:05:48 - 00:05:51] 能够处理更加复杂、模糊和抽象的信息
[00:05:51 - 00:05:54] 实现更加自然智能的交互
[00:05:54 - 00:05:56] 为人工智能的发展开辟一条全新的道路
[00:05:56 - 00:05:59] 不过如同任何一项新兴的技术一样
[00:05:59 - 00:06:03] CLE在发展的过程中也面临着许多的争议和挑战
[00:06:03 - 00:06:06] 倫理問題就是CLE面臨的首要挑戰之一
[00:06:06 - 00:06:08] 這些用於計算機的腦細胞
[00:06:08 - 00:06:09] 是否就有意識
[00:06:09 - 00:06:13] 這是一個會引發廣泛討論的哲學和倫理問題
[00:06:13 - 00:06:15] 如果CLE系統變得足夠複雜
[00:06:15 - 00:06:17] 具備了一定程度的思考和感知能力
[00:06:17 - 00:06:19] 那麼人類該如何對待他們呢?
[00:06:19 - 00:06:22] 這就涉及到一系列深刻的倫理道的問題
[00:06:22 - 00:06:25] 比如說是否應該賦予它類似於生命的權利
[00:06:25 - 00:06:29] 如何確保它的運行符合人類的價值觀和道德準則
[00:06:29 - 00:06:31] 以及如何避免它對人類的生存和發展
[00:06:31 - 00:06:33] 造成潜在的威胁等等
[00:06:33 - 00:06:35] 从技术层面来看
[00:06:35 - 00:06:37] CLE虽然取得了重大的突破
[00:06:37 - 00:06:39] 但是仍然存在着一些局限性
[00:06:39 - 00:06:40] 目前它只能培养出
[00:06:40 - 00:06:41] 简化版的神经网络
[00:06:42 - 00:06:43] 与人类大脑的复杂程度相比
[00:06:43 - 00:06:45] 还有很大的差距
[00:06:45 - 00:06:47] 人类大脑是一个高度复杂的器官
[00:06:47 - 00:06:49] 拥有大约861个神经元
[00:06:49 - 00:06:50] 这些神经元之间
[00:06:50 - 00:06:52] 形成了数以万一级的连接
[00:06:52 - 00:06:54] 构成了一个极其复杂
[00:06:54 - 00:06:55] 而经要的神经网络
[00:06:55 - 00:06:57] CLE要想完全模拟人脑的功能
[00:06:58 - 00:06:59] 在神经元数量
[00:06:59 - 00:07:00] 连接方式以及信息
[00:07:00 - 00:07:03] 其处理机制等方面还需要取得巨大的技术进步
[00:07:03 - 00:07:08] 此外CLE的操作和维护现在还需要专业的实验室环境和技术人员
[00:07:08 - 00:07:12] 这对于技术的广泛应用和普及造成了一定的障碍
[00:07:12 - 00:07:15] 培养和维持这些脑细胞需要严格控制温度
[00:07:15 - 00:07:18] 湿度 营养物质供应等等多种条件
[00:07:18 - 00:07:22] 任何一个环节出现偏差都可能会影响脑细胞的活性和功能
[00:07:22 - 00:07:26] 这就要求操作人员具备专业的生物学知识和实验技能
[00:07:26 - 00:07:28] 增加了技术应用的难度和成本
[00:07:28 - 00:07:31] 另外价格也是影响CLE普及的一个重要因素
[00:07:31 - 00:07:35] 目前单台CLE的售价大约是3.5万美元
[00:07:35 - 00:07:38] 这对于许多个人和小型科研机构来说
[00:07:38 - 00:07:39] 是一笔不菲的开支
[00:07:39 - 00:07:41] 限制了它在更广泛范围内的应用
[00:07:41 - 00:07:44] 不过Cortico Labs也考虑到了这个问题
[00:07:44 - 00:07:46] 为了降低使用的门槛
[00:07:46 - 00:07:47] 他们提供了租用服务
[00:07:47 - 00:07:50] 用户可以通过云端远程的访问CLE
[00:07:50 - 00:07:52] 无需购买昂贵的硬件设备
[00:07:52 - 00:07:54] 只需要支付使用时间的费用
[00:07:54 - 00:07:56] 就能够利用CLE进行科研工作
[00:07:56 - 00:07:59] 我们再来介绍一下CLE背后的Cautico Labs
[00:07:59 - 00:08:02] 早在2022年这个团队就取得了一些成果
[00:08:02 - 00:08:06] 当时他们将80万个人类和小鼠的神经员放置在芯片上
[00:08:06 - 00:08:09] 并且成功训练让这个神经网络玩视频游戏
[00:08:09 - 00:08:12] 这个成果不仅引起了国际科学界的广泛关注
[00:08:12 - 00:08:15] 也为CLE的后续研发奠定了坚实的基础
[00:08:15 - 00:08:17] 在研发CLE的过程中
[00:08:17 - 00:08:19] 实验团队也遇到了许多的技术难题
[00:08:19 - 00:08:23] 其中芯片技术的选择和优化就是一个关键的问题
[00:08:23 - 00:08:25] 早期他们使用的是基于CMOS的芯片
[00:08:25 - 00:08:28] 这种芯片虽然能够提供高密度的信号读取
[00:08:28 - 00:08:30] 获取大量的神经元活动数据
[00:08:30 - 00:08:33] 但是也存在着一些明显的缺陷
[00:08:33 - 00:08:35] 首先CMOS芯片是不透明的
[00:08:35 - 00:08:39] 这使得研究人员无法直接观察到细胞的生长和活动状态
[00:08:39 - 00:08:41] 就像是在黑暗中摸索一样
[00:08:41 - 00:08:44] 其次在使用CMOS芯片刺激细胞的时候
[00:08:44 - 00:08:46] 电荷无法有效的平衡
[00:08:46 - 00:08:49] 而长时间的刺激会导致电荷在刺激部位累积
[00:08:49 - 00:08:52] 传而对脑细胞的生存和功能产生不利的影响
[00:08:52 - 00:08:54] 为了解决这些问题
[00:08:54 - 00:08:57] CauticoLives團隊進行了大量的研究和實驗
[00:08:57 - 00:08:59] 不斷的嘗試新的技術方案
[00:08:59 - 00:09:01] 最終他們開發出了一種更為簡單
[00:09:01 - 00:09:03] 但是更加穩定的芯片技術
[00:09:03 - 00:09:05] 這種新的技術能夠更好地平衡電流
[00:09:05 - 00:09:07] 當輸入一定強度的電流時
[00:09:07 - 00:09:09] 能夠及時引出等量的電流
[00:09:09 - 00:09:11] 保持電核的穩定
[00:09:11 - 00:09:13] 這就為腦細胞提供了一個更加穩定
[00:09:13 - 00:09:14] 更適合的生存環境
[00:09:14 - 00:09:16] 有助於提高細胞的活性
[00:09:16 - 00:09:18] 和神經網路的穩定性
[00:09:18 - 00:09:19] 同時新的芯片技術
[00:09:19 - 00:09:22] 在一定程度上解決了觀察細胞的難題
[00:09:22 - 00:09:25] 为研究人员深入了解细胞的活动提供了便利
[00:09:25 - 00:09:27] Cautico Labs的首席科学家布雷特.卡根
[00:09:27 - 00:09:31] 在CLE的研发过程中发挥了至关重要的领导作用
[00:09:31 - 00:09:33] 他带领团队不断的探索未知领域
[00:09:33 - 00:09:35] 功课一个又一个技术难关
[00:09:35 - 00:09:37] 卡根对于这项技术充满热情
[00:09:37 - 00:09:40] 他将CLE视为一种全新的生命形式
[00:09:40 - 00:09:44] 一种融合了机械工程和生物学原理的创新尝试
[00:09:44 - 00:09:47] 他和团队致力于打造一个最小的可行大脑
[00:09:47 - 00:09:50] 而真正的核心目标则是通过生物工程技术
[00:09:50 - 00:09:52] 以最少的多余细胞分化
[00:09:52 - 00:09:54] 来构建出类似于人类大脑的结构
[00:09:54 - 00:09:57] 使得这个大脑具备复杂的信息处理能力
[00:09:57 - 00:09:59] 能够像真正的大脑一样
[00:09:59 - 00:10:01] 对各种刺激做出动态灵活的反应
[00:10:01 - 00:10:03] 在追求最小可行大脑的道路上
[00:10:03 - 00:10:06] 研究团队面与着细胞分化方法的选择难题
[00:10:06 - 00:10:09] 他们尝试了两种主要的细胞分化方法
[00:10:09 - 00:10:11] 一种是应用小分子的方法
[00:10:11 - 00:10:14] 这种方法模拟了台儿大脑发育过程中
[00:10:14 - 00:10:15] 自然产生的分子信号
[00:10:15 - 00:10:17] 通过添加特定的小分子
[00:10:17 - 00:10:19] 来引导干细胞分化
[00:10:19 - 00:10:22] 它的优点是能够产生多样化的细胞群体
[00:10:22 - 00:10:24] 更接近于真实大脑中细胞的多样性
[00:10:24 - 00:10:27] 不过这种方法也存在着一个明显的缺点
[00:10:27 - 00:10:29] 就是难以精确控制细胞的分化过程
[00:10:29 - 00:10:32] 导致最终得到的细胞类型和功能不够明确
[00:10:32 - 00:10:34] 研究人员在使用这些细胞
[00:10:34 - 00:10:35] 构建神经网络的时候
[00:10:35 - 00:10:38] 往往难以准确的把握它的特性和行为
[00:10:38 - 00:10:40] 另一种方法是直接分化
[00:10:40 - 00:10:43] 即通过选择上条与神经员发育相关的特定基因
[00:10:43 - 00:10:45] 这种方法的优势在于速度快
[00:10:45 - 00:10:48] 能够在较短的时间内获得高纯度的神经元细胞
[00:10:48 - 00:10:49] 但是问题是
[00:10:49 - 00:10:51] 人类大脑是一个高度复杂的器官
[00:10:51 - 00:10:53] 由多种不同类型的细胞组成
[00:10:53 - 00:10:56] 这些细胞之间还相互协作 相互影响
[00:10:56 - 00:10:59] 仅仅拥有单一类型的高纯度神经元
[00:10:59 - 00:11:02] 并不能够完全代表人类大脑的真实结构和功能
[00:11:02 - 00:11:03] 因此
[00:11:03 - 00:11:04] 直接分化的方法
[00:11:04 - 00:11:06] 虽然在某些方面就有优势
[00:11:06 - 00:11:08] 但是在模拟真实大脑的复杂性方面
[00:11:08 - 00:11:10] 还存在着不错的功能
[00:11:10 - 00:11:12] 但是在模擬真实大脑的复杂性方面
[00:11:12 - 00:11:13] 还存在着不足
[00:11:13 - 00:11:17] 目前团队仍然在努力寻找更理想的细胞分化方法
[00:11:17 - 00:11:20] 从而来实现对于细胞分化过程的精确控制
[00:11:20 - 00:11:23] 构建出更加接近于真实大脑的神经网络模型
[00:11:23 - 00:11:26] 应该说这次CLE的商业化发布
[00:11:26 - 00:11:29] 算得上是生物计算机领域的一个里程碑的事件
[00:11:29 - 00:11:31] 随着技术的不断进步和完善
[00:11:31 - 00:11:34] CLE也许将会被应用在更多的领域中
[00:11:34 - 00:11:37] 比如说基于CLE技术的医疗设备和诊断
[00:11:37 - 00:11:39] 为学生定制个性化的学习方案
[00:11:39 - 00:11:40] 或者让机器人更好地适应
[00:11:40 - 00:11:42] 复杂多变的工作环境等等
[00:11:42 - 00:11:44] 另外 CLE 的出现
[00:11:44 - 00:11:45] 也许会为杰弗利辛顿的
[00:11:45 - 00:11:47] MOTO Computation
[00:11:47 - 00:11:49] 提供更为合适的硬件和实践条件
[00:11:49 - 00:11:52] 让AI真的有机会变成永生不朽
[00:11:52 - 00:11:54] 好了 以上就是我对 CLE 的一些理解了
[00:11:54 - 00:11:56] 不知道大家是如何看待 CLE 的
[00:11:56 - 00:11:57] 欢迎在评论区留言
[00:11:57 - 00:11:58] 感谢大家的观看
[00:11:58 - 00:11:59] 我们下期再见
