BV号：BV14Lgh6fEvk
标题：BV14Lgh6fEvk
链接：https://www.bilibili.com/video/BV14Lgh6fEvk
识别语言：zh
语言置信度：1
分段数：251
生成时间：2026-08-29 19:08:22

[00:00:00 - 00:00:02] 大家好 我是为什么叫QQ
[00:00:02 - 00:00:04] Cursor最近公布了一组内部风群实验
[00:02:18 - 00:02:21] 便以检查引用和负责协调冲突的Reconciler
[00:02:21 - 00:02:22] 第二个灾难
[00:02:22 - 00:02:23] 合并冲突
[00:02:23 - 00:02:25] AI写代码很快
[00:02:25 - 00:02:27] 但处理合并冲突极差
[00:02:27 - 00:02:28] 他们要么直接覆盖别人的代码
[00:02:28 - 00:02:30] 要么把自己的改动圈扔了
[00:02:30 - 00:02:31] 怎么解决
[00:02:31 - 00:02:34] Cursor引入了一个中立的第三方AI
[00:02:34 - 00:02:35] 这个AI不写业务代码
[00:02:35 - 00:02:37] 唯一的工作就是处理合并冲突
[00:02:37 - 00:02:40] 这就像是人类团队里的MerchQ
[00:02:40 - 00:02:42] 只不过全自动化了第三个灾难
[00:02:42 - 00:02:43] 巨无霸文件
[00:02:43 - 00:02:44] 总有一些核心文件
[00:02:44 - 00:02:46] 大家都往里面塞代码
[00:02:46 - 00:02:48] 最后变成了一个几万行的怪物
[00:02:48 - 00:02:50] 人类工程师看到这种文件
[00:02:50 - 00:02:51] 心里会发处
[00:02:51 - 00:02:52] 尽量绕着走
[00:02:52 - 00:02:53] 但AI不会害怕
[00:02:53 - 00:02:55] 他们会继续往里塞
[00:02:55 - 00:02:56] 直到整个系统被拖垮
[00:02:57 - 00:02:59] Cursor给工人AI加了一个权限
[00:02:59 - 00:03:01] 可以给优种的文件打标签
[00:03:01 - 00:03:02] 一旦打上标签
[00:03:02 - 00:03:03] 系统就锁死这个文件
[00:03:03 - 00:03:04] 不准再提交
[00:03:04 - 00:03:05] 然后派一个
[00:03:05 - 00:03:08] 专门的AI把它分解成小模块
[00:03:08 - 00:03:09] 看完这些你是不是觉得
[00:03:09 - 00:03:11] Cursor只是在给AI擦屁过
[00:03:11 - 00:03:12] 我一开始也这么想
[00:03:13 - 00:03:14] 但仔细一琢磨
[00:03:14 - 00:03:15] 发现了一个反常识的结论
[00:03:16 - 00:03:17] 你以为提升AI编程能力
[00:03:17 - 00:03:19] 就是要让大模型变得更聪明
[00:03:19 - 00:03:21] 能记住更多的代码
[00:03:21 - 00:03:22] 只要模型更聪明
[00:03:22 - 00:03:23] 上下温更大
[00:03:23 - 00:03:25] 复杂任务自然就能解决
[00:03:25 - 00:03:27] 但科斯尔团队拘死推测
[00:03:27 - 00:03:30] 风群的扩展能力可能更多来自上下文效率
[00:03:30 - 00:03:32] 而不只是并行
[00:03:32 - 00:03:33] 规划期不写实现
[00:03:33 - 00:03:35] work不负责全局规划
[00:03:35 - 00:03:38] 两者可以把注意力放在不同层级
[00:03:38 - 00:03:41] 不过这次实验同时改变了vcs
[00:03:41 - 00:03:44] 提示词审查和冲突处理等多项机制
[00:03:44 - 00:03:47] 还不能把全部提升归因于认知分工
[00:03:47 - 00:03:50] 这引出了一个极其重要的经济学账本
[00:03:50 - 00:03:53] 在opus 4.8加composer 2.5的配置中
[00:03:53 - 00:03:57] 我可消耗了大部分token,但成本只有411美元
[00:03:57 - 00:03:59] 约占该次模型成本的3成
[00:03:59 - 00:04:03] 而规划器虽然用的token少却花费了928美元
[00:04:03 - 00:04:05] 在大规模的软件工程中
[00:04:05 - 00:04:08] 真正需要前沿智能的环节其实非常少
[00:04:08 - 00:04:11] 比如最初的任务分解架构、设计和权衡取舍
[00:04:11 - 00:04:15] 一旦这些不确定性被消除,变成了明确的指令
[00:04:15 - 00:04:17] 后面的执行工作完全可以交给便宜
[00:04:17 - 00:04:19] 快速的模型去做
[00:04:19 - 00:04:22] 在OPUS 4.8加composer 2.5配置中
[00:04:22 - 00:04:26] 新版框架以4645行引擎代碼達到100%
[00:04:26 - 00:04:30] 而同樣的模型組合在舊版框架中
[00:04:30 - 00:04:34] 需要19,013行代碼才能獲得97%的分數
[00:04:34 - 00:04:37] 這說明的是風群框架改進的價值
[00:04:37 - 00:04:39] 而不是某個單一模型的絕對能力
[00:04:39 - 00:04:42] Cursor的實驗裡還有一個非常有意思的細節
[00:04:42 - 00:04:44] 它們稱之為Field Guide 野外指南
[00:04:44 - 00:04:48] 這實際上是讓智能體自主編寫的一份文檔
[00:04:48 - 00:04:50] 在啟動時自動注入給每個智能體
[00:04:50 - 00:04:51] 為什麼需要這個
[00:04:51 - 00:04:54] 因为模型的权重是冻结的
[00:04:54 - 00:04:57] 他们在运行中遇到坑如果不记录下来
[00:04:57 - 00:04:59] 下一个智能体还会掉进同一个坑里
[00:04:59 - 00:05:02] 这也相当于让AI自己给自己写排坑指南
[00:05:02 - 00:05:04] 他们发现真正值得记录的
[00:05:04 - 00:05:07] 恰恰是那些出乎意料的情况
[00:05:07 - 00:05:09] Cursor认为这种机制值得继续研究
[00:05:09 - 00:05:13] 目前还没有公开独立消融实验或量化受益
[00:05:13 - 00:05:16] 在一个长时间运行的多智能体系统中
[00:05:16 - 00:05:17] 错误会不断累积
[00:05:17 - 00:05:19] Cursor尝试了各种审查视角
[00:05:19 - 00:05:23] 有的看对话记录,有的看输出结果,有的看呆马库
[00:05:23 - 00:05:26] 没有任何一种审查视角能发现所有问题
[00:05:26 - 00:05:28] Cursor团队观察到
[00:05:28 - 00:05:31] 彼此低相关的视角叠加后能覆盖更多错误
[00:05:31 - 00:05:34] 并推测这种机制是长时间
[00:05:34 - 00:05:36] 运行仍能维持质量的重要原因
[00:05:36 - 00:05:40] 不过文章没有公开独立消融实验或量化收益
[00:05:40 - 00:05:43] 这就像自动驾驶系统不依赖某一个完美的雷达
[00:05:43 - 00:05:47] 而是把激光雷达摄像头超声波的数据融合起来
[00:05:47 - 00:05:50] 投入在审查上的算力回报极高
[00:05:50 - 00:05:52] 因为审查的成本远低于它所审查的工作
[00:05:52 - 00:05:55] 为了让大家更直观地理解这个实验的难度
[00:05:55 - 00:05:57] 我们来详细梳理一下
[00:05:57 - 00:06:00] SQLite不是一个普通的CRUD营用
[00:06:00 - 00:06:02] 它是一个关系型数捷库引擎
[00:06:02 - 00:06:04] 它需要处理CQ解析
[00:06:04 - 00:06:07] 查询优化币数存储事务管理并发控制
[00:06:07 - 00:06:11] 而且Cursor给AI的任务是用Rust从零开始写
[00:06:11 - 00:06:14] Rust是一门以编译检查严格著称的语言
[00:06:14 - 00:06:16] 这意味着代码要成功编译
[00:06:16 - 00:06:20] 必须满足RES的所有权借用和生命周期规则
[00:06:20 - 00:06:23] 业务逻辑是否正确则需要另外通过测试验证
[00:06:23 - 00:06:27] 在测试阶段Curse并没有给AI提供测试用力
[00:06:27 - 00:06:29] 他们使用的是由SQLite项目开发
[00:06:29 - 00:06:32] 但对数据库引擎保持中立的Sclagitist
[00:06:32 - 00:06:34] 它包含数百万条查询
[00:06:34 - 00:06:36] 测试级没有提供给风群
[00:06:36 - 00:06:39] Curse在外部对运行结果进行评测
[00:06:39 - 00:06:41] AI完全是在忙烤的状态下
[00:06:41 - 00:06:45] 通过阅读835页的手册一步步把数据库搭起来的
[00:06:45 - 00:06:46] 需要说明的是
[00:06:46 - 00:06:51] CQLogicTest的只检查相同CQ查询能否得到正确结果
[00:06:51 - 00:06:55] 它不评估性能所引使用效率磁盘和内存消耗
[00:06:55 - 00:06:57] 视物行为并发极所
[00:06:57 - 00:07:00] 所以通过这个测试只代表查询结果正确性
[00:07:00 - 00:07:03] 不能等同于已经具备SQLite的全部功能
[00:07:03 - 00:07:06] 性能兼容性和生产可靠性
[00:07:06 - 00:07:08] 作为工程师看到这个实验结果
[00:07:08 - 00:07:10] 我最大的感受是
[00:07:10 - 00:07:11] AI并没有在写代嘛
[00:07:11 - 00:07:12] 它是在做编译
[00:07:12 - 00:07:15] 传统的编译器比如GCC
[00:07:15 - 00:07:20] 或LVM是把确定性的高级语言代码翻译成机器指令
[00:07:20 - 00:07:23] 这个过程是严格的确定的语义绝对不能变
[00:07:23 - 00:07:27] 而Cursor的智能体风群实际上是一个概率性编译期
[00:07:27 - 00:07:30] 它的输入是自然语言写成的需求文档
[00:07:30 - 00:07:34] 那835页的SQ Lite手册输出是Rest的代码
[00:07:34 - 00:07:36] 规划器负责做前端编译
[00:07:36 - 00:07:39] 把自然语言解析成任务数和架构设计
[00:07:39 - 00:07:41] 工人负责做后端编译
[00:07:41 - 00:07:43] 把架构设计翻译成具体的代码
[00:07:43 - 00:07:47] 中间穿插的冲突解决代码审查、巨无霸文件拆分
[00:07:47 - 00:07:50] 其实就是编译器里的各种优化PASS
[00:07:50 - 00:07:53] 这里比较的不是Danger Agent和风群
[00:07:53 - 00:07:56] 而是同一套风群里不同的模型分配方式
[00:07:56 - 00:07:58] 全GBT 5.5配置中
[00:07:58 - 00:08:01] 锦Worker就花费了9373美元
[00:08:01 - 00:08:05] 而Open4.8负责规划Compose 2.5负责执行时
[00:08:05 - 00:08:08] 全部Worker只花了411美元
[00:08:08 - 00:08:09] 这组数据说明
[00:08:09 - 00:08:12] 榜柜的前业模型部署到所有执行环节
[00:08:12 - 00:08:14] 未必是经济上最合理的选择
[00:08:14 - 00:08:17] 它没有证明GPT 5.5更容易
[00:08:17 - 00:08:19] 遗忘或更爱协容于代码
[00:08:19 - 00:08:22] 但清楚展示了模型分工带来的成本空间
[00:08:22 - 00:08:26] 经济学家科斯在企业的性质里提出过一个著名理论
[00:08:26 - 00:08:29] 企业之所以存在是因为市场的交易成本太高
[00:08:29 - 00:08:33] 当组织内部的协调成本低于外部的交易成本时
[00:08:33 - 00:08:34] 企业就诞生了
[00:08:34 - 00:08:37] 科斯的实验可以与科斯关于企业
[00:08:37 - 00:08:39] 边界和交易成本的分析做类比
[00:08:39 - 00:08:40] 组织规模扩大后
[00:08:40 - 00:08:43] 协调成本会影响最有组织方式
[00:08:43 - 00:08:45] 当几百个AI一起工作时
[00:08:45 - 00:08:47] 他们之间的协调成本
[00:08:47 - 00:08:48] 合并冲突
[00:08:48 - 00:08:49] 脑裂
[00:08:49 - 00:08:50] 带马审查
[00:08:50 - 00:08:51] 开始急剧上升
[00:08:51 - 00:08:52] 为了降低协调成本
[00:08:52 - 00:08:54] Cursor引入了共享设计文档
[00:08:54 - 00:08:56] 带编译检查的决策引用
[00:08:56 - 00:08:59] 以及中立的冲突解决Agent
[00:08:59 - 00:09:00] 最后一种机制的作用
[00:09:00 - 00:09:02] 类似共产团队里的MergeQ
[00:09:02 - 00:09:04] 这些机制本质上都是在降低
[00:09:04 - 00:09:07] 多智能体系统内部的通信开销
[00:09:07 - 00:09:10] 这也给我们这些做Agent的开发的人提了个醒
[00:09:10 - 00:09:12] 别光盯着模型的智商看
[00:09:12 - 00:09:14] 多想想怎么降低他们之间的沟通成本
[00:09:15 - 00:09:16] 如果这个趋势继续发展
[00:09:16 - 00:09:18] 未来的软件工程会变成什么样
[00:09:18 - 00:09:21] 以前我们写代码是一行一行写
[00:09:21 - 00:09:23] 后来有了co-pilot变成了一块一块写
[00:09:24 - 00:09:25] 现在有了agent
[00:09:25 - 00:09:27] 我们变成了一个文件一个文件的写
[00:09:27 - 00:09:29] 而qser描绘的未来是
[00:09:29 - 00:09:31] 工作的基本单位变成了需求文档
[00:09:32 - 00:09:35] curseur预期准确描述一图会成为越来越稀缺的能力
[00:09:36 - 00:09:39] 高级工程师的重心可能从亲自处理每一处语法细节
[00:09:39 - 00:09:40] 逐渐转向明确目标
[00:09:40 - 00:09:43] 边界条件加购约数和验收标准
[00:09:43 - 00:09:45] 但加购能力并不会消失
[00:09:45 - 00:09:48] 因为一份高质量规格本身就依赖这些知识
[00:09:48 - 00:09:49] 用一句话总结
[00:09:49 - 00:09:51] AI没有终结软件工程
[00:09:51 - 00:09:55] 它只是把人类协作的规则用代码重新写了一遍
[00:09:55 - 00:09:58] 你在用AI写代码时遇到过最崩溃的事情是什么
[00:09:58 - 00:10:00] 欢迎在评论区告诉我
[00:10:00 - 00:10:01] 如果你觉得这期视频有启发
[00:10:01 - 00:10:03] 别忘了点赞投币收藏
[00:10:03 - 00:10:04] 我是为什么叫QQ
[00:10:04 - 00:10:05] 我们下期见
