BV号：BV1tcmTBQEQe
标题：BV1tcmTBQEQe
链接：https://www.bilibili.com/video/BV1tcmTBQEQe
识别语言：zh
语言置信度：1
分段数：765
生成时间：2026-08-29 22:03:31

[00:00:00 - 00:00:05] 谢谢 首先谢谢大家花着半小时时间来听我说这些不一定有用的话
[00:00:05 - 00:00:07] 非常感谢大家
[00:03:57 - 00:03:59] 就是你会发现在那个时代
[00:03:59 - 00:04:01] 那个车开极态不错
[00:04:01 - 00:04:01] 都能开
[00:04:02 - 00:04:03] 但是你会发现
[00:04:03 - 00:04:06] 它离一个真正的人类司机的标准
[00:04:06 - 00:04:07] 来衡量的话
[00:04:07 - 00:04:08] 它的差距是非常大的
[00:04:09 - 00:04:10] 就很多case处理不了
[00:04:10 - 00:04:11] 然后它的行为也不累人
[00:04:12 - 00:04:13] 完全是个应急反应的机器
[00:04:14 - 00:04:16] 那么在两到三年以前
[00:04:16 - 00:04:19] 其实你是看不到太多的希望的
[00:04:19 - 00:04:20] 其实我猜
[00:04:20 - 00:04:22] 二三年二四年的时候
[00:04:22 - 00:04:24] 整个行业多多少少都会有这种认知
[00:04:24 - 00:04:27] 就是它是一个可用的东西
[00:04:27 - 00:04:30] 但是你说它能不能变得跟人类一样smart
[00:04:30 - 00:04:32] 跟人类一样完全类人
[00:04:32 - 00:04:33] 就像一个人一样
[00:04:33 - 00:04:36] 我觉得大家其实是非常非常不确定的
[00:04:36 - 00:04:38] 那是我当时的状态
[00:04:40 - 00:04:43] 24年的时候发生了一个很大的分水灵事件
[00:04:44 - 00:04:45] 我们得提一下
[00:04:46 - 00:04:48] 就是FSD的V12
[00:04:48 - 00:04:50] FSD的V12非常非常关键
[00:04:51 - 00:04:53] 我知道大家现在可能在舆论界
[00:04:53 - 00:04:54] 可能会吵得比较凶啊
[00:04:54 - 00:04:57] 说这个FSD到底是不是最强的
[00:04:57 - 00:04:58] 这个问题不重要
[00:04:58 - 00:05:00] 待会我会说它不重要
[00:05:00 - 00:05:06] 但是FSD打开了一个内核的范氏
[00:05:06 - 00:05:08] 这个是非常非常重要的一个意义
[00:05:08 - 00:05:10] 就是你知道这件事情不对
[00:05:10 - 00:05:13] 知道这件事情可能会怎么走对
[00:05:13 - 00:05:15] 和这件事情真的有人做到它对
[00:05:15 - 00:05:17] 这里面有巨大的空调和不确定性
[00:05:17 - 00:05:21] 这是FSC为12在历史上留下的意义
[00:05:21 - 00:05:23] 对
[00:05:23 - 00:05:26] 那么我们为什么说这个是一个分水岭事件
[00:05:28 - 00:05:29] 举一个例子
[00:05:29 - 00:05:31] 回到过去举一个例子
[00:05:31 - 00:05:33] 就是原子时代
[00:05:33 - 00:05:35] 原子时代的
[00:05:36 - 00:05:37] 第一个发现
[00:05:38 - 00:05:39] 合列变
[00:05:39 - 00:05:40] 是可能的
[00:05:40 - 00:05:41] 而且是能释放能量的
[00:05:42 - 00:05:43] 是德国科学家
[00:05:44 - 00:05:46] 当时这个实验结果出来以后
[00:05:46 - 00:05:49] 全世界所有的从事量子物理的
[00:05:49 - 00:05:51] 科学家们都是认为是不可能的
[00:05:51 - 00:05:54] 但是迅速的实验出现证明这个实验是对的
[00:05:54 - 00:05:55] 是有结果的
[00:05:56 - 00:05:58] 然后又花了N年的时间
[00:05:58 - 00:05:59] 造出了第一颗原子弹
[00:06:00 - 00:06:01] 什么意思呢
[00:06:02 - 00:06:03] 就是大家会发现
[00:06:05 - 00:06:06] 深度学习和神经网络
[00:06:06 - 00:06:09] 就像当初的这个和那边实验一样
[00:06:09 - 00:06:12] 它告诉你这个范氏是可能的它能干什么
[00:06:12 - 00:06:16] 但是这个范氏在什么时候以什么形式
[00:06:16 - 00:06:18] 能够在自动驾驶里面
[00:06:18 - 00:06:19] 那么自动驾驶做得多好
[00:06:19 - 00:06:22] 其实在第一个人做到之前
[00:06:22 - 00:06:25] 是没有人知道Yes or No
[00:06:25 - 00:06:27] 也不知道这个百分比的
[00:06:27 - 00:06:29] 而V12让大家看到了这个希望
[00:06:29 - 00:06:33] 大家并不需要去讨论
[00:06:33 - 00:06:35] 奥伯海默造的第一颗原子弹的威力大还是小
[00:06:35 - 00:06:36] 这件事情不重要
[00:06:36 - 00:06:40] 重要的是他把原子弹造出来的证明这件事情是对的
[00:06:40 - 00:06:45] 如果我们回到整个自动驾驶的发展历程来看
[00:06:45 - 00:06:48] 实际上大家会看到从大阀起源
[00:06:48 - 00:06:51] 到CMU的第一个车队
[00:06:51 - 00:06:53] 到斯坦福的车队
[00:06:53 - 00:06:55] 这到Google X就是今天微墨的车队
[00:06:55 - 00:06:59] 这里面发生了几个变化和原因
[00:06:59 - 00:07:01] CMU的车队最早是
[00:07:01 - 00:07:04] 强一赖非视觉传感器的
[00:07:04 - 00:07:07] 像激光和其他的很多传感器
[00:07:07 - 00:07:08] 背后是什么原因呢
[00:07:08 - 00:07:10] 就是那个时代还没有所谓的
[00:07:10 - 00:07:12] 机器学习的技术
[00:07:12 - 00:07:13] 那时候不是深度学习
[00:07:13 - 00:07:16] 那么大量的都是靠人工携带码写出来的
[00:07:16 - 00:07:18] 所以这是第一代
[00:07:18 - 00:07:20] 让斯坦福的车队在
[00:07:20 - 00:07:22] 我记得是在第二次比赛里面就很快就超越了
[00:07:22 - 00:07:26] 就是因为斯坦福的车队引入了机器学习的技术
[00:07:26 - 00:07:30] 那么到Google的时候是把这个东西进一步的发扬光大
[00:07:30 - 00:07:32] 其实背后是什么呢
[00:07:32 - 00:07:36] 背后你会看到过去的自动驾驶在23年24年之前
[00:07:36 - 00:07:38] 背后有两个问题
[00:07:38 - 00:07:40] 就是本质上第一个问题是什么
[00:07:40 - 00:07:45] 就是深度学习技术只重够了杆支部分
[00:07:45 - 00:07:47] 而在感知之后的部分
[00:07:47 - 00:07:49] 几乎还是规则时代的
[00:07:50 - 00:07:51] 那么它是一个
[00:07:51 - 00:07:53] 革命革到一半的一个东西
[00:07:53 - 00:07:54] 这是第一点
[00:07:54 - 00:07:57] 第二点就是它一留下的两个问题是什么呢
[00:07:57 - 00:07:59] 就是大家如果做过这行的应该很清楚
[00:07:59 - 00:08:00] 就第一个
[00:08:02 - 00:08:03] 无图
[00:08:03 - 00:08:04] 大家说有图和无图
[00:08:05 - 00:08:06] 无图和有图背后是什么
[00:08:07 - 00:08:09] 背后是这个气数范围时它解决的
[00:08:09 - 00:08:10] 它只解决了动态的问题
[00:08:10 - 00:08:13] 它是它没有解决静态人质的问题
[00:08:13 - 00:08:16] 所以他需要用地图或者三不好某种形式的地图
[00:08:16 - 00:08:18] 不一定是HDR去补一补
[00:08:18 - 00:08:20] 这是他的第一个意味的问题
[00:08:20 - 00:08:22] 第二个问题就是我刚才已经说过的
[00:08:22 - 00:08:24] 就是他革命隔了一半
[00:08:24 - 00:08:27] 他整个系统里面只有前半截是数据驱动的
[00:08:27 - 00:08:29] 而后半截是规则的
[00:08:29 - 00:08:32] 那么我们都知道一个方法论的成果的时候
[00:08:32 - 00:08:34] 你成功到一半的时候
[00:08:34 - 00:08:36] 他的效果可不是一半
[00:08:36 - 00:08:39] 他的效果可能是百分之二是三十
[00:08:39 - 00:08:42] 你需要把后面的那一半的革命完成
[00:08:42 - 00:08:43] 你才能迎来整个新的时代
[00:08:44 - 00:08:45] 那么这个就是整个
[00:08:46 - 00:08:47] 端道端的意义所在
[00:08:47 - 00:08:49] 但这件事情非常难
[00:08:50 - 00:08:50] 为什么难呢
[00:08:50 - 00:08:51] 就第一个
[00:08:53 - 00:08:55] 感知技术其实也是发生了非常多年
[00:08:55 - 00:08:57] 才被数据驯动完全搞定的
[00:08:58 - 00:09:00] 而规控这个东西说实话
[00:09:02 - 00:09:03] 整个理论是不成熟的
[00:09:03 - 00:09:04] 我觉得到今天其实都是不成熟的
[00:09:04 - 00:09:05] 我们自己开发下来
[00:09:06 - 00:09:08] 所以导致很多团队都揣一过
[00:09:08 - 00:09:09] 但是揣一过以后
[00:09:10 - 00:09:11] 很恐怖的是什么呢
[00:09:11 - 00:09:12] 就揣一輪
[00:09:12 - 00:09:13] 女校花幾個億
[00:09:13 - 00:09:14] 十個億
[00:09:14 - 00:09:15] 二十個億這麼多錢
[00:09:15 - 00:09:17] 然後揣完有可能廢掉的
[00:09:17 - 00:09:19] 那就是說你要不要接著揣一輪
[00:09:19 - 00:09:22] 這個時候其實是個非常麻煩的事情
[00:09:22 - 00:09:25] 大多數團隊應該無論是精神還是錢的問題
[00:09:25 - 00:09:26] 就沒再揣了
[00:09:26 - 00:09:27] 但是你要是相信它的話
[00:09:27 - 00:09:29] 你就會揣下去
[00:09:29 - 00:09:30] 然後可能就會成功
[00:09:30 - 00:09:31] 但是也有可能不成了
[00:09:31 - 00:09:33] 因為這件事情確實太難了
[00:09:33 - 00:09:34] 我們會看到整個系統它是
[00:09:34 - 00:09:35] 它是非常不熟練的
[00:09:35 - 00:09:38] 任何一個造型它會導致整個系統廢掉
[00:09:38 - 00:09:40] 所以這件事情非常非常困難
[00:09:40 - 00:09:42] 这就是我刚才说的
[00:09:42 - 00:09:46] 整个饭市改变的一个巨大的意义就在这里
[00:09:49 - 00:09:52] 我们可以看一下这种变化往后意味着什么
[00:09:52 - 00:09:53] 因为这个很关键
[00:09:53 - 00:09:53] 对吧
[00:09:53 - 00:09:55] 因为过去的历史已经是事实
[00:09:56 - 00:09:57] 就第一个
[00:09:58 - 00:09:58] 大家都会
[00:09:58 - 00:10:00] 大家最近都很嗨
[00:10:00 - 00:10:02] 就是一段时间搞定了
[00:10:02 - 00:10:04] 各种乱七八糟的概念也都跑出来了
[00:10:04 - 00:10:07] 是不是以后会进入一个大发展时代
[00:10:08 - 00:10:10] 坦白说我要浇一点冷水
[00:10:10 - 00:10:13] 人类是很奇怪的一种动物
[00:10:13 - 00:10:17] 人类在事件不发生的时候是完全不相信这件事情会发生的
[00:10:17 - 00:10:20] 但是在一个事情发生一个人类会觉得这件事情会持续发生
[00:10:20 - 00:10:22] 人类是这么奇怪的一个动物
[00:10:22 - 00:10:24] 其实这两个东西都不对
[00:10:24 - 00:10:28] 大多数时候就是你看到第一次发生的时候
[00:10:28 - 00:10:29] 它是一定会的
[00:10:29 - 00:10:34] 发生完了以后很可能就是整个时代或者是这个cycle的高点
[00:10:34 - 00:10:37] 你如果回过历史上的所有大事件都是这样的
[00:10:37 - 00:10:40] 你不要以为革命会是一波一波的这是第一波
[00:10:40 - 00:10:41] 它是最后一步
[00:10:41 - 00:10:42] 很可能是这样的
[00:10:43 - 00:10:45] 即使大家如果回去看一下原子时代
[00:10:45 - 00:10:48] 原子时代我记得当年这件事情搞定以后
[00:10:49 - 00:10:50] 大家很激动啊
[00:10:50 - 00:10:51] 全世界都很激动很恐怖啊
[00:10:51 - 00:10:53] 觉得这东西要改变一切
[00:10:53 - 00:10:55] 但其实说实话也就那回事
[00:10:55 - 00:10:57] 就为什么在顺便多说一句
[00:10:57 - 00:10:59] 为什么我老总是提及了原子时代这件事啊
[00:11:00 - 00:11:02] 我的个人感觉是
[00:11:02 - 00:11:04] 对整个物理世界来说
[00:11:04 - 00:11:05] 或者对人类来说的话
[00:11:05 - 00:11:06] 只有两件事情是重要的
[00:11:07 - 00:11:08] 一个是能源
[00:11:08 - 00:11:11] 一个是信息的变化
[00:11:11 - 00:11:13] 或者是信息的
[00:11:13 - 00:11:15] 或者直接叫计算
[00:11:15 - 00:11:17] 因为只有这两个东西是
[00:11:17 - 00:11:21] 改变世界和制造世界的本质的东西
[00:11:21 - 00:11:23] 其他的事情都是在这两个东西上面
[00:11:23 - 00:11:25] 递增出来的一些复苏产物
[00:11:25 - 00:11:27] 所以我们刚才说的
[00:11:27 - 00:11:28] 原子时代就是能源
[00:11:28 - 00:11:33] 而人工智能或者AGI它是信息
[00:11:33 - 00:11:36] 只有这两个东西是放在门头的东西
[00:11:36 - 00:11:38] 那么
[00:11:38 - 00:11:41] 刚才你说了就这种成果会不会是一种常态
[00:11:41 - 00:11:43] 我们认为大概率不会
[00:11:43 - 00:11:44] 其实不会
[00:11:44 - 00:11:46] 就为什么呢
[00:11:46 - 00:11:48] 我们可以看到
[00:11:48 - 00:11:51] 23年24年发生了这一次变革
[00:11:51 - 00:11:54] 它有两个前提条件
[00:11:54 - 00:11:56] 就第一个是
[00:11:56 - 00:12:01] 人工智能这东西大概每23年会有一个轮回
[00:12:01 - 00:12:03] 然后大家空时空时干23年
[00:12:03 - 00:12:05] 干出一个很轻的成果一个方式来
[00:12:05 - 00:12:06] 然后把它兑现掉
[00:12:06 - 00:12:07] 兑现完了一个发现
[00:12:07 - 00:12:07] 哎呀
[00:12:07 - 00:12:09] 它还是有天花板的
[00:12:09 - 00:12:10] 咱们再来过
[00:12:10 - 00:12:11] 20年以后再见
[00:12:12 - 00:12:13] 目前多多少少
[00:12:13 - 00:12:16] 因为我们能看到这一代的
[00:12:16 - 00:12:17] 争夺学习技术
[00:12:17 - 00:12:20] 有一点碰到天花板的可能性
[00:12:20 - 00:12:21] 有一点
[00:12:21 - 00:12:22] 我不能说一定是
[00:12:22 - 00:12:23] 但是有这种可能性
[00:12:23 - 00:12:24] 因为从
[00:12:25 - 00:12:27] 大语言模型和其他方面的领域的进展来看
[00:12:28 - 00:12:29] 有这种可能性
[00:12:29 - 00:12:31] 第二个我们刚刚说了
[00:12:31 - 00:12:33] 整个AD
[00:12:33 - 00:12:35] 过去革命隔了一半
[00:12:35 - 00:12:37] 但这次是真隔完了
[00:12:37 - 00:12:39] 已经是一段是隔完了
[00:12:39 - 00:12:43] 那么如果我们希望再有这种巨大的内核重构
[00:12:43 - 00:12:49] 那就不是把深度学习从系统的一半平推到百分之百
[00:12:49 - 00:12:52] 而是要改变内核的理论了
[00:12:52 - 00:12:56] 而我们都知道整个的物理世界的眼镜
[00:12:56 - 00:12:58] 都是现有理论突破
[00:12:58 - 00:13:00] 然后到应用突破
[00:13:00 - 00:13:02] 这么一个sci-core不断地循环
[00:13:03 - 00:13:05] 但我们现在其实很不幸的时候
[00:13:05 - 00:13:10] 我们还没有看到下一个理论突破的前置信号的出现
[00:13:11 - 00:13:12] 就这个东西出现以后
[00:13:13 - 00:13:15] 可能还需要五年十年二十年
[00:13:16 - 00:13:17] 它才能变成应用的突破
[00:13:18 - 00:13:21] 所以我个人的判断很大的概率是
[00:13:21 - 00:13:26] 未来三年是在现有的系统上做极致的优化
[00:13:27 - 00:13:29] 而不是一种理论内核的重构
[00:13:29 - 00:13:31] 所以大家别太嗨
[00:13:31 - 00:13:32] 又进入普日子的阶段了
[00:13:32 - 00:13:35] 对
[00:13:35 - 00:13:37] 第二个问题是
[00:13:39 - 00:13:41] FSD、HSD这样的系统出现的时候
[00:13:41 - 00:13:43] 对整个AD产业的路线意味着什么
[00:13:43 - 00:13:45] 这是我个人的看法
[00:13:45 - 00:13:49] 我们认为是这样的
[00:13:49 - 00:13:52] 就首先还是回到
[00:13:52 - 00:13:54] 三年以前
[00:13:54 - 00:13:57] 我跟于凯博士的这个这个这个聊天的过程
[00:13:57 - 00:13:59] 我终于又看到希望了
[00:13:59 - 00:14:02] 我觉得我们好不容易能用新技术
[00:14:02 - 00:14:07] 把城市的R2做到好用累人了
[00:14:07 - 00:14:09] 我们终于可以做到这件事了
[00:14:09 - 00:14:11] 今天大家看到的HSD
[00:14:11 - 00:14:13] 其实还只是一个新发誓的
[00:14:13 - 00:14:15] 第一个版本
[00:14:15 - 00:14:17] 我可以负责任的说
[00:14:17 - 00:14:19] 在未来的一年
[00:14:19 - 00:14:21] 会有巨大的提升
[00:14:21 - 00:14:22] 因为新发誓打通以后
[00:14:22 - 00:14:23] 它会有一个红利器
[00:14:23 - 00:14:24] 它会有巨大的提升
[00:14:24 - 00:14:25] 那么大家会发现到
[00:14:25 - 00:14:27] 这个系统会非常非常累人
[00:14:27 - 00:14:28] 会越来越累人
[00:14:28 - 00:14:29] 对
[00:14:29 - 00:14:30] 那么这样的话
[00:14:30 - 00:14:34] 我们终于有机会把吹了这么多年的牛
[00:14:35 - 00:14:38] 成区的L放到车上了
[00:14:38 - 00:14:40] 我觉得云海博士组建有一个比喻是非常好的
[00:14:40 - 00:14:42] 它是新时代的自动党
[00:14:42 - 00:14:43] 我觉得这个特别对
[00:14:45 - 00:14:47] 它是一个车的基本的一个
[00:14:47 - 00:14:49] 上车该有的一个基本的
[00:14:49 - 00:14:50] Fondamental的function
[00:14:50 - 00:14:53] 它不是什么一个情绪价值
[00:14:53 - 00:14:54] 它不是
[00:14:54 - 00:14:55] 这个车为什么需要
[00:14:55 - 00:14:56] 大多数时候需要人去开
[00:14:56 - 00:14:58] 它不应该它应该自己开
[00:14:58 - 00:14:59] 然后人去监管一下
[00:14:59 - 00:15:00] 然后就帮他一下就可以了
[00:15:00 - 00:15:01] 这才是一个
[00:15:01 - 00:15:03] fundamental的function
[00:15:03 - 00:15:04] 那么首先我们认为
[00:15:05 - 00:15:08] Urban R2会迎来一个巨大的一个发展红利息
[00:15:09 - 00:15:10] 红利息的意思就是从
[00:15:11 - 00:15:12] 几十万的车
[00:15:13 - 00:15:13] 到二十万的车
[00:15:13 - 00:15:14] 到十万的车
[00:15:15 - 00:15:16] 就像自动党一样
[00:15:16 - 00:15:17] 它都会被装上
[00:15:17 - 00:15:18] 而且它都会变得很好用
[00:15:19 - 00:15:20] 大家应该不会碰到
[00:15:20 - 00:15:21] 十万的车的自动党
[00:15:21 - 00:15:22] 不如三十万的好用
[00:15:22 - 00:15:23] 不如五十万的好用
[00:15:23 - 00:15:24] 应该没有这种事
[00:15:24 - 00:15:24] 对吧
[00:15:25 - 00:15:26] 这就是计算机工业的一个好处
[00:15:26 - 00:15:28] 就是计算机工业的突破成本极其高
[00:15:28 - 00:15:30] 但是他的负质成本极其低
[00:15:30 - 00:15:33] 就是你今天看到的再复杂的计算机
[00:15:33 - 00:15:35] 你只要给他几年的时间
[00:15:35 - 00:15:37] 他就会跟白菜一样
[00:15:37 - 00:15:38] 所以他会把10万个车
[00:15:38 - 00:15:41] 甚至更低成本的车都变得一样好用
[00:15:41 - 00:15:45] 这件事情是一定会到来的
[00:15:45 - 00:15:46] 第二个我们看到的是
[00:15:46 - 00:15:48] 过去
[00:15:48 - 00:15:50] 因为翻试的问题
[00:15:50 - 00:15:53] L2跟L4是两个完全不一样的世界
[00:15:53 - 00:15:54] 虽然都是做自动驾驶的
[00:15:54 - 00:15:56] 其实是两拨人
[00:15:56 - 00:15:57] L4它为了
[00:15:57 - 00:15:59] 就像拿微某来举例是很典型的
[00:15:59 - 00:16:01] 点型的就是他为了去在
[00:16:02 - 00:16:05] 拿到一个很好的mpi能够做到真无人
[00:16:05 - 00:16:06] 因为真无人不是开玩笑的
[00:16:06 - 00:16:07] 你真的是会有事故的
[00:16:08 - 00:16:10] 那么他需要做很多很多其他的额外的工作
[00:16:10 - 00:16:12] 比方说上了超后发的传感器
[00:16:13 - 00:16:14] 比方说他用
[00:16:15 - 00:16:16] 非常非常好的sdmap
[00:16:16 - 00:16:18] 去解决刚才说的静态的缺陷问题
[00:16:19 - 00:16:21] 然后他需要把odd画的比较小
[00:16:22 - 00:16:23] 让他整个的这个hardcase
[00:16:23 - 00:16:24] cornercase可控
[00:16:25 - 00:16:26] 他要做很多很多这些事情
[00:16:27 - 00:16:28] 然后成能把二次系统
[00:16:28 - 00:16:30] 然后还要做其他很多辛苦的工作
[00:16:30 - 00:16:31] 然后把系统部署上去
[00:16:31 - 00:16:34] 那么这种方法大家都知道在
[00:16:35 - 00:16:36] 你要是放到整个
[00:16:37 - 00:16:38] 整个平台的世界
[00:16:38 - 00:16:39] 还没给所有人的车来看的话
[00:16:39 - 00:16:41] 这件事情显然这么玩是不work的
[00:16:41 - 00:16:41] 对吧
[00:16:42 - 00:16:45] 但是反过来说这么玩在ROBOTX就work嘛
[00:16:45 - 00:16:46] 其实也work 说实话
[00:16:47 - 00:16:49] 所以我们大家都知道这件事情是有问题的
[00:16:50 - 00:16:53] 但是新的范图到来以后我们能看到
[00:16:54 - 00:16:55] 放好论终于统一了
[00:16:55 - 00:17:02] 我们能看到当前的方法论在做最多两到三年的工作
[00:17:02 - 00:17:07] 就有极大的机会把MPI干到5万10万的水平
[00:17:07 - 00:17:09] 同时它还能保持内人
[00:17:09 - 00:17:12] 同时它还能保持在所有的区域里面
[00:17:12 - 00:17:13] 它是自动可以翻化的
[00:17:13 - 00:17:14] 至于说个题外话
[00:17:14 - 00:17:17] 就是我们自己这次的开发过程还是挺快的
[00:17:17 - 00:17:18] 这里面有一个地方
[00:17:18 - 00:17:20] 有一个环节省了很多时间跟过去比
[00:17:20 - 00:17:22] 就是各个城市的翻化
[00:17:22 - 00:17:24] 我们很高兴地发现
[00:17:24 - 00:17:26] 新的方法论上去以后
[00:17:26 - 00:17:29] 我们在绝大多数程式测试以后
[00:17:29 - 00:17:30] 它天然就是没有问题的
[00:17:30 - 00:17:33] 只有极少数的非常非常奇怪的这种
[00:17:33 - 00:17:35] 就是所谓的这种
[00:17:35 - 00:17:39] 离散在整个系统分布之外的这种很小很小的场景需要处理一下
[00:17:39 - 00:17:42] 所以这个就导致这个过程使用了很多时间
[00:17:42 - 00:17:45] 那么这个事情对R14是个极大的好消息
[00:17:45 - 00:17:46] 就是我再也不需要去
[00:17:46 - 00:17:50] 在每一个物地里面去搞搞搞搞搞搞搞搞了
[00:17:50 - 00:17:51] 我不需要了
[00:17:51 - 00:17:53] 那么我在搞定一个复杂程式的时候
[00:17:53 - 00:17:56] 我大概率就搞定了整个国家的负达程式
[00:17:57 - 00:17:59] 那么效率就一下就上去了
[00:18:00 - 00:18:01] 因为Robotex讲的再好
[00:18:01 - 00:18:02] 而是讲的再好
[00:18:03 - 00:18:06] 你的本质是要跟人类司机去比成本
[00:18:07 - 00:18:09] 这个是一切商业本质的源头
[00:18:09 - 00:18:12] 所以你在上面做的所有的高成本的
[00:18:13 - 00:18:19] 在复制的时候不能去出两级的降低成本的
[00:18:19 - 00:18:20] 而是一种限性递退的方法
[00:18:20 - 00:18:22] 都是坦白的是在商业上都是Borg的
