BV号：BV18cRnByEat
标题：BV18cRnByEat
链接：https://www.bilibili.com/video/BV18cRnByEat
识别语言：zh
语言置信度：1
分段数：221
生成时间：2026-08-29 17:19:49

[00:00:00 - 00:00:01] 大家好 我是为什么叫QQ
[00:00:01 - 00:00:03] 你可能听过无数次这样的论调
[00:02:11 - 00:02:13] 但事實恰恰相反
[00:02:13 - 00:02:14] 真正面臨消失風險的
[00:02:14 - 00:02:18] 是那些規則明確重複性高的初級崗位
[00:02:18 - 00:02:19] 比如初級律師助理
[00:02:19 - 00:02:21] 初級醫療預約前臺
[00:02:21 - 00:02:23] 初級數據處理員
[00:02:23 - 00:02:26] 这些工作很容易被大模型和自动化脚本替代
[00:02:26 - 00:02:29] 但反直觉得是高级岗位的需求反而会激增
[00:02:29 - 00:02:32] 艾伦利威举了一个非常生动的例子
[00:02:32 - 00:02:35] 未来五年律师的数量会比现在更多而不是更少
[00:02:35 - 00:02:36] 你可能会问
[00:02:36 - 00:02:39] 既然AI能一键生成法律合同
[00:02:39 - 00:02:40] 为什么还需要更多律师
[00:02:40 - 00:02:42] 因为AI生成的每一份合同
[00:02:42 - 00:02:44] 每一份法律建议
[00:02:44 - 00:02:47] 最终都需要有执照的律师来审查和签字
[00:02:47 - 00:02:49] 如果AI给出了错误的财务建议
[00:02:49 - 00:02:53] 美国证券交易委员会会直接找这家公司的麻烦
[00:02:53 - 00:02:55] AI极大地降低了生成内容的成本
[00:02:55 - 00:02:58] 导致法律文书的数量乘指数级增长
[00:02:58 - 00:02:59] 而最终的瓶颈
[00:02:59 - 00:03:02] 卡在了能够审查这些文书的高级律师身上
[00:03:02 - 00:03:04] 医疗行业也是同理
[00:03:04 - 00:03:06] AI可以自动化预约和初步诊断
[00:03:06 - 00:03:09] 但最终的治疗方案依然需要一声拍板
[00:03:09 - 00:03:12] 所以增加的岗位不仅包括AI工程师
[00:03:12 - 00:03:14] 前置部署工程师数据标注员
[00:03:14 - 00:03:18] 更包括各行各业的高端审查和决策岗位
[00:03:18 - 00:03:19] 第二个维度
[00:03:19 - 00:03:21] 最神秘的新崗位
[00:03:21 - 00:03:23] AI Agent 操作员
[00:03:23 - 00:03:25] 这是目前最值得关注的趋势
[00:03:25 - 00:03:26] Iron Livy 预测
[00:03:26 - 00:03:29] 未来将出现50万到100万个名为
[00:03:29 - 00:03:31] Agent Operator 的新崗位
[00:03:31 - 00:03:32] 这崗位到底是做什么呢
[00:03:32 - 00:03:34] 他们不是传统的程序员
[00:03:34 - 00:03:36] 也不是普通的业务员
[00:03:36 - 00:03:38] 他们是介于技术和业务之间的
[00:03:38 - 00:03:39] 工作流价构施
[00:03:39 - 00:03:41] 在一家大型制药公司
[00:03:41 - 00:03:42] 或者跨过银行里
[00:03:42 - 00:03:44] 你不能像初创公司那样
[00:03:44 - 00:03:45] 随便写个脚本
[00:03:45 - 00:03:47] 就让AI去处理客户数据
[00:03:47 - 00:03:48] 大型企业有严格的
[00:03:48 - 00:03:49] 监管分散的数据孤岛
[00:03:49 - 00:03:52] 以及更生地固的传统工作流
[00:03:52 - 00:03:53] AI agent的操作员的任务
[00:03:53 - 00:03:56] 就是深入到营销、法律、运营等
[00:03:56 - 00:03:57] 具体业务团队中
[00:03:57 - 00:03:58] 理解他们的痛点
[00:03:58 - 00:04:00] 然后重新设计工作流
[00:04:00 - 00:04:02] 请注意这里的核心是
[00:04:02 - 00:04:04] 工作流需要为Agent的重新设计
[00:04:04 - 00:04:06] 而不是为人类设计
[00:04:06 - 00:04:08] 这个岗位需要极高的综合素质
[00:04:08 - 00:04:10] 你必须懂技术理解MCP
[00:04:10 - 00:04:12] 熟悉命令行界面
[00:04:12 - 00:04:13] 知道怎么编写skill能看懂
[00:04:13 - 00:04:15] agents.md文件
[00:04:15 - 00:04:16] 同时你还要懂业务
[00:04:16 - 00:04:18] 具备强大的变更管理能力
[00:04:18 - 00:04:20] 当一个新的大模型发布时
[00:04:20 - 00:04:23] 你之前的prompt工作流可能就失效了
[00:04:23 - 00:04:25] 你需要迅速调整agent的配置
[00:04:25 - 00:04:27] 这不仅是一个技术活
[00:04:27 - 00:04:29] 更是一个深度的业务重构过程
[00:04:29 - 00:04:30] 第三个维度
[00:04:30 - 00:04:32] 软件行业的根本变化
[00:04:32 - 00:04:36] 很多人觉得既然AI能自动操作各种sys工具
[00:04:36 - 00:04:38] 那这些sys公司是不是都要完蛋了
[00:04:38 - 00:04:39] 其实不然
[00:04:39 - 00:04:41] 软件行业正在经历一场
[00:04:41 - 00:04:44] 从UI驱动到API驱动的价值转移
[00:04:44 - 00:04:47] 过去软件的价值在于它有多少个按钮
[00:04:47 - 00:04:49] 用户需要花多少时间去点击
[00:04:49 - 00:04:50] 但在Agent的时代
[00:04:50 - 00:04:53] 软件的价值在于它提供了多少个高质量的API
[00:04:53 - 00:04:55] 供Agent的调用
[00:04:55 - 00:04:57] 这意味着我们需要构建的手机APP
[00:04:57 - 00:04:59] 或网页前端会越来越少
[00:04:59 - 00:05:02] 因为大部分用户的交互需求已经被满足了
[00:05:02 - 00:05:04] 但是我们需要构建的后台系统流程
[00:05:04 - 00:05:06] 将无限增加
[00:05:06 - 00:05:08] 我们需要无数的脚本接口和编排系统
[00:05:08 - 00:05:10] 把不同的数据源连接起来
[00:05:10 - 00:05:13] 让Agent能够在后台自动完成复杂的任务
[00:05:13 - 00:05:16] 这带来了一个极其反直觉的结论
[00:05:16 - 00:05:19] AI时代我们需要更多的工程师
[00:05:19 - 00:05:21] 我们总是把目光局限在科技行业
[00:05:21 - 00:05:25] 但科技行业只占全球GDP的10%-15%
[00:05:25 - 00:05:27] 当AI降低了编程的门槛
[00:05:27 - 00:05:29] 剩下的85%的传统行业
[00:05:29 - 00:05:31] 比如农业巨头John Deere
[00:05:31 - 00:05:33] 重型机械Caterpillar
[00:05:33 - 00:05:34] 制药巨头Ely Lily
[00:05:34 - 00:05:38] 他们现在终于有能力进行大规模的工程化改造了
[00:05:38 - 00:05:41] 工程师的战场正在从科技行业
[00:05:41 - 00:05:43] 转移到全球的每一个传统行业
[00:05:43 - 00:05:44] 看到这里你可能会想
[00:05:44 - 00:05:48] 既然AI这么强大企业为什么不直接部署全自动的系统
[00:05:48 - 00:05:49] 把人都裁掉呢
[00:05:49 - 00:05:52] 这就是目前主流任职的最大误区
[00:05:52 - 00:05:55] 很多人以为技术突破了商业落地就是一瞬间的事
[00:05:55 - 00:05:58] 但现实商业世界是极其复杂的
[00:05:58 - 00:06:00] 企业采用AI面临的往往不是技术瓶颈
[00:06:00 - 00:06:04] 而是组织瓶颈重新设计工作流需要时间
[00:06:04 - 00:06:06] 整合分散在各个部门的数据需要时间
[00:06:06 - 00:06:09] 打通老旧的IT系统需要时间
[00:06:09 - 00:06:12] 通过法务和安全的合规审查更需要时间
[00:06:12 - 00:06:13] 更重要的是
[00:06:13 - 00:06:15] 预算的结构正在发生根本性的改变
[00:06:15 - 00:06:18] 过去购买软件的钱是从IT部门的预算里出的
[00:06:18 - 00:06:22] 这通常只占企业总值出的10%左右
[00:06:22 - 00:06:24] 但现在当你告诉业务部门的负责人
[00:06:24 - 00:06:28] 这个AI agent能让你的营销团队效率提升110%
[00:06:28 - 00:06:32] 购买AI token的钱将直接从业务部门的运营预算中支出
[00:06:32 - 00:06:34] 这意味着企业在技术上的支出比例
[00:06:34 - 00:06:38] 可能会从现在的10%翻倍到20%
[00:06:38 - 00:06:40] 这是一片极其广阔的蓝海
[00:06:40 - 00:06:44] 所以我们该如何理解这场轰轰烈烈的 AI 岗位变革
[00:06:44 - 00:06:47] 我总结了一个 AI 改变工作的三层结构
[00:06:47 - 00:06:49] 第一层是工作设计的改变
[00:06:49 - 00:06:52] 过去所有的工作流都是为人类设计的考虑的是
[00:06:52 - 00:06:54] 人的注意力和体力极限
[00:06:54 - 00:06:56] 现在工作流必须为 agent 的重新设计
[00:06:56 - 00:06:59] 这就催生了 AI agent 的操作员
[00:06:59 - 00:07:01] 这个百万级的巨大缺口
[00:07:01 - 00:07:03] 第二层是岗位结构的改变
[00:07:03 - 00:07:06] 出级重复性的执行岗位正在微抹去
[00:07:06 - 00:07:10] 但负责审查决策和系统设计的高级岗位需求正在暴增
[00:07:10 - 00:07:12] 职业发展的阶梯被抽掉了一级
[00:07:12 - 00:07:15] 这对教育和培训体系提出了巨大的挑战
[00:07:15 - 00:07:17] 第三层是价值重心的改变
[00:07:17 - 00:07:21] 软件的价值从前端UI转移到了后端API
[00:07:21 - 00:07:25] 工程师的需求从科技行业扩散到了所有传统行业
[00:07:25 - 00:07:28] 技术的预算从IT部门转移到了业务部门
[00:07:28 - 00:07:30] AI并没有替代人类
[00:07:30 - 00:07:34] 它只是无情地暴露了我们过去工作方式中的低效和瓶颈
[00:07:34 - 00:07:35] 展望未来3到5年
[00:07:35 - 00:07:38] 我们可以清晰地看到几个趋势
[00:07:38 - 00:07:42] 首先Agent Operator将成为各大企业最强手的人才
[00:07:42 - 00:07:45] 他们不仅需要懂大模型的底层逻辑
[00:07:45 - 00:07:49] 更需要具备将技术转化为业务生产力的工程落地能力
[00:07:49 - 00:07:53] 其次全球对工程师的整体需求不仅不会减少
[00:07:53 - 00:07:56] 反而会因为传统行业的数字化觉醒而大幅增加
[00:07:56 - 00:08:00] 但这种需求不再是指挥鞋增山改查的马农
[00:08:00 - 00:08:04] 而是能够利用AI工具解决复杂系统问题的架构师
[00:08:04 - 00:08:07] 最后我们的教育和职业规划必须彻底转向
[00:08:07 - 00:08:12] 不要再把时间浪费在学习那些规则明确容易被自动化的技能上
[00:08:12 - 00:08:17] 未来的核心竞争力在于你是否具备批判性思维是否能提出好问题
[00:08:17 - 00:08:20] 以及是否能熟练的指挥AI agent的为你工作
[00:08:20 - 00:08:21] 总结成一句话
[00:08:21 - 00:08:24] AI改变的不是岗位数量而是岗位本质
[00:08:24 - 00:08:28] 消失的是重复劳动增加的是系统设计
[00:08:28 - 00:08:30] 最大的机会不在科技行业
[00:08:30 - 00:08:34] 而在那些85%还没有被工程化改造的传统行业
[00:08:34 - 00:08:37] 你觉得你的岗位在未来五年会被AI改变吗?
[00:08:37 - 00:08:40] 你愿意尝试成为一名AI agent的操作员吗?
[00:08:40 - 00:08:43] 把你的看法打在公屏上,或者在评论区和我交流?
[00:08:43 - 00:08:48] 感谢观看本期视频,如果觉得内容对你有帮助,请务必一见三联!
[00:08:48 - 00:08:50] 我们下期再见!
