BV号：BV13rLx6NEbA
标题：BV13rLx6NEbA
链接：https://www.bilibili.com/video/BV13rLx6NEbA
识别语言：zh
语言置信度：1
分段数：386
生成时间：2026-08-29 08:47:06

[00:00:00 - 00:00:02] 大家好 我是为什么叫QQ
[00:00:02 - 00:00:03] 周末写个小脚本
[00:02:36 - 00:02:37] 它就得漫无目的地搜
[00:02:37 - 00:02:39] 最后上下文爆了都没找到
[00:02:39 - 00:02:41] 所以这就引出了第二个问题
[00:02:41 - 00:02:43] 怎么给 AI 足够的上下文
[00:02:43 - 00:02:44] 让它知道应该去哪里找
[00:02:44 - 00:02:46] 答案就是五个核心组件
[00:02:46 - 00:02:49] 我逐个讲第一个是 Cloud MD 文件
[00:02:49 - 00:02:51] 准确说它是 Cloud 每次绘画
[00:02:51 - 00:02:53] 都会加在的项目上下文文件
[00:02:53 - 00:02:57] 聪明的团队不会把所有规则都写在根木路下
[00:02:57 - 00:02:58] 而是分层写
[00:02:58 - 00:03:01] 根木路的Cloud.md只写最核心的架构
[00:03:01 - 00:03:03] 比如这是一个微服务系统
[00:03:03 - 00:03:04] 分为三个模块
[00:03:04 - 00:03:06] 支付订单库存
[00:03:06 - 00:03:09] 然后每个字幕路有自己的Cloud.md写局部规范
[00:03:09 - 00:03:11] AI怎么用这些文件
[00:03:11 - 00:03:12] 它会自动加载
[00:03:12 - 00:03:13] 你在根木路工作
[00:03:13 - 00:03:15] 它加载根木路的Cloud.md
[00:03:15 - 00:03:17] 你进入支付模块
[00:03:17 - 00:03:19] 它自动加载支付模块的Cloud.md
[00:03:19 - 00:03:22] 这样AI永远知道自己在哪个上下文里
[00:03:22 - 00:03:24] 关键是跟目录的文件要保持精减
[00:03:24 - 00:03:26] 不要把所有东西都塞进去
[00:03:26 - 00:03:29] 那样每个绘画都要加载一堆无关的信息
[00:03:29 - 00:03:31] 上下文浪费直写真正通用的东西
[00:03:31 - 00:03:32] 第二个是hooks
[00:03:32 - 00:03:35] 很多人把hooks当成简单的拦戒器
[00:03:35 - 00:03:37] 用来阻止AI犯错
[00:03:37 - 00:03:40] 但真正的高级玩法是用hooks来自我进化
[00:03:40 - 00:03:42] 比如你设置一个stop hook
[00:03:42 - 00:03:43] 每次AI完成一个任务
[00:03:43 - 00:03:45] 这个户刻就出发
[00:03:45 - 00:03:46] AI会自己反思
[00:03:46 - 00:03:48] 这次做了什么 踩了什么坑
[00:03:48 - 00:03:51] 有没有应该沉淀进CloudMD的规则
[00:03:51 - 00:03:53] 注意官方说的是提出更新建议
[00:03:53 - 00:03:56] 不是让AI无审核的改团队规则
[00:03:56 - 00:03:58] 企业里更合理的做法
[00:03:58 - 00:04:00] 是让这些建议进入人工review
[00:04:00 - 00:04:01] 还有start hook
[00:04:01 - 00:04:03] 每个开发者的工作环境不一样
[00:04:03 - 00:04:07] 你可以用start hook动态加在团队特定的上下文
[00:04:07 - 00:04:10] 这样每个人都能自动获得适合自己模块的配置
[00:04:10 - 00:04:11] 不用手动设置
[00:04:11 - 00:04:12] 对于自动化检查
[00:04:12 - 00:04:14] 比如Linting和格式化
[00:04:14 - 00:04:16] Hooks作用就更直接了
[00:04:16 - 00:04:18] 让Hooks自动执行这些规则
[00:04:18 - 00:04:21] 比让AI基础一堆格式要求要靠谱的多
[00:04:21 - 00:04:22] 第三个是skills
[00:04:22 - 00:04:25] 这是我觉得最聪明的设计
[00:04:25 - 00:04:27] 大型项目里任务类型多的要死
[00:04:27 - 00:04:30] 安全审查性能优化文档更新数据库迁移
[00:04:30 - 00:04:32] 每个任务都需要专门的知识
[00:04:32 - 00:04:35] 如果把所有知识都塞给AI上下文
[00:04:35 - 00:04:36] 窗口会瞬间爆掉
[00:04:36 - 00:04:39] skills用的是按需加载的思路
[00:04:39 - 00:04:42] 你只在需要的时候才加载相关的skill
[00:04:42 - 00:04:45] 比如AI在做安全审查就加载安全审查skill
[00:04:45 - 00:04:48] 再做文档更新就加在文档处理skill
[00:04:48 - 00:04:50] 这样每个绘画的上下文都很干净
[00:04:50 - 00:04:53] 更聪明的是skills可以绑定到特定的目录
[00:04:53 - 00:04:55] 比如支付团队有一个部署skill
[00:04:55 - 00:04:58] 他们把这个skill绑定到payment的目录
[00:04:58 - 00:05:00] 这样当ai在其他地方工作时
[00:05:00 - 00:05:02] 这个skill永远不会加在
[00:05:02 - 00:05:03] 但一旦进入支付模块
[00:05:03 - 00:05:04] 它自动出现
[00:05:04 - 00:05:05] 第四个是plugins
[00:05:05 - 00:05:07] 这是分发的关键
[00:05:07 - 00:05:08] 大型公司的问题是
[00:05:08 - 00:05:12] 好的配置往往是某个小团队的秘密武器
[00:05:12 - 00:05:14] 其他团队不知道就各自瞎折腾
[00:05:14 - 00:05:16] 结果是知识碎片化效率低下
[00:05:16 - 00:05:19] Plugins的作用就是把一个团队的
[00:05:19 - 00:05:22] 最佳实践打包成一个可安装的包
[00:05:22 - 00:05:24] 里面包括Skills Hooks, MCP配置
[00:05:24 - 00:05:26] 所有东西都在一起
[00:05:26 - 00:05:29] 新员工入职第一天装上这个插件
[00:05:29 - 00:05:31] 它就能拿到团队沉淀过的上下文和能力
[00:05:31 - 00:05:34] 不用从零摸索Cloud官方提到了一个例子
[00:05:34 - 00:05:37] 一个大零售商构建了一个skill
[00:05:37 - 00:05:39] 连接Cloud到他们的内部分析平台
[00:05:39 - 00:05:42] 业务分析师可以直接在Cloud里拉数据
[00:05:42 - 00:05:43] 不用切换工具
[00:05:43 - 00:05:46] 他们把这个skill打包成plugin
[00:05:46 - 00:05:47] 在整个公司推广
[00:05:47 - 00:05:48] 这就是plugin的威力
[00:05:48 - 00:05:50] 第五个是mcp服务器
[00:05:50 - 00:05:53] mcp是model context protocol的缩写
[00:05:53 - 00:05:56] mcp的作用是让cloud连接到内部工具
[00:05:56 - 00:05:58] 数据员和api
[00:05:58 - 00:06:00] cloud本身访问不了你们公司的内部系统
[00:06:00 - 00:06:02] 但通过mcp它可以
[00:06:02 - 00:06:05] 最高级的团队甚至构建了mcp
[00:06:05 - 00:06:07] 服务器来暴露结构化搜索能力
[00:06:07 - 00:06:09] ai不用自己用grab搜
[00:06:09 - 00:06:12] 而是直接调用mcp工具进行搜索
[00:06:12 - 00:06:15] 还有的团队连接Cloud到内部文档系统
[00:06:15 - 00:06:16] 公担系统分析平台
[00:06:16 - 00:06:18] AI需要什么信息
[00:06:18 - 00:06:18] 直接问
[00:06:18 - 00:06:20] MCP帮它去拿
[00:06:20 - 00:06:21] 除了这五个核心组件
[00:06:21 - 00:06:23] 还有两个高级能力制的议题
[00:06:23 - 00:06:25] 第一个是LSP集成
[00:06:25 - 00:06:28] LSP是Language Server Protocol
[00:06:28 - 00:06:31] 就是你在ID里按Ctrl加Click
[00:06:31 - 00:06:32] 跳转到定义的那个东西
[00:06:32 - 00:06:34] 在大型C++或Java项目里
[00:06:34 - 00:06:36] 同名函数可能有一百个
[00:06:36 - 00:06:39] 如果AI只靠自负串搜索绝对会找错
[00:06:39 - 00:06:40] Cloud官方提到
[00:06:40 - 00:06:43] 他们和一个大企业软件公司合作
[00:06:43 - 00:06:45] 这个公司用C写代码
[00:06:45 - 00:06:46] 代码库非常复杂
[00:06:46 - 00:06:48] 他们在推广Cloud Code之前
[00:06:48 - 00:06:51] 现在全公司部署了LSP集成
[00:06:51 - 00:06:54] 配置需要安装对应语言的Code Intelligence
[00:06:54 - 00:06:56] Plugin和Language Server Binary
[00:06:56 - 00:06:58] 有了LSPAI就能向开发者
[00:06:58 - 00:07:00] 一样精准地跳转到符号定义
[00:07:00 - 00:07:02] 不会被同名符号迷惑
[00:07:02 - 00:07:04] 这一部投资的回报非常高
[00:07:04 - 00:07:05] 对于多语言代码库
[00:07:05 - 00:07:08] LSP是最高价值的投资之一
[00:07:08 - 00:07:09] 第二个是Subudient
[00:07:09 - 00:07:12] Sephagent是一个独立的Cloud实力
[00:07:12 - 00:07:13] 有自己的上下文窗口
[00:07:13 - 00:07:15] 它可以接一个任务
[00:07:15 - 00:07:16] 完成工作
[00:07:16 - 00:07:17] 然后只把最终结果
[00:07:17 - 00:07:18] 返回给主Agent
[00:07:18 - 00:07:20] 这样可以把探索和编辑拆开
[00:07:20 - 00:07:22] 比如你可以让一个Sephagent
[00:07:22 - 00:07:23] 去硬设一个仔细统
[00:07:23 - 00:07:25] 把发信写进文件
[00:07:25 - 00:07:26] 然后主Agent用这个文件
[00:07:26 - 00:07:28] 作为上下文来编辑代码
[00:07:28 - 00:07:30] 讲到这里你可能会想
[00:07:30 - 00:07:31] 这不就是一堆配置吗
[00:07:31 - 00:07:33] 我花个周末搞定就行了
[00:07:33 - 00:07:34] 但现实很骨感
[00:07:34 - 00:07:36] 很多公司把AI编程工具
[00:07:36 - 00:07:38] 当普通软件发给员工
[00:07:38 - 00:07:40] 说大家用吧能提效
[00:07:40 - 00:07:42] 结果每个人都在自己电脑上瞎折腾
[00:07:42 - 00:07:45] 好用的配置成了少数人的秘籍
[00:07:45 - 00:07:47] 大部分人遇到坑直接放弃
[00:07:47 - 00:07:49] 这就是为什么Cloud官方强调一个关键点
[00:07:49 - 00:07:52] 技术配置本身不能驱动采用
[00:07:52 - 00:07:54] 你还需要投资组织层面的东西
[00:07:54 - 00:07:57] 他们发现推广最快的公司都有一个共同点
[00:07:57 - 00:07:59] 在大规模推广之前
[00:07:59 - 00:08:02] 有一个专门的小团队提前把基础设施搭好
[00:08:02 - 00:08:04] 一个公司是这样做的
[00:08:04 - 00:08:06] 几个工程师在正式开放前
[00:08:06 - 00:08:08] 提前把一套plugins和mcp都配好
[00:08:08 - 00:08:12] 等到正式推广时开发者第一次用cloud code
[00:08:12 - 00:08:15] 就已经是一个完整的经过优化的系统
[00:08:15 - 00:08:16] 第一次体验就很爽
[00:08:16 - 00:08:17] 所以采用率很高
[00:08:17 - 00:08:20] 另一个公司甚至组建了一个专门的团队
[00:08:20 - 00:08:22] 就是负责管理AI编程工具生态的
[00:08:22 - 00:08:24] 这个角色叫Agent Manager
[00:08:24 - 00:08:27] 是PM和工程师的混合体
[00:08:27 - 00:08:30] 他们的工作就是维护cloud code的整个生态
[00:08:30 - 00:08:32] 如果你们公司没有专门的团队
[00:08:32 - 00:08:34] 最低要求是有一个DI
[00:08:34 - 00:08:35] 也就是直接负责人
[00:08:35 - 00:08:38] 这个人拥有Cloud Code配置的所有权
[00:08:38 - 00:08:40] 有权决定什么skill可用
[00:08:40 - 00:08:41] 什么plugin可以装
[00:08:41 - 00:08:43] Cloud.md的规范是什么
[00:08:43 - 00:08:46] 最重要的是这个人要定期更新和维护这些东西
[00:08:46 - 00:08:48] 在受监管的行业
[00:08:48 - 00:08:50] 还要提前定义哪些skills是被批准的
[00:08:50 - 00:08:52] 代码审查流程怎么走
[00:08:52 - 00:08:54] 初期访问权限怎么限制
[00:08:54 - 00:08:57] 最好的做法是建立一个跨职能小组
[00:08:57 - 00:08:59] 让工程安全治理部门的人
[00:08:59 - 00:09:01] 一起定义需求和推广路线图
[00:09:01 - 00:09:03] 现在我们进入最有价值的部分
[00:09:03 - 00:09:05] Cloud官方总结了三个
[00:09:05 - 00:09:07] 成功部署里反复出现的模式
[00:09:07 - 00:09:08] 首先是可导航性
[00:09:08 - 00:09:10] AI的能力上限
[00:09:10 - 00:09:12] 就是它能找到的上下文的质量
[00:09:12 - 00:09:14] 太多上下文性能下降
[00:09:14 - 00:09:16] 太少上下文AI就狭
[00:09:16 - 00:09:17] 所以关键是平衡
[00:09:17 - 00:09:18] 怎么做
[00:09:18 - 00:09:21] 第一Cloud MD要保持精减和分层
[00:09:21 - 00:09:24] 根目录直写最关键的紫目录写细节
[00:09:24 - 00:09:27] 第二初始化的时候要在紫目录里
[00:09:27 - 00:09:28] 而不是根目录
[00:09:28 - 00:09:29] 这听起来反直觉
[00:09:29 - 00:09:31] 但Cloud会自动往上走
[00:09:31 - 00:09:32] 加在所有的Cloud MD
[00:09:32 - 00:09:35] 所以你不会丢失根目录的上下文
[00:09:35 - 00:09:38] 第三测试和Lint命令要按字幕录来配置
[00:09:38 - 00:09:41] 如果AI改了一个服务就只跑那个服务的测试
[00:09:41 - 00:09:43] 不要跑全套啊
[00:09:43 - 00:09:45] 这样积快又不浪费上下文
[00:09:45 - 00:09:46] 还有一个技巧是用
[00:09:46 - 00:09:48] ignore deny规则排除生成的文件
[00:09:48 - 00:09:50] 构建产物和第三方代码
[00:09:50 - 00:09:52] 这些东西会产生大量噪音
[00:09:52 - 00:09:55] 让AI分不清哪些是核心代码
[00:09:55 - 00:09:56] 更聪明的做法是
[00:09:56 - 00:09:59] 把团队级的permissions deny规则写进
[00:09:59 - 00:10:00] cloth settings
[00:10:00 - 00:10:01] jason
[00:10:01 - 00:10:03] 做版本控制
[00:10:03 - 00:10:06] 这样全团队都能自动获得相同的噪音过滤
[00:10:06 - 00:10:07] 不用每个人都配一遍
[00:10:07 - 00:10:10] 对于目录结构不规范的代码库
[00:10:10 - 00:10:13] 可以在跟目录写一个轻量级的 Markdown 文件
[00:10:13 - 00:10:16] 列出每个顶层文件家和它的用途
[00:10:16 - 00:10:17] 这给 Cloud 的一个目录
[00:10:17 - 00:10:20] 它可以在打开文件前先扫一遍
[00:10:20 - 00:10:22] 对于有几百个顶层文件家的大项目
[00:10:22 - 00:10:23] 可以分层处理
[00:10:23 - 00:10:25] 跟文件直写最高层结构
[00:10:25 - 00:10:29] 此目录 Cloud. 提供下一层细节按须加载
[00:10:29 - 00:10:30] 第二个模式是
[00:10:30 - 00:10:33] 随着模型变强,定期维护Cloud.md
[00:10:33 - 00:10:34] hooks和skills
[00:10:34 - 00:10:38] 当新的模型发布时,之前的规则可能就过时了
[00:10:38 - 00:10:42] 比如你之前的规则是每个重构都拆成单文件改动
[00:10:42 - 00:10:45] 这可能是为了帮助旧模型保持专注
[00:10:45 - 00:10:47] 但新模型能处理跨文件的协调编辑
[00:10:47 - 00:10:49] 这个规则就变成了束缚
[00:10:49 - 00:10:53] 同样为了弥补旧模型的,缺陷而写的hooks和skills
[00:10:53 - 00:10:56] 可能在新模型里就成了多余的开销
[00:10:56 - 00:10:58] 比如有个公司写了一个Hook
[00:10:58 - 00:11:00] 来强制执行Proforce的Edit命令
[00:11:00 - 00:11:03] 后来Cloud Code本身支持了Proforce
[00:11:03 - 00:11:04] 这个Hook就没用了
[00:11:04 - 00:11:06] 所以Cloud官方建议
[00:11:06 - 00:11:08] 每3-6个月做一次有意义的配置审查
[00:11:08 - 00:11:10] 特别是在大模型发布后
[00:11:10 - 00:11:14] 更要仔细看看哪些规则还有用哪些已经过时
[00:11:14 - 00:11:15] 第三个模式是
[00:11:15 - 00:11:18] 组织上要有人负责Cloud Code的配置
[00:11:18 - 00:11:20] 权限插件市场和推广
[00:11:20 - 00:11:21] 这个人或小组的工作
[00:11:21 - 00:11:24] 就是把好的配置变成全公司的财富
[00:11:24 - 00:11:26] 而不是某个小团队的秘密
[00:11:26 - 00:11:29] 他们要组织和推广正确的Cloud Code规范
[00:11:29 - 00:11:31] 比如标准化的Cloud MD层级
[00:11:31 - 00:11:34] 精神的Scales和Plugins集合
[00:11:34 - 00:11:36] 没有这个工作知识就会停留在部门级别
[00:11:36 - 00:11:38] 采用率会遇到天花板
[00:11:38 - 00:11:40] LSP不是单独的第三个模式
[00:11:40 - 00:11:44] 而是可导航行里最值得投的一项基础设施
[00:11:44 - 00:11:45] 对于多语言代码库
[00:11:45 - 00:11:47] 这是最高价值的投资之一
[00:11:47 - 00:11:49] 代码库越来越庞大
[00:11:49 - 00:11:51] 未来我们面对的不再是携带码
[00:11:51 - 00:11:53] 而是如何管理AI携带码
[00:11:53 - 00:11:56] 那些率先建立完善AI脚手架
[00:11:56 - 00:12:00] 把个人经验沉淀为组织插件的团队会再采用速度
[00:12:00 - 00:12:04] 上下文附用和最佳实践传播上形成明显优势
[00:12:04 - 00:12:06] 他们的新员工第一天就能拿到
[00:12:06 - 00:12:09] 团队沉淀过的上下文和能力不用从零摸索
[00:12:09 - 00:12:12] 相反还在抱怨AI找不到上下文乱改代码的团队
[00:12:12 - 00:12:14] 只会被甩在后面
[00:12:14 - 00:12:16] 因为他们没有投资基础设施
[00:12:16 - 00:12:18] 每个人都在自己的小世界里折腾
[00:12:18 - 00:12:20] 还有一个趋势是
[00:12:20 - 00:12:23] AI编程工具会越来越多的和内部系统集成
[00:12:23 - 00:12:26] 通过MCPAI可以访问你们的公单系统
[00:12:26 - 00:12:28] 分析平台文档库
[00:12:28 - 00:12:30] 这意味着AI不仅能改代码
[00:12:30 - 00:12:31] 还能理解业务背景
[00:12:31 - 00:12:34] 了解性能数据查阅相关文档
[00:12:34 - 00:12:36] 这是一个完整的开发环境
[00:12:36 - 00:12:38] 而不仅仅是一个代码生成工具
[00:12:38 - 00:12:41] 最后要说的是Cloud官方的这些建议
[00:12:41 - 00:12:43] 主要面向常规软件工程环境
[00:12:43 - 00:12:44] 工程师是主要代码
[00:12:44 - 00:12:46] 贡献者仓库用Gate
[00:12:46 - 00:12:47] 目录结构标准
[00:12:47 - 00:12:49] 如果你们用的是游戏引擎
[00:12:49 - 00:12:51] 大量二进制资产
[00:12:51 - 00:12:55] 非常规版本控制或者非工程师也在改代码
[00:12:55 - 00:12:56] 那需要额外的判断和配置
[00:12:56 - 00:12:57] 总结一下
[00:12:57 - 00:12:59] 别再无脑微代码了
[00:12:59 - 00:13:01] 用分层的Cloud MD
[00:13:01 - 00:13:04] 按讯家在skills精准的iOSP
[00:13:04 - 00:13:06] 给你的AI打个企业级脚手架
[00:13:06 - 00:13:08] 最重要的是找一个人或一个小团队
[00:13:08 - 00:13:10] 负责维护这个脚手架
[00:13:10 - 00:13:13] 让好的配置变成全公司的财富
[00:13:13 - 00:13:14] 而不是某个小团队的秘密
[00:13:14 - 00:13:15] 那么问题来了
[00:13:15 - 00:13:18] 你觉得在你们公司的老舅代码库里引入AI
[00:13:18 - 00:13:21] 最大的阻力是技术还是管理
[00:13:21 - 00:13:23] 把你的看法打在公屏上
[00:13:23 - 00:13:25] 如果你觉得这期视频有启发
[00:13:25 - 00:13:26] 别忘了点赞投币收藏
[00:13:26 - 00:13:28] 我是为什么叫QQ
[00:13:28 - 00:13:29] 我们下期见
