BV号：BV1Aw6oYgENi
标题：BV1Aw6oYgENi
链接：https://www.bilibili.com/video/BV1Aw6oYgENi
识别语言：zh
语言置信度：1
分段数：256
生成时间：2026-08-30 21:18:25

[00:00:00 - 00:00:02] 大家好 这里是最佳拍档 我是大飞
[00:00:02 - 00:00:06] 12月3号 由AI教母李飞飞联合创立
[00:00:06 - 00:00:09] 并且担任CEO的AI出状公司 WorldLabs
[00:00:09 - 00:00:14] 对外公布了他们的首个成果 3D世界生成模型
[00:00:14 - 00:00:18] 一个可以让用户从单张图片生成3D世界的AI系统
[00:02:45 - 00:02:47] 在點擊場景中的任意區域
[00:02:47 - 00:02:49] 这个区域就会出现对应的效果
[00:02:49 - 00:02:52] 用户还可以为场景制作动画的效果
[00:02:52 - 00:02:54] 比如说选择波纹动态效果
[00:02:54 - 00:02:56] 整个画面就会像波纹一样动起来
[00:02:57 - 00:02:58] WorldLabs团队认为
[00:02:59 - 00:03:02] 3D世界生成模型将改变电影、游戏、模拟器
[00:03:02 - 00:03:04] 和其他数字媒体的制作方式
[00:03:05 - 00:03:06] 他们展示了两个运用案例
[00:03:07 - 00:03:09] 第一个是像戴上VR眼睛一样
[00:03:09 - 00:03:10] 浏览世界名画
[00:03:11 - 00:03:13] 比如说WorldLabs的模型可以根据
[00:03:13 - 00:03:15] 繁高等世界知名画家的画作
[00:03:15 - 00:03:17] 生成一个画中的世界
[00:03:17 - 00:03:20] 讓用戶以全新的方式來感受藝術作品
[00:03:20 - 00:03:24] 第二個是讓3D世界生成模型與現有的AI工具結合使用
[00:03:24 - 00:03:26] 加速內容創作的過程
[00:03:26 - 00:03:30] 比如說用戶可以先使用文生圖模型生成圖像
[00:03:30 - 00:03:33] 再從生成的圖像中來創建3D世界
[00:03:33 - 00:03:36] 雖然不同的文生圖模型有著不同的風格
[00:03:36 - 00:03:40] 但是生成的3D場景依然可以去適配這些風格
[00:03:40 - 00:03:42] 我的Labs給出了一個勢力
[00:03:42 - 00:03:45] 就是他們給四個不同的文生圖模型
[00:03:45 - 00:03:47] 输入了同一组的提示词
[00:03:47 - 00:03:48] 具体内容为
[00:03:48 - 00:03:51] 一间充满活力的卡通风格青少年卧室
[00:03:51 - 00:03:54] 床上铺着五颜六色的毯子
[00:03:54 - 00:03:56] 杂乱的书桌上放着一台电脑
[00:03:56 - 00:03:57] 墙上贴着海报
[00:03:57 - 00:03:59] 运动装备散落
[00:03:59 - 00:04:00] 一把吉他靠在墙上
[00:04:00 - 00:04:03] 中间是一块舒适的图案地毯
[00:04:03 - 00:04:07] 窗外的光线为房间增添了温暖年轻的氛围
[00:04:07 - 00:04:09] 随后在根据文生图模型
[00:04:09 - 00:04:10] 生成的不同风格的图像
[00:04:10 - 00:04:13] 创建出对应风格的3D场景
[00:04:13 - 00:04:14] 在模型发布之后
[00:04:14 - 00:04:16] 有网友激动地表示
[00:04:16 - 00:04:17] 这太疯狂了
[00:04:17 - 00:04:18] 我们即将迎来一个像是
[00:04:18 - 00:04:20] 80年代、90年代那样的革命
[00:04:20 - 00:04:23] 这将让许多人实现他们的创意
[00:04:23 - 00:04:24] 有望降低开发成本
[00:04:24 - 00:04:27] 帮助工作室的新IP实现更大胆的冒险
[00:04:27 - 00:04:29] 也有网友表示
[00:04:29 - 00:04:31] 这就是视频游戏、电影的未来
[00:04:31 - 00:04:34] 不过目前这个模型还存在的一些不足
[00:04:34 - 00:04:36] 比如说在生成的3D场景中
[00:04:36 - 00:04:38] 可探索的区域比较有限
[00:04:38 - 00:04:40] 在移动一小段距离之后
[00:04:40 - 00:04:42] 它就会提示已经到达了边界
[00:04:42 - 00:04:43] 另外在某些场景中
[00:04:43 - 00:04:45] 会出现渲染错误
[00:04:45 - 00:04:47] 不同的物体会以不自然的方式融合
[00:04:47 - 00:04:49] 成为了一团色块
[00:04:49 - 00:04:50] 我的labs表示
[00:04:50 - 00:04:52] 以上这些成果还偏早期
[00:04:52 - 00:04:53] 他们正在努力提高
[00:04:53 - 00:04:56] 生成世界的大小和你帧度
[00:04:56 - 00:04:59] 也正在实验用户与他们交互的新方式
[00:04:59 - 00:05:03] 当下2D的图片或者视频生成模型比较接视
[00:05:03 - 00:05:04] 比如说国外的mid-journey
[00:05:04 - 00:05:05] stable diffusion
[00:05:05 - 00:05:06] 国产的可灵
[00:05:06 - 00:05:07] 微度
[00:05:07 - 00:05:08] 轻盈等等
[00:05:08 - 00:05:09] 而视频生成模型
[00:05:09 - 00:05:11] 始终有一个痛点挥之不去
[00:05:11 - 00:05:13] 那就是AI视频的稳定性
[00:05:13 - 00:05:14] 移制性得不到控制
[00:05:15 - 00:05:18] 于是3D模型生成的视频可控性和移制性
[00:05:18 - 00:05:19] 就成为了新的卓研点
[00:05:20 - 00:05:21] 从2023年开始
[00:05:21 - 00:05:24] 许多厂家就开始专攻3D生成模型
[00:05:24 - 00:05:25] 或者是升违
[00:05:25 - 00:05:27] 也就是2D转3D模型
[00:05:27 - 00:05:29] 但是就现状来说
[00:05:29 - 00:05:31] 直到现在效果好一点
[00:05:31 - 00:05:33] 或者能够满足基本需求的3D生成模型
[00:05:33 - 00:05:35] 实在是屈指可数
[00:05:35 - 00:05:37] 而李菲菲团队的World Labs公司
[00:05:37 - 00:05:38] 为我们打了个样
[00:05:38 - 00:05:41] 早在李菲菲在斯坦福大学实验室的时候
[00:05:41 - 00:05:44] 他就已经开始试图交汇计算机
[00:05:44 - 00:05:46] 如何在3D世界中行动了
[00:05:46 - 00:05:49] 例如通过使用大圆模型让机械臂执行
[00:05:49 - 00:05:51] 向打开门制作三明治这些任务
[00:05:51 - 00:05:54] 后来他在今年4月份开始计划创业
[00:05:54 - 00:05:57] 并且于9月份正式创立 World Labs
[00:05:57 - 00:05:59] 探索空间智能
[00:05:59 - 00:06:00] 根据福布斯的报道
[00:06:00 - 00:06:02] 成立还不到一个星期
[00:06:02 - 00:06:04] World Labs就已经筹集了2.3亿美元的
[00:06:04 - 00:06:07] 风头资金估值超过10亿美元
[00:06:07 - 00:06:09] 投资方不仅包括A16Z
[00:06:09 - 00:06:11] NEA和Reddick Winters等在内的
[00:06:11 - 00:06:13] 美国知名风头机构
[00:06:13 - 00:06:14] 还有傑弗里辛顿
[00:06:14 - 00:06:15] 傑弗迪恩
[00:06:15 - 00:06:16] 安德烈卡帕西
[00:06:16 - 00:06:18] Salesforce公司的创始人
[00:06:18 - 00:06:18] 监制博士
[00:06:18 - 00:06:19] 马克
[00:06:19 - 00:06:21] 贝尼奥夫等个人投资者
[00:06:21 - 00:06:22] 我们频道在第一时间
[00:06:22 - 00:06:23] 也做了报道
[00:06:23 - 00:06:25] 大家有兴趣可以去回看一下
[00:06:25 - 00:06:27] 而关于公司的愿景
[00:06:27 - 00:06:28] 李飞飞在文国华的一次
[00:06:28 - 00:06:30] 泰德会议的演讲中提到过
[00:06:30 - 00:06:31] 那就是要训练一个
[00:06:31 - 00:06:33] 能够理解复杂的物理世界
[00:06:33 - 00:06:36] 及其内部物体相互关系的AI系统
[00:06:36 - 00:06:37] 在李菲菲看来
[00:06:37 - 00:06:40] 这是解决人工智能难题的关键拼图
[00:06:40 - 00:06:42] 而至于什么是空间智能
[00:06:42 - 00:06:44] 他说到视觉化为动差
[00:06:44 - 00:06:45] 看见成为理解
[00:06:45 - 00:06:47] 理解导致行动
[00:06:47 - 00:06:48] 在李菲菲看来
[00:06:48 - 00:06:50] 人类智能可以分为许多种
[00:06:50 - 00:06:52] 其中之一是语言智能
[00:06:52 - 00:06:55] 它让我们能够通过语言进行交流和他人的联系
[00:06:55 - 00:06:58] 但是更为基础的或许是空间智能
[00:06:58 - 00:07:00] 它不仅让我们能够理解
[00:07:00 - 00:07:02] 和与周围的世界互动
[00:07:02 - 00:07:04] 还能够帮我们将脑海中的画面
[00:07:04 - 00:07:05] 带入到现实世界
[00:07:05 - 00:07:08] 在三维空间和时间中对世界进行建模
[00:07:08 - 00:07:11] 并且对物体、场所和交互进行推理
[00:07:11 - 00:07:14] 在之前斯坦福大学的一场闭门论坛上
[00:07:14 - 00:07:17] 李菲菲也曾经公开递死过Sauer
[00:07:17 - 00:07:18] 她指出
[00:07:18 - 00:07:21] 尽管OpenEye的Sauer模型能够生成视频
[00:07:21 - 00:07:23] 但是她的核心仍然是二维的
[00:07:23 - 00:07:25] 缺乏对三维空间的深入理解
[00:07:25 - 00:07:26] 在她看来
[00:07:26 - 00:07:27] 二维是表象
[00:07:27 - 00:07:28] 三维是本质
[00:07:28 - 00:07:31] 空间智能才是AI通向AJI的钥匙
[00:07:31 - 00:07:33] 当时她以Sauer模型生成的
[00:07:33 - 00:07:37] 日本女性走过霓虹灯闪烁的东京街头的视频
[00:07:37 - 00:07:38] 举例称
[00:07:38 - 00:07:40] 如果你希望算法换个角度
[00:07:40 - 00:07:42] 来展现这个女子走过街头的视频
[00:07:42 - 00:07:45] 比如说把摄像机放在女子的背面
[00:07:45 - 00:07:47] 那Sora是无法做到的
[00:07:47 - 00:07:49] 因为这个模型对于三维世界
[00:07:49 - 00:07:50] 并没有真正的深刻理解
[00:07:51 - 00:07:52] 而人类可以在脑海中
[00:07:52 - 00:07:54] 想象女子背后的情景
[00:07:54 - 00:07:57] 人类可以理解在复杂的环境下如何活动
[00:07:57 - 00:07:59] 我们知道如何抓取
[00:07:59 - 00:07:59] 如何控制
[00:07:59 - 00:08:01] 如何打造工具
[00:08:01 - 00:08:02] 如何去建造城市
[00:08:02 - 00:08:03] 根本而言
[00:08:03 - 00:08:05] 空间智能是几何形状
[00:08:05 - 00:08:06] 是物体间的关系
[00:08:06 - 00:08:07] 是三维空间
[00:08:08 - 00:08:10] 郑荣英伟达的高级计算机科学家
[00:08:10 - 00:08:11] GinFan所说
[00:08:11 - 00:08:15] 生成式AI正在创建越来越高维度的人类体验快照
[00:08:15 - 00:08:17] Stable diffusion是2D快照
[00:08:18 - 00:08:21] Sauer是一个带有时间维度的2D快照plus
[00:08:21 - 00:08:25] 现在World Labs是一个完全森林奇境的3D快照
[00:08:25 - 00:08:27] 也许对于如今的生成式AI来说
[00:08:27 - 00:08:29] 一张照片只是起点
[00:08:29 - 00:08:31] 一个真正立体可交互的
[00:08:31 - 00:08:33] 富有生命力的虚拟世界才是终点
[00:08:33 - 00:08:36] 而我的labs出现正在迷惑这道红沟
[00:09:06 - 00:09:11] i think it is the same make it immersive like we've never seen give it the
[00:09:11 - 00:09:19] dead the light the shadows no more stuck in pixel metals flatland we've moved
[00:09:19 - 00:09:29] the arm 3d world's two marvel upon turn on that generative stream goodbye flatland welcome
[00:09:29 - 00:09:44] but dream flat land
[00:09:45 - 00:09:47] bring us the sea
[00:09:48 - 00:09:53] make it immersive like we've never seen
[00:09:55 - 00:09:58] give it the death the light the shadows
[00:09:59 - 00:10:04] no more stuck in pixel metals
[00:10:04 - 00:10:07] flat land we move beyond
[00:10:07 - 00:10:11] free the world's two marvel upon turn on
[00:10:11 - 00:10:14] That Generative Stream
[00:10:14 - 00:10:16] Goodbye Flatland
[00:10:16 - 00:10:19] Welcome the dream
[00:10:19 - 00:10:24] Boodoo
[00:10:24 - 00:10:41] Goodbye Flatland
[00:10:41 - 00:10:42] Bring us the scene
[00:10:42 - 00:10:45] Make it immersive like we've never seen
[00:10:45 - 00:10:49] Give it the depth, the light, the shadows
[00:10:49 - 00:10:52] No more stuck in pixel meadows
[00:10:52 - 00:10:55] Flatland we've moved beyond
[00:10:55 - 00:10:59] 3D world's tomorrow upon turn on
[00:10:59 - 00:11:02] That generative stream
[00:11:02 - 00:11:04] Goodbye flapper land
[00:11:04 - 00:11:13] Welcome the dream
[00:11:13 - 00:11:17] 不知道大家對於WorldLabs新發布的3D生成模型有什麼看法
[00:11:17 - 00:11:18] 歡迎在評論區留言
[00:11:18 - 00:11:20] 感謝大家的觀看
[00:11:20 - 00:11:21] 我們下期再見
