BV号：BV1Trw8z9EXt
标题：BV1Trw8z9EXt
链接：https://www.bilibili.com/video/BV1Trw8z9EXt
识别语言：zh
语言置信度：1
分段数：152
生成时间：2026-08-29 07:10:05

[00:00:00 - 00:00:02] 大家好 我是为什么叫QQ
[00:00:02 - 00:00:04] 你知道OpenAI去年亏了多少钱吗
[00:02:42 - 00:02:44] Serebras和Grug
[00:02:44 - 00:02:45] 他们做了纯SRM的芯片
[00:02:45 - 00:02:46] 带宽极高
[00:02:46 - 00:02:47] 延迟极低
[00:02:47 - 00:02:49] 但SRM太贵容量太小
[00:02:49 - 00:02:51] 最后都不得不加惠DRM
[00:02:51 - 00:02:52] 这说明什么
[00:02:52 - 00:02:54] 单靠一种内存解决不了问题
[00:02:54 - 00:02:56] 那真正的解法是什么
[00:02:56 - 00:02:58] 论文提出了四个方向
[00:02:58 - 00:03:00] 我用一句话概括它的核心逻辑
[00:03:00 - 00:03:02] 把内存搬到计算旁边
[00:03:02 - 00:03:03] 而不是把数据搬来搬去
[00:03:03 - 00:03:05] 具体怎么做
[00:03:05 - 00:03:07] 第一高带宽闪存
[00:03:07 - 00:03:10] 闪存就是SSD里的那种便宜容量大
[00:03:10 - 00:03:12] 现在的问题是带宽不够
[00:03:12 - 00:03:17] 论文说可以做到512GB的堆叠带宽接近HBM
[00:03:17 - 00:03:18] 成本大幅下降
[00:03:18 - 00:03:21] 这是10倍的内存容量突破
[00:03:21 - 00:03:24] 第二季内存计算把逻辑芯片放到内存旁边
[00:03:24 - 00:03:26] 不是同一块芯片但物理商很近
[00:03:27 - 00:03:28] 数据不用跑那么远
[00:03:28 - 00:03:30] 延迟降低功耗降低
[00:03:30 - 00:03:31] 第三
[00:03:31 - 00:03:33] 3D内存逻辑堆叠
[00:03:33 - 00:03:35] 把逻辑层和内存层垂直叠在一起
[00:03:36 - 00:03:37] 功耗比HBMD2到3倍
[00:03:38 - 00:03:38] 带宽更高
[00:03:38 - 00:03:40] 第4D延迟互联
[00:03:40 - 00:03:43] 多个节点之间的通信要更快减少跳数
[00:03:43 - 00:03:46] 加入网络内计算用SVLAM做包缓充
[00:03:46 - 00:03:49] 这四个方向不是在做更强的GPU
[00:03:49 - 00:03:52] 是在重新设计AI推理的基础架构
[00:03:52 - 00:03:53] 看到这里你可能会想
[00:03:53 - 00:03:55] 这跟我有什么关系
[00:03:55 - 00:03:57] 关系大了如果推理成本不降
[00:03:57 - 00:03:58] AI就会一直贵
[00:03:58 - 00:04:00] 贵到大部分应用跑不起来
[00:04:00 - 00:04:02] 贵到OpenAI继续亏钱
[00:04:02 - 00:04:05] 贵到整个行业的商业模式跑不通
[00:04:05 - 00:04:07] 但如果这四个方向有一个突破
[00:04:07 - 00:04:08] 推理成本可能降10倍
[00:04:08 - 00:04:11] 意味着现在跑不起来的应用都能跑了
[00:04:11 - 00:04:13] 意味着AI真正进入每一个设备
[00:04:13 - 00:04:16] 意味着下一波AI红利不再模型再芯片
[00:04:16 - 00:04:18] 英伟达现在很强
[00:04:18 - 00:04:20] 但这篇论文说的那些方向
[00:04:20 - 00:04:22] 英伟达不一定是最优劫
[00:04:22 - 00:04:23] 这是一个巨大的机会窗口
[00:04:23 - 00:04:25] 谁先做对谁就赢
[00:04:25 - 00:04:27] 好 我们来总结一下
[00:04:27 - 00:04:29] 一篇图领奖得主参与的论文
[00:04:29 - 00:04:30] 告诉了我们一件事
[00:04:30 - 00:04:32] AI行业正在用错误的工具
[00:04:32 - 00:04:33] 解决正确的问题
[00:04:33 - 00:04:35] 训练的时代GPU是王者
[00:04:35 - 00:04:37] 但推理的时代规则变了
[00:04:37 - 00:04:40] 内存带宽才是真正的战场
[00:04:40 - 00:04:42] AI的瓶颈不再算力
[00:04:42 - 00:04:43] 在搬数据的速度
[00:04:43 - 00:04:44] 我想问问你
[00:04:44 - 00:04:46] 你觉得下一个突破会来自哪里
[00:04:46 - 00:04:48] 是英伟达自己改变
[00:04:48 - 00:04:50] 还是会有新玩家颠覆它
[00:04:50 - 00:04:51] 评论区告诉我
[00:04:51 - 00:04:54] 如果这期视频对你有帮助点个赞投个币
[00:04:54 - 00:04:56] 顺手收藏一下我是为什么叫QQ
[00:04:56 - 00:04:57] 我们下期见
