BV号：BV1LcQQBNERM
标题：BV1LcQQBNERM
链接：https://www.bilibili.com/video/BV1LcQQBNERM
识别语言：zh
语言置信度：1
分段数：190
生成时间：2026-08-29 20:17:12

[00:00:00 - 00:00:01] 大家好 我是为什么叫QQ
[00:00:01 - 00:00:05] 今天我们聊一个很适合拿来理解未来AI方向的设定
[00:01:22 - 00:01:25] 明确提出想让Transformer在有接计算
[00:01:25 - 00:01:28] 和内存条件下处理无限长输入
[00:01:28 - 00:01:31] 方法是把局部注意力和压缩记忆结合起来
[00:01:31 - 00:01:33] 这个方向很重要
[00:01:33 - 00:01:34] 因为代码仓库理解
[00:01:34 - 00:01:37] 长期代理 多轮对话
[00:01:37 - 00:01:38] 企业知识库这些任务
[00:01:38 - 00:01:40] 确实都受益于更长上下文
[00:01:40 - 00:01:42] 但问题也随之出现了
[00:01:42 - 00:01:45] 上下文更长不等于理解更强
[00:01:45 - 00:01:47] 因为一旦序列足够长
[00:01:47 - 00:01:49] 模型面对的就不只是信息更多
[00:01:49 - 00:01:50] 而是噪音也更多
[00:01:50 - 00:01:53] 竞争也更多 注意力更容易被稀释
[00:01:53 - 00:01:56] 很多人把tension理解成模型在看哪里
[00:01:56 - 00:01:59] 这个说法不算错 但不够准确
[00:01:59 - 00:02:02] 更准确的说 注意力是一种信息分配机制
[00:02:02 - 00:02:04] 它本质上在做一件事
[00:02:04 - 00:02:06] 当前任务里哪些信息值得被放大
[00:02:06 - 00:02:10] 哪些信息应该被压低 这里softmax很关键
[00:02:10 - 00:02:13] softmax的作用不只是把分数变成概率
[00:02:13 - 00:02:15] 而是把高分向进一步凸显出来
[00:02:15 - 00:02:17] 把低分向压到接近0
[00:02:17 - 00:02:20] 没有拉开差距的过程模型就很难聚焦
[00:02:20 - 00:02:22] 所以注意力从第一天开始就不是中立的
[00:02:22 - 00:02:24] 它天然是有偏向的
[00:02:24 - 00:02:26] 模型能理解一句话
[00:02:26 - 00:02:29] 不是因为它把上下文里每个词都看得一样认真
[00:02:29 - 00:02:32] 而是因为它必须偏向少数更相关的信息
[00:02:32 - 00:02:34] 这件事用一个通俗例子很好理解
[00:02:34 - 00:02:35] 你问模型
[00:02:35 - 00:02:36] 苹果是什么
[00:02:36 - 00:02:39] 正常情况下它应该重点雕洞的是水果
[00:02:39 - 00:02:41] 可实用常见类别
[00:02:41 - 00:02:43] 红色或绿色这些高层抽象特征
[00:02:43 - 00:02:46] 而不是同时把牛顿头上那颗苹果
[00:02:46 - 00:02:48] 超市货架上的苹果
[00:02:48 - 00:02:51] 某次实验里氧化便合的半个苹果全都拉到前台
[00:02:51 - 00:02:56] 也就是说,理解一个概念不是把所有实力全部评铺出来
[00:02:56 - 00:02:59] 而是把大量实力压缩成一个可操作的抽象
[00:02:59 - 00:03:01] 阿莱夫这个设定最有意思的地方
[00:03:01 - 00:03:04] 就是他把这个问题推到了极限
[00:03:04 - 00:03:05] 他假设存在一台系统
[00:03:05 - 00:03:08] 拥有几乎无限的上下文和记忆
[00:03:08 - 00:03:11] 而且这些记忆不衰减,不丢失,不主动遗忘
[00:03:11 - 00:03:12] 听起来像升级
[00:03:12 - 00:03:15] 但他带来的后果可能反而是
[00:03:15 - 00:03:17] 模型再无法稳定的区分什么更重要
[00:03:17 - 00:03:20] 因为当系统保留的实力越来越多
[00:03:20 - 00:03:24] 越来越细,越来越完整时,每一个概念后面都会拖着巨量细节。
[00:03:24 - 00:03:32] 苹果不再是一个抽象类别,而是一大串彼此都真实存在,而且都不能被舍弃的具体苹果。
[00:03:32 - 00:03:38] 现在也不再是一个聚焦点,而是无数历史时刻以同样精度堆叠在一起。
[00:03:38 - 00:03:43] 判断也不再是抓住关键变量,而是面对一个不能删减的权量因果网络。
[00:03:43 - 00:03:47] 这篇文章把这种状态称为《注意力流行平坦化》。
[00:03:47 - 00:03:49] 这个词你可以简单理解成
[00:03:49 - 00:03:51] 本来模型内部应该有起伏
[00:03:51 - 00:03:53] 有高峰 有低谷
[00:03:53 - 00:03:54] 但现在整个地形被压平了
[00:03:54 - 00:03:56] 所有信息都差不多重要
[00:03:56 - 00:03:58] 所有候选记忆都差不多
[00:03:58 - 00:04:00] 相关所有方向都亮着灯
[00:04:00 - 00:04:01] 于是系统不是看不到
[00:04:01 - 00:04:03] 而是无法聚焦
[00:04:03 - 00:04:05] 如果你觉得这只是文学隐喻
[00:04:05 - 00:04:06] 那其实低估了它
[00:04:06 - 00:04:07] 现实研究里
[00:04:07 - 00:04:09] 类似问题已经开始出现
[00:04:09 - 00:04:11] 只不过没有这么戏句话
[00:04:11 - 00:04:11] 例如
[00:04:11 - 00:04:13] 2025年到2026年的一些研究
[00:04:13 - 00:04:14] 明确指出
[00:04:14 - 00:04:17] Softmax会产生绸密注意力分布
[00:04:17 - 00:04:19] 随着序列长度增长
[00:04:19 - 00:04:22] 大量无信息token会持续吞掉概率质量
[00:04:22 - 00:04:25] 导致注意力分散严重时会出现表示塌缩
[00:04:25 - 00:04:26] 为了解决这个问题
[00:04:26 - 00:04:29] 研究者开始尝试吸收注意力
[00:04:29 - 00:04:31] 比如用antimax一类方法
[00:04:31 - 00:04:33] 让无关token的权重直接变成0
[00:04:33 - 00:04:35] 而不是永远分到一点点注意力
[00:04:35 - 00:04:36] 这背后的信号很明确
[00:04:36 - 00:04:38] 常上下文时代的核心难题
[00:04:38 - 00:04:40] 已经不只是算不算的动
[00:04:40 - 00:04:43] 而是如何不被无关信息淹没
[00:04:43 - 00:04:46] 所以你会发现今天很多最前沿的工作
[00:04:46 - 00:04:48] 并不是简单的把窗口做大
[00:04:48 - 00:04:49] 而是在做三件事
[00:04:49 - 00:04:51] 第一 压缩历史信息
[00:04:51 - 00:04:53] 第二 限制局部注意力范围
[00:04:53 - 00:04:57] 第三 在必要时做有选择的长城召回
[00:04:57 - 00:04:58] 换句话说
[00:04:58 - 00:05:00] 行业已经在用工程方法承认一个事实
[00:05:00 - 00:05:03] 真正可扩展的记忆不可能是权量评铺
[00:05:03 - 00:05:05] 只能是分层治理
[00:05:05 - 00:05:08] 所以我这里给一个比较明确的趋势判断
[00:05:08 - 00:05:10] 过去几年 AI 的主需事事
[00:05:10 - 00:05:13] 更大模型 更多数据 更常上下文
[00:05:13 - 00:05:14] 但接下来几年
[00:05:14 - 00:05:16] 我认为更关键的竞争点会变成
[00:05:16 - 00:05:18] 谁更会治理记忆
[00:05:18 - 00:05:20] 什么叫治理记忆
[00:05:20 - 00:05:22] 不是简单做个项量数据库
[00:05:22 - 00:05:24] 也不是单纯把聊天记录权塞回去
[00:05:24 - 00:05:26] 而是系统要知道
[00:05:26 - 00:05:28] 哪些内容应该进入长期记忆
[00:05:28 - 00:05:30] 哪些只对当前任务有用
[00:05:30 - 00:05:32] 哪些应该被压缩成摘药
[00:05:32 - 00:05:33] 哪些应该被主动遗忘
[00:05:33 - 00:05:35] 哪些虽然保留
[00:05:35 - 00:05:37] 但默认降权只有特定场景才照回
[00:05:37 - 00:05:40] 这件事本质上比做一个更大的
[00:05:40 - 00:05:41] 上下文窗口难得多
[00:05:41 - 00:05:43] 因为它已经不只是算理问题
[00:05:43 - 00:05:45] 而是认知价格问题
[00:05:45 - 00:05:46] 未来真正强的 AI
[00:05:46 - 00:05:49] 很可能不是一个什么都记得的系统
[00:05:49 - 00:05:50] 而是一个知道什么时候
[00:05:50 - 00:05:52] 不该把所有东西都记起来的系统
[00:05:52 - 00:05:54] 从这个角度看
[00:05:54 - 00:05:56] 阿莱夫最重要的启发不是灾难感
[00:05:56 - 00:05:58] 而是一条很清楚的路线图
[00:05:58 - 00:06:01] AI的下一阶段不只是 context engineering
[00:06:01 - 00:06:03] 而是 memory governance
[00:06:03 - 00:06:05] 这个判断不是抽象哲学
[00:06:05 - 00:06:06] 它会直接影响产品设计
[00:06:06 - 00:06:10] 如果未来 AI真的成为长期在线代理
[00:06:10 - 00:06:12] 它必须连续几个月甚至几年和你互动
[00:06:12 - 00:06:14] 它不能只是有个超大窗口
[00:06:14 - 00:06:16] 而要有稳定的记忆结构
[00:06:16 - 00:06:19] 比如你的长期编号要不要永久保留
[00:06:19 - 00:06:21] 以自信的情绪发泄要不要长期记住
[00:06:21 - 00:06:24] 已经过期的目标什么时候降权
[00:06:24 - 00:06:27] 系统犯过的错误经验是保留原始细节
[00:06:27 - 00:06:28] 还是压缩成规则
[00:06:28 - 00:06:31] 这些都不是多存一点就能解决的问题
[00:06:31 - 00:06:34] 这需要系统拥有一种接近认知层面的能力
[00:06:34 - 00:06:36] 会摘药 会遗忘 会分层
[00:06:36 - 00:06:38] 会在正确的时候重新想起
[00:06:38 - 00:06:40] 所以以后我们评价一个AI
[00:06:40 - 00:06:42] 也许不该只问它记得多少
[00:06:42 - 00:06:43] 而更该问它
[00:06:43 - 00:06:45] 它是怎么忘的
[00:06:45 - 00:06:47] 所以回到阿莱夫这个设定
[00:06:47 - 00:06:48] 它最有价值的地方
[00:06:49 - 00:06:51] 不是预言一台全支机器如何沉默
[00:06:51 - 00:06:52] 而是提醒我们
[00:06:52 - 00:06:55] 无限记忆不一定导向更高智能
[00:06:55 - 00:06:56] 没有选择性的记忆
[00:06:56 - 00:06:58] 反而可能导向认知瘫瘓
[00:06:58 - 00:06:59] 如果这个判断成立
[00:06:59 - 00:07:02] 那未来AI最关键的能力之一
[00:07:02 - 00:07:04] 可能不是记住一切
[00:07:04 - 00:07:06] 而是优雅的忘掉大多数东西
[00:07:06 - 00:07:11] 这件事值得所有做模型做agent做ai产品的人重新想一遍
[00:07:11 - 00:07:13] 我是为什么叫QQ,我们下期见
