BV号：BV16TftBtEf8
标题：BV16TftBtEf8
链接：https://www.bilibili.com/video/BV16TftBtEf8
识别语言：zh
语言置信度：1
分段数：162
生成时间：2026-08-29 21:11:04

[00:00:00 - 00:00:02] 大家好 我是为什么叫QQ
[00:00:02 - 00:00:05] 你有没有想过未来敲带码的可能不再是你
[00:03:55 - 00:03:59] 编程能力正在向非技术背景的业务人员开放
[00:03:59 - 00:04:01] 安全团队用AI分析陌生代码
[00:04:01 - 00:04:04] 研究团队用AI构建数据可实化前端
[00:04:04 - 00:04:07] 法务团队用AI自动化合同审查流程
[00:04:07 - 00:04:10] Japier公司内部AI采用率高达89%
[00:04:10 - 00:04:13] 部署了800多个内部AI agent
[00:04:13 - 00:04:17] 设计团队甚至能在客户访谈现场用AI实施生成原型
[00:04:17 - 00:04:20] 而这在以前需要数周的开发时间
[00:04:20 - 00:04:21] 最后三个影响趋势
[00:04:21 - 00:04:24] 是这场变革在商业和安全层面的落地
[00:04:24 - 00:04:25] 趋势6
[00:04:25 - 00:04:27] 生产力爆炸重塑软件经济学
[00:04:27 - 00:04:29] Tiles公司的数据最具代表性
[00:04:29 - 00:04:33] 他们创建了超过1.3万个定制AI解决方案
[00:04:33 - 00:04:36] 工程代码交付速度提升30%
[00:04:36 - 00:04:38] 每次AI交互平均节省40分钟
[00:04:38 - 00:04:40] 累计节省超过50万公时
[00:04:40 - 00:04:43] 更关键的一个发现是AI辅助的工作中
[00:04:43 - 00:04:45] 约27%是
[00:04:45 - 00:04:46] 原本不会做的事
[00:04:46 - 00:04:50] 那些因为成本太高而被割制的探索性项目
[00:04:50 - 00:04:53] 那些一直被推迟的技术债清理现在都变得可行了
[00:04:53 - 00:04:54] 趋势期
[00:04:54 - 00:04:57] 非技术用力全面开花
[00:04:57 - 00:04:59] 当业务部门能够自己解决问题时
[00:04:59 - 00:05:01] 工程团队的角色也在改变
[00:05:01 - 00:05:03] Anthropic自己的法务团队就是一个例子
[00:05:03 - 00:05:05] 一位没有编程经验的律师
[00:05:05 - 00:05:08] 用clawed code构建了自动化工作榴
[00:05:08 - 00:05:12] 将营销内容审查周期从2到3天压缩到24小时
[00:05:12 - 00:05:14] 并且自己构建了分流工具
[00:05:14 - 00:05:17] 在问题进入法务队列之前就完成了预处理
[00:05:17 - 00:05:20] 趋势吧 安全攻防同步升级
[00:05:20 - 00:05:22] 这是最需要警惕的一个趋势
[00:05:22 - 00:05:27] AI让任何工程师都能进行深度安全审查和代码加固
[00:05:27 - 00:05:30] 但同样的能力也可以被攻击者用来扩大攻击规模
[00:05:30 - 00:05:33] 报告的结论是 准备充分的组织更有优势
[00:05:33 - 00:05:37] 从一开始就将安全架构欠入AI系统设计的团队
[00:05:37 - 00:05:39] 才能在这场攻防博弈中占据主动
[00:05:39 - 00:05:41] 回到开头的问题
[00:05:41 - 00:05:42] AI会接管你的代码吗
[00:05:42 - 00:05:44] 报告给出的答案是
[00:05:44 - 00:05:46] 不是接管而是宠购
[00:05:46 - 00:05:50] 软件开发正在从人写代码转向人指挥AI写代码
[00:05:50 - 00:05:54] 我们的角色从工匠变为架构师和指挥家
[00:05:54 - 00:05:57] 报告为2026年指出了四个优先事项
[00:05:57 - 00:05:59] 1.掌握多AZ的协作
[00:05:59 - 00:06:02] 2.扩展人机监督能力
[00:06:02 - 00:06:05] 3.将Agentic Coding推广到业务部门
[00:06:05 - 00:06:09] 4.将安全架构迁入AI系统设计的最早期阶段
[00:06:09 - 00:06:12] 那些把Agentic Coding当作战略优先项的组织
[00:06:12 - 00:06:14] 将定义什么是可能的
[00:06:14 - 00:06:17] 而那些把它当做普通效率工具的组织
[00:06:17 - 00:06:20] 将发现自己在用旧规则参与一场新游戏
[00:06:20 - 00:06:21] 你准备好了吗?
[00:06:21 - 00:06:24] 欢迎在评论区告诉我你的看法
[00:06:24 - 00:06:26] 觉得有收获的话点赞投币支持一下
[00:06:26 - 00:06:27] 我们下期见
