BV号：BV11sQaYqEUe
标题：BV11sQaYqEUe
链接：https://www.bilibili.com/video/BV11sQaYqEUe
识别语言：zh
语言置信度：1
分段数：336
生成时间：2026-08-30 10:40:15

[00:00:00 - 00:00:02] 大家好 这里是最佳拍档 我是大飞
[00:00:02 - 00:00:04] 在人工智能飞速发展的今天
[00:05:18 - 00:05:19] 而在实验中
[00:05:19 - 00:05:22] 研究人员保留了规律化层中的Offin Parameters
[00:05:22 - 00:05:24] 仅将规律化变换替换为
[00:05:24 - 00:05:26] 坍正的αx函数
[00:05:26 - 00:05:27] 训练完成之后
[00:05:27 - 00:05:28] 通过评估FID分数
[00:05:28 - 00:05:30] 来衡量图像的生成质量
[00:05:30 - 00:05:31] 分数越低
[00:05:31 - 00:05:33] 表示生成的图像质量越好
[00:05:33 - 00:05:34] 实验结果表明
[00:05:34 - 00:05:38] dyt在FID上取得了与LN相当或者更好的性能
[00:05:38 - 00:05:40] 比如说在DeatB模型中
[00:05:40 - 00:05:42] dyt的FID分数为63.9
[00:05:42 - 00:05:44] 低于LN的64.6
[00:05:44 - 00:05:46] DeatL模型中
[00:05:46 - 00:05:48] dyt的FID分数为45.7
[00:05:48 - 00:05:50] 同样低于LN的45.9
[00:05:50 - 00:05:52] DeatXL模型中
[00:05:52 - 00:05:55] 虽然dyt的FID分数为20.8
[00:05:55 - 00:05:56] 越高于LN的19.9
[00:05:56 - 00:05:59] 但是整体性能也在可以接触的范围以内
[00:05:59 - 00:06:00] 在大与言模型方面
[00:06:00 - 00:06:05] 研究人员对拉马7B 13B 34B和70B模型进行了预训链
[00:06:05 - 00:06:08] 评估了DIYT相对于RMSNOM的性能
[00:06:08 - 00:06:09] 实验结果表示
[00:06:09 - 00:06:12] DIYT在所有4种模型规模上的表现
[00:06:12 - 00:06:14] 均与RMSNOM相当
[00:06:14 - 00:06:16] 从训练损失和平均性能来看
[00:06:16 - 00:06:17] 两者差异极小
[00:06:17 - 00:06:19] 例如在拉马7B模型中
[00:06:19 - 00:06:22] RMSNOM的训练损失为1.59
[00:06:22 - 00:06:23] DIYT为1.60
[00:06:23 - 00:06:25] 性能分数都为0.513
[00:06:25 - 00:06:27] 拉马13B模型中
[00:06:27 - 00:06:29] RMSNOM的训练损失为1.53
[00:06:29 - 00:06:31] 地byT为1.54
[00:06:31 - 00:06:33] 性能分数都为0.529
[00:06:33 - 00:06:35] 观察损失损见可以发现
[00:06:35 - 00:06:37] 所有模型规模的训练趋势都很相似
[00:06:37 - 00:06:40] 训练损失在整个训练过程中高度一致
[00:06:40 - 00:06:41] 这进一步证明了
[00:06:41 - 00:06:43] 地byT在大原模型中的有效性
[00:06:43 - 00:06:45] 在DNA系列建模任务中
[00:06:45 - 00:06:46] 严军人员预宣链了
[00:06:46 - 00:06:49] Hena DNA模型和Cadillus模型
[00:06:49 - 00:06:51] 使用来自于人类参考金组的数据
[00:06:51 - 00:06:52] 进行了训练
[00:06:52 - 00:06:55] 并且在Ginomic Bunchmax上进行了评估
[00:06:55 - 00:06:56] 结果显示
[00:06:56 - 00:06:59] DYT在任务中保持了与LN相当的性能
[00:06:59 - 00:07:02] HenaDNA模型中两者的准确率都为85.2%
[00:07:03 - 00:07:05] Cadius模型中都为86.9%
[00:07:05 - 00:07:07] 在语音领域的自监读学期方面
[00:07:07 - 00:07:09] 研究人在LibrisBeats数据集上
[00:07:09 - 00:07:13] 预训练了两个Wave2Wack的2.0Transformer模型
[00:07:13 - 00:07:15] 从最终的验证损失来看
[00:07:15 - 00:07:18] DYT在这两种模型规模上的表现都与LN相当
[00:07:18 - 00:07:21] 在Wave2Wack的2.0Base模型中
[00:07:21 - 00:07:23] 两者的验证损失都为1.95%
[00:07:23 - 00:07:25] Wave2Wack的2.0辣植模型中
[00:07:25 - 00:07:27] DIT的验证损失为1.91
[00:07:27 - 00:07:29] 略低于LN的1.92
[00:07:29 - 00:07:32] 为了更加全面的了解DIT的性能
[00:07:32 - 00:07:34] 研究团队还进行了额外的实验
[00:07:34 - 00:07:36] 评估超3书调优的影响
[00:07:36 - 00:07:38] 特别是针对于所有非大语言模型的
[00:07:38 - 00:07:39] 学习率和二法初始率
[00:07:39 - 00:07:41] 在学习率调优实验中
[00:07:41 - 00:07:43] 研究人员对比了使用原始学习率
[00:07:43 - 00:07:46] 与调优后学习率训练的模型性能
[00:07:46 - 00:07:47] 结果发现
[00:07:47 - 00:07:49] 调优学习率对于DIT模型的性能提升
[00:07:49 - 00:07:50] 较为有限
[00:07:50 - 00:07:53] 这意味着最初为LN模型优化的原始超3书
[00:07:55 - 00:07:59] 进一步体现了dyt与ln模型之间的内在相似性
[00:07:59 - 00:08:02] 而在对于α初始化的研究中
[00:08:02 - 00:08:03] 研究人员发现
[00:08:03 - 00:08:05] 在大多数非llm模型上
[00:08:05 - 00:08:07] 调整α的初始值
[00:08:07 - 00:08:10] 也就是α0只能带来轻微的性能提升
[00:08:10 - 00:08:11] 这表明默认的初始值
[00:08:11 - 00:08:13] 也就是α0等于0.5
[00:08:13 - 00:08:16] 通常已经能够实现接近于最优的性能
[00:08:16 - 00:08:18] 例如在WitB模型中
[00:08:18 - 00:08:20] 默认α0等于0.5的时候
[00:08:20 - 00:08:22] dyt模型的准确率为82.5%
[00:08:22 - 00:08:24] 而提升α0到1.0后
[00:08:24 - 00:08:26] 准确率提升到82.6%
[00:08:26 - 00:08:27] 提升并不明显
[00:08:28 - 00:08:30] 不过在大语言模型的训练中
[00:08:30 - 00:08:31] 对α0进行精细的调整
[00:08:31 - 00:08:33] 却可以带来明显的性能提升
[00:08:33 - 00:08:34] 年轻人员对于
[00:08:34 - 00:08:35] Lama系列模型进行了
[00:08:35 - 00:08:37] α0调优后发现
[00:08:37 - 00:08:39] 较大的模型需要较小的α0
[00:08:39 - 00:08:42] 比如说Lama7B模型的最优α0
[00:08:42 - 00:08:43] 为0.6和0.15
[00:08:43 - 00:08:45] 而Lama70B模型的最优α0
[00:08:45 - 00:08:47] 则为0.2和0.05
[00:08:47 - 00:08:50] 此外提高注意力层中的α0值
[00:08:50 - 00:08:51] 也有助于提升性能
[00:08:51 - 00:08:53] 在注意力块中的地位梯层
[00:08:53 - 00:08:54] 设定较高的Alpha0
[00:08:54 - 00:08:55] 而在其他的位置
[00:08:55 - 00:08:57] 比如说FFN块
[00:08:57 - 00:08:59] 或者是最终的线性投影之前
[00:08:59 - 00:09:00] 设定较低的Alpha0
[00:09:00 - 00:09:01] 能够有效的降低
[00:09:01 - 00:09:02] 训练损失
[00:09:02 - 00:09:03] 提升模型的性能
[00:09:03 - 00:09:04] 研究还发现
[00:09:04 - 00:09:06] 模型宽度在确定
[00:09:06 - 00:09:08] 最优Alpha0方面至关重要
[00:09:08 - 00:09:09] 更宽的网络
[00:09:09 - 00:09:10] 通常需要更小的Alpha0
[00:09:10 - 00:09:12] 来实现最佳的性能
[00:09:12 - 00:09:13] 而模型的深度
[00:09:13 - 00:09:14] 对于Alpha0的选择影响
[00:09:14 - 00:09:15] 则较小
[00:09:15 - 00:09:16] 除此以外
[00:09:16 - 00:09:16] 研究人员
[00:09:16 - 00:09:18] 还对DIT的计算效率
[00:09:18 - 00:09:19] 进行了评估
[00:09:19 - 00:09:21] 比如说在拉马7B模型上
[00:09:21 - 00:09:24] 对RMSNOM和DIYT进行基准测试
[00:09:24 - 00:09:28] 测量100次前向传播和100次前向反向传播的总时间
[00:09:28 - 00:09:31] 实验采取了4096个Token的单一讯列
[00:09:31 - 00:09:34] 在英伟达H100BF16精度上运行
[00:09:34 - 00:09:38] 结果显示DIYT层的计算时间显著低于RMSNOM层
[00:09:38 - 00:09:42] 在推理阶段RMSNOM层的计算时间为2.1秒
[00:09:42 - 00:09:44] 而DIYT层仅仅为1.0秒
[00:09:44 - 00:09:47] 时间减少了52.4%
[00:09:47 - 00:09:50] 在训练阶段RMSNOM层的计算时间为8.3秒
[00:09:50 - 00:09:52] dbt层为4.8秒
[00:09:52 - 00:09:54] 之间减少了42.2%
[00:09:54 - 00:09:56] 在ip32精度下
[00:09:56 - 00:09:57] 也观察到了类似的趋势
[00:09:57 - 00:10:00] 这表明dbt在面向效率优化的网络设计中
[00:10:00 - 00:10:01] 具有很大的潜力
[00:10:02 - 00:10:02] 好了
[00:10:02 - 00:10:04] 以上就是对这篇论文主要内容的介绍了
[00:10:05 - 00:10:07] 它的意义不仅仅在于发现了一种
[00:10:07 - 00:10:08] 可以替代规划层的方法
[00:10:08 - 00:10:10] 更在于它打破了人们长期以来
[00:10:10 - 00:10:12] 对于规划层不可或缺的固有关键
[00:10:13 - 00:10:13] 在过去
[00:10:13 - 00:10:15] 规划层被视为深度网络
[00:10:15 - 00:10:16] 高效训练的关键
[00:10:16 - 00:10:18] 甚至是不可或缺的组成部分
[00:10:18 - 00:10:20] 而现在DIT的出现
[00:10:20 - 00:10:22] 证明了在不使用传统规划层的情况下
[00:10:22 - 00:10:24] 模型依然可以取得优异的性能
[00:10:24 - 00:10:26] 从实际的应用角度来看
[00:10:26 - 00:10:28] 考虑到模型训练和推理
[00:10:28 - 00:10:30] 可能需要进行数千万次的计算
[00:10:30 - 00:10:33] DIT的高效性能能够极大地帮助降低成本
[00:10:33 - 00:10:35] 从学术研究的角度来看
[00:10:35 - 00:10:36] 这些研究也为后续研究
[00:10:36 - 00:10:39] 如何进一步优化神经网络的架构
[00:10:39 - 00:10:40] 提供了新的思路和方法
[00:10:40 - 00:10:43] 最后我们来介绍一下这篇论文的作者
[00:10:43 - 00:10:45] 朱家臣是纽约大学科朗数学研究所的
[00:10:45 - 00:10:47] 的四年级计算机科学博士生
[00:10:47 - 00:10:49] 导师是杨丽坤
[00:10:49 - 00:10:51] 他对图像或者是视频的自监督学习
[00:10:51 - 00:10:53] 以及神经网络架构设计方面
[00:10:53 - 00:10:54] 有着浓厚的兴趣
[00:10:54 - 00:10:57] 陈心磊目前是Metfair的研究科学家
[00:10:57 - 00:10:58] 毕业于卡内基梅冬大学
[00:10:58 - 00:10:59] 语言技术研究所
[00:10:59 - 00:11:01] 本科毕于中国浙江大学
[00:11:01 - 00:11:02] 计算机科学专业
[00:11:02 - 00:11:04] 主要研究视觉表示的
[00:11:04 - 00:11:05] 预讯链与理解
[00:11:05 - 00:11:07] 何海明目前是麻生理工学MIT
[00:11:07 - 00:11:09] 电器工程与计算机科学系的
[00:11:09 - 00:11:10] 副教授
[00:11:10 - 00:11:13] 致力於構建能夠從複雜世界中學習表示
[00:11:13 - 00:11:15] 並且發展智能的計算機模型
[00:11:15 - 00:11:17] 目標是用更強大的AI
[00:11:17 - 00:11:18] 來增強人類的智能
[00:11:18 - 00:11:20] 楊立坤不用我們多說了
[00:11:20 - 00:11:21] 圖靈獎三巨頭之一
[00:11:21 - 00:11:22] MITAD的首席科學家
[00:11:22 - 00:11:24] 紐約大學終身教授
[00:11:24 - 00:11:26] 在深度學習領域有著卓越的貢獻
[00:11:26 - 00:11:28] 劉壯是項目的負責人
[00:11:28 - 00:11:30] 在MITAFIRE實驗室擔任研究科學家
[00:11:30 - 00:11:32] 畢業於加州大學伯克利分校
[00:11:32 - 00:11:33] 電子工程藝計算機科學家
