BV号：BV1poXbBHE5S
标题：BV1poXbBHE5S
链接：https://www.bilibili.com/video/BV1poXbBHE5S
识别语言：zh
语言置信度：1
分段数：146
生成时间：2026-08-29 07:12:25

[00:00:00 - 00:00:02] 大家好 我是为什么叫QQ
[00:00:02 - 00:00:06] 今天我们来硬核拆解Google刚刚发布的一篇重磅论文TurboQuant
[00:01:15 - 00:01:17] 为了防止KVcash把显存称报
[00:01:17 - 00:01:19] 学数界之前的主要经历
[00:01:19 - 00:01:22] 都集中在压缩长和高上
[00:01:22 - 00:01:24] 先说怎么压缩长
[00:01:24 - 00:01:26] 业界最常用的方法是滑动窗口注意力
[00:01:26 - 00:01:28] Slighting Window Attention
[00:01:28 - 00:01:31] 简单来说就是限制模型只保留最近一段
[00:01:31 - 00:01:33] 对话的KVcash
[00:01:33 - 00:01:35] 比如最后1024个token
[00:01:35 - 00:01:36] 更早的内容直接丢弃
[00:01:36 - 00:01:37] 优势
[00:01:37 - 00:01:39] 简单粗暴地控制了内存占用
[00:01:39 - 00:01:41] 响应极快
[00:01:41 - 00:01:41] 代价
[00:01:41 - 00:01:42] 模型会失忆
[00:01:42 - 00:01:45] 丢弃历史信息会导致长文本联贯性下降
[00:01:45 - 00:01:49] 处理长线逻辑时容易翻车再说怎么压缩高
[00:01:49 - 00:01:51] 这就引出了现行主义力
[00:01:51 - 00:01:52] Linear Attention
[00:01:52 - 00:01:55] 它不丢弃历史而是通过算法
[00:01:55 - 00:01:58] 把所有过去的信息压缩成一个固定大小的
[00:01:58 - 00:01:59] 隐状态向量
[00:01:59 - 00:02:00] 不管你聊了多久
[00:02:00 - 00:02:02] KVCash的高度衡定不变
[00:02:02 - 00:02:03] 优势
[00:02:03 - 00:02:06] 突破了长度限制保留了全局上下文
[00:02:06 - 00:02:07] 代价
[00:02:07 - 00:02:10] 这种压缩是有损的会丢失大量细节
[00:02:10 - 00:02:12] 而且算法实现相对复杂
[00:02:12 - 00:02:15] 在某些具体任务上的表现并不均衡
[00:02:15 - 00:02:18] 这两种方法都在努力控制KVCash的体积
[00:02:18 - 00:02:20] 但过去很少有人敢去动
[00:02:20 - 00:02:21] 那个罪名感的维度
[00:02:21 - 00:02:23] 宽也就是数据精度
[00:02:23 - 00:02:26] 把原本16位的辅典数精度强行砍掉
[00:02:26 - 00:02:28] 再过去把精度降到3比特
[00:02:28 - 00:02:31] 几乎等同于让模型变成人工智障
[00:02:31 - 00:02:33] 信息丢失率会高到无法接受
[00:02:33 - 00:02:35] 但这正是Google TurboQuant
[00:02:35 - 00:02:37] 这篇论文的核心突破
[00:02:37 - 00:02:40] 它实现了近乎无损的3bitKVcash压缩
[00:02:40 - 00:02:42] 它们是如何做到的
[00:02:42 - 00:02:44] 论文中提出了两个核心算法
[00:02:44 - 00:02:45] PolarQuant
[00:02:45 - 00:02:46] 即性量化
[00:02:46 - 00:02:49] 它不再使用一刀切的压缩方式
[00:02:49 - 00:02:51] 而是针对大模型参数分布的即性特征
[00:02:51 - 00:02:53] 动态智能的调整量化策略
[00:02:54 - 00:02:56] 把重要的信息用最精简的代码保留下来
[00:02:56 - 00:02:57] QJL
[00:02:58 - 00:02:59] 量化感知微调
[00:02:59 - 00:03:01] 这是一种辅助的修正技术
[00:03:01 - 00:03:04] 专门用来弥补低精度带来的误差
[00:03:04 - 00:03:07] 确保最终输出的准确率不往下掉
[00:03:07 - 00:03:08] 这两套组合权打完
[00:03:08 - 00:03:11] KVcash的数据体积直接缩小了4-5倍
[00:03:11 - 00:03:15] 而模型的输出质量几乎没有肉眼可见的衰减
[00:03:15 - 00:03:16] 听到这里重点来了
[00:03:16 - 00:03:18] 很多人误以为数据变成3
[00:03:18 - 00:03:19] Bit
[00:03:19 - 00:03:22] 是因为显卡计算这些数字变得更快了
[00:03:22 - 00:03:23] 这是一个极大的误区
[00:03:23 - 00:03:25] 事实是现代GPU
[00:03:25 - 00:03:27] 比如H100里的Tensor Core
[00:03:27 - 00:03:30] 底层硬件支持的最小计算
[00:03:30 - 00:03:32] 精度通常是Int8或者FP8
[00:03:32 - 00:03:36] 这意味着哪怕你把数据压缩成了3bit
[00:03:36 - 00:03:38] 在进入计算核心之前
[00:03:38 - 00:03:43] 它依然得在片上缓存里被重新扩展成8bit才能进行运算
[00:03:43 - 00:03:45] 既然算子没有变快 那速度是从哪来的
[00:03:45 - 00:03:47] 答案是显存带宽
[00:03:47 - 00:03:48] Memory bandwidth
[00:03:48 - 00:03:50] 对于大模型推理来说
[00:03:50 - 00:03:53] 最大的瓶颈根本不是GPU的算力
[00:03:53 - 00:03:55] 而是数据的读写速度
[00:03:55 - 00:03:58] 这就好比一个极其高效的加工厂流水线
[00:03:58 - 00:03:59] 赚的飞快
[00:03:59 - 00:04:00] 但运送原材料的卡车
[00:04:00 - 00:04:02] 却堵在了高速公路上
[00:04:02 - 00:04:05] 显存和GPU高速缓存之间的数据搬运
[00:04:05 - 00:04:07] 就是那条拥挤的高速公路
[00:04:07 - 00:04:09] TurboQuant的SAM-BIT压缩
[00:04:09 - 00:04:11] 本质上是把原本需要装在
[00:04:11 - 00:04:12] 五辆卡车的数据
[00:04:12 - 00:04:14] 压缩到了一辆卡车里
[00:04:14 - 00:04:16] 虽然到了工厂还是要拆包还原
[00:04:16 - 00:04:19] 但数据在显存和GPU之间
[00:04:19 - 00:04:21] 传输的时间被大幅削减了
[00:04:21 - 00:04:22] 算力没有显至
[00:04:22 - 00:04:23] 带宽压力咒降
[00:04:23 - 00:04:27] 整体的推理速度自然就迎来了分倍级的提升
[00:04:27 - 00:04:29] 这就是TurboQuant最核心的工程价值
[00:04:29 - 00:04:32] 理解了显存带宽这个隐形天花板
[00:04:32 - 00:04:35] 你就能明白TurboQuant对整个AI行业的意义
[00:04:35 - 00:04:37] 对于云服务厂商来说
[00:04:37 - 00:04:39] KVCash体积缩小5倍
[00:04:39 - 00:04:41] 意味着同样的硬件可以并发处理
[00:04:41 - 00:04:44] 更多用户的请求更大的Batch Size
[00:04:44 - 00:04:46] 算力成本和显存压力大幅降低
[00:04:46 - 00:04:50] 最终必然会推动大模型API价格的进一步下探
[00:04:50 - 00:04:53] 更深远的影响在于这种算法层面的突破
[00:04:53 - 00:04:55] 也会倒逼硬件生态的眼睛
[00:04:55 - 00:04:57] 未来的AI芯片架构
[00:04:57 - 00:05:00] 很可能会针对极低未宽的数据搬运和解压
[00:05:00 - 00:05:02] 做出更深度的定制优化
[00:05:02 - 00:05:05] 所以TurboQuant不仅仅是一次简单的降维
[00:05:05 - 00:05:07] 它为大模型在端侧的部署
[00:05:07 - 00:05:09] 以及实时智能助手的普及
[00:05:09 - 00:05:11] 扫清了一个巨大的硬件障碍
[00:05:12 - 00:05:15] 好的 今天关于TurboQuant的硬核拆解就到这里
[00:05:15 - 00:05:19] 你认为目前阻碍大模型落地的最大技术瓶颈还有哪些?
[00:05:19 - 00:05:22] 欢迎在弹幕或评论区留下你的看法,我们一起讨论。
[00:05:22 - 00:05:25] 如果你觉得这期视频把问题讲清楚了,
[00:05:25 - 00:05:28] 别忘了点赞,投币,收藏,一键三连支持一下。
[00:05:28 - 00:05:30] 我是为什么叫QQ,我们下期再见。
