BV号：BV1vQb3zEENo
标题：BV1vQb3zEENo
链接：https://www.bilibili.com/video/BV1vQb3zEENo
识别语言：zh
语言置信度：1
分段数：252
生成时间：2026-08-30 00:32:29

[00:00:01 - 00:00:04] Imagine you are standing up to a short-eradical script
[00:00:04 - 00:00:07] that describes a scene between a person and your assistant A
[00:00:08 - 00:00:10] The script has the person asking for the assistant A
[00:00:10 - 00:00:12] but the reply of A disappeared
[00:00:13 - 00:00:18] Here you also have a powerful magic machine that can catch any text
[00:00:18 - 00:00:21] and provides a sensible prediction of which word comes to follow
[00:00:21 - 00:00:24] you could then finish the script by giving what you already have for the machine
[00:00:24 - 00:00:27] seeing that it predicts to start the reply of A
[00:00:27 - 00:00:29] and then repeat it several times
[00:00:29 - 00:00:32] 用�대요 crescendo 和 completando o dialog
[00:00:32 - 00:00:35] quando você interagir com chatbot
[00:00:35 - 00:00:36] é isso que está acontecendo
[00:00:37 - 00:00:39] um modelo de linguagem de grande escala
[00:00:39 - 00:00:41] é uma função matemática suficiticada
[00:00:41 - 00:00:42] que prevê qual palavra vem a seguir
[00:00:42 - 00:00:44] para qualquer pedaço de texto
[00:00:44 - 00:00:46] mas em vez de prever uma palavra com certeza
[00:00:46 - 00:00:49] o que ele faz é atribuir uma probabilidade
[00:00:49 - 00:00:51] a todas as palavras que podem vir a seguir
[00:00:51 - 00:00:53] para construir um chatbot
[00:00:53 - 00:00:55] o que você faz é colocar algum texto
[00:00:55 - 00:00:57] que descreva uma interação entre um usuário
[00:00:57 - 00:00:58] e um assistente de ipotético
[00:00:58 - 00:01:00] 你输入了使用者的讀字
[00:01:50 - 00:01:51] 控制的大手机
[00:01:52 - 00:01:54] 模型的形式
[00:01:54 - 00:01:55] 是完全准备
[00:01:55 - 00:01:57] 沐大于几起
[00:01:57 - 00:01:59] 或在对面前的相比
[00:01:59 - 00:02:01] 这号叫笔类
[00:02:01 - 00:02:03] 代表我们的称呼
[00:02:03 - 00:02:04] 而我们的移民
[00:02:04 - 00:02:06] 是我们的品牌
[00:02:06 - 00:02:08] 这是我们的笔类
[00:02:08 - 00:02:09] 而我们的移民
[00:02:09 - 00:02:11] 就是我们的边域
[00:02:11 - 00:02:13] 我们的移民
[00:02:13 - 00:02:14] 我们的移民
[00:02:14 - 00:02:16] 就是我们的接民
[00:02:16 - 00:02:17] 我们的移民
[00:02:17 - 00:02:19] 就是我们的摩托
[00:02:19 - 00:02:21] 我们的摩托
[00:02:21 - 00:02:22] 我们的摩托
[00:02:22 - 00:02:23] 我们的摩托
[00:02:23 - 00:02:24] 我们的摩托
[00:02:24 - 00:02:26] 很多的词的
[00:02:26 - 00:02:28] 一种词的训练
[00:02:28 - 00:02:30] 可能只是一个词的捧场
[00:02:30 - 00:02:31] 或者是一般的词
[00:02:31 - 00:02:32] 但无论如何
[00:02:32 - 00:02:33] 它们的方式
[00:02:33 - 00:02:34] 是达到词
[00:02:34 - 00:02:36] 不过是它的最后一个词
[00:02:36 - 00:02:38] 而是比较比较
[00:02:38 - 00:02:40] 它们的词的词的词
[00:02:40 - 00:02:43] 一个叫做
[00:02:43 - 00:02:45] 重拾的方式
[00:02:45 - 00:02:46] 是用来调整
[00:02:46 - 00:02:47] 所有的设计
[00:02:47 - 00:02:48] 所以它们的词
[00:02:48 - 00:02:49] 会更加的比较
[00:02:49 - 00:02:50] 比较比较
[00:02:50 - 00:02:51] 选择的词
[00:02:51 - 00:02:52] 是最后一个词
[00:02:52 - 00:02:53] 而不过是选择
[00:02:53 - 00:02:55] 选择任何一个
[00:02:55 - 00:02:58] 當你做這事給很多很多的例子
[00:02:58 - 00:03:00] 不只是模特兒開始給你更多的核心
[00:03:00 - 00:03:01] 更多的核心
[00:03:01 - 00:03:03] 在訓練的數量
[00:03:03 - 00:03:04] 也開始給你更多的核心
[00:03:04 - 00:03:06] 也開始給你更多的核心
[00:03:06 - 00:03:07] 在 text 上他從未見過
[00:03:09 - 00:03:12] 因為有很多的動畫和訓練數量
[00:03:12 - 00:03:14] 在大量的大量的訓練
[00:03:14 - 00:03:16] 在大量的訓練的數量
[00:03:16 - 00:03:19] 是可以讓你掉下口罩
[00:03:19 - 00:03:20] 來畫畫
[00:03:20 - 00:03:22] 你能夠做到一百萬多的
[00:03:22 - 00:03:25] 數量和每一秒的動畫
[00:03:25 - 00:03:29] 你認為要做所有的工作
[00:03:29 - 00:03:31] 在訓練中的更多的語言模式
[00:03:31 - 00:03:33] 一年多吧
[00:03:33 - 00:03:36] 可能十多年
[00:03:36 - 00:03:38] 其實
[00:03:38 - 00:03:40] 答案是更多
[00:03:40 - 00:03:43] 更多 than 100 億的年
[00:03:43 - 00:03:48] 這只是一部分
[00:03:48 - 00:03:50] 這個整個程度是 pre 訓練
[00:03:50 - 00:03:52] 目標是在網上的一部分
[00:03:52 - 00:03:54] 是很不同的目標
[00:03:54 - 00:03:56] 不同的目的是有好助手
[00:03:56 - 00:03:57] 在此
[00:03:57 - 00:03:58] 說到這
[00:03:58 - 00:04:00] ShetBots 通過另一個訓練
[00:04:00 - 00:04:01] 同樣重要
[00:04:01 - 00:04:03] 學習用了訓練
[00:04:03 - 00:04:04] 和人工的訓練
[00:04:04 - 00:04:05] 工作人員會
[00:04:05 - 00:04:06] 提供預算
[00:04:06 - 00:04:07] 和問題用的訓練
[00:04:07 - 00:04:08] 而他們的衝突
[00:04:08 - 00:04:09] 更改變了
[00:04:09 - 00:04:10] 模式的數據
[00:04:10 - 00:04:12] 令他們更加
[00:04:12 - 00:04:13] 提供預算
[00:04:13 - 00:04:14] 讓他們喜歡的
[00:04:15 - 00:04:17] 回到 pre-training
[00:04:17 - 00:04:18] 這數量
[00:04:18 - 00:04:20] 只是有可能
[00:04:20 - 00:04:21] 用用了
[00:04:21 - 00:04:23] 用戶
[00:04:23 - 00:04:26] 來搭載很多很多的行動
[00:04:26 - 00:04:28] 叫做GPUs
[00:04:28 - 00:04:30] 但不像所有的模式
[00:04:30 - 00:04:32] 都可以變成簡單的
[00:04:32 - 00:04:33] 在2017年
[00:04:33 - 00:04:35] 大部分的模式
[00:04:35 - 00:04:37] 會通過一次過
[00:04:37 - 00:04:38] 但在此
[00:04:38 - 00:04:40] Google的研究群組
[00:04:40 - 00:04:42] 就能成為一個新模式
[00:04:42 - 00:04:44] 轉換模式
[00:04:44 - 00:04:46] 不論是一開始
[00:04:46 - 00:04:48] 它們都會在一開始
[00:04:48 - 00:04:50] 轉換模式
[00:04:50 - 00:04:52] 第一步在轉換模式
[00:04:52 - 00:04:54] 而在其他模式的理由,
[00:04:54 - 00:04:55] 是一句話,
[00:04:55 - 00:04:57] 是一張短訊的一張短訊
[00:04:57 - 00:04:58] 這就是因為,
[00:04:58 - 00:05:00] 訓練程式只能夠用到
[00:05:00 - 00:05:01] 有的數量,
[00:05:01 - 00:05:02] 所以,
[00:05:02 - 00:05:03] 需要某種方式
[00:05:03 - 00:05:04] 去訓練,
[00:05:04 - 00:05:05] 訓練的數量
[00:05:05 - 00:05:07] 和每一張的數量
[00:05:07 - 00:05:08] 都可以訓練
[00:05:08 - 00:05:09] 訓練的一張短訊
[00:05:09 - 00:05:11] 這就是
[00:05:11 - 00:05:13] 讓其變成一種
[00:05:13 - 00:05:14] 是一種特別的
[00:05:14 - 00:05:15] 訓練的方式
[00:05:15 - 00:05:16] 叫做
[00:05:16 - 00:05:17] 這筆記者
[00:05:17 - 00:05:19] 將訓練的一張短訊
[00:05:19 - 00:05:21] 訓練的一張短訊
[00:05:21 - 00:05:24] 將它們的存在的一樣的姿勢
[00:05:24 - 00:05:26] 將會存在到標的程度
[00:05:27 - 00:05:30] 例如 數字的存在的畫面
[00:05:30 - 00:05:33] 可能是與你的基礎的變速
[00:05:33 - 00:05:35] 接著它們的存在的變速
[00:05:35 - 00:05:37] 會更有能量
[00:05:38 - 00:05:39] 傳統網絡常常存在
[00:05:39 - 00:05:41] 一樣的合作 中的需要
[00:05:41 - 00:05:42] 例如 傳統網絡
[00:05:42 - 00:05:44] 即使是 合成的角色
[00:05:44 - 00:05:46] 最容易動作
[00:05:46 - 00:05:47] 搭配更有心性的
[00:05:47 - 00:05:49] プラ inter 版的方式
[00:05:49 - 00:05:50] 傳統網絡時
[00:05:50 - 00:05:52] 在这些数字里,它们继续地会发生
[00:05:52 - 00:05:54] 这两个基本的行动。
[00:05:54 - 00:05:56] 这时,我们的希望是
[00:05:56 - 00:05:58] 每个数字的数字都能够被拥有
[00:05:58 - 00:06:00] 来挣扎任何的重要信息
[00:06:00 - 00:06:02] 来做出一个需要的预测
[00:06:02 - 00:06:04] 需要的预测
[00:06:04 - 00:06:06] 在其中一个数字的数字
[00:06:06 - 00:06:08] 在结束的结束中,
[00:06:08 - 00:06:10] 我们的终于成为
[00:06:10 - 00:06:12] 最后一个数字的数字
[00:06:12 - 00:06:14] 我们的终于成为
[00:06:14 - 00:06:16] 最后一个数字的数字
[00:06:16 - 00:06:18] 我们的终于成为
[00:06:18 - 00:06:20] 來提供一個預計的下一句
[00:06:22 - 00:06:23] 再次,預計的模式
[00:06:23 - 00:06:25] 是一種可能性
[00:06:25 - 00:06:26] 為每個方式的下一句
[00:06:27 - 00:06:28] 雖然有很多研究者
[00:06:28 - 00:06:29] 設計了一個方式的
[00:06:29 - 00:06:31] 方式的方式
[00:06:31 - 00:06:33] 但要明白
[00:06:33 - 00:06:34] 這個方式的行動
[00:06:34 - 00:06:35] 是一個方式
[00:06:35 - 00:06:38] 由於有幾百萬的
[00:06:38 - 00:06:39] 數字的方式
[00:06:39 - 00:06:41] 正在訓練
[00:06:41 - 00:06:43] 這會令它
[00:06:43 - 00:06:43] 很難解釋
[00:06:43 - 00:06:44] 為什麼模式
[00:06:44 - 00:06:46] 是一個方式
[00:06:46 - 00:06:46] 正在訓練的方式
[00:06:46 - 00:06:53] 我們可以看到,當我們用預計的模式來完成一種準備,
[00:06:53 - 00:06:57] 它們的語言是非常有效,非常有趣,
[00:06:57 - 00:06:58] 而且也很方便
[00:06:58 - 00:07:06] 如果你是新的觀眾,
[00:07:06 - 00:07:07] 你比較有趣的,
[00:07:07 - 00:07:09] 在於如何轉換方式的資料,
[00:07:09 - 00:07:11] 你會看到一個新的資料
[00:07:11 - 00:07:13] 一開始會有一個新的資料
[00:07:13 - 00:07:15] 我們會看到一個新的資料
[00:07:15 - 00:07:17] 我們會看到一個新的資料
[00:07:17 - 00:07:19] 我們會看到一個新的資料
[00:07:19 - 00:07:21] 在一個轉換程式
[00:07:21 - 00:07:23] 但也在我第二頻道
[00:07:23 - 00:07:25] 我寫了一堆課
[00:07:25 - 00:07:27] 在這期間寫了
[00:07:27 - 00:07:29] TNG和MUNIK
[00:07:29 - 00:07:31] 我喜歡的影片
[00:07:31 - 00:07:33] 是一段話題
[00:07:33 - 00:07:35] 但我會讓你們選擇
