BV号：BV1B6A2zpEFM
标题：BV1B6A2zpEFM
链接：https://www.bilibili.com/video/BV1B6A2zpEFM
识别语言：zh
语言置信度：1
分段数：167
生成时间：2026-08-29 21:04:04

[00:00:00 - 00:00:02] 大家好 我是为什么叫QQ
[00:00:02 - 00:00:05] 想象一下 如果高考前出题 老师突然宣布
[00:00:05 - 00:00:07] 我们不再用这套卷子来评估学生了
[00:03:22 - 00:03:26] SWEBinch的题目都来自公开的GateHub项目
[00:03:26 - 00:03:31] 而大模型的训练数据就是从互联网上抓取的海量公开信息
[00:03:31 - 00:03:33] 其中自然也包括了这些GateHub项目
[00:03:33 - 00:03:36] 这就意味着模型在考试之前
[00:03:36 - 00:03:38] 可能已经读过标准答案了
[00:03:38 - 00:03:40] OpenAI做了一个非常有趣的实验
[00:03:40 - 00:03:42] 他们称之为自动化红队测试
[00:03:42 - 00:03:45] 他们用GPT5去引诱其他模型
[00:03:45 - 00:03:48] 看看他们能不能回忆起题目的具体细节
[00:03:48 - 00:03:49] 结果令人震惊
[00:03:49 - 00:03:53] 几乎所有顶尖模型都在不同程度上表现出了记忆
[00:03:53 - 00:03:55] 比如在粘购项目的一个任务里
[00:03:55 - 00:03:58] 只需要给GBT 5.2一个非常简短的提示
[00:03:58 - 00:04:03] 它就能几乎一字不差地复现出人类程序员当年写的修复代码
[00:04:03 - 00:04:06] 连哪个文件 哪个类 哪个函数都说得清清楚楚
[00:04:06 - 00:04:08] 更夸张的是Cloud Opus 4.5
[00:04:08 - 00:04:10] 在Astropy项目的一个任务里
[00:04:10 - 00:04:14] 它不仅能准确说出修改的文件和函数
[00:04:14 - 00:04:17] 甚至能逐字逐句地背出代码里的注释
[00:04:17 - 00:04:18] JAM935 Flash也一样
[00:04:18 - 00:04:21] 在只告诉他任务ID的情况下
[00:04:21 - 00:04:23] 他能完整复述出任务描述
[00:04:23 - 00:04:26] 并生成和标准答案一模一样的代码
[00:04:26 - 00:04:28] 连政责表达式的写法都分毫不差
[00:04:28 - 00:04:30] 这就好比你问一个考生
[00:04:30 - 00:04:32] 作文题是关于呈信的
[00:04:32 - 00:04:34] 他不仅能备出满分作文
[00:04:34 - 00:04:36] 还能说出是哪一年哪套模拟卷里的题
[00:04:36 - 00:04:38] 这已经不是在测试能力了
[00:04:38 - 00:04:39] 而是在考验记忆里
[00:04:39 - 00:04:41] 这些发现说明了什么
[00:04:41 - 00:04:44] 说明在SWE Bench Verified这个榜单上
[00:04:44 - 00:04:47] 模型分数的提升越来越不能代表
[00:04:47 - 00:04:48] 它真实编程能力的进步
[00:04:48 - 00:04:51] 而可能只是因为它在训练时
[00:04:51 - 00:04:52] 刷了更多相关的题
[00:04:52 - 00:04:55] 所以OpenAI做出了一个果断的决定
[00:04:55 - 00:04:57] 停止使用这个被污染的基准
[00:04:57 - 00:05:00] 这其实揭示了AI发展中一个深刻的困境
[00:05:00 - 00:05:02] 我们如何才能公正准确的
[00:05:02 - 00:05:03] 评估一个模型的能力
[00:05:03 - 00:05:06] 这是一个永恒的猫鼠游戏
[00:05:06 - 00:05:08] 研究人员设计出精妙的评测基准
[00:05:08 - 00:05:11] 而模型开发者有意或无意的通过
[00:05:11 - 00:05:13] 训练数据把这些基准污染掉
[00:05:13 - 00:05:15] 导致评测失效
[00:05:15 - 00:05:18] 然后研究人员又得去寻找新的未被污染的净土
[00:05:18 - 00:05:19] 那么未来怎么办
[00:05:19 - 00:05:21] OpenAI给出了两个方向
[00:05:21 - 00:05:23] 第一是推荐一个T代品
[00:05:23 - 00:05:25] SWE Bench Pro
[00:05:25 - 00:05:28] 这是一个更新的目前看来污染程度更低的基准
[00:05:28 - 00:05:29] 虽然也不是完美的
[00:05:29 - 00:05:31] 但至少模型还不能直接背答案
[00:05:31 - 00:05:33] 第二也是更长远的方向
[00:05:33 - 00:05:35] 是建立私有的原创的基准
[00:05:35 - 00:05:38] 比如一个叫JDP-VAL的项目
[00:05:38 - 00:05:41] 它的任务是由领域专家私下编写的
[00:05:41 - 00:05:44] 不公开从源头上杜绝了数据污染的可能
[00:05:44 - 00:05:47] 然后再由经过培训的审核员
[00:05:47 - 00:05:50] 对模型的解决方案进行全面的整体的评估
[00:05:50 - 00:05:53] 而不是简单的依赖自动化测试
[00:05:53 - 00:05:54] 这种方法虽然成本极高
[00:05:54 - 00:05:58] 但可能是未来衡量AI真实能力的唯一可靠途径
[00:05:58 - 00:06:03] 从SWEBench的诞生到Verified版本的精益求精
[00:06:03 - 00:06:06] 再到如今因为数据污染而被OpenAI抛弃
[00:06:06 - 00:06:09] 我们看到了AI评测领域的一场持续进化和博弈
[00:06:09 - 00:06:11] 这不仅仅是一个技术问题
[00:06:11 - 00:06:14] 它关乎我们如何信任和理解我们创造的
[00:06:14 - 00:06:17] 当排行榜上的数字不再可靠
[00:06:17 - 00:06:19] 我们需要更深入更诚实的审视
[00:06:19 - 00:06:21] OpenAI这次的自爆加丑
[00:06:21 - 00:06:24] 虽然揭示了行业面临的尴尬
[00:06:24 - 00:06:27] 但也为构建更科学更可信的AI评估体系
[00:06:27 - 00:06:29] 卖出了重要的一步
[00:06:29 - 00:06:31] 你认为我们应该如何为AI
[00:06:31 - 00:06:33] 建立一个无法作弊的考场
[00:06:33 - 00:06:35] 欢迎在评论区留下你的看法
[00:06:35 - 00:06:36] 如果你喜欢这期内容
[00:06:36 - 00:06:38] 别忘了投币点赞
[00:06:38 - 00:06:40] 关注分享我们下期再见
