BV号：BV1roKC6yE6k
标题：BV1roKC6yE6k
链接：https://www.bilibili.com/video/BV1roKC6yE6k
识别语言：zh
语言置信度：1
分段数：180
生成时间：2026-08-29 18:54:37

[00:00:00 - 00:00:02] 大家好 我是为什么叫QQ
[00:00:02 - 00:00:04] AI写react测试权率就算合格吗?
[00:01:38 - 00:01:41] 而是所有配置的总体通过率都没有超过一半
[00:01:41 - 00:01:43] 这反映出当前AI编码系统在
[00:01:43 - 00:01:46] 处理复杂前端工程时的普遍困境
[00:01:46 - 00:01:48] 他们在做体业和做工程之间
[00:01:48 - 00:01:50] 还有一道巨大的轰钩
[00:01:50 - 00:01:52] 先看最理谱的一组数据
[00:01:52 - 00:01:53] FableXI
[00:01:53 - 00:01:55] 写新功能Rite任务
[00:01:55 - 00:01:58] 它能做到56.3%
[00:01:58 - 00:01:59] 这个成绩其实相当不错
[00:01:59 - 00:02:01] 但是到了fix任务
[00:02:01 - 00:02:03] 也就是修复先有代码中的问题时
[00:02:03 - 00:02:06] 成功率直接调到了24.2%
[00:02:06 - 00:02:09] 哪怕换成它最好的fix配置max
[00:02:09 - 00:02:11] 也只有26.7%
[00:02:11 - 00:02:14] 总分最高的soul总体通过率43.1%
[00:02:14 - 00:02:16] fix任务最高也只有33.3%
[00:02:16 - 00:02:18] 为什么差距这么大
[00:02:18 - 00:02:20] Ret至少有一个明确目标
[00:02:20 - 00:02:22] 也就是说在这组Ret的任务里
[00:02:22 - 00:02:24] 它成功完成了超过一半的尝试
[00:02:24 - 00:02:27] Agent可以顺着清晰的意图去构建股价
[00:02:27 - 00:02:29] write的行为目标更明确
[00:02:29 - 00:02:32] 但它仍然必须同时通过隐藏测试和react的doctor
[00:02:32 - 00:02:35] fix更麻烦 题目甚至不告诉你问题在哪儿
[00:02:35 - 00:02:39] 你得先诊断再重构 还不能碰坏原来的行为
[00:02:39 - 00:02:41] 在真实的软件维护中
[00:02:41 - 00:02:44] 绝大多数工作并不是从零开始建罗马
[00:02:44 - 00:02:47] 而是在移动还在助人的老楼里换水管
[00:02:47 - 00:02:51] 现在的agent都有搜索读取整个项目文件的能力
[00:02:51 - 00:02:54] 问题是它很难稳定的判断哪些代码真的相关
[00:02:54 - 00:02:57] 以及一次修改会沿着依赖关系影响到哪里
[00:02:57 - 00:03:01] 它可能会把不相关的组件也改掉修了一个bug
[00:03:01 - 00:03:03] 又制造了三个新bug
[00:03:03 - 00:03:06] 它缺乏那种迁移发而动全身的工程直觉
[00:03:06 - 00:03:09] 这种直觉是人类工程师在
[00:03:09 - 00:03:11] 无数次线上事故中摔打出来的
[00:03:11 - 00:03:14] 但真正危险还不是通过率低
[00:03:14 - 00:03:15] 在失败的right尝试里
[00:03:15 - 00:03:18] 65.3%是reacted doctor过了
[00:03:18 - 00:03:20] 但行为测试没过
[00:03:20 - 00:03:22] 这很好理解他没懂你的意思
[00:03:22 - 00:03:23] 或者逻辑本身写错了
[00:03:23 - 00:03:25] 行为测试直接挂掉
[00:03:25 - 00:03:26] 但在失败的FIX尝试里
[00:03:26 - 00:03:29] 60.8%正好相反
[00:03:29 - 00:03:31] 行为测试过了但ReactDoctor没过
[00:03:31 - 00:03:33] 也就是说AI给你修了一个bug
[00:03:33 - 00:03:34] 测试也虑了
[00:03:34 - 00:03:36] 你高高兴兴合并了代码
[00:03:36 - 00:03:38] 但实际上他可能悄悄把
[00:03:38 - 00:03:40] 派生状态塞进Uspec
[00:03:40 - 00:03:42] 制造不必要的状态同步
[00:03:42 - 00:03:43] 甚至带来额外渲染
[00:03:43 - 00:03:45] 或者用数组下标Dunlkey
[00:03:45 - 00:03:47] 一旦列表发生重新排序
[00:03:47 - 00:03:49] React可能附用错误的组件身份
[00:03:49 - 00:03:50] 和局部状态
[00:03:50 - 00:03:54] 在比如他可能会在渲染周期中直接修改Ref的值
[00:03:54 - 00:03:55] 带来静态条件
[00:03:55 - 00:03:59] 更反直觉得是这些问题并不主要是代码风格
[00:03:59 - 00:04:02] 在Reactbench统计的1194个新增问题里
[00:04:02 - 00:04:05] 77.5%属于Bug或者安全问题
[00:04:05 - 00:04:08] 性能问题反而只占14.2%
[00:04:08 - 00:04:10] 所以ReactDoctor拦下来的
[00:04:10 - 00:04:11] 不只是写的不好看
[00:04:11 - 00:04:13] 而是可能真的会出事
[00:04:13 - 00:04:16] 比如B包陷阱导致读取到旧的状态
[00:04:16 - 00:04:18] 或者不安全的DOM操作
[00:04:18 - 00:04:20] 带来了XSS漏洞
[00:04:20 - 00:04:22] 普通行为测试不一定覆盖这些问题
[00:04:22 - 00:04:25] 他们可能演变成难以复线的生产缺陷
[00:04:25 - 00:04:26] 你看着测试权率
[00:04:26 - 00:04:27] 觉得稳如老狗
[00:04:27 - 00:04:30] 实际上代码里可能已经埋下了地雷
[00:04:30 - 00:04:32] 看到这里你可能会问
[00:04:32 - 00:04:34] 那我把Ether的拉满让他多想一会呢
[00:04:34 - 00:04:38] 毕竟现在很多平台都推出了深度思考模式
[00:04:38 - 00:04:41] 花更多的token换取更严谨的推理
[00:04:41 - 00:04:41] 是不是
[00:04:41 - 00:04:43] 只要我舍得花钱
[00:04:43 - 00:04:45] AI就能变得像资深架构师一样靠谱
[00:04:45 - 00:04:47] 数据并不支持这么简单的结论
[00:04:47 - 00:04:50] 飞波从X High升到Max
[00:04:50 - 00:04:54] 每次运行的平均成本从9.05美元涨到13.50美元
[00:04:54 - 00:04:57] 分数反而低了1.2个百分点
[00:04:57 - 00:04:58] So更有意思
[00:04:58 - 00:05:01] Medium和X High都是43.1%
[00:05:01 - 00:05:03] 而且Medium还更便宜
[00:05:03 - 00:05:04] 这不代表算力无用
[00:05:04 - 00:05:06] 它只说明一件事
[00:05:06 - 00:05:07] 在工程任务里
[00:05:07 - 00:05:10] 更高Effort没有稳定转化为更高分数
[00:05:10 - 00:05:14] 一种可能是更多搜索和修改增加了误改范围
[00:05:14 - 00:05:17] 但ReactBench没有提供足够证据确认具体原因
[00:05:17 - 00:05:20] 选配置必须按具体任务实测
[00:05:20 - 00:05:22] 不能盲目迷信越贵越好
[00:05:22 - 00:05:24] 这才是ReactBench最值得讨论的地方
[00:05:24 - 00:05:27] AI像一个速度极快的实习生
[00:05:27 - 00:05:28] 它能迅速提交代码
[00:05:28 - 00:05:30] 但你不能让它自己负责验收
[00:05:30 - 00:05:31] 所以关键其实不是
[00:05:31 - 00:05:33] AI到底会不会写代码
[00:05:33 - 00:05:35] 而是谁来定义代码是否合格
[00:05:35 - 00:05:38] 更实际的做法是把开发流程改成这样
[00:05:38 - 00:05:39] 生成
[00:05:39 - 00:05:40] 确定性验证
[00:05:40 - 00:05:42] 自动修复在验证
[00:05:42 - 00:05:45] 在这个避环里,验证层必须是确定性的
[00:05:45 - 00:05:47] 它可以包括类型检查
[00:05:47 - 00:05:51] 行为测试和像ReactDoctor这样的深度静态分析
[00:05:51 - 00:05:54] 只有建立起这些户栏,AI才能真正融入生产环境
[00:05:54 - 00:05:58] 人类工程师的职责就是不断加固这些户栏
[00:05:58 - 00:06:01] 把这些经验写成机器能够执行的规则
[00:06:01 - 00:06:05] 验证层越可靠,我们就越能把更多生成工作交给AI
[00:06:05 - 00:06:07] 但关键改动仍然需要人工review
[00:06:07 - 00:06:09] 因为任何户栏都有覆盖不到的地方
[00:06:09 - 00:06:12] 这就是我们所说的带约束的生成
[00:06:12 - 00:06:14] reactbench至少说明
[00:06:14 - 00:06:18] 当前Agent还不足以可靠的无人监督合并react代码
[00:06:18 - 00:06:22] 工程师的价值将从敲代码部分转向定义验收标准
[00:06:22 - 00:06:23] AI可以写代码
[00:06:23 - 00:06:26] 但不能让生成器自己负责最终验收
[00:06:26 - 00:06:28] 我们需要学会管理和约束这些Agent
[00:06:28 - 00:06:30] 你在用AI辅助开发时
[00:06:30 - 00:06:33] 是如何搭建你的验证户栏的
[00:06:33 - 00:06:35] 欢迎在评论区分享你的工程事件
[00:06:35 - 00:06:38] 如果你觉得这期硬核拆解对你有帮助
[00:06:38 - 00:06:41] 别忘了点赞投币收藏,一键三连
[00:06:41 - 00:06:43] 我是为什么叫QQ,我们下期见
