BV号：BV1N7DuB8ESv
标题：BV1N7DuB8ESv
链接：https://www.bilibili.com/video/BV1N7DuB8ESv
识别语言：zh
语言置信度：1
分段数：377
生成时间：2026-08-29 07:33:18

[00:00:00 - 00:00:01] 在一个普通的周三下午
[00:04:17 - 00:04:19] 过这个PlayingCryptoJaze
[00:04:19 - 00:04:21] 既然不调用它怎么起作用呢
[00:04:21 - 00:04:25] 把按载于NoDays生态里的一个古老而致命的机制
[00:04:25 - 00:04:27] 安装器脚本PostingStore
[00:04:27 - 00:04:30] 只要你引入了PlayingCryptoJaze
[00:04:30 - 00:04:35] 在你的机器执行NPM install或者CIF服务器执行NPMCI的那一瞬间
[00:04:35 - 00:04:38] 这个包里的PostingStore指令就会被激活
[00:04:38 - 00:04:42] 它会在后台静默唤醒一个叫Setup.jaze的脚本
[00:04:42 - 00:04:43] 这个setup
[00:04:43 - 00:04:46] jace根本不关心你的业务代码写了什么
[00:04:46 - 00:04:47] 他只干一件事
[00:04:47 - 00:04:49] 立刻连接攻击者的CR服务器
[00:04:49 - 00:04:52] 目前公开的IOC情报指向了一个叫
[00:04:52 - 00:04:56] svercloc.com的域名以及特定的IP和端口
[00:04:56 - 00:04:58] 连上之后他会探测你的操作系统
[00:04:58 - 00:04:59] 你是macOS
[00:04:59 - 00:05:01] windows还是linux
[00:05:01 - 00:05:03] 确认之后他会根据你的系统
[00:05:03 - 00:05:06] 从同一个路径下发第二阶段的恶意再赫
[00:05:06 - 00:05:09] 也就是说攻击者根本不是在临时拼凑代码
[00:05:09 - 00:05:13] 他们早就准备好了一整套覆盖全平台的远控武器库
[00:05:13 - 00:05:15] 更觉得是他的反取症动作
[00:05:15 - 00:05:18] 做完之后为了延缓被安全工程师发现的时间
[00:05:18 - 00:05:21] 这个恶意脚本执行完毕后会自我销毁关键文件
[00:05:21 - 00:05:24] 甚至把No的下发现Modules里面那个带毒的Package
[00:05:24 - 00:05:27] Jason替换成一个看起来干干净净的版本
[00:05:27 - 00:05:31] 当你事后去排查故障 翻看本地文件时
[00:05:31 - 00:05:33] 就像什么都没发生过一样
[00:05:33 - 00:05:36] 他把Postin's doll曾经存在过的痕迹抹得一干二净
[00:05:36 - 00:05:38] 你可能会问这么明目张胆的投毒
[00:05:38 - 00:05:40] 张南的投毒 难道社区没人管吗
[00:05:40 - 00:05:43] 社区当然有监控 而且反应非常快
[00:05:43 - 00:05:46] 根据官方事后说明和多方交叉验证的时间线
[00:05:46 - 00:05:49] 攻击者在3月30日先发布了
[00:05:49 - 00:05:51] 带毒的底层依赖Playing CryptoJace
[00:05:51 - 00:05:53] 这是在铺垫弹药
[00:05:53 - 00:05:56] 随后在3月31日0.21分
[00:05:56 - 00:05:59] 投出了重磅炸弹AXU-SET1 14.1
[00:05:59 - 00:06:01] 大约40分钟后
[00:06:01 - 00:06:05] 又发布了兼顾老用户的带毒版本AXU-SET0.30.4
[00:06:05 - 00:06:09] 最终在凌晨3点15分到3点25分之间
[00:06:09 - 00:06:11] 这些恶意版本被NPM官方紧急下架
[00:06:11 - 00:06:14] 请记住这个时间差大约3个小时
[00:06:14 - 00:06:16] 在不同厂商的报告里
[00:06:16 - 00:06:19] 这个时间可能是2小时53分
[00:06:19 - 00:06:20] 也可能是3小时20分
[00:06:20 - 00:06:22] 但量级都在3小时左右
[00:06:22 - 00:06:25] 很多人觉得3个小时就被拿下了
[00:06:25 - 00:06:27] 看来防御机制很有效嘛
[00:06:27 - 00:06:28] 如果你这么想
[00:06:28 - 00:06:31] 那就太低估现代自动化运萎的威力了
[00:06:31 - 00:06:34] 在Devox时代机器拉取代码是不睡觉的
[00:06:34 - 00:06:37] 全球无数的自动化构建流水线
[00:06:37 - 00:06:40] 数以万计的Dalker镜像打包任务
[00:06:40 - 00:06:44] 不计奇数的开发者在做早晨的第一期代码同步
[00:06:44 - 00:06:45] 只要你的依赖配置文件
[00:06:45 - 00:06:47] 比如Package.json
[00:06:47 - 00:06:50] 理写了允许自动拉取小版本更新
[00:06:50 - 00:06:52] 比如用了货,符号
[00:06:52 - 00:06:54] 这三个小时就足够让木马顺着网线
[00:06:54 - 00:06:57] 爬进那些防守最严密的跨国企业内部网络
[00:06:57 - 00:07:00] 在依赖分发系统里三小时的窗口期
[00:07:00 - 00:07:03] 不是小事故是一场大面积的合幅社
[00:07:03 - 00:07:05] 讲完了技术我们再往深层挖一层
[00:07:05 - 00:07:07] 这群黑客到底是谁
[00:07:07 - 00:07:08] 他们为什么能得手
[00:07:08 - 00:07:09] 在归因层面
[00:07:09 - 00:07:12] Google的威胁情报团队将这次
[00:07:12 - 00:07:14] 活动指向了与朝鲜有关联的
[00:07:14 - 00:07:16] 威胁集群UNC 1069
[00:07:16 - 00:07:17] 与此同时
[00:07:17 - 00:07:19] 微软的威胁情报团队
[00:07:19 - 00:07:21] 则将其归因为Safire Sleet
[00:07:21 - 00:07:23] 这两个代号其实指向的是
[00:07:23 - 00:07:26] 同一批或高度重合的攻击者
[00:07:26 - 00:07:28] 这些国家籍或准国家籍黑客
[00:07:28 - 00:07:30] 过去可能用灵类漏洞打穿防火墙
[00:07:30 - 00:07:32] 但现在他们发现了一个更脆弱
[00:07:32 - 00:07:35] 收益更高的突破口,程序源的认知
[00:07:35 - 00:07:40] Jason Solomon这位Axios的核心维护者,在事后坦诚的确认
[00:07:40 - 00:07:43] 自己是被高度定制的社会工程学骗局,攻陷了设备
[00:07:43 - 00:07:47] 导致发布评证被盗,这就引出了我们今天最核心的命题
[00:07:47 - 00:07:50] 为什么连行业顶尖的高手也会中招?
[00:07:50 - 00:07:52] AI在里面到底做了什么?
[00:07:52 - 00:07:56] 传统社工,也就是我们常说的网络诈骗,靠的是手艺火
[00:07:56 - 00:07:59] 广撒网发钓鱼邮件,编造低裂的借口
[00:07:59 - 00:08:02] 它的破绽很多,有点惊艳的人一眼就能看穿
[00:08:02 - 00:08:07] 但在AI的加持下,社会工程学正在变成流水线上的工业化产品
[00:08:07 - 00:08:11] AI把可信度做成了一种可以规模化生成的组件
[00:08:11 - 00:08:13] 我们回到开头那个可怕的场景
[00:08:13 - 00:08:18] 攻击者并没有黑进受害者的原码库,也没有攻破CI平台
[00:08:18 - 00:08:20] 他们精心设计了四个信任跳板
[00:08:20 - 00:08:22] 第一跳,身份可信化
[00:08:22 - 00:08:26] 借助大模型攻击者可以瞬间生成一套完美的措辞
[00:08:26 - 00:08:29] 高度符合特定行业人士的语言风格
[00:08:29 - 00:08:31] 甚至利用AI换脸和声音克龙技术
[00:08:31 - 00:08:33] 伪造一段只有几秒钟
[00:08:33 - 00:08:35] 但极具说服力的视频或语音
[00:08:35 - 00:08:38] 名片履历、社交网络关系全部避缓
[00:08:38 - 00:08:41] 让你觉得对方从可疑的陌生人
[00:08:41 - 00:08:43] 变成了行业大佬第二跳
[00:08:43 - 00:08:44] 场景组织化
[00:08:44 - 00:08:47] 过去片子是在微信或邮件里私聊
[00:08:47 - 00:08:49] 这次他们把你拉进了一个
[00:08:49 - 00:08:51] 可长期运营的公司环境
[00:08:51 - 00:08:53] 那些以假乱真的slack频道
[00:08:53 - 00:08:55] 那些插科打混的同事
[00:08:55 - 00:08:57] 背后可能都是AI脚本在自动跑
[00:08:57 - 00:09:00] 彻底瓦解了受害者潜意识里的防备
[00:09:00 - 00:09:03] 这是对群体认同感的极致利用
[00:09:03 - 00:09:05] 第三条 施压极限化
[00:09:05 - 00:09:06] 把受害者拉入会议
[00:09:06 - 00:09:08] 利用阴视频会议的实施性
[00:09:08 - 00:09:11] 制造不装更新就开不了会的窘境
[00:09:11 - 00:09:12] 在多人的注释下
[00:09:12 - 00:09:16] 人类的社会从重心理和解决眼下麻烦的极造感
[00:09:16 - 00:09:18] 会压倒理性的安全审查
[00:09:18 - 00:09:20] 第四条 核弹引爆
[00:09:20 - 00:09:23] 一个好心的点击交出了NPM Token
[00:09:23 - 00:09:24] 变成了全网偷渡
[00:09:24 - 00:09:26] 其实早在2024年
[00:09:26 - 00:09:30] 美国联邦调查局FBI就公开提示过
[00:09:30 - 00:09:35] 犯罪分子正在利用AI强化钓鱼,涉功于语音视频科龙骗局。
[00:09:35 - 00:09:36] 这意味着什么?
[00:09:36 - 00:09:41] 意味着,在今天,看上去向你老板、向你客户、向你合作方的人,
[00:09:41 - 00:09:47] 在工程架构上应该被直接视为高风险输入,而不是可靠的身份评证。
[00:09:47 - 00:09:54] 这次,攻击明确地告诉我们,传统的代码审计思维天天盯着业务逻辑,盯着漏洞寒树,
[00:09:54 - 00:09:59] 盯着代码Dev,在面对这种降维打击时,几乎是全盘失效的。
[00:09:59 - 00:10:03] 面对这种拿着AI武器把人心当作漏洞来打的黑客
[00:10:03 - 00:10:05] 我们真的束手无策了吗?
[00:10:05 - 00:10:05] 并不是
[00:10:05 - 00:10:09] 技术的问题最终还是要用工程的手段来兜底
[00:10:09 - 00:10:11] 如果你是企业的开发团队
[00:10:11 - 00:10:14] 运为人员或者安全负责人请务必把接下来的内容
[00:10:14 - 00:10:16] 当做内部操作手册记录下来
[00:10:16 - 00:10:19] 我们必须把防线从单纯的代码层
[00:10:19 - 00:10:21] 扩展到系统乃至认知层
[00:10:21 - 00:10:24] 首先是紧急处置的三版府
[00:10:24 - 00:10:26] 别以为在微信群里转发一句
[00:10:26 - 00:10:28] 大家赶紧把Exos推回老版本就完事了
[00:10:28 - 00:10:31] 你要按内网主机已经实现的最高标准来处理
[00:10:31 - 00:10:41] 查所文件 立刻全盘扫描你的package-lock.jsonyarn.lockpnpm.lock.yaml
[00:10:41 - 00:10:44] 只要这里面出现过XOSET1 14.1
[00:10:44 - 00:10:47] XOSET0 30.4或者那个
[00:10:47 - 00:10:49] 幽灵般的planecryptoJS
[00:10:49 - 00:10:51] 只要命中哪怕马上就删了
[00:10:51 - 00:10:54] 这台机器或者这台CI runner也要被标记为
[00:10:54 - 00:10:55] 实现主机
[00:10:55 - 00:10:57] 查网络出战
[00:10:57 - 00:10:59] 无论你的电脑装没装杀毒软件
[00:10:59 - 00:11:01] 立刻去查防火墙和网关日治
[00:11:02 - 00:11:03] 重点排查在那个时间段内
[00:11:03 - 00:11:06] 有没有任何出口流量去访问过SFRClack
[00:11:06 - 00:11:09] COM或者其对应的IP和80000端口
[00:11:09 - 00:11:12] 因为二阶段木马是需要连往下载的
[00:11:12 - 00:11:15] 蓝节并记录这个动作是你发现前服者的最佳证据
[00:11:15 - 00:11:17] 彻底的平正轮换
[00:11:17 - 00:11:20] 如果机器中招了千万不要只换一个NPMToken
[00:11:20 - 00:11:23] 你这台机器上登录过的GateHopToken
[00:11:23 - 00:11:24] AWS
[00:11:24 - 00:11:25] 阿里云的云平正
[00:11:25 - 00:11:27] CI系统的构建密要
[00:11:27 - 00:11:29] 服务器的SSH甚至你浏览器
[00:11:29 - 00:11:31] 里保存的各种后台Session
[00:11:31 - 00:11:34] 全部都要假定已经泄漏
[00:11:34 - 00:11:35] 全部作废
[00:11:35 - 00:11:36] 重新生成
[00:11:36 - 00:11:38] 其次是依赖治理的段尾求生
[00:11:38 - 00:11:42] 这次事件很很抽了自动更新机制一季耳光
[00:11:42 - 00:11:44] 微软的威胁情报团队强烈建议
[00:11:44 - 00:11:45] 锁死版本
[00:11:45 - 00:11:47] 移除配置文件里的祸道
[00:11:47 - 00:11:48] 符号
[00:11:48 - 00:11:50] 拒绝任何无感知的依赖升级
[00:11:50 - 00:11:52] 在关键业务中
[00:11:52 - 00:11:54] 甚至可以使用Overwrites或Resolutions
[00:11:54 - 00:11:57] 来强制锁定所有底层传递依赖的版本
[00:11:57 - 00:11:59] 拔掉毒牙
[00:11:59 - 00:12:00] 大多数时候
[00:12:00 - 00:12:03] 安装一个库根本不需要执行系统机脚本
[00:12:03 - 00:12:05] 在可能的情况下
[00:12:05 - 00:12:07] 配置NPM启用Ignore Script
[00:12:07 - 00:12:10] 或者在系统级别默认忽略安装机脚本
[00:12:10 - 00:12:13] 直接物理切断Posting Stull运行代码的能力
[00:12:13 - 00:12:16] 能挡住90%以上的磁类攻击
[00:12:16 - 00:12:17] 设立冷却期
[00:12:17 - 00:12:19] 像Datadog等机构呼吁的那样
[00:12:19 - 00:12:21] 不要当小白鼠
[00:12:21 - 00:12:22] 对于新发布的版本
[00:12:22 - 00:12:24] 在自动化构建流水线中
[00:12:24 - 00:12:25] 人为设置一个延迟
[00:12:25 - 00:12:26] 引入的策略
[00:12:26 - 00:12:29] 比如发布24小时后才允许拉去
[00:12:29 - 00:12:31] 给安全社区发现问题
[00:12:31 - 00:12:32] 流出时间
[00:12:32 - 00:12:33] 这对于对付这种
[00:12:33 - 00:12:34] 存活三小时
[00:12:34 - 00:12:36] 但危害巨大的投毒极其有效
[00:12:36 - 00:12:39] 最后也是最能治本的一招
[00:12:39 - 00:12:41] 发布链路与人的灵性刃
[00:12:41 - 00:12:43] 大家知道这次事件里
[00:12:43 - 00:12:44] 代码生态系统暴露出的
[00:12:44 - 00:12:46] 最尴尬的工程问题是什么吗
[00:12:46 - 00:12:48] 是验证的缺位
[00:12:48 - 00:12:50] elastic security labs等机构指出
[00:12:50 - 00:12:53] 正常的XOs版本是通过Gatehab Actions
[00:12:53 - 00:12:58] 基于OIDC进行可信发布,并带有SLSA Providence证明的。
[00:12:58 - 00:13:04] 听不懂这些数语没关系,你只需要知道,这相当于给代码盖了一个无法伪造的。
[00:13:04 - 00:13:09] 记录了它是由哪台可信机器打包的工章,而那两个恶意的投赌版本呢,
[00:13:09 - 00:13:13] 因为黑客只投到了个人的头肯,没有控制构建服务器,
[00:13:13 - 00:13:15] 所以他们是通过命令行直接私自发布的。
[00:13:15 - 00:13:20] 没有工章,没有Provenance证明,这其实提供了一个极其完美的。
[00:13:20 - 00:13:21] 2元自动拦截信号
[00:13:21 - 00:13:24] 如果在我们的企业门禁系统
[00:13:24 - 00:13:26] 或者NPM的发布策略里强制要求
[00:13:26 - 00:13:30] 必须有OEDQ Prevenance证明才能进入依赖库
[00:13:30 - 00:13:31] 那么这个带毒的包
[00:13:31 - 00:13:33] 连进入我们组织的门奉都找不到
[00:13:33 - 00:13:36] 它在CI拉取的第一时间就会被直接阻断
[00:13:36 - 00:13:38] 遗憾的是由于整个生态
[00:13:38 - 00:13:40] 对这个机制的普及度不够
[00:13:40 - 00:13:43] 这种本来可以用机器瞬间拦截的攻击
[00:13:43 - 00:13:45] 最终演变成了全网的灾难
[00:13:45 - 00:13:49] 好消息是Axios团队在事后的改进计划中
[00:13:49 - 00:13:53] 已经明确提出将全面采用不可辨发布和OIDC流程
[00:13:53 - 00:13:55] 至于针对人性的攻击
[00:13:55 - 00:13:57] 唯有用制度来对抗魔法
[00:13:57 - 00:13:59] IBM和CheckPoint的分析师都指出
[00:13:59 - 00:14:03] 生成是AI让人类无法在紧凭直觉分辨真假
[00:14:03 - 00:14:07] 我们必须在团队内部建立起强制的验证仪式
[00:14:07 - 00:14:08] 绝对红线
[00:14:08 - 00:14:11] 开会的时候绝不点击任何安装包
[00:14:11 - 00:14:12] 绝不跑任何不熟悉的脚本
[00:14:12 - 00:14:14] 天大的bug开完会再说
[00:14:14 - 00:14:15] 二次确认
[00:14:15 - 00:14:18] 涉及索要评证令牌互换权限提升
[00:14:18 - 00:14:20] 必须跨渠到确认
[00:14:20 - 00:14:24] 双人复合涉及到开源库发布更换核心密钥
[00:14:24 - 00:14:27] 增加新维护者权限这种高危操作
[00:14:27 - 00:14:28] 不能一个人说了算
[00:14:28 - 00:14:31] 必须通过多签或者双人代码审查确认
[00:14:31 - 00:14:33] 听起来是不是很繁琐
[00:14:33 - 00:14:34] 觉得降低了效率
[00:14:34 - 00:14:36] 但相信我这是在这个AI遍地走
[00:14:36 - 00:14:38] 骗子懂技术的时代
[00:14:38 - 00:14:40] 你能付出的最低的防守成本
[00:14:40 - 00:14:42] 如果你是一个开源项目的维护者
[00:14:42 - 00:14:45] 这次事件最值得你操作业的
[00:14:45 - 00:14:48] 绝不是事后怎么发一封诚恳的支签公告
[00:14:48 - 00:14:51] 而是从今天起,请把你维护的项目
[00:14:51 - 00:14:54] 哪怕它再小也当成国家关键基础设施来运营
[00:14:54 - 00:14:57] 把发布权限从你那台平时看剧
[00:14:57 - 00:14:59] 打游戏的个人电脑上牵走
[00:14:59 - 00:15:01] 强制走云端的可信发布
[00:15:01 - 00:15:04] 给你的各种核心账号配上物理应监密钥
[00:15:04 - 00:15:07] 把对陌生人的警惕当做一种美德
[00:15:07 - 00:15:08] 而不是一种冷漠
[00:15:08 - 00:15:11] 因为你掌握的是无数信任你的开发者的命门
[00:15:11 - 00:15:14] 开源世界从来不是一场充满温情的慈善
[00:15:14 - 00:15:18] 他更像是一座连接千军万马的钢铁桥梁
[00:15:18 - 00:15:24] 桥梁越重要,我们就越不能指望靠某一个人的直觉和不犯错来守护他
[00:15:24 - 00:15:28] AXIOS供应链投毒事件给我们所有人敲响了警钟
[00:15:28 - 00:15:30] 网络攻击已经从传统的代码投毒
[00:15:30 - 00:15:33] 彻底进化到了信任投毒
[00:15:33 - 00:15:35] 当屏幕背后的黑客能够用AI把你的老板
[00:15:35 - 00:15:41] 你的同事、你的公司架构乃至你们的日常沟通都完美伪装出来时
[00:15:41 - 00:15:44] 我们真正需要升级的不仅是你写代码的方式
[00:15:44 - 00:15:47] 更是你判断真偽,相信这个世界的方式
[00:15:47 - 00:15:50] 请永远记住软件安全领域的那句治理名言
[00:15:50 - 00:15:54] 在今天,它比以往任何时候都更加震耳欲聋
[00:15:54 - 00:15:57] 最危险的漏洞永远不在代码里而在键盘前
[00:15:57 - 00:16:00] 谢谢大家的关注,希望这次深度的复盘
[00:16:00 - 00:16:03] 能成为你和你的团队最坚实的防火墙
[00:16:03 - 00:16:05] 我是为什么叫QQ,我们下期再见
