BV号：BV1PTbQ6hE9q
标题：BV1PTbQ6hE9q
链接：https://www.bilibili.com/video/BV1PTbQ6hE9q
识别语言：zh
语言置信度：1
分段数：365
生成时间：2026-08-29 11:39:47

[00:00:00 - 00:00:02] 大家好 我是为什么叫QQ
[00:00:02 - 00:00:05] 如果你写代码很多年 应该见过这种场面
[00:00:05 - 00:00:08] 团队里最聪明的人坚定压住一个方案
[00:04:10 - 00:04:11] 先喜欢某个数据库
[00:04:11 - 00:04:13] 再挑有力的压测方式
[00:04:13 - 00:04:14] 先想引入大模型
[00:04:14 - 00:04:16] 再选择适合展示的任务
[00:04:16 - 00:04:17] 表格仍然真实
[00:04:17 - 00:04:19] 代码也能复现
[00:04:19 - 00:04:21] 偏差藏在问题定义和样本选择里
[00:04:21 - 00:04:24] 自身工程师常说我见过类似问题
[00:04:24 - 00:04:26] 这句话有价值也带着风险
[00:04:26 - 00:04:29] 熟悉感很容易被大脑翻译成高概率
[00:04:29 - 00:04:31] 过去成功过的方案会得到额外信任
[00:04:31 - 00:04:34] 过去采过的坑也会被过度放大
[00:04:34 - 00:04:37] 摩尔和黑里把过度自信分成几类
[00:04:37 - 00:04:39] 其中一类叫过度精确
[00:04:39 - 00:04:42] 人会给自己的判断设置过窄区间
[00:04:42 - 00:04:44] 比如一次迁移预计6-8周
[00:04:44 - 00:04:46] 这个范围听起来很专业
[00:04:46 - 00:04:47] 却没有容纳未知依赖
[00:04:47 - 00:04:51] 听上去越降承诺,风险往往越难被看见
[00:04:51 - 00:04:53] 高手未必高估自己的平均能力
[00:04:53 - 00:04:55] 它更可能低估判断区间的宽度
[00:04:55 - 00:04:58] 程序员习惯给辨量写精确类型
[00:04:58 - 00:05:00] 现实项目却充满动态输入
[00:05:00 - 00:05:03] 面对不完整信息区间需要留出尾部
[00:05:03 - 00:05:06] 精确表达无法替代可靠较准
[00:05:06 - 00:05:08] 架构讨论特别适合放大认知偏差
[00:05:08 - 00:05:11] 它周期长反馈慢,归印空间很大
[00:05:11 - 00:05:15] 方案上线两年后,原决策者可能已经离开
[00:05:15 - 00:05:16] 成功可以归功于设计
[00:05:16 - 00:05:18] 失败可以归咎于执行
[00:05:18 - 00:05:20] 这样的环境很难训练判断
[00:05:20 - 00:05:23] 微服事件驱动和多云都经历过类似循环
[00:05:23 - 00:05:25] 团队先被成功案例吸引
[00:05:25 - 00:05:27] 再复制可坚的技术形态
[00:05:27 - 00:05:30] 那些公司的规模人才和历史约束
[00:05:30 - 00:05:31] 却留在案例外面
[00:05:31 - 00:05:34] 新名词带来的兴奋很容易冒充需求
[00:05:34 - 00:05:37] 聪明人能快速掌握新架构的语言
[00:05:37 - 00:05:39] 语言熟练后方案会显得更加自然
[00:05:39 - 00:05:41] 真正该问的是约束条件
[00:05:41 - 00:05:42] 峰值流量多大
[00:05:42 - 00:05:44] 故障成本多高
[00:05:44 - 00:05:46] 团队能维护几套基础设施
[00:05:46 - 00:05:49] 没有约束的架构图更像一张技术冤枉单
[00:05:50 - 00:05:51] 重启老系统时
[00:05:51 - 00:05:53] 技术判断长和身份混在一起
[00:05:54 - 00:05:56] 维护救代码很难获得掌声
[00:05:56 - 00:05:58] 设计新系统更像一项完整作品
[00:05:58 - 00:06:01] 说实话 新建仓库确实让人心情很好
[00:06:01 - 00:06:03] 你可以选语言定规范
[00:06:03 - 00:06:04] 重新命名每个概念
[00:06:04 - 00:06:08] 救系统里那些难看的分支会被当做历史包袱
[00:06:08 - 00:06:11] 可他们往往保存着没人写下的业务规则
[00:06:11 - 00:06:13] 聪明的工程师能看见救代码的问题
[00:06:13 - 00:06:16] 他也容易高估重新表达业务的能力
[00:06:16 - 00:06:18] 于是重写计划只统计代码量
[00:06:18 - 00:06:22] 需求考古恢徒迁移和双写核对被放到后面
[00:06:22 - 00:06:25] 等这些成本出现 项目已经投入太多
[00:06:25 - 00:06:28] 团队又会受到沉默成本迁引 可靠做法更朴素
[00:06:28 - 00:06:32] 先列出必须改变的约束 再用小范围替换验证
[00:06:32 - 00:06:35] 重写可以是一项选择不能成为个人审美的出口
[00:06:35 - 00:06:38] 项目估许也能看出聪明人的弱点
[00:06:38 - 00:06:40] 高手往往能把任务想得非常具体
[00:06:40 - 00:06:43] 接口怎么改,表怎么签,测试怎么补
[00:06:43 - 00:06:46] 熟练的人还能把每个步骤讲得很顺
[00:06:46 - 00:06:49] 细节越清楚,计划越让人安心
[00:06:49 - 00:06:51] 可这类估计主要依赖内部视角
[00:06:51 - 00:06:53] 它关注眼前项目的故事
[00:06:53 - 00:06:55] 忽略同类项目的历史分布
[00:06:55 - 00:06:58] 需求变更人员请假和环境故障
[00:06:58 - 00:06:59] 很难出现在顺畅虚实里
[00:06:59 - 00:07:03] 于是计划看起来完整,缓冲却越来越薄
[00:07:03 - 00:07:05] 更稳的方法要加入外部视角
[00:07:05 - 00:07:08] 找十个相近项目看他们实际用了多久
[00:07:08 - 00:07:10] 再看延期来自哪些重复原因
[00:07:10 - 00:07:12] 基准率可能不够优雅
[00:07:12 - 00:07:13] 却比个人信心可靠
[00:07:13 - 00:07:15] 故事的目的也要改
[00:07:15 - 00:07:17] 他服务资源安排与风险暴露
[00:07:17 - 00:07:20] 不负责证明工程师掌控一切
[00:07:20 - 00:07:21] 线上事故发生后
[00:07:21 - 00:07:23] 第一个解释很有年性
[00:07:23 - 00:07:24] 监控宣报数据库延迟
[00:07:24 - 00:07:26] 大家就围着数据库检查
[00:07:26 - 00:07:27] 随后出现的线索
[00:07:27 - 00:07:29] 也会被塞进这个故事
[00:07:29 - 00:07:30] 经验丰富的人
[00:07:30 - 00:07:32] 尤其容易快速形成判断
[00:07:32 - 00:07:34] 值班群里与其最确定的人
[00:07:34 - 00:07:35] 会自然取得指挥权
[00:07:35 - 00:07:37] 这在简单故障里很高效
[00:07:37 - 00:07:40] 面对多因素事故早节论会缩小搜索空间
[00:07:40 - 00:07:42] 团队开始寻找知识证据
[00:07:42 - 00:07:44] 没人维护替代假设
[00:07:44 - 00:07:45] 半小时后
[00:07:45 - 00:07:47] 数据库指标恢复错误率仍在上升
[00:07:47 - 00:07:50] 此时推翻原判断会带来心理成本
[00:07:50 - 00:07:51] 一个实用办法是
[00:07:51 - 00:07:53] 并行写两条故障蓄事
[00:07:53 - 00:07:56] 每条都要列出能推翻自己的观测
[00:07:56 - 00:07:58] 值班负责人只协调证据
[00:07:58 - 00:07:59] 不提前宣布赢家
[00:07:59 - 00:08:01] 这样会多花几分钟
[00:08:01 - 00:08:04] 却能减少整组人跑进同一条死互痛
[00:08:04 - 00:08:06] AI编程让这个问题更值得谈
[00:08:06 - 00:08:09] 过去一个错误想法还要付出编码成本
[00:08:09 - 00:08:13] 现在几分钟就能生成圆形测试和迁移脚本
[00:08:13 - 00:08:14] 实现速度提升后
[00:08:14 - 00:08:16] 坏方向也能更快形成规模
[00:08:16 - 00:08:19] 铲除翻背以后判断失误也会同步扩容
[00:08:19 - 00:08:23] 更麻烦的是模型很擅长顺着提示补权
[00:08:23 - 00:08:25] 如果你问某框架如何解决问题
[00:08:25 - 00:08:27] 它通常会给出一条可行路径
[00:08:27 - 00:08:30] 它很少主动追问业务是否需要改框架
[00:08:30 - 00:08:33] 人提供立场模型补齐论据和代码
[00:08:33 - 00:08:36] 良者组成一个高吞吐的确认偏误回录
[00:08:36 - 00:08:39] 解决办法很简单 却常被忽略
[00:08:39 - 00:08:42] 让模型同时生成反对方案的评审意见
[00:08:42 - 00:08:45] 要求它列出失败条件 迁移成本和退出路径
[00:08:45 - 00:08:47] AI适合扩展搜索空间
[00:08:47 - 00:08:51] 最终选择仍要绑定真实约束和可观测反馈
[00:08:51 - 00:08:54] 很多团队相信代码评审能守住质量
[00:08:54 - 00:08:56] 它确实能发现实现问题
[00:08:56 - 00:09:00] 命名边界并发和错误处理都适合在评审里讨论
[00:09:00 - 00:09:03] 可以端代码写得越漂亮,错误方向越容易被接受
[00:09:03 - 00:09:07] 评审者看到完整测试,会默认需求已经经过验证
[00:09:07 - 00:09:09] 漂亮代码尤其容易得到这份默认信任
[00:09:09 - 00:09:12] 看到抽象清晰,会忽略功能本身的价值
[00:09:12 - 00:09:16] 于是团队认真审核了如何做,却没审核要不要做
[00:09:16 - 00:09:19] 高水平实现还会制造一种沉默感
[00:09:19 - 00:09:23] 删掉它显得可惜,继续维护又越来越贵
[00:09:23 - 00:09:27] 技术团队需要两种评审代码、评审检查实现质量
[00:09:27 - 00:09:29] 决策评审检查问题约束与证据
[00:09:29 - 00:09:33] 两者分开能减少审美对业务判断的干扰
[00:09:33 - 00:09:37] 写代码前的10分钟长比合并前的1小时更值钱
[00:09:37 - 00:09:39] 程序员喜欢把可靠流程写进流水线
[00:09:39 - 00:09:43] 提交代码后测试扫描和部署依次运行
[00:09:43 - 00:09:45] 判断却常靠领场发挥
[00:09:45 - 00:09:49] 开会时谁自立身谁表达快方案就像谁倾斜
[00:09:49 - 00:09:52] 我们给部署做门禁也该给重大判断做门禁
[00:09:52 - 00:09:55] 既然大脑会偏我们也可以给决策加检查
[00:09:55 - 00:09:57] 这个流程无需复杂表格
[00:09:57 - 00:09:59] 它只需要留下几个接口
[00:09:59 - 00:10:01] 问题成数必须和候选方案分开
[00:10:01 - 00:10:03] 预期结果要写成可以观测的信号
[00:10:03 - 00:10:06] 每个方案都要说明失败条件
[00:10:06 - 00:10:08] 结论还要附带复查日期
[00:10:08 - 00:10:10] 这样做不会让团队变得迟钝
[00:10:10 - 00:10:13] 它把争论从个人能力移到可验证信息
[00:10:13 - 00:10:15] 聪明人依旧能发挥优势
[00:10:15 - 00:10:18] 只是它的优势要经过一套可回滚
[00:10:18 - 00:10:20] 可交准的工程流程
[00:10:20 - 00:10:23] 决策流水线的入口是一句可减厌的问题
[00:10:23 - 00:10:25] 很多会议一开始就把方案写进问题
[00:10:25 - 00:10:28] 比如我们怎样把系统改成微服
[00:10:28 - 00:10:30] 这个问法已经排除了维持单体的可能
[00:10:30 - 00:10:33] 更好的写法关注目标和约束
[00:10:33 - 00:10:35] 比如未来一年要把发布故障降低一半
[00:10:35 - 00:10:38] 团队只能增加一名平台工程师
[00:10:38 - 00:10:41] 这个差别看似很小会直接改写候选集合
[00:10:41 - 00:10:43] 选择题随之变得清楚
[00:10:43 - 00:10:45] 我们可以改模块边界
[00:10:45 - 00:10:46] 也可以改发布流程
[00:10:46 - 00:10:48] 微服务只是候选项之一
[00:10:48 - 00:10:51] 写问题时还要区分事实与偏好
[00:10:51 - 00:10:53] 延迟数据属于事实团队
[00:10:53 - 00:10:55] 喜欢某门语言属于偏好
[00:10:55 - 00:10:56] 偏好可以保留
[00:10:56 - 00:10:58] 但要名码标价
[00:10:58 - 00:10:59] 很多聪明决定失败源头
[00:10:59 - 00:11:01] 就在问题被提前收窄
[00:11:01 - 00:11:03] 问题写清后先找基准率
[00:11:03 - 00:11:06] 别急着讨论自家情况多么特殊
[00:11:06 - 00:11:07] 准备签一数据库
[00:11:07 - 00:11:09] 就查看同规模签一的周期
[00:11:09 - 00:11:13] 我现在做故事会先翻旧项目的真实工期
[00:11:13 - 00:11:14] 准备做AI客服
[00:11:14 - 00:11:17] 就看同类产品的留存和人工接管率
[00:11:17 - 00:11:18] 准备重写系统
[00:11:18 - 00:11:21] 就统计过去重写项目的交付比例
[00:11:21 - 00:11:22] 外部数据很少完美
[00:11:22 - 00:11:24] 它仍能给信心设置合理边界
[00:11:24 - 00:11:27] 接着再把本项目的差异加进去
[00:11:27 - 00:11:28] 团队经验更强
[00:11:28 - 00:11:29] 可以适度上调成功率
[00:11:29 - 00:11:32] 依赖系统更多也要增加伪步风险
[00:11:32 - 00:11:34] 整个过程像性能优化
[00:11:34 - 00:11:36] 先有极限再谈优化幅度
[00:11:36 - 00:11:37] 没有极限的百分比
[00:11:37 - 00:11:39] 只是穿着数字外套的情绪
[00:11:39 - 00:11:42] 聪明人最容易写出特殊故事
[00:11:42 - 00:11:44] 基准率能让故事回到可比较的世界
[00:11:44 - 00:11:47] 下一步是给方案写失败测试
[00:11:47 - 00:11:48] 程序员对测试很熟
[00:11:48 - 00:11:50] 却很少测试自己的判断
[00:11:50 - 00:11:52] 你可以开一次试前验试会
[00:11:52 - 00:11:55] 假设半年后项目失败要求每个人独立些原因
[00:11:55 - 00:11:57] 独立书写很重要
[00:11:57 - 00:11:59] 它能减轻资历和从中影响
[00:11:59 - 00:12:00] 这种会有点扫性
[00:12:00 - 00:12:02] 却比亲工会省钱
[00:12:02 - 00:12:04] 然后把原因转成可观测信号
[00:12:04 - 00:12:07] 比如千一两个月后仍有大量双写差异
[00:12:07 - 00:12:10] 或者模型上限后人工接管率持续上升
[00:12:10 - 00:12:12] 再为每个信号设置预值
[00:12:12 - 00:12:15] 达到预值时团队需要暂停缩小或退出
[00:12:15 - 00:12:18] 这个动作会让反对意见获得正式位置
[00:12:18 - 00:12:21] 人不必在会上挑战某位专家
[00:12:21 - 00:12:23] 他只要维护一个已经约定的失败条件
[00:12:24 - 00:12:28] 好的角色流程会保护意义也会保护提出意义的人
[00:12:28 - 00:12:30] 聪明人容易爱上完整方案
[00:12:30 - 00:12:32] 完整方案概念统一接口
[00:12:32 - 00:12:33] 干净讲起来也顺
[00:12:33 - 00:12:35] 现实更适合分阶段下注
[00:12:36 - 00:12:39] 先找最能区分方案的测试再投入一小段成本
[00:12:39 - 00:12:43] 考虑微服签仪时可以先拆一个变化频繁的边界
[00:12:43 - 00:12:47] 考虑引入香量数据库时可以拿真实查询做盲测
[00:12:47 - 00:12:50] 考虑AI代理时先限制权限和任务范围
[00:12:50 - 00:12:53] 实验要产生决策信息不能只做掩饰
[00:12:53 - 00:12:56] 掩饰证明某条路径能够运行
[00:12:56 - 00:12:59] 决策实验还要比较成本失败率和维护负担
[00:12:59 - 00:13:03] 实验失败不丢人无法退出才让人头疼
[00:13:03 - 00:13:05] 每轮结束都保留退出选项
[00:13:05 - 00:13:07] 可逆性会降低面子压力
[00:13:07 - 00:13:10] 团队更容易承认结果一般也更容易及时换路
[00:13:10 - 00:13:13] 判断能力需要反馈可多数决定没有日制
[00:13:13 - 00:13:17] 半年后大家只记的结果很少记得当时的概率
[00:13:17 - 00:13:19] 成功者会觉得自己早就看准了
[00:13:19 - 00:13:21] 失败者也能找到新的解释
[00:13:21 - 00:13:24] 决策日日能挡住这种记忆改写
[00:13:24 - 00:13:26] 记录日期候选方案和主要证据
[00:13:26 - 00:13:30] 在写下成功概率与信心区间别止写高中低
[00:13:30 - 00:13:32] 用百分比会让误差更清楚
[00:13:32 - 00:13:33] 一开始会尴尬
[00:13:33 - 00:13:35] 因为数字会留下痕迹
[00:13:35 - 00:13:38] 到复查日期比较预测和结果
[00:13:38 - 00:13:40] 连续记录十几次后你会看到个人模式
[00:13:40 - 00:13:42] 有人总低估集成成本
[00:13:42 - 00:13:44] 有人高估新工具带来的收益
[00:13:44 - 00:13:47] 有人在熟悉领域反而给出过窄区间
[00:13:47 - 00:13:51] 校准来自长期纪分和写代码后的测试反馈很像
[00:13:51 - 00:13:53] 回到开头那个失败项目
[00:13:53 - 00:13:55] 真正缺少的通常不是更聪明的人
[00:13:55 - 00:13:58] 团队缺少能约束聪明人的反馈结构
[00:13:58 - 00:14:01] 个人能力适合生成方案识别模式和处理细节
[00:14:01 - 00:14:03] 团队流程负责保留意义
[00:14:03 - 00:14:05] 比较基准率和出发退出
[00:14:05 - 00:14:09] 两者配合聪明才会稳定转化成好判断
[00:14:09 - 00:14:10] 聪明 值得信任
[00:14:10 - 00:14:12] 流程更值得长期信任
[00:14:12 - 00:14:15] 下次参加技术选行会可以带走五个问题
[00:14:15 - 00:14:18] 我们在解决哪个可观测问题历史基准率是多少
[00:14:18 - 00:14:22] 哪条证据会推翻当前方案最小可逆实验怎么做
[00:14:22 - 00:14:24] 什么时候回来看预测是否准确
[00:14:24 - 00:14:26] 如果会议达不出这些问题
[00:14:26 - 00:14:28] 再漂亮的架构图也先放一放
[00:14:28 - 00:14:30] 你在项目里见过哪种决策偏差
[00:14:30 - 00:14:33] 欢迎把真实案例留在评论区
[00:14:33 - 00:14:35] 感谢观看也欢迎一键三连
[00:14:35 - 00:14:36] 我是非什么叫QQ
[00:14:36 - 00:14:38] 我们下期视频再见
