BV号：BV1nCRYBeEw6
标题：BV1nCRYBeEw6
链接：https://www.bilibili.com/video/BV1nCRYBeEw6
识别语言：zh
语言置信度：1
分段数：224
生成时间：2026-08-29 20:08:02

[00:00:00 - 00:00:02] 大家好 我是为什么叫QQ
[00:00:02 - 00:00:03] AI正在改编软件工程
[00:01:34 - 00:01:35] 或者你和商电脑去开个会回来
[00:01:35 - 00:01:37] 发现中端断了
[00:01:37 - 00:01:38] 之前的上下文全没了
[00:01:38 - 00:01:40] 你得重新梳理重新提示
[00:01:40 - 00:01:43] 这种体验就像是你顾了一个时期声
[00:01:43 - 00:01:44] 但他没写时航代码
[00:01:44 - 00:01:46] 就要跑来问你接下来怎么办
[00:01:46 - 00:01:48] 你根本无法真正解放双手
[00:01:48 - 00:01:51] 而gold出现就是为了打破这个僵局
[00:01:51 - 00:01:53] 官方的更新日志里写着
[00:01:53 - 00:01:55] 持久化的目标工作流
[00:01:55 - 00:01:58] 简单来说你给他设定一个目标
[00:01:58 - 00:02:00] 它就会像一个真正的工程师一样
[00:02:00 - 00:02:01] 自己规划自己写代码
[00:02:01 - 00:02:03] 自己跑测试自己修bug
[00:02:03 - 00:02:05] 直到目标完成
[00:02:05 - 00:02:07] 即使你关掉中端重启电脑
[00:02:07 - 00:02:08] 它也能自动恢复
[00:02:08 - 00:02:09] 继续干活
[00:02:09 - 00:02:12] 这背后是OpenAI在CodexKali
[00:02:12 - 00:02:14] 理内置了一套全新的Agent的架构
[00:02:14 - 00:02:17] 而理解这套架构是真正用好Go的前提
[00:02:17 - 00:02:20] 那么Go到底是怎么做到这一点的
[00:02:20 - 00:02:21] 我们从工程视角
[00:02:21 - 00:02:23] 把它拆解为三个核心机制
[00:02:23 - 00:02:27] 机制一 状态持久化与运行时恢复
[00:02:27 - 00:02:28] 以前的绘画是短暂的
[00:02:28 - 00:02:30] 中端一关进程就死了
[00:02:30 - 00:02:32] 但Go把目标状态写进了本地的
[00:02:32 - 00:02:33] SQ Lite数据库里
[00:02:33 - 00:02:35] 这意味着什么
[00:02:35 - 00:02:37] 意味着你的目标变成了资产
[00:02:37 - 00:02:39] 每次循环它都会去读一遍数据库
[00:02:39 - 00:02:41] 当你重新打开中端时
[00:02:41 - 00:02:42] 系统会自动注入一个
[00:02:42 - 00:02:44] Continuation Prompt
[00:02:44 - 00:02:45] 告诉模型
[00:02:45 - 00:02:46] 你之前在干这个
[00:02:46 - 00:02:47] 现在继续吧
[00:02:47 - 00:02:49] 你不需要输入任何东西
[00:02:49 - 00:02:51] 这就是运行时继续的核心
[00:02:51 - 00:02:53] 这就像是给AI装了一个
[00:02:53 - 00:02:54] 不会断电的记忆芯片
[00:02:54 - 00:02:57] 当前的设计里一个session只支持一个go
[00:02:57 - 00:03:00] 无论是进程重启还是control加c中断
[00:03:00 - 00:03:02] 都会自动恢复目标任务
[00:03:02 - 00:03:04] 机制2 内置的RELF loop
[00:03:04 - 00:03:08] 社区里一直流行一种叫RELF loop的玩法
[00:03:08 - 00:03:10] 本质上就是一个死循环脚本
[00:03:10 - 00:03:12] 这是由开发者Jeffrey Huntley推广的技术
[00:03:12 - 00:03:14] 用git历史作为记忆
[00:03:14 - 00:03:16] 让AI在多个绘画中持续工作
[00:03:16 - 00:03:20] go其实就是把这种即刻玩法官方化内置化了
[00:03:20 - 00:03:22] 但它做得更优雅
[00:03:22 - 00:03:24] 它不做复杂的任务规划
[00:03:24 - 00:03:26] 也不做死板的流程编排
[00:03:26 - 00:03:28] 它只提供约束和目标
[00:03:28 - 00:03:29] 只要目标没达成
[00:03:29 - 00:03:31] 它就让模型持续干活
[00:03:31 - 00:03:34] 它把模型当成了一个负责交付结果的黑盒
[00:03:34 - 00:03:37] 每一步做什么完全交给模型自己判断
[00:03:37 - 00:03:39] 有开发者对此做了精准的总结
[00:03:39 - 00:03:43] GO等于目标驱动加状态感知加验收机制
[00:03:43 - 00:03:45] 机制3 强硬的自我验收
[00:03:45 - 00:03:46] 这是最关键的一点
[00:03:46 - 00:03:49] 也是GO和简单的继续执行最本质的区别
[00:03:49 - 00:03:53] 在GO的系统提示词里有非常强硬的声明
[00:03:53 - 00:03:55] 不接受看起来完成
[00:03:55 - 00:03:57] 不要因为Token预算焦虑就提前教卷
[00:03:57 - 00:03:59] 不要盲目相信之前的记忆
[00:03:59 - 00:04:02] 只要有不确定性就必须继续验证
[00:04:02 - 00:04:05] 它会把你的目标转化为可验证的交付物
[00:04:05 - 00:04:08] 构建检查清单并真实地去检查文件
[00:04:08 - 00:04:10] 运行输出和测试结果
[00:04:10 - 00:04:13] 只有当它自己确认所有标准都满足时
[00:04:13 - 00:04:15] 才会输出Task Complete
[00:04:15 - 00:04:18] 这种设计让Go的完成质量远高于简单的继续执行
[00:04:18 - 00:04:20] 听起来Go简直完美对吧
[00:04:20 - 00:04:24] 但很多工程师在实战后发现事情没那么简单
[00:04:24 - 00:04:27] 你以为你得到了一个免费的超级打工人
[00:04:27 - 00:04:29] 但实际上你可能正在面临一场token灾难
[00:04:29 - 00:04:33] Go最大的问题在于他没有采用对话追加模式
[00:04:33 - 00:04:35] 为了保证上下文的完整性
[00:04:35 - 00:04:39] 他在每一轮循环中都会发送完整的对话历史
[00:04:39 - 00:04:43] 意味着token的消耗是随着轮廓成N平方级增长的
[00:04:43 - 00:04:46] 有开发者实测一个6个多小时的运行
[00:04:46 - 00:04:48] 实际模型计算时间只有41分钟
[00:04:48 - 00:04:51] 但却消耗了惊人的680万个输入token
[00:04:51 - 00:04:54] 如果按照原价计算这绝对是一笔巨款
[00:04:54 - 00:04:56] 为什么Open AI敢这么设计
[00:04:56 - 00:05:00] 因为他们把堵住压在了服务器端的提示词缓存机制上
[00:05:00 - 00:05:03] 在刚才那个案例中Cash命中率高达94%
[00:05:03 - 00:05:06] 这让实际成本降到了原来的1⁄左右
[00:05:06 - 00:05:08] 但即便如此
[00:05:08 - 00:05:11] 如果你给的目标不够明确或者模型陷入了死胡同
[00:05:11 - 00:05:15] 它就会像一个不知疲倦的烧钱机器疯狂消耗你的预算
[00:05:15 - 00:05:16] 还有另一个隐患
[00:05:16 - 00:05:18] 模型的自我验收并不可靠
[00:05:18 - 00:05:22] 模型自平通过和你的规范真正被满足是两回事
[00:05:22 - 00:05:26] 在生产级别的任务中你仍然需要外部的验收标准作为后备
[00:05:26 - 00:05:28] 所以我们该如何真正驾驭狗
[00:05:28 - 00:05:30] 根据多位开发者的实战经验
[00:05:30 - 00:05:33] 我总结了一个三步走的思维框架
[00:05:33 - 00:05:35] 第一步 定义明确的验收标准
[00:05:35 - 00:05:38] 不要给模糊的目标 比如优化一下代码
[00:05:38 - 00:05:40] 要给具体的可验症的标准
[00:05:40 - 00:05:44] 比如目标 将认证系统签一到OF2
[00:05:44 - 00:05:45] 完成标准
[00:05:45 - 00:05:48] 1.所有旧的jwt测试全部通过
[00:05:48 - 00:05:52] 2.新的os2登入流程在本地环境测试成功
[00:05:52 - 00:05:55] 3.没有引入任何新的lint错误
[00:05:55 - 00:05:57] 你必须告诉它什么叫做完了
[00:05:57 - 00:05:59] 有开发者甚至会写600字的详细提示词
[00:05:59 - 00:06:02] 包含xml风格的结构化目标
[00:06:02 - 00:06:05] 明确的阅读文件列表和工作规则
[00:06:05 - 00:06:07] 第二步 设置反模式炸烂
[00:06:07 - 00:06:10] AI有时候会为了达成目标而作弊
[00:06:10 - 00:06:11] 比如为了通过测试
[00:06:11 - 00:06:13] 它可能会写死一些自服穿匹配
[00:06:13 - 00:06:16] 你必须在提示词里明确禁止这种行为
[00:06:16 - 00:06:20] 不要为了通过单个测试而添加硬贬码的补钉
[00:06:20 - 00:06:23] 这种防御性提示是高质量购物运行的关键
[00:06:23 - 00:06:26] 第三步 提供充足的上下文
[00:06:26 - 00:06:29] 在启动购物运行之前明确列出它需要阅读的核心文件
[00:06:29 - 00:06:33] 这能极大减少它在早期探索阶段的盲目示错
[00:06:33 - 00:06:34] 节省大量的token
[00:06:34 - 00:06:38] 有经验的开发者会提供10个以上的核心文件路径
[00:06:38 - 00:06:40] 帮助模型快速理解项目结构
[00:06:40 - 00:06:43] 记住 购物不是魔法 它是一个放大器
[00:06:43 - 00:06:46] 你给的约束越清晰,它放大的效率就越高
[00:06:46 - 00:06:49] 你给的目标越模糊,它放大的成本就越可怕
[00:06:49 - 00:06:55] go的出现,标志者AI编程工具正在从co-pilot向autopilot眼镜
[00:06:55 - 00:06:59] 但这也意味着软件工程师的核心竞争力正在发生转移
[00:06:59 - 00:07:02] 未来写出能运行的代码将不再是稀缺能力
[00:07:02 - 00:07:06] 真正稀缺的是定义问题的能力,设计验收标准的能力
[00:07:06 - 00:07:09] 以及在复杂系统中进行架构把控的能力
[00:07:09 - 00:07:13] 从第一性源理来看,Go本质上是在解决一个古老的问题
[00:07:13 - 00:07:17] 如何让一个智能体在没有持续人类监督的情况下
[00:07:17 - 00:07:18] 可靠的完成长期目标?
[00:07:18 - 00:07:19] 答案是
[00:07:19 - 00:07:24] 持久化状态加明确的完成标准加强制性的自我验证
[00:07:24 - 00:07:26] 这三点不只是Go的设计原则
[00:07:26 - 00:07:29] 也是未来所有自主AI系统的基础架构范氏
[00:07:29 - 00:07:31] Go只是一个开始
[00:07:31 - 00:07:35] 随着模型推理能力的提升和上下文窗口的进一步扩大
[00:07:35 - 00:07:38] 我们很快就会看到能够自主运行几天
[00:07:38 - 00:07:39] 甚至几周的超级agent
[00:07:39 - 00:07:42] 那时候工程师的角色将彻底改变
[00:07:42 - 00:07:44] 我们不再是代码的书写者
[00:07:44 - 00:07:47] 而是目标的定义者 系统的设计者 结果的审计者
[00:07:47 - 00:07:49] 好 我们来做个总结
[00:07:49 - 00:07:50] go是什么
[00:07:50 - 00:07:54] 它是一个把refloop内置到Codex 2.0里的持久化目标系统
[00:07:54 - 00:07:57] 通过sqlite的状态存储
[00:07:57 - 00:08:00] 运行时自动恢复和强硬的自我验收机制
[00:08:00 - 00:08:03] 让AI能够自主完成长达数十小时的复杂任务
[00:08:03 - 00:08:08] 他标志着AI编程工具从副驾驶到自动驾驶的真正跨越
[00:08:08 - 00:08:11] 重新定义了人与AI的协作模式
[00:08:11 - 00:08:12] 怎么用好它?
[00:08:12 - 00:08:15] 3. 明确验收标准设置反模式炸烂
[00:08:15 - 00:08:17] 提供充足上下文
[00:08:17 - 00:08:19] 最后送给大家一句话
[00:08:19 - 00:08:21] 不要把AI当成聪明的打字机
[00:08:21 - 00:08:24] 要把他们当成需要明确KPI的工程师
[00:08:24 - 00:08:26] 你觉得够这种自动驾驶模式
[00:08:26 - 00:08:28] 会让你更轻松还是更焦虑
[00:08:28 - 00:08:31] 你会放心让他在你的项目里跑一整晚吗?
[00:08:31 - 00:08:33] 把你的答案打在评论区
[00:08:33 - 00:08:34] 我们一起讨论
[00:08:34 - 00:08:36] 如果你觉得这期视频对你有启发
[00:08:36 - 00:08:38] 别忘了点赞投币收藏
[00:08:38 - 00:08:39] 一键三连支持一下
[00:08:39 - 00:08:40] 我是为什么叫QQ
[00:08:40 - 00:08:41] 我们下期见
