BV号：BV1EQFWexEMB
标题：BV1EQFWexEMB
链接：https://www.bilibili.com/video/BV1EQFWexEMB
识别语言：zh
语言置信度：1
分段数：358
生成时间：2026-08-30 18:04:07

[00:00:00 - 00:00:02] 大家好 这里是最佳拍到 我是大飞
[00:00:02 - 00:00:05] 我们都知道在经济领域中存在着一种现象
[00:02:42 - 00:02:46] 开发 AGI需要大量的资金 技术和人才投入
[00:02:46 - 00:02:49] 只有少数实力雄厚的机构或者公司才有能力射足
[00:02:49 - 00:02:53] 其次 AGI的控制权也会像这些资源一样
[00:02:53 - 00:02:55] 集中在少数几个玩家的手中
[00:02:55 - 00:02:58] 主要是開發這些AI系統的實驗室和所在的國家
[00:02:58 - 00:03:01] 第三依賴於AGI獲得收入的主體
[00:03:01 - 00:03:04] 就如同依賴於自然資源的國家和公司一樣
[00:03:04 - 00:03:07] 將不再需要依靠人民來獲得收益
[00:03:07 - 00:03:11] 最後AGI將會取代推動文明發展的上一代動力員
[00:03:11 - 00:03:14] 在這一點上它和煤炭取代木材是類似的
[00:03:14 - 00:03:16] 只不過這次取代的是人類
[00:03:16 - 00:03:18] 接下來作者深入分析了一下
[00:03:18 - 00:03:21] 寡頭勢力在其中的角色和動機
[00:03:21 - 00:03:23] 所謂寡頭勢力指的是
[00:03:23 - 00:03:26] 国家 公司和官僚机构等等大型组织
[00:03:26 - 00:03:28] 他们塑造了我们所处的世界
[00:03:28 - 00:03:30] 以及我们与世界的互动方式
[00:03:30 - 00:03:32] 寡头势力关心人民并非出于善意
[00:03:32 - 00:03:34] 而是出于以下两个原因
[00:03:34 - 00:03:36] 1.你能够带来投资回报
[00:03:36 - 00:03:38] 通常以税收或者利润的形式体现
[00:03:38 - 00:03:41] 2.你会影响他们维持权力的能力
[00:03:41 - 00:03:43] 这种影响可能通过民主手段
[00:03:43 - 00:03:47] 比如说投票或者是对政权的潜在威胁来实现
[00:03:47 - 00:03:49] 在过去自从工业革命以来
[00:03:49 - 00:03:52] 国家与人民的利益在很大程度上是一致的
[00:03:52 - 00:03:54] 为了在经济上具备高竞争力
[00:03:54 - 00:03:56] 一个强大的国家需要高效的市场
[00:03:56 - 00:03:57] 良好的教育体系
[00:03:57 - 00:03:59] 来培养技术熟练的工人
[00:03:59 - 00:04:02] 以及繁荣的中产阶级来创造需求
[00:04:02 - 00:04:04] 国家从各个层次的人才中受益
[00:04:04 - 00:04:06] 也从允许高度自由中获益
[00:04:06 - 00:04:09] 从而促进科学、技术以及文化、艺术的繁荣
[00:04:09 - 00:04:12] 提升国家的全球软实力和文化影响力
[00:04:12 - 00:04:13] 拿美国为例
[00:04:13 - 00:04:16] 美国的成功在一定程度上就得益于
[00:04:16 - 00:04:17] 对于技术和创新的鼓励
[00:04:17 - 00:04:20] 以及对于人才的吸引和培养
[00:04:20 - 00:04:21] 在企业方面
[00:04:21 - 00:04:22] 以硅谷为例
[00:04:22 - 00:04:25] 那里的技术工人凭借着公司急需的技能
[00:04:25 - 00:04:26] 能够拿到丰厚的薪酬
[00:04:26 - 00:04:28] 因为这类员工的公布应求
[00:04:28 - 00:04:31] 公司为了吸引他们展开了激烈的竞争
[00:04:31 - 00:04:33] 公司不仅支付高额的薪水
[00:04:33 - 00:04:34] 还提供股票期权
[00:04:34 - 00:04:35] 购置台球桌
[00:04:35 - 00:04:38] 全天后提供由米其林厨师制作的免费餐点
[00:04:38 - 00:04:40] 甚至还提供洗衣服
[00:04:40 - 00:04:43] 这些福利虽然看似于员工的工作产出
[00:04:43 - 00:04:44] 没有直接的关联
[00:04:44 - 00:04:47] 但是实际上是企业为了吸引和留住人才
[00:04:47 - 00:04:48] 而采取的手段
[00:04:48 - 00:04:51] 因为这些员工能够给企业带来更高的利润
[00:04:51 - 00:04:53] 所以他们可以向公司提要求
[00:04:53 - 00:04:54] 获取提高生活质量的福利
[00:04:54 - 00:04:56] 这就形成了一个反馈循环
[00:04:56 - 00:04:59] 普通人给寡头势力赚了更多的钱
[00:04:59 - 00:05:02] 后者就更有可能迎合前者的需求
[00:05:02 - 00:05:02] 比如说
[00:05:02 - 00:05:05] 如果教育能够让国家的收入增加10倍
[00:05:05 - 00:05:06] 那就建学校
[00:05:06 - 00:05:09] 如果贷薪预儿价能够吸引更为优秀的员工
[00:05:09 - 00:05:10] 那就改变政策
[00:05:10 - 00:05:12] 然而当AJI出现之后
[00:05:12 - 00:05:14] 情况可能就会发生巨大的改变
[00:05:14 - 00:05:17] 寡头势力在采用了劳动力代替型的AI之后
[00:05:17 - 00:05:20] 他们的收益将来自于随时可用的智能
[00:05:20 - 00:05:21] 而不再是人力
[00:05:21 - 00:05:23] 这就导致他们会面临
[00:05:23 - 00:05:25] 类似于实力国一样的动机困境
[00:05:25 - 00:05:27] 但是后果可能会更加的严重
[00:05:27 - 00:05:31] 因为他们无法从我们视为生存基础的投资中获取回报
[00:05:31 - 00:05:34] 比如说投资教育来培养就业技能
[00:05:34 - 00:05:36] 提供就业岗位和支付工资收入
[00:05:36 - 00:05:38] 或者为失业者提供福利体系
[00:05:38 - 00:05:41] 所以他们很可能不会再进行这些投资
[00:05:41 - 00:05:44] 而这个国家的人民也将难以自己自足
[00:05:44 - 00:05:46] 因为人类不需要再参与劳动
[00:05:46 - 00:05:48] 也就没有什么报酬可以获得
[00:05:48 - 00:05:51] 那么寡头势力在AJI时代的收入来源会有哪些呢
[00:05:51 - 00:05:52] 一方面
[00:05:52 - 00:05:54] 国家的收入将主要来源于企业税
[00:05:54 - 00:05:57] 尤其是来自于开发先进AI系统的公司
[00:05:57 - 00:05:59] 以及使用这些系统的公司
[00:06:00 - 00:06:01] 在2022年
[00:06:01 - 00:06:03] 企业税占到了经合组织穷研国
[00:06:03 - 00:06:05] 平均财政收入的11.5%
[00:06:05 - 00:06:08] 而在美国这个比例仅为6.5%
[00:06:08 - 00:06:10] 未来随着AJI的发展
[00:06:10 - 00:06:11] 国家的财政收入结构
[00:06:11 - 00:06:14] 可能会更加依赖于AI相关的企业
[00:06:14 - 00:06:15] 变得与挪威
[00:06:15 - 00:06:16] 沙特阿拉伯
[00:06:16 - 00:06:17] 或者刚过民主共和国
[00:06:17 - 00:06:19] 等资源依赖型的国家更为相似
[00:06:19 - 00:06:21] 并且远超现有的
[00:06:21 - 00:06:22] 经合组织成员国的
[00:06:22 - 00:06:23] 平均收入水平
[00:06:23 - 00:06:24] 一旦国家收入结构
[00:06:24 - 00:06:26] 呈现出了这种趋势
[00:06:26 - 00:06:27] 就意味着智能组咒
[00:06:27 - 00:06:29] 可能已经开始显现了
[00:06:29 - 00:06:30] 另一方面
[00:06:30 - 00:06:32] AI实验室将成为新的实力者
[00:06:32 - 00:06:34] 这些实验室的主要目标
[00:06:34 - 00:06:35] 是开发AGI
[00:06:35 - 00:06:36] 并且一些实验室
[00:06:36 - 00:06:38] 已经在调整他们的公司价购
[00:06:38 - 00:06:39] 试图将这个目标的
[00:06:39 - 00:06:41] 商业价值最大化
[00:06:41 - 00:06:42] 一旦他们成功开发出
[00:06:42 - 00:06:44] 功能强大的AGI系统
[00:06:44 - 00:06:46] 是不会将系统免费共享的
[00:06:46 - 00:06:48] 他们会成为经济中的横向基础层
[00:06:48 - 00:06:51] 通过向寡头势力出售AI系统
[00:06:51 - 00:06:53] 来从所有经济活动中获取租金
[00:06:53 - 00:06:56] 虽然在初期可能会有一些外包服务
[00:06:56 - 00:06:58] 通过优化特定垂直领域中的AI系统来盈利
[00:06:58 - 00:07:00] 但是随着AI的不断发展
[00:07:00 - 00:07:02] 它的目标是实现无所不能
[00:07:02 - 00:07:05] 所以这种依赖于外包服务盈利的局面
[00:07:05 - 00:07:06] 可能不会持续太久
[00:07:06 - 00:07:07] 到那个时候
[00:07:07 - 00:07:11] AI实验室在全球GDP中所占的比重可能会极大
[00:07:11 - 00:07:14] 并且拥有以往只有国家才具备的经济权力
[00:07:14 - 00:07:15] 此外
[00:07:15 - 00:07:18] 企业之间以及企业与寡头势力之间的交易
[00:07:18 - 00:07:20] 也将成为重要的收入来源
[00:07:20 - 00:07:21] 在AZS时代
[00:07:21 - 00:07:25] 土地 能源 计算资源 制造中心 数据中心
[00:07:25 - 00:07:27] 等一切为实现目标提供支持的资源
[00:07:27 - 00:07:28] 都将变得更有价值
[00:07:29 - 00:07:31] 比如说房地产公司和能源企业
[00:07:31 - 00:07:33] 可能会比以往更加富有
[00:07:33 - 00:07:35] 因为他们控制着这些关键的资源
[00:07:35 - 00:07:36] 而一些传统的行业
[00:07:36 - 00:07:39] 比如说咖啡连锁店或者是营销公司
[00:07:39 - 00:07:41] 可能会变得相对不重要
[00:07:41 - 00:07:42] 作者还指出
[00:07:42 - 00:07:45] 智能组咒与资源组咒虽然有相似之处
[00:07:45 - 00:07:46] 但是也存在着不同点
[00:07:46 - 00:07:48] 资源组咒在一定程度上
[00:07:48 - 00:07:50] 会因为石油带来的气候问题
[00:07:50 - 00:07:53] 以及可再生能源的兴起等应因素
[00:07:53 - 00:07:55] 迫使石油国家去寻找新的收入来源
[00:07:55 - 00:07:58] 同时也赋予了其公民更多的权力
[00:07:58 - 00:08:01] 然而AJI却不会出现这种情况
[00:08:01 - 00:08:04] 每一代新的AJI模型都会比上一代更加强大
[00:08:04 - 00:08:07] 并且极有可能继续有少数寡头势力控制
[00:08:07 - 00:08:10] 而且AJI不会像石油一样会耗尽
[00:08:10 - 00:08:13] 虽然计算所需要的资源或者能源可能会出现平静
[00:08:13 - 00:08:16] 但是计算的成本也在不断的下降
[00:08:16 - 00:08:18] 能源也在逐渐实现绿色转型
[00:08:18 - 00:08:21] 所以我们不需要从AGI再过渡到其他东西
[00:08:21 - 00:08:24] 一旦它被开发出来就可能永远存在
[00:08:24 - 00:08:25] 在这种情况下
[00:08:25 - 00:08:27] 普通人的命运又将如何呢?
[00:08:27 - 00:08:29] 查理芒格曾经说过
[00:08:29 - 00:08:31] 告诉我动机我就能告诉你结果
[00:08:31 - 00:08:32] 作者认为
[00:08:32 - 00:08:35] 首先公司很可能会解雇大量的员工
[00:08:35 - 00:08:36] 并且不再雇佣心人
[00:08:36 - 00:08:38] 因为在AGI系统的帮助之下
[00:08:38 - 00:08:42] 公司可以以更低的成本和更高的效率來完成工作
[00:08:42 - 00:08:45] 人類的工作價值在企業眼中會大幅降低
[00:08:45 - 00:08:46] 短期內
[00:08:46 - 00:08:49] 公司可能還會依賴於普通人作為產品的消費者
[00:08:49 - 00:08:51] 但是隨著大多數面向普通人的公司
[00:08:51 - 00:08:53] 已經失去了經濟需求的基礎
[00:08:53 - 00:08:55] 這些公司也將逐漸衰退
[00:08:55 - 00:08:56] 國家方面
[00:08:56 - 00:08:59] 由於收入基礎轉向了其他寡頭勢力
[00:08:59 - 00:09:01] 所以將大幅削減公共資金
[00:09:01 - 00:09:03] 因為國家無法從普通人的勞動中獲得價值
[00:09:03 - 00:09:05] 所以也就不願意投資建設那些
[00:09:05 - 00:09:08] 能夠讓普通人成為高效生產者的事務
[00:09:08 - 00:09:11] 国家的回报率将主要来自于确保AI实验室
[00:09:11 - 00:09:13] 能够开发出更好的模型
[00:09:13 - 00:09:15] 以及使用这些模型的公司
[00:09:15 - 00:09:17] 能够在现实世界中执行任务
[00:09:17 - 00:09:18] 而且
[00:09:18 - 00:09:20] 如果某个国家试图通过税收
[00:09:20 - 00:09:22] 来实行普遍基本收入
[00:09:22 - 00:09:23] 也就是UBI的政策
[00:09:23 - 00:09:24] 那么它的AGI发展
[00:09:24 - 00:09:26] 可能就会落后于其他国家
[00:09:26 - 00:09:28] 造成在国家间的竞争中
[00:09:28 - 00:09:29] 处于不利的局面
[00:09:29 - 00:09:31] 对于普通人自身而言
[00:09:31 - 00:09:32] 他们将没有足够的资源
[00:09:32 - 00:09:34] 来支持自己或者是彼此
[00:09:34 - 00:09:36] 绝大多数人将没有经济实力
[00:09:36 - 00:09:37] 来提出需求
[00:09:37 - 00:09:39] 也无法让控制资源的主体
[00:09:39 - 00:09:41] 再有对他们进行投资的动力
[00:09:41 - 00:09:43] 这就意味着在最好的情况下
[00:09:43 - 00:09:45] 他们也只能艰难的满足基本需求
[00:09:45 - 00:09:48] 或者依赖于寡头势力出于人词的慈善援助
[00:09:49 - 00:09:50] 虽然在初期
[00:09:50 - 00:09:51] 可能会存在人类靠着体力劳动
[00:09:51 - 00:09:53] 来获得报仇的情况
[00:09:53 - 00:09:55] 比如说在资源开采等等领域
[00:09:55 - 00:09:57] 但是随着机器人技术的不断进步
[00:09:57 - 00:09:59] 对人类体力劳动的需求
[00:09:59 - 00:10:00] 也会逐渐减少
[00:10:00 - 00:10:01] 面对这样的未来
[00:10:01 - 00:10:04] 作者认为我们不能坐以待毙
[00:10:04 - 00:10:04] 目前来看
[00:10:04 - 00:10:07] 大多数人并没有认真对待过这个问题
[00:10:07 - 00:10:10] 作者曾經和一些朋友與世界頂級專家
[00:10:10 - 00:10:13] 共同討論如何在2030年前更好的治理AI
[00:10:13 - 00:10:15] 當時經濟部門給政府的建議是
[00:10:15 - 00:10:18] 在面臨需要採取更激烈應對措施的情況下
[00:10:18 - 00:10:21] 應該考慮一些大膽創新的經濟政策構想
[00:10:21 - 00:10:24] 其實說白了就是大家都不知道該怎麼辦
[00:10:24 - 00:10:26] 需要有實質識來想辦法
[00:10:26 - 00:10:28] 作者認為我們必須打破
[00:10:28 - 00:10:31] 由無限樂觀所推動的集體否認文化
[00:10:31 - 00:10:34] 當前一些不切實際的幻想主導了輿論
[00:10:34 - 00:10:36] 有些人懷著一種自以為是的心態
[00:10:36 - 00:10:38] 他们相信自己的工作是独一无二的
[00:10:38 - 00:10:40] 永远不可能被自动化取代
[00:10:40 - 00:10:43] 所以他们觉得自己不必关心那些问题
[00:10:43 - 00:10:44] 在于一些人的交流中
[00:10:44 - 00:10:47] 作者就发现了两种比较典型的错误观点
[00:10:47 - 00:10:49] 有一位资深的AI政策人士
[00:10:49 - 00:10:51] 当作者和他谈到
[00:10:51 - 00:10:52] 自动化可能会让人们的生活
[00:10:52 - 00:10:54] 变得更糟的可能性时
[00:10:54 - 00:10:57] 他完全无法想象技术可能会取代工作
[00:10:57 - 00:10:59] 他甚至认为会创造出新的工作
[00:10:59 - 00:11:02] 比如说大家都会从事AI政策相关的工作
[00:11:02 - 00:11:05] 还有一位AI领域内非常有影响力的人士
[00:11:05 - 00:11:08] 他虽然同意AJI最可能会带来技术性失业
[00:11:08 - 00:11:11] 但是却认为我们会自动通向乌托邦式的未来
[00:11:11 - 00:11:14] 他说 人们将不再需要工作
[00:11:14 - 00:11:15] 可以自由地自我实现
[00:11:15 - 00:11:17] 追求有意义的目标
[00:11:17 - 00:11:18] 比如说写诗
[00:11:18 - 00:11:19] 但是实际上
[00:11:19 - 00:11:21] 仅仅相信别人会想出办法
[00:11:21 - 00:11:23] 是无法实现这样的美好愿景的
[00:11:23 - 00:11:24] 而AI安全领域的人
[00:11:24 - 00:11:27] 虽然意识到了意图对齐这个极其重要的问题
[00:11:27 - 00:11:30] 也就是如何让AI行为背后的意图
[00:11:30 - 00:11:32] 符合人类真正的目标
[00:11:32 - 00:11:33] 并且在全力解决它
[00:11:33 - 00:11:36] 但是他们的讨论也过于乐观
[00:11:36 - 00:11:38] 因为即使解决了意图对齐的问题
[00:11:38 - 00:11:40] 也并不意味着就会迎来乌托邦
[00:11:40 - 00:11:42] 我们不能只关注AGI的开发
[00:11:42 - 00:11:45] 还有提前规划AGI出现后的应对策略
[00:11:45 - 00:11:49] 那么有没有什么能够解决智能组织的办法呢?
[00:11:49 - 00:11:52] 作者认为可以从治理和创新两个方面入手
[00:11:52 - 00:11:53] 在治理方面
[00:11:53 - 00:11:57] 在健康的民主国家选票可能可以战胜智能组织
[00:11:57 - 00:11:59] 人们可以通过投票来改变现状
[00:11:59 - 00:12:02] 但是目前我们的政府还没有做好充分的准备
[00:12:02 - 00:12:04] 在创新方面
[00:12:04 - 00:12:06] 我们可以利用技术来增强人的能动性
[00:12:06 - 00:12:08] 促进人类对于AI系统
[00:12:08 - 00:12:10] 或者是智能体集群的所有权
[00:12:10 - 00:12:12] 或者通过其他的方式
[00:12:12 - 00:12:15] 让人类在经济体系中始终保持相关性
[00:12:15 - 00:12:16] 从而让寡头势力继续拥有
[00:12:16 - 00:12:19] 对于人力资本进行投资的动力
[00:12:19 - 00:12:20] 总之 作者认为
[00:12:20 - 00:12:21] AGI时代的智能组咒
[00:12:21 - 00:12:24] 是一个值得我们高度关注的问题
[00:12:24 - 00:12:26] 需要政府 企业 科研机构
[00:12:26 - 00:12:28] 以及每一个人都积极地行动起来
[00:12:28 - 00:12:29] 共同寻找应对之策
[00:12:29 - 00:12:30] 只有这样
[00:12:30 - 00:12:33] 我们才能够在AGI所带来的巨大变革中
[00:12:33 - 00:12:35] 保障人类的利益和未来
[00:12:35 - 00:12:35] 好了
[00:12:35 - 00:12:37] 以上就是这篇文章的主要内容了
[00:12:37 - 00:12:38] 不知道大家有什么看法
[00:12:39 - 00:12:40] 欢迎在评论区留言
[00:12:40 - 00:12:41] 感谢大家的观看
[00:12:41 - 00:12:42] 我们下期再见
